阿布石,a'bu'shi
临界相,lin'jie'xiang
临界应变,lin'jie'ying'bian
鳞茎,lin'jing
磷锂铝石,lin'li'lv'shi
磷锂锰矿,lin'li'meng'kuang
磷硫铅铝矿,lin'liu'qian'lv'kuang
磷硫铅铁矿,lin'liu'qian'tie'kuang
磷硫铁矿,lin'liu'tie'kuang
淋滤,lin'lv
淋滤带,lin'lv'dai
磷铝钙石,lin'lv'gai'shi
磷铝锰矿,lin'lv'meng'kuang
鳞绿泥石,lin'lv'ni'shi
磷氯铅矿,lin'lv'qian'kuang
磷铝铅铜矿,lin'lv'qian'tong'kuang
磷铝石,lin'lv'shi
磷铝铈石,lin'lv'shi'shi
磷铝铁石,lin'lv'tie'shi
淋滤酌,lin'lv'zhuo
磷镁石,lin'mei'shi
磷锰矿,lin'meng'kuang
磷锰铁矿,lin'meng'tie'kuang
磷锰铀矿,lin'meng'you'kuang
磷钠铵石,lin'na'an'shi
磷钠锰矿,lin'na'meng'kuang
磷钠铍石,lin'na'pi'shi
磷铍钙石,lin'pi'gai'shi
鳞片变晶状的,lin'pian'bian'jing'zhuang'de
鳞片变晶状结构,lin'pian'bian'jing'zhuang'jie'gou
鳞片花岗变晶的,lin'pian'hua'gang'bian'jing'de
鳞片状结构,lin'pian'zhuang'jie'gou
鳞片状石墨,lin'pian'zhuang'shi'mo
磷铅铀矿,lin'qian'you'kuang
淋溶层,lin'rong'ceng
淋溶带,lin'rong'dai
淋溶黑土,lin'rong'hei'tu
淋溶土,lin'rong'tu
淋溶酌,lin'rong'zhuo
磷砷锌铜矿,lin'shen'xin'tong'kuang
磷石膏,lin'shi'gao
临时井壁,lin'shi'jing'bi
临时侵蚀基准面,lin'shi'qin'shi'ji'zhun'mian
磷铈钇矿,lin'shi'yi'kuang
鳞石英,lin'shi'ying
磷酸,lin'suan
磷酸盐,lin'suan'yan
鳞铁矾,lin'tie'fan
磷铁华,lin'tie'hua
磷铁矿,lin'tie'kuang
磷铁铝钾石,lin'tie'lv'jia'shi
磷铁铝矿,lin'tie'lv'kuang
磷铁锰矿,lin'tie'meng'kuang
磷铜矿,lin'tong'kuang
磷铜铁矿,lin'tong'tie'kuang
磷钍矿,lin'tu'kuang
淋洗土壤,lin'xi'tu'rang
林下灌木丛,lin'xia'guan'mu'cong
磷霞岩,lin'xia'yan
磷锌矿,lin'xin'kuang
磷锌铜矿,lin'xin'tong'kuang
临仪,lin'yi
磷钇矿,lin'yi'kuang
磷英黑云二长岩,lin'ying'hei'yun'er'chang'yan
鳞硬石膏,lin'ying'shi'gao
磷铀矿,lin'you'kuang
赁皱,lin'zhou
菱钡镁石,ling'bei'mei'shi
铃动力学,ling'dong'li'xue
铃动力学的传导性,ling'dong'li'xue'de'chuan'dao'xing
菱沸石,ling'fei'shi
菱钙铈矿,ling'gai'shi'kuang
菱镉矿,ling'ge'kuang
菱钴矿,ling'gu'kuang
领海,ling'hai
零价,ling'jia
菱钾铝矿,ling'jia'lv'kuang
菱磷铝石,ling'lin'lv'shi
菱镁古铜岩,ling'mei'gu'tong'yan
菱镁矿,ling'mei'kuang
菱镁铁矾,ling'mei'tie'fan
菱镁铀矿,ling'mei'you'kuang
菱锰铁矿,ling'meng'tie'kuang
菱锰岩,ling'meng'yan
菱面体类,ling'mian'ti'lei
灵敏度,ling'min'du
菱钼铀矿,ling'mu'you'kuang
龄期,ling'qi
菱铅矾,ling'qian'fan
灵生代,ling'sheng'dai
灵生地质学,ling'sheng'di'zhi'xue
菱锶铬矿,ling'si'ge'kuang
菱锶矿,ling'si'kuang
菱铁矿,ling'tie'kuang
菱铁镁矿,ling'tie'mei'kuang
领土,ling'tu
零位,ling'wei
零位蝶,ling'wei'die
菱锌矿,ling'xin'kuang
菱形极半面象晶族,ling'xing'ji'ban'mian'xiang'jing'zu
菱形交叉,ling'xing'jiao'cha
菱形晶系,ling'xing'jing'xi
菱形六面体,ling'xing'liu'mian'ti
菱形四分面体类,ling'xing'si'fen'mian'ti'lei
龄性行为,ling'xing'xing'wei
菱形异极半面象晶族,ling'xing'yi'ji'ban'mian'xiang'jing'zu
龄学,ling'xue
菱铀矿,ling'you'kuang
领域,ling'yu
菱长斑岩,ling'zhang'ban'yan
硫铵钾石,liu'an'jia'shi
硫铵石,liu'an'shi
六八面体,liu'ba'mian'ti
硫铋铅矿,liu'bi'qian'kuang
硫铋锑银矿,liu'bi'ti'yin'kuang
硫铋铜矿,liu'bi'tong'kuang
六次对称轴,liu'ci'dui'chen'zhou
硫代硫酸,liu'dai'liu'suan
硫代硫酸盐,liu'dai'liu'suan'yan
硫碲铋矿,liu'di'bi'kuang
六方碲银矿,liu'fang'di'yin'kuang
六方对映半面象晶族,liu'fang'dui'ying'ban'mian'xiang'jing'zu
六方钾霞石,liu'fang'jia'xia'shi
六方紧密填集,liu'fang'jin'mi'tian'ji
六方晶系,liu'fang'jing'xi
六方氯铅矿,liu'fang'lv'qian'kuang
六方偏方面体类,liu'fang'pian'fang'mian'ti'lei
六方双锥,liu'fang'shuang'zhui
六方双锥类,liu'fang'shuang'zhui'lei
六方钽铝石,liu'fang'tan'lv'shi
六方柱,liu'fang'zhu
六方锥类,liu'fang'zhui'lei
六分仪,liu'fen'yi
榴钙辉长岩,liu'gai'hui'chang'yan
硫钙霞石,liu'gai'xia'shi
硫高宽比,liu'gao'kuan'bi
硫镉矿,liu'ge'kuang
硫汞锑矿,liu'gong'ti'kuang
硫钴矿,liu'gu'kuang
硫华,liu'hua
硫化矿石,liu'hua'kuang'shi
硫化铁,liu'hua'tie
硫化铁矿,liu'hua'tie'kuang
硫化铜钒矿,liu'hua'tong'fan'kuang
硫化物,liu'hua'wu
硫化物带,liu'hua'wu'dai
硫化物矿床氧化带,liu'hua'wu'kuang'chuang'yang'hua'dai
硫化亚铁,liu'hua'ya'tie
硫黄泉,liu'huang'quan
硫黄细菌,liu'huang'xi'jun
榴辉铁橄岩,liu'hui'tie'gan'yan
榴辉岩,liu'hui'yan
榴辉岩相,liu'hui'yan'xiang
硫钾钠铅矿,liu'jia'na'qian'kuang
硫交代,liu'jiao'dai
六角形的,liu'jiao'xing'de
留矿回采,liu'kuang'hui'cai
硫沥青,liu'li'qing
流量涨潮,liu'liang'zhang'chao
硫钌锇矿,liu'liao'e'kuang
硫磷铝锶矿,liu'lin'lv'si'kuang
硫锰矿,liu'meng'kuang
六面体,liu'mian'ti
六面体式陨铁,liu'mian'ti'shi'yun'tie
硫钠霞石,liu'na'xia'shi
硫钠硝石,liu'na'xiao'shi
硫脲,liu'niao
硫镍铋锑矿,liu'nie'bi'ti'kuang
硫硼镁石,liu'peng'mei'shi
硫气孔,liu'qi'kong
硫气蚀变,liu'qi'shi'bian
硫铅铋矿,liu'qian'bi'kuang
硫氰钠钴石,liu'qing'na'gu'shi
硫砷矿,liu'shen'kuang
硫砷铅矿,liu'shen'qian'kuang
硫砷铅石,liu'shen'qian'shi
硫砷铊铅矿,liu'shen'ta'qian'kuang
硫砷铜矿,liu'shen'tong'kuang
六水铁矾,liu'shui'tie'fan
六四面体,liu'si'mian'ti
六四面体类,liu'si'mian'ti'lei
硫酸齿钠石,liu'suan'chi'na'shi
硫酸化焙烧,liu'suan'hua'bei'shao
硫酸还原菌,liu'suan'huan'yuan'jun
硫酸铅矿,liu'suan'qian'kuang
硫酸盐,liu'suan'yan
硫酸盐泉,liu'suan'yan'quan
硫碳酸铅矿,liu'tan'suan'qian'kuang
硫弹性沥青,liu'tan'xing'li'qing
硫锑锰银矿,liu'ti'meng'yin'kuang
硫锑铅矿,liu'ti'qian'kuang
硫锑铁矿,liu'ti'tie'kuang
硫锑铜银矿,liu'ti'tong'yin'kuang
硫铁镍矿,liu'tie'nie'kuang
榴铁伟晶岩,liu'tie'wei'jing'yan
硫铜铋矿,liu'tong'bi'kuang
硫铜钴矿,liu'tong'gu'kuang
硫铜铅铋矿,liu'tong'qian'bi'kuang
硫铜锑矿,liu'tong'ti'kuang
硫铜银矿,liu'tong'yin'kuang
硫铜铀矿,liu'tong'you'kuang
硫硒铋铅矿,liu'xi'bi'qian'kuang
硫硒铅铋矿,liu'xi'qian'bi'kuang
榴霞正长岩,liu'xia'zheng'chang'yan
硫银铋矿,liu'yin'bi'kuang
硫银铁矿,liu'yin'tie'kuang
硫银锗矿,liu'yin'zhe'kuang
硫英硷正长岩,liu'ying'jian'zheng'chang'yan
硫铀钠钙石,liu'you'na'gai'shi
榴云细斑岩,liu'yun'xi'ban'yan
榴云岩,liu'yun'yan
六轴海绵类,liu'zhou'hai'mian'lei
龙骨,long'gu
龙骨状的,long'gu'zhuang'de
咙理,long'li
隆起,long'qi
隆起构造,long'qi'gou'zao
隆起海岸,long'qi'hai'an
笼铅矿,long'qian'kuang
露出,lou'chu
漏洞,lou'dong
漏斗,lou'dou
漏斗形的,lou'dou'xing'de
漏斗岩盘,lou'dou'yan'pan
漏失带,lou'shi'dai
漏泄电导,lou'xie'dian'dao
漏泄系数,lou'xie'xi'shu
卢德洛阶,lu'de'luo'jie
陆地沉积层,lu'di'chen'ji'ceng
陆地增生说,lu'di'zeng'sheng'shuo
露点湿度表,lu'dian'shi'du'biao
颅骨,lu'gu
露光计,lu'guang'ji
卤化酌,lu'hua'zhuo
陆间地槽,lu'jian'di'cao
陆间海,lu'jian'hai
陆间裂谷系,lu'jian'lie'gu'xi
鲁培勒阶,lu'pei'le'jie
陆棚,lu'peng
陆栖动物,lu'qi'dong'wu
卤砂,lu'sha
陆上的,lu'shang'de
陆生生物,lu'sheng'sheng'wu
卤水矿,lu'shui'kuang
露天采矿,lu'tian'cai'kuang
露天开采,lu'tian'kai'cai
露天开采法,lu'tian'kai'cai'fa
露天开采矿山,lu'tian'kai'cai'kuang'shan
露天矿场,lu'tian'kuang'chang
露头,lu'tou
露头位置,lu'tou'wei'zhi
卢喂阶,lu'wei'jie
路线地质图,lu'xian'di'zhi'tu
陆相,lu'xiang
陆相沉积,lu'xiang'chen'ji
陆相复理式建造,lu'xiang'fu'li'shi'jian'zao
陆相泥炭,lu'xiang'ni'tan
露岩基的,lu'yan'ji'de
麓原,lu'yuan
陆源沉积,lu'yuan'chen'ji
陆缘地槽,lu'yuan'di'cao
陆缘海,lu'yuan'hai
陆源湖,lu'yuan'hu
陆缘克拉通,lu'yuan'ke'la'tong
陆源咸水湖,lu'yuan'xian'shui'hu
炉渣,lu'zha
卵壳,luan'ke
卵石,luan'shi
卵石层,luan'shi'ceng
卵石砂岩,luan'shi'sha'yan
卵原细胞,luan'yuan'xi'bao
卵圆形的,luan'yuan'xing'de
轮廓,lun'kuo
伦琴,lun'qin
伦琴当量,lun'qin'dang'liang
伦琴射线衍射仪,lun'qin'she'xian'yan'she'yi
轮生叶序,lun'sheng'ye'xu
落差,luo'cha
落锤,luo'chui
络合滴定,luo'he'di'ding
络合剂,luo'he'ji
络合物,luo'he'wu
裸蕨类,luo'jue'lei
罗拉克阶,luo'la'ke'jie
络离子,luo'li'zi
罗盘,luo'pan
落球粘度计,luo'qiu'nian'du'ji
落水洞,luo'shui'dong
落水洞湖,luo'shui'dong'hu
螺纹接合,luo'wen'jie'he
螺线,luo'xian
螺旋壁,luo'xuan'bi
螺旋变位,luo'xuan'bian'wei
螺旋生长,luo'xuan'sheng'zhang
螺旋轴,luo'xuan'zhou
螺旋状的,luo'xuan'zhuang'de
螺旋钻,luo'xuan'zuan
裸眼,luo'yan
络盐,luo'yan
络阳离子,luo'yang'li'zi
落叶林,luo'ye'lin
络阴离子,luo'yin'li'zi
螺状硫银矿,luo'zhuang'liu'yin'kuang
裸子植物,luo'zi'zhi'wu
氯铵汞矿,lv'an'gong'kuang
铝白钙沸石,lv'bai'gai'fei'shi
铝板钛矿,lv'ban'tai'kuang
绿层硅铈钛矿,lv'ceng'gui'shi'tai'kuang
绿脆云母,lv'cui'yun'mu
绿蛋白石,lv'dan'bai'shi
绿点板岩,lv'dian'ban'yan
氯碘铅矿,lv'dian'qian'kuang
氯度,lv'du
铝钒矿,lv'fan'kuang
氯仿沥青,lv'fang'li'qing
氯钙石,lv'gai'shi
铝铬铁矿,lv'ge'tie'kuang
氯汞矿,lv'gong'kuang
滤管,lv'guan
氯硅钙铅矿,lv'gui'gai'qian'kuang
铝硅孔雀石,lv'gui'kong'que'shi
绿硅矿,lv'gui'kuang
氯化物,lv'hua'wu
氯化酌,lv'hua'zhuo
氯黄晶,lv'huang'jing
绿黄绿柱石,lv'huang'lv'zhu'shi
绿辉石,lv'hui'shi
绿基正长云英斑岩,lv'ji'zheng'chang'yun'ying'ban'yan
绿钾铁盐,lv'jia'tie'yan
绿尖晶石,lv'jian'jing'shi
绿粒橄集,lv'li'gan'ji
绿帘花岗岩,lv'lian'hua'gang'yan
绿帘金红角闪片岩,lv'lian'jin'hong'jiao'shan'pian'yan
绿帘石,lv'lian'shi
绿帘石化,lv'lian'shi'hua
绿帘石闪石岩相,lv'lian'shi'shan'shi'yan'xiang
绿帘石岩,lv'lian'shi'yan
氯量滴定法,lv'liang'di'ding'fa
氯磷灰石,lv'lin'hui'shi
绿磷锰矿,lv'lin'meng'kuang
氯磷钠铜矿,lv'lin'na'tong'kuang
绿磷铅铜矿,lv'lin'qian'tong'kuang
绿鳞石,lv'lin'shi
绿磷铁矿,lv'lin'tie'kuang
绿硫钒矿,lv'liu'fan'kuang
铝榴石,lv'liu'shi
铝绿泥石,lv'lv'ni'shi
铝氯石膏,lv'lv'shi'gao
氯镁石,lv'mei'shi
绿镁铁矾,lv'mei'tie'fan
氯锰矿,lv'meng'kuang
绿蒙脱石,lv'meng'tuo'shi
绿泥,lv'ni
绿泥花岗岩,lv'ni'hua'gang'yan
绿泥镁铝榴石,lv'ni'mei'lv'liu'shi
绿泥钠长角斑岩,lv'ni'na'zhang'jiao'ban'yan
绿泥片岩,lv'ni'pian'yan
绿泥闪帘片岩,lv'ni'shan'lian'pian'yan
绿泥石,lv'ni'shi
绿泥石化,lv'ni'shi'hua
铝镍钴合金,lv'nie'gu'he'jin
绿镍矿,lv'nie'kuang
绿磐岩,lv'pan'yan
绿磐岩化,lv'pan'yan'hua
氯硼钠石,lv'peng'na'shi
氯硼铜石,lv'peng'tong'shi
绿片岩,lv'pian'yan
氯铅矿,lv'qian'kuang
氯铅芒硝,lv'qian'mang'xiao
氯羟锰矿,lv'qiang'meng'kuang
绿蔷薇辉石,lv'qiang'wei'hui'shi
绿色凝灰岩,lv'se'ning'hui'yan
绿色凝灰岩组,lv'se'ning'hui'yan'zu
绿色片岩相,lv'se'pian'yan'xiang
绿闪石,lv'shan'shi
绿砷钡铁矿,lv'shen'bei'tie'kuang
绿砷铁铜矿,lv'shen'tie'tong'kuang
绿石棉,lv'shi'mian
绿水金云母,lv'shui'jin'yun'mu
绿水砷钙铜矿,lv'shui'shen'gai'tong'kuang
绿水云母,lv'shui'yun'mu
绿松石,lv'song'shi
氯酸,lv'suan
铝酸盐,lv'suan'yan
铝钛片晶石,lv'tai'pian'jing'shi
氯锑铅矿,lv'ti'qian'kuang
绿锑铅矿,lv'ti'qian'kuang
绿铁碲矿,lv'tie'di'kuang
铝铁闪石,lv'tie'shan'shi
绿铁闪石,lv'tie'shan'shi
铝铁土,lv'tie'tu
氯铜矾,lv'tong'fan
氯铜矿,lv'tong'kuang
氯铜铅矿,lv'tong'qian'kuang
氯铜硝石,lv'tong'xiao'shi
绿铜锌矿,lv'tong'xin'kuang
铝土矿,lv'tu'kuang
铝土矿床,lv'tu'kuang'chuang
绿脱石,lv'tuo'shi
绿纤石,lv'xian'shi
氯溴银矿,lv'xiu'yin'kuang
绿岩,lv'yan
绿盐铜矿,lv'yan'tong'kuang
滤液,lv'ye
绿萤石,lv'ying'shi
绿硬云母,lv'ying'yun'mu
绿铀矿,lv'you'kuang
铝铀云母,lv'you'yun'mu
绿玉髓,lv'yu'sui
绿藻类,lv'zao'lei
滤纸,lv'zhi
铝直闪石,lv'zhi'shan'shi
绿州,lv'zhou
绿柱石,lv'zhu'shi
马鞍石,ma'an'shi
马尔柯夫过程,ma'er'ke'fu'guo'cheng
马尔柯夫链,ma'er'ke'fu'lian
麻粒岩相,ma'li'yan'xiang
麻姆统,ma'mu'tong
玛瑙,ma'nao
马山斑岩,ma'shan'ban'yan
马山岩,ma'shan'yan
马味群落,ma'wei'qun'luo
马尾丝状构造,ma'wei'si'zhuang'gou'zao
埋藏变质,mai'cang'bian'zhi
埋藏地形,mai'cang'di'xing
埋藏矿砂,mai'cang'kuang'sha
埋藏沙丘,mai'cang'sha'qiu
埋藏土,mai'cang'tu
埋藏型岩溶,mai'cang'xing'yan'rong
脉测距仪,mai'ce'ju'yi
脉成岩类,mai'cheng'yan'lei
脉冲持续时间,mai'chong'chi'xu'shi'jian
脉冲重复频率,mai'chong'chong'fu'pin'lv
脉冲灯,mai'chong'deng
脉冲电路,mai'chong'dian'lu
脉冲峰值功率,mai'chong'feng'zhi'gong'lv
脉冲激励,mai'chong'ji'li
脉冲频率灯,mai'chong'pin'lv'deng
脉动,mai'dong
脉动电流,mai'dong'dian'liu
脉动说,mai'dong'shuo
脉构造,mai'gou'zao
脉混合岩,mai'hun'he'yan
脉宽,mai'kuan
脉矿床,mai'kuang'chuang
埋丘,mai'qiu
脉石,mai'shi
脉石矿物,mai'shi'kuang'wu
脉石岩,mai'shi'yan
埋葬学,mai'zang'xue
脉状的,mai'zhuang'de
脉状片麻岩,mai'zhuang'pian'ma'yan
埋钻,mai'zuan
盲不整合,mang'bu'zheng'he
盲谷,mang'gu
盲节理,mang'jie'li
盲井,mang'jing
盲矿床,mang'kuang'chuang
盲矿体,mang'kuang'ti
盲区,mang'qu
芒硝,mang'xiao
盲原顽火辉石,mang'yuan'wan'huo'hui'shi
茂板岩,mao'ban'yan
毛赤铜矿,mao'chi'tong'kuang
冒地槽,mao'di'cao
毛发裂隙,mao'fa'lie'xi
毛矾石,mao'fan'shi
毛沸石,mao'fei'shi
毛晶,mao'jing
茂石,mao'shi
毛石,mao'shi
茂石化,mao'shi'hua
毛细管迁移,mao'xi'guan'qian'yi
毛细管水,mao'xi'guan'shui
毛细管现象,mao'xi'guan'xian'xiang
毛细管酌带,mao'xi'guan'zhuo'dai
猫眼石,mao'yan'shi
茂页岩,mao'ye'yan
毛状的,mao'zhuang'de
镁白云石,mei'bai'yun'shi
煤变质酌,mei'bian'zhi'zhuo
镁冰晶石,mei'bing'jing'shi
煤层,mei'ceng
煤层冲刷,mei'ceng'chong'shua
煤层的同生冲刷,mei'ceng'de'tong'sheng'chong'shua
煤层底板,mei'ceng'di'ban
煤层顶板,mei'ceng'ding'ban
煤层对比,mei'ceng'dui'bi
煤层尖灭,mei'ceng'jian'mie
煤层石球,mei'ceng'shi'qiu
煤产地,mei'chan'di
煤沉积模式,mei'chen'ji'mo'shi
煤成岩酌,mei'cheng'yan'zhuo
煤成因类型,mei'cheng'yin'lei'xing
煤储量,mei'chu'liang
煤的揉皱构造,mei'de'rou'zhou'gou'zao
镁电气石,mei'dian'qi'shi
镁毒石,mei'du'shi
酶反应,mei'fan'ying
煤粉,mei'fen
煤分析,mei'fen'xi
镁橄榄石,mei'gan'lan'shi
镁铬矿,mei'ge'kuang
镁铬铁矿,mei'ge'tie'kuang
煤工业分类,mei'gong'ye'fen'lei
煤工业分析,mei'gong'ye'fen'xi
煤工艺性,mei'gong'yi'xing
镁硅钙石,mei'gui'gai'shi
玫瑰图,mei'gui'tu
镁褐帘石,mei'he'lian'shi
玫红尖晶石,mei'hong'jian'jing'shi
煤化酌,mei'hua'zhuo
煤化酌跃变,mei'hua'zhuo'yue'bian
镁黄长石,mei'huang'chang'shi
煤灰分,mei'hui'fen
煤灰熔点,mei'hui'rong'dian
煤级,mei'ji
镁碱沸石,mei'jian'fei'shi
煤焦油混合物,mei'jiao'you'hun'he'wu
煤精,mei'jing
煤矿,mei'kuang
煤矿床,mei'kuang'chuang
煤矿工,mei'kuang'gong
镁磷石,mei'lin'shi
镁磷铀云母,mei'lin'you'yun'mu
镁菱铁矿,mei'ling'tie'kuang
镁铝榴石,mei'lv'liu'shi
镁绿泥石,mei'lv'ni'shi
镁茂,mei'mao
镁锰闪石,mei'meng'shan'shi
镁钠闪石,mei'na'shan'shi
镁镍华,mei'nie'hua
煤盆地,mei'pen'di
镁硼锰石,mei'peng'meng'shi
煤气,mei'qi
煤气化,mei'qi'hua
镁蛇纹石,mei'she'wen'shi
煤水分,mei'shui'fen
镁钛矿,mei'tai'kuang
煤炭地下气化,mei'tan'di'xia'qi'hua
煤炭地质学,mei'tan'di'zhi'xue
煤炭元素分析,mei'tan'yuan'su'fen'xi
煤田,mei'tian
煤田气,mei'tian'qi
镁铁橄榄石,mei'tie'gan'lan'shi
镁铁辉石,mei'tie'hui'shi
镁铁尖晶石,mei'tie'jian'jing'shi
镁铁矿,mei'tie'kuang
镁铁前缘,mei'tie'qian'yuan
镁铁闪石,mei'tie'shan'shi
镁铁质岩石,mei'tie'zhi'yan'shi
煤系,mei'xi
煤系盖层,mei'xi'gai'ceng
煤显微组分,mei'xian'wei'zu'fen
镁硝石,mei'xiao'shi
煤岩类型,mei'yan'lei'xing
煤岩显微类型,mei'yan'xian'wei'lei'xing
煤岩学,mei'yan'xue
镁硬绿泥片岩,mei'ying'lv'ni'pian'yan
煤正常变质,mei'zheng'chang'bian'zhi
煤质,mei'zhi
镁直闪石,mei'zhi'shan'shi
煤之碳化,mei'zhi'tan'hua
煤中氮,mei'zhong'dan
煤中硫量,mei'zhong'liu'liang
煤中氢,mei'zhong'qing
煤中碳,mei'zhong'tan
煤中氧,mei'zhong'yang
镁柱石,mei'zhu'shi
煤自燃发火,mei'zi'ran'fa'huo
门电路,men'dian'lu
门脉冲,men'mai'chong
锰白云石,meng'bai'yun'shi
锰钡矿,meng'bei'kuang
锰磁铁矿,meng'ci'tie'kuang
萌地槽,meng'di'cao
萌地台,meng'di'tai
锰矾,meng'fan
锰方解石,meng'fang'jie'shi
锰钙橄榄石,meng'gai'gan'lan'shi
锰钙辉石,meng'gai'hui'shi
锰钙铁辉石,meng'gai'tie'hui'shi
锰钙铁榴石,meng'gai'tie'liu'shi
锰橄榄石,meng'gan'lan'shi
锰硅铝矿,meng'gui'lv'kuang
锰硅锌矿,meng'gui'xin'kuang
锰黑云母,meng'hei'yun'mu
锰红帘石,meng'hong'lian'shi
锰红柱石,meng'hong'zhu'shi
锰结核,meng'jie'he
锰矿,meng'kuang
锰蓝宝石,meng'lan'bao'shi
锰帘石,meng'lian'shi
锰磷灰石,meng'lin'hui'shi
锰磷矿,meng'lin'kuang
锰磷锂矿,meng'lin'li'kuang
锰铝榴石,meng'lv'liu'shi
锰铝榴石闪斜煌斑岩,meng'lv'liu'shi'shan'xie'huang'ban'yan
锰绿泥石,meng'lv'ni'shi
锰绿铁矿,meng'lv'tie'kuang
锰茂,meng'mao
锰帽,meng'mao
锰镁锌矾,meng'mei'xin'fan
蒙乃尔合金,meng'nai'er'he'jin
锰三斜辉石,meng'san'xie'hui'shi
锰闪石,meng'shan'shi
锰砷锑矿,meng'shen'ti'kuang
锰石榴石,meng'shi'liu'shi
锰水镁石,meng'shui'mei'shi
锰酸盐,meng'suan'yan
锰钽酸铁矿,meng'tan'suan'tie'kuang
蒙特阶,meng'te'jie
锰铁钒铅矿,meng'tie'fan'qian'kuang
锰铁橄榄石,meng'tie'gan'lan'shi
锰铁菱石,meng'tie'ling'shi
锰铁榴石,meng'tie'liu'shi
锰铁闪石,meng'tie'shan'shi
锰铁锌矾,meng'tie'xin'fan
锰铜矿,meng'tong'kuang
锰土,meng'tu
蒙脱石,meng'tuo'shi
蒙脱石化酌,meng'tuo'shi'hua'zhuo
锰细菌,meng'xi'jun
锰纤锌矿,meng'xian'xin'kuang
锰榍石,meng'xie'shi
锰锌辉石,meng'xin'hui'shi
锰叶泥石,meng'ye'ni'shi
锰云母,meng'yun'mu
锰针磷铁矿,meng'zhen'lin'tie'kuang
锰柱石,meng'zhu'shi
密度,mi'du
密度测井,mi'du'ce'jing
密度计,mi'du'ji
密封圈闭,mi'feng'quan'bi
密高岭土,mi'gao'ling'tu
蜜黄长石,mi'huang'chang'shi
密集结构,mi'ji'jie'gou
蜜蜡石,mi'la'shi
糜棱化,mi'leng'hua
糜棱片麻岩,mi'leng'pian'ma'yan
糜棱岩,mi'leng'yan
糜棱质的,mi'leng'zhi'de
密稳纪,mi'wen'ji
密叶的,mi'ye'de
面包皮火山弹,mian'bao'pi'huo'shan'dan
面工祖,mian'gong'zu
绵毛,mian'mao
面盘,mian'pan
面线,mian'xian
面心点阵,mian'xin'dian'zhen
面状构造,mian'zhuang'gou'zao
苗木石,miao'mu'shi
描述,miao'shu
描述矿物学,miao'shu'kuang'wu'xue
民德冰期,min'de'bing'qi
命名的,ming'ming'de
命名法,ming'ming'fa
命名法规,ming'ming'fa'gui
鸣震,ming'zhen
鸣震点,ming'zhen'dian
摩擦,mo'ca
摩擦层,mo'ca'ceng
摩擦电,mo'ca'dian
摩擦发光,mo'ca'fa'guang
摩擦水头,mo'ca'shui'tou
摩擦系数,mo'ca'xi'shu
膜电位,mo'dian'wei
末端效应,mo'duan'xiao'ying
莫尔道熔融石,mo'er'dao'rong'rong'shi
摩尔魏德投影,mo'er'wei'de'tou'ying
模仿的,mo'fang'de
蘑菇状的,mo'gu'zhuang'de
蘑菇状岩,mo'gu'zhuang'yan
磨光,mo'guang
磨光刻花法,mo'guang'ke'hua'fa
磨光片,mo'guang'pian
磨耗试验,mo'hao'shi'yan
寞黄晶,mo'huang'jing
莫霍不连续面,mo'huo'bu'lian'xu'mian
磨拉石建造,mo'la'shi'jian'zao
莫来石,mo'lai'shi
磨砾层,mo'li'ceng
磨砾岩相,mo'li'yan'xiang
磨料海蚀的,mo'liao'hai'shi'de
模拟,mo'ni
模拟宝石,mo'ni'bao'shi
模拟构造岩,mo'ni'gou'zao'yan
模拟装置,mo'ni'zhuang'zhi
磨蚀,mo'shi
模式标本产地,mo'shi'biao'ben'chan'di
磨蚀阶地,mo'shi'jie'di
模式年龄,mo'shi'nian'ling
模式识别,mo'shi'shi'bie
磨蚀台地,mo'shi'tai'di
莫氏硬度表,mo'shi'ying'du'biao
莫斯科统,mo'si'ke'tong
磨碎弄成碎屑,mo'sui'nong'cheng'sui'xie
磨损,mo'sun
模态分析,mo'tai'fen'xi
模态旋回,mo'tai'xuan'hui
墨铜矿,mo'tong'kuang
墨下托投影墨卡托投影,mo'xia'tuo'tou'ying'mo'ka'tuo'tou'ying
模型,mo'xing
模型技术,mo'xing'ji'shu
模型试验,mo'xing'shi'yan
磨岩机,mo'yan'ji
牧草,mu'cao
目测,mu'ce
目测品位,mu'ce'pin'wei
木村,mu'cun
钼华,mu'hua
目镜,mu'jing
母脉,mu'mai
木煤,mu'mei
木乃伊,mu'nai'yi
钼铅矿,mu'qian'kuang
目视评价,mu'shi'ping'jia
钼钛铀矿,mu'tai'you'kuang
木炭,mu'tan
母体,mu'ti
钼铜矿,mu'tong'kuang
木铜矿,mu'tong'kuang
钼钨钙矿,mu'wu'gai'kuang
母细胞,mu'xi'bao
母岩,mu'yan
母岩浆,mu'yan'jiang
母液,mu'ye
母元素,mu'yuan'su
木贼类,mu'zei'lei
母质,mu'zhi
木质部,mu'zhi'bu
木质的,mu'zhi'de
木质镜煤,mu'zhi'jing'mei
木质泥炭,mu'zhi'ni'tan
钠铵矾,na'an'fan
钠长橄斑岩,na'chang'gan'ban'yan
钠长辉绿岩,na'chang'hui'lv'yan
钠长钠闪微岗岩,na'chang'na'shan'wei'gang'yan
钠长石,na'chang'shi
钠长石玢岩,na'chang'shi'fen'yan
钠长石化,na'chang'shi'hua
钠长石双晶,na'chang'shi'shuang'jing
钠长苏安岩,na'chang'su'an'yan
