阿魏,a'wei
亚吉玛,ya'ji'ma
亚麻子,ya'ma'zi
崖香,ya'xiang
牙皂,ya'zao
鸭跖草,ya'zhi'cao
延胡索,yan'hu'suo
盐蛇,yan'she
芫荽,yan'sui
岩陀,yan'tuo
燕窝,yan'wo
羊角,yang'jiao
阳起石,yang'qi'shi
羊乳,yang'ru
羊蹄,yang'ti
腰黄,yao'huang
药芹,yao'qin
野艾,ye'ai
也白头,ye'bai'tou
叶底珠,ye'di'zhu
夜合,ye'he
野姜,ye'jiang
野菊,ye'ju
野菊花,ye'ju'hua
野菱,ye'ling
叶上珠,ye'shang'zhu
一点红,yi'dian'hong
一见喜,yi'jian'xi
一见消,yi'jian'xiao
益母草,yi'mu'cao
苡仁,yi'ren
饴糖,yi'tang
一条鞭,yi'tiao'bian
一叶萩,yi'ye'qiu
薏苡仁,yi'yi'ren
益智,yi'zhi
益智仁,yi'zhi'ren
一枝香,yi'zhi'xiang
茵陈,yin'chen
银耳,yin'er
银花,yin'hua
银翘,yin'qiao
银杏,yin'xing
淫羊藿,yin'yang'huo
鹰不泊,ying'bu'bo
营实,ying'shi
罂粟壳,ying'su'ke
油葱,you'cong
余甘子,yu'gan'zi
玉桂,yu'gui
玉金,yu'jin
郁金,yu'jin
郁李仁,yu'li'ren
玉米须,yu'mi'xu
鱼腥草,yu'xing'cao
禹余粮,yu'yu'liang
玉竹,yu'zhu
元宝草,yuan'bao'cao
园参,yuan'can
缘豆,yuan'dou
元胡,yuan'hu
芫花,yuan'hua
元明粉,yuan'ming'fen
元参,yuan'shen
远志,yuan'zhi
月季花,yue'ji'hua
月月花,yue'yue'hua
云母石,yun'mu'shi
云木香,yun'mu'xiang
云实皮,yun'shi'pi
芸香草,yun'xiang'cao
皂角,zao'jiao
皂角刺,zao'jiao'ci
灶心土,zao'xin'tu
蚤休,zao'xiu
泽兰,ze'lan
泽泻,ze'xie
扎蓬果,zha'peng'guo
掌参,zhang'can
樟脑,zhang'nao
赭石,zhe'shi
珍珠,zhen'zhu
枳壳,zhi'ke
知母,zhi'mu
枳实,zhi'shi
支柱蓼,zhi'zhu'liao
中草,zhong'cao
钟乳石,zhong'ru'shi
竹菇,zhu'gu
竹黄,zhu'huang
竹沥,zhu'li
猪苓,zhu'ling
竹苓,zhu'ling
朱砂,zhu'sha
竹叶,zhu'ye
紫背天葵,zi'bei'tian'kui
紫草,zi'cao
紫绀,zi'gan
紫河车,zi'he'che
紫花杜鹃,zi'hua'du'juan
子苓,zi'ling
紫萍,zi'ping
自然铜,zi'ran'tong
紫苏,zi'su
紫葳,zi'wei
紫苑,zi'yuan
紫芝,zi'zhi
紫株,zi'zhu
棕板,zong'ban
