阿夫拉米方程,a'fu'la'mi'fang'cheng
热历史,re'li'shi
热力学等效球,re'li'xue'deng'xiao'qiu
热硫化,re'liu'hua
热敏发光聚合物,re'min'fa'guang'ju'he'wu
热敏发光橡胶,re'min'fa'guang'xiang'jiao
热敏性树脂,re'min'xing'shu'zhi
热熔胶,re'rong'jiao
热收缩,re'shou'suo
热塑性树脂,re'su'xing'shu'zhi
热塑性弹性体,re'su'xing'tan'xing'ti
热塑性橡胶丁苯嵌段共聚物,re'su'xing'xiang'jiao'ding'ben'qian'duan'gong'ju'wu
热稳定剂,re'wen'ding'ji
热氧化降解,re'yang'hua'jiang'jie
热氧老化,re'yang'lao'hua
热引发,re'yin'fa
热引发转移终止剂,re'yin'fa'zhuan'yi'zhong'zhi'ji
热致性介晶,re'zhi'xing'jie'jing
热致性液晶,re'zhi'xing'ye'jing
热致液晶高分子,re'zhi'ye'jing'gao'fen'zi
壬二酸二辛酯壬二酸二乙已基酯,ren'er'suan'er'xin'zhi'ren'er'suan'er'yi'yi'ji'zhi
人工老化,ren'gong'lao'hua
溶度参数,rong'du'can'shu
熔纺,rong'fang
溶剂,rong'ji
溶剂热力学性质,rong'ji're'li'xue'xing'zhi
溶剂梯度洗脱色谱法,rong'ji'ti'du'xi'tuo'se'pu'fa
溶胶凝胶转化,rong'jiao'ning'jiao'zhuan'hua
溶聚丁苯橡胶,rong'ju'ding'ben'xiang'jiao
熔融缩聚,rong'rong'suo'ju
熔体流动指数,rong'ti'liu'dong'zhi'shu
溶液纺丝,rong'ye'fang'si
溶液聚合,rong'ye'ju'he
溶胀,rong'zhang
溶胀度,rong'zhang'du
溶胀因子,rong'zhang'yin'zi
溶致性液晶,rong'zhi'xing'ye'jing
溶致液晶高分子,rong'zhi'ye'jing'gao'fen'zi
熔铸,rong'zhu
柔性链,rou'xing'lian
柔性链聚合物,rou'xing'lian'ju'he'wu
柔性链橡胶,rou'xing'lian'xiang'jiao
蠕变,ru'bian
蠕变柔量,ru'bian'rou'liang
蠕虫状链,ru'chong'zhuang'lian
乳聚丁苯橡胶,ru'ju'ding'ben'xiang'jiao
乳液纺丝,ru'ye'fang'si
乳液聚合,ru'ye'ju'he
乳液闪蒸纺丝法,ru'ye'shan'zheng'fang'si'fa
蠕状链,ru'zhuang'lian
软化温度,ruan'hua'wen'du
瑞利比,rui'li'bi
润滑剂,run'hua'ji
三醋酸纤维,san'cu'suan'xian'wei
三单元组,san'dan'yuan'zu
三官能基单体,san'guan'neng'ji'dan'ti
三官能引发剂,san'guan'neng'yin'fa'ji
三聚氰胺酚甲醛树脂,san'ju'qing'an'fen'jia'quan'shu'zhi
三聚氰胺甲醛树脂,san'ju'qing'an'jia'quan'shu'zhi
三聚氰胺树脂,san'ju'qing'an'shu'zhi
三聚体,san'ju'ti
三嵌段共聚物,san'qian'duan'gong'ju'wu
三嗪氟橡胶,san'qin'fu'xiang'jiao
散射的非对称性,san'she'de'fei'dui'chen'xing
三叶橡胶,san'ye'xiang'jiao
三乙酸纤维素,san'yi'suan'xian'wei'su
三元共聚合,san'yuan'gong'ju'he
三元共聚物,san'yuan'gong'ju'wu
三元乙丙橡胶,san'yuan'yi'bing'xiang'jiao
色料,se'liao
色料着色剂,se'liao'zhuo'se'ji
色谱分级,se'pu'fen'ji
闪发聚合,shan'fa'ju'he
闪发聚合暴聚,shan'fa'ju'he'bao'ju
烧蚀剂,shao'shi'ji
烧蚀聚合物,shao'shi'ju'he'wu
烧蚀橡胶,shao'shi'xiang'jiao
射流注塑,she'liu'zhu'su
伸长态,shen'chang'tai
伸展链晶体,shen'zhan'lian'jing'ti
伸直长度,shen'zhi'chang'du
生物高分子,sheng'wu'gao'fen'zi
生物活性高分子,sheng'wu'huo'xing'gao'fen'zi
生物降解,sheng'wu'jiang'jie
生物降解高分子,sheng'wu'jiang'jie'gao'fen'zi
生物可蚀性高分子,sheng'wu'ke'shi'xing'gao'fen'zi
生物弹性体,sheng'wu'tan'xing'ti
生物相容性,sheng'wu'xiang'rong'xing
生物医用高分子,sheng'wu'yi'yong'gao'fen'zi
生橡胶,sheng'xiang'jiao
剩余变形,sheng'yu'bian'xing
剩余伸长,sheng'yu'shen'chang
剩余应力,sheng'yu'ying'li
湿纺,shi'fang
湿润剂,shi'run'ji
时温叠加原理,shi'wen'die'jia'yuan'li
室温硫化硅橡胶,shi'wen'liu'hua'gui'xiang'jiao
石油树脂,shi'you'shu'zhi
收缩开裂,shou'suo'kai'lie
受限链,shou'xian'lian
受限态,shou'xian'tai
手性高分子,shou'xing'gao'fen'zi
熟成,shu'cheng
舒尔茨齐姆分布,shu'er'ci'qi'mu'fen'bu
树胶,shu'jiao
数均分子量,shu'jun'fen'zi'liang
数量分布函数,shu'liang'fen'bu'han'shu
疏水聚合物,shu'shui'ju'he'wu
疏水橡胶,shu'shui'xiang'jiao
梳形聚合物,shu'xing'ju'he'wu
梳形橡胶,shu'xing'xiang'jiao
树脂,shu'zhi
树脂传递成型,shu'zhi'chuan'di'cheng'xing
树枝状晶体,shu'zhi'zhuang'jing'ti
树状高分子,shu'zhuang'gao'fen'zi
刷状聚合物,shua'zhuang'ju'he'wu
刷状橡胶,shua'zhuang'xiang'jiao
双酚环氧树脂,shuang'fen'huan'yang'shu'zhi
双酚聚碳酸酯,shuang'fen'ju'tan'suan'zhi
双分子终止,shuang'fen'zi'zhong'zhi
双股聚合物,shuang'gu'ju'he'wu
双股螺旋,shuang'gu'luo'xuan
双股橡胶,shuang'gu'xiang'jiao
双官能基单体,shuang'guan'neng'ji'dan'ti
双官能引发剂,shuang'guan'neng'yin'fa'ji
双金属催化剂,shuang'jin'shu'cui'hua'ji
双烯单体,shuang'xi'dan'ti
双烯聚合物,shuang'xi'ju'he'wu
双烯类聚合,shuang'xi'lei'ju'he
双烯橡胶,shuang'xi'xiang'jiao
双轴拉伸,shuang'zhou'la'shen
双轴取向,shuang'zhou'qu'xiang
双组分催化剂,shuang'zu'fen'cui'hua'ji
水解降解,shui'jie'jiang'jie
水溶性高分子,shui'rong'xing'gao'fen'zi
顺丁橡胶,shun'ding'xiang'jiao
顺式聚丁二烯,shun'shi'ju'ding'er'xi
顺式聚异戊二烯,shun'shi'ju'yi'wu'er'xi
顺式有规聚合物,shun'shi'you'gui'ju'he'wu
顺式有规橡胶,shun'shi'you'gui'xiang'jiao
四单元组,si'dan'yuan'zu
死端聚合,si'duan'ju'he
四氟乙烯六氟丙烯共聚物,si'fu'yi'xi'liu'fu'bing'xi'gong'ju'wu
四中心聚合,si'zhong'xin'ju'he
松弛,song'chi
塑化,su'hua
塑解剂,su'jie'ji
塑解剂胶溶剂,su'jie'ji'jiao'rong'ji
塑炼,su'lian
素炼,su'lian
塑料,su'liao
塑料合金,su'liao'he'jin
塑性流动,su'xing'liu'dong
苏型双间同立构聚合物,su'xing'shuang'jian'tong'li'gou'ju'he'wu
苏型双间同立构橡胶,su'xing'shuang'jian'tong'li'gou'xiang'jiao
苏型双全同立构聚合物,su'xing'shuang'quan'tong'li'gou'ju'he'wu
苏型双全同立构橡胶,su'xing'shuang'quan'tong'li'gou'xiang'jiao
塑性体,su'xing'ti
塑性形变,su'xing'xing'bian
损耗模量,sun'hao'mo'liang
缩丁醛树脂,suo'ding'quan'shu'zhi
羧基丁腈橡胶,suo'ji'ding'jing'xiang'jiao
羧甲基纤维素,suo'jia'ji'xian'wei'su
缩甲醛树脂,suo'jia'quan'shu'zhi
缩聚反应,suo'ju'fan'ying
缩聚物,suo'ju'wu
缩醛树脂,suo'quan'shu'zhi
钛酸酯偶联剂,tai'suan'zhi'ou'lian'ji
碳负离子聚合,tan'fu'li'zi'ju'he
碳化硼纤维,tan'hua'peng'xian'wei
碳环梯形聚合物,tan'huan'ti'xing'ju'he'wu
碳环梯形橡胶,tan'huan'ti'xing'xiang'jiao
碳链聚合物,tan'lian'ju'he'wu
碳链橡胶,tan'lian'xiang'jiao
碳纳米管,tan'na'mi'guan
碳酰胺树脂,tan'xian'an'shu'zhi
碳纤维,tan'xian'wei
碳纤维增强塑料,tan'xian'wei'zeng'qiang'su'liao
弹性,tan'xing
弹性复原,tan'xing'fu'yuan
弹性回复,tan'xing'hui'fu
弹性模量,tan'xing'mo'liang
弹性体,tan'xing'ti
弹性形变,tan'xing'xing'bian
弹性滞后,tan'xing'zhi'hou
碳正离子聚合,tan'zheng'li'zi'ju'he
特殊性能高分子,te'shu'xing'neng'gao'fen'zi
特性粘数,te'xing'zhan'shu
特种高分子,te'zhong'gao'fen'zi
梯度共聚物,ti'du'gong'ju'wu
体积弛豫,ti'ji'chi'yu
体型聚合物,ti'xing'ju'he'wu
梯形聚合物,ti'xing'ju'he'wu
体型缩聚,ti'xing'suo'ju
体型橡胶,ti'xing'xiang'jiao
梯形橡胶,ti'xing'xiang'jiao
添加剂,tian'jia'ji
天然高分子,tian'ran'gao'fen'zi
天然树脂,tian'ran'shu'zhi
天然纤维,tian'ran'xian'wei
天然橡胶,tian'ran'xiang'jiao
条带织构,tiao'dai'zhi'gou
调聚反应,tiao'ju'fan'ying
调聚物,tiao'ju'wu
铁磁聚合物,tie'ci'ju'he'wu
铁磁橡胶,tie'ci'xiang'jiao
铁电聚合物,tie'dian'ju'he'wu
铁电橡胶,tie'dian'xiang'jiao
萜烯树脂,tie'xi'shu'zhi
烃类树脂,ting'lei'shu'zhi
铜铵丝,tong'an'si
统计结构共聚物,tong'ji'jie'gou'gong'ju'wu
统计链段,tong'ji'lian'duan
统计线团,tong'ji'xian'tuan
通用高分子,tong'yong'gao'fen'zi
同种增长,tong'zhong'zeng'zhang
同轴挤塑,tong'zhou'ji'su
头头聚合物,tou'tou'ju'he'wu
头头橡胶,tou'tou'xiang'jiao
头尾聚合物,tou'wei'ju'he'wu
头尾橡胶,tou'wei'xiang'jiao
涂料,tu'liao
推迟时间,tui'chi'shi'jian
推迟时间谱,tui'chi'shi'jian'pu
退化,tui'hua
退化链转移,tui'hua'lian'zhuan'yi
脱模剂,tuo'mo'ji
脱模剂防粘剂,tuo'mo'ji'fang'zhan'ji
拓扑缠结,tuo'pu'chan'jie
拓扑化学聚合,tuo'pu'hua'xue'ju'he
脱氧核糖核酸,tuo'yang'he'tang'he'suan
外脱模剂,wai'tuo'mo'ji
外延结晶,wai'yan'jie'jing
外延结晶附生结晶,wai'yan'jie'jing'fu'sheng'jie'jing
外延晶体生长,wai'yan'jing'ti'sheng'zhang
外延晶体生长附生晶体生长,wai'yan'jing'ti'sheng'zhang'fu'sheng'jing'ti'sheng'zhang
外增塑作用,wai'zeng'su'zuo'yong
烷基磺酸酯,wan'ji'huang'suan'zhi
烷基锂引发剂,wan'ji'li'yin'fa'ji
弯曲模量,wan'qu'mo'liang
弯曲强度,wan'qu'qiang'du
弯曲应变,wan'qu'ying'bian
弯曲应力,wan'qu'ying'li
网络,wang'luo
网络聚合物,wang'luo'ju'he'wu
网络密度,wang'luo'mi'du
网络橡胶,wang'luo'xiang'jiao
微波硫化,wei'bo'liu'hua
位力系数,wei'li'xi'shu
维里系数,wei'li'xi'shu
维尼纶,wei'ni'lun
微凝胶,wei'ning'jiao
微乳液聚合,wei'ru'ye'ju'he
维通橡胶,wei'tong'xiang'jiao
尾尾聚合物,wei'wei'ju'he'wu
尾尾橡胶,wei'wei'xiang'jiao
微相,wei'xiang
尾咬转移,wei'yao'zhuan'yi
稳定自由基聚合,wen'ding'zi'you'ji'ju'he
温度,wen'du
无催化聚合,wu'cui'hua'ju'he
五单元组,wu'dan'yuan'zu
无定形相,wu'ding'xing'xiang
无纺布,wu'fang'bu
无规度,wu'gui'du
无规度无规立构度,wu'gui'du'wu'gui'li'gou'du
无规共聚合,wu'gui'gong'ju'he
无规共聚物,wu'gui'gong'ju'wu
无规降解,wu'gui'jiang'jie
无规交联,wu'gui'jiao'lian
无规聚合物,wu'gui'ju'he'wu
无规卷曲聚合物,wu'gui'juan'qu'ju'he'wu
无规卷曲橡胶,wu'gui'juan'qu'xiang'jiao
无规立构度,wu'gui'li'gou'du
无规立构聚合物,wu'gui'li'gou'ju'he'wu
无规立构嵌段,wu'gui'li'gou'qian'duan
无规立构橡胶,wu'gui'li'gou'xiang'jiao
无规线团,wu'gui'xian'tuan
无规线团模型,wu'gui'xian'tuan'mo'xing
无规橡胶,wu'gui'xiang'jiao
无规行走模型,wu'gui'xing'zou'mo'xing
无活性端聚合,wu'huo'xing'duan'ju'he
无机高分子,wu'ji'gao'fen'zi
无机有机高分子,wu'ji'you'ji'gao'fen'zi
物理缠结,wu'li'chan'jie
物理发泡,wu'li'fa'pao
物理发泡剂,wu'li'fa'pao'ji
物理交联,wu'li'jiao'lian
物理老化,wu'li'lao'hua
无流道冷料注塑,wu'liu'dao'leng'liao'zhu'su
无模硫化,wu'mo'liu'hua
无扰尺寸,wu'rao'chi'cun
无扰末端距,wu'rao'mo'duan'ju
无乳化剂乳液聚合,wu'ru'hua'ji'ru'ye'ju'he
乌氏粘度计,wu'shi'nian'du'ji
乌氏稀释粘度计,wu'shi'xi'shi'nian'du'ji
无压成型,wu'ya'cheng'xing
无压硫化,wu'ya'liu'hua
烯丙基聚合,xi'bing'ji'ju'he
烯丙基树脂,xi'bing'ji'shu'zhi
烯醇钠引发剂,xi'chun'na'yin'fa'ji
吸附聚合,xi'fu'ju'he
吸附树脂,xi'fu'shu'zhi
细颈现象,xi'jing'xian'xiang
细菌降解,xi'jun'jiang'jie
烯类聚合,xi'lei'ju'he
烯类聚合物,xi'lei'ju'he'wu
烯类聚合乙烯基聚合,xi'lei'ju'he'yi'xi'ji'ju'he
烯类橡胶乙烯基橡胶,xi'lei'xiang'jiao'yi'xi'ji'xiang'jiao
吸水性聚合物,xi'shui'xing'ju'he'wu
吸水性橡胶,xi'shui'xing'xiang'jiao
吸塑,xi'su
烯烃共聚物,xi'ting'gong'ju'wu
洗脱分级,xi'tuo'fen'ji
洗脱分级淋洗分级,xi'tuo'fen'ji'lin'xi'fen'ji
洗脱剂,xi'tuo'ji
洗脱体积,xi'tuo'ti'ji
限定几何构型,xian'ding'ji'he'gou'xing
限定几何构型茂金属催化剂,xian'ding'ji'he'gou'xing'mao'jin'shu'cui'hua'ji
线团球粒转换,xian'tuan'qiu'li'zhuan'huan
线团状聚合物,xian'tuan'zhuang'ju'he'wu
线团状橡胶,xian'tuan'zhuang'xiang'jiao
纤维,xian'wei
纤维晶,xian'wei'jing
纤维素,xian'wei'su
纤维增强塑料,xian'wei'zeng'qiang'su'liao
线型低密度聚乙烯,xian'xing'di'mi'du'ju'yi'xi
线型聚合物,xian'xing'ju'he'wu
线性粘弹性,xian'xing'nian'tan'xing
线型橡胶,xian'xing'xiang'jiao
相对粘度,xiang'dui'nian'du
相对粘度增量,xiang'dui'nian'du'zeng'liang
相分离,xiang'fen'li
相关长度,xiang'guan'chang'du
相互作用参数,xiang'hu'zuo'yong'can'shu
橡胶,xiang'jiao
橡胶改性塑料,xiang'jiao'gai'xing'su'liao
橡胶胶乳,xiang'jiao'jiao'ru
橡胶配合,xiang'jiao'pei'he
橡胶态,xiang'jiao'tai
向列相,xiang'lie'xiang
相邻再入模型,xiang'lin'zai'ru'mo'xing
相容性,xiang'rong'xing
相溶性,xiang'rong'xing
镶铸,xiang'zhu
相转化聚合,xiang'zhuan'hua'ju'he
消除聚合,xiao'chu'ju'he
硝化纤维素,xiao'hua'xian'wei'su
硝基纤维素,xiao'ji'xian'wei'su
小角激光光散射,xiao'jiao'ji'guang'guang'san'she
消泡剂,xiao'pao'ji
硝酸纤维素,xiao'suan'xian'wei'su
形变,xing'bian
形变变形,xing'bian'bian'xing
星形聚合物,xing'xing'ju'he'wu
星形橡胶,xing'xing'xiang'jiao
形状记忆高分子,xing'zhuang'ji'yi'gao'fen'zi
序列长度分布,xu'lie'chang'du'fen'bu
序列共聚物,xu'lie'gong'ju'wu
序列聚合,xu'lie'ju'he
悬浮聚合,xuan'fu'ju'he
悬浮聚合聚氯乙烯,xuan'fu'ju'he'ju'lv'yi'xi
旋转光闸法,xuan'zhuan'guang'zha'fa
血液相容性,xue'ye'xiang'rong'xing
压电高分子,ya'dian'gao'fen'zi
压痕硬度,ya'hen'ying'du
压敏粘合,ya'min'nian'he
压敏型粘合剂,ya'min'xing'nian'he'ji
压片,ya'pian
压缩变形,ya'suo'bian'xing
压缩成型,ya'suo'cheng'xing
压缩强度,ya'suo'qiang'du
压缩永久变形,ya'suo'yong'jiu'bian'xing
亚稳态,ya'wen'tai
亚稳相分离,ya'wen'xiang'fen'li
亚硝基氟橡胶,ya'xiao'ji'fu'xiang'jiao
压延,ya'yan
压延性,ya'yan'xing
亚乙烯基单体,ya'yi'xi'ji'dan'ti
亚乙烯基单体二取代乙烯单体,ya'yi'xi'ji'dan'ti'er'qu'dai'yi'xi'dan'ti
亚乙烯基单体偏二取代乙烯单体,ya'yi'xi'ji'dan'ti'pian'er'qu'dai'yi'xi'dan'ti
延迟弹性,yan'chi'tan'xing
延迟形变,yan'chi'xing'bian
延迟作用,yan'chi'zuo'yong
延性破裂,yan'xing'po'lie
厌氧粘合剂,yan'yang'nian'he'ji
氧化丙烯橡胶聚烯烃,yang'hua'bing'xi'xiang'jiao'ju'xi'ting
氧化还原聚合,yang'hua'huan'yuan'ju'he
氧化还原树脂,yang'hua'huan'yuan'shu'zhi
氧化还原引发剂,yang'hua'huan'yuan'yin'fa'ji
氧化聚合,yang'hua'ju'he
氧化偶联聚合,yang'hua'ou'lian'ju'he
氧化性聚合物,yang'hua'xing'ju'he'wu
氧化性橡胶,yang'hua'xing'xiang'jiao
阳离子聚合,yang'li'zi'ju'he
氧桥双金属烷氧化物,yang'qiao'shuang'jin'shu'wan'yang'hua'wu
氧桥双金属烷氧化物催化剂,yang'qiao'shuang'jin'shu'wan'yang'hua'wu'cui'hua'ji
杨氏模量,yang'shi'mo'liang
氧杂环丁烷聚合物,yang'za'huan'ding'wan'ju'he'wu
氧杂环丁烷橡胶,yang'za'huan'ding'wan'xiang'jiao
遥爪聚合物,yao'zhao'ju'he'wu
遥爪橡胶,yao'zhao'xiang'jiao
液晶纺丝,ye'jing'fang'si
液晶高分子,ye'jing'gao'fen'zi
液晶态,ye'jing'tai
液体橡胶,ye'ti'xiang'jiao
乙丙二元橡胶,yi'bing'er'yuan'xiang'jiao
乙丙三元橡胶,yi'bing'san'yuan'xiang'jiao
乙丙橡胶,yi'bing'xiang'jiao
已二酸辛酯苄酯,yi'er'suan'xin'zhi'bian'zhi
异构化聚合,yi'gou'hua'ju'he
异规聚合物,yi'gui'ju'he'wu
异规橡胶,yi'gui'xiang'jiao
乙基纤维素,yi'ji'xian'wei'su
乙阶酚醛树脂,yi'jie'fen'quan'shu'zhi
乙炔类聚合物,yi'que'lei'ju'he'wu
乙炔类橡胶,yi'que'lei'xiang'jiao
乙酸丙酸纤维素,yi'suan'bing'suan'xian'wei'su
乙酸丁酸纤维素,yi'suan'ding'suan'xian'wei'su
乙酸纤维素,yi'suan'xian'wei'su
乙酸纤维素醋纤人造丝,yi'suan'xian'wei'su'cu'xian'ren'zao'si
易位聚合,yi'wei'ju'he
异戊二烯橡胶,yi'wu'er'xi'xiang'jiao
异戊二烯橡胶聚酰亚胺,yi'wu'er'xi'xiang'jiao'ju'xian'ya'an
异戊橡胶,yi'wu'xiang'jiao
乙烯共聚体与沥青混合物,yi'xi'gong'ju'ti'yu'li'qing'hun'he'wu
乙烯基单体,yi'xi'ji'dan'ti
乙烯基聚合,yi'xi'ji'ju'he
乙烯基聚合物,yi'xi'ji'ju'he'wu
乙烯四氟乙烯共聚物,yi'xi'si'fu'yi'xi'gong'ju'wu
乙烯乙酸乙烯酯共聚物,yi'xi'yi'suan'yi'xi'zhi'gong'ju'wu
乙烯乙酸乙烯酯橡胶,yi'xi'yi'suan'yi'xi'zhi'xiang'jiao
医用高分子,yi'yong'gao'fen'zi
异质复合纤维,yi'zhi'fu'he'xian'wei
异质同晶聚合物,yi'zhi'tong'jing'ju'he'wu
异质同晶橡胶,yi'zhi'tong'jing'xiang'jiao
引发剂,yin'fa'ji
引发剂活性,yin'fa'ji'huo'xing
引发剂效率,yin'fa'ji'xiao'lv
引发转移剂,yin'fa'zhuan'yi'ji
引发转移终止剂,yin'fa'zhuan'yi'zhong'zhi'ji
阴离子聚合,yin'li'zi'ju'he
茚树脂,yin'shu'zhi
银纹,yin'wen
应变能,ying'bian'neng
应变软化,ying'bian'ruan'hua
应变硬化,ying'bian'ying'hua
应变张量,ying'bian'zhang'liang
荧光增白剂,ying'guang'zeng'bai'ji
硬化纸板,ying'hua'zhi'ban
硬聚氨酯弹性体,ying'ju'an'zhi'tan'xing'ti
应力开裂,ying'li'kai'lie
应力强度因子,ying'li'qiang'du'yin'zi
应力应变曲线,ying'li'ying'bian'qu'xian
应力致白,ying'li'zhi'bai
硬质胶,ying'zhi'jiao
缨状微束模型,ying'zhuang'wei'shu'mo'xing
永久变形,yong'jiu'bian'xing
油充橡胶,you'chong'xiang'jiao
诱导分解,you'dao'fen'jie
诱导期,you'dao'qi
有规聚合物,you'gui'ju'he'wu
有规立构聚合,you'gui'li'gou'ju'he
有规立构聚合物,you'gui'li'gou'ju'he'wu
有规立构嵌段,you'gui'li'gou'qian'duan
有规立构橡胶,you'gui'li'gou'xiang'jiao
有机高分子,you'ji'gao'fen'zi
有机硅树脂,you'ji'gui'shu'zhi
有机无机杂化材料,you'ji'wu'ji'za'hua'cai'liao
游离基聚合,you'li'ji'ju'he
油漆,you'qi
右旋糖酐,you'xuan'tang'gan
预发颗粒,yu'fa'ke'li
淤浆聚合,yu'jiang'ju'he
预聚合,yu'ju'he
预聚物,yu'ju'wu
远螯聚合物,yuan'ao'ju'he'wu
远螯橡胶,yuan'ao'xiang'jiao
远程分子内相互作用,yuan'cheng'fen'zi'nei'xiang'hu'zuo'yong
远程结构,yuan'cheng'jie'gou
元素高分子,yuan'su'gao'fen'zi
原位复合材料,yuan'wei'fu'he'cai'liao
原位聚合,yuan'wei'ju'he
原纤,yuan'xian
原子转移自由基聚合,yuan'zi'zhuan'yi'zi'you'ji'ju'he
杂环高分子,za'huan'gao'fen'zi
杂聚物,za'ju'wu
杂链聚合物,za'lian'ju'he'wu
杂链橡胶,za'lian'xiang'jiao
杂同立构聚合物,za'tong'li'gou'ju'he'wu
杂同立构橡胶,za'tong'li'gou'xiang'jiao
再聚合,zai'ju'he
再生胶,zai'sheng'jiao
再引发,zai'yin'fa
藻朊酸纤维,zao'ruan'suan'xian'wei
增稠剂,zeng'chou'ji
增粘剂,zeng'nian'ji
增强,zeng'qiang
增强剂,zeng'qiang'ji
增强剂补强剂,zeng'qiang'ji'bu'qiang'ji
增强塑料,zeng'qiang'su'liao
增韧剂,zeng'ren'ji
增容剂,zeng'rong'ji
增容作用,zeng'rong'zuo'yong
增塑剂,zeng'su'ji
增塑溶胶,zeng'su'rong'jiao
增塑增容剂,zeng'su'zeng'rong'ji
增塑作用,zeng'su'zuo'yong
增硬剂,zeng'ying'ji
增长链端,zeng'zhang'lian'duan
粘胶丝,zhan'jiao'si
粘均分子量,zhan'jun'fen'zi'liang
粘流态,zhan'liu'tai
粘数,zhan'shu
折叠表面,zhe'die'biao'mian
折叠链,zhe'die'lian
折叠链晶体,zhe'die'lian'jing'ti
折叠面,zhe'die'mian
折叠微区,zhe'die'wei'qu
折光指数增量,zhe'guang'zhi'shu'zeng'liang
真空成型,zhen'kong'cheng'xing
真空成型又称吸塑,zhen'kong'cheng'xing'you'cheng'xi'su
真空袋成型,zhen'kong'dai'cheng'xing
真空烧结,zhen'kong'shao'jie
正离子催化剂,zheng'li'zi'cui'hua'ji
正离子交换膜,zheng'li'zi'jiao'huan'mo
正离子交换树脂,zheng'li'zi'jiao'huan'shu'zhi
正离子聚合,zheng'li'zi'ju'he
正离子引发剂,zheng'li'zi'yin'fa'ji
蒸汽硫化,zheng'qi'liu'hua
蒸气压渗透法,zheng'qi'ya'shen'tou'fa
脂肪族环氧树脂,zhi'fang'zu'huan'yang'shu'zhi
脂肪族聚酯,zhi'fang'zu'ju'zhi
织构,zhi'gou
支化度,zhi'hua'du
支化聚合物,zhi'hua'ju'he'wu
支化密度,zhi'hua'mi'du
支化系数,zhi'hua'xi'shu
支化橡胶,zhi'hua'xiang'jiao
酯交换型聚合,zhi'jiao'huan'xing'ju'he
支链,zhi'lian
支链淀粉,zhi'lian'dian'fen
直链淀粉,zhi'lian'dian'fen
直链高分子,zhi'lian'gao'fen'zi
质量分布函数,zhi'liang'fen'bu'han'shu
智能聚合物,zhi'neng'ju'he'wu
智能橡胶,zhi'neng'xiang'jiao
重均分子量,zhong'jun'fen'zi'liang
中空纤维,zhong'kong'xian'wei
重量分布函数,zhong'liang'fen'bu'han'shu
中密度聚乙烯,zhong'mi'du'ju'yi'xi
终止剂,zhong'zhi'ji
种子聚合,zhong'zi'ju'he
轴晶,zhou'jing
周期共聚物,zhou'qi'gong'ju'wu
珠棒模型,zhu'bang'mo'xing
逐步共聚合,zhu'bu'gong'ju'he
逐步加成聚合,zhu'bu'jia'cheng'ju'he
逐步增长聚合,zhu'bu'zeng'zhang'ju'he
柱分级,zhu'fen'ji
主结晶,zhu'jie'jing
主链,zhu'lian
主链链骨架,zhu'lian'lian'gu'jia
主链型液晶聚合物,zhu'lian'xing'ye'jing'ju'he'wu
主链型液晶橡胶,zhu'lian'xing'ye'jing'xiang'jiao
注射成型,zhu'she'cheng'xing
铸塑,zhu'su
铸塑成型,zhu'su'cheng'xing
注塑焊接,zhu'su'han'jie
铸塑聚合,zhu'su'ju'he
注塑压缩成型,zhu'su'ya'suo'cheng'xing
珠状聚合,zhu'zhuang'ju'he
锥形共聚物,zhui'xing'gong'ju'wu
着色剂,zhuo'se'ji
自避随机行走模型,zi'bi'sui'ji'xing'zou'mo'xing
自催化缩聚,zi'cui'hua'suo'ju
自动加速效应,zi'dong'jia'su'xiao'ying
自动硫化,zi'dong'liu'hua
自发聚合,zi'fa'ju'he
自发终止,zi'fa'zhong'zhi
紫胶,zi'jiao
紫胶虫胶,zi'jiao'chong'jiao
自交联,zi'jiao'lian
自硫化,zi'liu'hua
紫外光吸收剂,zi'wai'guang'xi'shou'ji
紫外线稳定剂,zi'wai'xian'wen'ding'ji
自由基捕获剂,zi'you'ji'bu'huo'ji
自由基共聚合,zi'you'ji'gong'ju'he
自由基聚合,zi'you'ji'ju'he
自由基开环聚合,zi'you'ji'kai'huan'ju'he
自由基链降解,zi'you'ji'lian'jiang'jie
自由基寿命,zi'you'ji'shou'ming
自由基异构化聚合,zi'you'ji'yi'gou'hua'ju'he
自由基引发剂,zi'you'ji'yin'fa'ji
自由连接链,zi'you'lian'jie'lian
自由旋转链,zi'you'xuan'zhuan'lian
自增强聚合物,zi'zeng'qiang'ju'he'wu
自增强橡胶,zi'zeng'qiang'xiang'jiao
自增长,zi'zeng'zhang
自终止,zi'zhong'zhi
自组装,zi'zu'zhuang
组成非均一性,zu'cheng'fei'jun'yi'xing
组合纤维,zu'he'xian'wei
阻聚剂,zu'ju'ji
阻聚作用,zu'ju'zuo'yong
阻燃剂,zu'ran'ji
阻透聚合物,zu'tou'ju'he'wu
阻透橡胶,zu'tou'xiang'jiao
阻粘剂,zu'zhan'ji
阻滞剂,zu'zhi'ji
组织相容性,zu'zhi'xiang'rong'xing
最低临界共溶温度,zui'di'lin'jie'gong'rong'wen'du
最概然分布,zui'gai'ran'fen'bu
最高临界共溶温度,zui'gao'lin'jie'gong'rong'wen'du
最可几分布,zui'ke'ji'fen'bu
