阿搭爾,a'da'er
洗面,xi'mian
洗頭水,xi'tou'shui
蟢網,xi'wang
蟢網絣起,xi'wang'bing'qi
細細嘅,xi'xi'ge
洗洗過,xi'xi'guo
細險,xi'xian
兮咸嗰,xi'xian'ge
洗衣裳,xi'yi'shang
下大陳,xia'da'chen
下底,xia'di
下嗰月日,xia'ge'yue'ri
下個月頭,xia'ge'yue'tou
下嗰月頭,xia'ge'yue'tou
下個月月,xia'ge'yue'yue
下頷,xia'han
下橫頭,xia'heng'tou
下橛儿,xia'jue'er
下門,xia'men
下面,xia'mian
下年,xia'nian
下手,xia'shou
下頭,xia'tou
狹險,xia'xian
下向,xia'xiang
下月儿,xia'yue'er
下月份,xia'yue'fen
莧菜,xian'cai
鮮潮,xian'chao
鹹潮水,xian'chao'shui
鹹淡,xian'dan
見得出,xian'de'chu
咸爾,xian'er
咸爾講,xian'er'jiang
咸爾睏,xian'er'kun
咸爾去,xian'er'qu
見弗出,xian'fu'chu
咸橫,xian'heng
譀話,xian'hua
線捲,xian'juan
見勒出,xian'le'chu
閒兩遍,xian'liang'bian
閒兩時,xian'liang'shi
仙人臭,xian'ren'chou
線衫,xian'shan
閒事,xian'shi
鮮甜,xian'tian
餡頭,xian'tou
先頭,xian'tou
鮮味,xian'wei
咸許,xian'xu
咸伊,xian'yi
相幫,xiang'bang
相幫人,xiang'bang'ren
相干,xiang'gan
相貌,xiang'mao
向門,xiang'men
橡皮揩,xiang'pi'kai
香頭,xiang'tou
響險,xiang'xian
相像,xiang'xiang
相信,xiang'xin
相信迷信,xiang'xin'mi'xin
向轉,xiang'zhuan
肖大蛇,xiao'da'she
笑倒,xiao'dao
笑倒嗰,xiao'dao'ge
曉得,xiao'de
小凳眼,xiao'deng'yan
消毒箸,xiao'du'zhu
曉弗得,xiao'fu'de
肖狗,xiao'gou
小行販,xiao'hang'fan
肖虎,xiao'hu
肖猢猻,xiao'hu'sun
小猢猻,xiao'hu'sun
肖雞,xiao'ji
小間,xiao'jian
小間裏,xiao'jian'li
小可,xiao'ke
肖老虎,xiao'lao'hu
肖老鼠,xiao'lao'shu
曉勒,xiao'le
肖龍,xiao'long
肖馬,xiao'ma
肖牛,xiao'niu
小人腔,xiao'ren'qiang
肖蛇,xiao'she
肖鼠,xiao'shu
小書,xiao'shu
小糖梗,xiao'tang'geng
肖兔,xiao'tu
笑玩,xiao'wan
肖羊,xiao'yang
肖豬,xiao'zhu
寫撥,xie'bo
寫不來,xie'bu'lai
寫出來,xie'chu'lai
寫得來,xie'de'lai
鞋底墊,xie'di'dian
鞋肚裏,xie'du'li
鞋肚裡,xie'du'li
寫功,xie'gong
嚡橫,xie'heng
寫牢定,xie'lao'ding
鞋面雙,xie'mian'shuang
嚡某,xie'mou
嚡某相干,xie'mou'xiang'gan
謝年,xie'nian
鞋爿,xie'pan
邪氣,xie'qi
些數,xie'shuo
鞋套,xie'tao
鞋拖,xie'tuo
寫寫過,xie'xie'guo
寫爻,xie'yao
歇爻,xie'yao
寫意,xie'yi
寫著,xie'zhu
屑著渠,xie'zhu'qu
寫字,xie'zi
寫賺,xie'zuan
新婦,xin'fu
新婦娘,xin'fu'niang
心過,xin'guo
馨好,xin'hao
心化,xin'hua
新來竅,xin'lai'qiao
新郎官,xin'lang'guan
馨若,xin'ruo
心事,xin'shi
新時,xin'shi
心窩窟,xin'wo'ku
新險,xin'xian
心性,xin'xing
馨樣,xin'yang
擤鼻頭涕,xing'bi'tou'ti
性化,xing'hua
蛵蛉,xing'ling
性命交關,xing'ming'jiao'guan
行頭,xing'tou
兄弟,xiong'di
兄弟隊,xiong'di'dui
雄雞,xiong'ji
雄雞頭,xiong'ji'tou
胸脯頭,xiong'pu'tou
雄豬,xiong'zhu
嗅嗅,xiu'xiu
休要,xiu'yao
休要躃,xiu'yao'bi
休要忖,xiu'yao'cun
休要打,xiu'yao'da
休要關,xiu'yao'guan
休要關來,xiu'yao'guan'lai
休要關爻,xiu'yao'guan'yao
休要賤,xiu'yao'jian
休要講,xiu'yao'jiang
休要開,xiu'yao'kai
休要開去,xiu'yao'kai'qu
休要開爻,xiu'yao'kai'yao
休要逃,xiu'yao'tao
休要聽,xiu'yao'ting
休要問,xiu'yao'wen
休要屑著渠,xiu'yao'xie'zhu'qu
許某,xu'mou
許某事,xu'mou'shi
虛肨,xu'pang
眩人笑,xuan'ren'xiao
旋轉,xuan'zhuan
學撥,xue'bo
尋爾,xun'er
尋弗來,xun'fu'lai
尋弗著,xun'fu'zhu
尋來,xun'lai
尋渠,xun'qu
尋死,xun'si
尋我,xun'wo
尋尋,xun'xun
尋著,xun'zhu
鴨黃,ya'huang
啞佬,ya'lao
壓歲鈿,ya'sui'tian
崖塔,ya'ta
鴨子,ya'zi
鉛筆鉋,yan'bi'bao
鉛筆卷,yan'bi'juan
晏邊,yan'bian
沿邊,yan'bian
鹽菜,yan'cai
掩搭掩,yan'da'yan
眼弗,yan'fu
眼弗自覺,yan'fu'zi'jue
焉嗰,yan'ge
焉嘅,yan'ge
焉嗰人,yan'ge'ren
晏跟,yan'gen
晏界,yan'jie
晏界頭,yan'jie'tou
眼淚水,yan'lei'shui
眼泡皮,yan'pao'pi
岩皮頭,yan'pi'tou
顏色膏,yan'se'gao
雁山,yan'shan
掩壽,yan'shou
鉛絲,yan'si
眼烏珠,yan'wu'zhu
眼烏珠子,yan'wu'zhu'zi
岩陷,yan'xian
晏險,yan'xian
鹽鴨蛋,yan'ya'dan
眼眼,yan'yan
岩嶽,yan'yue
閹豬客,yan'zhu'ke
鹽豬肉,yan'zhu'rou
眼子,yan'zi
洋蔥柱,yang'cong'zhu
央爾,yang'er
洋番薯,yang'fan'shu
洋糞,yang'fen
洋號,yang'hao
洋鑊,yang'huo
洋火,yang'huo
央稘爾,yang'ji'er
樣加樣,yang'jia'yang
洋蠟燭,yang'la'zhu
陽曆,yang'li
陽曆過年,yang'li'guo'nian
央渠,yang'qu
樣式,yang'shi
洋鈿,yang'tian
洋襪,yang'wa
央央爾,yang'yang'er
樣樣嘅,yang'yang'ge
央央渠,yang'yang'qu
洋油燈,yang'you'deng
洋芋頭,yang'yu'tou
洋皂,yang'zao
仰轉,yang'zhuan
要不得妝,yao'bu'de'zhuang
腰部頭,yao'bu'tou
約吃緊,yao'chi'jin
約打緊,yao'da'jin
要弗得,yao'fu'de
約哽緊,yao'geng'jin
腰鬟,yao'huan
要緊,yao'jin
舀酒,yao'jiu
遙控板,yao'kong'ban
咬口,yao'kou
搖會,yao'kuai
約睏,yao'kun
約睏緊,yao'kun'jin
舀老酒,yao'lao'jiu
要勒得,yao'le'de
要勒得妝,yao'le'de'zhuang
藥料,yao'liao
要料,yao'liao
約去緊,yao'qu'jin
約死,yao'si
約趒緊,yao'tiao'jin
腰頭,yao'tou
搖頭框,yao'tou'kuang
約望緊,yao'wang'jin
藥圓,yao'yuan
夜底,ye'di
夜飯,ye'fan
夜加夜,ye'jia'ye
夜接力,ye'jie'li
夜裏,ye'li
夜裡,ye'li
野人,ye'ren
野桑,ye'sang
耶穌教堂,ye'su'jiao'tang
夜烏,ye'wu
夜遊,ye'you
夜遊頭,ye'you'tou
一百塊頭,yi'bai'kuai'tou
一班,yi'ban
翼膀,yi'bang
一部車,yi'bu'ju
一杈,yi'cha
一昶,yi'chang
一廚飯,yi'chu'fan
一床,yi'chuang
一床被,yi'chuang'bei
以耷儿,yi'da'er
一堆頭,yi'dui'tou
一垡,yi'fa
以方,yi'fang
伊方,yi'fang
一分洋鈿,yi'fen'yang'tian
一嗰,yi'ge
一嘅,yi'ge
以個,yi'ge
以嗰,yi'ge
伊嗰,yi'ge
伊嘅,yi'ge
咦嗰,yi'ge
咦嗰好,yi'ge'hao
咦嗰好看,yi'ge'hao'kan
咦嗰快,yi'ge'kuai
咦嗰快無用,yi'ge'kuai'mo'yong
一嗰人,yi'ge'ren
咦嗰吞,yi'ge'tun
以橫,yi'heng
伊橫,yi'heng
一記,yi'ji
一朞,yi'ji
一稘,yi'ji
一記打,yi'ji'da
一稘呆,yi'ji'dai
一稘講,yi'ji'jiang
一稘落,yi'ji'luo
一稘上,yi'ji'shang
一稘望,yi'ji'wang
一稘著,yi'ji'zhu
一家人,yi'jia'ren
一角頭,yi'jiao'tou
一角洋鈿,yi'jiao'yang'tian
一界,yi'jie
一窠頭,yi'ke'tou
一塊,yi'kuai
一塊頭,yi'kuai'tou
椅裡,yi'li
一兩垡,yi'liang'fa
一兩分鐘,yi'liang'fen'zhong
一兩許,yi'liang'xu
一落,yi'luo
以門,yi'men
伊門,yi'men
以面,yi'mian
伊面,yi'mian
一屁風,yi'pi'feng
一瓢羹,yi'piao'geng
一千嗰,yi'qian'ge
一日,yi'ri
衣裳,yi'shang
衣裳肚裏,yi'shang'du'li
衣裳車,yi'shang'ju
衣裳褲,yi'shang'ku
衣裳裏,yi'shang'li
一聲把,yi'sheng'ba
一聲把嗽,yi'sheng'ba'sou
醫師,yi'shi
一世,yi'shi
一時,yi'shi
一世人,yi'shi'ren
一雙箸,yi'shuang'zhu
意思頭,yi'si'tou
一堂,yi'tang
一統,yi'tong
以頭,yi'tou
伊頭,yi'tou
一許,yi'xu
以許,yi'xu
伊許,yi'xu
一許人,yi'xu'ren
一舀,yi'yao
勩爻,yi'yao
以早,yi'zao
一枝,yi'zhi
一隻袋,yi'zhi'dai
醫轉起,yi'zhuan'qi
陰冰冷,yin'bing'leng
陰蕩,yin'dang
陰性,yin'xing
銀洋鈿,yin'yang'tian
硬繃繃,ying'beng'beng
硬刀,ying'dao
螢火,ying'huo
應會,ying'kuai
硬殼,ying'qiao
硬殼傢火,ying'qiao'jia'huo
硬殼紙板,ying'qiao'zhi'ban
硬頭頸,ying'tou'jing
硬險,ying'xian
硬燥辮,ying'zao'bian
應嘴,ying'zui
用大,yong'da
用牢定,yong'lao'ding
用頭,yong'tou
用爻,yong'yao
用用,yong'yong
有本事,you'ben'shi
油餅,you'bing
有膽,you'dan
油彈,you'dan
有得,you'de
有隊,you'dui
有杲,you'gao
有夠,you'gou
有夠爻,you'gou'yao
油餜,you'guo
有可,you'ke
有可過,you'ke'guo
有可過門,you'ke'guo'men
有可落臺,you'ke'luo'tai
有勒,you'le
有勒吃,you'le'chi
有勒好,you'le'hao
有勒賤,you'le'jian
有勒攪,you'le'jiao
有勒賣,you'le'mai
有料,you'liao
幽貓烏,you'mao'wu
幽貓幽,you'mao'you
油泡,you'pao
油泡餜,you'pao'guo
油泡蝦,you'pao'ha
有起事幹,you'qi'shi'gan
有趣,you'qu
有趣相,you'qu'xiang
有事幹,you'shi'gan
有事幹牢,you'shi'gan'lao
有事幹牢定,you'shi'gan'lao'ding
有數,you'shuo
有閒,you'xian
有相干,you'xiang'gan
幽爻,you'yao
有爻,you'yao
油衣,you'yi
油紙,you'zhi
油紙袋,you'zhi'dai
油柱,you'zhu
魚肚,yu'du
魚蝦訥喊,yu'ha'ne'han
雨花,yu'hua
雨花毛,yu'hua'mao
雨花濛,yu'hua'meng
雨落來爻,yu'luo'lai'yao
魚生,yu'sheng
浴室間,yu'shi'jian
魚圓,yu'yuan
遠客,yuan'ke
圓礌礌,yuan'lei'lei
圓圝圝,yuan'luan'luan
圓落起,yuan'luo'qi
圓臍,yuan'qi
月白藍,yue'bai'lan
月初,yue'chu
樂得,yue'de
月底,yue'di
越發,yue'fa
月裏,yue'li
月亮佛,yue'liang'fo
月日,yue'ri
月頭,yue'tou
月月,yue'yue
運道,yun'dao
咋某,za'mou
咋某牢,za'mou'lao
咋某去,za'mou'qu
咋某爻,za'mou'yao
咋某著,za'mou'zhu
在外,zai'wai
讚險,zan'xian
藏青色,zang'qing'se
早遲,zao'chi
唣嗰,zao'ge
燥貨,zao'huo
早接,zao'jie
早界,zao'jie
早接力,zao'jie'li
早界頭,zao'jie'tou
燥渴,zao'ke
造孽,zao'nie
噪平反,zao'ping'fan
早日儿,zao'ri'er
早時,zao'shi
灶虱,zao'shi
燥鬆鬆,zao'song'song
燥索,zao'suo
糟蹋,zao'ta
早險,zao'xian
糟心,zao'xin
糟製,zao'zhi
側轉,ze'zhuan
賊骨頭,zei'gu'tou
賊胚,zei'pei
怎兒,zen'er
怎兒弗,zen'er'fu
怎兒嘅,zen'er'ge
怎兒好,zen'er'hao
怎兒講,zen'er'jiang
怎兒妝,zen'er'zhuang
怎兒妝法,zen'er'zhuang'fa
怎兒妝妝,zen'er'zhuang'zhuang
怎生,zen'sheng
怎生著,zen'sheng'zhu
閘刀,zha'dao
扎口,zha'kou
柵欄,zha'lan
軋弄廂陷,zha'nong'xiang'xian
摘日頭,zhai'ri'tou
盞加盞,zhan'jia'zhan
張加張,zhang'jia'zhang
賬空爻,zhang'kong'yao
帳空爻,zhang'kong'yao
張來,zhang'lai
張頭望腦,zhang'tou'wang'nao
照理講,zhao'li'jiang
照名份,zhao'ming'fen
照排隊,zhao'pai'dui
照樣,zhao'yang
招正舍,zhao'zheng'she
摺被,zhe'bei
摺來,zhe'lai
摺起,zhe'qi
眞內行,zhen'nei'xing
針黹,zhen'zhi
珍珠矮,zhen'zhu'ai
珍珠米,zhen'zhu'mi
整拔埭,zheng'ba'dai
整班,zheng'ban
整班人,zheng'ban'ren
正場,zheng'chang
整長日,zheng'chang'ri
整長夜,zheng'chang'ye
正當性,zheng'dang'xing
整堆頭,zheng'dui'tou
整嗰人,zheng'ge'ren
整家,zheng'jia
整家人,zheng'jia'ren
整間,zheng'jian
整間屋,zheng'jian'wu
整窠頭,zheng'ke'tou
正面,zheng'mian
整身,zheng'shen
正是,zheng'shi
正月旬頭,zheng'yue'xun'tou
隻加隻,zhi'jia'zhi
知節,zhi'jie
紙頭,zhi'tou
止血膠布,zhi'xue'jiao'bu
直轉,zhi'zhuan
中半分,zhong'ban'fen
種地頭,zhong'di'tou
種加種,zhong'jia'zhong
眾牲,zhong'sheng
眾生,zhong'sheng
重險,zhong'xian
中央,zhong'yang
中央個,zhong'yang'ge
中央嘅,zhong'yang'ge
中央間,zhong'yang'jian
中央臺,zhong'yang'tai
中意,zhong'yi
晝飯,zhou'fan
晝後,zhou'hou
晝了,zhou'le
晝前,zhou'qian
周圍,zhou'wei
疰船,zhu'chuan
著得,zhu'de
豬肚,zhu'du
豬肚腸,zhu'du'chang
豬缸釀鹵,zhu'gang'niang'lu
著嗰,zhu'ge
竹管,zhu'guan
疰車,zhu'ju
豬腳,zhu'jue
豬腳蹄,zhu'jue'ti
豬腳蹄跁,zhu'jue'ti'ba
註牢,zhu'lao
著勒,zhu'le
箸籠,zhu'long
豬姆孃頭,zhu'mu'niang'tou
豬腦膏,zhu'nao'gao
豬孃,zhu'niang
著棋,zhu'qi
豬殺去爻,zhu'sha'qu'yao
著上著,zhu'shang'zhu
著圍棋,zhu'wei'qi
疰夏,zhu'xia
著象棋,zhu'xiang'qi
豬雄,zhu'xiong
逐眼,zhu'yan
著爻,zhu'yao
豬腰,zhu'yao
著意,zhu'yi
著衣裳,zhu'yi'shang
豬種,zhu'zhong
轉遍,zhuan'bian
轉垡,zhuan'fa
轉來,zhuan'lai
轉來年,zhuan'lai'nian
轉去,zhuan'qu
轉日,zhuan'ri
轉日儿,zhuan'ri'er
轉世,zhuan'shi
妝扮,zhuang'ban
妝不利清,zhuang'bu'li'qing
妝賭快,zhuang'du'kuai
妝法,zhuang'fa
妝嗰,zhuang'ge
妝功,zhuang'gong
妝及死,zhuang'ji'si
妝吤某,zhuang'jie'mou
妝來健,zhuang'lai'jian
妝牢定,zhuang'lao'ding
妝落去,zhuang'luo'qu
妝起,zhuang'qi
妝清爽,zhuang'qing'shuang
妝生活,zhuang'sheng'huo
妝死,zhuang'si
妝死骨頭,zhuang'si'gu'tou
妝玩,zhuang'wan
妝嚡某,zhuang'xie'mou
妝著,zhuang'zhu
妝妝,zhuang'zhuang
妝妝過,zhuang'zhuang'guo
妝妝玩,zhuang'zhuang'wan
準定,zhun'ding
捉橫,zhuo'heng
捉跤,zhuo'jiao
捉來,zhuo'lai
捉拾飯碗,zhuo'shi'fan'wan
捉豎,zhuo'shu
捉梭,zhuo'suo
捉直,zhuo'zhi
自傲店,zi'ao'dian
自動筆,zi'dong'bi
自講自,zi'jiang'zi
自解自,zi'jie'zi
自來火,zi'lai'huo
自趒自,zi'tiao'zi
自妝自,zi'zhuang'zi
走得,zou'de
走來健,zou'lai'jian
走勒,zou'le
走轉,zou'zhuan
賺孃姆,zuan'niang'mu
賺淘氣,zuan'tao'qi
賺爻,zuan'yao
嘴巴沿,zui'ba'yan
嘴饞,zui'chan
嘴多,zui'duo
嘴多險,zui'duo'xian
罪過,zui'guo
嘴頭,zui'tou
坐班房,zuo'ban'fang
坐被頭,zuo'bei'tou
做隊,zuo'dui
做糕,zuo'gao
作怪,zuo'guai
做戲,zuo'hu
做戲人,zuo'hu'ren
做花,zuo'hua
做勁,zuo'jing
坐可,zuo'ke
做牢定,zuo'lao'ding
坐牢牢,zuo'lao'lao
做謎,zuo'mei
做木匠,zuo'mu'jiang
做人家,zuo'ren'jia
昨日,zuo'ri
昨日儿,zuo'ri'er
昨日黃昏,zuo'ri'huang'hun
做生活,zuo'sheng'huo
做生日,zuo'sheng'ri
做生意,zuo'sheng'yi
做生做旦,zuo'sheng'zuo'dan
做事幹,zuo'shi'gan
做手勢,zuo'shou'shi
作酸,zuo'suan
做頭,zuo'tou
做頭睏,zuo'tou'kun
做相幫,zuo'xiang'bang
作興,zuo'xing
昨夜,zuo'ye
做圓,zuo'yuan
做月裏,zuo'yue'li
做正,zuo'zheng
做著,zuo'zhu
