阿拉伯婆婆纳,a'la'bo'po'po'na
李叶绣线菊,li'ye'xiu'xian'ju
梨叶悬钩子,li'ye'xuan'gou'zi
狸藻科,li'zao'ke
狸藻属,li'zao'shu
狸藻属分种检索表,li'zao'shu'fen'zhong'jian'suo'biao
荔枝,li'zhi
荔枝草,li'zhi'cao
荔枝属,li'zhi'shu
镰翅羊耳蒜,lian'chi'yang'er'suan
楝科,lian'ke
连钱黄芩,lian'qian'huang'qin
连翘,lian'qiao
连翘属,lian'qiao'shu
楝属,lian'shu
楝树,lian'shu
莲属,lian'shu
连香树,lian'xiang'shu
连香树科,lian'xiang'shu'ke
连香树属,lian'xiang'shu'shu
连珠毛兰,lian'zhu'mao'lan
莲子草,lian'zi'cao
莲子草属,lian'zi'cao'shu
帘子藤属,lian'zi'teng'shu
莲座紫金牛,lian'zuo'zi'jin'niu
凉粉草,liang'fen'cao
凉粉草属,liang'fen'cao'shu
两面针,liang'mian'zhen
两歧飘拂草,liang'qi'piao'fu'cao
两色冻绿,liang'se'dong'lv
两色金鸡菊,liang'se'jin'ji'ju
两色三七草,liang'se'san'qi'cao
梁山牡竹,liang'shan'mu'zhu
晾衫竹,liang'shan'zhu
两头莲,liang'tou'lian
两型豆属,liang'xing'dou'shu
亮叶冬青,liang'ye'dong'qing
亮叶猴耳环,liang'ye'hou'er'huan
亮叶厚皮香,liang'ye'hou'pi'xiang
亮叶桦,liang'ye'hua
亮叶水青冈,liang'ye'shui'qing'gang
亮叶小蜡,liang'ye'xiao'la
亮叶崖豆藤,liang'ye'ya'dou'teng
亮叶中南鱼藤,liang'ye'zhong'nan'yu'teng
蓼科,liao'ke
蓼蓝,liao'lan
辽宁堇菜,liao'ning'jin'cai
蓼属,liao'shu
蓼子草,liao'zi'cao
裂瓣玉凤花,lie'ban'yu'feng'hua
裂苞香科科,lie'bao'xiang'ke'ke
列当,lie'dang
列当科,lie'dang'ke
列当科分属检索表,lie'dang'ke'fen'shu'jian'suo'biao
列当属,lie'dang'shu
裂稃草,lie'fu'cao
裂稃草属,lie'fu'cao'shu
裂叶多头苦荬菜,lie'ye'duo'tou'ku'mai'cai
裂叶虎耳草,lie'ye'hu'er'cao
裂叶花点草,lie'ye'hua'dian'cao
裂叶黄芩,lie'ye'huang'qin
裂叶荆芥,lie'ye'jing'jie
裂叶荆芥属,lie'ye'jing'jie'shu
裂叶鳞蕊藤,lie'ye'lin'rui'teng
裂叶荨麻,lie'ye'qian'ma
裂叶铁线莲,lie'ye'tie'xian'lian
裂叶月光花,lie'ye'yue'guang'hua
裂叶泽兰,lie'ye'ze'lan
裂颖茅,lie'ying'mao
裂颖茅属,lie'ying'mao'shu
临安槭,lin'an'qi
橉木,lin'mu
鳞蕊藤属,lin'rui'teng'shu
林生假福王草,lin'sheng'jia'fu'wang'cao
林荫千里光,lin'yin'qian'li'guang
林泽兰,lin'ze'lan
林猪殃殃,lin'zhu'yang'yang
鳞籽莎,lin'zi'sha
鳞籽莎属,lin'zi'sha'shu
领春木,ling'chun'mu
领春木科,ling'chun'mu'ke
领春木属,ling'chun'mu'shu
菱科,ling'ke
铃兰,ling'lan
铃兰属,ling'lan'shu
柃木,ling'mu
岭南花轿,ling'nan'hua'jiao
柃属,ling'shu
菱属,ling'shu
凌霄,ling'xiao
凌霄属,ling'xiao'shu
菱叶鹿藿,ling'ye'lu'huo
菱叶绣线菊,ling'ye'xiu'xian'ju
菱状葡萄,ling'zhuang'pu'tao
铃子香属,ling'zi'xiang'shu
柳穿鱼,liu'chuan'yu
柳穿鱼属,liu'chuan'yu'shu
六道木属,liu'dao'mu'shu
六角莲,liu'jiao'lian
留兰香,liu'lan'xiang
六棱菊,liu'leng'ju
六棱菊属,liu'leng'ju'shu
琉璃草,liu'li'cao
琉璃草属,liu'li'cao'shu
琉璃繁缕,liu'li'fan'lv
琉璃繁缕属,liu'li'fan'lv'shu
柳属,liu'shu
流苏树,liu'su'shu
流苏树属,liu'su'shu'shu
流苏蜘蛛抱蛋,liu'su'zhi'zhu'bao'dan
柳叶白前,liu'ye'bai'qian
柳叶菜,liu'ye'cai
柳叶菜科,liu'ye'cai'ke
柳叶菜属,liu'ye'cai'shu
柳叶豆梨,liu'ye'dou'li
六叶葎,liu'ye'lv
柳叶牛膝,liu'ye'niu'xi
柳叶箬,liu'ye'ruo
柳叶箬属,liu'ye'ruo'shu
六月麻竹,liu'yue'ma'zhu
六月雪,liu'yue'xue
六月雪属,liu'yue'xue'shu
龙萆薢,long'bi'xie
龙胆,long'dan
龙胆科,long'dan'ke
龙胆属,long'dan'shu
龙葵,long'kui
龙泉景天,long'quan'jing'tian
龙泉葡萄,long'quan'pu'tao
龙舌兰,long'she'lan
龙舌兰属,long'she'lan'shu
龙师草,long'shi'cao
龙塘山谷精草,long'tang'shan'gu'jing'cao
龙头草属,long'tou'cao'shu
龙须海,long'xu'hai
龙须海棠属,long'xu'hai'tang'shu
龙须藤,long'xu'teng
龙牙草,long'ya'cao
龙牙草属,long'ya'cao'shu
龙牙花,long'ya'hua
龙眼,long'yan
龙眼属,long'yan'shu
窿缘桉,long'yuan'an
龙爪槐,long'zhao'huai
龙珠,long'zhu
龙珠属,long'zhu'shu
龙爪茅,long'zhua'mao
龙爪茅属,long'zhua'mao'shu
楼梯草,lou'ti'cao
楼梯草属,lou'ti'cao'shu
路边花,lu'bian'hua
鹿葱,lu'cong
卤地菊,lu'di'ju
陆地棉,lu'di'mian
芦荟,lu'hui
芦荟属,lu'hui'shu
鹿藿,lu'huo
鹿藿属,lu'huo'shu
鹿茸草,lu'rong'cao
鹿茸草属,lu'rong'cao'shu
庐山白蜡树,lu'shan'bai'la'shu
庐山风毛菊,lu'shan'feng'mao'ju
庐山芙蓉,lu'shan'fu'rong
庐山堇菜,lu'shan'jin'cai
庐山楼梯草,lu'shan'lou'ti'cao
庐山葡萄,lu'shan'pu'tao
庐山忍冬,lu'shan'ren'dong
庐山石楠,lu'shan'shi'nan
庐山香科科,lu'shan'xiang'ke'ke
庐山小檗,lu'shan'xiao'bo
露水草,lu'shui'cao
鹿蹄草,lu'ti'cao
鹿蹄草科,lu'ti'cao'ke
鹿蹄草属,lu'ti'cao'shu
芦苇,lu'wei
芦苇属,lu'wei'shu
鹿药,lu'yao
鹿药属,lu'yao'shu
芦竹,lu'zhu
露珠草,lu'zhu'cao
芦竹属,lu'zhu'shu
卵瓣还亮草,luan'ban'hai'liang'cao
乱草,luan'cao
栾树属,luan'shu'shu
卵叶丁香蓼,luan'ye'ding'xiang'liao
卵叶山萝花,luan'ye'shan'luo'hua
卵叶异檐花,luan'ye'yi'yan'hua
卵叶硬毛南芥,luan'ye'ying'mao'nan'jie
卵叶帚菊,luan'ye'zhou'ju
乱子草,luan'zi'cao
乱子草属,luan'zi'cao'shu
轮环藤,lun'huan'teng
轮环藤属,lun'huan'teng'shu
轮叶八宝,lun'ye'ba'bao
轮叶过路黄,lun'ye'guo'lu'huang
轮叶狐尾藻,lun'ye'hu'wei'zao
轮叶节节菜,lun'ye'jie'jie'cai
轮叶蒲桃,lun'ye'pu'tao
轮叶沙参,lun'ye'sha'shen
萝卜,luo'bo
萝卜属,luo'bo'shu
罗布麻,luo'bu'ma
罗布麻属,luo'bu'ma'shu
罗城石楠,luo'cheng'shi'nan
落萼叶下珠,luo'e'ye'xia'zhu
罗浮,luo'fu
罗浮栲,luo'fu'kao
萝芙木,luo'fu'mu
萝芙木属,luo'fu'mu'shu
罗浮柿,luo'fu'shi
罗汉竹,luo'han'zhu
落花生,luo'hua'sheng
落花生属,luo'hua'sheng'shu
裸花水竹叶,luo'hua'shui'zhu'ye
落葵,luo'kui
落葵科,luo'kui'ke
落葵属,luo'kui'shu
落葵薯属,luo'kui'shu'shu
罗勒,luo'le
罗勒属,luo'le'shu
落芒草属,luo'mang'cao'shu
萝摩,luo'mo
萝摩科,luo'mo'ke
萝摩属,luo'mo'shu
椤木石楠,luo'mu'shi'nan
罗伞树,luo'san'shu
络石,luo'shi
络石属,luo'shi'shu
裸菀属,luo'wan'shu
落新妇,luo'xin'fu
落新妇属,luo'xin'fu'shu
落叶女贞,luo'ye'nv'zhen
裸柱菊,luo'zhu'ju
裸柱菊属,luo'zhu'ju'shu
绿柄白鹃梅,lv'bing'bai'juan'mei
葎草,lv'cao
绿槽毛竹,lv'cao'mao'zhu
葎草属,lv'cao'shu
绿豆,lv'dou
绿花细枝茶藨,lv'hua'xi'zhi'cha'biao
绿蓟,lv'ji
绿荆树,lv'jing'shu
绿爬山虎,lv'pa'shan'hu
绿皮花毛竹,lv'pi'hua'mao'zhu
绿皮黄筋竹,lv'pi'huang'jin'zhu
缕丝花,lv'si'hua
吕宋荚蒾,lv'song'jia'mi
绿穗苋,lv'sui'xian
驴蹄草,lv'ti'cao
驴蹄草属,lv'ti'cao'shu
绿叶甘僵,lv'ye'gan'jiang
绿叶胡枝子,lv'ye'hu'zhi'zi
绿叶五味子,lv'ye'wu'wei'zi
绿月季,lv'yue'ji
绿樟,lv'zhang
绿竹,lv'zhu
马鞍树,ma'an'shu
马鞍树属,ma'an'shu'shu
马鞭草,ma'bian'cao
马鞭草科,ma'bian'cao'ke
马鞭草属,ma'bian'cao'shu
马齿苋,ma'chi'xian
马齿苋科,ma'chi'xian'ke
马齿苋属,ma'chi'xian'shu
马兜铃,ma'dou'ling
马兜铃科,ma'dou'ling'ke
马兜铃属,ma'dou'ling'shu
马瓜交儿,ma'gua'jiao'er
马瓜交儿属,ma'gua'jiao'er'shu
麻花头属,ma'hua'tou'shu
马棘,ma'ji
马甲子,ma'jia'zi
马甲子属,ma'jia'zi'shu
马兰,ma'lan
马蓝,ma'lan
马兰分变种检索表,ma'lan'fen'bian'zhong'jian'suo'biao
马兰属,ma'lan'shu
马蓝属,ma'lan'shu
马兰属分种检索表,ma'lan'shu'fen'zhong'jian'suo'biao
马蓝属分种检索表,ma'lan'shu'fen'zhong'jian'suo'biao
麻栎,ma'li
麻梨,ma'li
马利筋,ma'li'jin
马利筋属,ma'li'jin'shu
麻楝属,ma'lian'shu
马蓼,ma'liao
马蔺,ma'lin
马铃苣苔属,ma'ling'ju'tai'shu
马铃薯,ma'ling'shu
马络葵,ma'luo'kui
马络葵属,ma'luo'kui'shu
玛瑙石榴,ma'nao'shi'liu
马钱科,ma'qian'ke
马松子,ma'song'zi
马松子属,ma'song'zi'shu
马唐属,ma'tang'shu
马蹄金,ma'ti'jin
马蹄金属,ma'ti'jin'shu
马蹄莲,ma'ti'lian
马蹄莲属,ma'ti'lian'shu
马蹄纹天竺葵,ma'ti'wen'tian'zhu'kui
马蹄细辛,ma'ti'xi'xin
马铜铃,ma'tong'ling
马先蒿属,ma'xian'hao'shu
马先蒿属分种检索表,ma'xian'hao'shu'fen'zhong'jian'suo'biao
麻叶猕猴桃,ma'ye'mi'hou'tao
麻叶绣线菊,ma'ye'xiu'xian'ju
马银花,ma'yin'hua
马缨丹,ma'ying'dan
马缨丹属,ma'ying'dan'shu
妈竹,ma'zhu
麻竹,ma'zhu
马醉木,ma'zui'mu
马醉木属,ma'zui'mu'shu
麦冬,mai'dong
麦家公,mai'jia'gong
麦李,mai'li
麦瓶草,mai'ping'cao
脉叶翅棱芹,mai'ye'chi'leng'qin
蔓长春花,man'chang'chun'hua
蔓长春花属,man'chang'chun'hua'shu
蔓赤车,man'chi'che
蔓孩儿参,man'hai'er'can
蔓虎刺属,man'hu'ci'shu
蔓胡颓子,man'hu'tui'zi
蔓剪草,man'jian'cao
蔓茎葫芦茶,man'jing'hu'lu'cha
蔓茎鼠尾草,man'jing'shu'wei'cao
蔓九节,man'jiu'jie
槾桔,man'ju
满山爆,man'shan'bao
满山红,man'shan'hong
满树星,man'shu'xing
曼陀罗,man'tuo'luo
曼陀罗属,man'tuo'luo'shu
漫竹,man'zhu
芒尖苔草,mang'jian'tai'cao
牻牛儿苗科,mang'niu'er'miao'ke
芒属,mang'shu
毛八角枫,mao'ba'jiao'feng
毛白前,mao'bai'qian
毛白杨,mao'bai'yang
毛豹皮樟,mao'bao'pi'zhang
毛臂形草,mao'bi'xing'cao
毛椿,mao'chun
毛椿叶花椒,mao'chun'ye'hua'jiao
毛刺槐,mao'ci'huai
毛刺蒴麻,mao'ci'shuo'ma
毛大丁草,mao'da'ding'cao
毛地黄属,mao'di'huang'shu
毛丁香罗勒,mao'ding'xiang'luo'le
毛冬青,mao'dong'qing
毛萼红果树,mao'e'hong'guo'shu
毛萼忍冬,mao'e'ren'dong
毛萼铁线莲,mao'e'tie'xian'lian
毛萼紫露草,mao'e'zi'lu'cao
猫儿刺,mao'er'ci
帽儿瓜,mao'er'gua
帽儿瓜属,mao'er'gua'shu
猫儿屎,mao'er'shi
猫儿屎属,mao'er'shi'shu
毛方竹,mao'fang'zhu
茅膏菜科,mao'gao'cai'ke
茅膏菜属,mao'gao'cai'shu
毛茛,mao'gen
毛茛科,mao'gen'ke
毛茛泽泻,mao'gen'ze'xie
毛茛泽泻属,mao'gen'ze'xie'shu
毛梗糙叶五加,mao'geng'cao'ye'wu'jia
毛梗铁冬青,mao'geng'tie'dong'qing
毛梗豨莶,mao'geng'xi'xian
毛果杜鹃,mao'guo'du'juan
毛果短冠草,mao'guo'duan'guan'cao
毛果南烛,mao'guo'nan'zhu
毛果槭,mao'guo'qi
毛果芍药,mao'guo'shao'yao
毛果碎米荠,mao'guo'sui'mi'ji
毛果铁线莲,mao'guo'tie'xian'lian
毛果绣球绣线菊,mao'guo'xiu'qiu'xiu'xian'ju
毛果珍珠茅,mao'guo'zhen'zhu'mao
毛黑壳楠,mao'hei'ke'nan
毛红椿,mao'hong'chun
毛花点草,mao'hua'dian'cao
毛花假水晶兰,mao'hua'jia'shui'jing'lan
毛花连蕊茶,mao'hua'lian'rui'cha
毛花猕猴桃,mao'hua'mi'hou'tao
毛花雀稗,mao'hua'que'bai
毛花荛花,mao'hua'rao'hua
毛黄栌,mao'huang'lu
毛鸡屎藤,mao'ji'shi'teng
毛鸡爪槭,mao'ji'zhua'qi
毛剪秋罗,mao'jian'qiu'luo
毛节野古草,mao'jie'ye'gu'cao
毛壳花哺鸡竹,mao'ke'hua'bu'ji'zhu
毛壳竹,mao'ke'zhu
毛苦蘵,mao'ku'zhi
毛阔叶四叶葎,mao'kuo'ye'si'ye'lv
毛梾,mao'lai
毛兰属,mao'lan'shu
茅栗,mao'li
毛连菜,mao'lian'cai
毛连菜属,mao'lian'cai'shu
毛莨属,mao'liang'shu
毛鳞省藤,mao'lin'sheng'teng
毛绿竹,mao'lv'zhu
毛麻楝,mao'ma'lian
毛马唐,mao'ma'tang
毛脉粗叶木,mao'mai'cu'ye'mu
毛脉槭,mao'mai'qi
毛脉显柱南蛇藤,mao'mai'xian'zhu'nan'she'teng
毛曼陀罗,mao'man'tuo'luo
茅莓,mao'mei
毛木半夏,mao'mu'ban'xia
毛泡桐,mao'pao'tong
毛葡萄,mao'pu'tao
毛漆树,mao'qi'shu
猫乳,mao'ru
猫乳属,mao'ru'shu
毛蕊花,mao'rui'hua
毛蕊花属,mao'rui'hua'shu
毛蕊铁线莲,mao'rui'tie'xian'lian
毛瑞香,mao'rui'xiang
毛山鸡椒,mao'shan'ji'jiao
毛山荆子,mao'shan'jing'zi
毛山黧豆,mao'shan'li'dou
毛山鼠李,mao'shan'shu'li
毛鼠尾粟,mao'shu'wei'su
毛藤尖叶薯蓣,mao'teng'jian'ye'shu'yu
毛葶玉凤花,mao'ting'yu'feng'hua
茂汶绣线菊,mao'wen'xiu'xian'ju
茅香属,mao'xiang'shu
毛崖棕,mao'ya'zong
毛鸭嘴草,mao'ya'zui'cao
毛药花,mao'yao'hua
毛药花属,mao'yao'hua'shu
毛药藤,mao'yao'teng
毛药藤属,mao'yao'teng'shu
毛野扁豆,mao'ye'bian'dou
毛叶腹水草,mao'ye'fu'shui'cao
毛叶腹水草分变种检索表,mao'ye'fu'shui'cao'fen'bian'zhong'jian'suo'biao
毛叶蝴蝶草,mao'ye'hu'die'cao
毛叶老鸦糊,mao'ye'lao'ya'hu
毛叶藜芦,mao'ye'li'lu
毛叶山桐子,mao'ye'shan'tong'zi
毛叶山樱花,mao'ye'shan'ying'hua
毛叶石楠,mao'ye'shi'nan
毛叶铁线莲,mao'ye'tie'xian'lian
毛叶小果蔷薇,mao'ye'xiao'guo'qiang'wei
毛樱桃,mao'ying'tao
毛云实,mao'yun'shi
毛毡草,mao'zhan'cao
猫爪草,mao'zhao'cao
毛枝假福王草,mao'zhi'jia'fu'wang'cao
毛枝连蕊茶,mao'zhi'lian'rui'cha
毛枝三花冬青,mao'zhi'san'hua'dong'qing
毛轴莎草,mao'zhou'suo'cao
毛竹,mao'zhu
毛竹属,mao'zhu'shu
毛柱铁线莲,mao'zhu'tie'xian'lian
毛竹叶椒,mao'zhu'ye'jiao
毛柱郁李,mao'zhu'yu'li
毛紫花堇菜,mao'zi'hua'jin'cai
玫瑰,mei'gui
玫瑰茄,mei'gui'qie
玫瑰石蒜,mei'gui'shi'suan
美国薄荷属,mei'guo'bo'he'shu
美国肥皂荚,mei'guo'fei'zao'jia
美国凌霄,mei'guo'ling'xiao
美国山核桃,mei'guo'shan'he'tao
美国野核桃,mei'guo'ye'he'tao
梅花草属,mei'hua'cao'shu
美丽胡枝子,mei'li'hu'zhi'zi
美丽马醉木,mei'li'ma'zui'mu
美丽毛鸡爪槭,mei'li'mao'ji'zhua'qi
美丽秋海棠,mei'li'qiu'hai'tang
美丽獐牙菜,mei'li'zhang'ya'cai
美女樱,mei'nv'ying
美人蕉,mei'ren'jiao
美人蕉科,mei'ren'jiao'ke
美人蕉属,mei'ren'jiao'shu
美山矾,mei'shan'fan
美叶吊钟花,mei'ye'diao'zhong'hua
莓叶委陵菜,mei'ye'wei'ling'cai
美洲葡萄,mei'zhou'pu'tao
美洲商陆,mei'zhou'shang'lu
蒙古蒿,meng'gu'hao
虻眼,meng'yan
虻眼属,meng'yan'shu
密齿苦草,mi'chi'ku'cao
密刺硕苞蔷薇,mi'ci'shuo'bao'qiang'wei
蜜柑草,mi'gan'cao
密果吴茱萸,mi'guo'wu'zhu'yu
猕猴桃科,mi'hou'tao'ke
猕猴桃属,mi'hou'tao'shu
密花拂子茅,mi'hua'fu'zi'mao
密花孩儿草,mi'hua'hai'er'cao
密花金丝桃,mi'hua'jin'si'tao
密花山矾,mi'hua'shan'fan
密花舌唇兰,mi'hua'she'chun'lan
密花树,mi'hua'shu
密花树属,mi'hua'shu'shu
密花梭罗树,mi'hua'suo'luo'shu
密花苎麻,mi'hua'zhu'ma
米兰,mi'lan
米兰属,mi'lan'shu
密毛奇蒿,mi'mao'qi'hao
米面蓊属,mi'mian'weng'shu
米箬竹,mi'ruo'zhu
密伞天胡荽,mi'san'tian'hu'sui
米筛竹,mi'shai'zhu
密腺白叶莓,mi'xian'bai'ye'mei
蜜腺小连翘,mi'xian'xiao'lian'qiao
米心水青冈,mi'xin'shui'qing'gang
密叶苔草,mi'ye'tai'cao
米槠,mi'zhu
绵萆薢,mian'bi'xie
面秆竹,mian'gan'zhu
绵毛鹿茸草,mian'mao'lu'rong'cao
绵毛马兜铃,mian'mao'ma'dou'ling
绵毛石楠,mian'mao'shi'nan
棉属,mian'shu
绵穗苏,mian'sui'su
绵穗苏属,mian'sui'su'shu
面条草,mian'tiao'cao
绵枣儿,mian'zao'er
绵枣儿属,mian'zao'er'shu
闽萼凤仙花,min'e'feng'xian'hua
闽赣长蒴苣苔,min'gan'chang'shuo'ju'tai
闽赣葡萄,min'gan'pu'tao
皿果草,min'guo'cao
皿果草属,min'guo'cao'shu
闽槐,min'huai
闽楠,min'nan
闽粤石楠,min'yue'shi'nan
闽粤蚊母树,min'yue'wen'mu'shu
明党参,ming'dang'shen
明党参属,ming'dang'shen'shu
茉莉花,mo'li'hua
陌上莱,mo'shang'lai
魔芋,mo'yu
魔芋属,mo'yu'shu
木半夏,mu'ban'xia
母草,mu'cao
母草属,mu'cao'shu
母草属分种检索表,mu'cao'shu'fen'zhong'jian'suo'biao
牡丹,mu'dan
牡丹草属,mu'dan'cao'shu
木豆,mu'dou
木豆属,mu'dou'shu
木防己,mu'fang'ji
木防己属,mu'fang'ji'shu
木芙蓉,mu'fu'rong
木瓜,mu'gua
木瓜属,mu'gua'shu
牡蒿,mu'hao
木荷,mu'he
木荷属,mu'he'shu
木姜润楠,mu'jiang'run'nan
木姜叶冬青,mu'jiang'ye'dong'qing
木姜子,mu'jiang'zi
木姜子属,mu'jiang'zi'shu
木槿,mu'jin
木槿属,mu'jin'shu
牡荆,mu'jing
牡荆属,mu'jing'shu
木腊树,mu'la'shu
木兰科,mu'lan'ke
木兰属,mu'lan'shu
木蓝属,mu'lan'shu
木莲,mu'lian
木莲属,mu'lian'shu
木麻黄,mu'ma'huang
木麻黄科,mu'ma'huang'ke
木麻黄属,mu'ma'huang'shu
木莓,mu'mei
木薯,mu'shu
木薯属,mu'shu'shu
木桃,mu'tao
木通,mu'tong
木通科,mu'tong'ke
木通属,mu'tong'shu
木犀,mu'xi
木犀科,mu'xi'ke
木犀属,mu'xi'shu
木香花,mu'xiang'hua
木香马兜铃,mu'xiang'ma'dou'ling
苜蓿属,mu'xu'shu
木油桐,mu'you'tong
木竹,mu'zhu
牡竹属,mu'zhu'shu
南赤瓟,nan'chi'bo
南川柳,nan'chuan'liu
南丹参,nan'dan'shen
南方糙苏,nan'fang'cao'su
南方大叶柴胡,nan'fang'da'ye'chai'hu
南方荚蒾,nan'fang'jia'mi
南方碱蓬,nan'fang'jian'peng
南方狸藻,nan'fang'li'zao
南方六道木,nan'fang'liu'dao'mu
南方露珠草,nan'fang'lu'zhu'cao
南方泡桐,nan'fang'pao'tong
南方千金榆,nan'fang'qian'jin'yu
南方菟丝子,nan'fang'tu'si'zi
南瓜,nan'gua
南瓜属,nan'gua'shu
南瓜属分种检索表,nan'gua'shu'fen'zhong'jian'suo'biao
南湖菱,nan'hu'ling
南芥属,nan'jie'shu
南京椴,nan'jing'duan
南岭黄檀,nan'ling'huang'tan
南岭栲,nan'ling'kao
南岭荛花,nan'ling'rao'hua
南岭山矾,nan'ling'shan'fan
楠木属,nan'mu'shu
南苜蓿,nan'mu'xu
南山堇菜,nan'shan'jin'cai
南山腾属,nan'shan'teng'shu
南蛇藤,nan'she'teng
南蛇藤属,nan'she'teng'shu
南酸枣,nan'suan'zao
南酸枣属,nan'suan'zao'shu
南天竹,nan'tian'zhu
南天竹属,nan'tian'zhu'shu
南茼蒿,nan'tong'hao
南五味子,nan'wu'wei'zi
南五味子属,nan'wu'wei'zi'shu
南烛属,nan'zhu'shu
南紫薇,nan'zi'wei
囊瓣芹属,nang'ban'qin'shu
囊颖草,nang'ying'cao
囊颖草属,nang'ying'cao'shu
内折香茶菜,nei'zhe'xiang'cha'cai
尼泊尔沟酸浆,ni'bo'er'gou'suan'jiang
尼泊尔堇菜,ni'bo'er'jin'cai
尼泊尔蓼,ni'bo'er'liao
尼泊尔鼠李,ni'bo'er'shu'li
拟赤扬,ni'chi'yang
拟赤扬属,ni'chi'yang'shu
拟单性木兰属,ni'dan'xing'mu'lan'shu
拟粉背南蛇藤,ni'fen'bei'nan'she'teng
拟蠔猪刺,ni'hao'zhu'ci
泥胡菜,ni'hu'cai
泥胡菜属,ni'hu'cai'shu
泥花草,ni'hua'cao
拟绿叶胡枝子,ni'lv'ye'hu'zhi'zi
匿芒荩草,ni'mang'jin'cao
拟美国薄荷,ni'mei'guo'bo'he
拟漆姑,ni'qi'gu
拟漆姑属,ni'qi'gu'shu
粘液蓼,nian'ye'liao
念珠藤,nian'zhu'teng
念珠藤属,nian'zhu'teng'shu
茑萝,niao'luo
茑萝属,niao'luo'shu
宁波木蓝,ning'bo'mu'lan
宁波三角槭,ning'bo'san'jiao'qi
宁波溲疏,ning'bo'sou'shu
柠檬桉,ning'meng'an
宁夏枸杞,ning'xia'gou'qi
宁油麻藤,ning'you'ma'teng
牛蒡,niu'bang
牛蒡属,niu'bang'shu
牛鼻栓,niu'bi'shuan
牛鼻栓属,niu'bi'shuan'shu
牛鞭草,niu'bian'cao
牛鞭草属,niu'bian'cao'shu
牛轭草,niu'e'cao
牛耳朵,niu'er'duo
牛繁缕,niu'fan'lv
牛繁缕属,niu'fan'lv'shu
牛筋草,niu'jin'cao
牛泷草,niu'long'cao
牛毛毡,niu'mao'zhan
牛奶菜,niu'nai'cai
牛奶菜属,niu'nai'cai'shu
牛奶子,niu'nai'zi
牛皮消,niu'pi'xiao
扭鞘香茅,niu'qiao'xiang'mao
牛茄,niu'qie
牛矢果,niu'shi'guo
牛尾菜,niu'wei'cai
牛膝,niu'xi
牛膝菊属,niu'xi'ju'shu
牛膝属,niu'xi'shu
牛眼菊,niu'yan'ju
牛眼菊属,niu'yan'ju'shu
牛至,niu'zhi
牛至属,niu'zhi'shu
暖木,nuan'mu
糯稻,nuo'dao
糯米条,nuo'mi'tiao
糯米团,nuo'mi'tuan
糯米团属,nuo'mi'tuan'shu
女儿竹,nv'er'zhu
女娄菜,nv'lou'cai
女菀,nv'wan
女菀属,nv'wan'shu
女萎,nv'wei
女贞,nv'zhen
女贞属,nv'zhen'shu
瓯柑,ou'gan
欧李,ou'li
欧洲甘蓝,ou'zhou'gan'lan
欧洲菘蓝,ou'zhou'song'lan
爬山虎,pa'shan'hu
爬山虎属,pa'shan'hu'shu
爬藤榕,pa'teng'rong
爬岩红,pa'yan'hong
盘叶忍冬,pan'ye'ren'dong
盘珠珠,pan'zhu'zhu
胖苦竹,pang'ku'zhu
泡果荠属,pao'guo'ji'shu
泡花树属,pao'hua'shu'shu
泡箬竹,pao'ruo'zhu
泡桐属,pao'tong'shu
泡桐属分种检索表,pao'tong'shu'fen'zhong'jian'suo'biao
佩兰,pei'lan
椪柑,peng'gan
蓬莱葛,peng'lai'ge
蓬莱葛属,peng'lai'ge'shu
蓬虆,peng'lei
蟛蜞菊,peng'qi'ju
蟛蜞菊属,peng'qi'ju'shu
蓬子菜,peng'zi'cai
啤酒花,pi'jiu'hua
枇杷,pi'pa
枇杷属,pi'pa'shu
枇杷叶紫珠,pi'pa'ye'zi'zhu
披针苔草,pi'zhen'tai'cao
披针叶茴香,pi'zhen'ye'hui'xiang
莩草,piao'cao
飘拂草属,piao'fu'cao'shu
品萍,pin'ping
平翅三角槭,ping'chi'san'jiao'qi
苹果,ping'guo
苹果属,ping'guo'shu
平滑苦荬菜,ping'hua'ku'mai'cai
萍蓬草,ping'peng'cao
萍蓬草属,ping'peng'cao'shu
平卧碱蓬,ping'wo'jian'peng
平颖柳叶箬,ping'ying'liu'ye'ruo
平枝栒子,ping'zhi'xun'zi
婆婆纳,po'po'na
婆婆纳属,po'po'na'shu
婆婆纳属分种检索表,po'po'na'shu'fen'zhong'jian'suo'biao
婆婆针,po'po'zhen
破铜钱,po'tong'qian
坡油甘属,po'you'gan'shu
铺地稷,pu'di'ji
蒲儿根,pu'er'gen
匍匐苦荬菜,pu'fu'ku'mai'cai
匍匐南芥,pu'fu'nan'jie
匍匐五加,pu'fu'wu'jia
蒲公英,pu'gong'ying
蒲公英属,pu'gong'ying'shu
匍茎苦菜,pu'jing'ku'cai
匍茎通泉草,pu'jing'tong'quan'cao
蒲葵,pu'kui
蒲葵属,pu'kui'shu
朴属,pu'shu
朴树,pu'shu
葡萄,pu'tao
葡萄科,pu'tao'ke
葡萄属,pu'tao'shu
蒲桃属,pu'tao'shu
菩提子,pu'ti'zi
普通鹿蹄草,pu'tong'lu'ti'cao
普陀鹅耳枥,pu'tuo'e'er'li
普陀狗哇花,pu'tuo'gou'wa'hua
普陀南星,pu'tuo'nan'xing
普陀孝顺竹,pu'tuo'xiao'shun'zhu
普陀樟,pu'tuo'zhang
蒲苇,pu'wei
