阿爷无大儿,a'ye'wu'da'er
可计日而待也,ke'ji'ri'er'dai'ye
可据理臆断欤,ke'ju'li'yi'duan'yu
可怜白发生,ke'lian'bai'fa'sheng
可怜后主还祠庙,ke'lian'hou'zhu'hai'ci'miao
客路青山外,ke'lu'qing'shan'wai
刻唐贤今人诗赋于其上,ke'tang'xian'jin'ren'shi'fu'yu'qi'shang
课外古诗词背诵,ke'wai'gu'shi'ci'bei'song
课外古诗词曲十首,ke'wai'gu'shi'ci'qu'shi'shou
客问元方,ke'wen'yuan'fang
客行悲故乡,ke'xing'bei'gu'xiang
可以调素琴,ke'yi'tiao'su'qin
可以为师矣,ke'yi'wei'shi'yi
可以一战,ke'yi'yi'zhan
可远观而不可亵玩焉,ke'yuan'guan'er'bu'ke'xie'wan'yan
客曰徐公不若君之美也,ke'yue'xu'gong'bu'ruo'jun'zhi'mei'ye
客至鸡斗争,ke'zhi'ji'dou'zheng
肯将衰朽惜残年,ken'jiang'shuai'xiu'xi'can'nian
空乏其身,kong'fa'qi'shen
空谷传响,kong'gu'chuan'xiang
恐前后受其敌,kong'qian'hou'shou'qi'di
恐托付不效,kong'tuo'fu'bu'xiao
孔子云何陋之有,kong'zi'yun'he'lou'zhi'you
口技,kou'ji
口技人坐屏障中,kou'ji'ren'zuo'ping'zhang'zhong
扣石垦壤,kou'shi'ken'rang
口有百舌,kou'you'bai'she
口中呜声,kou'zhong'wu'sheng
枯藤老树昏鸦,ku'teng'lao'shu'hun'ya
夸父与日逐走,kua'fu'yu'ri'zhu'zou
夸父逐日,kua'fu'zhu'ri
跨州连郡者不可胜数,kua'zhou'lian'jun'zhe'bu'ke'sheng'shu
窥谷忘反,kui'gu'wang'fan
窥镜,kui'jing
窥镜而自视,kui'jing'er'zi'shi
焜黄华叶衰,kun'huang'hua'ye'shuai
喇叭,la'ba
蜡炬成灰泪始干,la'ju'cheng'hui'lei'shi'gan
拉余同饮,la'yu'tong'yin
来从楚国游,lai'cong'chu'guo'you
览物之情,lan'wu'zhi'qing
狼不敢前,lang'bu'gan'qian
琅琊也,lang'ya'ye
狼亦黠矣,lang'yi'xia'yi
郎愿驰千里足,lang'yuan'chi'qian'li'zu
老大徒伤悲,lao'da'tu'shang'bei
老妇出门看,lao'fu'chu'men'kan
老夫聊发少年狂,lao'fu'liao'fa'shao'nian'kuang
老骥伏枥,lao'ji'fu'li
老木沧波无限悲,lao'mu'cang'bo'wu'xian'bei
劳其筋骨,lao'qi'jin'gu
老翁逾墙走,lao'weng'yu'qiang'zou
老有所终,lao'you'suo'zhong
老妪力虽衰,lao'yu'li'sui'shuai
乐其乐也,le'qi'le'ye
乐亦在其中矣,le'yi'zai'qi'zhong'yi
罍而歌者,lei'er'ge'zhe
李白,li'bai
力不足,li'bu'zu
李杜诗篇万口传,li'du'shi'pian'wan'kou'chuan
力恶其不出于身也,li'e'qi'bu'chu'yu'shen'ye
理还乱,li'hai'luan
李贺,li'he
吏呼一何怒,li'hu'yi'he'nu
梨花落后清明,li'hua'luo'hou'qing'ming
礼记,li'ji
力尽不知热,li'jin'bu'zhi're
利尽南海,li'jin'nan'hai
吏禄三百石,li'lu'san'bai'dan
李清照,li'qing'zhao
骊山怀古,li'shan'huai'gu
骊山四顾,li'shan'si'gu
李商隐,li'shang'yin
李煜,li'yu
礼愈至,li'yu'zhi
帘旌不动夕阳迟,lian'jing'bu'dong'xi'yang'chi
帘卷西风,lian'juan'xi'feng
连月不开,lian'yue'bu'kai
莲之爱,lian'zhi'ai
莲之出淤泥而不染,lian'zhi'chu'yu'ni'er'bu'ran
两岸连山,liang'an'lian'shan
两岸石壁,liang'an'shi'bi
亮答曰自董卓已来,liang'da'yue'zi'dong'zhuo'yi'lai
良多趣味,liang'duo'qu'wei
两儿齐哭,liang'er'qi'ku
亮躬耕陇亩,liang'gong'geng'long'mu
两股战战,liang'gu'zhan'zhan
了却君王天下事,liao'que'jun'wang'tian'xia'shi
聊书所怀,liao'shu'suo'huai
料知短兵不敢接,liao'zhi'duan'bing'bu'gan'jie
列国周齐秦汉楚,lie'guo'zhou'qi'qin'han'chu
猎马带禽归,lie'ma'dai'qin'gui
烈士暮年,lie'shi'mu'nian
列子,lie'zi
临表涕零,lin'biao'ti'ling
林寒涧肃,lin'han'jian'su
林壑尤美,lin'he'you'mei
林尽水源,lin'jin'shui'yuan
林空鹿饮溪,lin'kong'lu'yin'xi
鳞浪层层,lin'lang'ceng'ceng
邻人京城氏之孀妻,lin'ren'jing'cheng'shi'zhi'shuang'qi
林嗣环,lin'si'huan
临溪而渔,lin'xi'er'yu
邻有敝舆,lin'you'bi'yu
邻有短褐,lin'you'duan'he
邻有穅糟,lin'you'kang'zao
令初下,ling'chu'xia
零丁洋里叹零丁,ling'ding'yang'li'tan'ling'ding
泠泠作响,ling'ling'zuo'xiang
零落成泥碾作尘,ling'luo'cheng'ni'nian'zuo'chen
灵旗空际看,ling'qi'kong'ji'kan
令辱之,ling'ru'zhi
令作诗,ling'zuo'shi
刘长卿,liu'chang'qing
留取丹心照汗青,liu'qu'dan'xin'zhao'han'qing
六十而耳顺,liu'shi'er'er'shun
柳条将舒未舒,liu'tiao'jiang'shu'wei'shu
流血千里,liu'xue'qian'li
流血五步,liu'xue'wu'bu
刘义庆,liu'yi'qing
刘禹锡,liu'yu'xi
刘璋暗弱,liu'zhang'an'ruo
刘桢,liu'zhen
柳宗元,liu'zong'yuan
隆中对,long'zhong'dui
陋室铭,lou'shi'ming
录毕,lu'bi
庐陵欧阳修也,lu'ling'ou'yang'xiu'ye
虏骑闻之应胆慑,lu'qi'wen'zhi'ying'dan'she
鲁山山行,lu'shan'shan'xing
炉上有壶,lu'shang'you'hu
陆游,lu'you
鲁直居左,lu'zhi'ju'zuo
鲁直现左足,lu'zhi'xian'zuo'zu
鲁直左手执卷末,lu'zhi'zuo'shou'zhi'juan'mo
乱花渐欲迷人眼,luan'hua'jian'yu'mi'ren'yan
乱我心者,luan'wo'xin'zhe
略不相睹,lue'bu'xiang'du
略无慕艳意,lue'wu'mu'yan'yi
略无阙处,lue'wu'que'chu
论其刑赏,lun'qi'xing'shang
论诗,lun'shi
轮台东门送君去,lun'tai'dong'men'song'jun'qu
轮台九月风夜吼,lun'tai'jiu'yue'feng'ye'hou
论语十二章,lun'yu'shi'er'zhang
落红不是无情物,luo'hong'bu'shi'wu'qing'wu
落花时节又逢君,luo'hua'shi'jie'you'feng'jun
落日故人情,luo'ri'gu'ren'qing
落英缤纷,luo'ying'bin'fen
率妻子邑人来此绝境,lv'qi'zi'yi'ren'lai'ci'jue'jing
绿树村边合,lv'shu'cun'bian'he
绿杨阴里白沙堤,lv'yang'yin'li'bai'sha'di
马毛带雪汗气蒸,ma'mao'dai'xue'han'qi'zheng
马上相逢无纸笔,ma'shang'xiang'feng'wu'zhi'bi
马说,ma'shuo
马无故亡而入胡,ma'wu'gu'wang'er'ru'hu
马之千里者,ma'zhi'qian'li'zhe
马致远,ma'zhi'yuan
马作的卢飞快,ma'zuo'di'lu'fei'kuai
麦田浅鬣寸许,mai'tian'qian'lie'cun'xu
满井游记,man'jing'you'ji
满目萧然,man'mu'xiao'ran
满眼风光北固楼,man'yan'feng'guang'bei'gu'lou
满坐宾客,man'zuo'bin'ke
满坐寂然,man'zuo'ji'ran
茅飞渡江洒江郊,mao'fei'du'jiang'sa'jiang'jiao
茅屋为秋风所破歌,mao'wu'wei'qiu'feng'suo'po'ge
毛羽鳞鬣之间皆有喜气,mao'yu'lin'lie'zhi'jian'jie'you'xi'qi
每假借于藏书之家,mei'jia'jie'yu'cang'shu'zhi'jia
每冒风驰行,mei'mao'feng'chi'xing
每岁,mei'sui
眉眼盈盈处,mei'yan'ying'ying'chu
梅尧臣,mei'yao'chen
每与臣论此事,mei'yu'chen'lun'ci'shi
每至晴初霜旦,mei'zhi'qing'chu'shuang'dan
每自比于管仲乐毅,mei'zi'bi'yu'guan'zhong'yue'yi
门前流水尚能西,men'qian'liu'shui'shang'neng'xi
门人弟子填其室,men'ren'di'zi'tian'qi'shi
门庭若市数月之后,men'ting'ruo'shi'shu'yue'zhi'hou
门外戏,men'wai'xi
艨艟数百,meng'chong'shu'bai
蒙辞以军中多务,meng'ci'yi'jun'zhong'duo'wu
孟浩然,meng'hao'ran
梦回吹角连营,meng'hui'chui'jiao'lian'ying
猛浪若奔,meng'lang'ruo'ben
蒙络摇缀,meng'luo'yao'zhui
蒙乃始就学,meng'nai'shi'jiu'xue
蒙曰士别三日,meng'yue'shi'bie'san'ri
孟子,meng'zi
孟子两章,meng'zi'liang'zhang
迷津欲有问,mi'jin'yu'you'wen
米粟非不多也,mi'su'fei'bu'duo'ye
密州出猎,mi'zhou'chu'lie
面山而居,mian'shan'er'ju
民弗从也,min'fu'cong'ye
民听了民怕,min'ting'le'min'pa
民殷国富而不知存恤,min'yin'guo'fu'er'bu'zhi'cun'xu
明道中,ming'dao'zhong
命夸娥氏二子负二山,ming'kua'e'shi'er'zi'fu'er'shan
明灭可见,ming'mie'ke'jian
明日徐公来,ming'ri'xu'gong'lai
鸣声上下,ming'sheng'shang'xia
明有奇巧人曰王叔远,ming'you'qi'qiao'ren'yue'wang'shu'yuan
明月几时有,ming'yue'ji'shi'you
明月来相照,ming'yue'lai'xiang'zhao
明月楼高休独倚,ming'yue'lou'gao'xiu'du'yi
明朝散发弄扁舟,ming'zhao'san'fa'nong'pian'zhou
鸣之而不能通其意,ming'zhi'er'bu'neng'tong'qi'yi
名之者谁,ming'zhi'zhe'shui
莫辞酒味薄,mo'ci'jiu'wei'bo
莫道不消魂,mo'dao'bu'xiao'hun
磨刀霍霍向猪羊,mo'dao'huo'huo'xiang'zhu'yang
莫说相公痴,mo'shuo'xiang'gong'chi
默叹,mo'tan
莫言下岭便无难,mo'yan'xia'ling'bian'wu'nan
牡丹之爱,mu'dan'zhi'ai
暮到江陵,mu'dao'jiang'ling
暮而归,mu'er'gui
暮而果大亡其财,mu'er'guo'da'wang'qi'cai
木兰不用尚书,mu'lan'bu'yong'shang'shu
木兰当户织,mu'lan'dang'hu'zhi
木兰诗,mu'lan'shi
木兰无长兄,mu'lan'wu'zhang'xiong
木落雁南度,mu'luo'yan'nan'du
暮寝而思之,mu'qin'er'si'zhi
牧人驱犊返,mu'ren'qu'du'fan
目似瞑,mu'si'ming
暮宿黄河边,mu'su'huang'he'bian
暮投石壕村,mu'tou'shi'hao'cun
暮至黑山头,mu'zhi'hei'shan'tou
幕中草檄砚水凝,mu'zhong'cao'xi'yan'shui'ning
哪里去辨甚么真共假,na'li'qu'bian'shen'me'zhen'gong'jia
乃不知有汉,nai'bu'zhi'you'han
乃重修岳阳楼,nai'chong'xiu'yue'yang'lou
乃大惊,nai'da'jing
乃丹书帛曰陈胜王,nai'dan'shu'bo'yue'chen'sheng'wang
乃记之而去,nai'ji'zhi'er'qu
乃见,nai'jian
乃可攻也,nai'ke'gong'ye
乃令符离人葛婴将兵,nai'ling'fu'li'ren'ge'ying'jiang'bing
乃入见,nai'ru'jian
乃入据陈,nai'ru'ju'chen
乃石性坚重,nai'shi'xing'jian'zhong
乃悟前狼假寐,nai'wu'qian'lang'jia'mei
乃下令,nai'xia'ling
乃行卜,nai'xing'bu
乃诈称公子扶苏项燕,nai'zha'cheng'gong'zi'fu'su'xiang'yan
难测也,nan'ce'ye
南村群童欺我老无力,nan'cun'qun'tong'qi'wo'lao'wu'li
南抚夷越,nan'fu'yi'yue
南极潇湘,nan'ji'xiao'xiang
男女衣着,nan'nv'yi'zhuo
南市买辔头,nan'shi'mai'pei'tou
南乡子,nan'xiang'zi
南阳刘子骥,nan'yang'liu'zi'ji
南阳诸葛庐,nan'yang'zhu'ge'lu
男有分,nan'you'fen
内集,nei'ji
内修政理天下有变,nei'xiu'zheng'li'tian'xia'you'bian
能面刺寡人之过者,neng'mian'ci'gua'ren'zhi'guo'zhe
能以径寸之木,neng'yi'jing'cun'zhi'mu
念此私自愧,nian'ci'si'zi'kui
廿二日天稍和,nian'er'ri'tian'shao'he
念鬼,nian'gui
年且九十,nian'qie'jiu'shi
年少万兜鍪,nian'shao'wan'dou'mou
念天地之悠悠,nian'tian'di'zhi'you'you
念无与为乐者,nian'wu'yu'wei'le'zhe
酿泉为酒,niang'quan'wei'jiu
酿泉也,niang'quan'ye
鸟乐也,niao'le'ye
鸟向檐上飞,niao'xiang'yan'shang'fei
聂政之刺韩傀也,nie'zheng'zhi'ci'han'kui'ye
宁为百夫长,ning'wei'bai'fu'zhang
牛衣古柳卖黄瓜,niu'yi'gu'liu'mai'huang'gua
怒而触不周之山,nu'er'chu'bu'zhou'zhi'shan
女亦无所思,nv'yi'wu'suo'si
女亦无所忆,nv'yi'wu'suo'yi
女有归,nv'you'gui
偶然值林叟,ou'ran'zhi'lin'sou
欧阳修,ou'yang'xiu
旁开小窗,pang'kai'xiao'chuang
盆器倾侧,pen'qi'qing'ce
蓬莱文章建安骨,peng'lai'wen'zhang'jian'an'gu
蓬山此去无多路,peng'shan'ci'qu'wu'duo'lu
匹夫不可夺志也,pi'fu'bu'ke'duo'zhi'ye
骈死于槽枥之间,pian'si'yu'cao'li'zhi'jian
平海夕漫漫,ping'hai'xi'man'man
凭君传语报平安,ping'jun'chuan'yu'bao'ping'an
平沙莽莽黄入天,ping'sha'mang'mang'huang'ru'tian
颇示己志,po'shi'ji'zhi
泼水声,po'shui'sheng
破阵子,po'zhen'zi
蒲松龄,pu'song'ling
铺毡对坐,pu'zhan'dui'zuo
其岸势犬牙差互,qi'an'shi'quan'ya'cha'hu
其必曰,qi'bi'yue
岂不罹凝寒,qi'bu'li'ning'han
其不善者而改之,qi'bu'shan'zhe'er'gai'zhi
其船背稍夷,qi'chuan'bei'shao'yi
启窗而观,qi'chuang'er'guan
其此之谓乎,qi'ci'zhi'wei'hu
其反激之力,qi'fan'ji'zhi'li
其夫呓语,qi'fu'yi'yu
其父曰,qi'fu'yue
齐国之美丽者也,qi'guo'zhi'mei'li'zhe'ye
其家甚智其子,qi'jia'shen'zhi'qi'zi
其间千二百里虽乘奔御风,qi'jian'qian'er'bai'li'sui'cheng'ben'yu'feng
七里之郭,qi'li'zhi'guo
其两膝相比者,qi'liang'xi'xiang'bi'zhe
其邻人之父亦云,qi'lin'ren'zhi'fu'yi'yun
齐鲁青未了,qi'lu'qing'wei'liao
其马将胡骏马而归,qi'ma'jiang'hu'jun'ma'er'gui
其名为鵷鶵,qi'ming'wei'yuan'chu
岂能为暴涨携之去,qi'neng'wei'bao'zhang'xie'zhi'qu
其妻献疑曰以君之力,qi'qi'xian'yi'yue'yi'jun'zhi'li
其妻曰君美甚,qi'qi'yue'jun'mei'shen
弃其杖,qi'qi'zhang
骑千余,qi'qian'yu
妻妾之奉,qi'qie'zhi'feng
乞人不屑也,qi'ren'bu'xie'ye
齐人三鼓,qi'ren'san'gu
其人视端容寂,qi'ren'shi'duan'rong'ji
期日中,qi'ri'zhong
其如土石何,qi'ru'tu'shi'he
其三,qi'san
其色丹,qi'se'dan
其色墨,qi'se'mo
奇山异水,qi'shan'yi'shui
凄神寒骨,qi'shen'han'gu
齐师败绩,qi'shi'bai'ji
七十而从心所欲,qi'shi'er'cong'xin'suo'yu
齐师伐我,qi'shi'fa'wo
其诗以养父母收族为意,qi'shi'yi'yang'fu'mu'shou'zu'wei'yi
其受之天也,qi'shou'zhi'tian'ye
岐王宅里寻常见,qi'wang'zhai'li'xun'chang'jian
其文理皆有可观者,qi'wen'li'jie'you'ke'guan'zhe
弃我去者,qi'wo'qu'zhe
起舞弄清影,qi'wu'nong'qing'ying
其西南诸峰,qi'xi'nan'zhu'feng
其喜洋洋者矣,qi'xi'yang'yang'zhe'yi
蕲下,qi'xia
其乡人曰,qi'xiang'ren'yue
气象万千,qi'xiang'wan'qian
其言兹若人之俦乎,qi'yan'zi'ruo'ren'zhi'chou'hu
其一,qi'yi
其一犬坐于前,qi'yi'quan'zuo'yu'qian
起于鲁,qi'yu'lu
岂愿见之乎,qi'yuan'jian'zhi'hu
期在必醉既醉而退,qi'zai'bi'zui'ji'zui'er'tui
其真不知马也,qi'zhen'bu'zhi'ma'ye
其真无马邪,qi'zhen'wu'ma'xie
气蒸云梦泽,qi'zheng'yun'meng'ze
岂直五百里哉,qi'zhi'wu'bai'li'zai
其中往来种作,qi'zhong'wang'lai'zhong'zuo
其子好骑,qi'zi'hao'qi
其子曰不筑,qi'zi'yue'bu'zhu
起坐而喧哗者众宾欢也,qi'zuo'er'xuan'hua'zhe'zhong'bin'huan'ye
千百成峰,qian'bai'cheng'feng
前不见古人,qian'bu'jian'gu'ren
浅草才能没马蹄,qian'cao'cai'neng'mo'ma'ti
千古兴亡多少事,qian'gu'xing'wang'duo'shao'shi
迁客骚人,qian'ke'sao'ren
千里共婵娟,qian'li'gong'chan'juan
千里马常有,qian'li'ma'chang'you
黔娄之妻有言,qian'lou'zhi'qi'you'yan
阡陌交通,qian'mo'jiao'tong
千骑卷平冈,qian'qi'juan'ping'gang
前人之述备矣,qian'ren'zhi'shu'bei'yi
千山高复低,qian'shan'gao'fu'di
千树万树梨花开,qian'shu'wan'shu'li'hua'kai
钱塘湖春行,qian'tang'hu'chun'xing
千万和春住,qian'wan'he'chun'zhu
千丈见底,qian'zhang'jian'di
千嶂里,qian'zhang'li
前者呼,qian'zhe'hu
羌村三首,qiang'cun'san'shou
抢夺声,qiang'duo'sheng
羌管悠悠霜满地,qiang'guan'you'you'shuang'man'di
樯倾楫摧薄暮冥冥,qiang'qing'ji'cui'bo'mu'ming'ming
悄怆幽邃,qiao'chuang'you'sui
敲门试问野人家,qiao'men'shi'wen'ye'ren'jia
巧笑东邻女伴,qiao'xiao'dong'lin'nv'ban
且秦灭韩亡魏,qie'qin'mie'han'wang'wei
切问而近思,qie'wen'er'jin'si
且焉置土石,qie'yan'zhi'tu'shi
且欲与常马等不可得,qie'yu'yu'chang'ma'deng'bu'ke'de
妾曰徐公何能及君也,qie'yue'xu'gong'he'neng'ji'jun'ye
且壮士不死即已,qie'zhuang'shi'bu'si'ji'yi
禽滑厘等三百人,qin'hua'li'deng'san'bai'ren
亲旧知其如此,qin'jiu'zhi'qi'ru'ci
亲戚畔之,qin'qi'pan'zhi
琴瑟友之,qin'se'you'zhi
亲射虎,qin'she'hu
禽兽之变诈几何哉,qin'shou'zhi'bian'zha'ji'he'zai
秦王怫然怒,qin'wang'fu'ran'nu
秦王色挠,qin'wang'se'nao
秦王使人谓安陵君曰,qin'wang'shi'ren'wei'an'ling'jun'yue
秦王谓唐雎曰,qin'wang'wei'tang'ju'yue
秦王曰布衣之怒,qin'wang'yue'bu'yi'zhi'nu
秦王曰天子之怒,qin'wang'yue'tian'zi'zhi'nu
亲贤臣,qin'xian'chen
青草池塘处处蛙,qing'cao'chi'tang'chu'chu'wa
清澈见底,qing'che'jian'di
清晨入古寺,qing'chen'ru'gu'si
晴川历历汉阳树,qing'chuan'li'li'han'yang'shu
请从吏夜归,qing'cong'li'ye'gui
清风徐来,qing'feng'xu'lai
轻寡人与,qing'gua'ren'yu
请广于君,qing'guang'yu'jun
卿今当涂掌事,qing'jin'dang'tu'zhang'shi
倾榼浊复清,qing'ke'zhuo'fu'qing
晴空一鹤排云上,qing'kong'yi'he'pai'yun'shang
庆历四年春,qing'li'si'nian'chun
青林翠竹,qing'lin'cui'zhu
清流见底,qing'liu'jian'di
青鸟殷勤为探看,qing'niao'yin'qin'wei'tan'kan
清荣峻茂,qing'rong'jun'mao
青山独归远,qing'shan'du'gui'yuan
青山郭外斜,qing'shan'guo'wai'xie
青山横北郭,qing'shan'heng'bei'guo
青树翠蔓,qing'shu'cui'man
请为父老歌,qing'wei'fu'lao'ge
卿言多务,qing'yan'duo'wu
穷冬烈风,qiong'dong'lie'feng
秋词,qiu'ci
秋风萧瑟,qiu'feng'xiao'se
秋色连波,qiu'se'lian'bo
求石兽于水中,qiu'shi'shou'yu'shui'zhong
秋思,qiu'si
秋天漠漠向昏黑,qiu'tian'mo'mo'xiang'hun'hei
求之不得,qiu'zhi'bu'de
求之下流,qiu'zhi'xia'liu
曲儿小腔儿大,qu'er'xiao'qiang'er'da
曲肱而枕之,qu'gong'er'zhen'zhi
去后乃至,qu'hou'nai'zhi
驱鸡上树木,qu'ji'shang'shu'mu
曲径通幽处,qu'jing'tong'you'chu
去年天气旧亭台,qu'nian'tian'qi'jiu'ting'tai
去时雪满天山路,qu'shi'xue'man'tian'shan'lu
诎右臂支船,qu'you'bi'zhi'chuan
泉而茗者,quan'er'ming'zhe
全石以为底,quan'shi'yi'wei'di
泉水激石,quan'shui'ji'shi
权谓吕蒙曰,quan'wei'lv'meng'yue
泉香而酒洌,quan'xiang'er'jiu'lie
权曰,quan'yue
全仗你抬声价,quan'zhang'ni'tai'sheng'jia
却话巴山夜雨时,que'hua'ba'shan'ye'yu'shi
群臣进谏,qun'chen'jin'jian
群臣吏民,qun'chen'li'min
群鸡正乱叫,qun'ji'zheng'luan'jiao
群响毕绝,qun'xiang'bi'jue
然操遂能克绍,ran'cao'sui'neng'ke'shao
然臣之弟子,ran'chen'zhi'di'zi
然而不胜者,ran'er'bu'sheng'zhe
然而禽鸟知山林之乐,ran'er'qin'niao'zhi'shan'lin'zhi'le
然后能改困于心,ran'hou'neng'gai'kun'yu'xin
然后能自反也,ran'hou'neng'zi'fan'ye
然后能自强也,ran'hou'neng'zi'qiang'ye
然后施行,ran'hou'shi'xing
然后有千里马,ran'hou'you'qian'li'ma
然后知生于忧患,ran'hou'zhi'sheng'yu'you'huan
然胡不已乎,ran'hu'bu'yi'hu
然侍卫之臣不懈于内,ran'shi'wei'zhi'chen'bu'xie'yu'nei
然徒步则汗出浃背,ran'tu'bu'ze'han'chu'jia'bei
然则北通巫峡,ran'ze'bei'tong'wu'xia
然则何时而乐耶,ran'ze'he'shi'er'le'ye
然则天下之事,ran'ze'tian'xia'zhi'shi
然志犹未已,ran'zhi'you'wei'yi
然足下卜之鬼乎,ran'zu'xia'bu'zhi'gui'hu
攘除奸凶,rang'chu'jian'xiong
人比黄花瘦,ren'bi'huang'hua'shou
人不堪其忧,ren'bu'kan'qi'you
人不寐,ren'bu'mei
人不知而不愠,ren'bu'zhi'er'bu'yun
人恒过,ren'heng'guo
人迹板桥霜,ren'ji'ban'qiao'shuang
人家在何许,ren'jia'zai'he'xu
人皆吊之,ren'jie'diao'zhi
人皆贺之,ren'jie'he'zhi
人皆有之,ren'jie'you'zhi
忍能对面为盗贼,ren'neng'dui'mian'wei'dao'zei
人生在世不称意,ren'sheng'zai'shi'bu'chen'yi
人生自古谁无死,ren'sheng'zi'gu'shui'wu'si
人物,ren'wu
任意东西,ren'yi'dong'xi
人影散乱,ren'ying'san'luan
人有悲欢离合,ren'you'bei'huan'li'he
仁在其中矣,ren'zai'qi'zhong'yi
人知从太守游而乐,ren'zhi'cong'tai'shou'you'er'le
仍怜故乡水,reng'lian'gu'xiang'shui
日扳仲永环谒于邑人,ri'ban'zhong'yong'huan'ye'yu'yi'ren
日高人渴漫思茶,ri'gao'ren'ke'man'si'cha
日光下澈,ri'guang'xia'che
日暮聊为梁甫吟,ri'mu'liao'wei'liang'fu'yin
日暮乡关何处是,ri'mu'xiang'guan'he'chu'shi
日晚倦梳头,ri'wan'juan'shu'tou
日月之行,ri'yue'zhi'xing
日长飞絮轻,ri'zhang'fei'xu'qing
日中不至,ri'zhong'bu'zhi
柔梢披风,rou'shao'pi'feng
肉食者鄙,rou'shi'zhe'bi
肉食者谋之,rou'shi'zhe'mou'zhi
汝安知鱼乐云者,ru'an'zhi'yu'le'yun'zhe
如此其贤也,ru'ci'qi'xian'ye
如履平地,ru'lv'ping'di
如梦令,ru'meng'ling
如鸣珮环,ru'ming'pei'huan
如倩女之靧面,ru'qian'nv'zhi'hui'mian
入日渴,ru'ri'ke
如使人之所欲莫甚于生,ru'shi'ren'zhi'suo'yu'mo'shen'yu'sheng
如是再啮,ru'shi'zai'nie
如太行王屋何,ru'tai'hang'wang'wu'he
如闻泣幽咽,ru'wen'qi'you'ye
汝心之固,ru'xin'zhi'gu
如有所语,ru'you'suo'yu
入则无法家拂士,ru'ze'wu'fa'jia'bi'shi
汝之不惠,ru'zhi'bu'hui
瑞脑消金兽,rui'nao'xiao'jin'shou
若出其里,ruo'chu'qi'li
若出其中,ruo'chu'qi'zhong
若到江南赶上春,ruo'dao'jiang'nan'gan'shang'chun
若夫日出而林霏开,ruo'fu'ri'chu'er'lin'fei'kai
若夫霪雨霏霏,ruo'fu'yin'yu'fei'fei
若跨有荆益,ruo'kua'you'jing'yi
箬篷覆之,ruo'peng'fu'zhi
若士必怒,ruo'shi'bi'nu
若听茶,ruo'ting'cha
若脱笼之鹄,ruo'tuo'long'zhi'hu
若为佣耕,ruo'wei'yong'geng
若无兴德之言,ruo'wu'xing'de'zhi'yan
若啸呼状,ruo'xiao'hu'zhuang
若有作奸犯科,ruo'you'zuo'jian'fan'ke
撒盐空中差可拟,sa'yan'kong'zhong'cha'ke'ni
塞上燕脂凝夜紫,sai'shang'yan'zhi'ning'ye'zi
塞翁失马,sai'weng'shi'ma
塞下秋来风景异,sai'xia'qiu'lai'feng'jing'yi
三而竭,san'er'jie
三顾臣于草庐之中,san'gu'chen'yu'cao'lu'zhi'zhong
三军可夺帅,san'jun'ke'duo'shuai
三老,san'lao
三里之城,san'li'zhi'cheng
三男邺城戍,san'nan'ye'cheng'shu
三年多难更凭危,san'nian'duo'nan'geng'ping'wei
三年羁旅客,san'nian'ji'lv'ke
三人行,san'ren'xing
散入春风满洛城,san'ru'chun'feng'man'luo'cheng
散入珠帘湿罗幕,san'ru'zhu'lian'shi'luo'mu
三十而立,san'shi'er'li
三峡,san'xia
瑟瑟谷中风,se'se'gu'zhong'feng
色愈恭,se'yu'gong
僧募金重修,seng'mu'jin'chong'xiu
杀臣,sha'chen
杀所不足而争所有余,sha'suo'bu'zu'er'zheng'suo'you'yu
沙性松浮,sha'xing'song'fu
沙性松浮水不能冲石,sha'xing'song'fu'shui'bu'neng'chong'shi
杀之以应陈涉,sha'zhi'yi'ying'chen'she
苫蔽成丘,shan'bi'cheng'qiu
山不在高,shan'bu'zai'gao
山川之美,shan'chuan'zhi'mei
山岛竦峙,shan'dao'song'zhi
山光悦鸟性,shan'guang'yue'niao'xing
山海经,shan'hai'jing
山河表里潼关路,shan'he'biao'li'tong'guan'lu
山河破碎风飘絮,shan'he'po'sui'feng'piao'xu
山回路转不见君,shan'hui'lu'zhuan'bu'jian'jun
山际见来烟,shan'ji'jian'lai'yan
山间之四时也,shan'jian'zhi'si'shi'ye
山间之朝暮也,shan'jian'zhi'zhao'mu'ye
山峦为晴雪所洗,shan'luan'wei'qing'xue'suo'xi
山门圮于河,shan'men'pi'yu'he
山坡羊,shan'po'yang
山坡羊潼关怀古,shan'po'yang'tong'guan'huai'gu
山气日夕佳,shan'qi'ri'xi'jia
山山唯落晖,shan'shan'wei'luo'hui
山是眉峰聚,shan'shi'mei'feng'ju
山水之乐,shan'shui'zhi'le
山随平野尽,shan'sui'ping'ye'jin
山下兰芽短浸溪,shan'xia'lan'ya'duan'jin'xi
山行六七里,shan'xing'liu'qi'li
山肴野蔌,shan'yao'ye'su
山映斜阳天接水,shan'ying'xie'yang'tian'jie'shui
山有小口,shan'you'xiao'kou
山岳潜形商旅不行,shan'yue'qian'xing'shang'lv'bu'xing
善哉,shan'zai
山之僧智仙也,shan'zhi'seng'zhi'xian'ye
山中杂诗,shan'zhong'za'shi
赏赐百千强,shang'ci'bai'qian'qiang
商女不知亡国恨,shang'nv'bu'zhi'wang'guo'hen
商山早行,shang'shan'zao'xing
上使外将兵,shang'shi'wai'jiang'bing
尚思为国戍轮台,shang'si'wei'guo'shu'lun'tai
