爱奥尼亚柱式,ai'ao'ni'ya'zhu'shi
埋电缆,mai'dian'lan
埋管,mai'guan
埋弧焊,mai'hu'han
埋件,mai'jian
埋入长度,mai'ru'chang'du
埋入式,mai'ru'shi
埋设,mai'she
埋设护筒,mai'she'hu'tong
埋深,mai'shen
埋石,mai'shi
埋头螺栓,mai'tou'luo'shuan
埋置,mai'zhi
埋置式,mai'zhi'shi
埋置式桥台,mai'zhi'shi'qiao'tai
埋钻,mai'zuan
满布,man'bu
漫步路,man'bu'lu
满布式,man'bu'shi
满布式支架,man'bu'shi'zhi'jia
满布支架,man'bu'zhi'jia
慢车道,man'che'dao
满村,man'cun
幔道,man'dao
慢道,man'dao
慢拱,man'gong
慢栱,man'gong
满归,man'gui
满汉营,man'han'ying
漫空杖,man'kong'zhang
满铺,man'pu
满砌护坡,man'qi'hu'po
漫射灯,man'she'deng
漫射照明,man'she'zhao'ming
漫水坝,man'shui'ba
漫水桥,man'shui'qiao
漫水湾,man'shui'wan
满堂板,man'tang'ban
满堂红,man'tang'hong
满堂红支架,man'tang'hong'zhi'jia
满堂式,man'tang'shi
满堂支架,man'tang'zhi'jia
慢行,man'xing
慢行牌,man'xing'pai
盲窗,mang'chuang
盲沟,mang'gou
盲沟排水抗浮,mang'gou'pai'shui'kang'fu
盲人花园,mang'ren'hua'yuan
毛坝,mao'ba
毛坝关,mao'ba'guan
毛刺,mao'ci
猫道,mao'dao
锚垫板,mao'dian'ban
锚定,mao'ding
锚碇,mao'ding
锚定板,mao'ding'ban
锚定板挡土墙,mao'ding'ban'dang'tu'qiang
锚锭板式挡土墙,mao'ding'ban'shi'dang'tu'qiang
锚碇板式桥台,mao'ding'ban'shi'qiao'tai
锚定墙,mao'ding'qiang
锚碇式挡土墙,mao'ding'shi'dang'tu'qiang
毛洞,mao'dong
锚墩,mao'dun
帽儿梁,mao'er'liang
帽儿山,mao'er'shan
毛发聚集器,mao'fa'ju'ji'qi
锚杆,mao'gan
锚杆挡土墙,mao'gan'dang'tu'qiang
锚杆抗浮,mao'gan'kang'fu
锚杆式挡土墙,mao'gan'shi'dang'tu'qiang
毛告吐,mao'gao'tu
锚固,mao'gu
锚固安装,mao'gu'an'zhuang
锚固板,mao'gu'ban
锚固长度,mao'gu'chang'du
锚固钢筋,mao'gu'gang'jin
锚固胶,mao'gu'jiao
锚固筋,mao'gu'jin
锚固螺栓,mao'gu'luo'shuan
锚固区,mao'gu'qu
冒浆,mao'jiang
锚筋,mao'jin
毛巾架,mao'jin'jia
冒进信号,mao'jin'xin'hao
锚具,mao'ju
锚孔,mao'kong
毛勒,mao'le
毛勒缝,mao'le'feng
毛勒伸缩缝,mao'le'shen'suo'feng
帽梁,mao'liang
茂名东,mao'ming'dong
茂名水高线,mao'ming'shui'gao'xian
锚喷,mao'pen
锚入,mao'ru
茂舍祖,mao'she'zu
锚室,mao'shi
帽石,mao'shi
毛石,mao'shi
毛石混凝土,mao'shi'hun'ning'tu
毛石墙,mao'shi'qiang
锚栓,mao'shuan
锚索,mao'suo
毛条石,mao'tiao'shi
茅亭,mao'ting
锚头,mao'tou
毛细多孔体,mao'xi'duo'kong'ti
毛细管冷凝作用,mao'xi'guan'leng'ning'zuo'yong
毛细管吸水作用,mao'xi'guan'xi'shui'zuo'yong
毛细水,mao'xi'shui
冒险作业,mao'xian'zuo'ye
毛毡花坛,mao'zhan'hua'tan
么荒,me'huang
么铺,me'pu
每层,mei'ceng
美发廊,mei'fa'lang
没赶上火车,mei'gan'shang'huo'che
玫瑰窗,mei'gui'chuang
美国建筑师协会,mei'guo'jian'zhu'shi'xie'hui
梅花孔,mei'hua'kong
美化亮化,mei'hua'liang'hua
梅集线,mei'ji'xian
煤矿沉陷,mei'kuang'chen'xian
每立方米造价,mei'li'fang'mi'zao'jia
煤沥青,mei'li'qing
煤气发生站,mei'qi'fa'sheng'zhan
煤气干管,mei'qi'gan'guan
煤气调压站,mei'qi'tiao'ya'zhan
美容院,mei'rong'yuan
美术馆,mei'shu'guan
美术教室,mei'shu'jiao'shi
美术水磨石,mei'shu'shui'mo'shi
美术水磨石地面,mei'shu'shui'mo'shi'di'mian
美索不达米亚建筑,mei'suo'bu'da'mi'ya'jian'zhu
煤炭直达列车,mei'tan'zhi'da'lie'che
煤窑沟,mei'yao'gou
没有借口,mei'you'jie'kou
梅雨,mei'yu
梅子铺,mei'zi'pu
门跋,men'ba
门柄,men'bing
门窗表,men'chuang'biao
门窗一览表,men'chuang'yi'lan'biao
门磁报警,men'ci'bao'jing
门达,men'da
门档,men'dang
门灯,men'deng
门钉,men'ding
闷顶,men'ding
门洞,men'dong
门洞口,men'dong'kou
门斗,men'dou
门房,men'fang
门过梁,men'guo'liang
门夹,men'jia
门架,men'jia
门槛,men'kan
门框,men'kuang
门框墙,men'kuang'qiang
门廊,men'lang
闷料,men'liao
门铃系统,men'ling'xi'tong
门碰,men'peng
门球场,men'qiu'chang
门扇,men'shan
门式铺轨排机,men'shi'pu'gui'pai'ji
门锁,men'suo
门厅,men'ting
门厅门诊部,men'ting'men'zhen'bu
门厅前踏步,men'ting'qian'ta'bu
门头跳动,men'tou'tiao'dong
门卫种植,men'wei'zhong'zhi
门吸,men'xi
门簪,men'zan
门枕,men'zhen
门诊部,men'zhen'bu
门枕石,men'zhen'shi
蒙渡,meng'du
锰钢辙叉,meng'gang'zhe'cha
孟家岗,meng'jia'gang
猛鹫山,meng'jiu'shan
孟庙,meng'miao
懵然无觉,meng'ran'wu'jue
蒙脱石,meng'tuo'shi
孟溪,meng'xi
密闭门,mi'bi'men
密闭式循环冷却水系统,mi'bi'shi'xun'huan'leng'que'shui'xi'tong
弥补成本,mi'bu'cheng'ben
米尺,mi'chi
密度,mi'du
密封窗,mi'feng'chuang
密封垫圈,mi'feng'dian'quan
密封灌浆,mi'feng'guan'jiang
密封胶,mi'feng'jiao
密封圈,mi'feng'quan
密封试验,mi'feng'shi'yan
密封条,mi'feng'tiao
迷宫,mi'gong
迷宫绿篱,mi'gong'lv'li
米黄石,mi'huang'shi
米火,mi'huo
密级配,mi'ji'pei
密级配沥青混合料,mi'ji'pei'li'qing'hun'he'liao
秘诀仙机,mi'jue'xian'ji
密马龙,mi'ma'long
泌尿化验室,mi'niao'hua'yan'shi
米沙子,mi'sha'zi
密山西,mi'shan'xi
密实,mi'shi
密实度,mi'shi'du
秘书室,mi'shu'shi
泌水,mi'shui
泌水率,mi'shui'lv
泌水试验,mi'shui'shi'yan
密贴,mi'tie
密贴尖轨,mi'tie'jian'gui
米约,mi'yue
米约高架,mi'yue'gao'jia
米约高架桥,mi'yue'gao'jia'qiao
迷阵,mi'zhen
面板,mian'ban
面包厂,mian'bao'chang
面层,mian'ceng
面层材料,mian'ceng'cai'liao
面层抹灰,mian'ceng'mo'hui
免除责任,mian'chu'ze'ren
免渡河,mian'du'he
免费通行,mian'fei'tong'xing
免费行李,mian'fei'xing'li
面粉厂,mian'fen'chang
面光,mian'guang
面荷载,mian'he'zai
面积定额,mian'ji'ding'e
免缴证,mian'jiao'zheng
面控制,mian'kong'zhi
面阔,mian'kuo
面冷心狠,mian'leng'xin'hen
冕山,mian'shan
面石膏板,mian'shi'gao'ban
勉西,mian'xi
棉絮,mian'xu
面砖,mian'zhuan
面砖胶,mian'zhuan'jiao
庙坝,miao'ba
庙宫,miao'gong
苗木包装材料,miao'mu'bao'zhuang'cai'liao
苗圃,miao'pu
庙台子,miao'tai'zi
庙头,miao'tou
描图,miao'tu
庙下,miao'xia
庙阳,miao'yang
庙子沟,miao'zi'gou
灭火剂,mie'huo'ji
灭火器,mie'huo'qi
灭火设备,mie'huo'she'bei
灭火系统,mie'huo'xi'tong
乜吐硕,mie'tu'shuo
民房,min'fang
民福寺,min'fu'si
民工工资,min'gong'gong'zi
民工建勤,min'gong'jian'qin
闵家屯,min'jia'tun
民居,min'ju
民用爆炸物品,min'yong'bao'zha'wu'pin
民用航空安全,min'yong'hang'kong'an'quan
民用机场,min'yong'ji'chang
民用建筑,min'yong'jian'zhu
民族风格,min'zu'feng'ge
民族风俗风景区,min'zu'feng'su'feng'jing'qu
民族性,min'zu'xing
明安,ming'an
明暗度,ming'an'du
明暗对比,ming'an'dui'bi
鸣笛标,ming'di'biao
明洞,ming'dong
明栿,ming'fu
明管,ming'guan
明间,ming'jian
明楼梯,ming'lou'ti
名耆,ming'qi
明渠,ming'qu
明视觉,ming'shi'jue
明适应,ming'shi'ying
明水河,ming'shui'he
明挖,ming'wa
明挖法,ming'wa'fa
明挖基础,ming'wa'ji'chu
明挖基坑,ming'wa'ji'keng
明线,ming'xian
明线布线,ming'xian'bu'xian
明线线路,ming'xian'xian'lu
名义利率,ming'yi'li'lv
名园古刹,ming'yuan'gu'cha
明装,ming'zhuang
明装搬把开关,ming'zhuang'ban'ba'kai'guan
名状插销,ming'zhuang'cha'xiao
明装荧光灯,ming'zhuang'ying'guang'deng
明装荧光灯带,ming'zhuang'ying'guang'deng'dai
明装照明设备,ming'zhuang'zhao'ming'she'bei
摩擦力,mo'ca'li
摩擦系数,mo'ca'xi'shu
摩擦系数仪,mo'ca'xi'shu'yi
摩擦桩,mo'ca'zhuang
墨池坝,mo'chi'ba
墨冲,mo'chong
抹底层灰,mo'di'ceng'hui
抹滴水线,mo'di'shui'xian
末端,mo'duan
末端测试阀,mo'duan'ce'shi'fa
末端反射损失,mo'duan'fan'she'sun'shi
末端互投,mo'duan'hu'tou
磨粉机,mo'fen'ji
抹缝,mo'feng
蘑菇石,mo'gu'shi
蘑菇滩,mo'gu'tan
蘑菇亭,mo'gu'ting
磨光值,mo'guang'zhi
磨轨车,mo'gui'che
磨轨机,mo'gui'ji
磨轨列车,mo'gui'lie'che
磨耗层,mo'hao'ceng
磨耗度,mo'hao'du
磨耗损失,mo'hao'sun'shi
磨耗性,mo'hao'xing
磨耗值,mo'hao'zhi
抹灰,mo'hui
抹灰饼,mo'hui'bing
抹灰顶棚,mo'hui'ding'peng
抹灰工,mo'hui'gong
抹灰厚度,mo'hui'hou'du
抹角,mo'jiao
模量,mo'liang
模量比,mo'liang'bi
秣陵镇,mo'ling'zhen
抹面,mo'mian
抹面机,mo'mian'ji
莫莫营子,mo'mo'ying'zi
模拟试验,mo'ni'shi'yan
模拟演练,mo'ni'yan'lian
抹平,mo'ping
磨砂玻璃,mo'sha'bo'li
磨砂灯泡,mo'sha'deng'pao
磨石,mo'shi
模式语言,mo'shi'yu'yan
模数,mo'shu
模数协调,mo'shu'xie'tiao
摩天楼,mo'tian'lou
抹头,mo'tou
抹涂,mo'tu
摩托夯,mo'tuo'hang
磨溪,mo'xi
墨线图,mo'xian'tu
磨心坡,mo'xin'po
模型,mo'xing
模型室,mo'xing'shi
抹压,mo'ya
抹子,mo'zi
摩阻力,mo'zu'li
模板,mu'ban
模板安装,mu'ban'an'zhuang
模板拆除,mu'ban'chai'chu
木板墙,mu'ban'qiang
木板桥,mu'ban'qiao
木板条吊顶,mu'ban'tiao'diao'ding
目标管理,mu'biao'guan'li
目标管理理念,mu'biao'guan'li'li'nian
目标配比,mu'biao'pei'bi
目标配比设计,mu'biao'pei'bi'she'ji
目标配合比,mu'biao'pei'he'bi
目标配合比设计,mu'biao'pei'he'bi'she'ji
沐埠岭,mu'bu'ling
木材,mu'cai
木材厂,mu'cai'chang
牧草地,mu'cao'di
牧场草坪,mu'chang'cao'ping
木窗,mu'chuang
木地板,mu'di'ban
木隔断,mu'ge'duan
木搁栅,mu'ge'zha
木搁栅楼板,mu'ge'zha'lou'ban
木工车间,mu'gong'che'jian
木构件,mu'gou'jian
木构造,mu'gou'zao
木瓜坪,mu'gua'ping
木桁架,mu'heng'jia
木护墙,mu'hu'qiang
木基层,mu'ji'ceng
木戛,mu'jia
穆家店,mu'jia'dian
牡佳线,mu'jia'xian
木架砖墙房屋,mu'jia'zhuan'qiang'fang'wu
木结构,mu'jie'gou
木结构施工记录,mu'jie'gou'shi'gong'ji'lu
木结构体系,mu'jie'gou'ti'xi
木橛,mu'jue
木栏杆,mu'lan'gan
木里图,mu'li'tu
木龙骨,mu'long'gu
木龙骨楼板,mu'long'gu'lou'ban
木楼板,mu'lou'ban
目露悸容,mu'lu'ji'rong
目录厅,mu'lu'ting
木螺钉,mu'luo'ding
木螺丝,mu'luo'si
木门,mu'men
木门框,mu'men'kuang
木抹搓平,mu'mo'cuo'ping
木抹子,mu'mo'zi
木偶剧院,mu'ou'ju'yuan
木排道,mu'pai'dao
沐滂,mu'pang
幕墙,mu'qiang
幕墙胶,mu'qiang'jiao
幕墙注胶检查记录,mu'qiang'zhu'jiao'jian'cha'ji'lu
木桥,mu'qiao
木丝板,mu'si'ban
木踢脚板,mu'ti'jiao'ban
木条地板,mu'tiao'di'ban
木条墙面,mu'tiao'qiang'mian
木桶理论,mu'tong'li'lun
牡图线,mu'tu'xian
木瓦,mu'wa
木望板,mu'wang'ban
木屋顶,mu'wu'ding
木屋架,mu'wu'jia
母线,mu'xian
母线槽,mu'xian'cao
母线管道,mu'xian'guan'dao
母线连接,mu'xian'lian'jie
木楔,mu'xie
木屑板,mu'xie'ban
木楔子,mu'xie'zi
苜蓿叶,mu'xu'ye
苜蓿叶形立体交叉,mu'xu'ye'xing'li'ti'jiao'cha
墓穴,mu'xue
模样花坛,mu'yang'hua'tan
沐浴更衣室,mu'yu'geng'yi'shi
墓园,mu'yuan
木枕防腐,mu'zhen'fang'fu
木枕防裂装置,mu'zhen'fang'lie'zhuang'zhi
木枕开裂,mu'zhen'kai'lie
木枕刻痕,mu'zhen'ke'hen
木枕削平机,mu'zhen'xue'ping'ji
木枕预钻孔,mu'zhen'yu'zuan'kong
木枕钻孔机,mu'zhen'zuan'kong'ji
木质纤维素,mu'zhi'xian'wei'su
木质制品,mu'zhi'zhi'pin
木竹河,mu'zhu'he
木砖地面,mu'zhuan'di'mian
木桩,mu'zhuang
木装修,mu'zhuang'xiu
母子候车室,mu'zi'hou'che'shi
钠灯光,na'deng'guang
钠光,na'guang
那林桃亥,na'lin'tao'hai
那罗,na'luo
那铺,na'pu
那玉,na'yu
氖灯,nai'deng
耐腐蚀轨,nai'fu'shi'gui
耐高温材料,nai'gao'wen'cai'liao
耐寒植物,nai'han'zhi'wu
耐旱植物,nai'han'zhi'wu
耐候性,nai'hou'xing
耐火材料,nai'huo'cai'liao
耐火等级,nai'huo'deng'ji
耐火吊顶,nai'huo'diao'ding
耐火顶棚,nai'huo'ding'peng
耐火混凝土,nai'huo'hun'ning'tu
耐火极限,nai'huo'ji'xian
耐火结构,nai'huo'jie'gou
耐火楼梯,nai'huo'lou'ti
耐火时限,nai'huo'shi'xian
耐火试验,nai'huo'shi'yan
耐火塑料,nai'huo'su'liao
耐火填料,nai'huo'tian'liao
耐火涂层,nai'huo'tu'ceng
耐火涂料,nai'huo'tu'liao
耐火制品,nai'huo'zhi'pin
耐火砖,nai'huo'zhuan
耐久试验,nai'jiu'shi'yan
耐久寿命,nai'jiu'shou'ming
耐久系数,nai'jiu'xi'shu
耐久性,nai'jiu'xing
乃林,nai'lin
耐磨轨,nai'mo'gui
耐磨砖,nai'mo'zhuan
奶姆庄,nai'mu'zhuang
耐热玻璃,nai're'bo'li
耐热材料,nai're'cai'liao
耐湿期,nai'shi'qi
耐湿植物,nai'shi'zhi'wu
耐水粘合剂,nai'shui'nian'he'ji
耐酸地面,nai'suan'di'mian
耐酸缸瓦器,nai'suan'gang'wa'qi
耐酸混凝土,nai'suan'hun'ning'tu
耐酸面板,nai'suan'mian'ban
耐酸水泥,nai'suan'shui'ni
耐酸水泥砂浆,nai'suan'shui'ni'sha'jiang
耐酸陶瓷,nai'suan'tao'ci
耐酸陶瓷制品,nai'suan'tao'ci'zhi'pin
耐酸砖,nai'suan'zhuan
耐压,nai'ya
耐盐碱植物,nai'yan'jian'zhi'wu
耐油地面,nai'you'di'mian
奈字井,nai'zi'jing
南岸坝,nan'an'ba
南白镇,nan'bai'zhen
南博山,nan'bo'shan
南昌铁路局,nan'chang'tie'lu'ju
南城司,nan'cheng'si
南充东,nan'chong'dong
南充西,nan'chong'xi
南仇,nan'chou
南大庙,nan'da'miao
南店,nan'dian
南尔岗,nan'er'gang
南防,nan'fang
南防线,nan'fang'xian
南宫东,nan'gong'dong
南宫山,nan'gong'shan
南河川,nan'he'chuan
南疆线,nan'jiang'xian
南京长江二桥,nan'jing'chang'jiang'er'qiao
南京长江三桥,nan'jing'chang'jiang'san'qiao
南京长江四桥,nan'jing'chang'jiang'si'qiao
南京工程建设监理部,nan'jing'gong'cheng'jian'she'jian'li'bu
南京机场,nan'jing'ji'chang
南京机场高速公路,nan'jing'ji'chang'gao'su'gong'lu
南京机场路,nan'jing'ji'chang'lu
南京禄口,nan'jing'lu'kou
南京禄口机场,nan'jing'lu'kou'ji'chang
南京南,nan'jing'nan
南京市高指,nan'jing'shi'gao'zhi
南京四桥,nan'jing'si'qiao
南京新机场,nan'jing'xin'ji'chang
南京新机场高速公路,nan'jing'xin'ji'chang'gao'su'gong'lu
南口前,nan'kou'qian
南昆线,nan'kun'xian
南立面,nan'li'mian
南配楼,nan'pei'lou
南票线,nan'piao'xian
南平南,nan'ping'nan
南浦,nan'pu
南清扫员,nan'qing'sao'yuan
难燃材料,nan'ran'cai'liao
南山尾,nan'shan'wei
南塘镇,nan'tang'zhen
南洮南,nan'tao'nan
南同蒲线,nan'tong'pu'xian
南通市高指,nan'tong'shi'gao'zhi
男卫生间,nan'wei'sheng'jian
南乌线,nan'wu'xian
南溪沟,nan'xi'gou
南兴安,nan'xing'an
南阳东,nan'yang'dong
南阳东线,nan'yang'dong'xian
南阳西,nan'yang'xi
南阳西线,nan'yang'xi'xian
南友支线,nan'you'zhi'xian
南杂木,nan'za'mu
脑椽,nao'chuan
挠度,nao'du
挠度值,nao'du'zhi
挠曲,nao'qu
闹市区,nao'shi'qu
讷尔克气,ne'er'ke'qi
内表面换热系数,nei'biao'mian'huan're'xi'shu
内表面换热阻,nei'biao'mian'huan're'zu
内部隔断,nei'bu'ge'duan
内部通信系统,nei'bu'tong'xin'xi'tong
内槽柱,nei'cao'zhu
内侧车道,nei'ce'che'dao
内衬,nei'chen
内城,nei'cheng
内额,nei'e
内监,nei'jian
内江东,nei'jiang'dong
内江南,nei'jiang'nan
内角,nei'jiao
内角和,nei'jiao'he
内径,nei'jing
内开窗,nei'kai'chuang
内开门,nei'kai'men
内昆线,nei'kun'xian
内力,nei'li
内力重分布,nei'li'chong'fen'bu
内力重分配,nei'li'chong'fen'pei
内六线,nei'liu'xian
内螺纹,nei'luo'wen
内门,nei'men
内模,nei'mo
内摩擦角,nei'mo'ca'jiao
内摩阻力,nei'mo'zu'li
内排水,nei'pai'shui
内排水系统,nei'pai'shui'xi'tong
内墙,nei'qiang
内墙涂料,nei'qiang'tu'liao
内墙釉面砖,nei'qiang'you'mian'zhuan
内燃夯实机,nei'ran'hang'shi'ji
内燃机车,nei'ran'ji'che
内燃机车头,nei'ran'ji'che'tou
内审,nei'shen
内胎,nei'tai
内梯透镜,nei'ti'tou'jing
内烟道,nei'yan'dao
内檐装修,nei'yan'zhuang'xiu
内业,nei'ye
内业工作,nei'ye'gong'zuo
内业资料,nei'ye'zi'liao
内业资料整理,nei'ye'zi'liao'zheng'li
内柱,nei'zhu
内装修工程,nei'zhuang'xiu'gong'cheng
内阻尼,nei'zu'ni
能量损失,neng'liang'sun'shi
能源费用,neng'yuan'fei'yong
能源消耗,neng'yuan'xiao'hao
尼波,ni'bo
逆城市化,ni'cheng'shi'hua
泥道拱,ni'dao'gong
泥道栱,ni'dao'gong
逆电流,ni'dian'liu
泥河子,ni'he'zi
霓虹灯,ni'hong'deng
泥灰结碎石,ni'hui'jie'sui'shi
泥夹层,ni'jia'ceng
拟建,ni'jian
拟建项目,ni'jian'xiang'mu
泥浆,ni'jiang
泥浆泵,ni'jiang'beng
泥浆比重,ni'jiang'bi'zhong
泥浆池,ni'jiang'chi
泥浆护壁,ni'jiang'hu'bi
泥结碎石,ni'jie'sui'shi
泥结碎石路面,ni'jie'sui'shi'lu'mian
泥砾岩,ni'li'yan
逆流继电器,ni'liu'ji'dian'qi
逆流再生,ni'liu'zai'sheng
尼龙棒,ni'long'bang
尼龙管,ni'long'guan
尼日,ni'ri
呢绒绸缎店,ni'rong'chou'duan'dian
泥石流,ni'shi'liu
泥炭,ni'tan
泥炭压制播种饼,ni'tan'ya'zhi'bo'zhong'bing
泥炭质土,ni'tan'zhi'tu
逆向思维,ni'xiang'si'wei
泥岩,ni'yan
泥沼,ni'zhao
逆止阀,ni'zhi'fa
泥质岩,ni'zhi'yan
辇道,nian'dao
年第位最大小时交通量,nian'di'wei'zui'da'xiao'shi'jiao'tong'liang
粘度,nian'du
黏附性,nian'fu'xing
粘附性,nian'fu'xing
粘结,nian'jie
粘结层,nian'jie'ceng
粘结处理,nian'jie'chu'li
粘结强度,nian'jie'qiang'du
粘聚力,nian'ju'li
捻口,nian'kou
年龄结构,nian'ling'jie'gou
年平均日交通量,nian'ping'jun'ri'jiao'tong'liang
粘土,nian'tu
粘土瓦,nian'tu'wa
粘土质材料,nian'tu'zhi'cai'liao
粘土砖,nian'tu'zhuan
粘性土,nian'xing'tu
碾压,nian'ya
碾压遍数,nian'ya'bian'shu
碾压混凝土,nian'ya'hun'ning'tu
碾压混凝土路面,nian'ya'hun'ning'tu'lu'mian
碾压式水泥混凝土,nian'ya'shi'shui'ni'hun'ning'tu
碾压速度,nian'ya'su'du
鲇鱼山,nian'yu'shan
粘着铁路,nian'zhe'tie'lu
粘滞度,nian'zhi'du
粘质粉土,nian'zhi'fen'tu
粘质砂土,nian'zhi'sha'tu
粘质土,nian'zhi'tu
黏滞性,nian'zhi'xing
年最大小时交通量,nian'zui'da'xiao'shi'jiao'tong'liang
酿酒厂,niang'jiu'chang
鸟瞰透视图,niao'kan'tou'shi'tu
鸟瞰图,niao'kan'tu
鸟笼,niao'long
鸟舍,niao'she
鸟浴,niao'yu
镍铬,nie'ge
镍铬合金,nie'ge'he'jin
镍镉蓄电池,nie'ge'xu'dian'chi
聂河,nie'he
捏掌,nie'zhang
宁常,ning'chang
宁常高速,ning'chang'gao'su
宁常高速公路,ning'chang'gao'su'gong'lu
宁高,ning'gao
宁高高速,ning'gao'gao'su
宁高高速公路,ning'gao'gao'su'gong'lu
宁杭,ning'hang
宁杭高速,ning'hang'gao'su
宁杭高速公路,ning'hang'gao'su'gong'lu
凝灰石,ning'hui'shi
凝灰岩,ning'hui'yan
宁家,ning'jia
凝结时间,ning'jie'shi'jian
凝结水管,ning'jie'shui'guan
凝结水箱,ning'jie'shui'xiang
宁靖盐,ning'jing'yan
宁靖盐高速,ning'jing'yan'gao'su
宁靖盐高速公路,ning'jing'yan'gao'su'gong'lu
宁岢线,ning'ke'xian
宁马,ning'ma
宁马高速,ning'ma'gao'su
宁马高速公路,ning'ma'gao'su'gong'lu
宁启线林南线,ning'qi'xian'lin'nan'xian
凝思须臾,ning'si'xu'yu
宁宿,ning'su
宁为鸡头,ning'wei'ji'tou
宁西线西合段,ning'xi'xian'xi'he'duan
宁甬支线,ning'yong'zhi'xian
拧折,ning'zhe
牛耳河,niu'er'he
牛汾台,niu'fen'tai
牛家梁,niu'jia'liang
牛家营子,niu'jia'ying'zi
牛晶坪,niu'jing'ping
扭矩,niu'ju
牛坪子,niu'ping'zi
牛乳处理间,niu'ru'chu'li'jian
牛舍,niu'she
牛腿,niu'tui
牛驼,niu'tuo
扭歪轨道,niu'wai'gui'dao
牛心台,niu'xin'tai
扭转,niu'zhuan
农村公路,nong'cun'gong'lu
农村公路建设,nong'cun'gong'lu'jian'she
农机修理站,nong'ji'xiu'li'zhan
农机站,nong'ji'zhan
农具棚,nong'ju'peng
农贸市场,nong'mao'shi'chang
弄弄坪,nong'nong'ping
农舍,nong'she
浓缩大井,nong'suo'da'jing
农业服务中心,nong'ye'fu'wu'zhong'xin
农业生产建筑,nong'ye'sheng'chan'jian'zhu
浓荫树,nong'yin'shu
农乐,nong'yue
暖棚法,nuan'peng'fa
暖气管,nuan'qi'guan
暖气管沟,nuan'qi'guan'gou
暖气管盘,nuan'qi'guan'pan
暖气片,nuan'qi'pian
暖气设备,nuan'qi'she'bei
暖气系统,nuan'qi'xi'tong
暖气总管,nuan'qi'zong'guan
暖泉,nuan'quan
暖色,nuan'se
暖通工程师,nuan'tong'gong'cheng'shi
暖通设计,nuan'tong'she'ji
暖通专业,nuan'tong'zhuan'ye
疟疾,nue'ji
女儿河,nv'er'he
女儿墙,nv'er'qiang
女卫生间,nv'wei'sheng'jian
欧定福,ou'ding'fu
耦合电路,ou'he'dian'lu
欧里,ou'li
欧姆耦合变压器,ou'mu'ou'he'bian'ya'qi
偶偏,ou'pian
偶然荷载,ou'ran'he'zai
偶然偏心,ou'ran'pian'xin
偶然误差,ou'ran'wu'cha
偶然组合,ou'ran'zu'he
爬架,pa'jia
爬坡车道,pa'po'che'dao
爬坡能力,pa'po'neng'li
爬梯,pa'ti
排查,pai'cha
派出所,pai'chu'suo
排导沟,pai'dao'gou
排风扇,pai'feng'shan
排风竖井,pai'feng'shu'jing
排汗冷却效率,pai'han'leng'que'xiao'lv
徘徊北,pai'huai'bei
排计划,pai'ji'hua
排架,pai'jia
排架桩,pai'jia'zhuang
排架桩墩,pai'jia'zhuang'dun
排架桩基础,pai'jia'zhuang'ji'chu
排距,pai'ju
排练厅,pai'lian'ting
牌楼,pai'lou
牌楼门,pai'lou'men
排泥,pai'ni
排泥管,pai'ni'guan
排气,pai'qi
排砌法,pai'qi'fa
排气扇,pai'qi'shan
排球场,pai'qiu'chang
排砂孔,pai'sha'kong
排水,pai'shui
排水暗沟,pai'shui'an'gou
排水工程,pai'shui'gong'cheng
排水沟,pai'shui'gou
排水管,pai'shui'guan
排水管通球试验,pai'shui'guan'tong'qiu'shi'yan
排水孔,pai'shui'kong
排水口,pai'shui'kou
排水立管,pai'shui'li'guan
排水明沟,pai'shui'ming'gou
排水设施,pai'shui'she'shi
排水隧洞,pai'shui'sui'dong
排水条件,pai'shui'tiao'jian
排污设施,pai'wu'she'shi
排衙石,pai'ya'shi
排烟,pai'yan
排烟窗,pai'yan'chuang
排烟道,pai'yan'dao
排烟风机,pai'yan'feng'ji
排烟口,pai'yan'kou
排烟竖井,pai'yan'shu'jing
排烟系统,pai'yan'xi'tong
排烟罩,pai'yan'zhao
磐安镇,pan'an'zhen
盘关,pan'guan
盘脚营,pan'jiao'ying
盘锦北,pan'jin'bei
蟠龙镇,pan'long'zhen
盘条,pan'tiao
盘五线,pan'wu'xian
盘西线,pan'xi'xian
攀缘绿化,pan'yuan'lv'hua
攀缘植物,pan'yuan'zhi'wu
旁站,pang'zhan
旁站记录,pang'zhan'ji'lu
旁站监理,pang'zhan'jian'li
跑尺,pao'chi
跑道,pao'dao
跑点,pao'dian
炮孔,pao'kong
跑模,pao'mo
泡沫灭火器,pao'mo'mie'huo'qi
抛石,pao'shi
抛石护坡,pao'shi'hu'po
抛石挤淤,pao'shi'ji'yu
炮眼,pao'yan
抛掷爆破,pao'zhi'bao'po
配比,pei'bi
配碴整形机,pei'cha'zheng'xing'ji
裴德,pei'de
配电,pei'dian
配电变电站,pei'dian'bian'dian'zhan
配电变压器,pei'dian'bian'ya'qi
配电电缆,pei'dian'dian'lan
配电干线,pei'dian'gan'xian
配电盘,pei'dian'pan
配电室,pei'dian'shi
配电网,pei'dian'wang
配电系统,pei'dian'xi'tong
配电系统图,pei'dian'xi'tong'tu
配电线路,pei'dian'xian'lu
配电箱,pei'dian'xiang
配电站,pei'dian'zhan
配电中心,pei'dian'zhong'xin
配箍,pei'gu
配箍率,pei'gu'lv
配箍特征值,pei'gu'te'zheng'zhi
配合比,pei'he'bi
