阿奴是粒大真珠,a'nu'shi'li'da'zhen'zhu
求你爹爹认亲儿秦香莲选曲,qiu'ni'die'die'ren'qin'er'qin'xiang'lian'xuan'qu
秋容诉冤情告亲夫选段,qiu'rong'su'yuan'qing'gao'qin'fu'xuan'duan
秋水伊人,qiu'shui'yi'ren
秋水伊人王魁休妻,qiu'shui'yi'ren'wang'kui'xiu'qi
劝郎迁善,quan'lang'qian'shan
劝郎迁善莫造祸端选自告亲夫,quan'lang'qian'shan'mo'zao'huo'duan'xuan'zi'gao'qin'fu
让红日,rang'hong'ri
让红日永照古城头,rang'hong'ri'yong'zhao'gu'cheng'tou
绕室唤儿儿岂知磨房会选曲,rao'shi'huan'er'er'qi'zhi'mo'fang'hui'xuan'qu
认弟,ren'di
认弟汉文皇后选曲,ren'di'han'wen'huang'hou'xuan'qu
认弟篮继子,ren'di'lan'ji'zi
人逢喜事心花开,ren'feng'xi'shi'xin'hua'kai
人间天上大不同选自白蛇传,ren'jian'tian'shang'da'bu'tong'xuan'zi'bai'she'zhuan
认母,ren'mu
认母美人泪选曲,ren'mu'mei'ren'lei'xuan'qu
人生在世各有求,ren'sheng'zai'shi'ge'you'qiu
人生在世数十秋,ren'sheng'zai'shi'shu'shi'qiu
人生在世数十秋古琴案,ren'sheng'zai'shi'shu'shi'qiu'gu'qin'an
人生自古谁无死,ren'sheng'zi'gu'shui'wu'si
人无远虑必有近忧告亲人选曲,ren'wu'yuan'lv'bi'you'jin'you'gao'qin'ren'xuan'qu
人心叵测可明见斩韩信,ren'xin'po'ce'ke'ming'jian'zhan'han'xin
人正青春花正红,ren'zheng'qing'chun'hua'zheng'hong
人正青春花正红林初发,ren'zheng'qing'chun'hua'zheng'hong'lin'chu'fa
仁宗认母,ren'zong'ren'mu
日夜盼望要见爹爹面红灯记选曲,ri'ye'pan'wang'yao'jian'die'die'mian'hong'deng'ji'xuan'qu
日月同心虽死犹生,ri'yue'tong'xin'sui'si'you'sheng
日月同心虽死犹生选自双英会,ri'yue'tong'xin'sui'si'you'sheng'xuan'zi'shuang'ying'hui
融融春日葫芦庙刘小丽,rong'rong'chun'ri'hu'lu'miao'liu'xiao'li
溶溶春日照庭阶,rong'rong'chun'ri'zhao'ting'jie
容阮事端奏分明吴奕敏陈鸿飞,rong'ruan'shi'duan'zou'fen'ming'wu'yi'min'chen'hong'fei
柔情四似水暖心间,rou'qing'si'si'shui'nuan'xin'jian
如看见烈士赴刑场八一风暴,ru'kan'jian'lie'shi'fu'xing'chang'ba'yi'feng'bao
瑞蔼凝香界,rui'ai'ning'xiang'jie
瑞蔼迎香界,rui'ai'ying'xiang'jie
塞外思亲远,sai'wai'si'qin'yuan
塞外思亲远许云波,sai'wai'si'qin'yuan'xu'yun'bo
赛英陈情赵少卿选曲,sai'ying'chen'qing'zhao'shao'qing'xuan'qu
三称赞,san'cheng'zan
三称赞立体声,san'cheng'zan'li'ti'sheng
三称赞张春郎削发陈树典,san'cheng'zan'zhang'chun'lang'xue'fa'chen'shu'dian
三娘负屈未辨明芦林会林洁,san'niang'fu'qu'wei'bian'ming'lu'lin'hui'lin'jie
三潭印月人印心,san'tan'yin'yue'ren'yin'xin
三潭印月人印心选自皇帝与村姑,san'tan'yin'yue'ren'yin'xin'xuan'zi'huang'di'yu'cun'gu
三通鼓响升帅帐天播府陈葆玲,san'tong'gu'xiang'sheng'shuai'zhang'tian'bo'fu'chen'bao'ling
三通鼓响升帅帐天波府陈葆玲,san'tong'gu'xiang'sheng'shuai'zhang'tian'bo'fu'chen'bao'ling
三笑龙女太执迷八内闹海,san'xiao'long'nv'tai'zhi'mi'ba'nei'nao'hai
三柱清香祷上苍吴奕敏,san'zhu'qing'xiang'dao'shang'cang'wu'yi'min
三炷清香心一片赵氏孤儿郑映玉,san'zhu'qing'xiang'xin'yi'pian'zhao'shi'gu'er'zheng'ying'yu
山河破碎国事非,shan'he'po'sui'guo'shi'fei
山盟海誓今何在,shan'meng'hai'shi'jin'he'zai
山盟海誓今何在告亲夫选段,shan'meng'hai'shi'jin'he'zai'gao'qin'fu'xuan'duan
山盟虽在锦书难托钗头凤选曲,shan'meng'sui'zai'jin'shu'nan'tuo'chai'tou'feng'xuan'qu
山盟虽在锦书难托沈园绝唱选曲,shan'meng'sui'zai'jin'shu'nan'tuo'shen'yuan'jue'chang'xuan'qu
山寨订约文武香球陈俊苞蔡丽玲,shan'zhai'ding'yue'wen'wu'xiang'qiu'chen'jun'bao'cai'li'ling
社稷为重家事轻,she'ji'wei'zhong'jia'shi'qing
社稷为重家事轻终南魂,she'ji'wei'zhong'jia'shi'qing'zhong'nan'hun
身背货囊李老三方展荣,shen'bei'huo'nang'li'lao'san'fang'zhan'rong
神不安来心不宁,shen'bu'an'lai'xin'bu'ning
身居太师位高重黄盛典,shen'ju'tai'shi'wei'gao'zhong'huang'sheng'dian
神枪何日露锋芒,shen'qiang'he'ri'lu'feng'mang
深情一片出心田,shen'qing'yi'pian'chu'xin'tian
深山采药救众生火焰山,shen'shan'cai'yao'jiu'zhong'sheng'huo'yan'shan
身在北国思家邦,shen'zai'bei'guo'si'jia'bang
身在北国思家邦二度梅,shen'zai'bei'guo'si'jia'bang'er'du'mei
身在异乡,shen'zai'yi'xiang
升官发财在此时,sheng'guan'fa'cai'zai'ci'shi
升官发财在此时古琴案,sheng'guan'fa'cai'zai'ci'shi'gu'qin'an
圣驾亲临多垂爱张春郎削发,sheng'jia'qin'lin'duo'chui'ai'zhang'chun'lang'xue'fa
生离死别情难尽孝妇杀家姑选段,sheng'li'si'bie'qing'nan'jin'xiao'fu'sha'jia'gu'xuan'duan
圣母殿前诉冤情,sheng'mu'dian'qian'su'yuan'qing
圣母殿前诉冤情唱,sheng'mu'dian'qian'su'yuan'qing'chang
圣母殿前诉冤情选自告亲夫,sheng'mu'dian'qian'su'yuan'qing'xuan'zi'gao'qin'fu
声声血泪声声情,sheng'sheng'xue'lei'sheng'sheng'qing
声声血泪声声情莫愁女,sheng'sheng'xue'lei'sheng'sheng'qing'mo'chou'nv
誓把反动派一扫光,shi'ba'fan'dong'pai'yi'sao'guang
十八年往事涌眼前恭亲王登基,shi'ba'nian'wang'shi'yong'yan'qian'gong'qin'wang'deng'ji
十八相送,shi'ba'xiang'song
世道,shi'dao
事到临头肝胆碎,shi'dao'lin'tou'gan'dan'sui
事到临头肝胆碎林初发,shi'dao'lin'tou'gan'dan'sui'lin'chu'fa
世道女,shi'dao'nv
世道崎岖路多艰,shi'dao'qi'qu'lu'duo'jian
世道险恶人心诈汤丽娟,shi'dao'xian'e'ren'xin'zha'tang'li'juan
是非功罪信谁评旄剑行陈葆玲,shi'fei'gong'zui'xin'shui'ping'mao'jian'xing'chen'bao'ling
石花才是你亲娘金菊花选曲,shi'hua'cai'shi'ni'qin'niang'jin'ju'hua'xuan'qu
世间最贵是真情,shi'jian'zui'gui'shi'zhen'qing
十六年夫妻才团圆,shi'liu'nian'fu'qi'cai'tuan'yuan
十六年夫妻才团圆磨房会黄盛典,shi'liu'nian'fu'qi'cai'tuan'yuan'mo'fang'hui'huang'sheng'dian
十六年夫妻才团圆选自磨房会,shi'liu'nian'fu'qi'cai'tuan'yuan'xuan'zi'mo'fang'hui
十六年未见亲娘面,shi'liu'nian'wei'jian'qin'niang'mian
十年还是小县令,shi'nian'hai'shi'xiao'xian'ling
十年相思苦断肠,shi'nian'xiang'si'ku'duan'chang
十年相思苦断肠张怡凰,shi'nian'xiang'si'ku'duan'chang'zhang'yi'huang
十娘泣诉,shi'niang'qi'su
十娘泣诉唱,shi'niang'qi'su'chang
誓同生死不分开,shi'tong'sheng'si'bu'fen'kai
石头啊石头,shi'tou'a'shi'tou
石头啊石头林初发,shi'tou'a'shi'tou'lin'chu'fa
石头啊石头艳阳天,shi'tou'a'shi'tou'yan'yang'tian
士为知已死也甘梅亭雪选曲,shi'wei'zhi'yi'si'ye'gan'mei'ting'xue'xuan'qu
寿比南山长万年,shou'bi'nan'shan'chang'wan'nian
寿比南山长万年扛石,shou'bi'nan'shan'chang'wan'nian'kang'shi
寿比南山长万年扛石陈鸿飞,shou'bi'nan'shan'chang'wan'nian'kang'shi'chen'hong'fei
手抚大旗情难抑小刀会,shou'fu'da'qi'qing'nan'yi'xiao'dao'hui
手抚琵琶表深情,shou'fu'pi'pa'biao'shen'qing
收服眼前少年心,shou'fu'yan'qian'shao'nian'xin
手拿碟儿敲起来洪湖赤卫队吴杭,shou'na'die'er'qiao'qi'lai'hong'hu'chi'wei'dui'wu'hang
手提彩笔心头焦孟丽君,shou'ti'cai'bi'xin'tou'jiao'meng'li'jun
束发金冠飘凤尾,shu'fa'jin'guan'piao'feng'wei
恕我无力解倒悬,shu'wo'wu'li'jie'dao'xuan
书中情意深,shu'zhong'qing'yi'shen
双娇倩影映胸间张春郎削发,shuang'jiao'qian'ying'ying'xiong'jian'zhang'chun'lang'xue'fa
双手连新抚平台烟霞山遗恨,shuang'shou'lian'xin'fu'ping'tai'yan'xia'shan'yi'hen
双双下拜结良缘,shuang'shuang'xia'bai'jie'liang'yuan
霜压垂鬓泪盈腮,shuang'ya'chui'bin'lei'ying'sai
霜压垂鬓泪盈腮选自磨房会,shuang'ya'chui'bin'lei'ying'sai'xuan'zi'mo'fang'hui
谁还西施重和庄,shui'hai'xi'shi'zhong'he'zhuang
谁能帮我报仇枉常青指路,shui'neng'bang'wo'bao'chou'wang'chang'qing'zhi'lu
谁能替我报仇冤常青指路选曲,shui'neng'ti'wo'bao'chou'yuan'chang'qing'zhi'lu'xuan'qu
谁人手描俺爹娘认像林初发唱,shui'ren'shou'miao'an'die'niang'ren'xiang'lin'chu'fa'chang
说不爱慕偏思量南唐遗事,shuo'bu'ai'mu'pian'si'liang'nan'tang'yi'shi
说什么受恩不报非英豪,shuo'shen'me'shou'en'bu'bao'fei'ying'hao
说什么受恩不报非英豪乌面,shuo'shen'me'shou'en'bu'bao'fei'ying'hao'wu'mian
思钗,si'chai
思春,si'chun
思弟弟,si'di'di
思凡,si'fan
思夫烽火戏诸候谭小凤,si'fu'feng'huo'xi'zhu'hou'tan'xiao'feng
思佳人,si'jia'ren
四郎别妻四郎探母选曲,si'lang'bie'qi'si'lang'tan'mu'xuan'qu
四郎会妻四郎探母选曲,si'lang'hui'qi'si'lang'tan'mu'xuan'qu
四郎述情四郎探母,si'lang'shu'qing'si'lang'tan'mu
四郎思归四郎探母,si'lang'si'gui'si'lang'tan'mu
四郎探母,si'lang'tan'mu
四郎探母四郎探母选曲,si'lang'tan'mu'si'lang'tan'mu'xuan'qu
四郎自叹四郎探母选曲,si'lang'zi'tan'si'lang'tan'mu'xuan'qu
死里重生你岂知端芦林会曲,si'li'chong'sheng'ni'qi'zhi'duan'lu'lin'hui'qu
丝路花雨,si'lu'hua'yu
丝路花雨郑莎,si'lu'hua'yu'zheng'sha
思念屠炉界牌关,si'nian'tu'lu'jie'pai'guan
思念屠炉界牌关许淑娥,si'nian'tu'lu'jie'pai'guan'xu'shu'e
思亲愁绪乱纷纷,si'qin'chou'xu'luan'fen'fen
思亲娘,si'qin'niang
思仙女,si'xian'nv
松涛松涛我的亲人,song'tao'song'tao'wo'de'qin'ren
松涛松涛我的亲人选自江姐,song'tao'song'tao'wo'de'qin'ren'xuan'zi'jiang'jie
松涛我的亲人江姐曲,song'tao'wo'de'qin'ren'jiang'jie'qu
苏戍娟自叹十五贯选曲,su'shu'juan'zi'tan'shi'wu'guan'xuan'qu
诉冤孝妇杀家姑选段,su'yuan'xiao'fu'sha'jia'gu'xuan'duan
诉衷情,su'zhong'qing
锁住春山颜无色,suo'zhu'chun'shan'yan'wu'se
探监,tan'jian
弹琴歌唱英雄事,tan'qin'ge'chang'ying'xiong'shi
叹岁月易老,tan'sui'yue'yi'lao
堂前敞心扉,tang'qian'chang'xin'fei
堂前敞心扉红鬃烈马郑健英,tang'qian'chang'xin'fei'hong'zong'lie'ma'zheng'jian'ying
堂前敞心扉张怡凰,tang'qian'chang'xin'fei'zhang'yi'huang
堂堂正正来做人,tang'tang'zheng'zheng'lai'zuo'ren
堂堂正正来做人选自怒沉百宝箱,tang'tang'zheng'zheng'lai'zuo'ren'xuan'zi'nu'chen'bai'bao'xiang
逃出樊笼消此灾,tao'chu'fan'long'xiao'ci'zai
逃出樊笼消此灾拉郎配选曲,tao'chu'fan'long'xiao'ci'zai'la'lang'pei'xuan'qu
逃出樊笼消此灾刘莹珊蔡钊,tao'chu'fan'long'xiao'ci'zai'liu'ying'shan'cai'zhao
桃花过渡折子戏,tao'hua'guo'du'zhe'zi'xi
桃花依旧笑春风宝莲灯,tao'hua'yi'jiu'xiao'chun'feng'bao'lian'deng
桃花怎能比你美,tao'hua'zen'neng'bi'ni'mei
腾云驾雾离天庭,teng'yun'jia'wu'li'tian'ting
提起冤情悲不胜梅亭雪曲,ti'qi'yuan'qing'bei'bu'sheng'mei'ting'xue'qu
天京求援叙别情有男声,tian'jing'qiu'yuan'xu'bie'qing'you'nan'sheng
天理良心又何在三进亲王宫谢蓉,tian'li'liang'xin'you'he'zai'san'jin'qin'wang'gong'xie'rong
天女散花天女散花,tian'nv'san'hua'tian'nv'san'hua
天上人间乐升平,tian'shang'ren'jian'le'sheng'ping
天上人间乐升平嫦娥奔月孙晓燕,tian'shang'ren'jian'le'sheng'ping'chang'e'ben'yue'sun'xiao'yan
天生我才须尽用葫芦庙林初发,tian'sheng'wo'cai'xu'jin'yong'hu'lu'miao'lin'chu'fa
天眼何时开谢瑶环选曲,tian'yan'he'shi'kai'xie'yao'huan'xuan'qu
铁窗滋味苦初尝德政碑,tie'chuang'zi'wei'ku'chu'chang'de'zheng'bei
铁面县令,tie'mian'xian'ling
听罢祖母说红灯,ting'ba'zu'mu'shuo'hong'deng
听罢祖母说红灯伴奏,ting'ba'zu'mu'shuo'hong'deng'ban'zou
听罢祖母说红灯红灯记曲,ting'ba'zu'mu'shuo'hong'deng'hong'deng'ji'qu
听罢祖母说红灯选自红灯记,ting'ba'zu'mu'shuo'hong'deng'xuan'zi'hong'deng'ji
听惊涛抒豪情龙江颂,ting'jing'tao'shu'hao'qing'long'jiang'song
挺身迎风暴江姐选段,ting'shen'ying'feng'bao'jiang'jie'xuan'duan
听言来冷彻心肌,ting'yan'lai'leng'che'xin'ji
听言来冷彻心肌张怡凰,ting'yan'lai'leng'che'xin'ji'zhang'yi'huang
听言来痛彻心肌嫦娥奔月选曲,ting'yan'lai'tong'che'xin'ji'chang'e'ben'yue'xuan'qu
同把山河放眼量蝶恋花,tong'ba'shan'he'fang'yan'liang'die'lian'hua
痛别,tong'bie
痛别行刑孝妇杀家姑选段,tong'bie'xing'xing'xiao'fu'sha'jia'gu'xuan'duan
同唱牧歌永相依,tong'chang'mu'ge'yong'xiang'yi
痛极不知痛楚宫风云林燕云,tong'ji'bu'zhi'tong'chu'gong'feng'yun'lin'yan'yun
痛切如怀加台词,tong'qie'ru'huai'jia'tai'ci
同携手回长安苏武牧羊陈水木,tong'xie'shou'hui'chang'an'su'wu'mu'yang'chen'shui'mu
同携手回长安苏武牧羊陈裕,tong'xie'shou'hui'chang'an'su'wu'mu'yang'chen'yu
统雄兵出西川,tong'xiong'bing'chu'xi'chuan
同叙天伦乐无边,tong'xu'tian'lun'le'wu'bian
同一个星空下,tong'yi'ge'xing'kong'xia
投江苏六娘选曲,tou'jiang'su'liu'niang'xuan'qu
头上乌纱重于情,tou'shang'wu'sha'zhong'yu'qing
头上乌纱重于情梅亭雪选段,tou'shang'wu'sha'zhong'yu'qing'mei'ting'xue'xuan'duan
投身江水表素心,tou'shen'jiang'shui'biao'su'xin
投身江水表素心选自双金锭,tou'shen'jiang'shui'biao'su'xin'xuan'zi'shuang'jin'ding
屠炉招亲屠炉招亲,tu'lu'zhao'qin'tu'lu'zhao'qin
托孤图景寄隐情,tuo'gu'tu'jing'ji'yin'qing
托媒选媚龙井渡头选场,tuo'mei'xuan'mei'long'jing'du'tou'xuan'chang
托媒选婿楚曼晓燕彩煌佳佳曼婷,tuo'mei'xuan'xu'chu'man'xiao'yan'cai'huang'jia'jia'man'ting
万般心事寄义旗,wan'ban'xin'shi'ji'yi'qi
万般滋味涌心头,wan'ban'zi'wei'yong'xin'tou
万丈怒火燃胸膛秦香莲选曲,wan'zhang'nu'huo'ran'xiong'tang'qin'xiang'lian'xuan'qu
王阿义思仙女掷娇媚选段方展荣,wang'a'yi'si'xian'nv'zhi'jiao'mei'xuan'duan'fang'zhan'rong
望北京更使我力量倍增龙江颂,wang'bei'jing'geng'shi'wo'li'liang'bei'zeng'long'jiang'song
望北京更使我增添力量,wang'bei'jing'geng'shi'wo'zeng'tian'li'liang
王二姐思夫潮州方言歌曲选曲,wang'er'jie'si'fu'chao'zhou'fang'yan'ge'qu'xuan'qu
望皇儿宽宏释怨天子奇缘刘小丽,wang'huang'er'kuan'hong'shi'yuan'tian'zi'qi'yuan'liu'xiao'li
王金龙命中不幸唱,wang'jin'long'ming'zhong'bu'xing'chang
王金龙命中不幸林勇悦,wang'jin'long'ming'zhong'bu'xing'lin'yong'yue
王金龙命中不幸王金龙许惠珊,wang'jin'long'ming'zhong'bu'xing'wang'jin'long'xu'hui'shan
王金龙命中不幸玉堂春选曲,wang'jin'long'ming'zhong'bu'xing'yu'tang'chun'xuan'qu
王老虎见色迷心王,wang'lao'hu'jian'se'mi'xin'wang
往事历历现眼前,wang'shi'li'li'xian'yan'qian
往事如烟不可追,wang'shi'ru'yan'bu'ke'zhui
往事如烟不可追钗头凤许佳娜,wang'shi'ru'yan'bu'ke'zhui'chai'tou'feng'xu'jia'na
往事如烟不可追沈园绝唱许佳娜,wang'shi'ru'yan'bu'ke'zhui'shen'yuan'jue'chang'xu'jia'na
王师一举扫狼烟羚羊锁林丽华,wang'shi'yi'ju'sao'lang'yan'ling'yang'suo'lin'li'hua
为大业权抑女儿娇齐女情选段,wei'da'ye'quan'yi'nv'er'jiao'qi'nv'qing'xuan'duan
未度其德审其心晨钟惊梦林洁,wei'du'qi'de'shen'qi'xin'chen'zhong'jing'meng'lin'jie
巍峨瓦岗边霄汉,wei'e'wa'gang'bian'xiao'han
巍峨瓦岗连宵汉,wei'e'wa'gang'lian'xiao'han
未见征人入梦来选自磨房会,wei'jian'zheng'ren'ru'meng'lai'xuan'zi'mo'fang'hui
危难中想念亲人,wei'nan'zhong'xiang'nian'qin'ren
为人类求解放奋斗终身,wei'ren'lei'qiu'jie'fang'fen'dou'zhong'shen
为人类求解放奋斗终身唱,wei'ren'lei'qiu'jie'fang'fen'dou'zhong'shen'chang
为人莫忘本,wei'ren'mo'wang'ben
为人莫忘本王茂生进酒,wei'ren'mo'wang'ben'wang'mao'sheng'jin'jiu
为什么不能共享太平,wei'shen'me'bu'neng'gong'xiang'tai'ping
为什么不能共享太平西施越北,wei'shen'me'bu'neng'gong'xiang'tai'ping'xi'shi'yue'bei
为什么不能同享太平,wei'shen'me'bu'neng'tong'xiang'tai'ping
为相士自陶情,wei'xiang'shi'zi'tao'qing
未知相会在何时重台别,wei'zhi'xiang'hui'zai'he'shi'zhong'tai'bie
问父,wen'fu
问父岳银瓶选曲,wen'fu'yue'yin'ping'xuan'qu
问母柳明月选段,wen'mu'liu'ming'yue'xuan'duan
问圣僧唱,wen'sheng'seng'chang
问圣僧盘丝洞选段,wen'sheng'seng'pan'si'dong'xuan'duan
文武香球二重唱,wen'wu'xiang'qiu'er'chong'chang
问灶神对唱,wen'zao'shen'dui'chang
我本峨眉一蛇女,wo'ben'e'mei'yi'she'nv
我郎心中有奇才,wo'lang'xin'zhong'you'qi'cai
我郎胸中有奇才金花女,wo'lang'xiong'zhong'you'qi'cai'jin'hua'nv
我为衣食弄唇舌刺梁冀,wo'wei'yi'shi'nong'chun'she'ci'liang'ji
我无憾,wo'wu'han
吴汉杀妻心意乱,wu'han'sha'qi'xin'yi'luan
无力护花倍蒙羞,wu'li'hu'hua'bei'meng'xiu
无力护花倍蒙羞西施归越,wu'li'hu'hua'bei'meng'xiu'xi'shi'gui'yue
无情棒打醒我一忱黄梁,wu'qing'bang'da'xing'wo'yi'chen'huang'liang
雾散烟消永不归香壶案,wu'san'yan'xiao'yong'bu'gui'xiang'hu'an
无神神医,wu'shen'shen'yi
武松杀嫂,wu'song'sha'sao
武松杀嫂武松杀嫂邱秀茹,wu'song'sha'sao'wu'song'sha'sao'qiu'xiu'ru
无天无日度风岁月秦香莲选曲,wu'tian'wu'ri'du'feng'sui'yue'qin'xiang'lian'xuan'qu
误我青春,wu'wo'qing'chun
误我青春扫窗会选段,wu'wo'qing'chun'sao'chuang'hui'xuan'duan
五月节龙船,wu'yue'jie'long'chuan
武则天自叹,wu'ze'tian'zi'tan
伍子胥叹关楚宫风云李四海唱,wu'zi'xu'tan'guan'chu'gong'feng'yun'li'si'hai'chang
喜报不喜,xi'bao'bu'xi
戏剧人生,xi'ju'ren'sheng
洗马桥洗马桥王锐光,xi'ma'qiao'xi'ma'qiao'wang'rui'guang
昔年威风今又在,xi'nian'wei'feng'jin'you'zai
喜气洋洋迎新娘,xi'qi'yang'yang'ying'xin'niang
瞎了双眼看错人晨钟惊梦选曲,xia'le'shuang'yan'kan'cuo'ren'chen'zhong'jing'meng'xuan'qu
仙凡情,xian'fan'qing
仙凡情愫了结难,xian'fan'qing'su'liao'jie'nan
仙歌,xian'ge
陷冤狱悲愤难平十五贯林勇悦,xian'yuan'yu'bei'fen'nan'ping'shi'wu'guan'lin'yong'yue
陷冤狱悲愤难平十五习惯选曲,xian'yuan'yu'bei'fen'nan'ping'shi'wu'xi'guan'xuan'qu
相伴永同心,xiang'ban'yong'tong'xin
相伴永同心林初发,xiang'ban'yong'tong'xin'lin'chu'fa
相抱对泣情意专梅亭雪许笑娜,xiang'bao'dui'qi'qing'yi'zhuan'mei'ting'xue'xu'xiao'na
想不想我,xiang'bu'xiang'wo
想当年,xiang'dang'nian
想当年四郎探母,xiang'dang'nian'si'lang'tan'mu
想当年四郎探母选段,xiang'dang'nian'si'lang'tan'mu'xuan'duan
想当年许,xiang'dang'nian'xu
想当年选自回书,xiang'dang'nian'xuan'zi'hui'shu
相逢莫非在梦中磨房会,xiang'feng'mo'fei'zai'meng'zhong'mo'fang'hui
相逢莫非在梦中磨房会小梅花,xiang'feng'mo'fei'zai'meng'zhong'mo'fang'hui'xiao'mei'hua
相逢时节却无言选自磨房会,xiang'feng'shi'jie'que'wu'yan'xuan'zi'mo'fang'hui
相逢喜泪未曾收包公侧侄,xiang'feng'xi'lei'wei'ceng'shou'bao'gong'ce'zhi
相逢尤觉初相识林初发,xiang'feng'you'jue'chu'xiang'shi'lin'chu'fa
相见难别亦难,xiang'jian'nan'bie'yi'nan
香罗恨,xiang'luo'hen
相思两茫然美人泪选曲,xiang'si'liang'mang'ran'mei'ren'lei'xuan'qu
想昔年,xiang'xi'nian
小镜清清小镜明,xiao'jing'qing'qing'xiao'jing'ming
小镜清清小镜明小刀会,xiao'jing'qing'qing'xiao'jing'ming'xiao'dao'hui
效那金山古松志坚贞,xiao'na'jin'shan'gu'song'zhi'jian'zhen
晓日和风城外行汤丽娟,xiao'ri'he'feng'cheng'wai'hang'tang'li'juan
小土哥,xiao'tu'ge
小土哥潮剧词库,xiao'tu'ge'chao'ju'ci'ku
潇湘夜遇,xiao'xiang'ye'yu
潇湘夜遇潇湘秋雨选曲,xiao'xiang'ye'yu'xiao'xiang'qiu'yu'xuan'qu
信步长安且偷安,xin'bu'chang'an'qie'tou'an
心不留郎也留郎,xin'bu'liu'lang'ye'liu'lang
心不留郎也留郎金花女,xin'bu'liu'lang'ye'liu'lang'jin'hua'nv
心长力拙难为安选自芦林会,xin'chang'li'zhuo'nan'wei'an'xuan'zi'lu'lin'hui
心潮逐浪翻,xin'chao'zhu'lang'fan
心潮逐浪翻又名看长江,xin'chao'zhu'lang'fan'you'ming'kan'chang'jiang
心怀事到来终须言明回书,xin'huai'shi'dao'lai'zhong'xu'yan'ming'hui'shu
心怀事到头来终须言明选自回书,xin'huai'shi'dao'tou'lai'zhong'xu'yan'ming'xuan'zi'hui'shu
心慌意乱泪零零选自吴汉杀妻,xin'huang'yi'luan'lei'ling'ling'xuan'zi'wu'han'sha'qi
心惊肉跳大烦恼桂枝诉状,xin'jing'rou'tiao'da'fan'nao'gui'zhi'su'zhuang
新柳诗,xin'liu'shi
心脉脉长盼待告夫人选曲,xin'mo'mo'chang'pan'dai'gao'fu'ren'xuan'qu
心如刀割,xin'ru'dao'ge
心似燕子欲飞翔,xin'si'yan'zi'yu'fei'xiang
心随弦歌出宫廷美人泪选曲,xin'sui'xian'ge'chu'gong'ting'mei'ren'lei'xuan'qu
心头有佛可参郸济公惩干,xin'tou'you'fo'ke'can'dan'ji'gong'cheng'gan
心悬鸳侣南唐遗事,xin'xuan'yuan'lv'nan'tang'yi'shi
心中不安宁,xin'zhong'bu'an'ning
星火燎原天地明,xing'huo'liao'yuan'tian'di'ming
星火燎原天地明蝶恋花黄静华,xing'huo'liao'yuan'tian'di'ming'die'lian'hua'huang'jing'hua
兄弟会,xiong'di'hui
兄妹同心打草绳,xiong'mei'tong'xin'da'cao'sheng
雄心壮志冲云天红灯记,xiong'xin'zhuang'zhi'chong'yun'tian'hong'deng'ji
兄长见责我担承赵少卿选曲,xiong'zhang'jian'ze'wo'dan'cheng'zhao'shao'qing'xuan'qu
绣好红旗迎朝阳八一风暴,xiu'hao'hong'qi'ying'zhao'yang'ba'yi'feng'bao
绣红旗,xiu'hong'qi
绣红旗立体伴奏,xiu'hong'qi'li'ti'ban'zou
绣红星,xiu'hong'xing
绣红星蝶恋花,xiu'hong'xing'die'lian'hua
须念为父是相宰三击掌黄盛典,xu'nian'wei'fu'shi'xiang'zai'san'ji'zhang'huang'sheng'dian
血的教训,xue'de'jiao'xun
血的教训杜鹃山,xue'de'jiao'xun'du'juan'shan
薛丁山哭灵唱,xue'ding'shan'ku'ling'chang
雪花飘飘,xue'hua'piao'piao
雪里素梅含幽芳王金龙勇悦丽璇,xue'li'su'mei'han'you'fang'wang'jin'long'yong'yue'li'xuan
薛仁贵陈情薛仁贵回窑选曲,xue'ren'gui'chen'qing'xue'ren'gui'hui'yao'xuan'qu
血书一副诉苦冤井边会,xue'shu'yi'fu'su'ku'yuan'jing'bian'hui
血写冤状告苍穹选自告亲夫,xue'xie'yuan'zhuang'gao'cang'qiong'xuan'zi'gao'qin'fu
血债要用血来还八一风暴选曲,xue'zhai'yao'yong'xue'lai'huan'ba'yi'feng'bao'xuan'qu
寻死不得生无颜美人泪选曲,xun'si'bu'de'sheng'wu'yan'mei'ren'lei'xuan'qu
询冤孝妇杀家姑选段,xun'yuan'xiao'fu'sha'jia'gu'xuan'duan
哑女诉冤李玉兰,ya'nv'su'yuan'li'yu'lan
亚仙陈情,ya'xian'chen'qing
亚仙陈情绣襦记选曲,ya'xian'chen'qing'xiu'ru'ji'xuan'qu
亚仙陈情烟花女与状元郎,ya'xian'chen'qing'yan'hua'nv'yu'zhuang'yuan'lang
眼悬国门看来日谢瑶环,yan'xuan'guo'men'kan'lai'ri'xie'yao'huan
艳遇赵少卿选场,yan'yu'zhao'shao'qing'xuan'chang
眼中娘子是观音马娘娘,yan'zhong'niang'zi'shi'guan'yin'ma'niang'niang
扬鞭策马,yang'bian'ce'ma
扬鞭策马杨四郎,yang'bian'ce'ma'yang'si'lang
阳春匡骗二娘陈俊苞,yang'chun'kuang'pian'er'niang'chen'jun'bao
阳春三月花正明,yang'chun'san'yue'hua'zheng'ming
杨令婆辩本,yang'ling'po'bian'ben
杨令婆坼君,yang'ling'po'che'jun
杨令婆斥君,yang'ling'po'chi'jun
杨令婆斥君陈鸿飞,yang'ling'po'chi'jun'chen'hong'fei
