阿斯莫,a'si'mo
凶暴野猪,xiong'bao'ye'zhu
凶暴鼬,xiong'bao'you
凶暴猿,xiong'bao'yuan
熊地精,xiong'di'jing
胸甲,xiong'jia
修复术,xiu'fu'shu
锈蚀怪,xiu'shi'guai
锈蚀爪,xiu'shi'zhao
虚假幻觉,xu'jia'huan'jue
需受训,xu'shou'xun
须受训,xu'shou'xun
虚体,xu'ti
虚体生物,xu'ti'sheng'wu
虚招,xu'zhao
悬摆利斧,xuan'bai'li'fu
旋风攻击,xuan'feng'gong'ji
旋风术,xuan'feng'shu
血根草,xue'gen'cao
穴居攫怪,xue'ju'jue'guai
学派专精,xue'pai'zhuan'jing
削弱攻击,xue'ruo'gong'ji
学识,xue'shi
血石髓,xue'shi'sui
血系,xue'xi
雪雨暴,xue'yu'bao
蕈类生物,xun'lei'sheng'wu
巡林客,xun'lin'ke
巡守纳迦,xun'shou'na'jia
驯养动物,xun'yang'dong'wu
寻找捷径,xun'zhao'jie'jing
寻找陷阱,xun'zhao'xian'jing
亚空,ya'kong
亚空神族,ya'kong'shen'zu
压制,ya'zhi
掩蔽,yan'bi
眼波射线,yan'bo'she'xian
延迟爆裂火球,yan'chi'bao'lie'huo'qiu
岩钉,yan'ding
严寒环境,yan'han'huan'jing
烟火术,yan'huo'shu
焰击术,yan'ji'shu
岩浆魔蝠,yan'jiang'mo'fu
眼魔,yan'mo
盐魔蝠,yan'mo'fu
炎蛇蜥,yan'she'xi
衍体,yan'ti
仰角,yang'jiao
羊首,yang'shou
羊首狮身,yang'shou'shi'shen
阳炎爆,yang'yan'bao
阳炎射线,yang'yan'she'xian
妖鬼,yao'gui
妖鬼婆,yao'gui'po
要害攻击,yao'hai'gong'ji
妖火,yao'huo
野精灵,ye'jing'ling
野蛮人,ye'man'ren
野蛮人狂暴,ye'man'ren'kuang'bao
野魔法,ye'mo'fa
野牛,ye'niu
夜嘶猎犬,ye'si'lie'quan
野外求生,ye'wai'qiu'sheng
野性变身,ye'xing'bian'shen
野性认同,ye'xing'ren'tong
夜影,ye'ying
野猪,ye'zhu
疫病虫群,yi'bing'chong'qun
疫病术,yi'bing'shu
移除耳聋,yi'chu'er'long
移除疾病,yi'chu'ji'bing
移除恐惧,yi'chu'kong'ju
移除麻痹,yi'chu'ma'bi
移除目盲,yi'chu'mu'mang
移除诅咒,yi'chu'zu'zhou
移动,yi'dong
移动等效动作,yi'dong'deng'xiao'dong'zuo
移动防御,yi'dong'fang'yu
移动减值,yi'dong'jian'zhi
移动射击,yi'dong'she'ji
异怪,yi'guai
异怪类,yi'guai'lei
蚁后,yi'hou
翼击,yi'ji
异界部属,yi'jie'bu'shu
异界传送,yi'jie'chuan'song
异界神侍,yi'jie'shen'shi
异界生物,yi'jie'sheng'wu
异界誓缚,yi'jie'shi'fu
异界誓盟,yi'jie'shi'meng
异界探知,yi'jie'tan'zhi
异界之门,yi'jie'zhi'men
医疗,yi'liao
医疗法阵,yi'liao'fa'zhen
医疗领域,yi'liao'ling'yu
医疗术,yi'liao'shu
医疗坐骑,yi'liao'zuo'ji
翼龙,yi'long
翼龙毒,yi'long'du
一轮,yi'lun
易容,yi'rong
翼蛇人,yi'she'ren
翼狮,yi'shi
以太位面,yi'tai'wei'mian
伊特怪,yi'te'guai
遗体防腐,yi'ti'fang'fu
蚁卫,yi'wei
移位兽,yi'wei'shou
移位术,yi'wei'shu
逸闻知识,yi'wen'zhi'shi
已知法术,yi'zhi'fa'shu
意志检定,yi'zhi'jian'ding
异种鞍座,yi'zhong'an'zuo
异种武器,yi'zhong'wu'qi
衣着,yi'zhuo
隐蔽,yin'bi
音波攻击,yin'bo'gong'ji
吟唱,yin'chang
吟唱歌曲,yin'chang'ge'qu
阴魂咒法术,yin'hun'zhou'fa'shu
银龙,yin'long
音鸣爆,yin'ming'bao
隐匿阵营,yin'ni'zhen'ying
银梳,yin'shu
隐雾术,yin'wu'shu
隐形,yin'xing
隐形法球,yin'xing'fa'qiu
隐形仆役,yin'xing'pu'yi
隐形潜伏怪,yin'xing'qian'fu'guai
阴影跳跃,yin'ying'tiao'yue
阴影位面,yin'ying'wei'mian
吟游诗人,yin'you'shi'ren
英尺移动,ying'chi'yi'dong
硬度,ying'du
鹦哥兽,ying'ge'shou
鹰首,ying'shou
硬头锤,ying'tou'chui
影位面,ying'wei'mian
影舞者,ying'wu'zhe
英雄宴,ying'xiong'yan
鹰眼术,ying'yan'shu
永恒幻影,yong'heng'huan'ying
永恒静滞,yong'heng'jing'zhi
勇气灵光,yong'qi'ling'guang
勇气圣光,yong'qi'sheng'guang
永燃火把,yong'ran'huo'ba
勇者之神,yong'zhe'zhi'shen
悠达拉,you'da'la
莜达拉,you'da'la
游荡者,you'dang'zhe
游荡者之神,you'dang'zhe'zhi'shen
幽魂纳迦,you'hun'na'jia
幽灵龙,you'ling'long
幽灵手,you'ling'shou
油腻术,you'ni'shu
有限祈愿术,you'xian'qi'yuan'shu
优雅闪避,you'ya'shan'bi
幽影,you'ying
幽影獒犬,you'ying'ao'quan
幽影幻觉,you'ying'huan'jue
幽影塑能术,you'ying'su'neng'shu
幽影咒法术,you'ying'zhou'fa'shu
游泳,you'yong
御风而行,yu'feng'er'xing
预警术,yu'jing'shu
羽落术,yu'luo'shu
欲魔,yu'mo
鱼魔怪,yu'mo'guai
鱼人,yu'ren
瘀伤,yu'shang
羽蛇,yu'she
寓守,yu'shou
寓守于攻,yu'shou'yu'gong
玉髓,yu'sui
语言,yu'yan
预言术,yu'yan'shu
预言系,yu'yan'xi
预置幻影,yu'zhi'huan'ying
原变体,yuan'bian'ti
远程攻击,yuan'cheng'gong'ji
远程攻击检定,yuan'cheng'gong'ji'jian'ding
远程接触攻击,yuan'cheng'jie'chu'gong'ji
远程射击,yuan'cheng'she'ji
远程手法,yuan'cheng'shou'fa
远程武器,yuan'cheng'wu'qi
怨魂,yuan'hun
源起点,yuan'qi'dian
原蛇蜥,yuan'she'xi
元素集群,yuan'su'ji'qun
元素生物,yuan'su'sheng'wu
元素掌控,yuan'su'zhang'kong
原质苔,yuan'zhi'tai
援助术,yuan'zhu'shu
月长石,yue'chang'shi
阅读魔法,yue'du'mo'fa
云巨人,yun'ju'ren
云雾术,yun'wu'shu
晕眩,yun'xuan
晕眩术,yun'xuan'shu
杂技冲锋,za'ji'chong'feng
杂色珍珠,za'se'zhen'zhu
杂项修正,za'xiang'xiu'zheng
再生术,zai'sheng'shu
暂时生命值,zan'shi'sheng'ming'zhi
造成轻伤,zao'cheng'qing'shang
造成伤害,zao'cheng'shang'hai
造成伤害法术,zao'cheng'shang'hai'fa'shu
造成微伤,zao'cheng'wei'shang
造成致命伤,zao'cheng'zhi'ming'shang
造成中度伤,zao'cheng'zhong'du'shang
造成重伤,zao'cheng'zhong'shang
造风术,zao'feng'shu
造粮术,zao'liang'shu
凿切,zao'qie
凿切石墙,zao'qie'shi'qiang
造水术,zao'shui'shu
遭遇等级,zao'yu'deng'ji
增强加值,zeng'qiang'jia'zhi
战斗反射,zhan'dou'fan'she
战斗流派,zhan'dou'liu'pai
战斗流派纯熟,zhan'dou'liu'pai'chun'shu
战斗施法,zhan'dou'shi'fa
战栗,zhan'li
颤栗,zhan'li
战士,zhan'shi
战术移动,zhan'shu'yi'dong
战蜥人,zhan'xi'ren
战争领域,zhan'zheng'ling'yu
障幕,zhang'mu
召唤,zhao'huan
召唤怪物术,zhao'huan'guai'wu'shu
召唤盟友术,zhao'huan'meng'you'shu
召唤幽影,zhao'huan'you'ying
召唤坐骑,zhao'huan'zuo'ji
召来系,zhao'lai'xi
召雷术,zhao'lei'shu
沼泽环境,zhao'ze'huan'jing
遮蔽物品,zhe'bi'wu'pin
赭冻怪,zhe'dong'guai
蛰伏伪怪,zhe'fu'wei'guai
遮住双眼,zhe'zhu'shuang'yan
侦测动植物,zhen'ce'dong'zhi'wu
侦测毒性,zhen'ce'du'xing
侦测混乱,zhen'ce'hun'luan
侦测密门,zhen'ce'mi'men
侦测魔法,zhen'ce'mo'fa
侦测善良,zhen'ce'shan'liang
侦测守序,zhen'ce'shou'xu
侦测死灵,zhen'ce'si'ling
侦测思想,zhen'ce'si'xiang
侦测探知,zhen'ce'tan'zhi
侦测陷阱,zhen'ce'xian'jing
侦测邪恶,zhen'ce'xie'e
侦查,zhen'cha
震慑,zhen'she
震慑破,zhen'she'po
震慑拳,zhen'she'quan
阵营,zhen'ying
阵营环境,zhen'ying'huan'jing
针雨,zhen'yu
真知术,zhen'zhi'shu
珍珠,zhen'zhu
正能量,zheng'neng'liang
蒸气魔蝠,zheng'qi'mo'fu
正气如虹,zheng'qi'ru'hong
正义烙印,zheng'yi'lao'yin
之触,zhi'chu
直觉闪避,zhi'jue'shan'bi
支配动物,zhi'pei'dong'wu
支配怪物,zhi'pei'guai'wu
支配人类,zhi'pei'ren'lei
支配者,zhi'pei'zhe
知识,zhi'shi
知识领域,zhi'shi'ling'yu
植物凋零,zhi'wu'diao'ling
植物交谈,zhi'wu'jiao'tan
植物领域,zhi'wu'ling'yu
植物滋长,zhi'wu'zi'zhang
职业,zhi'ye
职业特性,zhi'ye'te'xing
