阿餐,a'can
将仕郎,jiang'shi'lang
讲书,jiang'shu
将作大匠,jiang'zuo'da'jiang
将作监,jiang'zuo'jian
将作监丞,jiang'zuo'jian'cheng
将作监监,jiang'zuo'jian'jian
将作监少监,jiang'zuo'jian'shao'jian
将作监主簿,jiang'zuo'jian'zhu'bu
将作少监,jiang'zuo'shao'jian
将作院使,jiang'zuo'yuan'shi
教官,jiao'guan
郊社斋郎,jiao'she'zhai'lang
教授,jiao'shou
教谕,jiao'yu
教谕举人,jiao'yu'ju'ren
节度从事,jie'du'cong'shi
节度大使,jie'du'da'shi
节度都知兵马使,jie'du'dou'zhi'bing'ma'shi
节度副大使,jie'du'fu'da'shi
节度副使,jie'du'fu'shi
节度观察留后,jie'du'guan'cha'liu'hou
节度观察支使,jie'du'guan'cha'zhi'shi
节度留后,jie'du'liu'hou
节度幕府从事,jie'du'mu'fu'cong'shi
节度判官,jie'du'pan'guan
节度使,jie'du'shi
节度使从事,jie'du'shi'cong'shi
节度使开府仪同三司,jie'du'shi'kai'fu'yi'tong'san'si
节度使幕佐,jie'du'shi'mu'zuo
节度使判官,jie'du'shi'pan'guan
节度使同中书门下平章事,jie'du'shi'tong'zhong'shu'men'xia'ping'zhang'shi
节度使推官,jie'du'shi'tui'guan
节度使行军司马,jie'du'shi'xing'jun'si'ma
节度使巡官,jie'du'shi'xun'guan
节度使掌书记,jie'du'shi'zhang'shu'ji
节度推官,jie'du'tui'guan
节度押衙,jie'du'ya'ya
节妇,jie'fu
婕妤,jie'yu
节制军马,jie'zhi'jun'ma
金部郎中,jin'bu'lang'zhong
金部司郎官,jin'bu'si'lang'guan
金部员外郎,jin'bu'yuan'wai'lang
近侍,jin'shi
金吾大将军,jin'wu'da'jiang'jun
金吾将军,jin'wu'jiang'jun
金吾卫长史,jin'wu'wei'zhang'shi
进武校尉,jin'wu'xiao'wei
锦衣卫百户,jin'yi'wei'bai'hu
锦衣卫都指挥同知,jin'yi'wei'dou'zhi'hui'tong'zhi
