阿拉伯式柱头,a'la'bo'shi'zhu'tou
项目数据库,xiang'mu'shu'ju'ku
镶嵌花坛,xiang'qian'hua'tan
乡土建筑,xiang'tu'jian'zhu
详图图库,xiang'tu'tu'ku
箱形舞台,xiang'xing'wu'tai
象眼,xiang'yan
小便器,xiao'bian'qi
小侧窗,xiao'ce'chuang
消防车库,xiao'fang'che'ku
消防电梯,xiao'fang'dian'ti
消防立管,xiao'fang'li'guan
消防水带,xiao'fang'shui'dai
消防梯,xiao'fang'ti
消防用水,xiao'fang'yong'shui
消火栓箱,xiao'huo'shuan'xiang
消极隔振,xiao'ji'ge'zhen
小径,xiao'jing
小穹顶,xiao'qiong'ding
消声坑,xiao'sheng'keng
消声室,xiao'sheng'shi
小游园,xiao'you'yuan
谐和感,xie'he'gan
卸货间,xie'huo'jian
歇山,xie'shan
楔状绿地,xie'zhuang'lv'di
新陈代谢主义,xin'chen'dai'xie'zhu'yi
新理性主义,xin'li'xing'zhu'yi
性别结构,xing'bie'jie'gou
行李室,xing'li'shi
形状,xing'zhuang
修建设计,xiu'jian'she'ji
休养城市,xiu'yang'cheng'shi
修正图,xiu'zheng'tu
修枝剪,xiu'zhi'jian
需求预测,xu'qiu'yu'ce
蓄热器,xu're'qi
蓄热屋顶,xu're'wu'ding
虚声源,xu'sheng'yuan
蓄水隔热,xu'shui'ge're
蓄水屋面,xu'shui'wu'mian
悬吊管,xuan'diao'guan
悬挂楼梯,xuan'gua'lou'ti
眩光,xuan'guang
宣礼塔,xuan'li'ta
选种室,xuan'zhong'shi
寻杖,xun'zhang
压花玻璃,ya'hua'bo'li
压阑石,ya'lan'shi
压型制品,ya'xing'zhi'pin
演播室,yan'bo'shi
檐部,yan'bu
檐枋,yan'fang
檐沟,yan'gou
眼镜厂,yan'jing'chang
眼镜店,yan'jing'dian
檐墙,yan'qiang
演员休息室,yan'yuan'xiu'xi'shi
阳光入射角,yang'guang'ru'she'jiao
氧气站,yang'qi'zhan
药房,yao'fang
窑居,yao'ju
药用植物园,yao'yong'zhi'wu'yuan
液肥混合调配器,ye'fei'hun'he'tiao'pei'qi
液化气系统,ye'hua'qi'xi'tong
液化石油气厂,ye'hua'shi'you'qi'chang
夜间人口,ye'jian'ren'kou
冶炼车间,ye'lian'che'jian
野鸟喂食器,ye'niao'wei'shi'qi
野生植物园,ye'sheng'zhi'wu'yuan
野营区,ye'ying'qu
一般漫射照明,yi'ban'man'she'zhao'ming
一般照明,yi'ban'zhao'ming
易爆物料,yi'bao'wu'liao
颐和园,yi'he'yuan
意境,yi'jing
医疗站,yi'liao'zhan
衣帽间,yi'mao'jian
仪器仪表厂,yi'qi'yi'biao'chang
艺术格调,yi'shu'ge'diao
伊斯兰建筑,yi'si'lan'jian'zhu
异养生物,yi'yang'sheng'wu
医院,yi'yuan
音调,yin'diao
银行,yin'hang
饮料厂,yin'liao'chang
银幕,yin'mu
阴生植物,yin'sheng'zhi'wu
饮食店,yin'shi'dian
饮水池,yin'shui'chi
隐头喷泉,yin'tou'pen'quan
阴影模式分析,yin'ying'mo'shi'fen'xi
音乐跟踪系统,yin'yue'gen'zong'xi'tong
音乐教室,yin'yue'jiao'shi
音质评价标准,yin'zhi'ping'jia'biao'zhun
英国皇家植物园,ying'guo'huang'jia'zhi'wu'yuan
应急照明,ying'ji'zhao'ming
楹联,ying'lian
硬山,ying'shan
营养厨房,ying'yang'chu'fang
泳道,yong'dao
用地平衡,yong'di'ping'heng
永冻土,yong'dong'tu
用水量标准,yong'shui'liang'biao'zhun
油地毡地面,you'di'zhan'di'mian
由额垫板,you'e'dian'ban
幼儿园,you'er'yuan
有机玻璃,you'ji'bo'li
诱鸟区,you'niao'qu
油漆,you'qi
油漆厂,you'qi'chang
游人调查,you'ren'diao'cha
游人分析,you'ren'fen'xi
游人规则,you'ren'gui'ze
游人容纳量,you'ren'rong'na'liang
有色玻璃,you'se'bo'li
游戏场地,you'xi'chang'di
有效半径,you'xiao'ban'jing
有效传热系数,you'xiao'chuan're'xi'shu
有效感觉噪声级,you'xiao'gan'jue'zao'sheng'ji
油压驱动电梯,you'ya'qu'dong'dian'ti
有源减噪,you'yuan'jian'zao
油纸,you'zhi
预测平均热感觉,yu'ce'ping'jun're'gan'jue
娱乐中心,yu'le'zhong'xin
羽毛球场,yu'mao'qiu'chang
鱼市,yu'shi
浴室,yu'shi
雨水内排水系统,yu'shui'nei'pai'shui'xi'tong
余暇生活空间,yu'xia'sheng'huo'kong'jian
预作用灭火系统,yu'zuo'yong'mie'huo'xi'tong
圆攒尖,yuan'cuan'jian
园凳,yuan'deng
园灯,yuan'deng
圆底线脚,yuan'di'xian'jiao
圆钉,yuan'ding
远景,yuan'jing
园林保留地,yuan'lin'bao'liu'di
园林城市,yuan'lin'cheng'shi
园林道路设计,yuan'lin'dao'lu'she'ji
园林地形改造,yuan'lin'di'xing'gai'zao
园林分区,yuan'lin'fen'qu
园林工具,yuan'lin'gong'ju
园林管理,yuan'lin'guan'li
园林管理规划,yuan'lin'guan'li'gui'hua
园林规划图,yuan'lin'gui'hua'tu
园林建筑,yuan'lin'jian'zhu
园林露天剧场,yuan'lin'lu'tian'ju'chang
园林美学,yuan'lin'mei'xue
园林区划,yuan'lin'qu'hua
园林设计,yuan'lin'she'ji
园林施工,yuan'lin'shi'gong
园林水景,yuan'lin'shui'jing
园林小气候,yuan'lin'xiao'qi'hou
园林形式,yuan'lin'xing'shi
园林学史,yuan'lin'xue'shi
园林艺术布局,yuan'lin'yi'shu'bu'ju
园林植物,yuan'lin'zhi'wu
圆楼梯,yuan'lou'ti
圆木椿,yuan'mu'chun
原始环境系统,yuan'shi'huan'jing'xi'tong
圆筒喷灌器,yuan'tong'pen'guan'qi
园外交通管理,yuan'wai'jiao'tong'guan'li
园址测量图,yuan'zhi'ce'liang'tu
月池,yue'chi
月洞门,yue'dong'men
阅览室,yue'lan'shi
韵律,yun'lv
运输滑道,yun'shu'hua'dao
允许浓度,yun'xu'nong'du
允许温差,yun'xu'wen'cha
杂货铺,za'huo'pu
载货电梯,zai'huo'dian'ti
再生能源,zai'sheng'neng'yuan
栽植机,zai'zhi'ji
噪声冲击,zao'sheng'chong'ji
噪声控制,zao'sheng'kong'zhi
噪声评价数,zao'sheng'ping'jia'shu
造型地貌,zao'xing'di'mao
造园学,zao'yuan'xue
闸阀,zha'fa
寨,zhai
宅园,zhai'yuan
斩假石墙面,zhan'jia'shi'qiang'mian
展览馆,zhan'lan'guan
展览架,zhan'lan'jia
站台雨棚,zhan'tai'yu'peng
障碍赛跑道,zhang'ai'sai'pao'dao
障景,zhang'jing
障景种植,zhang'jing'zhong'zhi
罩,zhao
照明,zhao'ming
照明负荷,zhao'ming'fu'he
照明设计,zhao'ming'she'ji
沼气池,zhao'qi'chi
沼泽植物,zhao'ze'zhi'wu
折叠窗,zhe'die'chuang
折叠门,zhe'die'men
遮光角,zhe'guang'jiao
遮阳,zhe'yang
遮阳时间,zhe'yang'shi'jian
真空采暖系统,zhen'kong'cai'nuan'xi'tong
针织厂,zhen'zhi'chang
蒸发量,zheng'fa'liang
正脊,zheng'ji
整剪绿篱,zheng'jian'lv'li
蒸馏水系统,zheng'liu'shui'xi'tong
蒸汽扩散,zheng'qi'kuo'san
证券交易所,zheng'quan'jiao'yi'suo
证人室,zheng'ren'shi
整石墙,zheng'shi'qiang
整体面层,zheng'ti'mian'ceng
整体式空调器,zheng'ti'shi'kong'tiao'qi
正吻,zheng'wen
正心拱,zheng'xin'gong
整形草坪,zheng'xing'cao'ping
整形花坛,zheng'xing'hua'tan
整形种植,zheng'xing'zhong'zhi
指北针,zhi'bei'zhen
支撑体系,zhi'cheng'ti'xi
直达声,zhi'da'sheng
质感,zhi'gan
指挥塔,zhi'hui'ta
直接照明,zhi'jie'zhao'ming
直接制冷系统,zhi'jie'zhi'leng'xi'tong
制冷系统,zhi'leng'xi'tong
质量管理,zhi'liang'guan'li
智能办公楼,zhi'neng'ban'gong'lou
直爬梯,zhi'pa'ti
蛭石,zhi'shi
指示植物,zhi'shi'zhi'wu
支条,zhi'tiao
植物配植,zhi'wu'pei'zhi
植物养护管理,zhi'wu'yang'hu'guan'li
植物园,zhi'wu'yuan
植物整形修剪,zhi'wu'zheng'xing'xiu'jian
职业道德守则,zhi'ye'dao'de'shou'ze
职业工程师,zhi'ye'gong'cheng'shi
职业工程师法,zhi'ye'gong'cheng'shi'fa
职业学校建筑,zhi'ye'xue'xiao'jian'zhu
执照,zhi'zhao
中等城市,zhong'deng'cheng'shi
终端装置,zhong'duan'zhuang'zhi
中国城市科学研究会,zhong'guo'cheng'shi'ke'xue'yan'jiu'hui
中国风景园林学会,zhong'guo'feng'jing'yuan'lin'xue'hui
中国古代园林,zhong'guo'gu'dai'yuan'lin
中国古典园林,zhong'guo'gu'dian'yuan'lin
中国建筑学会,zhong'guo'jian'zhu'xue'hui
中横框,zhong'heng'kuang
中华人民共和国城市规划法,zhong'hua'ren'min'gong'he'guo'cheng'shi'gui'hua'fa
中华人民共和国森林法,zhong'hua'ren'min'gong'he'guo'sen'lin'fa
中华人民共和国自然保护区条例,zhong'hua'ren'min'gong'he'guo'zi'ran'bao'hu'qu'tiao'li
中间视觉,zhong'jian'shi'jue
中空玻璃,zhong'kong'bo'li
肿瘤医院,zhong'liu'yi'yuan
种马场,zhong'ma'chang
中厅,zhong'ting
中心城市,zhong'xin'cheng'shi
中心广场,zhong'xin'guang'chang
中悬折叠门,zhong'xuan'zhe'die'men
中央公园,zhong'yang'gong'yuan
中央控制台,zhong'yang'kong'zhi'tai
中药店,zhong'yao'dian
中英混合式园林,zhong'ying'hun'he'shi'yuan'lin
种植大样图,zhong'zhi'da'yang'tu
种植设计,zhong'zhi'she'ji
周边式,zhou'bian'shi
轴视图,zhou'shi'tu
轴线,zhou'xian
昼夜等效声级,zhou'ye'deng'xiao'sheng'ji
珠宝店,zhu'bao'dian
柱础,zhu'chu
柱廊,zhu'lang
主穹顶,zhu'qiong'ding
猪舍,zhu'she
柱身,zhu'shen
铸石,zhu'shi
主食加工间,zhu'shi'jia'gong'jian
主食库,zhu'shi'ku
主体群落,zhu'ti'qun'luo
柱头铺作,zhu'tou'pu'zuo
主要入口,zhu'yao'ru'kou
住院部,zhu'yuan'bu
铸造制品,zhu'zao'zhi'pin
住宅布局,zhu'zhai'bu'ju
砖,zhuan
砖雕,zhuan'diao
转角铺作,zhuan'jiao'pu'zuo
专科学校建筑,zhuan'ke'xue'xiao'jian'zhu
专类花园,zhuan'lei'hua'yuan
专卖店,zhuan'mai'dian
转门,zhuan'men
专门室内系统,zhuan'men'shi'nei'xi'tong
砖瓦厂,zhuan'wa'chang
转弯半径,zhuan'wan'ban'jing
专用办公楼,zhuan'yong'ban'gong'lou
装配车间,zhuang'pei'che'jian
装饰盖板,zhuang'shi'gai'ban
装饰铁件,zhuang'shi'tie'jian
装卸站台,zhuang'xie'zhan'tai
庄园,zhuang'yuan
装缘植物,zhuang'yuan'zhi'wu
自动门,zi'dong'men
自动详图制作,zi'dong'xiang'tu'zhi'zuo
资金返本期,zi'jin'fan'ben'qi
自然保护,zi'ran'bao'hu
自然景观,zi'ran'jing'guan
自然式园林,zi'ran'shi'yuan'lin
自然衰减,zi'ran'shuai'jian
自然系统,zi'ran'xi'tong
自行车停放规则,zi'xing'che'ting'fang'gui'ze
自选商店,zi'xuan'shang'dian
自由场,zi'you'chang
资质审查,zi'zhi'shen'cha
总仓库,zong'cang'ku
总额收费,zong'e'shou'fei
纵过道,zong'guo'dao
综合防灾能力,zong'he'fang'zai'neng'li
综合规划,zong'he'gui'hua
综合区,zong'he'qu
宗教建筑,zong'jiao'jian'zhu
棕榈叶式柱,zong'lv'ye'shi'zhu
总平面运输设计,zong'ping'mian'yun'shu'she'ji
总体规划,zong'ti'gui'hua
总统客房,zong'tong'ke'fang
总指挥室,zong'zhi'hui'shi
走廊,zou'lang
阻尼比,zu'ni'bi
足球场,zu'qiu'chang
坐便器,zuo'bian'qi
坐凳栏杆,zuo'deng'lan'gan
座圈,zuo'quan
