哀对乐,ai'dui'le
夜饮对晨餐,ye'yin'dui'chen'can
夜饮已厌厌,ye'yin'yi'yan'yan
夜月凤台箫,ye'yue'feng'tai'xiao
夜月有啼乌,ye'yue'you'ti'wu
一椽书舍小,yi'chuan'shu'she'xiao
一堤杨柳绿,yi'di'yang'liu'lv
易对难,yi'dui'nan
异对同,yi'dui'tong
议鲠对言谗,yi'geng'dui'yan'chan
一架白荼蘼,yi'jia'bai'tu'mi
已见国家隆治,yi'jian'guo'jia'long'zhi
意骄陈主,yi'jiao'chen'zhu
倚槛松筠同傲岁,yi'kan'song'jun'tong'ao'sui
一刻千金,yi'ke'qian'jin
一犁春雨甚知时,yi'li'chun'yu'shen'zhi'shi
一轮秋夜月,yi'lun'qiu'ye'yue
一轮月镜,yi'lun'yue'jing
逸民适志,yi'min'shi'zhi
一年好景,yi'nian'hao'jing
一枰决胜,yi'ping'jue'sheng
一启对三缄,yi'qi'dui'san'jian
一畦雨熟邵平瓜,yi'qi'yu'shu'shao'ping'gua
诣阙王通,yi'que'wang'tong
邑人竖堕泪之碑,yi'ren'shu'duo'lei'zhi'bei
一日对千年,yi'ri'dui'qian'nian
移山对浚井,yi'shan'dui'jun'jing
一双鸂鶒,yi'shuang'xi'chi
一蓑烟雨,yi'suo'yan'yu
一湾绿水渔村小,yi'wan'lv'shui'yu'cun'xiao
逸兴岂知俄尔尽,yi'xing'qi'zhi'e'er'jin
弋雁对求鱼,yi'yan'dui'qiu'yu
一雁对双凫,yi'yan'dui'shuang'fu
已咏冰兮寒过水,yi'yong'bing'xi'han'guo'shui
已有苍鸿辞北塞,yi'you'cang'hong'ci'bei'sai
一园春雨杏花红,yi'yuan'chun'yu'xing'hua'hong
宜簪白燕之钗,yi'zan'bai'yan'zhi'chai
蚁阵对蜂衙,yi'zhen'dui'feng'ya
一只夔,yi'zhi'kui
一樽酒待故人倾,yi'zun'jiu'dai'gu'ren'qing
吟成赏月之待,yin'cheng'shang'yue'zhi'dai
吟哦对讽咏,yin'e'dui'feng'yong
引壶酌酒尚陶潜,yin'hu'zhuo'jiu'shang'tao'qian
饮酒岂知欹醉帽,yin'jiu'qi'zhi'qi'zui'mao
饮李白一壶之酒,yin'li'bai'yi'hu'zhi'jiu
银鹿对铜驼,yin'lu'dui'tong'tuo
淫声闻濮上,yin'sheng'wen'pu'shang
莺簧对蝶板,ying'huang'dui'die'ban
莺朋对燕友,ying'peng'dui'yan'you
莺啼对鹊噪,ying'ti'dui'que'zao
鹦鹉对鹡鸰,ying'wu'dui'ji'ling
迎仙汉帝,ying'xian'han'di
莺睍睆,ying'xian'huan
应知窗外鬼神惊,ying'zhi'chuang'wai'gui'shen'jing
莺啭怨残春,ying'zhuan'yuan'can'chun
慵把鸳鸯文作枕,yong'ba'yuan'yang'wen'zuo'zhen
永和博雅,yong'he'bo'ya
咏南薰,yong'nan'xun
优对劣,you'dui'lie
犹对尚,you'dui'shang
幽对显,you'dui'xian
有风楚子正披襟,you'feng'chu'zi'zheng'pi'jin
有官清似水,you'guan'qing'si'shui
有酒阮貂奚用解,you'jiu'ruan'diao'xi'yong'jie
有若对相如,you'ruo'dui'xiang'ru
幽寺寻僧,you'si'xun'seng
有影对无声,you'ying'dui'wu'sheng
游子爱良宵光景,you'zi'ai'liang'xiao'guang'jing
虞坂马长嘶,yu'ban'ma'chang'si
雨长苔痕侵壁砌,yu'chang'tai'hen'qin'bi'qi
玉瑽琤,yu'cong'cheng
雨打村重新牧笠,yu'da'cun'chong'xin'mu'li
雨打对风吹,yu'da'dui'feng'chui
虞帝自挥琴,yu'di'zi'hui'qin
渔对猎,yu'dui'lie
禹对汤,yu'dui'tang
渔火对禅灯,yu'huo'dui'chan'deng
玉斝对银釭,yu'jia'dui'yin'gang
玉井九秋莲,yu'jing'jiu'qiu'lian
雨淋铃,yu'lin'ling
玉律对金科,yu'lv'dui'jin'ke
雨梅肥,yu'mei'fei
雨绵绵,yu'mian'mian
鱼暖上春冰,yu'nuan'shang'chun'bing
玉麒麟,yu'qi'lin
雨前庭蚁闹,yu'qian'ting'yi'nao
雨晴鸠唤妇,yu'qing'jiu'huan'fu
榆塞对兰崖,yu'sai'dui'lan'ya
渔舍清幽临水岸,yu'she'qing'you'lin'shui'an
禹舜对羲农,yu'shun'dui'xi'nong
玉兔对金鸟,yu'tu'dui'jin'niao
玉兔对银蟾,yu'tu'dui'yin'chan
禹王取法以陈畴,yu'wang'qu'fa'yi'chen'chou
玉屑饭,yu'xie'fan
雨雪对风雷,yu'xue'dui'feng'lei
雨雪对雷霆,yu'xue'dui'lei'ting
语燕对啼鸠,yu'yan'dui'ti'jiu
鱼游池面水,yu'you'chi'mian'shui
鱼游荷叶沼,yu'you'he'ye'zhao
玉宇对金茎,yu'yu'dui'jin'jing
鱼圉圉,yu'yu'yu
鱼跃沼,yu'yue'zhao
玉振对金声,yu'zhen'dui'jin'sheng
雨骤以云屯,yu'zhou'yi'yun'tun
渔舟正向雪中移,yu'zhou'zheng'xiang'xue'zhong'yi
远岸对危堤,yuan'an'dui'wei'di
远近对高低,yuan'jin'dui'gao'di
元礼舟中携郭泰,yuan'li'zhou'zhong'xie'guo'tai
元亮南窗今日傲,yuan'liang'nan'chuang'jin'ri'ao
猿啸苦哀巴地月,yuan'xiao'ku'ai'ba'di'yue
月榜对风帆,yue'bang'dui'feng'fan
越对吴,yue'dui'wu
月流西,yue'liu'xi
月满庾楼,yue'man'yu'lou
月榭对风亭,yue'xie'dui'feng'ting
月移梅影上窗纱,yue'yi'mei'ying'shang'chuang'sha
云鬓花颜,yun'bin'hua'yan
云对雨,yun'dui'yu
云将作雨,yun'jiang'zuo'yu
云霄万里,yun'xiao'wan'li
栽花对种竹,zai'hua'dui'zhong'zhu
载咏棣棠韡韡,zai'yong'di'tang'wei'wei
早朝初退,zao'chao'chu'tui
早行远客,zao'hang'yuan'ke
造律吏哀秦法酷,zao'lv'li'ai'qin'fa'ku
藻密有潜鱼,zao'mi'you'qian'yu
早暮对寒暄,zao'mu'dui'han'xuan
噪晚齐蝉,zao'wan'qi'chan
增对损,zeng'dui'sun
窄对宽,zhai'dui'kuan
斋小号蟠龙,zhai'xiao'hao'pan'long
战士邀功,zhan'shi'yao'gong
湛湛春波千顷净,zhan'zhan'chun'bo'qian'qing'jing
张骏曾为槐树赋,zhang'jun'ceng'wei'huai'shu'fu
张兔网,zhang'tu'wang
张绣幕,zhang'xiu'mu
召公周太保,zhao'gong'zhou'tai'bao
朝露缀珠玑,zhao'lu'zhui'zhu'ji
赵瑟对虞韶,zhao'se'dui'yu'shao
照书车胤一囊萤,zhao'shu'che'yin'yi'nang'ying
照耀八荒,zhao'yao'ba'huang
震对乾,zhen'dui'qian
震惊百里,zhen'jing'bai'li
斟满送春之酒,zhen'man'song'chun'zhi'jiu
阵上倒戈辛纣战,zhen'shang'dao'ge'xin'zhou'zhan
郑虔毡,zheng'qian'zhan
争权晋土已瓜分,zheng'quan'jin'tu'yi'gua'fen
郑为武公,zheng'wei'wu'gong
智伯恩深,zhi'bo'en'shen
雉城对雁塞,zhi'cheng'dui'yan'sai
掷地金声孙绰赋,zhi'di'jin'sheng'sun'chuo'fu
只对双,zhi'dui'shuang
智对愚,zhi'dui'yu
纸号楮先生,zhi'hao'chu'xian'sheng
枳棘对蓬蒿,zhi'ji'dui'peng'hao
织锦逐梭成舞凤,zhi'jin'zhu'suo'cheng'wu'feng
旨酒对嘉肴,zhi'jiu'dui'jia'yao
直踞千寻云岭,zhi'ju'qian'xun'yun'ling
治民异等尹翁归,zhi'min'yi'deng'yin'weng'gui
枝梢倏尔长毫端,zhi'shao'shu'er'chang'hao'duan
只悉月堕,zhi'xi'yue'duo
知音人说郑声哇,zhi'yin'ren'shuo'zheng'sheng'wa
止用朝三,zhi'yong'chao'san
治中展骥姓惟庞,zhi'zhong'zhan'ji'xing'wei'pang
忠臣报国,zhong'chen'bao'guo
众丑对孤妍,zhong'chou'dui'gu'yan
重对轻,zhong'dui'qing
终对始,zhong'dui'shi
中对外,zhong'dui'wai
钟鼓响摐摐,zhong'gu'xiang'chuang'chuang
种橘犹嫌千树少,zhong'ju'you'xian'qian'shu'shao
中秋佳节月婵娟,zhong'qiu'jia'jie'yue'chan'juan
忠心安社稷,zhong'xin'an'she'ji
仲由冠,zhong'you'guan
周朝何用叛三监,zhou'chao'he'yong'pan'san'jian
周公诗说托鸱鸮,zhou'gong'shi'shuo'tuo'chi'xiao
周公誓死作金滕,zhou'gong'shi'si'zuo'jin'teng
周因巷台,zhou'yin'xiang'tai
骤雨不终朝,zhou'yu'bu'zhong'chao
周召虎,zhou'zhao'hu
周臻大定一戎衣,zhou'zhen'da'ding'yi'rong'yi
主簿栖鸾名有览,zhu'bu'qi'luan'ming'you'lan
竹成文,zhu'cheng'wen
著道德五千言,zhu'dao'de'wu'qian'yan
铢对钅两,zhu'dui'jin'liang
竹简对毛锥,zhu'jian'dui'mao'zhui
煮酒对烹茶,zhu'jiu'dui'peng'cha
朱帘对画栋,zhu'lian'dui'hua'dong
渚莲千朵白,zhu'lian'qian'duo'bai
烛灭对香消,zhu'mie'dui'xiang'xiao
竹森森,zhu'sen'sen
筑台须垒土,zhu'tai'xu'lei'tu
竹亭有客,zhu'ting'you'ke
蛛网挂虚檐,zhu'wang'gua'xu'yan
竹叶对松梢,zhu'ye'dui'song'shao
主逸对臣劳,zhu'yi'dui'chen'lao
竹映读书斋,zhu'ying'du'shu'zhai
煮粥惜焚须,zhu'zhou'xi'fen'xu
珠缀花梢,zhu'zhui'hua'shao
妆罢重将金插鬓,zhuang'ba'zhong'jiang'jin'cha'bin
庄周活鲋,zhuang'zhou'huo'fu
酌香醪,zhuo'xiang'lao
子对孙,zi'dui'sun
子罕玉,zi'han'yu
紫鹄对苍鹰,zi'hu'dui'cang'ying
紫梨摘去从山北,zi'li'zhai'qu'cong'shan'bei
滋生万物,zi'sheng'wan'wu
紫绶对绯袍,zi'shou'dui'fei'pao
紫燕对黄鹂,zi'yan'dui'huang'li
子云嘲,zi'yun'chao
子张言行贵书绅,zi'zhang'yan'xing'gui'shu'shen
总角对垂髫,zong'jiao'dui'chui'tiao
醉胆对吟魂,zui'dan'dui'yin'hun
醉对醒,zui'dui'xing
醉侯对诗史,zui'hou'dui'shi'shi
醉思漉酒脱陶巾,zui'si'lu'jiu'tuo'tao'jin
醉中厌听管弦声,zui'zhong'yan'ting'guan'xian'sheng
作赋对观书,zuo'fu'dui'guan'shu
作酒固难忘曲蘖,zuo'jiu'gu'nan'wang'qu'nie
座上满斟三雅爵,zuo'shang'man'zhen'san'ya'jue
左思文足赋三都,zuo'si'wen'zu'fu'san'du
