暗煤,an'mei
双台面微机轨道衡,shuang'tai'mian'wei'ji'gui'dao'heng
双向给料机,shuang'xiang'gei'liao'ji
双轴振动筛,shuang'zhou'zhen'dong'shai
双锥,shuang'zhui
双锥型,shuang'zhui'xing
双锥型分选机,shuang'zhui'xing'fen'xuan'ji
双作用,shuang'zuo'yong
水泵房,shui'beng'fang
水采,shui'cai
水采煤泥,shui'cai'mei'ni
水采原煤,shui'cai'yuan'mei
水槽,shui'cao
水冲溜槽,shui'chong'liu'cao
水分比,shui'fen'bi
水分测量仪,shui'fen'ce'liang'yi
水分仪,shui'fen'yi
水封池,shui'feng'chi
水环式,shui'huan'shi
水环式真空泵,shui'huan'shi'zhen'kong'beng
水环真空泵,shui'huan'zhen'kong'beng
水介,shui'jie
水介旋流器,shui'jie'xuan'liu'qi
水介质,shui'jie'zhi
水力分级,shui'li'fen'ji
水力旋流器,shui'li'xuan'liu'qi
水量平衡表,shui'liang'ping'heng'biao
水泥回转窑,shui'ni'hui'zhuan'yao
水平带式真空过滤机,shui'ping'dai'shi'zhen'kong'guo'lv'ji
水平圆盘过滤机,shui'ping'yuan'pan'guo'lv'ji
水文地质资料,shui'wen'di'zhi'zi'liao
水文资料,shui'wen'zi'liao
水雾涤尘器,shui'wu'di'chen'qi
水洗精煤,shui'xi'jing'mei
水运溜槽,shui'yun'liu'cao
顺流式,shun'liu'shi
四齿辊破碎机,si'chi'gun'po'sui'ji
四辊,si'gun
四孔脱水闸门,si'kong'tuo'shui'zha'men
死区,si'qu
丝炭,si'tan
丝质组,si'zhi'zu
松开滤板,song'kai'lv'ban
松散辊,song'san'gun
松散轮,song'san'lun
速度变换器,su'du'bian'huan'qi
速度系数,su'du'xi'shu
碎选性,sui'xuan'xing
缩合芳香核,suo'he'fang'xiang'he
缩合型,suo'he'xing
缩制,suo'zhi
弹簧清扫器,tan'huang'qing'sao'qi
弹性元件,tan'xing'yuan'jian
套筒式,tao'tong'shi
特大块,te'da'kuai
特低灰煤,te'di'hui'mei
特低硫,te'di'liu
特低硫煤,te'di'liu'mei
特高热值煤,te'gao're'zhi'mei
特强粘结,te'qiang'nian'jie
特强粘结煤,te'qiang'nian'jie'mei
提耙,ti'ba
提耙装置,ti'ba'zhuang'zhi
提升板,ti'sheng'ban
提升孔,ti'sheng'kong
条缝,tiao'feng
条缝筛,tiao'feng'shai
条缝筛板,tiao'feng'shai'ban
条缝筛面,tiao'feng'shai'mian
调浆,tiao'jiang
调浆设备,tiao'jiang'she'bei
调节罐,tiao'jie'guan
跳汰,tiao'tai
跳汰厂,tiao'tai'chang
跳汰车间,tiao'tai'che'jian
跳汰分选,tiao'tai'fen'xuan
跳汰机,tiao'tai'ji
跳汰洗煤,tiao'tai'xi'mei
跳汰选,tiao'tai'xuan
跳汰选煤,tiao'tai'xuan'mei
跳汰选煤厂,tiao'tai'xuan'mei'chang
跳汰再洗,tiao'tai'zai'xi
跳汰再选,tiao'tai'zai'xuan
跳汰主洗,tiao'tai'zhu'xi
跳汰主选,tiao'tai'zhu'xuan
条形基础,tiao'xing'ji'chu
挑檐沟,tiao'yan'gou
调整辊,tiao'zheng'gun
调整剂,tiao'zheng'ji
筒表,tong'biao
同层位,tong'ceng'wei
通风机,tong'feng'ji
通过量,tong'guo'liang
通过式,tong'guo'shi
筒式磁选机,tong'shi'ci'xuan'ji
同位素灰分仪,tong'wei'su'hui'fen'yi
同位素硫分仪,tong'wei'su'liu'fen'yi
头板,tou'ban
头部溜槽,tou'bu'liu'cao
头架,tou'jia
头节,tou'jie
头轮,tou'lun
透筛,tou'shai
透筛物,tou'shai'wu
透筛物料,tou'shai'wu'liao
投资估算,tou'zi'gu'suan
投资机会研究,tou'zi'ji'hui'yan'jiu
凸弧,tu'hu
凸弧段,tu'hu'duan
土建施工图,tu'jian'shi'gong'tu
土建专业,tu'jian'zhuan'ye
退磁器,tui'ci'qi
退磁线圈,tui'ci'xian'quan
推力板,tui'li'ban
推煤,tui'mei
推土机,tui'tu'ji
推土机房,tui'tu'ji'fang
脱介,tuo'jie
脱介筛,tuo'jie'shai
脱介作业,tuo'jie'zuo'ye
托轮,tuo'lun
脱泥,tuo'ni
脱泥筛,tuo'ni'shai
脱泥作业,tuo'ni'zuo'ye
脱水,tuo'shui
脱水仓,tuo'shui'cang
脱水分级筛,tuo'shui'fen'ji'shai
脱水回收试验,tuo'shui'hui'shou'shi'yan
脱水煤仓,tuo'shui'mei'cang
脱水区,tuo'shui'qu
脱水筛,tuo'shui'shai
脱水筛分,tuo'shui'shai'fen
脱水提升机,tuo'shui'ti'sheng'ji
脱水脱介筛,tuo'shui'tuo'jie'shai
脱水闸门,tuo'shui'zha'men
挖取设备,wa'qu'she'bei
外滤,wai'lv
外滤式,wai'lv'shi
万向铰链,wan'xiang'jiao'lian
网带,wang'dai
往复给料机,wang'fu'gei'liao'ji
往复式给料机,wang'fu'shi'gei'liao'ji
往复式空气压缩机,wang'fu'shi'kong'qi'ya'suo'ji
网状丝布,wang'zhuang'si'bu
尾板,wei'ban
微波测水仪,wei'bo'ce'shui'yi
尾车,wei'che
微机处理电子轨道衡,wei'ji'chu'li'dian'zi'gui'dao'heng
微机处理双台面电子轨道衡,wei'ji'chu'li'shuang'tai'mian'dian'zi'gui'dao'heng
微机处理无基坑电子轨道衡,wei'ji'chu'li'wu'ji'keng'dian'zi'gui'dao'heng
微机轨道衡,wei'ji'gui'dao'heng
微机窄轨矿车衡,wei'ji'zhai'gui'kuang'che'heng
尾架,wei'jia
尾节,wei'jie
尾矿,wei'kuang
尾矿槽,wei'kuang'cao
尾矿池,wei'kuang'chi
尾矿压滤机,wei'kuang'ya'lv'ji
尾轮,wei'lun
尾煤,wei'mei
尾煤槽,wei'mei'cao
尾煤量,wei'mei'liang
尾煤浓缩机,wei'mei'nong'suo'ji
尾煤线,wei'mei'xian
尾煤压滤机,wei'mei'ya'lv'ji
微粘结煤,wei'nian'jie'mei
位置传感器,wei'zhi'chuan'gan'qi
温度变送器,wen'du'bian'song'qi
温度传感器,wen'du'chuan'gan'qi
稳静,wen'jing
稳流筒,wen'liu'tong
卧式风阀,wo'shi'feng'fa
卧式离心,wo'shi'li'xin
卧式振动,wo'shi'zhen'dong
无仓格式槽形缝口仓,wu'cang'ge'shi'cao'xing'feng'kou'cang
无格过滤机,wu'ge'guo'lv'ji
无格式真空过滤机,wu'ge'shi'zhen'kong'guo'lv'ji
雾化机构,wu'hua'ji'gou
无灰基,wu'hui'ji
无灰基煤,wu'hui'ji'mei
无活塞跳汰机,wu'huo'sai'tiao'tai'ji
无基坑微机轨道衡,wu'ji'keng'wei'ji'gui'dao'heng
无极绳绞车调车,wu'ji'sheng'jiao'che'diao'che
无机絮凝剂,wu'ji'xu'ning'ji
污水泵,wu'shui'beng
无压,wu'ya
无压给料,wu'ya'gei'liao
无压三产品,wu'ya'san'chan'pin
无压三产品重介旋流器,wu'ya'san'chan'pin'zhong'jie'xuan'liu'qi
无烟煤,wu'yan'mei
吸啜,xi'chuo
洗大块,xi'da'kuai
洗涤水箱,xi'di'shui'xiang
洗粉煤,xi'fen'mei
吸附水,xi'fu'shui
洗矸,xi'gan
洗混块,xi'hun'kuai
洗混煤,xi'hun'mei
洗混煤仓,xi'hun'mei'cang
洗混中块,xi'hun'zhong'kuai
稀介,xi'jie
稀介泵,xi'jie'beng
稀介段,xi'jie'duan
稀介桶,xi'jie'tong
稀介质,xi'jie'zhi
稀介质桶,xi'jie'zhi'tong
洗精煤,xi'jing'mei
洗粒煤,xi'li'mei
细粒煤,xi'li'mei
洗煤厂,xi'mei'chang
洗煤方法,xi'mei'fang'fa
洗煤工艺,xi'mei'gong'yi
细煤泥,xi'mei'ni
洗煤设备,xi'mei'she'bei
细磨,xi'mo
洗末煤,xi'mo'mei
稀释水,xi'shi'shui
洗水闭路循环,xi'shui'bi'lu'xun'huan
洗水净化,xi'shui'jing'hua
洗水脉动,xi'shui'mai'dong
细碎,xi'sui
洗特大块,xi'te'da'kuai
洗小块,xi'xiao'kuai
洗选厂,xi'xuan'chang
洗选工艺,xi'xuan'gong'yi
洗选加工,xi'xuan'jia'gong
洗选粒度,xi'xuan'li'du
洗原煤,xi'yuan'mei
洗中块,xi'zhong'kuai
洗中煤,xi'zhong'mei
下托辊,xia'tuo'gun
现砌,xian'qi
限上,xian'shang
限上率,xian'shang'lv
限下,xian'xia
限下率,xian'xia'lv
详查,xiang'cha
香蕉筛,xiang'jiao'shai
橡胶筛面,xiang'jiao'shai'mian
项目负责人,xiang'mu'fu'ze'ren
项目建议书,xiang'mu'jian'yi'shu
项目实施计划,xiang'mu'shi'shi'ji'hua
箱式压滤机,xiang'shi'ya'lv'ji
详细可行性研究,xiang'xi'ke'xing'xing'yan'jiu
箱型基础,xiang'xing'ji'chu
小车式,xiao'che'shi
消防用水,xiao'fang'yong'shui
小块,xiao'kuai
销售煤样室,xiao'shou'mei'yang'shi
小修,xiao'xiu
卸饼,xie'bing
斜槽,xie'cao
斜槽分选机,xie'cao'fen'xuan'ji
斜插板式闸门,xie'cha'ban'shi'zha'men
卸车机,xie'che'ji
斜井,xie'jing
楔块,xie'kuai
卸料车,xie'liao'che
卸料辊,xie'liao'gun
卸料小车,xie'liao'xiao'che
卸料闸门,xie'liao'zha'men
斜轮,xie'lun
斜轮分选机,xie'lun'fen'xuan'ji
卸煤,xie'mei
卸煤机,xie'mei'ji
卸煤设备,xie'mei'she'bei
斜坡式,xie'po'shi
楔铁,xie'tie
新介质,xin'jie'zhi
心轴,xin'zhou
型焦,xing'jiao
型块,xing'kuai
型煤,xing'mei
星形给料机,xing'xing'gei'liao'ji
星形排料机,xing'xing'pai'liao'ji
蓄能器,xu'neng'qi
絮凝剂,xu'ning'ji
絮凝剂泵,xu'ning'ji'beng
许用,xu'yong
悬臂轮斗式,xuan'bi'lun'dou'shi
悬垂磁铁器,xuan'chui'ci'tie'qi
悬浮液,xuan'fu'ye
悬浮液密度控制系统,xuan'fu'ye'mi'du'kong'zhi'xi'tong
悬浮液桶,xuan'fu'ye'tong
悬浮预热器窑,xuan'fu'yu're'qi'yao
选矸,xuan'gan
选矸车间,xuan'gan'che'jian
选矸机,xuan'gan'ji
选矸作业,xuan'gan'zuo'ye
旋回破碎机,xuan'hui'po'sui'ji
选矿厂,xuan'kuang'chang
选硫,xuan'liu
旋流分选,xuan'liu'fen'xuan
选硫工艺,xuan'liu'gong'yi
选硫流程,xuan'liu'liu'cheng
旋流浓缩,xuan'liu'nong'suo
旋流器,xuan'liu'qi
旋流器组,xuan'liu'qi'zu
旋流筛,xuan'liu'shai
选煤,xuan'mei
选煤产品,xuan'mei'chan'pin
选煤厂,xuan'mei'chang
选煤法,xuan'mei'fa
选煤方法,xuan'mei'fang'fa
选煤工业性试验,xuan'mei'gong'ye'xing'shi'yan
选煤工艺,xuan'mei'gong'yi
选煤工艺设计,xuan'mei'gong'yi'she'ji
选煤工作者,xuan'mei'gong'zuo'zhe
选煤规范,xuan'mei'gui'fan
选煤设备,xuan'mei'she'bei
选煤手册,xuan'mei'shou'ce
选煤效率,xuan'mei'xiao'lv
选煤用,xuan'mei'yong
选煤专家,xuan'mei'zhuan'jia
选煤专业,xuan'mei'zhuan'ye
选择性破碎机,xuan'ze'xing'po'sui'ji
旋转风阀,xuan'zhuan'feng'fa
旋转概率筛,xuan'zhuan'gai'lv'shai
循环管式干燥机,xun'huan'guan'shi'gan'zao'ji
循环介质,xun'huan'jie'zhi
循环水,xun'huan'shui
循环水泵,xun'huan'shui'beng
循环水线,xun'huan'shui'xian
循环物料,xun'huan'wu'liao
压板,ya'ban
压风机,ya'feng'ji
压紧滤板,ya'jin'lv'ban
压力变送器,ya'li'bian'song'qi
压力传感器,ya'li'chuan'gan'qi
亚沥青煤,ya'li'qing'mei
压滤泵,ya'lv'beng
压滤车间,ya'lv'che'jian
压滤机,ya'lv'ji
压滤煤泥,ya'lv'mei'ni
压滤砂泵,ya'lv'sha'beng
压滤脱水,ya'lv'tuo'shui
压滤系统,ya'lv'xi'tong
压滤循环,ya'lv'xun'huan
压滤液池,ya'lv'ye'chi
压入式浮选机,ya'ru'shi'fu'xuan'ji
压缩机,ya'suo'ji
压缩空气房,ya'suo'kong'qi'fang
压缩区,ya'suo'qu
压铁,ya'tie
亚烟煤,ya'yan'mei
烟煤,yan'mei
岩相,yan'xiang
氧解,yang'jie
摇臂式,yao'bi'shi
摇臂式圆形料场堆取料机,yao'bi'shi'yuan'xing'liao'chang'dui'qu'liao'ji
摇床,yao'chuang
摇动筛,yao'dong'shai
药剂泵,yao'ji'beng
药剂罐,yao'ji'guan
药剂库,yao'ji'ku
药剂线,yao'ji'xian
窑外分解窑,yao'wai'fen'jie'yao
叶板,ye'ban
液固比,ye'gu'bi
液化用煤,ye'hua'yong'mei
冶炼焦,ye'lian'jiao
叶轮给料机,ye'lun'gei'liao'ji
叶轮式给料机,ye'lun'shi'gei'liao'ji
液位计,ye'wei'ji
液压泵,ye'ya'beng
液压站,ye'ya'zhan
一点装车,yi'dian'zhuang'che
移动往复给料机,yi'dong'wang'fu'gei'liao'ji
一段磁选,yi'duan'ci'xuan
溢流槽,yi'liu'cao
溢流窗,yi'liu'chuang
溢流段,yi'liu'duan
溢流管,yi'liu'guan
溢流精煤,yi'liu'jing'mei
溢流煤仓,yi'liu'mei'cang
溢流室,yi'liu'shi
溢流型,yi'liu'xing
溢流堰,yi'liu'yan
易选,yi'xuan
易选煤,yi'xuan'mei
引风机,yin'feng'ji
鹰嘴式,ying'zui'shi
永磁筒式磁选机,yong'ci'tong'shi'ci'xuan'ji
用户型,yong'hu'xing
用户选煤厂,yong'hu'xuan'mei'chang
永久磁铁,yong'jiu'ci'tie
永田式,yong'tian'shi
油泵,you'beng
油道,you'dao
有格过滤机,you'ge'guo'lv'ji
有格式真空过滤机,you'ge'shi'zhen'kong'guo'lv'ji
有机絮凝剂,you'ji'xu'ning'ji
油冷式,you'leng'shi
游离水,you'li'shui
油流量计,you'liu'liang'ji
油路,you'lu
油滤,you'lv
右式,you'shi
右式单孔脱水闸门,you'shi'dan'kong'tuo'shui'zha'men
有效吸力,you'xiao'xi'li
有压,you'ya
有压给料,you'ya'gei'liao
有压两产品,you'ya'liang'chan'pin
有压三产品,you'ya'san'chan'pin
油脂库,you'zhi'ku
预搅,yu'jiao
预热器窑,yu're'qi'yao
预筛分,yu'shai'fen
预脱水,yu'tuo'shui
预先分级筛,yu'xian'fen'ji'shai
预先筛分,yu'xian'shai'fen
预先脱泥,yu'xian'tuo'ni
预先脱水,yu'xian'tuo'shui
预选矸,yu'xuan'gan
预制桩基础,yu'zhi'zhuang'ji'chu
圆仓,yuan'cang
圆环链,yuan'huan'lian
原料煤,yuan'liao'mei
原料系统,yuan'liao'xi'tong
原煤,yuan'mei
原煤仓,yuan'mei'cang
原煤场,yuan'mei'chang
原煤储煤场,yuan'mei'chu'mei'chang
原煤分级,yuan'mei'fen'ji
原煤分级筛,yuan'mei'fen'ji'shai
原煤缓冲仓,yuan'mei'huan'chong'cang
原煤破碎机,yuan'mei'po'sui'ji
原煤筛,yuan'mei'shai
原煤脱泥筛,yuan'mei'tuo'ni'shai
原煤系统,yuan'mei'xi'tong
原煤贮煤场,yuan'mei'zhu'mei'chang
原煤准备,yuan'mei'zhun'bei
原煤准备车间,yuan'mei'zhun'bei'che'jian
圆盘给料机,yuan'pan'gei'liao'ji
圆盘过滤机,yuan'pan'guo'lv'ji
圆盘式给料机,yuan'pan'shi'gei'liao'ji
圆盘式真空过滤机,yuan'pan'shi'zhen'kong'guo'lv'ji
圆盘真空过滤机,yuan'pan'zhen'kong'guo'lv'ji
圆筒仓,yuan'tong'cang
圆筒段,yuan'tong'duan
圆筒分选,yuan'tong'fen'xuan
圆筒式真空过滤机,yuan'tong'shi'zhen'kong'guo'lv'ji
圆筒型,yuan'tong'xing
圆筒旋流器,yuan'tong'xuan'liu'qi
圆筒圆锥段,yuan'tong'yuan'zhui'duan
圆筒真空过滤机,yuan'tong'zhen'kong'guo'lv'ji
原则流程图,yuan'ze'liu'cheng'tu
圆振动筛,yuan'zhen'dong'shai
圆锥顶角,yuan'zhui'ding'jiao
圆锥破碎机,yuan'zhui'po'sui'ji
圆锥型,yuan'zhui'xing
运煤,yun'mei
运输线,yun'shu'xian
杂物,za'wu
杂质,za'zhi
再洗,zai'xi
再洗跳汰,zai'xi'tiao'tai
再洗重介,zai'xi'zhong'jie
再洗作业,zai'xi'zuo'ye
在线测灰仪,zai'xian'ce'hui'yi
在线分析仪,zai'xian'fen'xi'yi
再选,zai'xuan
再选跳汰,zai'xuan'tiao'tai
再选摇床,zai'xuan'yao'chuang
再选重介,zai'xuan'zhong'jie
再选作业,zai'xuan'zuo'ye
造粒,zao'li
造粒分选机,zao'li'fen'xuan'ji
增砣台秤,zeng'tuo'tai'cheng
增粘,zeng'zhan
闸板,zha'ban
闸板排料,zha'ban'pai'liao
渣浆,zha'jiang
渣浆泵,zha'jiang'beng
闸门,zha'men
闸门排料,zha'men'pai'liao
摘钩平台,zhai'gou'ping'tai
窄轨,zhai'gui
窄轨翻车机,zhai'gui'fan'che'ji
窄轨轨道衡,zhai'gui'gui'dao'heng
窄轨检车库,zhai'gui'jian'che'ku
窄轨矿车,zhai'gui'kuang'che
窄级别,zhai'ji'bie
占本级,zhan'ben'ji
展开图,zhan'kai'tu
粘矿泡沫槽,zhan'kuang'pao'mo'cao
粘煤,zhan'mei
占全样,zhan'quan'yang
张紧辊,zhang'jin'gun
折带式,zhe'dai'shi
折带式真空过滤机,zhe'dai'shi'zhen'kong'guo'lv'ji
折带卸料,zhe'dai'xie'liao
振次,zhen'ci
振动棒条筛,zhen'dong'bang'tiao'shai
振动给料机,zhen'dong'gei'liao'ji
振动弧形筛,zhen'dong'hu'xing'shai
振动排料,zhen'dong'pai'liao
振动排料器,zhen'dong'pai'liao'qi
振动器,zhen'dong'qi
振动筛,zhen'dong'shai
振动卸料,zhen'dong'xie'liao
振动桩,zhen'dong'zhuang
真空泵,zhen'kong'beng
真空过滤机,zhen'kong'guo'lv'ji
真空过滤脱水,zhen'kong'guo'lv'tuo'shui
整车计量,zheng'che'ji'liang
支承滚轮,zhi'cheng'gun'lun
支撑桩,zhi'cheng'zhuang
制动器,zhi'dong'qi
直接磁选,zhi'jie'ci'xuan
直接浮选,zhi'jie'fu'xuan
支腿,zhi'tui
止推圆盘,zhi'tui'yuan'pan
直线等厚筛,zhi'xian'deng'hou'shai
直线振动筛,zhi'xian'zhen'dong'shai
制样,zhi'yang
制样板,zhi'yang'ban
制样室,zhi'yang'shi
支座,zhi'zuo
重车,zhong'che
重车铁牛,zhong'che'tie'niu
中等可选,zhong'deng'ke'xuan
中等可选煤,zhong'deng'ke'xuan'mei
中等偏强粘结煤,zhong'deng'pian'qiang'nian'jie'mei
中等偏弱粘结煤,zhong'deng'pian'ruo'nian'jie'mei
中低灰,zhong'di'hui
中低热值煤,zhong'di're'zhi'mei
中高灰,zhong'gao'hui
中高挥发分,zhong'gao'hui'fa'fen
中高灰煤,zhong'gao'hui'mei
中高硫煤,zhong'gao'liu'mei
中高热值煤,zhong'gao're'zhi'mei
中国矿业大学,zhong'guo'kuang'ye'da'xue
中挥发分,zhong'hui'fa'fen
中灰分煤,zhong'hui'fen'mei
中灰煤,zhong'hui'mei
中间架,zhong'jian'jia
中间节,zhong'jian'jie
中间煤,zhong'jian'mei
中间煤含量法,zhong'jian'mei'han'liang'fa
中间密度级,zhong'jian'mi'du'ji
重介,zhong'jie
重介厂,zhong'jie'chang
重介车间,zhong'jie'che'jian
重介分选,zhong'jie'fen'xuan
重介分选机,zhong'jie'fen'xuan'ji
重介精煤,zhong'jie'jing'mei
重介立轮分选机,zhong'jie'li'lun'fen'xuan'ji
重介排矸,zhong'jie'pai'gan
重介洗煤,zhong'jie'xi'mei
重介系统,zhong'jie'xi'tong
重介斜轮分选机,zhong'jie'xie'lun'fen'xuan'ji
重介选,zhong'jie'xuan
重介旋流,zhong'jie'xuan'liu
重介旋流器,zhong'jie'xuan'liu'qi
重介选煤,zhong'jie'xuan'mei
重介选煤厂,zhong'jie'xuan'mei'chang
重介液,zhong'jie'ye
重介再洗,zhong'jie'zai'xi
重介再选,zhong'jie'zai'xuan
重介质,zhong'jie'zhi
重介质分选机,zhong'jie'zhi'fen'xuan'ji
重介质排矸车间,zhong'jie'zhi'pai'gan'che'jian
重介质选矸机,zhong'jie'zhi'xuan'gan'ji
重介质旋流器,zhong'jie'zhi'xuan'liu'qi
重介质选煤,zhong'jie'zhi'xuan'mei
重介主洗,zhong'jie'zhu'xi
重介主选,zhong'jie'zhu'xuan
中块,zhong'kuai
中矿,zhong'kuang
重矿物,zhong'kuang'wu
中矿箱,zhong'kuang'xiang
中矿再磨,zhong'kuang'zai'mo
重力脱水,zhong'li'tuo'shui
重力选矿,zhong'li'xuan'kuang
重力选矿法,zhong'li'xuan'kuang'fa
重力选煤,zhong'li'xuan'mei
中硫分煤,zhong'liu'fen'mei
中硫煤,zhong'liu'mei
中煤,zhong'mei
中煤仓,zhong'mei'cang
中煤段,zhong'mei'duan
中煤分级筛,zhong'mei'fen'ji'shai
中煤分级脱水筛,zhong'mei'fen'ji'tuo'shui'shai
中煤合介桶,zhong'mei'he'jie'tong
中煤溜槽,zhong'mei'liu'cao
中煤破碎机,zhong'mei'po'sui'ji
中煤筛,zhong'mei'shai
中煤室,zhong'mei'shi
中煤脱介筛,zhong'mei'tuo'jie'shai
中煤脱介脱水筛,zhong'mei'tuo'jie'tuo'shui'shai
中煤脱水筛,zhong'mei'tuo'shui'shai
中煤脱水脱介筛,zhong'mei'tuo'shui'tuo'jie'shai
中煤稀介桶,zhong'mei'xi'jie'tong
中煤重介,zhong'mei'zhong'jie
中粘结,zhong'nian'jie
中热值煤,zhong're'zhi'mei
中式,zhong'shi
中式头架,zhong'shi'tou'jia
中速给料,zhong'su'gei'liao
中碎,zhong'sui
中心传动,zhong'xin'chuan'dong
中心传动式,zhong'xin'chuan'dong'shi
中心给料管,zhong'xin'gei'liao'guan
中心管,zhong'xin'guan
中心型,zhong'xin'xing
中心选煤厂,zhong'xin'xuan'mei'chang
中修,zhong'xiu
重液,zhong'ye
中粘煤,zhong'zhan'mei
周边齿条传动,zhou'bian'chi'tiao'chuan'dong
周边传动,zhou'bian'chuan'dong
周边传动式,zhou'bian'chuan'dong'shi
周边辊轮传动,zhou'bian'gun'lun'chuan'dong
轴计量,zhou'ji'liang
轴瓦,zhou'wa
主厂房,zhu'chang'fang
主动辊,zhu'dong'gun
铸胶,zhu'jiao
铸胶滚筒,zhu'jiao'gun'tong
主井,zhu'jing
逐块拉开滤板卸饼,zhu'kuai'la'kai'lv'ban'xie'bing
主梁,zhu'liang
贮料场,zhu'liao'chang
助滤剂,zhu'lv'ji
贮煤,zhu'mei
贮煤仓,zhu'mei'cang
柱塞,zhu'sai
铸石,zhu'shi
铸石槽箱刮板输送机,zhu'shi'cao'xiang'gua'ban'shu'song'ji
主洗,zhu'xi
主洗跳汰,zhu'xi'tiao'tai
主洗系统,zhu'xi'xi'tong
主洗重介,zhu'xi'zhong'jie
主洗作业,zhu'xi'zuo'ye
柱销,zhu'xiao
柱销联轴器,zhu'xiao'lian'zhou'qi
主选,zhu'xuan
主选跳汰,zhu'xuan'tiao'tai
主选系统,zhu'xuan'xi'tong
主选摇床,zhu'xuan'yao'chuang
主选重介,zhu'xuan'zhong'jie
主选作业,zhu'xuan'zuo'ye
主要技术经济指标,zhu'yao'ji'shu'jing'ji'zhi'biao
主要技术经济指标表,zhu'yao'ji'shu'jing'ji'zhi'biao'biao
主要设备订货表,zhu'yao'she'bei'ding'huo'biao
主要设备选型,zhu'yao'she'bei'xuan'xing
主要运输线,zhu'yao'yun'shu'xian
主再洗,zhu'zai'xi
抓斗,zhua'dou
抓斗门式起重机,zhua'dou'men'shi'qi'zhong'ji
抓斗式,zhua'dou'shi
转动架,zhuan'dong'jia
转动阻板,zhuan'dong'zu'ban
转鼓转,zhuan'gu'zhuan
转鼓锥角,zhuan'gu'zhui'jiao
转筒,zhuan'tong
转筒试验,zhuan'tong'shi'yan
转向架,zhuan'xiang'jia
转向架计量,zhuan'xiang'jia'ji'liang
转载点,zhuan'zai'dian
转子式,zhuan'zi'shi
转子式翻车机,zhuan'zi'shi'fan'che'ji
装车,zhuang'che
装车簸萁,zhuang'che'bo'qi
装车仓,zhuang'che'cang
装车点,zhuang'che'dian
装车溜槽,zhuang'che'liu'cao
装车能力,zhuang'che'neng'li
装车设备,zhuang'che'she'bei
装车系统,zhuang'che'xi'tong
装车闸门,zhuang'che'zha'men
装车站,zhuang'che'zhan
装料,zhuang'liao
装料孔,zhuang'liao'kong
装满系数,zhuang'man'xi'shu
装煤,zhuang'mei
装卸桥,zhuang'xie'qiao
装卸站,zhuang'xie'zhan
锥角,zhui'jiao
锥孔,zhui'kong
准备车间,zhun'bei'che'jian
准备筛分,zhun'bei'shai'fen
准备筛分车间,zhun'bei'shai'fen'che'jian
准备箱,zhun'bei'xiang
准轨,zhun'gui
准轨轨道衡,zhun'gui'gui'dao'heng
准轨直流工矿架线电机车,zhun'gui'zhi'liu'gong'kuang'jia'xian'dian'ji'che
自定中心式,zi'ding'zhong'xin'shi
自动采样,zi'dong'cai'yang
自动采样系统,zi'dong'cai'yang'xi'tong
自动冲洗滤布,zi'dong'chong'xi'lv'bu
自动化仪表,zi'dong'hua'yi'biao
自动化仪表专业,zi'dong'hua'yi'biao'zhuan'ye
自动化专业,zi'dong'hua'zhuan'ye
自动排液装置,zi'dong'pai'ye'zhuang'zhi
自动提耙,zi'dong'ti'ba
自磨机,zi'mo'ji
自然安息角,zi'ran'an'xi'jiao
自然级,zi'ran'ji
自生介质滚筒分选机,zi'sheng'jie'zhi'gun'tong'fen'xuan'ji
自同步,zi'tong'bu
自同步惯性振动给料机,zi'tong'bu'guan'xing'zhen'dong'gei'liao'ji
自卸式,zi'xie'shi
子样,zi'yang
自由沉降速度,zi'you'chen'jiang'su'du
自由齿辊,zi'you'chi'gun
自由膨胀序数,zi'you'peng'zhang'xu'shu
自由轴承,zi'you'zhou'cheng
总论,zong'lun
总平面布置,zong'ping'mian'bu'zhi
总平面设计,zong'ping'mian'she'ji
纵剖,zong'pou
纵剖图,zong'pou'tu
总图运输专业,zong'tu'yun'shu'zhuan'ye
总样,zong'yang
阻板,zu'ban
阻车器,zu'che'qi
组合号,zu'he'hao
组合筛分,zu'he'shai'fen
组数,zu'shu
钻孔桩,zuan'kong'zhuang
最大块度,zui'da'kuai'du
最终产品,zui'zhong'chan'pin
最终产品平衡表,zui'zhong'chan'pin'ping'heng'biao
最终精煤灰分,zui'zhong'jing'mei'hui'fen
最终筛分,zui'zhong'shai'fen
左式,zuo'shi
左式单孔脱水闸门,zuo'shi'dan'kong'tuo'shui'zha'men
