嗳气吞酸,ai'qi'tun'suan
小青龙汤最有功,xiao'qing'long'tang'zui'you'gong
消食和胃效堪夸,xiao'shi'he'wei'xiao'kan'kua
消栓颗粒,xiao'shuan'ke'li
消栓通络片,xiao'shuan'tong'luo'pian
消痛贴膏,xiao'tong'tie'gao
消炎利胆片,xiao'yan'li'dan'pian
逍遥散,xiao'yao'san
逍遥散用当归芍,xiao'yao'san'yong'dang'gui'shao
逍遥散用归芍柴,xiao'yao'san'yong'gui'shao'chai
逍遥丸,xiao'yao'wan
消症益肝片,xiao'zheng'yi'gan'pian
泻白散,xie'bai'san
泻白桑皮地骨皮,xie'bai'sang'pi'di'gu'pi
胁肋胀闷,xie'lei'zhang'men
泄利下重,xie'li'xia'zhong
协热下利,xie're'xia'li
协热下利喘汗除,xie're'xia'li'chuan'han'chu
邪热壅肺咳喘急,xie're'yong'fei'ke'chuan'ji
胁痛,xie'tong
泄泻,xie'xie
泄泻淋浊,xie'xie'lin'zhuo
邪在气分,xie'zai'qi'fen
心烦,xin'fan
心烦喜呕,xin'fan'xi'ou
心烦躁扰,xin'fan'zao'rao
新癀片,xin'huang'pian
心悸,xin'ji
心悸失眠,xin'ji'shi'mian
心悸怔忡,xin'ji'zheng'chong
心经火热证,xin'jing'huo're'zheng
心可舒胶囊,xin'ke'shu'jiao'nang
辛凉宣肺清热良,xin'liang'xuan'fei'qing're'liang
心脉通片,xin'mai'tong'pian
囟门不合,xin'men'bu'he
心脑康胶囊,xin'nao'kang'jiao'nang
心脾气血两虚证,xin'pi'qi'xue'liang'xu'zheng
心热移于小肠,xin're'yi'yu'xiao'chang
心肾不交,xin'shen'bu'jiao
心肾阳衰,xin'shen'yang'shuai
心舒宝片,xin'shu'bao'pian
心通口服液,xin'tong'kou'fu'ye
辛夏甘草和五味,xin'xia'gan'cao'he'wu'wei
心下满痛,xin'xia'man'tong
心下痞,xin'xia'pi
心下痞满,xin'xia'pi'man
心下痞硬,xin'xia'pi'ying
心胸烦热,xin'xiong'fan're
心虚惊悸,xin'xu'jing'ji
心血宁片,xin'xue'ning'pian
辛芷薄荷甘草羌,xin'zhi'bo'he'gan'cao'qiang
杏草石膏姜枣藏,xing'cao'shi'gao'jiang'zao'cang
行气和胃,xing'qi'he'wei
行气降逆,xing'qi'jiang'ni
行气散结,xing'qi'san'jie
行气止痛,xing'qi'zhi'tong
杏仁甘草四般施,xing'ren'gan'cao'si'ban'shi
杏苏散,xing'su'san
杏苏散内夏陈前,xing'su'san'nei'xia'chen'qian
熊胆胶囊,xiong'dan'jiao'nang
熊胆眼药水,xiong'dan'yan'yao'shui
胸膈满闷,xiong'ge'man'men
胸膈痞闷,xiong'ge'pi'men
胸膈胀闷,xiong'ge'zhang'men
胸满脘痛,xiong'man'wan'tong
胸闷不饥,xiong'men'bu'ji
胸闷腹胀,xiong'men'fu'zhang
胸闷口腻最有灵,xiong'men'kou'ni'zui'you'ling
胸闷脘痞,xiong'men'wan'pi
胸痞,xiong'pi
胸痞呕恶总能除,xiong'pi'ou'e'zong'neng'chu
胸痛,xiong'tong
胸脘痞闷,xiong'wan'pi'men
胸胁苦满,xiong'xie'ku'man
胸中血瘀证,xiong'zhong'xue'yu'zheng
虚而损之,xu'er'sun'zhi
虚烦不眠证多端,xu'fan'bu'mian'zheng'duo'duan
虚烦失眠,xu'fan'shi'mian
虚寒阴水效堪夸,xu'han'yin'shui'xiao'kan'kua
虚火上炎证,xu'huo'shang'yan'zheng
虚劳肺痿效如神,xu'lao'fei'wei'xiao'ru'shen
虚劳内伤功独擅,xu'lao'nei'shang'gong'du'shan
续名医类案,xu'ming'yi'lei'an
虚人,xu'ren
蓄水证,xu'shui'zheng
宣畅气机,xuan'chang'qi'ji
旋复代赭汤,xuan'fu'dai'zhe'tang
宣利肺气,xuan'li'fei'qi
玄参贝母桔甘藏,xuan'shen'bei'mu'ju'gan'cang
炫耀声名,xuan'yao'sheng'ming
眩晕,xuan'yun
眩晕耳鸣,xuan'yun'er'ming
眩晕宁,xuan'yun'ning
眩晕头痛风痰证,xuan'yun'tou'tong'feng'tan'zheng
血府当归生地桃,xue'fu'dang'gui'sheng'di'tao
血府逐瘀颗粒,xue'fu'zhu'yu'ke'li
血府逐瘀汤,xue'fu'zhu'yu'tang
血化下行不作劳,xue'hua'xia'xing'bu'zuo'lao
血家百病此方通,xue'jia'bai'bing'ci'fang'tong
血淋,xue'lin
血淋热结服之良,xue'lin're'jie'fu'zhi'liang
血脉荣卫之通塞,xue'mai'rong'wei'zhi'tong'sai
血尿胶囊,xue'niao'jiao'nang
血塞通软胶囊,xue'sai'tong'ruan'jiao'nang
血升胃热火邪干,xue'sheng'wei're'huo'xie'gan
薛氏医案,xue'shi'yi'an
血栓心脉宁胶囊,xue'shuan'xin'mai'ning'jiao'nang
血滞通胶囊,xue'zhi'tong'jiao'nang
血中瘀滞用桃红,xue'zhong'yu'zhi'yong'tao'hong
寻此贰途,xun'ci'er'tu
牙齿动摇,ya'chi'dong'yao
鸦胆子油口服乳液,ya'dan'zi'you'kou'fu'ru'ye
牙痛,ya'tong
牙痛齿枯宜煎尝,ya'tong'chi'ku'yi'jian'chang
延参健胃胶囊,yan'can'jian'wei'jiao'nang
咽干,yan'gan
咽干鼻燥,yan'gan'bi'zao
咽干口渴,yan'gan'kou'ke
咽干口燥,yan'gan'kou'zao
咽喉燥痛,yan'hou'zao'tong
炎可宁胶囊,yan'ke'ning'jiao'nang
咽立爽口含滴丸,yan'li'shuang'kou'han'di'wan
厌油腻食物,yan'you'ni'shi'wu
咽中如有物阻,yan'zhong'ru'you'wu'zu
阳明腑实证,yang'ming'fu'shi'zheng
阳明寒呕少阴利,yang'ming'han'ou'shao'yin'li
养胃颗粒,yang'wei'ke'li
养血安神,yang'xue'an'shen
养血清脑颗粒,yang'xue'qing'nao'ke'li
养阴明月加杞菊,yang'yin'ming'yue'jia'qi'ju
阳郁厥逆证,yang'yu'jue'ni'zheng
邀射名誉,yao'she'ming'yu
腰酸肢冷,yao'suan'zhi'leng
药虽相畏效相成,yao'sui'xiang'wei'xiao'xiang'cheng
腰疼脚弱,yao'teng'jiao'ruo
腰膝酸软,yao'xi'suan'ruan
腰膝酸痛,yao'xi'suan'tong
要须临事不惑,yao'xu'lin'shi'bu'huo
射干麻黄亦治水,ye'gan'ma'huang'yi'zhi'shui
夜寐不宁,ye'mei'bu'ning
亦不得瞻前顾后,yi'bu'de'zhan'qian'gu'hou
医部全录,yi'bu'quan'lu
医方集解,yi'fang'ji'jie
医方类聚,yi'fang'lei'ju
易感风邪,yi'gan'feng'xie
乙肝清热解毒片,yi'gan'qing're'jie'du'pian
一贯煎,yi'guan'jian
一贯煎中用地黄,yi'guan'jian'zhong'yong'di'huang
遗精,yi'jing
医林改错,yi'lin'gai'cuo
议论人物,yi'lun'ren'wu
益脉康片,yi'mai'kang'pian
益母草颗粒,yi'mu'cao'ke'li
益母草软胶囊,yi'mu'cao'ruan'jiao'nang
艺能之难精者也,yi'neng'zhi'nan'jing'zhe'ye
噫气不降心下痞,yi'qi'bu'jiang'xin'xia'pi
益气补血,yi'qi'bu'xue
益气固表止汗,yi'qi'gu'biao'zhi'han
以其混沌未分,yi'qi'hun'dun'wei'fen
益气健脾,yi'qi'jian'pi
益气生津,yi'qi'sheng'jin
一清胶囊,yi'qing'jiao'nang
益肾健骨片,yi'shen'jian'gu'pian
益肾蠲痹丸,yi'shen'juan'bi'wan
益肾灵胶囊,yi'shen'ling'jiao'nang
亦所不及也,yi'suo'bu'ji'ye
医效秘传,yi'xiao'mi'chuan
一心赴救,yi'xin'fu'jiu
益心胶囊,yi'xin'jiao'nang
益心丸,yi'xin'wan
医学心悟,yi'xue'xin'wu
益以茯苓甘草臣,yi'yi'fu'ling'gan'cao'chen
益以夏陈名六君,yi'yi'xia'chen'ming'liu'jun
亦有内异而外同,yi'you'nei'yi'er'wai'tong
意欲饮冷,yi'yu'yin'leng
亦治阳虚外感因,yi'zhi'yang'xu'wai'gan'yin
颐肿口渴,yi'zhong'kou'ke
茵陈蒿汤,yin'chen'hao'tang
茵陈蒿汤治阳黄,yin'chen'hao'tang'zhi'yang'huang
茵陈滑石木通菖,yin'chen'hua'shi'mu'tong'chang
茵陈四逆治阴黄,yin'chen'si'ni'zhi'yin'huang
茵胆平肝胶囊,yin'dan'ping'gan'jiao'nang
银丹心泰滴丸,yin'dan'xin'tai'di'wan
阴汗,yin'han
银黄含化片,yin'huang'han'hua'pian
引火归原热下趋,yin'huo'gui'yuan're'xia'qu
银翘散,yin'qiao'san
银翘散主上焦疴,yin'qiao'san'zhu'shang'jiao'ke
引热同归小便中,yin're'tong'gui'xiao'bian'zhong
饮水即呛,yin'shui'ji'qiang
饮邪上逆胸胁满,yin'xie'shang'ni'xiong'xie'man
银杏蜜环口服溶液,yin'xing'mi'huan'kou'fu'rong'ye
银杏叶滴丸,yin'xing'ye'di'wan
银杏叶片,yin'xing'ye'pian
阴虚肝郁是妙方,yin'xu'gan'yu'shi'miao'fang
阴虚火旺盗汗良,yin'xu'huo'wang'dao'han'liang
阴虚火旺自可煎,yin'xu'huo'wang'zi'ke'jian
阴虚血少,yin'xu'xue'shao
阴虚有火,yin'xu'you'huo
阴痒,yin'yang
阴阳报施,yin'yang'bao'shi
阴肿,yin'zhong
营血虚滞证,ying'xue'xu'zhi'zheng
用时先将葛根煮,yong'shi'xian'jiang'ge'gen'zhu
又不得以彼富贵,you'bu'de'yi'bi'fu'gui
又到病家,you'dao'bing'jia
有定处,you'ding'chu
有浮沉弦紧之乱,you'fu'chen'xian'jin'zhi'luan
有高下浅深之差,you'gao'xia'qian'shen'zhi'cha
有汗无汗均可尝,you'han'wu'han'jun'ke'chang
有厚薄刚柔之异,you'hou'bo'gang'rou'zhi'yi
由来尚已,you'lai'shang'yi
有身目发黄,you'shen'mu'fa'huang
欲得澄神内视,yu'de'cheng'shen'nei'shi
瘀点,yu'dian
玉机微义,yu'ji'wei'yi
于冥运道中,yu'ming'yun'dao'zhong
玉女煎,yu'nv'jian
玉女煎用熟地黄,yu'nv'jian'yong'shu'di'huang
玉屏风颗粒,yu'ping'feng'ke'li
玉屏风散,yu'ping'feng'san
玉屏风散最有灵,yu'ping'feng'san'zui'you'ling
玉泉丸,yu'quan'wan
语声低微,yu'sheng'di'wei
鱼腥草滴眼液,yu'xing'cao'di'yan'ye
郁郁微烦,yu'yu'wei'fan
玉竹甘花共合方,yu'zhu'gan'hua'gong'he'fang
郁阻于中焦,yu'zu'yu'zhong'jiao
元胡止痛胶囊,yuan'hu'zhi'tong'jiao'nang
怨亲善友,yuan'qin'shan'you
远志茯苓共养神,yuan'zhi'fu'ling'gong'yang'shen
月经超前,yue'jing'chao'qian
月经量多,yue'jing'liang'duo
孕康,yun'kang
云南白药胶囊,yun'nan'bai'yao'jiao'nang
再加附子更扶阳,zai'jia'fu'zi'geng'fu'yang
燥伤肺阴,zao'shang'fei'yin
燥湿化痰,zao'shi'hua'tan
燥湿运脾,zao'shi'yun'pi
燥湿运脾除胀满,zao'shi'yun'pi'chu'zhang'man
枣汤调服益脾神,zao'tang'tiao'fu'yi'pi'shen
则昂头戴面,ze'ang'tou'dai'mian
则市而用之,ze'shi'er'yong'zhi
泽泻白术与二苓,ze'xie'bai'zhu'yu'er'ling
泽泻蒸饼糊丸服,ze'xie'zheng'bing'hu'wan'fu
增液汤,zeng'ye'tang
增液玄参与地冬,zeng'ye'xuan'shen'yu'di'dong
障眼明片,zhang'yan'ming'pian
长幼妍蚩,zhang'you'yan'chi
张湛曰,zhang'zhan'yue
爪甲色淡,zhao'jia'se'dan
珍菊降压片,zhen'ju'jiang'ya'pian
贞芪扶正胶囊,zhen'qi'fu'zheng'jiao'nang
真武汤,zhen'wu'tang
真武汤壮肾中阳,zhen'wu'tang'zhuang'shen'zhong'yang
珍羞迭荐,zhen'xiu'die'jian
正柴胡饮颗粒,zheng'chai'hu'yin'ke'li
怔忡健忘俱可却,zheng'chong'jian'wang'ju'ke'que
正露丸,zheng'lu'wan
正偏头痛悉能康,zheng'pian'tou'tong'xi'neng'kang
正清风痛宁片,zheng'qing'feng'tong'ning'pian
正体类要,zheng'ti'lei'yao
正心泰胶囊,zheng'xin'tai'jiao'nang
证治准绳,zheng'zhi'zhun'sheng
知柏地黄丸,zhi'bai'di'huang'wan
脂必妥片,zhi'bi'tuo'pian
痔疮片,zhi'chuang'pian
志存救济,zhi'cun'jiu'ji
炙甘草汤,zhi'gan'cao'tang
炙甘草汤参姜桂,zhi'gan'cao'tang'can'jiang'gui
枳桔苓草姜枣研,zhi'ju'ling'cao'jiang'zao'yan
痔康片,zhi'kang'pian
止咳化痰,zhi'ke'hua'tan
治偏痛颗粒,zhi'pian'tong'ke'li
至人之所不为,zhi'ren'zhi'suo'bu'wei
只如鸡卵一物,zhi'ru'ji'luan'yi'wu
枳实导滞首大黄,zhi'shi'dao'zhi'shou'da'huang
枳实导滞丸,zhi'shi'dao'zhi'wan
枳实芩夏白芍将,zhi'shi'qin'xia'bai'shao'jiang
枳实易壳行气良,zhi'shi'yi'ke'xing'qi'liang
枳术宽中胶囊,zhi'shu'kuan'zhong'jiao'nang
止嗽散,zhi'sou'san
止嗽散内用桔梗,zhi'sou'san'nei'yong'jie'geng
肢酸咽痛,zhi'suan'yan'tong
肢体沉重,zhi'ti'chen'zhong
肢体浮肿,zhi'ti'fu'zhong
肢体倦怠,zhi'ti'juan'dai
肢体困重,zhi'ti'kun'zhong
痔血胶囊,zhi'xue'jiao'nang
至意深心,zhi'yi'shen'xin
至于爱命,zhi'yu'ai'ming
治在泻肝与实脾,zhi'zai'xie'gan'yu'shi'pi
枳竹陈皮加半枣,zhi'zhu'chen'pi'jia'ban'zao
栀子柏皮加甘草,zhi'zi'bai'pi'jia'gan'cao
栀子大黄组成方,zhi'zi'da'huang'zu'cheng'fang
栀子黄芩益毋草,zhi'zi'huang'qin'yi'wu'cao
仲景麻杏甘石汤,zhong'jing'ma'xing'gan'shi'tang
仲景旋覆代赭汤,zhong'jing'xuan'fu'dai'zhe'tang
肿痛安胶囊,zhong'tong'an'jiao'nang
中医内科杂病证治新义,zhong'yi'nei'ke'za'bing'zheng'zhi'xin'yi
重用生姜温胃好,zhong'yong'sheng'jiang'wen'wei'hao
晝夜寒暑,zhou'ye'han'shu
猪苓泽泻豆豉群,zhu'ling'ze'xie'dou'chi'qun
茱薯丹泽地苓专,zhu'shu'dan'ze'di'ling'zhuan
竹叶荆蒡豉薄荷,zhu'ye'jing'bang'chi'bo'he
逐瘀排脓,zhu'yu'pai'nong
主治湿温口不渴,zhu'zhi'shi'wen'kou'bu'ke
专心经略财物,zhuan'xin'jing'lue'cai'wu
壮骨伸筋胶囊,zhuang'gu'shen'jin'jiao'nang
壮热面赤,zhuang're'mian'chi
浊阴上逆证,zhuo'yin'shang'ni'zheng
滋补肝肾,zi'bu'gan'shen
自感多福者耳,zi'gan'duo'fu'zhe'er
自古明贤治病,zi'gu'ming'xian'zhi'bing
訾毁诸医,zi'hui'zhu'yi
自矜己德,zi'jin'ji'de
自虑吉凶,zi'lv'ji'xiong
兹乃人神之所共耻,zi'nai'ren'shen'zhi'suo'gong'chi
梓皮甘杏枣生姜,zi'pi'gan'xing'zao'sheng'jiang
滋肾阴,zi'shen'yin
紫苏散,zi'su'san
紫菀半夏加五味,zi'wan'ban'xia'jia'wu'wei
紫菀荆芥百部陈,zi'wan'jing'jie'bai'bu'chen
自眩功能,zi'xuan'gong'neng
滋养肺肾,zi'yang'fei'shen
滋阴都气五味先,zi'yin'dou'qi'wu'wei'xian
滋阴清热,zi'yin'qing're
滋阴疏肝,zi'yin'shu'gan
滋阴泻火,zi'yin'xie'huo
滋阴泻火兼顾表,zi'yin'xie'huo'jian'gu'biao
滋阴止血,zi'yin'zhi'xue
纵绮罗满目,zong'qi'luo'man'mu
足跟作痛,zu'gen'zuo'tong
祖师麻片,zu'shi'ma'pian
左归丸,zuo'gui'wan
