阿姆达尔定律,a'mu'da'er'ding'lv
直接耦合晶体管逻辑,zhi'jie'ou'he'jing'ti'guan'luo'ji
指令,zhi'ling
指令重试,zhi'ling'chong'shi
指令计数器,zhi'ling'ji'shu'qi
指令流,zhi'ling'liu
指令码,zhi'ling'ma
指令预取,zhi'ling'yu'qu
智能科学,zhi'neng'ke'xue
智能型交互式集成决策支持系统,zhi'neng'xing'jiao'hu'shi'ji'cheng'jue'ce'zhi'chi'xi'tong
知识表示方式,zhi'shi'biao'shi'fang'shi
知识处理,zhi'shi'chu'li
知识复杂性,zhi'shi'fu'za'xing
知识工程,zhi'shi'gong'cheng
知识交互式证明系统,zhi'shi'jiao'hu'shi'zheng'ming'xi'tong
知识库,zhi'shi'ku
知识图像编码,zhi'shi'tu'xiang'bian'ma
置信测度,zhi'xin'ce'du
执行机构,zhi'xing'ji'gou
执行时间,zhi'xing'shi'jian
执行主管,zhi'xing'zhu'guan
质子层析成像,zhi'zi'ceng'xi'cheng'xiang
重定时变换,zhong'ding'shi'bian'huan
中断,zhong'duan
中断寄存器,zhong'duan'ji'cun'qi
中断请求,zhong'duan'qing'qiu
中断向量,zhong'duan'xiang'liang
中断信号互连网络,zhong'duan'xin'hao'hu'lian'wang'luo
中间代码,zhong'jian'dai'ma
中间设备,zhong'jian'she'bei
中文语料库,zhong'wen'yu'liao'ku
中心词驱动短语结构语法,zhong'xin'ci'qu'dong'duan'yu'jie'gou'yu'fa
中心动词,zhong'xin'dong'ci
重心坐标,zhong'xin'zuo'biao
中央处理器,zhong'yang'chu'li'qi
周期,zhou'qi
周期窃取,zhou'qi'qie'qu
逐步求精,zhu'bu'qiu'jing
主从复制,zhu'cong'fu'zhi
主从计算机,zhu'cong'ji'suan'ji
主存储器,zhu'cun'chu'qi
主动威胁,zhu'dong'wei'xie
逐行扫描,zhu'hang'sao'miao
主机操作系统,zhu'ji'cao'zuo'xi'tong
主库,zhu'ku
主目录,zhu'mu'lu
主体体系结构,zhu'ti'ti'xi'jie'gou
注销,zhu'xiao
主轴,zhu'zhou
转换,zhuan'huan
专家系统工具,zhuan'jia'xi'tong'gong'ju
转轮密码,zhuan'lun'mi'ma
专线接入,zhuan'xian'jie'ru
转义,zhuan'yi
转移历史表,zhuan'yi'li'shi'biao
转移预测,zhuan'yi'yu'ce
专用词,zhuan'yong'ci
专用线路,zhuan'yong'xian'lu
装入例程,zhuang'ru'li'cheng
状态,zhuang'tai
状态方程,zhuang'tai'fang'cheng
状态机,zhuang'tai'ji
桌面出版系统,zhuo'mian'chu'ban'xi'tong
字并行位并行,zi'bing'xing'wei'bing'xing
子步,zi'bu
自测试,zi'ce'shi
子池队列,zi'chi'dui'lie
自顶向下测试,zi'ding'xiang'xia'ce'shi
自顶向下设计,zi'ding'xiang'xia'she'ji
自动测试,zi'dong'ce'shi
自动测试数据生成器,zi'dong'ce'shi'shu'ju'sheng'cheng'qi
自动电话翻译系统,zi'dong'dian'hua'fan'yi'xi'tong
自动绘图,zi'dong'hui'tu
自动送纸器,zi'dong'song'zhi'qi
自动同步器,zi'dong'tong'bu'qi
字符串,zi'fu'chuan
字符识别,zi'fu'shi'bie
字符输入设备,zi'fu'shu'ru'she'bei
子集,zi'ji
子集覆盖,zi'ji'fu'gai
子句,zi'ju
子类,zi'lei
字量,zi'liang
自描述,zi'miao'shu
子模式,zi'mo'shi
字母字符集,zi'mu'zi'fu'ji
字片,zi'pian
字驱动,zi'qu'dong
自然语言,zi'ran'yu'yan
自适应差分脉码调制,zi'shi'ying'cha'fen'mai'ma'tiao'zhi
自适应性,zi'shi'ying'xing
自适应子波,zi'shi'ying'zi'bo
子网,zi'wang
子网层次,zi'wang'ceng'ci
子系统,zi'xi'tong
字形编码,zi'xing'bian'ma
自寻优控制,zi'xun'you'kong'zhi
自由主体,zi'you'zhu'ti
资源重复,zi'yuan'chong'fu
资源管理,zi'yuan'guan'li
自展,zi'zhan
综合测试,zong'he'ce'shi
总线结构,zong'xian'jie'gou
总线鼠标器,zong'xian'shu'biao'qi
总线网,zong'xian'wang
纵向磁记录,zong'xiang'ci'ji'lu
纵向冗余检验,zong'xiang'rong'yu'jian'yan
组合磁头,zu'he'ci'tou
组合曲线,zu'he'qu'xian
阻抗匹配,zu'kang'pi'pei
阻塞状态,zu'se'zhuang'tai
阻止本地计费,zu'zhi'ben'di'ji'fei
最大开路线长度,zui'da'kai'lu'xian'chang'du
最低保护,zui'di'bao'hu
最佳适配法,zui'jia'shi'pei'fa
最近使用字词先见,zui'jin'shi'yong'zi'ci'xian'jian
最近最少使用替换算法,zui'jin'zui'shao'shi'yong'ti'huan'suan'fa
最小高阈值输入电压,zui'xiao'gao'yu'zhi'shu'ru'dian'ya
最优控制,zui'you'kong'zhi
最优性,zui'you'xing
左匹配,zuo'pi'pei
作业录入,zuo'ye'lu'ru
