阿党相为,a'dang'xiang'wei
黔突暖席,qian'tu'nuan'xi
前挽后推,qian'wan'hou'tui
千万买邻,qian'wan'mai'lin
前无古人,qian'wu'gu'ren
纤悉无遗,qian'xi'wu'yi
千辛万苦,qian'xin'wan'ku
谦虚谨慎,qian'xu'jin'shen
前言不搭后语,qian'yan'bu'da'hou'yu
千岩竞秀,qian'yan'jing'xiu
千岩万壑,qian'yan'wan'he
千言万语,qian'yan'wan'yu
牵羊担酒,qian'yang'dan'jiu
前仰后合,qian'yang'hou'he
牵一发而动全身,qian'yi'fa'er'dong'quan'shen
潜移默化,qian'yi'mo'hua
前因后果,qian'yin'hou'guo
千载难逢,qian'zai'nan'feng
千载一时,qian'zai'yi'shi
浅斟低唱,qian'zhen'di'chang
千真万确,qian'zhen'wan'que
谦尊而光,qian'zun'er'guang
强本节用,qiang'ben'jie'yong
强不知以为知,qiang'bu'zhi'yi'wei'zhi
强词夺理,qiang'ci'duo'li
墙倒众人推,qiang'dao'zhong'ren'tui
强而后可,qiang'er'hou'ke
强干弱枝,qiang'gan'ruo'zhi
强弓劲弩,qiang'gong'jin'nu
强聒不舍,qiang'guo'bu'she
强奸民意,qiang'jian'min'yi
强将手下无弱兵,qiang'jiang'shou'xia'wu'ruo'bing
枪林弹雨,qiang'lin'dan'yu
强龙不压地头蛇,qiang'long'bu'ya'di'tou'she
强弩之末,qiang'nu'zhi'mo
强人所难,qiang'ren'suo'nan
强死强活,qiang'si'qiang'huo
墙头马上,qiang'tou'ma'shang
羌无故实,qiang'wu'gu'shi
强颜欢笑,qiang'yan'huan'xiao
强中更有强中手,qiang'zhong'geng'you'qiang'zhong'shou
强作解人,qiang'zuo'jie'ren
敲边鼓,qiao'bian'gu
敲冰求火,qiao'bing'qiu'huo
巧不可阶,qiao'bu'ke'jie
巧夺天工,qiao'duo'tian'gong
巧发奇中,qiao'fa'qi'zhong
巧妇难为无米之炊,qiao'fu'nan'wei'wu'mi'zhi'chui
敲骨吸髓,qiao'gu'xi'sui
桥归桥路归路,qiao'gui'qiao'lu'gui'lu
敲金击石,qiao'jin'ji'shi
巧立名目,qiao'li'ming'mu
乔龙画虎,qiao'long'hua'hu
敲门砖,qiao'men'zhuan
乔迁之喜,qiao'qian'zhi'xi
巧取豪夺,qiao'qu'hao'duo
巧舌如簧,qiao'she'ru'huang
樵苏不爨,qiao'su'bu'cuan
巧同造化,qiao'tong'zao'hua
巧伪趋利,qiao'wei'qu'li
巧言令色,qiao'yan'ling'se
巧言偏辞,qiao'yan'pian'ci
巧言如簧,qiao'yan'ru'huang
敲诈勒索,qiao'zha'le'suo
敲竹杠,qiao'zhu'gang
乔装打扮,qiao'zhuang'da'ban
翘足而待,qiao'zu'er'dai
翘足引领,qiao'zu'yin'ling
切齿腐心,qie'chi'fu'xin
切齿痛恨,qie'chi'tong'hen
砌词捏控,qie'ci'nie'kong
切磋琢磨,qie'cuo'zhuo'mo
锲而不舍,qie'er'bu'she
怯防勇战,qie'fang'yong'zhan
切肤之痛,qie'fu'zhi'tong
窃钩窃国,qie'gou'qie'guo
窃钩者诛窃国者侯,qie'gou'zhe'zhu'qie'guo'zhe'hou
切骨之仇,qie'gu'zhi'chou
窃据要津,qie'ju'yao'jin
挈瓶之知,qie'ping'zhi'zhi
切切此布,qie'qie'ci'bu
窃窃私议,qie'qie'si'yi
切切私语,qie'qie'si'yu
窃窃私语,qie'qie'si'yu
怯声怯气,qie'sheng'qie'qi
切树倒根,qie'shu'dao'gen
窃位素餐,qie'wei'su'can
惬心贵当,qie'xin'gui'dang
窃玉偷香,qie'yu'tou'xiang
切中时弊,qie'zhong'shi'bi
且住为佳,qie'zhu'wei'jia
寝不安席,qin'bu'an'xi
钦差大臣,qin'cha'da'chen
琴断朱弦,qin'duan'zhu'xian
琴剑飘零,qin'jian'piao'ling
秦晋之好,qin'jin'zhi'hao
秦镜高悬,qin'jing'gao'xuan
禽困覆车,qin'kun'fu'che
秦楼楚馆,qin'lou'chu'guan
亲密无间,qin'mi'wu'jian
勤能补拙,qin'neng'bu'zhuo
沁人心脾,qin'ren'xin'pi
亲如骨肉,qin'ru'gu'rou
亲如手足,qin'ru'shou'zu
琴瑟调和,qin'se'diao'he
琴瑟之好,qin'se'zhi'hao
寝苫枕块,qin'shan'zhen'kuai
寝食不安,qin'shi'bu'an
螓首蛾眉,qin'shou'e'mei
秦庭之哭,qin'ting'zhi'ku
亲痛仇快,qin'tong'chou'kuai
禽息鸟视,qin'xi'niao'shi
琴心剑胆,qin'xin'jian'dan
勤学苦练,qin'xue'ku'lian
衾影无惭,qin'ying'wu'can
秦越肥瘠,qin'yue'fei'ji
擒贼先擒王,qin'zei'xian'qin'wang
情不可却,qing'bu'ke'que
情不自禁,qing'bu'zi'jin
倾肠倒肚,qing'chang'dao'du
倾巢出动,qing'chao'chu'dong
倾巢而出,qing'chao'er'chu
轻车简从,qing'che'jian'cong
轻车熟路,qing'che'shu'lu
清尘浊水,qing'chen'zhuo'shui
倾城倾国,qing'cheng'qing'guo
轻重倒置,qing'chong'dao'zhi
轻重缓急,qing'chong'huan'ji
青出于蓝,qing'chu'yu'lan
庆吊不行,qing'diao'bu'xing
情窦初开,qing'dou'chu'kai
倾耳而听,qing'er'er'ting
轻而易举,qing'er'yi'ju
倾耳注目,qing'er'zhu'mu
清风峻节,qing'feng'jun'jie
清风两袖,qing'feng'liang'xiu
清风明月,qing'feng'ming'yue
庆父不死鲁难未已,qing'fu'bu'si'lu'nan'wei'yi
轻歌曼舞,qing'ge'man'wu
清宫除道,qing'gong'chu'dao
清官能断家务事,qing'guan'neng'duan'jia'wu'shi
清规戒律,qing'gui'jie'lv
倾国倾城,qing'guo'qing'cheng
青红皂白,qing'hong'zao'bai
青黄不接,qing'huang'bu'jie
情急智生,qing'ji'zhi'sheng
倾家荡产,qing'jia'dang'chan
情见乎辞,qing'jian'hu'ci
情见势屈,qing'jian'shi'qu
情景交融,qing'jing'jiao'rong
清净无为,qing'jing'wu'wei
轻举妄动,qing'ju'wang'dong
轻举远游,qing'ju'yuan'you
请君入瓮,qing'jun'ru'weng
青林黑塞,qing'lin'hei'sai
轻虑浅谋,qing'lv'qian'mou
青梅竹马,qing'mei'zhu'ma
青面獠牙,qing'mian'liao'ya
轻描淡写,qing'miao'dan'xie
轻诺寡信,qing'nuo'gua'xin
倾盆大雨,qing'pen'da'yu
青钱万选,qing'qian'wan'xuan
卿卿我我,qing'qing'wo'wo
轻裘肥马,qing'qiu'fei'ma
轻裘缓带,qing'qiu'huan'dai
情人眼里出西施,qing'ren'yan'li'chu'xi'shi
青山不老,qing'shan'bu'lao
青山一发,qing'shan'yi'fa
情深潭水,qing'shen'tan'shui
轻视傲物,qing'shi'ao'wu
青史传名,qing'shi'chuan'ming
轻手轻脚,qing'shou'qing'jiao
情恕理遣,qing'shu'li'qian
情随事迁,qing'sui'shi'qian
清汤寡水,qing'tang'gua'shui
青天白日,qing'tian'bai'ri
情天孽海,qing'tian'nie'hai
晴天霹雳,qing'tian'pi'li
青天霹雳,qing'tian'pi'li
蜻蜓点水,qing'ting'dian'shui
蜻蜓撼石柱,qing'ting'han'shi'zhu
情同骨肉,qing'tong'gu'rou
情同手足,qing'tong'shou'zu
情投意合,qing'tou'yi'he
倾箱倒箧,qing'xiang'dao'qie
青鞋布袜,qing'xie'bu'wa
清心寡欲,qing'xin'gua'yu
清新俊逸,qing'xin'jun'yi
倾心吐胆,qing'xin'tu'dan
倾摇懈弛,qing'yao'xie'chi
清夜扪心,qing'ye'men'xin
清音幽韵,qing'yin'you'yun
青蝇点素,qing'ying'dian'su
青蝇吊客,qing'ying'diao'ke
情有可原,qing'you'ke'yuan
轻于鸿毛,qing'yu'hong'mao
青云直上,qing'yun'zhi'shang
情至意尽,qing'zhi'yi'jin
青州从事,qing'zhou'cong'shi
磬竹难书,qing'zhu'nan'shu
轻装上阵,qing'zhuang'shang'zhen
请自隗始,qing'zi'kui'shi
青紫被体,qing'zi'pi'ti
轻嘴薄舌,qing'zui'bo'she
穷兵黩武,qiong'bing'du'wu
穷不失义,qiong'bu'shi'yi
琼厨金穴,qiong'chu'jin'xue
穷大失居,qiong'da'shi'ju
穷当益坚,qiong'dang'yi'jian
穷而后工,qiong'er'hou'gong
穷极思变,qiong'ji'si'bian
穷极无聊,qiong'ji'wu'liao
琼浆玉液,qiong'jiang'yu'ye
穷寇勿追,qiong'kou'wu'zhui
穷困潦倒,qiong'kun'liao'dao
穷理尽性,qiong'li'jin'xing
琼林玉树,qiong'lin'yu'shu
琼楼玉宇,qiong'lou'yu'yu
穷年累月,qiong'nian'lei'yue
穷鸟入怀,qiong'niao'ru'huai
茕茕孑立形影相吊,qiong'qiong'jie'li'xing'ying'xiang'diao
穷泉朽壤,qiong'quan'xiu'rang
跫然足音,qiong'ran'zu'yin
穷山恶水,qiong'shan'e'shui
穷奢极侈,qiong'she'ji'chi
穷奢极欲,qiong'she'ji'yu
穷鼠啮狸,qiong'shu'nie'li
穷途末路,qiong'tu'mo'lu
穷途之哭,qiong'tu'zhi'ku
穷巷陋室,qiong'xiang'lou'shi
穷乡僻壤,qiong'xiang'pi'rang
穷形尽相,qiong'xing'jin'xiang
穷凶极恶,qiong'xiong'ji'e
穷阎漏屋,qiong'yan'lou'wu
穷猿奔林,qiong'yuan'ben'lin
穷源竟委,qiong'yuan'jing'wei
穷源朔流,qiong'yuan'shuo'liu
穷猿投林,qiong'yuan'tou'lin
穷则思变,qiong'ze'si'bian
琼枝玉叶,qiong'zhi'yu'ye
裘弊金尽,qiu'bi'jin'jin
求大同存小异,qiu'da'tong'cun'xiao'yi
秋风过耳,qiu'feng'guo'er
秋风扫落叶,qiu'feng'sao'luo'ye
秋风团扇,qiu'feng'tuan'shan
秋高气爽,qiu'gao'qi'shuang
秋毫无犯,qiu'hao'wu'fan
秋毫之末,qiu'hao'zhi'mo
求浆得酒,qiu'jiang'de'jiu
裘马轻肥,qiu'ma'qing'fei
求马唐肆,qiu'ma'tang'si
求亲靠友,qiu'qin'kao'you
求全责备,qiu'quan'ze'bei
求全之毁,qiu'quan'zhi'hui
求人不如求己,qiu'ren'bu'ru'qiu'ji
求仁得仁,qiu'ren'de'ren
秋色平分,qiu'se'ping'fen
秋扇见捐,qiu'shan'jian'juan
丘山之功,qiu'shan'zhi'gong
求神问卜,qiu'shen'wen'bu
囚首垢面,qiu'shou'gou'mian
秋水伊人,qiu'shui'yi'ren
求田问舍,qiu'tian'wen'she
求同存异,qiu'tong'cun'yi
秋荼密网,qiu'tu'mi'wang
求贤若渴,qiu'xian'ruo'ke
秋月春风,qiu'yue'chun'feng
秋月春花,qiu'yue'chun'hua
求之不得,qiu'zhi'bu'de
祛病延年,qu'bing'yan'nian
取长补短,qu'chang'bu'duan
去粗取精,qu'cu'qu'jing
屈打成招,qu'da'cheng'zhao
取而代之,qu'er'dai'zhi
曲高和寡,qu'gao'he'gua
屈高就下,qu'gao'jiu'xia
屈蠖求伸,qu'huo'qiu'shen
屈节辱命,qu'jie'ru'ming
曲尽其妙,qu'jin'qi'miao
曲径通幽,qu'jing'tong'you
取精用弘,qu'jing'yong'hong
曲里拐弯,qu'li'guai'wan
去末归本,qu'mo'gui'ben
取巧图便,qu'qiao'tu'bian
区区之众,qu'qu'zhi'zhong
去泰去甚,qu'tai'qu'shen
曲突徙薪,qu'tu'xi'xin
去伪存真,qu'wei'cun'zhen
区闻陬见,qu'wen'zou'jian
取辖投井,qu'xia'tou'jing
取信于民,qu'xin'yu'min
屈艳班香,qu'yan'ban'xiang
趋炎附势,qu'yan'fu'shi
驱羊攻虎,qu'yang'gong'hu
曲意逢迎,qu'yi'feng'ying
取予有节,qu'yu'you'jie
取之不尽用之不竭,qu'zhi'bu'jin'yong'zhi'bu'jie
屈指可数,qu'zhi'ke'shu
趋之若鹜,qu'zhi'ruo'wu
曲终奏雅,qu'zhong'zou'ya
去住两难,qu'zhu'liang'nan
劝百讽一,quan'bai'feng'yi
拳不离手曲不离口,quan'bu'li'shou'qu'bu'li'kou
拳打脚踢,quan'da'jiao'ti
犬吠之警,quan'fei'zhi'jing
全功尽弃,quan'gong'jin'qi
全国一盘棋,quan'guo'yi'pan'qi
权衡轻重,quan'heng'qing'chong
全军覆没,quan'jun'fu'mei
全军覆灭,quan'jun'fu'mie
圈牢养物,quan'lao'yang'wu
全力以赴,quan'li'yi'fu
犬马之报,quan'ma'zhi'bao
犬马之劳,quan'ma'zhi'lao
犬马之养,quan'ma'zhi'yang
拳拳服膺,quan'quan'fu'ying
拳拳之枕,quan'quan'zhi'zhen
劝善惩恶,quan'shan'cheng'e
全神贯注,quan'shen'guan'zhu
泉石膏肓,quan'shi'gao'huang
全始全终,quan'shi'quan'zhong
全受全归,quan'shou'quan'gui
拳头上立得人胳膊上走得马,quan'tou'shang'li'de'ren'ge'bo'shang'zou'de'ma
犬兔俱毙,quan'tu'ju'bi
全无心肝,quan'wu'xin'gan
全心全意,quan'xin'quan'yi
犬牙交错,quan'ya'jiao'cuo
犬牙相错,quan'ya'xiang'cuo
犬牙相制,quan'ya'xiang'zhi
权宜之计,quan'yi'zhi'ji
全智全能,quan'zhi'quan'neng
全知全能,quan'zhi'quan'neng
拳中掿沙,quan'zhong'nuo'sha
鹊巢鸠占,que'chao'jiu'zhan
确乎不拔,que'hu'bu'ba
雀屏中选,que'ping'zhong'xuan
确切不移,que'qie'bu'yi
雀鼠之争,que'shu'zhi'zheng
鹊笑鸠舞,que'xiao'jiu'wu
雀小脏全,que'xiao'zang'quan
确凿不移,que'zao'bu'yi
却之不恭,que'zhi'bu'gong
群策群力,qun'ce'qun'li
群雌粥粥,qun'ci'zhou'zhou
裙带关系,qun'dai'guan'xi
群而不党,qun'er'bu'dang
群鸿戏海,qun'hong'xi'hai
裙屐少年,qun'ji'shao'nian
群空冀北,qun'kong'ji'bei
群龙无首,qun'long'wu'shou
群魔乱舞,qun'mo'luan'wu
群起而攻之,qun'qi'er'gong'zhi
群起效尤,qun'qi'xiao'you
群情鼎沸,qun'qing'ding'fei
群轻折轴,qun'qing'zhe'zhou
群威群胆,qun'wei'qun'dan
群蚁附膻,qun'yi'fu'shan
染苍染黄,ran'cang'ran'huang
然荻读书,ran'di'du'shu
燃糠自照,ran'kang'zi'zhao
燃眉之急,ran'mei'zhi'ji
攘来熙往,rang'lai'xi'wang
穰穰满家,rang'rang'man'jia
让枣推梨,rang'zao'tui'li
饶有风趣,rao'you'feng'qu
热熬翻饼,re'ao'fan'bing
惹草拈花,re'cao'nian'hua
热锅上的蚂蚁,re'guo'shang'de'ma'yi
热火朝天,re'huo'chao'tian
惹火烧身,re'huo'shao'shen
热泪盈眶,re'lei'ying'kuang
惹事生非,re'shi'sheng'fei
热血沸腾,re'xue'fei'teng
人百其身,ren'bai'qi'shen
人不知鬼不觉,ren'bu'zhi'gui'bu'jue
人才辈出,ren'cai'bei'chu
人才济济,ren'cai'ji'ji
人财两空,ren'cai'liang'kong
任重才轻,ren'chong'cai'qing
任重道远,ren'chong'dao'yuan
任重至远,ren'chong'zhi'yuan
人存政举,ren'cun'zheng'ju
任达不拘,ren'da'bu'ju
人地生疏,ren'di'sheng'shu
人定胜天,ren'ding'sheng'tian
人多势众,ren'duo'shi'zhong
人多手杂,ren'duo'shou'za
人多嘴杂,ren'duo'zui'za
人而无信不知其可,ren'er'wu'xin'bu'zhi'qi'ke
人非木石,ren'fei'mu'shi
人非圣贤孰能无过,ren'fei'sheng'xian'shu'neng'wu'guo
人浮于事,ren'fu'yu'shi
人给家足,ren'gei'jia'zu
人欢马叫,ren'huan'ma'jiao
人己一视,ren'ji'yi'shi
人急智生,ren'ji'zhi'sheng
人间重晚晴,ren'jian'chong'wan'qing
人间地狱,ren'jian'di'yu
仁浆义粟,ren'jiang'yi'su
人杰地灵,ren'jie'di'ling
人尽其才,ren'jin'qi'cai
忍俊不禁,ren'jun'bu'jin
人困马乏,ren'kun'ma'fa
任劳任怨,ren'lao'ren'yuan
人老珠黄,ren'lao'zhu'huang
人面兽心,ren'mian'shou'xin
人面桃花,ren'mian'tao'hua
人民城郭,ren'min'cheng'guo
人命关天,ren'ming'guan'tian
人命危浅,ren'ming'wei'qian
人莫予毒,ren'mo'yu'du
认奴作郞,ren'nu'zuo'lang
人怕出名猪怕壮,ren'pa'chu'ming'zhu'pa'zhuang
忍气吞声,ren'qi'tun'sheng
人弃我取,ren'qi'wo'qu
任其自流,ren'qi'zi'liu
任其自然,ren'qi'zi'ran
人强马壮,ren'qiang'ma'zhuang
人琴俱亡,ren'qin'ju'wang
人情冷暖,ren'qing'leng'nuan
人情世故,ren'qing'shi'gu
人穷志短,ren'qiong'zhi'duan
人穷智短,ren'qiong'zhi'duan
人去楼空,ren'qu'lou'kong
人取我与,ren'qu'wo'yu
人人得而诛之,ren'ren'de'er'zhu'zhi
人人皆知,ren'ren'jie'zhi
任人唯亲,ren'ren'wei'qin
任人唯贤,ren'ren'wei'xian
仁人志士,ren'ren'zhi'shi
人人自危,ren'ren'zi'wei
忍辱负重,ren'ru'fu'chong
忍辱含垢,ren'ru'han'gou
忍辱含羞,ren'ru'han'xiu
忍辱偷生,ren'ru'tou'sheng
人山人海,ren'shan'ren'hai
人神共愤,ren'shen'gong'fen
人声鼎沸,ren'sheng'ding'fei
人生路不熟,ren'sheng'lu'bu'shu
人生如朝露,ren'sheng'ru'chao'lu
人生如寄,ren'sheng'ru'ji
人事代谢,ren'shi'dai'xie
人寿年丰,ren'shou'nian'feng
人手一册,ren'shou'yi'ce
人死留名,ren'si'liu'ming
人同此心心同此理,ren'tong'ci'xin'xin'tong'ci'li
人头畜鸣,ren'tou'chu'ming
人亡物在,ren'wang'wu'zai
人亡政息,ren'wang'zheng'xi
人为财死鸟为食亡,ren'wei'cai'si'niao'wei'shi'wang
人为刀俎我为鱼肉,ren'wei'dao'zu'wo'wei'yu'rou
人微权轻,ren'wei'quan'qing
人微言轻,ren'wei'yan'qing
忍无可忍,ren'wu'ke'ren
人无远虑必有近忧,ren'wu'yuan'lv'bi'you'jin'you
任贤使能,ren'xian'shi'neng
人心不古,ren'xin'bu'gu
人心不足蛇吞象,ren'xin'bu'zu'she'tun'xiang
人心归向,ren'xin'gui'xiang
忍心害理,ren'xin'hai'li
人心惶惶,ren'xin'huang'huang
人心齐泰山移,ren'xin'qi'tai'shan'yi
仁心仁术,ren'xin'ren'shu
仁心仁闻,ren'xin'ren'wen
人心如面,ren'xin'ru'mian
人心所向,ren'xin'suo'xiang
人心惟危,ren'xin'wei'wei
人心向背,ren'xin'xiang'bei
人烟稠密,ren'yan'chou'mi
人言藉藉,ren'yan'ji'ji
人言可畏,ren'yan'ke'wei
仁言利博,ren'yan'li'bo
人言啧啧,ren'yan'ze'ze
人仰马翻,ren'yang'ma'fan
仁义道德,ren'yi'dao'de
人一己百,ren'yi'ji'bai
仁义君子,ren'yi'jun'zi
人以群分,ren'yi'qun'fen
刃迎缕解,ren'ying'lv'jie
忍尤含垢,ren'you'han'gou
人欲横流,ren'yu'heng'liu
人云亦云,ren'yun'yi'yun
认贼为子,ren'zei'wei'zi
认贼作父,ren'zei'zuo'fu
仁者见仁智者见智,ren'zhe'jian'ren'zhi'zhe'jian'zhi
人之常情,ren'zhi'chang'qing
人之将死其言也善,ren'zhi'jiang'si'qi'yan'ye'shan
仁至义尽,ren'zhi'yi'jin
人中骐骥,ren'zhong'qi'ji
人众胜天,ren'zhong'sheng'tian
人中狮子,ren'zhong'shi'zi
人中之龙,ren'zhong'zhi'long
人自为战,ren'zi'wei'zhan
日薄西山,ri'bo'xi'shan
日不暇给,ri'bu'xia'gei
日不移晷,ri'bu'yi'gui
日长一线,ri'chang'yi'xian
日东月西,ri'dong'yue'xi
日复一日,ri'fu'yi'ri
日旰忘餐,ri'gan'wang'can
日计不足岁计有余,ri'ji'bu'zu'sui'ji'you'yu
日积月累,ri'ji'yue'lei
日居月诸,ri'ji'yue'zhu
日近长安远,ri'jin'chang'an'yuan
日久见人心,ri'jiu'jian'ren'xin
日久天长,ri'jiu'tian'chang
日就月将,ri'jiu'yue'jiang
日理万机,ri'li'wan'ji
日暮途穷,ri'mu'tu'qiong
日暮途远,ri'mu'tu'yuan
日上三竿,ri'shang'san'gan
日甚一日,ri'shen'yi'ri
日升月恒,ri'sheng'yue'heng
日省月试,ri'sheng'yue'shi
日食万钱,ri'shi'wan'qian
日往月来,ri'wang'yue'lai
日无暇晷,ri'wu'xia'gui
日下无双,ri'xia'wu'shuang
日削月割,ri'xiao'yue'ge
日削月朘,ri'xiao'yue'juan
日新月异,ri'xin'yue'yi
日以继夜,ri'yi'ji'ye
日月参辰,ri'yue'can'chen
日月重光,ri'yue'chong'guang
日月蹉跎,ri'yue'cuo'tuo
日月合壁,ri'yue'he'bi
日月交食,ri'yue'jiao'shi
日月经天江河行地,ri'yue'jing'tian'jiang'he'xing'di
日月丽天,ri'yue'li'tian
日月入怀,ri'yue'ru'huai
日月如梭,ri'yue'ru'suo
日中必彗,ri'zhong'bi'hui
日中为市,ri'zhong'wei'shi
日中则昃,ri'zhong'ze'ze
日转千阶,ri'zhuan'qian'jie
日坐愁城,ri'zuo'chou'cheng
冗词赘句,rong'ci'zhui'ju
容光焕发,rong'guang'huan'fa
荣华富贵,rong'hua'fu'gui
融会贯通,rong'hui'guan'tong
戎马倥偬,rong'ma'kong'zong
容头过身,rong'tou'guo'shen
容膝之安一肉之味,rong'xi'zhi'an'yi'rou'zhi'wei
荣谐伉俪,rong'xie'kang'li
荣宗耀祖,rong'zong'yao'zu
肉薄骨并,rou'bo'gu'bing
柔肠百结,rou'chang'bai'jie
柔茹刚吐,rou'ru'gang'tu
肉山脯林,rou'shan'pu'lin
肉食者鄙,rou'shi'zhe'bi
肉袒面缚,rou'tan'mian'fu
肉袒牵羊,rou'tan'qian'yang
肉跳心惊,rou'tiao'xin'jing
柔心弱骨,rou'xin'ruo'gu
肉眼凡胎,rou'yan'fan'tai
肉眼惠眉,rou'yan'hui'mei
肉中刺,rou'zhong'ci
如臂使指,ru'bi'shi'zhi
入不敷出,ru'bu'fu'chu
如不胜衣,ru'bu'sheng'yi
如痴如醉,ru'chi'ru'zui
乳臭未干,ru'chou'wei'gan
如出一口,ru'chu'yi'kou
如出一辙,ru'chu'yi'zhe
如此而已,ru'ci'er'yi
如蹈汤火,ru'dao'tang'huo
如登春台,ru'deng'chun'tai
乳犊不怕虎,ru'du'bu'pa'hu
如堕五里雾中,ru'duo'wu'li'wu'zhong
如堕烟海,ru'duo'yan'hai
如法炮制,ru'fa'pao'zhi
如风过耳,ru'feng'guo'er
如鲠在喉,ru'geng'zai'hou
入国问俗,ru'guo'wen'su
如虎添翼,ru'hu'tian'yi
如花似锦,ru'hua'si'jin
如花似玉,ru'hua'si'yu
如火燎原,ru'huo'liao'yuan
如火如荼,ru'huo'ru'tu
如获至宝,ru'huo'zhi'bao
如饥似渴,ru'ji'si'ke
如见肺肝,ru'jian'fei'gan
乳间股脚,ru'jian'gu'jiao
如箭在弦,ru'jian'zai'xian
如胶如漆,ru'jiao'ru'qi
如胶似漆,ru'jiao'si'qi
如解倒悬,ru'jie'dao'xuan
入井望天,ru'jing'wang'tian
入境问禁,ru'jing'wen'jin
茹苦含辛,ru'ku'han'xin
如狼牧羊,ru'lang'mu'yang
如狼似虎,ru'lang'si'hu
如雷贯耳,ru'lei'guan'er
如临大敌,ru'lin'da'di
如临深渊,ru'lin'shen'yuan
如履薄冰,ru'lv'bo'bing
如芒在背,ru'mang'zai'bei
茹毛饮血,ru'mao'yin'xue
入门问讳,ru'men'wen'hui
如梦初醒,ru'meng'chu'xing
如梦方醒,ru'meng'fang'xing
入木三分,ru'mu'san'fen
入幕之宾,ru'mu'zhi'bin
如鸟兽散,ru'niao'shou'san
如牛负重,ru'niu'fu'chong
如弃敝屣,ru'qi'bi'xi
如泣如诉,ru'qi'ru'su
入情入理,ru'qing'ru'li
如丘而止,ru'qiu'er'zhi
如人饮水冷暖自知,ru'ren'yin'shui'leng'nuan'zi'zhi
如日方升,ru'ri'fang'sheng
如日方中,ru'ri'fang'zhong
如日中天,ru'ri'zhong'tian
茹柔吐刚,ru'rou'tu'gang
如入无人之境,ru'ru'wu'ren'zhi'jing
如丧考妣,ru'sang'kao'bi
入圣超凡,ru'sheng'chao'fan
入室操戈,ru'shi'cao'ge
如释重负,ru'shi'chong'fu
如拾地芥,ru'shi'di'jie
如是我闻,ru'shi'wo'wen
如手如足,ru'shou'ru'zu
如数家珍,ru'shu'jia'zhen
如水赴壑,ru'shui'fu'he
如水投石,ru'shui'tou'shi
如汤沃雪,ru'tang'wo'xue
入铁主簿,ru'tie'zhu'bu
如闻其声如见其人,ru'wen'qi'sheng'ru'jian'qi'ren
入吾彀中,ru'wu'gou'zhong
入乡随俗,ru'xiang'sui'su
如兄如弟,ru'xiong'ru'di
如埙如箎,ru'xun'ru'chi
如蚁附膻,ru'yi'fu'shan
如意算盘,ru'yi'suan'pan
如饮醍醐,ru'yin'ti'hu
如应斯响,ru'ying'si'xiang
如影随形,ru'ying'sui'xing
如蝇逐臭,ru'ying'zhu'chou
如鱼得水,ru'yu'de'shui
如愿以偿,ru'yuan'yi'chang
如运诸掌,ru'yun'zhu'zhang
如振落叶,ru'zhen'luo'ye
入主出奴,ru'zhu'chu'nu
如锥画沙,ru'zhui'hua'sha
孺子可教,ru'zi'ke'jiao
如醉方醒,ru'zui'fang'xing
如醉如痴,ru'zui'ru'chi
如坐春风,ru'zuo'chun'feng
如左右手,ru'zuo'you'shou
如坐云雾,ru'zuo'yun'wu
如坐针毡,ru'zuo'zhen'zhan
软红十丈,ruan'hong'shi'zhang
软红香土,ruan'hong'xiang'tu
阮囊羞涩,ruan'nang'xiu'se
软硬兼施,ruan'ying'jian'shi
软玉温香,ruan'yu'wen'xiang
锐不可当,rui'bu'ke'dang
若敖鬼馁,ruo'ao'gui'nei
弱不好弄,ruo'bu'hao'nong
弱不禁风,ruo'bu'jin'feng
弱不胜衣,ruo'bu'sheng'yi
若存若亡,ruo'cun'ruo'wang
若即若离,ruo'ji'ruo'li
若明若暗,ruo'ming'ruo'an
弱肉强食,ruo'rou'qiang'shi
弱水之隔,ruo'shui'zhi'ge
若无其事,ruo'wu'qi'shi
若要人不知除非己莫为,ruo'yao'ren'bu'zhi'chu'fei'ji'mo'wei
若隐若现,ruo'yin'ruo'xian
若有所失,ruo'you'suo'shi
若有所思,ruo'you'suo'si
撒娇撒痴,sa'jiao'sa'chi
飒爽英姿,sa'shuang'ying'zi
撒水拿鱼,sa'shui'na'yu
三百六十行,san'bai'liu'shi'xing
三班六房,san'ban'liu'fang
散兵游勇,san'bing'you'yong
三曹对案,san'cao'dui'an
三差两错,san'cha'liang'cuo
三茶六饭,san'cha'liu'fan
三长两短,san'chang'liang'duan
三朝元老,san'chao'yuan'lao
三从四德,san'cong'si'de
三寸不烂之舌,san'cun'bu'lan'zhi'she
三寸鸟七寸嘴,san'cun'niao'qi'cun'zui
三寸之舌,san'cun'zhi'she
三迭阳关,san'die'yang'guan
三对六面,san'dui'liu'mian
三翻四复,san'fan'si'fu
三番五次,san'fan'wu'ci
三分鼎足,san'fen'ding'zu
三坟五典,san'fen'wu'dian
三复斯言,san'fu'si'yan
三纲五常,san'gang'wu'chang
三个臭皮匠赛过诸葛亮,san'ge'chou'pi'jiang'sai'guo'zhu'ge'liang
三更半夜,san'geng'ban'ye
三姑六婆,san'gu'liu'po
三顾茅庐,san'gu'mao'lu
三过其门而不入,san'guo'qi'men'er'bu'ru
三户亡秦,san'hu'wang'qin
三皇五帝,san'huang'wu'di
三魂七魄,san'hun'qi'po
三缄其口,san'jian'qi'kou
三教九流,san'jiao'jiu'liu
