安胎养血先为主,an'tai'yang'xue'xian'wei'zhu
芩连栀子郁砂并,qin'lian'zhi'zi'yu'sha'bing
芩苓姜汁为糊丸,qin'ling'jiang'zhi'wei'hu'wan
秦皮连柏苦寒方,qin'pi'lian'bai'ku'han'fang
芩翘贝母射干薄,qin'qiao'bei'mu'she'gan'bo
芩芍芎归甘草半,qin'shao'xiong'gui'gan'cao'ban
芩夏石斛同甘枳,qin'xia'shi'hu'tong'gan'zhi
芩枳枇杷石斛伦,qin'zhi'pi'pa'shi'hu'lun
青陈星夏菔苏攒,qing'chen'xing'xia'fu'su'cuan
青黛蜜丸口噙化,qing'dai'mi'wan'kou'qin'hua
清骨散,qing'gu'san
清骨散用银柴胡,qing'gu'san'yong'yin'chai'hu
青蒿鳖甲汤,qing'hao'bie'jia'tang
青蒿鳖甲知地丹,qing'hao'bie'jia'zhi'di'dan
清魂散,qing'hun'san
清魂散用泽兰叶,qing'hun'san'yong'ze'lan'ye
轻可去实因无汗,qing'ke'qu'shi'yin'wu'han
清空膏,qing'kong'gao
清空芎草柴芩连,qing'kong'xiong'cao'chai'qin'lian
青宁还同糯米煎,qing'ning'hai'tong'nuo'mi'jian
青皮橘皮加轻粉,qing'pi'ju'pi'jia'qing'fen
青皮灵脂复元阳,qing'pi'ling'zhi'fu'yuan'yang
清脾饮,qing'pi'yin
清脾饮用青朴柴,qing'pi'yin'yong'qing'pu'chai
青朴夏榔苍术着,qing'pu'xia'lang'cang'zhu'zhe
清气化痰丸,qing'qi'hua'tan'wan
清气化痰星夏橘,qing'qi'hua'tan'xing'xia'ju
清热利湿固兼驱,qing're'li'shi'gu'jian'qu
清热破结补虚痊,qing're'po'jie'bu'xu'quan
轻撒鞋吉行远道,qing'sa'xie'ji'xing'yuan'dao
清升浊降鼻渊瘥,qing'sheng'zhuo'jiang'bi'yuan'chai
清暑益气参草芪,qing'shu'yi'qi'can'cao'qi
清暑益气汤,qing'shu'yi'qi'tang
清胃散,qing'wei'san
清胃散用升麻连,qing'wei'san'yong'sheng'ma'lian
清瘟败毒地连芩,qing'wen'bai'du'di'lian'qin
清瘟败毒散,qing'wen'bai'du'san
清心莲子石莲参,qing'xin'lian'zi'shi'lian'can
清心莲子饮,qing'xin'lian'zi'yin
清咽太平薄荷芎,qing'yan'tai'ping'bo'he'xiong
清咽太平丸,qing'yan'tai'ping'wan
清燥二术与黄芪,qing'zao'er'shu'yu'huang'qi
清燥救肺参草杷,qing'zao'jiu'fei'can'cao'pa
清燥救肺汤,qing'zao'jiu'fei'tang
清燥汤,qing'zao'tang
清震汤,qing'zhen'tang
清震汤治雷头风,qing'zhen'tang'zhi'lei'tou'feng
青州白丸星夏并,qing'zhou'bai'wan'xing'xia'bing
青州白丸子,qing'zhou'bai'wan'zi
琼玉膏,qiong'yu'gao
琼玉膏中生地黄,qiong'yu'gao'zhong'sheng'di'huang
秋燥耗伤肺胃液,qiu'zao'hao'shang'fei'wei'ye
曲柏葛根苍白术,qu'bai'ge'gen'cang'bai'shu
去参加入木香枳,qu'can'jia'ru'mu'xiang'zhi
去参名为败毒散,qu'can'ming'wei'bai'du'san
去茯加芪芩断联,qu'fu'jia'qi'qin'duan'lian
曲糊为丸麦汤下,qu'hu'wei'wan'mai'tang'xia
曲糊作丸米饮下,qu'hu'zuo'wan'mi'yin'xia
曲麦山楂葛杏附,qu'mai'shan'zha'ge'xing'fu
祛痰补气阳虚饵,qu'tan'bu'qi'yang'xu'er
祛痰逐秽及惊风,qu'tan'zhu'hui'ji'jing'feng
去膝地生温热痊,qu'xi'di'sheng'wen're'quan
热多阳疟此方佳,re'duo'yang'nue'ci'fang'jia
热结膀胱少腹胀,re'jie'pang'guang'shao'fu'zhang
热渴暑烦泻痢保,re'ke'shu'fan'xie'li'bao
热六合汤栀连益,re'lu'he'tang'zhi'lian'yi
热甚栀芩次第施,re'shen'zhi'qin'ci'di'shi
热盛阳明入母膏,re'sheng'yang'ming'ru'mu'gao
热泻热痢服之安,re'xie're'li'fu'zhi'an
热邪滞下切难施,re'xie'zhi'xia'qie'nan'shi
热因寒用妙义深,re'yin'han'yong'miao'yi'shen
人参败毒茯苓草,ren'shen'bai'du'fu'ling'cao
人参败毒散,ren'shen'bai'du'san
人参附子椒姜继,ren'shen'fu'zi'jiao'jiang'ji
人参甘草川芎协,ren'shen'gan'cao'chuan'xiong'xie
人参枸杞和龟鹿,ren'shen'gou'qi'he'gui'lu
人参荆芥散,ren'shen'jing'jie'san
人参荆芥散熟地,ren'shen'jing'jie'san'shu'di
妊娠六合汤,ren'shen'lu'he'tang
人参芩麦茯苓存,ren'shen'qin'mai'fu'ling'cun
妊娠水肿肢浮胀,ren'shen'shui'zhong'zhi'fu'zhang
人参乌药及槟沉,ren'shen'wu'yao'ji'bin'chen
人参养营即十全,ren'shen'yang'ying'ji'shi'quan
人参养营汤,ren'shen'yang'ying'tang
妊娠转胞参术饮,ren'shen'zhuan'bao'can'shu'yin
仍用术芍煎汤下,reng'yong'shu'shao'jian'tang'xia
仍有苍术防风剂,reng'you'cang'zhu'fang'feng'ji
仍有桂枝大黄汤,reng'you'gui'zhi'da'huang'tang
仍有藿薷香葛传,reng'you'huo'ru'xiang'ge'chuan
肉蔻当归桂木香,rou'kou'dang'gui'gui'mu'xiang
肉蔻五味四般须,rou'kou'wu'wei'si'ban'xu
如狂蓄血最相宜,ru'kuang'xu'xue'zui'xiang'yi
乳没朱雄轻粉俦,ru'mei'zhu'xiong'qing'fen'chou
如圣散,ru'sheng'san
如圣乌梅棕炭姜,ru'sheng'wu'mei'zong'tan'jiang
乳香没药桂心添,ru'xiang'mei'yao'gui'xin'tian
软脚散,ruan'jiao'san
软脚散中芎芷防,ruan'jiao'san'zhong'xiong'zhi'fang
润肠丸,run'chang'wan
润肠丸用归尾羌,run'chang'wan'yong'gui'wei'qiang
润肠泻热真堪倚,run'chang'xie're'zhen'kan'yi
润下丸仅陈皮草,run'xia'wan'jin'chen'pi'cao
润血疏血燥湿安,run'xue'shu'xue'zao'shi'an
若除独活芎蔓草,ruo'chu'du'huo'xiong'man'cao
若非表里相兼治,ruo'fei'biao'li'xiang'jian'zhi
若还后重兼气滞,ruo'hai'hou'zhong'jian'qi'zhi
若合小柴名柴平,ruo'he'xiao'chai'ming'chai'ping
若加竹茹与枳实,ruo'jia'zhu'ru'yu'zhi'shi
若将川芎易白术,ruo'jiang'chuan'xiong'yi'bai'zhu
若名休疟脾无虚,ruo'ming'xiu'nue'pi'wu'xu
若去寄生加芪续,ruo'qu'ji'sheng'jia'qi'xu
若吐虚烦栀豉汤,ruo'tu'xu'fan'zhi'chi'tang
若以白术易苍术,ruo'yi'bai'zhu'yi'cang'zhu
若云热盛加黄连,ruo'yun're'sheng'jia'huang'lian
若云三黄石膏汤,ruo'yun'san'huang'shi'gao'tang
若云三妙膝须添,ruo'yun'san'miao'xi'xu'tian
若作食伤医更错,ruo'zuo'shi'shang'yi'geng'cuo
三般加入用随宜,san'ban'jia'ru'yong'sui'yi
三般皆煅漏崩良,san'ban'jie'duan'lou'beng'liang
三参桔梗朱砂味,san'can'jie'geng'zhu'sha'wei
散寒燥湿斯为贵,san'han'zao'shi'si'wei'gui
三黄石膏芩柏连,san'huang'shi'gao'qin'bai'lian
三黄石膏汤,san'huang'shi'gao'tang
三焦表里相兼治,san'jiao'biao'li'xiang'jian'zhi
三皆生用木香听,san'jie'sheng'yong'mu'xiang'ting
散逆止痛能和营,san'ni'zhi'tong'neng'he'ying
三拗只用麻甘杏,san'niu'zhi'yong'ma'gan'xing
散痞调经用各充,san'pi'tiao'jing'yong'ge'chong
散热培阴表里和,san're'pei'yin'biao'li'he
三仁汤,san'ren'tang
三仁杏蔻薏苡仁,san'ren'xing'kou'yi'yi'ren
三生饮,san'sheng'yin
三生馀用乌附星,san'sheng'yu'yong'wu'fu'xing
三物香薷豆朴先,san'wu'xiang'ru'dou'pu'xian
三物香薷饮,san'wu'xiang'ru'yin
三阳解表益姜葱,san'yang'jie'biao'yi'jiang'cong
三阴寒厥见奇勋,san'yin'han'jue'jian'qi'xun
三阴厥逆太阳沉,san'yin'jue'ni'tai'yang'chen
散郁除蒸功最奇,san'yu'chu'zheng'gong'zui'qi
散肿溃坚汤,san'zhong'kui'jian'tang
散肿溃坚知柏连,san'zhong'kui'jian'zhi'bai'lian
三子养亲痰火方,san'zi'yang'qin'tan'huo'fang
三子养亲汤,san'zi'yang'qin'tang
桑菊饮,sang'ju'yin
桑菊饮中桔梗翘,sang'ju'yin'zhong'jie'geng'qiao
桑皮贝母瓜蒌子,sang'pi'bei'mu'gua'lou'zi
桑皮苓草紫苏供,sang'pi'ling'cao'zi'su'gong
桑螵蛸散,sang'piao'xiao'san
桑螵蛸散治便数,sang'piao'xiao'san'zhi'bian'shu
桑叶菊花鲜地黄,sang'ye'ju'hua'xian'di'huang
色黑后期连附商,se'hei'hou'qi'lian'fu'shang
涩精秘气滑遗无,se'jing'mi'qi'hua'yi'wu
砂黛薄荷加之好,sha'dai'bo'he'jia'zhi'hao
砂仁草果乌梅暨,sha'ren'cao'guo'wu'mei'ji
砂仁黄柏草和丸,sha'ren'huang'bai'cao'he'wan
砂仁加入积消痊,sha'ren'jia'ru'ji'xiao'quan
砂仁连柏二苓俱,sha'ren'lian'bai'er'ling'ju
沙参麦冬饮,sha'shen'mai'dong'yin
沙参麦冬饮豆桑,sha'shen'mai'dong'yin'dou'sang
晒露糊丸姜薄引,shai'lu'hu'wan'jiang'bo'yin
疝气方用荔枝核,shan'qi'fang'yong'li'zhi'he
山药甘莲砂薏仁,shan'yao'gan'lian'sha'yi'ren
山药糊丸便数需,shan'yao'hu'wan'bian'shu'xu
山楂二两便糖入,shan'zha'er'liang'bian'tang'ru
伤寒表虚地骨桂,shang'han'biao'xu'di'gu'gui
伤寒服此汗淋漓,shang'han'fu'ci'han'lin'li
伤寒两感差堪慰,shang'han'liang'gan'cha'kan'wei
伤寒伤暑用须明,shang'han'shang'shu'yong'xu'ming
上盛下虚可镇宅,shang'sheng'xia'xu'ke'zhen'zhai
伤湿身痛与腰冷,shang'shi'shen'tong'yu'yao'leng
上中下通用痛风方,shang'zhong'xia'tong'yong'tong'feng'fang
上中下通用之听,shang'zhong'xia'tong'yong'zhi'ting
芍草茯苓川芎茹,shao'cao'fu'ling'chuan'xiong'ru
少腹逐瘀汤,shao'fu'zhu'yu'tang
少腹逐瘀芎炮姜,shao'fu'zhu'yu'xiong'pao'jiang
少入薄荷姜枣服,shao'ru'bo'he'jiang'zao'fu
少阳百病此为宗,shao'yang'bai'bing'ci'wei'zong
少阳柴胡黄芩入,shao'yang'chai'hu'huang'qin'ru
芍药甘草姜枣同,shao'yao'gan'cao'jiang'zao'tong
芍药黄芩合自良,shao'yao'huang'qin'he'zi'liang
芍药芩连与锦纹,shao'yao'qin'lian'yu'jin'wen
芍药汤,shao'yao'tang
芍药枳实甘草须,shao'yao'zhi'shi'gan'cao'xu
少阴反热曷能康,shao'yin'fan're'he'neng'kang
少阴腹痛有水气,shao'yin'fu'tong'you'shui'qi
少佐辰砂木香麝,shao'zuo'chen'sha'mu'xiang'she
神白散,shen'bai'san
神白散用白芷甘,shen'bai'san'yong'bai'zhi'gan
参附汤,shen'fu'tang
参附汤疗汗自流,shen'fu'tang'liao'han'zi'liu
参苓白蜜炼膏尝,shen'ling'bai'mi'lian'gao'chang
参苓白术扁豆陈,shen'ling'bai'zhu'bian'dou'chen
参苓白术散,shen'ling'bai'zhu'san
参苓连柏草陈皮,shen'ling'lian'bai'cao'chen'pi
参苓五味阿胶偶,shen'ling'wu'wei'e'jiao'ou
参芪橘柏及干姜,shen'qi'ju'bai'ji'gan'jiang
神曲干姜兼泽泻,shen'qu'gan'jiang'jian'ze'xie
神术散,shen'shu'san
神术散用甘草苍,shen'shu'san'yong'gan'cao'cang
参苏饮,shen'su'yin
参苏饮内用陈皮,shen'su'yin'nei'yong'chen'pi
神犀丹,shen'xi'dan
神犀丹内用犀芩,shen'xi'dan'nei'yong'xi'qin
肾阳脱汗此方求,shen'yang'tuo'han'ci'fang'qiu
神造汤中须蟹爪,shen'zao'tang'zhong'xu'xie'zhua
肾着汤,shen'zhe'tang
肾着汤内用干姜,shen'zhe'tang'nei'yong'gan'jiang
身重汗出服之良,shen'zhong'han'chu'fu'zhi'liang
升柴参草当归身,sheng'chai'can'cao'dang'gui'shen
升柴马勃连翘陈,sheng'chai'ma'bo'lian'qiao'chen
升柴翘葛兼甘桔,sheng'chai'qiao'ge'jian'gan'ju
生地车前泽泻偕,sheng'di'che'qian'ze'xie'xie
升葛参芪黄柏并,sheng'ge'shen'qi'huang'bai'bing
生化汤,sheng'hua'tang
生化汤宜产后尝,sheng'hua'tang'yi'chan'hou'chang
生姜干葛李根加,sheng'jiang'gan'ge'li'gen'jia
升麻苍术两般充,sheng'ma'cang'zhu'liang'ban'chong
升麻葛根汤,sheng'ma'ge'gen'tang
升麻葛根汤钱氏,sheng'ma'ge'gen'tang'qian'shi
升麻升清以降浊,sheng'ma'sheng'qing'yi'jiang'zhuo
升麻泽泻姜枣随,sheng'ma'ze'xie'jiang'zao'sui
生脉麦味与人参,sheng'mai'mai'wei'yu'ren'shen
生脉散,sheng'mai'san
声嘶气惫酒喝尝,sheng'si'qi'bei'jiu'he'chang
升阳举经姜栀芍,sheng'yang'ju'jing'jiang'zhi'shao
升阳散火葛升麻,sheng'yang'san'huo'ge'sheng'ma
升阳散火汤,sheng'yang'san'huo'tang
升阳益胃参术芪,sheng'yang'yi'wei'can'shu'qi
升阳益胃汤,sheng'yang'yi'wei'tang
生炙二草加姜枣,sheng'zhi'er'cao'jia'jiang'zao
石膏柴胡人参草,shi'gao'chai'hu'ren'shen'cao
石膏归芍苓甘术,shi'gao'gui'shao'ling'gan'shu
石膏胶杏麦芝麻,shi'gao'jiao'xing'mai'zhi'ma
石膏粳米参甘麦,shi'gao'jing'mi'can'gan'mai
石膏知母麦冬全,shi'gao'zhi'mu'mai'dong'quan
石膏栀子藿香充,shi'gao'zhi'zi'huo'xiang'chong
石斛蛇床篦至要,shi'hu'she'chuang'bi'zhi'yao
失精梦遗封髓丹,shi'jing'meng'yi'feng'sui'dan
实脾苓术与木瓜,shi'pi'ling'shu'yu'mu'gua
实脾饮,shi'pi'yin
时气毒疠及疟痢,shi'qi'du'li'ji'nue'li
湿气在表头腰重,shi'qi'zai'biao'tou'yao'zhong
十全除却芪地草,shi'quan'chu'que'qi'di'cao
十全大补补方雄,shi'quan'da'bu'bu'fang'xiong
十全大补加附子,shi'quan'da'bu'jia'fu'zi
湿热积滞力能攘,shi're'ji'zhi'li'neng'rang
湿热轻宣此法良,shi're'qing'xuan'ci'fa'liang
湿热全除病自痊,shi're'quan'chu'bing'zi'quan
十神汤,shi'shen'tang
十神汤里葛升麻,shi'shen'tang'li'ge'sheng'ma
柿霜甘桔及防风,shi'shuang'gan'ju'ji'fang'feng
湿温初起法堪遵,shi'wen'chu'qi'fa'kan'zun
失笑蒲黄及五灵,shi'xiao'pu'huang'ji'wu'ling
失笑散,shi'xiao'san
时邪感冒郊堪夸,shi'xie'gan'mao'jiao'kan'kua
十枣汤,shi'zao'tang
十枣汤中遂戟花,shi'zao'tang'zhong'sui'ji'hua
实者枳壳易人参,shi'zhe'zhi'ke'yi'ren'shen
首乌甘草正未弱,shou'wu'gan'cao'zheng'wei'ruo
术参扁豆同甘草,shu'can'bian'dou'tong'gan'cao
熟地淮药及山萸,shu'di'huai'yao'ji'shan'yu
熟地鹿胶姜炭桂,shu'di'lu'jiao'jiang'tan'gui
暑烦热渴脉虚寻,shu'fan're'ke'mai'xu'xun
术甘姜枣共煎尝,shu'gan'jiang'zao'gong'jian'chang
熟料尤增温散功,shu'liao'you'zeng'wen'san'gong
术芍参甘为涩剂,shu'shao'can'gan'wei'se'ji
术芍芎归及子芩,shu'shao'xiong'gui'ji'zi'qin
暑为阴证此所谓,shu'wei'yin'zheng'ci'suo'wei
暑疫湿温为末尝,shu'yi'shi'wen'wei'mo'chang
疏凿槟榔及商陆,shu'zao'bing'lang'ji'shang'lu
疏凿饮子,shu'zao'yin'zi
鼠粘甘草杏糯停,shu'zhan'gan'cao'xing'nuo'ting
水酒合煎露一宵,shui'jiu'he'jian'lu'yi'xiao
水用甘澜扬百遍,shui'yong'gan'lan'yang'bai'bian
水蛭虻虫共合方,shui'zhi'meng'chong'gong'he'fang
顺风匀气散,shun'feng'yun'qi'san
顺风匀气术乌沉,shun'feng'yun'qi'shu'wu'chen
顺气生津嗽哽宁,shun'qi'sheng'jin'sou'geng'ning
顺气消食化痰丸,shun'qi'xiao'shi'hua'tan'wan
说与时师好审量,shuo'yu'shi'shi'hao'shen'liang
四君子汤,si'jun'zi'tang
四君子汤中和义,si'jun'zi'tang'zhong'he'yi
四两黄芪为主药,si'liang'huang'qi'wei'zhu'yao
四磨汤,si'mo'tang
四磨亦治七情侵,si'mo'yi'zhi'qi'qing'qin
四逆散,si'ni'san
四逆散里用柴胡,si'ni'san'li'yong'chai'hu
四逆汤,si'ni'tang
四逆汤中姜附草,si'ni'tang'zhong'jiang'fu'cao
四七汤,si'qi'tang
四七汤理七情气,si'qi'tang'li'qi'qing'qi
四神故纸吴茱萸,si'shen'gu'zhi'wu'zhu'yu
四神丸,si'shen'wan
四生丸,si'sheng'wan
四生丸用三般叶,si'sheng'wan'yong'san'ban'ye
四时感冒有奇功,si'shi'gan'mao'you'qi'gong
四兽果梅入六君,si'shou'guo'mei'ru'liu'jun
四物地芍与归芎,si'wu'di'shao'yu'gui'xiong
四物汤,si'wu'tang
四物为君妙义长,si'wu'wei'jun'miao'yi'chang
搜风顺气大黄蒸,sou'feng'shun'qi'da'huang'zheng
搜风顺气丸,sou'feng'shun'qi'wan
苏合香丸,su'he'xiang'wan
苏合香丸麝息香,su'he'xiang'wan'she'xi'xiang
酥蜜膏酒,su'mi'gao'jiu
酥蜜膏酒用饴糖,su'mi'gao'jiu'yong'yi'tang
苏杏黄芩兼甘草,su'xing'huang'qin'jian'gan'cao
苏叶薄荷与柿霜,su'ye'bo'he'yu'shi'shuang
苏叶茱萸桔梗姜,su'ye'zhu'yu'jie'geng'jiang
苏子降气橘半归,su'zi'jiang'qi'ju'ban'gui
苏子降气汤,su'zi'jiang'qi'tang
酸枣鳖羚桂术甘,suan'zao'bie'ling'gui'shu'gan
酸枣麻甘十味详,suan'zao'ma'gan'shi'wei'xiang
酸枣木香和甘草,suan'zao'mu'xiang'he'gan'cao
酸枣木香龙眼肉,suan'zao'mu'xiang'long'yan'rou
遂戟芫花又木香,sui'ji'yuan'hua'you'mu'xiang
损伤瘀血酒煎祛,sun'shang'yu'xue'jiu'jian'qu
缩脾饮,suo'pi'yin
缩脾饮用清暑气,suo'pi'yin'yong'qing'shu'qi
缩泉益智同乌药,suo'quan'yi'zhi'tong'wu'yao
胎动血漏腹痛全,tai'dong'xue'lou'fu'tong'quan
胎动血漏名胶艾,tai'dong'xue'lou'ming'jiao'ai
苔光干咳此堪尝,tai'guang'gan'ke'ci'kan'chang
泰山磐石八珍全,tai'shan'pan'shi'ba'zhen'quan
泰山磐石饮,tai'shan'pan'shi'yin
太无神术即平胃,tai'wu'shen'shu'ji'ping'wei
太阳如疟此为功,tai'yang'ru'nue'ci'wei'gong
太阳无汗代麻黄,tai'yang'wu'han'dai'ma'huang
太阳无汗兼烦躁,tai'yang'wu'han'jian'fan'zao
太阳有汗此为良,tai'yang'you'han'ci'wei'liang
太乙玉枢名又别,tai'yi'yu'shu'ming'you'bie
太阴痰厥头痛良,tai'yin'tan'jue'tou'tong'liang
痰多加用胆星好,tan'duo'jia'yong'dan'xing'hao
痰迷舌强服之醒,tan'mi'she'jiang'fu'zhi'xing
痰湿流连一服驱,tan'shi'liu'lian'yi'fu'qu
痰涎呕痛尽能纾,tan'xian'ou'tong'jin'neng'shu
汤名三痹古方珍,tang'ming'san'bi'gu'fang'zhen
汤名温胆可宁神,tang'ming'wen'dan'ke'ning'shen
汤头歌诀清汪昂,tang'tou'ge'jue'qing'wang'ang
倘因乳少猪蹄用,tang'yin'ru'shao'zhu'ti'yong
桃花汤,tao'hua'tang
桃花汤用石脂宜,tao'hua'tang'yong'shi'zhi'yi
桃仁承气汤,tao'ren'cheng'qi'tang
桃仁承气五般奇,tao'ren'cheng'qi'wu'ban'qi
桃仁地鳖大黄共,tao'ren'di'bie'da'huang'gong
桃仁二木酒糊合,tao'ren'er'mu'jiu'hu'he
桃仁红花归草濡,tao'ren'hong'hua'gui'cao'ru
桃仁红花及归芍,tao'ren'hong'hua'ji'gui'shao
桃仁红花龙胆草,tao'ren'hong'hua'long'dan'cao
桃仁红花在黄草,tao'ren'hong'hua'zai'huang'cao
桃仁麻仁及大黄,tao'ren'ma'ren'ji'da'huang
特蛎海蛸五倍同,te'li'hai'xiao'wu'bei'tong
天冬甘桔杏桑会,tian'dong'gan'ju'xing'sang'hui
天斛雄麻全蝎共,tian'hu'xiong'ma'quan'xie'gong
天台乌药木茴香,tian'tai'wu'yao'mu'hui'xiang
天台乌药散,tian'tai'wu'yao'san
天仙藤散,tian'xian'teng'san
天仙藤散治子气,tian'xian'teng'san'zhi'zi'qi
调经八味丹栀着,tiao'jing'ba'wei'dan'zhi'zhe
调经止痛是良方,tiao'jing'zhi'tong'shi'liang'fang
调胃承气汤,tiao'wei'cheng'qi'tang
调胃承气硝黄草,tiao'wei'cheng'qi'xiao'huang'cao
调胃诸方从此扩,tiao'wei'zhu'fang'cong'ci'kuo
调行水道妙通神,tiao'xing'shui'dao'miao'tong'shen
调中益气畅脾神,tiao'zhong'yi'qi'chang'pi'shen
铁器酸物勿沾牙,tie'qi'suan'wu'wu'zhan'ya
葶苈大枣亦可嘉,ting'li'da'zao'yi'ke'jia
停痰伏饮有嘉名,ting'tan'fu'yin'you'jia'ming
通草同煎亦妙方,tong'cao'tong'jian'yi'miao'fang
痛风湿热与痰血,tong'feng'shi're'yu'tan'xue
通关散用细辛皂,tong'guan'san'yong'xi'xin'zao
铜绿二矾寒水石,tong'lv'er'fan'han'shui'shi
痛泻要方,tong'xie'yao'fang
痛泻要方陈皮芍,tong'xie'yao'fang'chen'pi'shao
通心固肾浊精驱,tong'xin'gu'shen'zhuo'jing'qu
通阳复脉力能任,tong'yang'fu'mai'li'neng'ren
通幽汤,tong'you'tang
通幽汤中二地俱,tong'you'tang'zhong'er'di'ju
统治表里及三焦,tong'zhi'biao'li'ji'san'jiao
吐咳肺痈痰秽浊,tu'ke'fei'yong'tan'hui'zhuo
菟苓五味石莲末,tu'ling'wu'wei'shi'lian'mo
吐衄斑黄均可使,tu'nv'ban'huang'jun'ke'shi
菟丝牛膝茯苓俱,tu'si'niu'xi'fu'ling'ju
菟丝牛膝山茱仍,tu'si'niu'xi'shan'zhu'reng
吐泻烦渴温脾胃,tu'xie'fan'ke'wen'pi'wei
吐泻身凉立转阳,tu'xie'shen'liang'li'zhuan'yang
退热清心力更宏,tui're'qing'xin'li'geng'hong
颓疝痛顽盐酒吞,tui'shan'tong'wan'yan'jiu'tun
脱肛久痢早煎尝,tuo'gang'jiu'li'zao'jian'chang
托里定痛四物兼,tuo'li'ding'tong'si'wu'jian
托里定痛汤,tuo'li'ding'tong'tang
托里十补散,tuo'li'shi'bu'san
托里十补参芪芎,tuo'li'shi'bu'shen'qi'xiong
托里温中姜附羌,tuo'li'wen'zhong'jiang'fu'qiang
托里温中汤,tuo'li'wen'zhong'tang
外科疡毒总能消,wai'ke'yang'du'zong'neng'xiao
外台别有茯苓饮,wai'tai'bie'you'fu'ling'yin
外症虚寒色属阴,wai'zheng'xu'han'se'shu'yin
万灵归术与三乌,wan'ling'gui'shu'yu'san'wu
丸热汤寒治各殊,wan're'tang'han'zhi'ge'shu
万氏牛黄丸,wan'shi'niu'huang'wan
万氏牛黄丸最精,wan'shi'niu'huang'wan'zui'jing
顽痰怪症力能匡,wan'tan'guai'zheng'li'neng'kuang
顽痰胶固力能训,wan'tan'jiao'gu'li'neng'xun
丸用芩连砂朴实,wan'yong'qin'lian'sha'pu'shi
望梅丸,wang'mei'wan
望梅丸用盐梅肉,wang'mei'wan'yong'yan'mei'rou
痿痹足疾堪多服,wei'bi'zu'ji'kan'duo'fu
为末茶调或酒行,wei'mo'cha'tiao'huo'jiu'hang
为末茶调如膏服,wei'mo'cha'tiao'ru'gao'fu
为末等分米饮下,wei'mo'deng'fen'mi'yin'xia
胃热口疮并见功,wei're'kou'chuang'bing'jian'gong
胃弱气虚在所忌,wei'ruo'qi'xu'zai'suo'ji
为涩虚寒少阴利,wei'se'xu'han'shao'yin'li
为丸儿服自安然,wei'wan'er'fu'zi'an'ran
威喜丸,wei'xi'wan
威喜丸治血海寒,wei'xi'wan'zhi'xue'hai'han
卫阳不固须芪附,wei'yang'bu'gu'xu'qi'fu
温藏安蛔寒厥剂,wen'cang'an'hui'han'jue'ji
温毒发斑升翘长,wen'du'fa'ban'sheng'qiao'chang
温六合汤加芩术,wen'lu'he'tang'jia'qin'shu
温脾参附与干姜,wen'pi'can'fu'yu'gan'jiang
温脾汤,wen'pi'tang
温邪斑毒治神昏,wen'xie'ban'du'zhi'shen'hun
温邪暑疫有奇勋,wen'xie'shu'yi'you'qi'xun
瘟邪泻毒亦滋阴,wen'xie'xie'du'yi'zi'yin
温药下之妙异常,wen'yao'xia'zhi'miao'yi'chang
温中解表祛寒湿,wen'zhong'jie'biao'qu'han'shi
温中利湿酒伤珍,wen'zhong'li'shi'jiu'shang'zhen
五更肾泻火衰扶,wu'geng'shen'xie'huo'shuai'fu
无寒但渴服之灵,wu'han'dan'ke'fu'zhi'ling
五积散,wu'ji'san
五积散治五般积,wu'ji'san'zhi'wu'ban'ji
五淋散,wu'lin'san
五淋散用草栀仁,wu'lin'san'yong'cao'zhi'ren
五苓六一二方缀,wu'ling'liu'yi'er'fang'zhui
五苓散,wu'ling'san
五苓散治太阳腑,wu'ling'san'zhi'tai'yang'fu
乌梅草果槟榔聚,wu'mei'cao'guo'bing'lang'ju
乌梅姜枣同煎服,wu'mei'jiang'zao'tong'jian'fu
乌梅丸,wu'mei'wan
乌梅丸用细辛桂,wu'mei'wan'yong'xi'xin'gui
五磨饮子白酒斟,wu'mo'yin'zi'bai'jiu'zhen
五皮饮,wu'pi'yin
五皮饮用五般皮,wu'pi'yin'yong'wu'ban'pi
五味锁阳归杞子,wu'wei'suo'yang'gui'qi'zi
乌药舒郁兼除痛,wu'yao'shu'yu'jian'chu'tong
乌药顺气汤,wu'yao'shun'qi'tang
乌药顺气芎芷姜,wu'yao'shun'qi'xiong'zhi'jiang
芜荑诃鹤木香当,wu'yi'he'he'mu'xiang'dang
五汁安中姜梨藕,wu'zhi'an'zhong'jiang'li'ou
吴茱萸汤,wu'zhu'yu'tang
吴茱萸汤人参枣,wu'zhu'yu'tang'ren'shen'zao
犀冰白术沉香附,xi'bing'bai'zhu'chen'xiang'fu
犀黄蚕草钩藤良,xi'huang'can'cao'gou'teng'liang
犀角地黄芍药丹,xi'jiao'di'huang'shao'yao'dan
犀角地黄汤,xi'jiao'di'huang'tang
犀角蜜丸治膈热,xi'jiao'mi'wan'zhi'ge're
犀角玄翘知芍桔,xi'jiao'xuan'qiao'zhi'shao'ju
稀涎散,xi'xian'san
稀涎皂角白矾班,xi'xian'zao'jiao'bai'fan'ban
细辛半夏兼五味,xi'xin'ban'xia'jian'wu'wei
细辛苍芷与川芎,xi'xin'cang'zhi'yu'chuan'xiong
细辛甘草木通着,xi'xin'gan'cao'mu'tong'zhe
细辛藁本芎芷羌,xi'xin'gao'ben'xiong'zhi'qiang
细辛加枣煨姜煎,xi'xin'jia'zao'wei'jiang'jian
细辛四味碾如霜,xi'xin'si'wei'nian'ru'shuang
