暗插销,an'cha'xiao
洁净区,jie'jing'qu
洁净室,jie'jing'shi
洁净走廊,jie'jing'zou'lang
截面,jie'mian
截面面积,jie'mian'mian'ji
截面图,jie'mian'tu
截面线,jie'mian'xian
节能,jie'neng
解剖室,jie'pou'shi
解剖台,jie'pou'tai
接收天线,jie'shou'tian'xian
借书处,jie'shu'chu
阶梯教室,jie'ti'jiao'shi
接头,jie'tou
接线,jie'xian
接线板,jie'xian'ban
接线盒,jie'xian'he
接线图,jie'xian'tu
接线箱,jie'xian'xiang
进风口,jin'feng'kou
进风设备,jin'feng'she'bei
金工车间,jin'gong'che'jian
紧固螺母,jin'gu'luo'mu
紧固螺栓,jin'gu'luo'shuan
紧固螺丝,jin'gu'luo'si
紧固装置,jin'gu'zhuang'zhi
紧急出口,jin'ji'chu'kou
紧急出口照明,jin'ji'chu'kou'zhao'ming
紧急供电,jin'ji'gong'dian
紧急开关,jin'ji'kai'guan
紧急照明,jin'ji'zhao'ming
进口,jin'kou
金库,jin'ku
进料口,jin'liao'kou
进人,jin'ren
进人管道,jin'ren'guan'dao
进人管沟,jin'ren'guan'gou
金融中心,jin'rong'zhong'xin
金属,jin'shu
金属百叶,jin'shu'bai'ye
金属包皮,jin'shu'bao'pi
金属材料,jin'shu'cai'liao
金属窗,jin'shu'chuang
金属构件,jin'shu'gou'jian
金属管,jin'shu'guan
金属暖气罩,jin'shu'nuan'qi'zhao
金属屏蔽,jin'shu'ping'bi
金属算子,jin'shu'suan'zi
金属吸引板吊顶,jin'shu'xi'yin'ban'diao'ding
金属线槽,jin'shu'xian'cao
警报,jing'bao
警报灯,jing'bao'deng
警报蜂鸣器,jing'bao'feng'ming'qi
警报器,jing'bao'qi
警报系统,jing'bao'xi'tong
警报信号,jing'bao'xin'hao
警报信号器,jing'bao'xin'hao'qi
警报装置,jing'bao'zhuang'zhi
静电,jing'dian
静电干扰,jing'dian'gan'rao
静电感应,jing'dian'gan'ying
净高,jing'gao
警告标志,jing'gao'biao'zhi
警告灯,jing'gao'deng
警告系统,jing'gao'xi'tong
警告信号,jing'gao'xin'hao
净化车间,jing'hua'che'jian
净化区,jing'hua'qu
净化室,jing'hua'shi
敬老院,jing'lao'yuan
经理室,jing'li'shi
净水池,jing'shui'chi
警卫室,jing'wei'shi
酒吧,jiu'ba
酒吧柜台,jiu'ba'gui'tai
酒吧间,jiu'ba'jian
救护所,jiu'hu'suo
救护站,jiu'hu'zhan
局部放大图,ju'bu'fang'da'tu
局部立面,ju'bu'li'mian
局部平面,ju'bu'ping'mian
局部剖面,ju'bu'pou'mian
局部一般照明,ju'bu'yi'ban'zhao'ming
剧场,ju'chang
剧场视线,ju'chang'shi'xian
剧场休息室,ju'chang'xiu'xi'shi
剧场正厅,ju'chang'zheng'ting
剧场座位,ju'chang'zuo'wei
聚光灯室,ju'guang'deng'shi
聚光照明,ju'guang'zhao'ming
俱乐部,ju'le'bu
聚氯丁烯,ju'lv'ding'xi
聚氯乙烯,ju'lv'yi'xi
聚氯乙烯板,ju'lv'yi'xi'ban
聚氯乙烯管,ju'lv'yi'xi'guan
聚氯乙烯绝缘电缆,ju'lv'yi'xi'jue'yuan'dian'lan
居民委员会,ju'min'wei'yuan'hui
居室,ju'shi
聚乙烯管,ju'yi'xi'guan
剧院,ju'yuan
剧院观众席走廊,ju'yuan'guan'zhong'xi'zou'lang
居住建筑,ju'zhu'jian'zhu
居住建筑面积,ju'zhu'jian'zhu'mian'ji
居住建筑物,ju'zhu'jian'zhu'wu
居住区,ju'zhu'qu
居住小区,ju'zhu'xiao'qu
卷帘,juan'lian
卷帘窗,juan'lian'chuang
卷帘隔断,juan'lian'ge'duan
卷帘门,juan'lian'men
卷帘幕,juan'lian'mu
卷门,juan'men
卷幕,juan'mu
绝对标高,jue'dui'biao'gao
决算,jue'suan
绝缘,jue'yuan
绝缘板,jue'yuan'ban
绝缘材料,jue'yuan'cai'liao
绝缘层,jue'yuan'ceng
绝缘电缆,jue'yuan'dian'lan
绝缘电阻,jue'yuan'dian'zu
绝缘管,jue'yuan'guan
绝缘厚度,jue'yuan'hou'du
绝缘胶布,jue'yuan'jiao'bu
绝缘胶带,jue'yuan'jiao'dai
绝缘软线,jue'yuan'ruan'xian
绝缘试验,jue'yuan'shi'yan
绝缘套管,jue'yuan'tao'guan
绝缘线,jue'yuan'xian
绝缘纤维板,jue'yuan'xian'wei'ban
竣工,jun'gong
竣工日期,jun'gong'ri'qi
竣工图,jun'gong'tu
竣工项目,jun'gong'xiang'mu
竣工验收,jun'gong'yan'shou
均匀分布,jun'yun'fen'bu
咖啡馆,ka'fei'guan
咖啡室,ka'fei'shi
卡口灯泡,ka'kou'deng'pao
卡口灯座,ka'kou'deng'zuo
开敞式,kai'chang'shi
开窗器,kai'chuang'qi
开发区,kai'fa'qu
开工日期,kai'gong'ri'qi
开关,kai'guan
开关厂,kai'guan'chang
开关柜,kai'guan'gui
开关设备,kai'guan'she'bei
开关箱,kai'guan'xiang
开关站,kai'guan'zhan
开脚螺栓,kai'jiao'luo'shuan
开门器,kai'men'qi
开水间,kai'shui'jian
铠装电缆,kai'zhuang'dian'lan
铠装铅包电缆,kai'zhuang'qian'bao'dian'lan
看台,kan'tai
康复中心,kang'fu'zhong'xin
抗干扰装置,kang'gan'rao'zhuang'zhi
抗静电,kang'jing'dian
抗静电装置,kang'jing'dian'zhuang'zhi
抗震,kang'zhen
抗震规范,kang'zhen'gui'fan
抗震加固,kang'zhen'jia'gu
抗震剪力墙,kang'zhen'jian'li'qiang
抗震建筑,kang'zhen'jian'zhu
抗震结构,kang'zhen'jie'gou
抗震墙,kang'zhen'qiang
抗震设计,kang'zhen'she'ji
靠墙扶手,kao'qiang'fu'shou
靠墙扶手托架,kao'qiang'fu'shou'tuo'jia
靠墙管子扶手,kao'qiang'guan'zi'fu'shou
靠墙楼梯,kao'qiang'lou'ti
客房服务,ke'fang'fu'wu
客房服务部,ke'fang'fu'wu'bu
可燃气体,ke'ran'qi'ti
可燃物,ke'ran'wu
可视电话,ke'shi'dian'hua
课堂,ke'tang
客梯,ke'ti
可调螺栓,ke'tiao'luo'shuan
客厅,ke'ting
客厅兼起居室,ke'ting'jian'qi'ju'shi
科学工作者,ke'xue'gong'zuo'zhe
科学技术委员会,ke'xue'ji'shu'wei'yuan'hui
科学实验,ke'xue'shi'yan
坑道口,keng'dao'kou
空腹钢窗,kong'fu'gang'chuang
空腹钢梁,kong'fu'gang'liang
空腹钢龙骨,kong'fu'gang'long'gu
空腹拱,kong'fu'gong
空腹桁架,kong'fu'heng'jia
空腹金属窗,kong'fu'jin'shu'chuang
空腹金属防火门,kong'fu'jin'shu'fang'huo'men
空气断路器,kong'qi'duan'lu'qi
空气加热器,kong'qi'jia're'qi
空气加热系统,kong'qi'jia're'xi'tong
空气加湿器,kong'qi'jia'shi'qi
空气加湿设备,kong'qi'jia'shi'she'bei
空气净化,kong'qi'jing'hua
空气净化器,kong'qi'jing'hua'qi
空气冷凝器,kong'qi'leng'ning'qi
空气冷却机组,kong'qi'leng'que'ji'zu
空气冷却冷凝器,kong'qi'leng'que'leng'ning'qi
空气冷却盘管,kong'qi'leng'que'pan'guan
空气冷却器,kong'qi'leng'que'qi
空气冷却系统,kong'qi'leng'que'xi'tong
空气调剂,kong'qi'tiao'ji
空调,kong'tiao
空调管道,kong'tiao'guan'dao
空调机房,kong'tiao'ji'fang
空调及排风装置,kong'tiao'ji'pai'feng'zhuang'zhi
空调机组,kong'tiao'ji'zu
空调器,kong'tiao'qi
空调设备,kong'tiao'she'bei
空调设计,kong'tiao'she'ji
空调室,kong'tiao'shi
空调送风算子,kong'tiao'song'feng'suan'zi
空调系统,kong'tiao'xi'tong
空调照明系统,kong'tiao'zhao'ming'xi'tong
空心板,kong'xin'ban
空心地板,kong'xin'de'ban
空心隔墙,kong'xin'ge'qiang
空心墙,kong'xin'qiang
空心砖隔墙,kong'xin'zhuan'ge'qiang
控制,kong'zhi
控制室,kong'zhi'shi
控制塔,kong'zhi'ta
控制台,kong'zhi'tai
控制系统,kong'zhi'xi'tong
口腔科,kou'qiang'ke
口腔医院,kou'qiang'yi'yuan
库房,ku'fang
快速电梯,kuai'su'dian'ti
快装锅炉,kuai'zhuang'guo'lu
宽银幕,kuan'yin'mu
宽银幕电影院,kuan'yin'mu'dian'ying'yuan
框架工程,kuang'jia'gong'cheng
框架建筑,kuang'jia'jian'zhu
框架结构,kuang'jia'jie'gou
框架墙板建筑,kuang'jia'qiang'ban'jian'zhu
框筒,kuang'tong
框筒结构,kuang'tong'jie'gou
框筒结构体系,kuang'tong'jie'gou'ti'xi
矿渣混凝土,kuang'zha'hun'ning'tu
矿渣混凝土垫层,kuang'zha'hun'ning'tu'dian'ceng
馈电,kui'dian
馈电电缆,kui'dian'dian'lan
馈线,kui'xian
扩大初步设计,kuo'da'chu'bu'she'ji
扩大器,kuo'da'qi
扩建,kuo'jian
扩建工程,kuo'jian'gong'cheng
扩散光,kuo'san'guang
扩音机,kuo'yin'ji
扩音器,kuo'yin'qi
扩音系统,kuo'yin'xi'tong
喇叭,la'ba
拉杆天线,la'gan'tian'xian
垃圾焚化间,la'ji'fen'hua'jian
垃圾焚化炉,la'ji'fen'hua'lu
垃圾焚化站,la'ji'fen'hua'zhan
垃圾间,la'ji'jian
垃圾坑,la'ji'keng
垃圾收集,la'ji'shou'ji
垃圾箱,la'ji'xiang
拉力,la'li
拉力试验,la'li'shi'yan
拉线盒,la'xian'he
拉线开关,la'xian'kai'guan
缆车,lan'che
缆车铁道,lan'che'tie'dao
缆道,lan'dao
蓝色,lan'se
缆索,lan'suo
老化实验室,lao'hua'shi'yan'shi
老人公寓,lao'ren'gong'yu
老人医院,lao'ren'yi'yuan
老人住房,lao'ren'zhu'fang
老人住宅,lao'ren'zhu'zhai
勒克司,le'ke'si
勒克斯计,le'ke'si'ji
类别,lei'bie
雷达,lei'da
雷达站,lei'da'zhan
类型,lei'xing
冷藏,leng'cang
冷藏间,leng'cang'jian
冷藏库,leng'cang'ku
冷藏箱,leng'cang'xiang
冷冻,leng'dong
冷冻机,leng'dong'ji
冷冻机房,leng'dong'ji'fang
冷库,leng'ku
冷却管道系统,leng'que'guan'dao'xi'tong
冷却设备系统,leng'que'she'bei'xi'tong
冷却水池,leng'que'shui'chi
冷却塔,leng'que'ta
冷热水系统,leng're'shui'xi'tong
冷水管,leng'shui'guan
冷压钢板,leng'ya'gang'ban
理发馆,li'fa'guan
立方毫米,li'fang'hao'mi
立方厘米,li'fang'li'mi
立方米,li'fang'mi
立杆,li'gan
立管管夹,li'guan'guan'jia
立面图,li'mian'tu
立剖面,li'pou'mian
沥青防潮层,li'qing'fang'chao'ceng
沥青防水层,li'qing'fang'shui'ceng
沥青缝,li'qing'feng
沥青灌浆,li'qing'guan'jiang
沥青路,li'qing'lu
沥青路面,li'qing'lu'mian
立式泵,li'shi'beng
立式小便器,li'shi'xiao'bian'qi
礼堂,li'tang
离心式风扇,li'xin'shi'feng'shan
离心式鼓风机,li'xin'shi'gu'feng'ji
利用率,li'yong'lv
利用系数,li'yong'xi'shu
立柱,li'zhu
联动开关,lian'dong'kai'guan
连接板,lian'jie'ban
连接法,lian'jie'fa
连接杆,lian'jie'gan
连接开关,lian'jie'kai'guan
连接螺栓,lian'jie'luo'shuan
连接器,lian'jie'qi
连接套管,lian'jie'tao'guan
脸盆,lian'pen
连续荷载,lian'xu'he'zai
连续梁,lian'xu'liang
连续通风,lian'xu'tong'feng
连续照明,lian'xu'zhao'ming
梁板构造,liang'ban'gou'zao
粮店,liang'dian
亮度,liang'du
梁高,liang'gao
凉台,liang'tai
凉亭,liang'ting
两相三线制,liang'xiang'san'xian'zhi
两相四线制,liang'xiang'si'xian'zhi
两相系统,liang'xiang'xi'tong
两相运行,liang'xiang'yun'xing
两相制,liang'xiang'zhi
疗养院,liao'yang'yuan
烈度,lie'du
临床化验室,lin'chuang'hua'yan'shi
临时供电,lin'shi'gong'dian
临时性建筑,lin'shi'xing'jian'zhu
临时照明,lin'shi'zhao'ming
淋浴室,lin'yu'shi
零度,ling'du
零件,ling'jian
灵敏度,ling'min'du
零下温度,ling'xia'wen'du
流明,liu'ming
楼板,lou'ban
楼板构造,lou'ban'gou'zao
楼板伸缩缝,lou'ban'shen'suo'feng
楼层,lou'ceng
楼层面积,lou'ceng'mian'ji
楼层平面图,lou'ceng'ping'mian'tu
楼层数,lou'ceng'shu
漏电,lou'dian
楼面置顶棚高度,lou'mian'zhi'ding'peng'gao'du
楼面至楼面尺寸,lou'mian'zhi'lou'mian'chi'cun
楼面至楼面高度,lou'mian'zhi'lou'mian'gao'du
楼梯,lou'ti
楼梯扶手,lou'ti'fu'shou
楼梯间,lou'ti'jian
楼梯井,lou'ti'jing
楼梯栏杆,lou'ti'lan'gan
楼梯平台,lou'ti'ping'tai
楼梯坡度,lou'ti'po'du
楼梯踏步,lou'ti'ta'bu
楼梯厅,lou'ti'ting
楼下,lou'xia
漏泄电流,lou'xie'dian'liu
路标,lu'biao
路灯,lu'deng
路灯柱,lu'deng'zhu
卤化物灯,lu'hua'wu'deng
路口,lu'kou
路面,lu'mian
露明管道,lu'ming'guan'dao
露明金属结构,lu'ming'jin'shu'jie'gou
路牌,lu'pai
卤素电池,lu'su'dian'chi
露天剧场,lu'tian'ju'chang
露天看台,lu'tian'kan'tai
露天平台,lu'tian'ping'tai
露天停车场,lu'tian'ting'che'chang
卤钨灯,lu'wu'deng
录音,lu'yin
录音室,lu'yin'shi
陆运,lu'yun
轮廓草图,lun'kuo'cao'tu
轮廓尺寸,lun'kuo'chi'cun
落地线,luo'di'xian
螺帽,luo'mao
螺母,luo'mu
裸母线,luo'mu'xian
螺栓,luo'shuan
螺栓杆,luo'shuan'gan
螺栓固定,luo'shuan'gu'ding
螺丝固定,luo'si'gu'ding
裸线,luo'xian
螺旋口,luo'xuan'kou
螺旋楼梯,luo'xuan'lou'ti
铝板网,lv'ban'wang
铝包电缆,lv'bao'dian'lan
氯丁橡胶,lv'ding'xiang'jiao
旅馆,lv'guan
旅馆建筑,lv'guan'jian'zhu
铝合金窗,lv'he'jin'chuang
铝合金龙骨,lv'he'jin'long'gu
铝合金门,lv'he'jin'men
铝合金型材,lv'he'jin'xing'cai
绿化设计,lv'hua'she'ji
旅客大厅,lv'ke'da'ting
旅客人口,lv'ke'ren'kou
旅客休息厅,lv'ke'xiu'xi'ting
铝母线,lv'mu'xian
绿色,lv'se
旅行停车场,lv'xing'ting'che'chang
旅游建筑,lv'you'jian'zhu
旅游旅馆,lv'you'lv'guan
马力,ma'li
马力小时,ma'li'xiao'shi
马路,ma'lu
马路弯灯,ma'lu'wan'deng
马蹄形螺栓,ma'ti'xing'luo'shuan
马桶,ma'tong
麻醉室,ma'zui'shi
脉冲试验,mai'chong'shi'yan
脉冲信号,mai'chong'xin'hao
埋入长度,mai'ru'chang'du
埋深,mai'shen
埋头螺栓,mai'tou'luo'shuan
漫射灯,man'she'deng
漫射照明,man'she'zhao'ming
盲沟,mang'gou
锚固,mao'gu
锚固安装,mao'gu'an'zhuang
锚固螺栓,mao'gu'luo'shuan
煤场,mei'chang
美国工程师及建筑师学会,mei'guo'gong'cheng'shi'ji'jian'zhu'shi'xue'hui
美国建筑师协会,mei'guo'jian'zhu'shi'xie'hui
美国土木工程师学会,mei'guo'tu'mu'gong'cheng'shi'xue'hui
每立方米造价,mei'li'fang'mi'zao'jia
煤气干管,mei'qi'gan'guan
煤气管,mei'qi'guan
煤气管线,mei'qi'guan'xian
煤气调压站,mei'qi'tiao'ya'zhan
煤气灶,mei'qi'zao
每人,mei'ren
美术水磨石,mei'shu'shui'mo'shi
美术水磨石地面,mei'shu'shui'mo'shi'di'mian
门窗表,men'chuang'biao
门窗一览表,men'chuang'yi'lan'biao
门灯,men'deng
门洞,men'dong
门过梁,men'guo'liang
门铃,men'ling
门牌,men'pai
门牌号,men'pai'hao
门市部,men'shi'bu
门锁,men'suo
门厅门诊部,men'ting'men'zhen'bu
密封垫圈,mi'feng'dian'juan
密封灌浆,mi'feng'guan'jiang
泌尿化验室,mi'niao'hua'yan'shi
泌尿科,mi'niao'ke
秘书室,mi'shu'shi
米烛光,mi'zhu'guang
面板,mian'ban
面层,mian'ceng
面层材料,mian'ceng'cai'liao
面粉厂,mian'fen'chang
描图,miao'tu
灭火剂,mie'huo'ji
灭火设备,mie'huo'she'bei
灭火系统,mie'huo'xi'tong
民用机场,min'yong'ji'chang
民用建筑,min'yong'jian'zhu
民族形式,min'zu'xing'shi
明暗对比,ming'an'dui'bi
明管,ming'guan
明楼梯,ming'lou'ti
明线,ming'xian
明线布线,ming'xian'bu'xian
明线线路,ming'xian'xian'lu
明装搬把开关,ming'zhuang'ban'ba'kai'guan
名状插销,ming'zhuang'cha'xiao
明装荧光灯,ming'zhuang'ying'guang'deng
明装荧光灯带,ming'zhuang'ying'guang'deng'dai
明装照明设备,ming'zhuang'zhao'ming'she'bei
末端,mo'duan
抹灰,mo'hui
抹灰顶棚,mo'hui'ding'peng
抹灰厚度,mo'hui'hou'du
模拟试验,mo'ni'shi'yan
磨砂玻璃,mo'sha'bo'li
磨砂灯泡,mo'sha'deng'pao
磨石,mo'shi
墨线图,mo'xian'tu
模型,mo'xing
木板,mu'ban
木板墙,mu'ban'qiang
木板条吊顶,mu'ban'tiao'diao'ding
木材厂,mu'cai'chang
木窗,mu'chuang
木地板,mu'di'ban
木隔断,mu'ge'duan
木搁栅楼板,mu'ge'zha'lou'ban
木工厂,mu'gong'chang
木工场,mu'gong'chang
木工车间,mu'gong'che'jian
木构件,mu'gou'jian
木构造,mu'gou'zao
木桁架,mu'heng'jia
木护墙,mu'hu'qiang
木架砖墙房屋,mu'jia'zhuan'qiang'fang'wu
木结构,mu'jie'gou
木结构体系,mu'jie'gou'ti'xi
木龙骨,mu'long'gu
木龙骨楼板,mu'long'gu'lou'ban
木楼板,mu'lou'ban
木螺钉,mu'luo'ding
木螺丝,mu'luo'si
木门,mu'men
木门框,mu'men'kuang
幕墙,mu'qiang
木踢脚板,mu'ti'jiao'ban
木条地板,mu'tiao'di'ban
木望板,mu'wang'ban
木屋顶,mu'wu'ding
木屋架,mu'wu'jia
母线,mu'xian
母线管道,mu'xian'guan'dao
母线连接,mu'xian'lian'jie
沐浴更衣室,mu'yu'geng'yi'shi
木装修,mu'zhuang'xiu
钠灯光,na'deng'guang
钠光,na'guang
氖灯,nai'deng
耐高温材料,nai'gao'wen'cai'liao
耐火材料,nai'huo'cai'liao
耐火等级,nai'huo'deng'ji
耐火吊顶,nai'huo'diao'ding
耐火顶棚,nai'huo'ding'peng
耐火混凝土,nai'huo'hun'ning'tu
耐火结构,nai'huo'jie'gou
耐火楼梯,nai'huo'lou'ti
耐火时限,nai'huo'shi'xian
耐火试验,nai'huo'shi'yan
耐火塑料,nai'huo'su'liao
耐火填料,nai'huo'tian'liao
耐火涂层,nai'huo'tu'ceng
耐火涂料,nai'huo'tu'liao
耐火制品,nai'huo'zhi'pin
耐火砖,nai'huo'zhuan
耐久试验,nai'jiu'shi'yan
耐久寿命,nai'jiu'shou'ming
耐久系数,nai'jiu'xi'shu
耐热玻璃,nai're'bo'li
耐热材料,nai're'cai'liao
耐湿期,nai'shi'qi
耐水粘合剂,nai'shui'nian'he'ji
耐酸缸瓦器,nai'suan'gang'wa'qi
耐酸混凝土,nai'suan'hun'ning'tu
耐酸面板,nai'suan'mian'ban
耐酸水泥,nai'suan'shui'ni
耐酸水泥砂浆,nai'suan'shui'ni'sha'jiang
耐酸陶瓷,nai'suan'tao'ci
耐酸陶瓷制品,nai'suan'tao'ci'zhi'pin
男厕所,nan'ce'suo
南立面,nan'li'mian
难燃材料,nan'ran'cai'liao
男卫生间,nan'wei'sheng'jian
内径,nei'jing
内螺纹,nei'luo'wen
内门,nei'men
内排水,nei'pai'shui
内烟道,nei'yan'dao
内装修工程,nei'zhuang'xiu'gong'cheng
能源,neng'yuan
逆电流,ni'dian'liu
霓虹灯,ni'hong'deng
逆流继电器,ni'liu'ji'dian'qi
尼龙管,ni'long'guan
逆止阀,ni'zhi'fa
粘结,nian'jie
粘结处理,nian'jie'chu'li
捻口,nian'kou
鸟瞰透视图,niao'kan'tou'shi'tu
鸟瞰图,niao'kan'tu
镍铬,nie'ge
镍铬合金,nie'ge'he'jin
镍镉蓄电池,nie'ge'xu'dian'chi
凝结水箱,ning'jie'shui'xiang
暖气,nuan'qi
暖气管,nuan'qi'guan
暖气管沟,nuan'qi'guan'gou
暖气管盘,nuan'qi'guan'pan
暖气片,nuan'qi'pian
暖气设备,nuan'qi'she'bei
暖气系统,nuan'qi'xi'tong
暖气总管,nuan'qi'zong'guan
暖通工程师,nuan'tong'gong'cheng'shi
暖通专业,nuan'tong'zhuan'ye
女厕所,nv'ce'suo
女儿墙,nv'er'qiang
女卫生间,nv'wei'sheng'jian
耦合电路,ou'he'dian'lu
欧姆耦合变压器,ou'mu'ou'he'bian'ya'qi
跑马场,pao'ma'chang
配电,pei'dian
配电变电站,pei'dian'bian'dian'zhan
配电变压器,pei'dian'bian'ya'qi
配电电缆,pei'dian'dian'lan
配电干线,pei'dian'gan'xian
配电盘,pei'dian'pan
配电室,pei'dian'shi
配电网,pei'dian'wang
配电系统,pei'dian'xi'tong
配电线路,pei'dian'xian'lu
配电箱,pei'dian'xiang
配电站,pei'dian'zhan
配电中心,pei'dian'zhong'xin
配套器材,pei'tao'qi'cai
配套项目,pei'tao'xiang'mu
配线,pei'xian
喷漆,pen'qi
喷漆车间,pen'qi'che'jian
喷泉,pen'quan
喷水,pen'shui
喷水池,pen'shui'chi
喷水管,pen'shui'guan
喷水口,pen'shui'kou
喷水灭火系统,pen'shui'mie'huo'xi'tong
喷水系统,pen'shui'xi'tong
喷涂,pen'tu
喷涂塑料饰面,pen'tu'su'liao'shi'mian
喷雾器,pen'wu'qi
喷雾室,pen'wu'shi
膨胀缝,peng'zhang'feng
膨胀螺栓,peng'zhang'luo'shuan
膨胀水箱,peng'zhang'shui'xiang
皮带传送,pi'dai'chuan'song
皮带输送机,pi'dai'shu'song'ji
皮肤科,pi'fu'ke
啤酒厂,pi'jiu'chang
疲劳试验,pi'lao'shi'yan
匹配变压器,pi'pei'bian'ya'qi
匹配电路,pi'pei'dian'lu
频带,pin'dai
频道,pin'dao
拼花地板,pin'hua'di'ban
拼花地板块,pin'hua'di'ban'kuai
拼花地面,pin'hua'di'mian
平板,ping'ban
平板玻璃,ping'ban'bo'li
屏蔽,ping'bi
屏蔽电缆,ping'bi'dian'lan
屏蔽门,ping'bi'men
屏蔽墙,ping'bi'qiang
屏蔽室,ping'bi'shi
屏蔽天线,ping'bi'tian'xian
屏蔽作用,ping'bi'zuo'yong
平垫圈,ping'dian'quan
平方公分,ping'fang'gong'fen
平方毫米,ping'fang'hao'mi
平方厘米,ping'fang'li'mi
平方米,ping'fang'mi
平方米预算价,ping'fang'mi'yu'suan'jia
平方英尺,ping'fang'ying'chi
平方英寸,ping'fang'ying'cun
平均负荷,ping'jun'fu'he
平均功率,ping'jun'gong'lv
平均每户建筑面积,ping'jun'mei'hu'jian'zhu'mian'ji
平均每人居住面积,ping'jun'mei'ren'ju'zhu'mian'ji
平均数,ping'jun'shu
平面,ping'mian
平面布置,ping'mian'bu'zhi
平面设计,ping'mian'she'ji
平面图,ping'mian'tu
乒乓室,ping'pang'shi
平剖面,ping'pou'mian
平台,ping'tai
平台铆钉,ping'tai'mao'ding
平台屋顶,ping'tai'wu'ding
平头螺栓,ping'tou'luo'shuan
平头螺丝,ping'tou'luo'si
平屋顶,ping'wu'ding
平屋顶建筑,ping'wu'ding'jian'zhu
平行管线,ping'xing'guan'xian
平行线,ping'xing'xian
平整场地,ping'zheng'chang'di
坡道,po'dao
破坏试验,po'huai'shi'yan
坡屋顶,po'wu'ding
剖面,pou'mian
剖面图,pou'mian'tu
剖面线,pou'mian'xian
剖视图,pou'shi'tu
铺地板,pu'di'ban
铺地砖,pu'di'zhuan
铺设管道,pu'she'guan'dao
普通火灾隐患,pu'tong'huo'zai'yin'huan
普通建筑,pu'tong'jian'zhu
漆包线,qi'bao'xian
器材,qi'cai
汽车,qi'che
汽车服务站,qi'che'fu'wu'zhan
汽车库,qi'che'ku
汽车旅馆,qi'che'lv'guan
汽车汽配厂,qi'che'qi'pei'chang
汽车制造厂,qi'che'zhi'zao'chang
气窗,qi'chuang
起吊,qi'diao
起动变压器,qi'dong'bian'ya'qi
气动输送管,qi'dong'shu'song'guan
旗杆,qi'gan
气焊,qi'han
气候,qi'hou
气候条件,qi'hou'tiao'jian
器具,qi'ju
起居室,qi'ju'shi
起居室餐室厨房,qi'ju'shi'can'shi'chu'fang
起居室兼餐室,qi'ju'shi'jian'can'shi
期刊目录室,qi'kan'mu'lu'shi
期刊阅览室,qi'kan'yue'lan'shi
企口,qi'kou
企口板,qi'kou'ban
企口地板,qi'kou'di'ban
砌块,qi'kuai
气流组织,qi'liu'zu'zhi
气密室,qi'mi'shi
气密试验,qi'mi'shi'yan
气体分离器,qi'ti'fen'li'qi
气体燃料,qi'ti'ran'liao
气温,qi'wen
期限,qi'xian
气象,qi'xiang
气象局,qi'xiang'ju
气象台,qi'xiang'tai
气象图,qi'xiang'tu
气象站,qi'xiang'zhan
器械,qi'xie
器械室,qi'xie'shi
气压,qi'ya
气压阀,qi'ya'fa
气压给水系统,qi'ya'gei'shui'xi'tong
气压给水,qi'ya'ji'shui
汽油,qi'you
汽油发电机,qi'you'fa'dian'ji
汽油库,qi'you'ku
起重机,qi'zhong'ji
起重机起吊半径,qi'zhong'ji'qi'diao'ban'jing
起重机行车大梁,qi'zhong'ji'xing'che'da'liang
起重能力,qi'zhong'neng'li
起重装置,qi'zhong'zhuang'zhi
砌砖,qi'zhuan
卡子,qia'zi
千安,qian'an
千乏,qian'fa
千乏时,qian'fa'shi
千伏,qian'fu
千伏安,qian'fu'an
千赫,qian'he
浅灰色,qian'hui'se
千卡,qian'ka
浅蓝色,qian'lan'se
前楼梯,qian'lou'ti
前门,qian'men
前门廊,qian'men'lang
嵌入式照明,qian'ru'shi'zhao'ming
浅色,qian'se
前室,qian'shi
潜水泵,qian'shui'beng
前厅,qian'ting
千瓦,qian'wa
千瓦时,qian'wa'shi
墙板,qiang'ban
墙承重结构,qiang'cheng'zhong'jie'gou
墙洞,qiang'dong
墙洞口,qiang'dong'kou
墙垛,qiang'duo
墙高,qiang'gao
墙面,qiang'mian
墙式配电盘,qiang'shi'pei'dian'pan
强制送风,qiang'zhi'song'feng
桥梁,qiao'liang
桥式起重机,qiao'shi'qi'zhong'ji
窃听器,qie'ting'qi
切削厚度,qie'xiao'hou'du
寝室,qin'shi
情报资料,qing'bao'zi'liao
轻便机械,qing'bian'ji'xie
轻便灭火器,qing'bian'mie'huo'qi
轻钢结构,qing'gang'jie'gou
轻钢龙骨,qing'gang'long'gu
轻隔墙,qing'ge'qiang
清洁剂,qing'jie'ji
清洁间,qing'jie'jian
清洁走廊,qing'jie'zou'lang
轻金属,qing'jin'shu
清水池,qing'shui'chi
清水墙,qing'shui'qiang
清水砖墙,qing'shui'zhuan'qiang
青铜,qing'tong
青铜板,qing'tong'ban
清洗,qing'xi
清晰度,qing'xi'du
清洗装置,qing'xi'zhuang'zhi
倾斜度,qing'xie'du
轻型结构,qing'xing'jie'gou
轻型屋架,qing'xing'wu'jia
球形天线,qiu'xing'tian'xian
曲线,qu'xian
全波整流器,quan'bo'zheng'liu'qi
全部面积,quan'bu'mian'ji
全负荷,quan'fu'he
泉水,quan'shui
缺点,que'dian
缺口,que'kou
缺陷,que'xian
裙房,qun'fang
群控,qun'kong
燃点,ran'dian
燃烧室,ran'shao'shi
热泵,re'beng
热处理,re'chu'li
