阿尔泰葱,a'er'tai'cong
毛叶两栖蓼,mao'ye'liang'qi'liao
毛叶木瓜,mao'ye'mu'gua
毛叶委陵菜,mao'ye'wei'ling'cai
毛叶沼泽蕨,mao'ye'zhao'ze'jue
毛颖芨芨草,mao'ying'ji'ji'cao
毛樱桃,mao'ying'tao
毛颖罔草,mao'ying'wang'cao
毛缘宽叶薹草,mao'yuan'kuan'ye'tai'cao
毛缘薹草,mao'yuan'tai'cao
毛毡杜鹃,mao'zhan'du'juan
毛掌叶锦鸡儿,mao'zhang'ye'jin'ji'er
毛榛,mao'zhen
毛枝蕨,mao'zhi'jue
毛枝柳,mao'zhi'liu
毛轴鹅不食,mao'zhou'e'bu'shi
毛柱黑忍冬,mao'zhu'hei'ren'dong
毛猪毛蒿,mao'zhu'mao'hao
毛紫丁香,mao'zi'ding'xiang
玫瑰,mei'gui
美国茶藨,mei'guo'cha'biao
梅花草,mei'hua'cao
美丽茶藨,mei'li'cha'biao
美丽毛茛,mei'li'mao'gen
美丽蔷薇,mei'li'qiang'wei
美丽绣线菊,mei'li'xiu'xian'ju
莓叶委陵菜,mei'ye'wei'ling'cai
蒙椴,meng'duan
蒙古苍耳,meng'gu'cang'er
蒙古风毛菊,meng'gu'feng'mao'ju
蒙古蒿,meng'gu'hao
蒙古黄芪,meng'gu'huang'qi
蒙古黄榆,meng'gu'huang'yu
蒙古荚蒾,meng'gu'jia'mi
蒙古堇菜,meng'gu'jin'cai
蒙古韭,meng'gu'jiu
蒙古栎,meng'gu'li
蒙古马兰,meng'gu'ma'lan
蒙古蒲公英,meng'gu'pu'gong'ying
蒙古石竹,meng'gu'shi'zhu
蒙古糖芥,meng'gu'tang'jie
蒙古葶苈,meng'gu'ting'li
蒙古卫矛,meng'gu'wei'mao
蒙古鸦葱,meng'gu'ya'cong
蒙古野韭,meng'gu'ye'jiu
蒙桑,meng'sang
蒙山莴苣,meng'shan'wo'ju
密丛棘豆,mi'cong'ji'dou
迷果芹,mi'guo'qin
猕猴桃科,mi'hou'tao'ke
密花独行菜,mi'hua'du'xing'cai
密花风毛菊,mi'hua'feng'mao'ju
密花舌唇兰,mi'hua'she'chun'lan
密花香芹,mi'hua'xiang'qin
密花香薷,mi'hua'xiang'ru
密花小根蒜,mi'hua'xiao'gen'suan
米口袋,mi'kou'dai
密毛岩蕨,mi'mao'yan'jue
密穗茶藨,mi'sui'cha'biao
密穗虫实,mi'sui'chong'shi
密穗莎草,mi'sui'suo'cao
密序黑三棱,mi'xu'hei'san'leng
密叶柳叶菜,mi'ye'liu'ye'cai
米柱薹草,mi'zhu'tai'cao
绵毛欧亚旋覆花,mian'mao'ou'ya'xuan'fu'hua
绵毛酸模叶蓼,mian'mao'suan'mo'ye'liao
棉团铁线莲,mian'tuan'tie'xian'lian
绵枣儿,mian'zao'er
茗葱,ming'cong
膜蕨科,mo'jue'ke
膜囊薹草,mo'nang'tai'cao
陌上菜,mo'shang'cai
陌上菅,mo'shang'jian
莫石竹,mo'shi'zhu
木半夏,mu'ban'xia
牡丹,mu'dan
牡丹草,mu'dan'cao
木地肤,mu'di'fu
牧地山黧豆,mu'di'shan'li'dou
木防己,mu'fang'ji
木芙蓉,mu'fu'rong
牧根草,mu'gen'cao
木根黄芩,mu'gen'huang'qin
木瓜,mu'gua
牡蒿,mu'hao
木槿,mu'jin
母菊,mu'ju
木蜡树,mu'la'shu
木兰科,mu'lan'ke
木蓼,mu'liao
牧马豆,mu'ma'dou
木山茄,mu'shan'qie
木天蓼,mu'tian'liao
木通马兜铃,mu'tong'ma'dou'ling
木犀草科,mu'xi'cao'ke
木犀科,mu'xi'ke
木香花,mu'xiang'hua
木香薷,mu'xiang'ru
苜蓿,mu'xu
木岩黄芪,mu'yan'huang'qi
木贼,mu'zei
木贼科,mu'zei'ke
南殿樱,nan'dian'ying
南方露珠草,nan'fang'lu'zhu'cao
南方菟丝子,nan'fang'tu'si'zi
南瓜,nan'gua
南牡蒿,nan'mu'hao
南欧黑松,nan'ou'hei'song
南山堇菜,nan'shan'jin'cai
南蛇藤,nan'she'teng
南玉带,nan'yu'dai
囊花鸢尾,nang'hua'yuan'wei
囊颖草,nang'ying'cao
内蒙古扁穗莞,nei'meng'gu'bian'sui'guan
内蒙古毛茛,nei'meng'gu'mao'gen
内折香茶菜,nei'zhe'xiang'cha'cai
拟扁果草,ni'bian'guo'cao
拟高山扁枝石松,ni'gao'shan'bian'zhi'shi'song
泥胡菜,ni'hu'cai
拟漆姑,ni'qi'gu
茑萝,niao'luo
宁夏枸杞,ning'xia'gou'qi
牛蒡,niu'bang
牛鞭草,niu'bian'cao
牛扁乌头,niu'bian'wu'tou
扭果虫实,niu'guo'chong'shi
扭果葶苈,niu'guo'ting'li
牛筋草,niu'jin'cao
牛毛毡,niu'mao'zhan
牛奶子,niu'nai'zi
牛皮杜鹃,niu'pi'du'juan
牛茄子,niu'qie'zi
牛尾菜,niu'wei'cai
牛膝菊,niu'xi'ju
牛枝子,niu'zhi'zi
暖木条荚蒾,nuan'mu'tiao'jia'mi
女娄菜,nv'lou'cai
女菀,nv'wan
女贞,nv'zhen
欧李,ou'li
欧荨麻,ou'qian'ma
欧庭荠,ou'ting'ji
欧亚列当,ou'ya'lie'dang
欧亚香花芥,ou'ya'xiang'hua'jie
欧亚绣线菊,ou'ya'xiu'xian'ju
欧亚旋覆花,ou'ya'xuan'fu'hua
欧洲白榆,ou'zhou'bai'yu
欧洲赤松,ou'zhou'chi'song
欧洲落叶松,ou'zhou'luo'ye'song
欧洲千里光,ou'zhou'qian'li'guang
欧洲菘蓝,ou'zhou'song'lan
欧洲酸樱桃,ou'zhou'suan'ying'tao
欧洲甜樱桃,ou'zhou'tian'ying'tao
欧洲菟丝子,ou'zhou'tu'si'zi
欧洲云杉,ou'zhou'yun'shan
爬山虎,pa'shan'hu
攀援天门冬,pan'yuan'tian'men'dong
膀胱蕨,pang'guang'jue
泡囊草,pao'nang'cao
蓬子菜拉拉藤,peng'zi'cai'la'la'teng
披碱草,pi'jian'cao
啤酒花,pi'jiu'hua
披针毛茛,pi'zhen'mao'gen
披针叶叉繁缕,pi'zhen'ye'cha'fan'lv
披针叶车前,pi'zhen'ye'che'qian
漂筏薹草,piao'fa'tai'cao
飘拂草,piao'fu'cao
贫齿绣线菊,pin'chi'xiu'xian'ju
品藻,pin'zao
平贝母,ping'bei'mu
平车前,ping'che'qian
瓶尔小草,ping'er'xiao'cao
瓶尔小草科,ping'er'xiao'cao'ke
苹果,ping'guo
苹科,ping'ke
萍蓬草,ping'peng'cao
平原问荆,ping'yuan'wen'jing
铺地柏,pu'di'bai
匍地龙柏,pu'di'long'bai
匍茎剪股颖,pu'jing'jian'gu'ying
铺散矢车菊,pu'san'shi'che'ju
葡萄,pu'tao
葡萄科,pu'tao'ke
普通蓼,pu'tong'liao
普通铁线蕨,pu'tong'tie'xian'jue
普通早熟禾,pu'tong'zao'shu'he
匍枝蓼,pu'zhi'liao
匍枝毛茛,pu'zhi'mao'gen
匍枝薹草,pu'zhi'tai'cao
七瓣莲,qi'ban'lian
脐草,qi'cao
漆姑草,qi'gu'cao
七筋姑,qi'jin'gu
岐茎蒿,qi'jing'hao
杞柳,qi'liu
棋盘花,qi'pan'hua
槭树科,qi'shu'ke
漆树科,qi'shu'ke
槭叶草,qi'ye'cao
槭叶福王草,qi'ye'fu'wang'cao
七叶树,qi'ye'shu
七叶树科,qi'ye'shu'ke
槭叶兔儿风,qi'ye'tu'er'feng
槭叶蚊子草,qi'ye'wen'zi'cao
奇异堇菜,qi'yi'jin'cai
祁州漏芦,qi'zhou'lou'lu
七姊妹,qi'zi'mei
茜草,qian'cao
茜草科,qian'cao'ke
浅齿蒿叶委陵菜,qian'chi'hao'ye'wei'ling'cai
千根草,qian'gen'cao
前胡,qian'hu
浅花地榆,qian'hua'di'yu
茜堇菜,qian'jin'cai
千金榆,qian'jin'yu
浅裂剪秋萝,qian'lie'jian'qiu'luo
荨麻科,qian'ma'ke
荨麻叶龙头草,qian'ma'ye'long'tou'cao
牵牛,qian'niu
千屈菜,qian'qu'cai
千屈菜科,qian'qu'cai'ke
千山蒿,qian'shan'hao
千山山梅花,qian'shan'shan'mei'hua
千头柏,qian'tou'bai
墙草,qiang'cao
蔷薇科,qiang'wei'ke
壳斗科,qiao'dou'ke
荞麦,qiao'mai
乔松,qiao'song
茄科,qie'ke
窃衣,qie'yi
芹菜,qin'cai
秦岭忍冬,qin'ling'ren'dong
琴叶福王草,qin'ye'fu'wang'cao
琴叶南芥,qin'ye'nan'jie
芹叶铁线莲,qin'ye'tie'xian'lian
青菜,qing'cai
青蒿,qing'hao
青结缕草,qing'jie'lv'cao
青楷槭,qing'kai'qi
青兰,qing'lan
苘麻,qing'ma
青杞,qing'qi
青扦云杉,qing'qian'yun'shan
青檀,qing'tan
蜻蜓兰,qing'ting'lan
青杨,qing'yang
穹窿薹草,qiong'long'tai'cao
球果白刺,qiu'guo'bai'ci
球果蔊菜,qiu'guo'han'cai
球果假水晶兰,qiu'guo'jia'shui'jing'lan
球果芥,qiu'guo'jie
球果堇菜,qiu'guo'jin'cai
球果唐松草,qiu'guo'tang'song'cao
球果卫矛,qiu'guo'wei'mao
秋海棠科,qiu'hai'tang'ke
球花风毛菊,qiu'hua'feng'mao'ju
秋画眉草,qiu'hua'mei'cao
丘假鹤虱,qiu'jia'he'shi
丘角菱,qiu'jiao'ling
球茎虎耳草,qiu'jing'hu'er'cao
求米草,qiu'mi'cao
丘沙参,qiu'sha'shen
球穗扁莎,qiu'sui'bian'sha
球穗莎草,qiu'sui'suo'cao
球穗薹草,qiu'sui'tai'cao
球序韭,qiu'xu'jiu
楸叶泡桐,qiu'ye'pao'tong
秋英,qiu'ying
球柱草,qiu'zhu'cao
楸子,qiu'zi
球子蕨,qiu'zi'jue
球子蕨科,qiu'zi'jue'ke
秋子梨,qiu'zi'li
曲唇羊耳蒜,qu'chun'yang'er'suan
曲萼绣线菊,qu'e'xiu'xian'ju
瞿麦,qu'mai
苣荬菜,qu'mai'cai
曲芒飘拂草,qu'mang'piao'fu'cao
曲毛露珠草,qu'mao'lu'zhu'cao
曲枝补血草,qu'zhi'bu'xue'cao
屈枝虫实,qu'zhi'chong'shi
曲枝天门冬,qu'zhi'tian'men'dong
犬蔷薇,quan'qiang'wei
犬问荆,quan'wen'jing
全叶碱地风毛菊,quan'ye'jian'di'feng'mao'ju
全叶马兰,quan'ye'ma'lan
全叶山芹,quan'ye'shan'qin
全叶延胡索,quan'ye'yan'hu'suo
全叶折苞风毛菊,quan'ye'zhe'bao'feng'mao'ju
全缘贯众,quan'yuan'guan'zhong
全缘山柳菊,quan'yuan'shan'liu'ju
全缘石松,quan'yuan'shi'song
全缘橐吾,quan'yuan'tuo'wu
全缘栒子,quan'yuan'xun'zi
雀斑党参,que'ban'dang'shen
雀儿舌头,que'er'she'tou
雀麦,que'mai
雀瓢,que'piao
雀舌繁缕,que'she'fan'lv
群心菜,qun'xin'cai
热河灯心草,re'he'deng'xin'cao
热河黄精,re'he'huang'jing
热河芦苇,re'he'lu'wei
忍冬科,ren'dong'ke
人参,ren'shen
日本赤杨,ri'ben'chi'yang
日本臭菘,ri'ben'chou'song
日本打碗花,ri'ben'da'wan'hua
日本旱樱,ri'ben'han'ying
日本黑松,ri'ben'hei'song
日本厚朴木兰,ri'ben'hou'pu'mu'lan
日本花柏,ri'ben'hua'bai
日本黄花茅,ri'ben'huang'hua'mao
日本蓝盆花,ri'ben'lan'pen'hua
日本鹿蹄草,ri'ben'lu'ti'cao
日本芦苇,ri'ben'lu'wei
日本乱子草,ri'ben'luan'zi'cao
日本落叶松,ri'ben'luo'ye'song
日本瓶尔小草,ri'ben'ping'er'xiao'cao
日本七叶树,ri'ben'qi'ye'shu
日本三蕊柳,ri'ben'san'rui'liu
日本散血丹,ri'ben'san'xue'dan
日本疏叶卷柏,ri'ben'shu'ye'juan'bai
日本粟,ri'ben'su
日本瓦松,ri'ben'wa'song
日本五针松,ri'ben'wu'zhen'song
日本岩蕨,ri'ben'yan'jue
日本泽芹,ri'ben'ze'qin
日本紫珠,ri'ben'zi'zhu
日照飘拂草,ri'zhao'piao'fu'cao
绒背蓟,rong'bei'ji
绒毛胡枝子,rong'mao'hu'zhi'zi
茸球藨草,rong'qiu'biao'cao
绒紫萁,rong'zi'qi
柔毛蒿,rou'mao'hao
柔毛花荵,rou'mao'hua'ren
柔毛黄花忍冬,rou'mao'huang'hua'ren'dong
柔毛曲萼绣线菊,rou'mao'qu'e'xiu'xian'ju
柔弱斑种草,rou'ruo'ban'zhong'cao
柔薹草,rou'tai'cao
柔枝莠竹,rou'zhi'you'zhu
乳浆大戟,ru'jiang'da'ji
乳头灯心草,ru'tou'deng'xin'cao
乳头基荸荠,ru'tou'ji'bi'qi
软毛齿缘草,ruan'mao'chi'yuan'cao
软毛虫实,ruan'mao'chong'shi
软薹草,ruan'tai'cao
软枣猕猴桃,ruan'zao'mi'hou'tao
锐齿鼠李,rui'chi'shu'li
锐裂箭头唐松草,rui'lie'jian'tou'tang'song'cao
瑞香科,rui'xiang'ke
锐枝木蓼,rui'zhi'mu'liao
撒金碧桃,sa'jin'bi'tao
赛北紫堇,sai'bei'zi'jin
赛繁缕,sai'fan'lv
赛黑桦,sai'hei'hua
赛南芥,sai'nan'jie
三叉耳蕨,san'cha'er'jue
伞繁缕,san'fan'lv
三河野豌豆,san'he'ye'wan'dou
三花顶冰花,san'hua'ding'bing'hua
伞花黄芪,san'hua'huang'qi
伞花金腰,san'hua'jin'yao
三花拉拉藤,san'hua'la'la'teng
三花龙胆,san'hua'long'dan
三花槭,san'hua'qi
伞花蔷薇,san'hua'qiang'wei
伞花山柳菊,san'hua'shan'liu'ju
散花唐松草,san'hua'tang'song'cao
伞花獐牙菜,san'hua'zhang'ya'cai
三江藨草,san'jiang'biao'cao
三角叶橐吾,san'jiao'ye'tuo'wu
三角酢浆草,san'jiao'zuo'jiang'cao
三肋果,san'lei'guo
三裂慈菇,san'lie'ci'gu
三裂狐尾藻,san'lie'hu'wei'zao
三裂绣线菊,san'lie'xiu'xian'ju
三裂叶豚草,san'lie'ye'tun'cao
三裂苎麻,san'lie'zhu'ma
三脉拉拉藤,san'mai'la'la'teng
三脉山黧豆,san'mai'shan'li'dou
三脉紫菀,san'mai'zi'wan
三芒草,san'mang'cao
三七草,san'qi'cao
三球悬铃木,san'qiu'xuan'ling'mu
三蕊柳,san'rui'liu
三色堇,san'se'jin
散穗甜茅,san'sui'tian'mao
散穗早熟禾,san'sui'zao'shu'he
伞形科,san'xing'ke
伞形喜冬草,san'xing'xi'dong'cao
三桠乌药,san'ya'wu'yao
三叶白蔹,san'ye'bai'lian
三叶海棠,san'ye'hai'tang
三叶鹿药,san'ye'lu'yao
三叶委陵菜,san'ye'wei'ling'cai
桑寄生科,sang'ji'sheng'ke
桑科,sang'ke
扫帚沙参,sao'zhou'sha'shen
扫帚油松,sao'zhou'you'song
色赤杨,se'chi'yang
色木槭,se'mu'qi
森林附地菜,sen'lin'fu'di'cai
森林假繁缕,sen'lin'jia'fan'lv
沙打旺,sha'da'wang
砂狗娃花,sha'gou'wa'hua
沙蒿,sha'hao
莎禾,sha'he
沙棘,sha'ji
沙芥,sha'jie
砂韭,sha'jiu
沙苦荬菜,sha'ku'mai'cai
沙梾,sha'lai
砂蓝刺头,sha'lan'ci'tou
沙兰杨,sha'lan'yang
沙梨,sha'li
沙芦草,sha'lu'cao
杉木,sha'mu
沙蓬,sha'peng
沙杞柳,sha'qi'liu
砂生桦,sha'sheng'hua
沙松冷杉,sha'song'leng'shan
莎薹草,sha'tai'cao
沙滩黄芩,sha'tan'huang'qin
莎菀,sha'wan
砂引草,sha'yin'cao
沙枣,sha'zao
砂珍棘豆,sha'zhen'ji'dou
砂砧薹草,sha'zhen'tai'cao
山刺玫,shan'ci'mei
山丹,shan'dan
山地鳞毛蕨,shan'di'lin'mao'jue
山东邪蒿,shan'dong'xie'hao
山矾科,shan'fan'ke
山飞蓬,shan'fei'peng
山风毛菊,shan'feng'mao'ju
山梗菜,shan'geng'cai
山蒿,shan'hao
山荷叶,shan'he'ye
珊瑚菜,shan'hu'cai
珊瑚荚蒾,shan'hu'jia'mi
珊瑚兰,shan'hu'lan
山花椒,shan'hua'jiao
山茴香,shan'hui'xiang
山棘豆,shan'ji'dou
山尖子,shan'jian'zi
山芥菜,shan'jie'cai
山芥叶蔊菜,shan'jie'ye'han'cai
山荆子,shan'jing'zi
山韭,shan'jiu
杉科,shan'ke
山苦菜,shan'ku'cai
山拉拉藤,shan'la'la'teng
山兰,shan'lan
山冷蕨,shan'leng'jue
山冷水花,shan'leng'shui'hua
山黧豆,shan'li'dou
山林薹草,shan'lin'tai'cao
山萝花,shan'luo'hua
山马兰,shan'ma'lan
山麦冬,shan'mai'dong
杉蔓石松,shan'man'shi'song
山毛桃,shan'mao'tao
山莓草,shan'mei'cao
山牛蒡,shan'niu'bang
山泡泡,shan'pao'pao
山葡萄,shan'pu'tao
山茄子,shan'qie'zi
山芹,shan'qin
山芍药,shan'shao'yao
山桃草,shan'tao'cao
山葶苈,shan'ting'li
山莴苣,shan'wo'ju
山菥蓂,shan'xi'mi
山香芹,shan'xiang'qin
山杏,shan'xing
山岩黄芪,shan'yan'huang'qi
山杨,shan'yang
扇叶桦,shan'ye'hua
山野豌豆,shan'ye'wan'dou
杉叶藻科,shan'ye'zao'ke
山樱花,shan'ying'hua
山樱桃,shan'ying'tao
扇羽小阴地蕨,shan'yu'xiao'yin'di'jue
山鸢尾,shan'yuan'wei
山皂荚,shan'zao'jia
山楂,shan'zha
山楂海棠,shan'zha'hai'tang
山楂叶悬钩子,shan'zha'ye'xuan'gou'zi
山竹岩黄芪,shan'zhu'yan'huang'qi
山茱萸科,shan'zhu'yu'ke
山酢浆草,shan'zuo'jiang'cao
商陆,shang'lu
商陆科,shang'lu'ke
少刺辽东楤木,shao'ci'liao'dong'song'mu
少花顶冰花,shao'hua'ding'bing'hua
少花拉拉藤,shao'hua'la'la'teng
少花圆叶黑樱桃,shao'hua'yuan'ye'hei'ying'tao
少囊灰脉薹草,shao'nang'hui'mai'tai'cao
少囊薹草,shao'nang'tai'cao
少囊凸脉薹草,shao'nang'tu'mai'tai'cao
芍药,shao'yao
芍药科,shao'yao'ke
芍叶紫堇,shao'ye'zi'jin
蛇床,she'chuang
蛇床茴芹,she'chuang'hui'qin
蛇岛乌头,she'dao'wu'tou
射干,she'gan
蛇瓜,she'gua
蛇含委陵菜,she'han'wei'ling'cai
蛇莓,she'mei
蛇莓委陵菜,she'mei'wei'ling'cai
蛇葡萄,she'pu'tao
蛇足石杉,she'zu'shi'shan
深波岩蕨,shen'bo'yan'jue
深齿匍匐委陵菜,shen'chi'pu'fu'wei'ling'cai
深裂假升麻,shen'lie'jia'sheng'ma
深山堇菜,shen'shan'jin'cai
深山露珠草,shen'shan'lu'zhu'cao
深山毛茛,shen'shan'mao'gen
深山蔷薇,shen'shan'qiang'wei
深山唐松草,shen'shan'tang'song'cao
肾叶报春,shen'ye'bao'chun
肾叶打碗花,shen'ye'da'wan'hua
肾叶高山蓼,shen'ye'gao'shan'liao
肾叶鹿蹄草,shen'ye'lu'ti'cao
肾叶唐松草,shen'ye'tang'song'cao
生菜,sheng'cai
绳虫实,sheng'chong'shi
省沽油,sheng'gu'you
省沽油科,sheng'gu'you'ke
石蚕叶婆婆纳,shi'can'ye'po'po'na
石蚕叶绣线菊,shi'can'ye'xiu'xian'ju
矢车菊,shi'che'ju
湿地黄芪,shi'di'huang'qi
湿地勿忘草,shi'di'wu'wang'cao
石刁柏,shi'diao'bai
石防风,shi'fang'feng
石胡荽,shi'hu'sui
石荠苎,shi'ji'zhu
石假繁缕,shi'jia'fan'lv
什锦丁香,shi'jin'ding'xiang
石龙芮毛茛,shi'long'rui'mao'gen
石龙尾,shi'long'wei
莳萝,shi'luo
莳萝蒿,shi'luo'hao
石米努草,shi'mi'nu'cao
石沙参,shi'sha'shen
石杉,shi'shan
石杉科,shi'shan'ke
湿生狗舌草,shi'sheng'gou'she'cao
石生蓼,shi'sheng'liao
石生麦瓶草,shi'sheng'mai'ping'cao
湿生鼠曲草,shi'sheng'shu'qu'cao
石生悬钩子,shi'sheng'xuan'gou'zi
柿树科,shi'shu'ke
石松科,shi'song'ke
石蒜科,shi'suan'ke
湿薹草,shi'tai'cao
石薹草,shi'tai'cao
石竹,shi'zhu
石竹科,shi'zhu'ke
虱子草,shi'zi'cao
十字花科,shi'zi'hua'ke
十字兰,shi'zi'lan
绶草,shou'cao
瘦桦,shou'hua
手掌参,shou'zhang'can
疏花车前,shu'hua'che'qian
疏花光砂蒿,shu'hua'guang'sha'hao
疏花蓼,shu'hua'liao
树锦鸡儿,shu'jin'ji'er
蜀葵,shu'kui
鼠李,shu'li
鼠李科,shu'li'ke
疏毛翠雀,shu'mao'cui'que
疏毛女娄菜,shu'mao'nv'lou'cai
曙南芥,shu'nan'jie
疏穗野青茅,shu'sui'ye'qing'mao
疏薹草,shu'tai'cao
薯蓣,shu'yu
薯蓣科,shu'yu'ke
疏羽鳞毛蕨,shu'yu'lin'mao'jue
鼠掌老鹳草,shu'zhang'lao'guan'cao
栓皮白桦,shuan'pi'bai'hua
栓皮栎,shuan'pi'li
栓皮薹草,shuan'pi'tai'cao
栓枝春榆,shuan'zhi'chun'yu
双稃草,shuang'fu'cao
双花堇菜,shuang'hua'jin'cai
双辽薹草,shuang'liao'tai'cao
双蕊兰,shuang'rui'lan
水鳖,shui'bie
水鳖科,shui'bie'ke
睡菜,shui'cai
睡菜科,shui'cai'ke
水车前,shui'che'qian
水葱,shui'cong
水甸附地菜,shui'dian'fu'di'cai
水冬瓜赤杨,shui'dong'gua'chi'yang
水飞蓟,shui'fei'ji
水蒿,shui'hao
水棘针,shui'ji'zhen
水金凤,shui'jin'feng
水苦荬婆婆纳,shui'ku'mai'po'po'na
水蜡树,shui'la'shu
睡莲,shui'lian
睡莲科,shui'lian'ke
水蓼,shui'liao
水龙骨科,shui'long'gu'ke
水马齿科,shui'ma'chi'ke
水麦冬,shui'mai'dong
水麦冬科,shui'mai'dong'ke
水茫草,shui'mang'cao
水茅,shui'mao
水毛茛,shui'mao'gen
水毛花,shui'mao'hua
水婆婆纳,shui'po'po'na
水葡萄茶藨,shui'pu'tao'cha'biao
水芹,shui'qin
水曲柳,shui'qu'liu
水筛,shui'shai
水杉,shui'shan
水蛇麻,shui'she'ma
水生多叶蓼,shui'sheng'duo'ye'liao
水生酸模,shui'sheng'suan'mo
水湿蓼,shui'shi'liao
水湿柳叶菜,shui'shi'liu'ye'cai
水苏,shui'su
水莎草,shui'suo'cao
水田稗,shui'tian'bai
水田碎米荠,shui'tian'sui'mi'ji
水问荆,shui'wen'jing
水蜈蚣,shui'wu'gong
水栒子,shui'xun'zi
水杨梅,shui'yang'mei
水芋,shui'yu
水榆花楸,shui'yu'hua'qiu
水珠草,shui'zhu'cao
丝瓣剪秋萝,si'ban'jian'qiu'luo
丝梗扭柄花,si'geng'niu'bing'hua
丝瓜,si'gua
四花薹草,si'hua'tai'cao
四季丁香,si'ji'ding'xiang
丝毛飞廉,si'mao'fei'lian
司氏柳,si'shi'liu
四叶重楼,si'ye'chong'lou
丝叶茨藻,si'ye'ci'zao
丝叶旱麦瓶草,si'ye'han'mai'ping'cao
丝叶蒿,si'ye'hao
丝叶苦菜,si'ye'ku'cai
四叶葎拉拉藤,si'ye'lv'la'la'teng
丝叶球柱草,si'ye'qiu'zhu'cao
丝叶山芹,si'ye'shan'qin
四叶杉叶藻,si'ye'shan'ye'zao
丝叶石防风,si'ye'shi'fang'feng
丝叶唐松草,si'ye'tang'song'cao
丝叶鸦葱,si'ye'ya'cong
丝叶页蒿,si'ye'ye'hao
丝引薹草,si'yin'tai'cao
嵩草,song'cao
松东锦鸡儿,song'dong'jin'ji'er
松蒿,song'hao
松花江薹草,song'hua'jiang'tai'cao
松江蓼,song'jiang'liao
松江柳,song'jiang'liu
松科,song'ke
松毛翠,song'mao'cui
松下兰,song'xia'lan
松叶毛茛,song'ye'mao'gen
松叶乳浆大戟,song'ye'ru'jiang'da'ji
松叶沙参,song'ye'sha'shen
粟草,su'cao
宿齿木贼,su'chi'mu'zei
苏丹草,su'dan'cao
宿根高梁,su'gen'gao'liang
粟绿铁角蕨,su'lv'tie'jiao'jue
蒜芥茄,suan'jie'qie
酸模,suan'mo
酸模叶蓼,suan'mo'ye'liao
酸枣,suan'zao
绥芬薹草,sui'fen'tai'cao
穗花马先蒿,sui'hua'ma'xian'hao
碎米莎草,sui'mi'suo'cao
穗三毛,sui'san'mao
穗生苗荸荠,sui'sheng'miao'bi'qi
碎叶苦荬菜,sui'ye'ku'mai'cai
碎叶山芹,sui'ye'shan'qin
穗状狐尾藻,sui'zhuang'hu'wei'zao
笋瓜,sun'gua
莎草,suo'cao
莎草科,suo'cao'ke
索伦野豌豆,suo'lun'ye'wan'dou
唢呐草,suo'na'cao
塔柏,ta'bai
塔形小叶杨,ta'xing'xiao'ye'yang
薹草,tai'cao
太平洋蓼,tai'ping'yang'liao
台湾蒲公英,tai'wan'pu'gong'ying
檀香科,tan'xiang'ke
糖茶藨,tang'cha'biao
唐菖蒲,tang'chang'pu
糖芥,tang'jie
唐松草,tang'song'cao
绦柳,tao'liu
洮南灯心草,tao'nan'deng'xin'cao
桃色忍冬,tao'se'ren'dong
桃叶蓼,tao'ye'liao
桃叶鸦葱,tao'ye'ya'cong
蹄盖蕨科,ti'gai'jue'ke
梯牧草,ti'mu'cao
蹄叶橐吾,ti'ye'tuo'wu
甜菜,tian'cai
天池碎米荠,tian'chi'sui'mi'ji
田春黄菊,tian'chun'huang'ju
田蒿,tian'hao
甜菊,tian'ju
天蓝韭,tian'lan'jiu
天蓝苜蓿,tian'lan'mu'xu
天蓝绣球,tian'lan'xiu'qiu
天栌,tian'lu
天麻,tian'ma
田麻,tian'ma
天南星,tian'nan'xing
天南星科,tian'nan'xing'ke
天女木兰,tian'nv'mu'lan
天山报春,tian'shan'bao'chun
田蒜芥,tian'suan'jie
天仙子,tian'xian'zi
田旋花,tian'xuan'hua
甜杨,tian'yang
田皂角,tian'zao'jiao
条裂小阴地蕨,tiao'lie'xiao'yin'di'jue
条叶百合,tiao'ye'bai'he
贴苞灯心草,tie'bao'deng'xin'cao
铁角蕨科,tie'jiao'jue'ke
铁扫帚,tie'sao'zhou
铁山耧斗菜,tie'shan'lou'dou'cai
铁苋菜,tie'xian'cai
铁线蕨科,tie'xian'jue'ke
葶苈,ting'li
同花母菊,tong'hua'mu'ju
通奶草,tong'nai'cao
通泉草,tong'quan'cao
透骨草,tou'gu'cao
透骨草科,tou'gu'cao'ke
透茎冷水花,tou'jing'leng'shui'hua
头石竹,tou'shi'zhu
头穗藨草,tou'sui'biao'cao
头穗莎草,tou'sui'suo'cao
头序麦瓶草,tou'xu'mai'ping'cao
头状蓼,tou'zhuang'liao
兔儿伞,tu'er'san
突果眼子菜,tu'guo'yan'zi'cai
凸尖蒲公英,tu'jian'pu'gong'ying
突节老鹳草,tu'jie'lao'guan'cao
菟葵,tu'kui
凸脉薹草,tu'mai'tai'cao
图们黄芩,tu'men'huang'qin
图们薹草,tu'men'tai'cao
土默特鼠李,tu'mo'te'shu'li
菟丝子,tu'si'zi
土庄绣线菊,tu'zhuang'xiu'xian'ju
团球火绒草,tuan'qiu'huo'rong'cao
团扇荠,tuan'shan'ji
团扇蕨,tuan'shan'jue
团叶单侧花,tuan'ye'dan'ce'hua
团羽铁线蕨,tuan'yu'tie'xian'jue
豚草,tun'cao
脱皮榆,tuo'pi'yu
驼绒藜,tuo'rong'li
驼舌草,tuo'she'cao
