阿必的女性亚母亲,a'bi'de'nv'xing'ya'mu'qin
新局长到来之前,xin'ju'zhang'dao'lai'zhi'qian
辛松斌,xin'song'bin
新桃花园记,xin'tao'hua'yuan'ji
辛文涛,xin'wen'tao
辛文正,xin'wen'zheng
新雁门关,xin'yan'men'guan
邢炳涛,xing'bing'tao
邢迪海,xing'di'hai
邢文伯,xing'wen'bo
邢文召,xing'wen'zhao
徐保库,xu'bao'ku
徐宝瑜,xu'bao'yu
徐策跑城,xu'ce'pao'cheng
徐长福,xu'chang'fu
绪得贵,xu'de'gui
徐德奎,xu'de'kui
徐迪建,xu'di'jian
徐景信,xu'jing'xin
徐茂昌,xu'mao'chang
徐派,xu'pai
徐瑞海,xu'rui'hai
徐松林,xu'song'lin
许文跃,xu'wen'yue
许秀林,xu'xiu'lin
徐永刚,xu'yong'gang
徐祖国,xu'zu'guo
学大鼓,xue'da'gu
学方言,xue'fang'yan
学叫唤,xue'jiao'huan
学京剧,xue'jing'ju
学模特,xue'mo'te
薛平贵,xue'ping'gui
学裘派,xue'qiu'pai
雪童,xue'tong
学演日本戏,xue'yan'ri'ben'xi
学越剧,xue'yue'ju
薛志秀,xue'zhi'xiu
学坠子,xue'zhui'zi
驯悍记,xun'han'ji
荀慧生,xun'hui'sheng
训徒,xun'tu
雅典的泰门,ya'dian'de'tai'men
哑剧,ya'ju
哑女告状,ya'nv'gao'zhuang
压迫,ya'po
阎伯山,yan'bo'shan
阎金城,yan'jin'cheng
言菊朋,yan'ju'peng
燕兰小谱,yan'lan'xiao'pu
阎明,yan'ming
言庆洋,yan'qing'yang
言少朋,yan'shao'peng
彦授辰,yan'shou'chen
阎笑儒,yan'xiao'ru
言兴朋,yan'xing'peng
艳阳天,yan'yang'tian
严玉林,yan'yu'lin
阎振俗,yan'zhen'su
杨宝森,yang'bao'sen
杨宝璋,yang'bao'zhang
杨伯英,yang'bo'ying
杨长鸣,yang'chang'ming
杨常州,yang'chang'zhou
杨迪中,yang'di'zhong
杨贵田,yang'gui'tian
杨海荃,yang'hai'quan
杨洪滨,yang'hong'bin
杨进明,yang'jin'ming
杨金声,yang'jin'sheng
杨静亭,yang'jing'ting
杨禄,yang'lu
杨门女将,yang'men'nv'jiang
杨乃彭,yang'nai'peng
杨宁,yang'ning
阳平关,yang'ping'guan
杨瑞库,yang'rui'ku
杨少华,yang'shao'hua
杨绍奎,yang'shao'kui
杨少彭,yang'shao'peng
杨世龙,yang'shi'long
杨世章,yang'shi'zhang
杨四奇,yang'si'qi
杨松临,yang'song'lin
阳台,yang'tai
杨天立,yang'tian'li
杨天茂,yang'tian'mao
杨威,yang'wei
杨文峰,yang'wen'feng
杨闻华,yang'wen'hua
杨文义,yang'wen'yi
杨雅松,yang'ya'song
杨燕毅,yang'yan'yi
杨英彩,yang'ying'cai
杨振华,yang'zhen'hua
杨志刚,yang'zhi'gang
杨志光,yang'zhi'guang
杨稚敏,yang'zhi'min
杨紫阳,yang'zi'yang
杨祖尧,yang'zu'yao
姚翠官,yao'cui'guan
姚旦,yao'dan
姚文虎,yao'wen'hu
姚新光,yao'xin'guang
姚玉明,yao'yu'ming
叶杰平,ye'jie'ping
叶景林,ye'jing'lin
叶立中,ye'li'zhong
野人,ye'ren
夜色迷人,ye'se'mi'ren
夜上海,ye'shang'hai
叶少臣,ye'shao'chen
叶声,ye'sheng
叶盛兰,ye'sheng'lan
叶寿亭,ye'shou'ting
叶太珍,ye'tai'zhen
夜逃,ye'tao
叶文杰,ye'wen'jie
夜行记,ye'xing'ji
野鸭,ye'ya
叶涌,ye'yong
伊,yi
一报还一报,yi'bao'huan'yi'bao
易卜生,yi'bu'sheng
一出梦的戏剧,yi'chu'meng'de'xi'ju
伊菲格纳亚在伊斯,yi'fei'ge'na'ya'zai'yi'si
伊菲格纳亚在伊斯郝彩凤,yi'fei'ge'na'ya'zai'yi'si'hao'cai'feng
伊菲莱涅亚,yi'fei'lai'nie'ya
一幅喜神,yi'fu'xi'shen
一个和八个,yi'ge'he'ba'ge
一个女人和一条狗,yi'ge'nv'ren'he'yi'tiao'gou
一个死者对生者的访问,yi'ge'si'zhe'dui'sheng'zhe'de'fang'wen
一个推销员,yi'ge'tui'xiao'yuan
忆江南,yi'jiang'nan
一片爱国心,yi'pian'ai'guo'xin
一人多角,yi'ren'duo'jiao
医生的两难选择,yi'sheng'de'liang'nan'xuan'ze
易俗社,yi'su'she
伊索,yi'suo
一坛黄金,yi'tan'huang'jin
伊翁,yi'weng
一致,yi'zhi
一只马蜂,yi'zhi'ma'feng
银达子,yin'da'zi
尹良俗,yin'liang'su
阴谋与爱情,yin'mou'yu'ai'qing
尹派,yin'pai
殷培田,yin'pei'tian
尹寿山,yin'shou'shan
殷文硕,yin'wen'shuo
尹笑声,yin'xiao'sheng
阴阳鉴,yin'yang'jian
殷振江,yin'zhen'jiang
尹卓林,yin'zhuo'lin
影视歌迷,ying'shi'ge'mi
樱桃园,ying'tao'yuan
樱桃圆,ying'tao'yuan
影戏考,ying'xi'kao
英雄的阵地,ying'xiong'de'zhen'di
游龟山,you'gui'shan
游击小战士,you'ji'xiao'zhan'shi
幽兰女士,you'lan'nv'shi
尤涅斯库,you'nie'si'ku
友谊颂,you'yi'song
有一种毒药,you'yi'zhong'du'yao
有罪的母亲,you'zui'de'mu'qin
鱼,yu
于宝林,yu'bao'lin
鱼肠剑,yu'chang'jian
于春明,yu'chun'ming
于春藻,yu'chun'zao
裕德隆,yu'de'long
裕二福,yu'er'fu
鱼儿问答,yu'er'wen'da
雨还会下,yu'hai'hui'xia
玉虎坠,yu'hu'zhui
于化民,yu'hua'min
豫剧,yu'ju
于俊波,yu'jun'bo
于克志,yu'ke'zhi
愉快的戏剧集,yu'kuai'de'xi'ju'ji
于魁智,yu'kui'zhi
玉来子,yu'lai'zi
于连仲,yu'lian'zhong
于谦,yu'qian
鱼人,yu'ren
于世德,yu'shi'de
于世猷,yu'shi'you
榆树屯风情,yu'shu'tun'feng'qing
榆树下的欲望,yu'shu'xia'de'yu'wang
余叔岩,yu'shu'yan
玉堂春,yu'tang'chun
欲望号街车,yu'wang'hao'jie'che
余文光,yu'wen'guang
于文海,yu'wen'hai
于无声处,yu'wu'sheng'chu
于笑澜,yu'xiao'lan
玉小亭,yu'xiao'ting
于佑福,yu'you'fu
宇宙锋,yu'zhou'feng
宇宙牌香烟,yu'zhou'pai'xiang'yan
元春起,yuan'chun'qi
袁克勤,yuan'ke'qin
辕门斩子,yuan'men'zhan'zi
袁派,yuan'pai
袁佩楼,yuan'pei'lou
袁世海,yuan'shi'hai
袁松麒,yuan'song'qi
原野,yuan'ye
贠宗汉,yuan'zong'han
约翰王,yue'han'wang
越剧,yue'ju
杂谈地方戏,za'tan'di'fang'xi
杂音博士,za'yin'bo'shi
再会吧香港,zai'hui'ba'xiang'gang
在康布尔草原上,zai'kang'bu'er'cao'yuan'shang
在路上,zai'lu'shang
在罗马,zai'luo'ma
在陶洛人里的伊菲格纳,zai'tao'luo'ren'li'de'yi'fei'ge'na
在陶洛人里的伊菲格纳亚,zai'tao'luo'ren'li'de'yi'fei'ge'na'ya
在新事物的面前,zai'xin'shi'wu'de'mian'qian
臧洪,zang'hong
澡堂,zao'tang
造谣丹,zao'yao'dan
造谣学校,zao'yao'xue'xiao
贼说话,zei'shuo'hua
铡美案,zha'mei'an
铡判官,zha'pan'guan
斩白袍,zhan'bai'pao
战北原,zhan'bei'yuan
站唱,zhan'chang
战长沙,zhan'chang'sha
斩单童,zhan'dan'tong
战斗的夏天,zhan'dou'de'xia'tian
战斗里成长,zhan'dou'li'cheng'zhang
斩黄袍,zhan'huang'pao
斩经堂,zhan'jing'tang
斩李广,zhan'li'guang
斩马谡,zhan'ma'su
斩秦英,zhan'qin'ying
战暑日,zhan'shu'ri
站说,zhan'shuo
战太平,zhan'tai'ping
战线南移,zhan'xian'nan'yi
斩姚期,zhan'yao'qi
张,zhang
张保明,zhang'bao'ming
张宝如,zhang'bao'ru
张宝珍,zhang'bao'zhen
张宝珠,zhang'bao'zhu
张伯华,zhang'bo'hua
张伯俊,zhang'bo'jun
张伯涛,zhang'bo'tao
张伯勋,zhang'bo'xun
张充,zhang'chong
张春华,zhang'chun'hua
张春奎,zhang'chun'kui
张春生,zhang'chun'sheng
张春旺,zhang'chun'wang
张存珠,zhang'cun'zhu
张大礼,zhang'da'li
张德俊,zhang'de'jun
张德起,zhang'de'qi
张德泉,zhang'de'quan
张鼎望,zhang'ding'wang
张东波,zhang'dong'bo
张福祥,zhang'fu'xiang
张光,zhang'guang
张广发,zhang'guang'fa
张鸿滨,zhang'hong'bin
张火丁,zhang'huo'ding
张继,zhang'ji
张继贤,zhang'ji'xian
张继英,zhang'ji'ying
张嘉利,zhang'jia'li
张建国,zhang'jian'guo
张建忠,zhang'jian'zhong
张杰尧,zhang'jie'yao
张金玉,zhang'jin'yu
张克,zhang'ke
张奎清,zhang'kui'qing
张兰秦,zhang'lan'qin
张立林,zhang'li'lin
张立森,zhang'li'sen
张连卖布,zhang'lian'mai'bu
张鲁,zhang'lu
张茂起,zhang'mao'qi
张梅英,zhang'mei'ying
掌门妖,zhang'men'yao
张明新,zhang'ming'xin
张乃勤,zhang'nai'qin
张盘,zhang'pan
张佩如,zhang'pei'ru
张千,zhang'qian
张庆济,zhang'qing'ji
张庆森,zhang'qing'sen
张三禄,zhang'san'lu
张善曾,zhang'shan'ceng
张少清,zhang'shao'qing
张绍堂,zhang'shao'tang
张世芳,zhang'shi'fang
张寿臣,zhang'shou'chen
张树茂,zhang'shu'mao
张书新,zhang'shu'xin
张松青,zhang'song'qing
张庭萱,zhang'ting'xuan
张闻得,zhang'wen'de
张文甫,zhang'wen'fu
张文辉,zhang'wen'hui
张文明,zhang'wen'ming
张文琪,zhang'wen'qi
张文茹,zhang'wen'ru
张文习,zhang'wen'xi
张文霞,zhang'wen'xia
张文祥刺马,zhang'wen'xiang'ci'ma
张文学,zhang'wen'xue
张喜林,zhang'xi'lin
张小亮,zhang'xiao'liang
张笑勤,zhang'xiao'qin
张兴海,zhang'xing'hai
张兴汉,zhang'xing'han
张兴华,zhang'xing'hua
张学彦,zhang'xue'yan
张雅成,zhang'ya'cheng
张雅璐,zhang'ya'lu
张雅升,zhang'ya'sheng
张义勤,zhang'yi'qin
张勇敢,zhang'yong'gan
张永久,zhang'yong'jiu
张永熙,zhang'yong'xi
张玉琪,zhang'yu'qi
张玉堂,zhang'yu'tang
张云武,zhang'yun'wu
张振圻,zhang'zhen'qi
张志宽,zhang'zhi'kuan
张志强,zhang'zhi'qiang
张自忠,zhang'zi'zhong
赵霭如,zhao'ai'ru
赵保成,zhao'bao'cheng
赵宝贵,zhao'bao'gui
赵保乐,zhao'bao'le
赵葆秀,zhao'bao'xiu
赵辈亭,zhao'bei'ting
赵斌,zhao'bin
赵传璋,zhao'chuan'zhang
赵传真,zhao'chuan'zhen
赵春田,zhao'chun'tian
赵得亮,zhao'de'liang
赵迪兴,zhao'di'xing
赵福玉,zhao'fu'yu
赵广山,zhao'guang'shan
赵恒,zhao'heng
赵津生,zhao'jin'sheng
赵晶,zhao'jing
找舅舅,zhao'jiu'jiu
赵兰亭,zhao'lan'ting
赵立梧,zhao'li'wu
赵连功,zhao'lian'gong
赵连升,zhao'lian'sheng
赵亮,zhao'liang
赵佩茹,zhao'pei'ru
找山,zhao'shan
赵氏孤儿,zhao'shi'gu'er
赵世忠,zhao'shi'zhong
赵寿舫,zhao'shou'fang
找糖,zhao'tang
找堂会,zhao'tang'hui
赵天寿,zhao'tian'shou
赵伟洲,zhao'wei'zhou
赵文,zhao'wen
赵文浩,zhao'wen'hao
赵文岚,zhao'wen'lan
赵文启,zhao'wen'qi
赵稳增,zhao'wen'zeng
赵小兰,zhao'xiao'lan
赵小林,zhao'xiao'lin
赵心敏,zhao'xin'min
赵秀君,zhao'xiu'jun
赵炎,zhao'yan
赵幼樵,zhao'you'qiao
赵玉贵,zhao'yu'gui
赵振铎,zhao'zhen'duo
浙百,zhe'bai
这不过是春天,zhe'bu'guo'shi'chun'tian
折桂斧,zhe'gui'fu
这里的黎明静悄悄,zhe'li'de'li'ming'jing'qiao'qiao
这里的诺夫,zhe'li'de'nuo'fu
折子戏,zhe'zi'xi
真诚最要紧,zhen'cheng'zui'yao'jin
甄靖,zhen'jing
甄奇,zhen'qi
真相毕露,zhen'xiang'bi'lu
郑福山,zheng'fu'shan
郑松涛,zheng'song'tao
郑文昆,zheng'wen'kun
郑文喜,zheng'wen'xi
郑祥泰,zheng'xiang'tai
郑小山,zheng'xiao'shan
正在想,zheng'zai'xiang
郑仲衡,zheng'zhong'heng
值班医生,zhi'ban'yi'sheng
智取生辰纲,zhi'qu'sheng'chen'gang
知县见巡抚,zhi'xian'jian'xun'fu
支援新厂,zhi'yuan'xin'chang
智者千虑必有一失,zhi'zhe'qian'lv'bi'you'yi'shi
终成眷属,zhong'cheng'juan'shu
中国梦,zhong'guo'meng
终身大事,zhong'shen'da'shi
重台会,zhong'tai'hui
仲夏夜之梦,zhong'xia'ye'zhi'meng
周德山,zhou'de'shan
周恩来君,zhou'en'lai'jun
周辅国,zhou'fu'guo
周桂林,zhou'gui'lin
周洪儒,zhou'hong'ru
周琪,zhou'qi
周仁回府,zhou'ren'hui'fu
周伟,zhou'wei
周文游,zhou'wen'you
周印金,zhou'yin'jin
周志光,zhou'zhi'guang
逐步升级,zhu'bu'sheng'ji
朱凤山,zhu'feng'shan
祝福,zhu'fu
祝景荃,zhu'jing'quan
朱君贵,zhu'jun'gui
朱阔泉,zhu'kuo'quan
竺派,zhu'pai
朱琦,zhu'qi
朱庆山,zhu'qing'shan
主曲体,zhu'qu'ti
朱绍文,zhu'shao'wen
朱文先,zhu'wen'xian
朱文正,zhu'wen'zheng
朱相臣,zhu'xiang'chen
朱永福,zhu'yong'fu
朱永义,zhu'yong'yi
朱贞富,zhu'zhen'fu
朱周义,zhu'zhou'yi
抓壮丁,zhua'zhuang'ding
庄佩臣,zhuang'pei'chen
装小嘴,zhuang'xiao'zui
状元媒,zhuang'yuan'mei
庄周试妻,zhuang'zhou'shi'qi
缀白裘,zhui'bai'qiu
捉刀人,zhuo'dao'ren
捉放曹,zhuo'fang'cao
卓文君,zhuo'wen'jun
子弟兵和老百姓,zi'di'bing'he'lao'bai'xing
紫金簪,zi'jin'zan
自烹,zi'peng
邹德江,zou'de'jiang
走雪,zou'xue
祖爷爷的烦恼,zu'ye'ye'de'fan'nao
最差先生,zui'cha'xian'sheng
最后的胜利,zui'hou'de'sheng'li
最后一幕,zui'hou'yi'mu
醉酒的女人,zui'jiu'de'nv'ren
坐唱,zuo'chang
左春来,zuo'chun'lai
做大褂,zuo'da'gua
坐说,zuo'shuo
