暧暧城霞旦,ai'ai'cheng'xia'dan
鸟来远语法,niao'lai'yuan'yu'fa
鸟没空山谁复望,niao'mei'kong'shan'shui'fu'wang
袅袅长数寻,niao'niao'chang'shu'xun
袅袅汉宫柳,niao'niao'han'gong'liu
袅袅清夜猿,niao'niao'qing'ye'yuan
袅袅秋风动,niao'niao'qiu'feng'dong
袅娜垂来久,niao'nuo'chui'lai'jiu
鸟翩翩兮疾飞,niao'pian'pian'xi'ji'fei
鸟跂星悬危复斜,niao'qi'xing'xuan'wei'fu'xie
鸟雀垂窗柳,niao'que'chui'chuang'liu
鸟雀静不飞,niao'que'jing'bu'fei
鸟雀下空庭,niao'que'xia'kong'ting
鸟雀知天雪,niao'que'zhi'tian'xue
鸟声乱溪水,niao'sheng'luan'xi'shui
鸟识欢心亦解歌,niao'shi'huan'xin'yi'jie'ge
鸟兽游清泠,niao'shou'you'qing'ling
鸟言诚所诱,niao'yan'cheng'suo'you
鸟亦罢其鸣,niao'yi'ba'qi'ming
鸟吟当户竹,niao'yin'dang'hu'zhu
鸟与孤帆远,niao'yu'gu'fan'yuan
鸟籀遗新阁,niao'zhou'yi'xin'ge
鸟啭深林里,niao'zhuan'shen'lin'li
凝碧池头奏管弦,ning'bi'chi'tou'zou'guan'xian
宁分触石容,ning'fen'chu'shi'rong
宁复畏潮波,ning'fu'wei'chao'bo
宁辜济物情,ning'gu'ji'wu'qing
凝笳随晓旆,ning'jia'sui'xiao'pei
宁栖野树林,ning'qi'ye'shu'lin
宁亲为令子,ning'qin'wei'ling'zi
宁求白璧赉,ning'qiu'bai'bi'lai
宁俟岁云暮,ning'si'sui'yun'mu
宁同旧日旋,ning'tong'jiu'ri'xuan
宁惟耕稼任,ning'wei'geng'jia'ren
凝为一段愁,ning'wei'yi'duan'chou
宁问春将夏,ning'wen'chun'jiang'xia
宁问声与音,ning'wen'sheng'yu'yin
宁言十馀里,ning'yan'shi'yu'li
宁饮涧水流,ning'yin'jian'shui'liu
宁由贝锦诗,ning'you'bei'jin'shi
宁有济川期,ning'you'ji'chuan'qi
宁知白马来,ning'zhi'bai'ma'lai
宁知沮溺贤,ning'zhi'ju'ni'xian
宁止卧崆峒,ning'zhi'wo'kong'tong
宁知武陵趣,ning'zhi'wu'ling'qu
宁知心所亲,ning'zhi'xin'suo'qin
宁止暂忘归,ning'zhi'zan'wang'gui
牛羊还自牧,niu'yang'hai'zi'mu
牛羊自归村巷,niu'yang'zi'gui'cun'xiang
农安政理凭,nong'an'zheng'li'ping
弄波情未极,nong'bo'qing'wei'ji
弄春如不及,nong'chun'ru'bu'ji
农夫行饷田,nong'fu'xing'xiang'tian
农夫知雨止,nong'fu'zhi'yu'zhi
弄篙莫溅水,nong'gao'mo'jian'shui
侬家真个去,nong'jia'zhen'ge'qu
农畯尽颠沛,nong'jun'jin'dian'pei
弄瑟娇垂幌,nong'se'jiao'chui'huang
弄音无常则,nong'yin'wu'chang'ze
农月无闲人,nong'yue'wu'xian'ren
浓云连晦朔,nong'yun'lian'hui'shuo
努力持所趣,nu'li'chi'suo'qu
怒湍初抵北,nu'tuan'chu'di'bei
暖酒嫌衣薄,nuan'jiu'xian'yi'bao
暖气随明主,nuan'qi'sui'ming'zhu
搦管愧无词,nuo'guan'kui'wu'ci
挼取长绳缚虏归,nuo'qu'chang'sheng'fu'lu'gui
女弟新承宠,nv'di'xin'cheng'chong
女牛亦流离,nv'niu'yi'liu'li
女史悲彤管,nv'shi'bei'tong'guan
女为公主男为王,nv'wei'gong'zhu'nan'wei'wang
女巫纷屡舞,nv'wu'fen'lv'wu
女巫进,nv'wu'jin
偶被世人知,ou'bei'shi'ren'zhi
偶逢洞仙博,ou'feng'dong'xian'bo
偶寄一微官,ou'ji'yi'wei'guan
偶来宁有契,ou'lai'ning'you'qi
沤麻入南涧,ou'ma'ru'nan'jian
偶然值林叟,ou'ran'zhi'lin'sou
偶然著道书,ou'ran'zhu'dao'shu
鸥迎出浦桡,ou'ying'chu'pu'rao
偶欲陈此意,ou'yu'chen'ci'yi
偶与潜夫论,ou'yu'qian'fu'lun
偶与前山通,ou'yu'qian'shan'tong
偶值乘篮舆,ou'zhi'cheng'lan'yu
偶坐烂明星,ou'zuo'lan'ming'xing
偶坐为林泉,ou'zuo'wei'lin'quan
徘徊空日夕,pai'huai'kong'ri'xi
徘徊以踯躅,pai'huai'yi'zhi'zhu
蟠螭吐火光欲绝,pan'chi'tu'huo'guang'yu'jue
攀花出未央,pan'hua'chu'wei'yang
潘郎振藻秋,pan'lang'zhen'zao'qiu
攀林遍岩洞,pan'lin'bian'yan'dong
盘龙斗帐琥珀光,pan'long'dou'zhang'hu'po'guang
盘势出香林,pan'shi'chu'xiang'lin
盘石青岩下,pan'shi'qing'yan'xia
攀条故写真,pan'tiao'gu'xie'zhen
攀条憩林麓,pan'tiao'qi'lin'lu
攀萸玉辇回,pan'yu'yu'nian'hui
潘岳闲居赋,pan'yue'xian'ju'fu
盘云双鹤下,pan'yun'shuang'he'xia
攀折将安镜台上,pan'zhe'jiang'an'jing'tai'shang
旁舍草中归,pang'she'cao'zhong'gui
庖厨出深竹,pao'chu'chu'shen'zhu
庖脍亦云至,pao'kuai'yi'yun'zhi
佩德如瑶琼,pei'de'ru'yao'qiong
裴回霸陵岸,pei'hui'ba'ling'an
裴回顾衡宇,pei'hui'gu'heng'yu
裴回顾霄汉,pei'hui'gu'xiao'han
裴回看落日,pei'hui'kan'luo'ri
裴回空日夕,pei'hui'kong'ri'xi
裴回念私觌,pei'hui'nian'si'di
裴回入孤舟,pei'hui'ru'gu'zhou
裴回雁子堂,pei'hui'yan'zi'tang
毰毸深丛里,pei'sai'shen'cong'li
佩声归向凤池头,pei'sheng'gui'xiang'feng'chi'tou
陪仙瞰紫微,pei'xian'kan'zi'wei
喷若雷风,pen'ruo'lei'feng
湓水东流客心醉,pen'shui'dong'liu'ke'xin'zui
彭城烈烈秋风来,peng'cheng'lie'lie'qiu'feng'lai
彭聃犹婴孩,peng'dan'you'ying'hai
鹏鹗励羽翼,peng'e'li'yu'yi
蓬蒿没身胡不仕,peng'hao'mei'shen'hu'bu'shi
蓬蒿忘却五城宅,peng'hao'wang'que'wu'cheng'zhai
蓬壶不可见,peng'hu'bu'ke'jian
蓬卷入黄云,peng'juan'ru'huang'yun
硼磕动穹苍,peng'ke'dong'qiong'cang
烹葵邀上客,peng'kui'yao'shang'ke
烹葵摘果告我行,peng'kui'zhai'guo'gao'wo'hang
蓬莱北上旌门暗,peng'lai'bei'shang'jing'men'an
彭蠡湖连芳草春,peng'li'hu'lian'fang'cao'chun
朋识共推先,peng'shi'gong'tui'xian
蓬头睢水湄,peng'tou'sui'shui'mei
僻处留田宅,pi'chu'liu'tian'zhai
鼙鼓喧雷电,pi'gu'xuan'lei'dian
鼙鼓喧喧动卢谷,pi'gu'xuan'xuan'dong'lu'gu
疈瓜抓枣,pi'gua'zhua'zao
披欢迟玉趾,pi'huan'chi'yu'zhi
披蕙帐兮促萝筵,pi'hui'zhang'xi'cu'luo'yan
僻陋远天聪,pi'lou'yuan'tian'cong
疲驽劳垂耳,pi'nu'lao'chui'er
琵琶出塞曲,pi'pa'chu'sai'qu
否泰亦须观,pi'tai'yi'xu'guan
披雾忆群贤,pi'wu'yi'qun'xian
披雾隐群贤,pi'wu'yin'qun'xian
披颜辟衡闱,pi'yan'pi'heng'wei
披衣倒屣且相见,pi'yi'dao'xi'qie'xiang'jian
僻幽闻虎豹,pi'you'wen'hu'bao
披云自有镜,pi'yun'zi'you'jing
辟朱户兮望华轩,pi'zhu'hu'xi'wang'hua'xuan
片碧昆明池,pian'bi'kun'ming'chi
片帆浮桂水,pian'fan'fu'gui'shui
翩翩傍河去,pian'pian'bang'he'qu
翩翩傍檐隙,pian'pian'bang'yan'xi
翩翩繁华子,pian'pian'fan'hua'zi
翩翩将有期,pian'pian'jiang'you'qi
翩翩理文翰,pian'pian'li'wen'han
片片仙云来渡水,pian'pian'xian'yun'lai'du'shui
片片云触峰,pian'pian'yun'chu'feng
片石孤峰窥色相,pian'shi'gu'feng'kui'se'xiang
偏使世人见,pian'shi'shi'ren'jian
偏使衣裘润,pian'shi'yi'qiu'run
偏许素冰居,pian'xu'su'bing'ju
翩翾陋体一微禽,pian'xuan'lou'ti'yi'wei'qin
片言出口生辉光,pian'yan'chu'kou'sheng'hui'guang
片言争讼疏,pian'yan'zheng'song'shu
扁舟北未期,pian'zhou'bei'wei'qi
扁舟出菰蒲,pian'zhou'chu'gu'pu
扁舟竟何待,pian'zhou'jing'he'dai
扁舟夜入江潭泊,pian'zhou'ye'ru'jiang'tan'bo
偏坐金鞍调白羽,pian'zuo'jin'an'tiao'bai'yu
飘飘处处逐君王,piao'piao'chu'chu'zhu'jun'wang
飘飘仙步回,piao'piao'xian'bu'hui
飘香乱椒桂,piao'xiang'luan'jiao'gui
飘飖飞白云,piao'yao'fei'bai'yun
飘飖劳州县,piao'yao'lao'zhou'xian
飘飖任舟楫,piao'yao'ren'zhou'ji
飘飖涉沂泗,piao'yao'she'yi'si
飘飖琐闼前,piao'yao'suo'ta'qian
飘飖吐清韵,piao'yao'tu'qing'yun
嫖姚向北河,piao'yao'xiang'bei'he
飘飖正满空,piao'yao'zheng'man'kong
彯缨入仙掖,piao'ying'ru'xian'ye
贫病子既深,pin'bing'zi'ji'shen
品汇咸亨,pin'hui'xian'heng
贫贱江头自浣纱,pin'jian'jiang'tou'zi'huan'sha
贫交世情外,pin'jiao'shi'qing'wai
贫居依谷口,pin'ju'yi'gu'kou
频看黄鸟飞,pin'kan'huang'niao'fei
频蒙露版诏,pin'meng'lu'ban'zhao
频年井税常不足,pin'nian'jing'shui'chang'bu'zu
贫时不忘旧,pin'shi'bu'wang'jiu
蘋苔嫩色涵波绿,pin'tai'nen'se'han'bo'lv
品物感知春,pin'wu'gan'zhi'chun
品物荷时成,pin'wu'he'shi'cheng
蘋藻生虚空,pin'zao'sheng'xu'kong
平地流清通,ping'di'liu'qing'tong
屏风误点惑孙郎,ping'feng'wu'dian'huo'sun'lang
凭高御北辰,ping'gao'yu'bei'chen
屏居蓝田,ping'ju'lan'tian
屏居淇水上,ping'ju'qi'shui'shang
平看邑里分,ping'kan'yi'li'fen
平看众峰小,ping'kan'zhong'feng'xiao
平楼半入南山雾,ping'lou'ban'ru'nan'shan'wu
平明春色霁,ping'ming'chun'se'ji
平明孤帆心,ping'ming'gu'fan'xin
平明露滴垂红脸,ping'ming'lu'di'chui'hong'lian
平明闾巷扫花开,ping'ming'lv'xiang'sao'hua'kai
平明去采薇,ping'ming'qu'cai'wei
平明趋郡府,ping'ming'qu'jun'fu
平明挟弹入新丰,ping'ming'xie'tan'ru'xin'feng
平沙灭浮彩,ping'sha'mie'fu'cai
平沙日未没,ping'sha'ri'wei'mei
平沙万里馀,ping'sha'wan'li'yu
平生驰驱分,ping'sheng'chi'qu'fen
平生寸心是,ping'sheng'cun'xin'shi
平生多掩扉,ping'sheng'duo'yan'fei
平生非作者,ping'sheng'fei'zuo'zhe
平生负此臣,ping'sheng'fu'ci'chen
平生何以恨,ping'sheng'he'yi'hen
平生且尽杯中醁,ping'sheng'qie'jin'bei'zhong'lu
平生少相遇,ping'sheng'shao'xiang'yu
平生文武材,ping'sheng'wen'wu'cai
平生养情性,ping'sheng'yang'qing'xing
平生逐鸟雀,ping'sheng'zhu'niao'que
萍水覆甘蕉,ping'shui'fu'gan'jiao
冯唐已老复何论,ping'tang'yi'lao'fu'he'lun
平芜赤烧生,ping'wu'chi'shao'sheng
平芜故郢城,ping'wu'gu'ying'cheng
平芜绿兮千里,ping'wu'lv'xi'qian'li
凭轩览汉都,ping'xuan'lan'han'dou
凭轩去鼎城,ping'xuan'qu'ding'cheng
平阳旧池馆,ping'yang'jiu'chi'guan
平阳妙舞处,ping'yang'miao'wu'chu
平阳莫相妒,ping'yang'mo'xiang'du
平野照暄景,ping'ye'zhao'xuan'jing
平原爱才多众宾,ping'yuan'ai'cai'duo'zhong'bin
平原冰霰涩,ping'yuan'bing'xian'se
平原见峰首,ping'yuan'jian'feng'shou
平原思令弟,ping'yuan'si'ling'di
凭云出梵天,ping'yun'chu'fan'tian
凭兹士马妍,ping'zi'shi'ma'yan
颇得清净理,po'de'qing'jing'li
颇尽一物由,po'jin'yi'wu'you
破虏将军夜渡辽,po'lu'jiang'jun'ye'du'liao
皛明丹素功,po'ming'dan'su'gong
皤皤来息肩,po'po'lai'xi'jian
皤皤邑中叟,po'po'yi'zhong'sou
破却中人百家产,po'que'zhong'ren'bai'jia'chan
皤然一老,po'ran'yi'lao
颇识灌园意,po'shi'guan'yuan'yi
婆娑数株树,po'suo'shu'zhu'shu
婆娑依里社,po'suo'yi'li'she
颇学毛公诗,po'xue'mao'gong'shi
破影抱空峦,po'ying'bao'kong'luan
裒对斯臻,pou'dui'si'zhen
瀑布杉松常带雨,pu'bu'shan'song'chang'dai'yu
仆夫命驾兮,pu'fu'ming'jia'xi
浦净渔舟远,pu'jing'yu'zhou'yuan
浦口多渔家,pu'kou'duo'yu'jia
浦口回船惜芰荷,pu'kou'hui'chuan'xi'ji'he
蒲类成秦地,pu'lei'cheng'qin'di
瀑泉吼而喷,pu'quan'hou'er'pen
仆人理车骑,pu'ren'li'che'qi
仆人沐花雨,pu'ren'mu'hua'yu
朴儒亦何为,pu'ru'yi'he'wei
浦沙明濯足,pu'sha'ming'zhuo'zu
瀑水侵阶溅舞衣,pu'shui'qin'jie'jian'wu'yi
瀑水引溪长,pu'shui'yin'xi'chang
瀑水映杉松,pu'shui'ying'shan'song
葡萄馆里花正开,pu'tao'guan'li'hua'zheng'kai
蒲萄架上朝光满,pu'tao'jia'shang'chao'guang'man
葡萄逐汉臣,pu'tao'zhu'han'chen
浦外湖沙细,pu'wai'hu'sha'xi
浦溆既清旷,pu'xu'ji'qing'kuang
蒲叶日已长,pu'ye'ri'yi'chang
岂比龙楼前,qi'bi'long'lou'qian
骑别章台晚,qi'bie'zhang'tai'wan
岂不服艰险,qi'bu'fu'jian'xian
岂不骄王侯,qi'bu'jiao'wang'hou
岂不畏时暮,qi'bu'wei'shi'mu
岂不知进退,qi'bu'zhi'jin'tui
起草闭前门,qi'cao'bi'qian'men
旂常万乘过,qi'chang'wan'cheng'guo
其出从如云,qi'chu'cong'ru'yun
骑吹凌霜发,qi'chui'ling'shuang'fa
碛地无足爱,qi'di'wu'zu'ai
气睹冲天发,qi'du'chong'tian'fa
岂独汉疏贤,qi'du'han'shu'xian
耆闍妙法阐,qi'du'miao'fa'chan
岂独名王侍,qi'du'ming'wang'shi
泣对双泉水,qi'dui'shuang'quan'shui
岂恶杨枝肘,qi'e'yang'zhi'zhou
器乏雕梁器,qi'fa'diao'liang'qi
岂乏中林士,qi'fa'zhong'lin'shi
乞饭从香积,qi'fan'cong'xiang'ji
砌分池水岸,qi'fen'chi'shui'an
凄风披田原,qi'feng'pi'tian'yuan
岂复泪如霰,qi'fu'lei'ru'xian
岂复念闺阁,qi'fu'nian'gui'ge
岂复少十室,qi'fu'shao'shi'shi
祈父万邦式,qi'fu'wan'bang'shi
岂复望清辉,qi'fu'wang'qing'hui
岂敢比南昌,qi'gan'bi'nan'chang
岂敢论其私,qi'gan'lun'qi'si
气高轻赴难,qi'gao'qing'fu'nan
齐歌卢女曲,qi'ge'lu'nv'qu
七国蓟门中,qi'guo'ji'men'zhong
气还草木收,qi'hai'cao'mu'shou
契颢气,qi'hao'qi
气和先作雨,qi'he'xian'zuo'yu
齐侯疏土宇,qi'hou'shu'tu'yu
旗回五丈殿千门,qi'hui'wu'zhang'dian'qian'men
乞火蹈红莲,qi'huo'dao'hong'lian
乞火踏红莲,qi'huo'ta'hong'lian
起见秋云开,qi'jian'qiu'yun'kai
泣尽继以血,qi'jin'ji'yi'xue
泣尽无人问,qi'jin'wu'ren'wen
起居存有位,qi'ju'cun'you'wei
期君武节朝龙阙,qi'jun'wu'jie'chao'long'que
契阔余不浅,qi'kuo'yu'bu'qian
憩来唯吐吸,qi'lai'wei'tu'xi
耆老如中州,qi'lao'ru'zhong'zhou
骑连连,qi'lian'lian
凄凉岁欲晚,qi'liang'sui'yu'wan
气凛清风沙漠边,qi'lin'qing'feng'sha'mo'bian
气凌倒景,qi'ling'dao'jing
岂令心事违,qi'ling'xin'shi'wei
七龙五凤纷相迎,qi'long'wu'feng'fen'xiang'ying
岐路间,qi'lu'jian
绮罗含草树,qi'luo'han'cao'shu
起灭信易觉,qi'mie'xin'yi'jue
起灭一以雪,qi'mie'yi'yi'xue
岐陌涵馀雨,qi'mo'han'yu'yu
岂能复伤此,qi'neng'fu'shang'ci
祈年宝祚广,qi'nian'bao'zuo'guang
岂念千里驾,qi'nian'qian'li'jia
气盘古壁转,qi'pan'gu'bi'zhuan
起攀枝上叶,qi'pan'zhi'shang'ye
萋萋春草秋绿,qi'qi'chun'cao'qiu'lv
岂其纷埃事,qi'qi'fen'ai'shi
麒麒锦带佩吴钩,qi'qi'jin'dai'pei'wu'gou
凄其霜露浓,qi'qi'shuang'lu'nong
祁祁颂千箱,qi'qi'song'qian'xiang
凄凄烟雨繁,qi'qi'yan'yu'fan
弃妾长门宫,qi'qie'chang'men'gong
凄切谁复寻,qi'qie'shui'fu'xun
七擒良信然,qi'qin'liang'xin'ran
崎岖从下位,qi'qu'cong'xia'wei
崎岖见王侯,qi'qu'jian'wang'hou
其趣皆不同,qi'qu'jie'bu'tong
崎岖秦塞中,qi'qu'qin'sai'zhong
凄然多暮愁,qi'ran'duo'mu'chou
凄然望伊洛,qi'ran'wang'yi'luo
气染荀香馥,qi'ran'xun'xiang'fu
杞人亦忧天,qi'ren'yi'you'tian
七日赤龙至,qi'ri'chi'long'zhi
其如怀独善,qi'ru'huai'du'shan
其如久离别,qi'ru'jiu'li'bie
其如离别何,qi'ru'li'bie'he
其如两地春,qi'ru'liang'di'chun
其如绿水何,qi'ru'lv'shui'he
其如念极浦,qi'ru'nian'ji'pu
其如千里游,qi'ru'qian'li'you
骑入塞云长,qi'ru'sai'yun'chang
气色动江新,qi'se'dong'jiang'xin
气色空中改,qi'se'kong'zhong'gai
其上绵幂,qi'shang'mian'mi
淇上桑叶青,qi'shang'sang'ye'qing
淇上转骖騑,qi'shang'zhuan'can'fei
骑射先鸣推任侠,qi'she'xian'ming'tui'ren'xia
其升如日,qi'sheng'ru'ri
其声一何哀,qi'sheng'yi'he'ai
骑省直明光,qi'sheng'zhi'ming'guang
跂石复临水,qi'shi'fu'lin'shui
七十老翁何所求,qi'shi'lao'weng'he'suo'qiu
岂是娱宦游,qi'shi'yu'huan'you
岂失忠信防,qi'shi'zhong'xin'fang
稽首期殒碎,qi'shou'qi'yun'sui
稽首问仙要,qi'shou'wen'xian'yao
琪树尝仙果,qi'shu'chang'xian'guo
琪树远亭亭,qi'shu'yuan'ting'ting
淇水徒自深,qi'shui'tu'zi'shen
其谁为至公,qi'shui'wei'zhi'gong
气似庭霜积,qi'si'ting'shuang'ji
七岁丰茸好颜色,qi'sui'feng'rong'hao'yan'se
契托死生亲,qi'tuo'si'sheng'qin
绮纨游上国,qi'wan'you'shang'guo
岂忘知音贵,qi'wang'zhi'yin'gui
岂惟长思君,qi'wei'chang'si'jun
气味当共知,qi'wei'dang'gong'zhi
泣为洹水化,qi'wei'huan'shui'hua
岂为明灯夜,qi'wei'ming'deng'ye
岂惟山中人,qi'wei'shan'zhong'ren
岂为我离别,qi'wei'wo'li'bie
岂唯暂留宿,qi'wei'zan'liu'su
弃我翻然如脱屣,qi'wo'fan'ran'ru'tuo'xi
期我于田园,qi'wo'yu'tian'yuan
岂无亲所爱,qi'wu'qin'suo'ai
齐物意已会,qi'wu'yi'yi'hui
岂暇料馀年兮复几,qi'xia'liao'yu'nian'xi'fu'ji
其下深湛,qi'xia'shen'zhan
期仙磴者,qi'xian'deng'zhe
气歇东南帝,qi'xie'dong'nan'di
其性颇耽酒,qi'xing'po'dan'jiu
七雄雄雌犹未分,qi'xiong'xiong'ci'you'wei'fen
起羞见谗口,qi'xiu'jian'chan'kou
岂学书生辈,qi'xue'shu'sheng'bei
岂学无心出,qi'xue'wu'xin'chu
岂厌承明庐,qi'yan'cheng'ming'lu
岂厌尚平婚嫁早,qi'yan'shang'ping'hun'jia'zao
岂伊问天命,qi'yi'wen'tian'ming
器用穷地赀,qi'yong'qiong'di'zi
骑拥轩裳客,qi'yong'xuan'shang'ke
岂有楼台好,qi'you'lou'tai'hao
企予悲送远,qi'yu'bei'song'yuan
跂予北堂夜,qi'yu'bei'tang'ye
气与风露寒,qi'yu'feng'lu'han
其源来不穷,qi'yuan'lai'bu'qiong
气远天香集,qi'yuan'tian'xiang'ji
启籥问仙诀,qi'yue'wen'xian'jue
七月坐凉宵,qi'yue'zuo'liang'xiao
期之保贞悔,qi'zhi'bao'zhen'hui
期之比天老,qi'zhi'bi'tian'lao
岂知今年一百五,qi'zhi'jin'nian'yi'bai'wu
岂知穆天子,qi'zhi'mu'tian'zi
弃置难重论,qi'zhi'nan'zhong'lun
弃置千金轻不顾,qi'zhi'qian'jin'qing'bu'gu
弃之如埃尘,qi'zhi'ru'ai'chen
弃置谁复道,qi'zhi'shui'fu'dao
弃置我宗英,qi'zhi'wo'zong'ying
岂知玉殿生三秀,qi'zhi'yu'dian'sheng'san'xiu
弃置与君同,qi'zhi'yu'jun'tong
泣珠报恩君莫辞,qi'zhu'bao'en'jun'mo'ci
气逐招摇星,qi'zhu'zhao'yao'xing
妻子垂涕泣,qi'zi'chui'ti'qi
妻子欢同五株柳,qi'zi'huan'tong'wu'zhu'liu
跂足望行子,qi'zu'wang'hang'zi
泣坐金闺暮,qi'zuo'jin'gui'mu
起坐听车声,qi'zuo'ting'che'sheng
起坐鱼鸟间,qi'zuo'yu'niao'jian
恰用十千钱,qia'yong'shi'qian'qian
谴黜同所安,qian'chu'tong'suo'an
前当墉洫,qian'dang'yong'xu
前登澳梁坂,qian'deng'ao'liang'ban
千灯花塔西,qian'deng'hua'ta'xi
前对钓鱼翁,qian'dui'diao'yu'weng
前对终南山,qian'dui'zhong'nan'shan
迁飞在礼仪,qian'fei'zai'li'yi
虔恭孝飨,qian'gong'xiao'xiang
千官出饯五陵东,qian'guan'chu'jian'wu'ling'dong
千官大朝日,qian'guan'da'zhao'ri
千官扈从骊山北,qian'guan'hu'cong'li'shan'bei
千官喜豫游,qian'guan'xi'yu'you
乾光自北辰,qian'guang'zi'bei'chen
前后二龙来,qian'hou'er'long'lai
前后徒言隔,qian'hou'tu'yan'ge
千花开国界,qian'hua'kai'guo'jie
千欢接舜壶,qian'huan'jie'shun'hu
褰幌纳鸟侣,qian'huang'na'niao'lv
前谿对舞楼,qian'ji'dui'wu'lou
乾降瑞兮坤降珍,qian'jiang'rui'xi'kun'jiang'zhen
前阶微雨歇,qian'jie'wei'yu'xie
千金买宝剑,qian'jin'mai'bao'jian
前经洛阳陌,qian'jing'luo'yang'mo
前旌欲换山,qian'jing'yu'huan'shan
遣决如流泉,qian'jue'ru'liu'quan
千钧或所轻,qian'jun'huo'suo'qing
褰开明月下,qian'kai'ming'yue'xia
前看复回顾,qian'kan'fu'hui'gu
迁客就一醉,qian'ke'jiu'yi'zui
乾坤启圣吐龙泉,qian'kun'qi'sheng'tu'long'quan
乾坤日交泰,qian'kun'ri'jiao'tai
乾坤圣登极,qian'kun'sheng'deng'ji
浅濑寒鱼少,qian'lai'han'yu'shao
千里长江归海时,qian'li'chang'jiang'gui'hai'shi
千里横黛色,qian'li'heng'dai'se
千里间庭闱,qian'li'jian'ting'wei
千里暮云平,qian'li'mu'yun'ping
千里其如何,qian'li'qi'ru'he
千里送行人,qian'li'song'xing'ren
千里万里春草色,qian'li'wan'li'chun'cao'se
千里一飞鸟,qian'li'yi'fei'niao
千里意悠悠,qian'li'yi'you'you
千里远相寻,qian'li'yuan'xiang'xun
千里阵云匝,qian'li'zhen'yun'za
千里阻河关,qian'li'zu'he'guan
千里坐谋成,qian'li'zuo'mou'cheng
前临大川口,qian'lin'da'chuan'kou
千林嫩叶始藏莺,qian'lin'nen'ye'shi'cang'ying
前林已暄景,qian'lin'yi'xuan'jing
褰旒明四目,qian'liu'ming'si'mu
褰旒望九垓,qian'liu'wang'jiu'gai
黔娄在日贫,qian'lou'zai'ri'pin
前路白云外,qian'lu'bai'yun'wai
前路入郑郊,qian'lu'ru'zheng'jiao
前路拥笙歌,qian'lu'yong'sheng'ge
千门碧空里,qian'men'bi'kong'li
千门传夜警,qian'men'chuan'ye'jing
千门叠鼓声,qian'men'die'gu'sheng
千门汉王宫,qian'men'han'wang'gong
千门来谒帝,qian'men'lai'ye'di
千门望成锦,qian'men'wang'cheng'jin
千门夕漏长,qian'men'xi'lou'chang
千门晓望通,qian'men'xiao'wang'tong
千门战场里,qian'men'zhan'chang'li
阡陌铜台下,qian'mo'tong'tai'xia
千年魑魅逢华表,qian'nian'chi'mei'feng'hua'biao
千年过圣皇,qian'nian'guo'sheng'huang
前年槿篱故,qian'nian'jin'li'gu
千年乐未央,qian'nian'le'wei'yang
千年留至今,qian'nian'liu'zhi'jin
前年上书不得意,qian'nian'shang'shu'bu'de'yi
千年泰山顶,qian'nian'tai'shan'ding
千年万岁不凋落,qian'nian'wan'sui'bu'diao'luo
千品差池贽帛来,qian'pin'cha'chi'zhi'bo'lai
千骑黑貂裘,qian'qi'hei'diao'qiu
浅浅石溜泻,qian'qian'shi'liu'xie
芊芊远树齐,qian'qian'yuan'shu'qi
迁乔诚可早,qian'qiao'cheng'ke'zao
千秋节应制,qian'qiu'jie'ying'zhi
千秋为一人,qian'qiu'wei'yi'ren
前驱引旗节,qian'qu'yin'qi'jie
浅沙平有路,qian'sha'ping'you'lu
前山包鄢郢,qian'shan'bao'yan'ying
前山景气佳,qian'shan'jing'qi'jia
前山劳梦思,qian'shan'lao'meng'si
前山赏更新,qian'shan'shang'geng'xin
千山响杜鹃,qian'shan'xiang'du'juan
褰裳拂涧霓,qian'shang'fu'jian'ni
浅深见澄瀛,qian'shen'jian'cheng'ying
浅深露沙石,qian'shen'lu'sha'shi
前身应画师,qian'shen'ying'hua'shi
千生气志是良图,qian'sheng'qi'zhi'shi'liang'tu
遣戍征周牒,qian'shu'zheng'zhou'die
千祀国人哀,qian'si'guo'ren'ai
潜潭何时流,qian'tan'he'shi'liu
前堂后堂罗袖人,qian'tang'hou'tang'luo'xiu'ren
骞腾讵矫翰,qian'teng'ju'jiao'han
前眺兮宜春,qian'tiao'xi'yi'chun
前王失霸符,qian'wang'shi'ba'fu
前望数千里,qian'wang'shu'qian'li
褰帷乃仍旧,qian'wei'nai'reng'jiu
褰帷向九州,qian'wei'xiang'jiu'zhou
前溪多曲溆,qian'xi'duo'qu'xu
前贤为我师,qian'xian'wei'wo'shi
前贤真可慕,qian'xian'zhen'ke'mu
乾象变台衡,qian'xiang'bian'tai'heng
乾行万物睹,qian'xing'wan'wu'du
千岩曙雪旌门上,qian'yan'shu'xue'jing'men'shang
千岩同一色,qian'yan'tong'yi'se
千叶齐生万叶垂,qian'ye'qi'sheng'wan'ye'chui
牵役劳风尘,qian'yi'lao'feng'chen
牵引肆中翁,qian'yin'si'zhong'weng
潜鱼触钓惊,qian'yu'chu'diao'jing
千载美容颜,qian'zai'mei'rong'yan
千载舞皇风,qian'zai'wu'huang'feng
千载无人过,qian'zai'wu'ren'guo
千载知仰慕,qian'zai'zhi'yang'mu
谴谪罹苦辛,qian'zhe'li'ku'xin
谴谪良难恃,qian'zhe'liang'nan'shi
千知千不还,qian'zhi'qian'bu'huan
千钟圣酒御筵披,qian'zhong'sheng'jiu'yu'yan'pi
浅渚荇花繁,qian'zhu'xing'hua'fan
前酌盈尊酒,qian'zhuo'ying'zun'jiu
