嗄风,a'feng
奓土,zha'tu
闸乌闸影,zha'wu'zha'ying
扎醒我,zha'xing'wo
闸闸砖,zha'zha'zhuan
揸支浪哩来分池鱼,zha'zhi'lang'li'lai'fen'chi'yu
宅美,zhai'mei
寨外林,zhai'wai'lin
宅尾,zhai'wei
寨仔,zhai'zai
斩树,zhan'shu
斩蔗,zhan'zhe
张道,zhang'dao
胀到碑碑,zhang'dao'bei'bei
张到必必,zhang'dao'bi'bi
胀到肚屎,zhang'dao'du'shi
胀肚屎,zhang'du'shi
张嫁,zhang'jia
张浪样,zhang'lang'yang
张浪张样,zhang'lang'zhang'yang
胀屎,zhang'shi
张样张想,zhang'yang'zhang'xiang
照担,zhao'dan
照理,zhao'li
照爿,zhao'pan
着拓着拔,zhe'tuo'zhe'ba
这下,zhe'xia
蜇仔,zhe'zai
折哳叫,zhe'zha'jiao
震东,zhen'dong
镇朵,zhen'duo
珍时,zhen'shi
珍时照些担,zhen'shi'zhao'xie'dan
砧照些,zhen'zhao'xie
砧砧爱,zhen'zhen'ai
郑厝池,zheng'cuo'chi
郑围,zheng'wei
制到你哼哼去,zhi'dao'ni'heng'heng'qu
知得犬,zhi'de'quan
制感斗,zhi'gan'dou
指回,zhi'hui
制酒卵浆,zhi'jiu'luan'jiang
芝兰,zhi'lan
指郎,zhi'lang
支浪大过头,zhi'lang'da'guo'tou
支浪含头香,zhi'lang'han'tou'xiang
支浪齕你咬,zhi'lang'he'ni'yao
稚鸟,zhi'niao
指鸟叫,zhi'niao'jiao
知清烧,zhi'qing'shao
制神制杀,zhi'shen'zhi'sha
芝糖,zhi'tang
中村,zhong'cun
钟厝池,zhong'cuo'chi
肿到尺尺,zhong'dao'chi'chi
肿肚,zhong'du
肿肚仔,zhong'du'zai
肿筋,zhong'jin
肿人肿肚,zhong'ren'zhong'du
肿水肿达,zhong'shui'zhong'da
种扎,zhong'zha
中寨,zhong'zhai
周厝庵,zhou'cuo'an
咒蛇,zhou'she
咒身卖命,zhou'shen'mai'ming
竹采,zhu'cai
猪肠头,zhu'chang'tou
珠埕,zhu'cheng
猪尺,zhu'chi
竹锤,zhu'chui
猪斗丸,zhu'dou'wan
竹哥鬼,zhu'ge'gui
筑鸡,zhu'ji
竹记蛏,zhu'ji'cheng
猪脚箍,zhu'jiao'gu
竹篮,zhu'lan
竹岭,zhu'ling
竹桥,zhu'qiao
朱青焐到熟,zhu'qing'wu'dao'shu
猪肉糜,zhu'rou'mi
猪肉珀,zhu'rou'po
猪肉汤,zhu'rou'tang
煮食,zhu'shi
猪尿脬,zhu'sui'pao
竹筒,zhu'tong
猪头酷,zhu'tou'ku
竹筅,zhu'xian
赚了唔拉食泔,zhuan'le'wu'la'shi'gan
砖砖嚼,zhuan'zhuan'jiao
庄厝,zhuang'cuo
幢风,zhuang'feng
撞胶劳,zhuang'jiao'lao
撞头叩额,zhuang'tou'kou'e
撞头色额,zhuang'tou'se'e
拙衬,zhuo'chen
斫鸡,zhuo'ji
拙目试毛,zhuo'mu'shi'mao
卓食,zhuo'shi
浊着腰,zhuo'zhe'yao
字钵,zi'bo
姿娘,zi'niang
姿娘仔,zi'niang'zai
走到例例,zou'dao'li'li
走起,zou'qi
攥紧紧,zuan'jin'jin
攥头毛,zuan'tou'mao
嘴揞,zui'an
嘴飞飞,zui'fei'fei
嘴齐酵鸡滥,zui'qi'jiao'ji'lan
嘴赏赏,zui'shang'shang
嘴赏赏食巴掌,zui'shang'shang'shi'ba'zhang
嘴在鸦歪你个,zui'zai'ya'wai'ni'ge
做把法,zuo'ba'fa
作康课,zuo'kang'ke
昨亩鬼仔,zuo'mu'gui'zai
昨亩仔,zuo'mu'zai
嘬奶,zuo'nai
做泉做鬼,zuo'quan'zuo'gui
做一下,zuo'yi'xia
嘬嘬,zuo'zuo
嘬嘬静,zuo'zuo'jing
