爱民如子,ai'min'ru'zi
小人全仗大人遮,xiao'ren'quan'zhang'da'ren'zhe
笑容常在笑口常开,xiao'rong'chang'zai'xiao'kou'chang'kai
校书分叶著作成林,xiao'shu'fen'ye'zhu'zuo'cheng'lin
消息借流通报道梅花无恙,xiao'xi'jie'liu'tong'bao'dao'mei'hua'wu'yang
笑饮丰年酒一杯,xiao'yin'feng'nian'jiu'yi'bei
笑盈盈辞旧岁,xiao'ying'ying'ci'jiu'sui
笑盈盈迎顾客,xiao'ying'ying'ying'gu'ke
笑迎远客安居,xiao'ying'yuan'ke'an'ju
校园沸腾春来早,xiao'yuan'fei'teng'chun'lai'zao
解趣黄鹂频送韵,xie'qu'huang'li'pin'song'yun
谢天谢地谢君王,xie'tian'xie'di'xie'jun'wang
屑小欺大乃谓尖,xie'xiao'qi'da'nai'wei'jian
新笺匀碧录唐诗,xin'jian'yun'bi'lu'tang'shi
心能守正无私无偏,xin'neng'shou'zheng'wu'si'wu'pian
新年新岁新景,xin'nian'xin'sui'xin'jing
心思槽巢,xin'si'cao'chao
新岁新春新人,xin'sui'xin'chun'xin'ren
心血勤浇栋梁材,xin'xue'qin'jiao'dong'liang'cai
新月如弓,xin'yue'ru'gong
行节俭画,xing'jie'jian'hua
行路无劳伞盖张,xing'lu'wu'lao'san'gai'zhang
行行且止,xing'xing'qie'zhi
行行行,xing'xing'xing
行行行行行行行,xing'xing'xing'xing'xing'xing'xing
雄鸡三唱送腊去,xiong'ji'san'chang'song'la'qu
胸罗万象绣成上苑奇葩,xiong'luo'wan'xiang'xiu'cheng'shang'yuan'qi'pa
胸中具成竹,xiong'zhong'ju'cheng'zhu
绣成凤彩自成文,xiu'cheng'feng'cai'zi'cheng'wen
绣出草木花,xiu'chu'cao'mu'hua
修就是番新气象,xiu'jiu'shi'fan'xin'qi'xiang
修渠攀岭碧流飞千里,xiu'qu'pan'ling'bi'liu'fei'qian'li
馐馔饱充修撰腹,xiu'zhuan'bao'chong'xiu'zhuan'fu
修撰进馐,xiu'zhuan'jin'xiu
须读五车书,xu'du'wu'che'shu
旭日初临客早来,xu'ri'chu'lin'ke'zao'lai
旭日横空出世,xu'ri'heng'kong'chu'shi
旭日融和开柳眼,xu'ri'rong'he'kai'liu'yan
虚心成大器,xu'xin'cheng'da'qi
悬将小日月,xuan'jiang'xiao'ri'yue
学不自满求创新,xue'bu'zi'man'qiu'chuang'xin
学海无涯勤可渡,xue'hai'wu'ya'qin'ke'du
雪花资润泽,xue'hua'zi'run'ze
薛家新制巧,xue'jia'xin'zhi'qiao
雪飘梅岭,xue'piao'mei'ling
削平山岭铺大道,xue'ping'shan'ling'pu'da'dao
雪舞红梅院多祥,xue'wu'hong'mei'yuan'duo'xiang
学修养办事一丝不苟,xue'xiu'yang'ban'shi'yi'si'bu'gou
雪映丰收果,xue'ying'feng'shou'guo
雪中送炭家家暖,xue'zhong'song'tan'jia'jia'nuan
燕翻玉剪穿红雨,yan'fan'yu'jian'chuan'hong'yu
檐前燕,yan'qian'yan
咽去自清心,yan'qu'zi'qing'xin
言身寸谢,yan'shen'cun'xie
烟似雾,yan'si'wu
烟锁池塘柳,yan'suo'chi'tang'liu
眼望孔明,yan'wang'kong'ming
燕舞莺歌喜盈在地,yan'wu'ying'ge'xi'ying'zai'di
阎锡山过无锡,yan'xi'shan'guo'wu'xi
艳阳照大地,yan'yang'zhao'da'di
烟云邱壑着纸而成,yan'yun'qiu'he'zhe'zhi'er'cheng
燕脂润色飘飘欲仙,yan'zhi'run'se'piao'piao'yu'xian
眼珠子鼻孔子,yan'zhu'zi'bi'kong'zi
阳光普照园丁心坎春意暖,yang'guang'pu'zhao'yuan'ding'xin'kan'chun'yi'nuan
羊啃杨枝,yang'ken'yang'zhi
药圃无凡草,yao'pu'wu'fan'cao
一川风月留酣饮,yi'chuan'feng'yue'liu'han'yin
以纯为体以静为用,yi'chun'wei'ti'yi'jing'wei'yong
一点公心秋月明,yi'dian'gong'xin'qiu'yue'ming
一点水,yi'dian'shui
一点一漳各显神通,yi'dian'yi'zhang'ge'xian'shen'tong
议定治国方针,yi'ding'zhi'guo'fang'zhen
移多补少作双间,yi'duo'bu'shao'zuo'shuang'jian
一二三四五六七,yi'er'san'si'wu'liu'qi
倚剑天外,yi'jian'tian'wai
以六书传四海,yi'liu'shu'chuan'si'hai
一马陷足污泥内,yi'ma'xian'zu'wu'ni'nei
一明分日月,yi'ming'fen'ri'yue
一抹生涯良工献技,yi'mo'sheng'ya'liang'gong'xian'ji
一瓯油一鸥游,yi'ou'you'yi'ou'you
一片彩霞迎旭日,yi'pian'cai'xia'ying'xu'ri
意飘云物外,yi'piao'yun'wu'wai
衣衫落西山惜善衣衫,yi'shan'luo'xi'shan'xi'shan'yi'shan
一室常凝珠宝光,yi'shi'chang'ning'zhu'bao'guang
一岁川流不息,yi'sui'chuan'liu'bu'xi
意图全任,yi'tu'quan'ren
一溪活水沸煮龙团,yi'xi'huo'shui'fei'zhu'long'tuan
异香争羡紫霄峰,yi'xiang'zheng'xian'zi'xiao'feng
一心守道道无穷,yi'xin'shou'dao'dao'wu'qiong
移椅倚桐同赏月,yi'yi'yi'tong'tong'shang'yue
一枕清霜,yi'zhen'qing'shuang
一枝春暖管城花,yi'zhi'chun'nuan'guan'cheng'hua
饮罢桃花上脸红,yin'ba'tao'hua'shang'lian'hong
因荷而得藕,yin'he'er'de'ou
因何而得偶,yin'he'er'de'ou
银花如绽蝶疑飞,yin'hua'ru'zhan'die'yi'fei
因火成烟夕夕多,yin'huo'cheng'yan'xi'xi'duo
银笺染处淡云生,yin'jian'ran'chu'dan'yun'sheng
银流鹄白三都贵,yin'liu'hu'bai'san'du'gui
引水上山银河落九天,yin'shui'shang'shan'yin'he'luo'jiu'tian
印影同人月,yin'ying'tong'ren'yue
印月井,yin'yue'jing
印月井中印月影,yin'yue'jing'zhong'yin'yue'ying
印月影,yin'yue'ying
影动半轮月,ying'dong'ban'lun'yue
莺感春风百啭鸣,ying'gan'chun'feng'bai'zhuan'ming
莺歌绿柳楼,ying'ge'lv'liu'lou
莺歌绿柳楼前,ying'ge'lv'liu'lou'qian
莺歌燕舞春风,ying'ge'yan'wu'chun'feng
莺迁金谷晓,ying'qian'jin'gu'xiao
莺啼杨柳风,ying'ti'yang'liu'feng
鹦鹉洲,ying'wu'zhou
迎新春满院生辉,ying'xin'chun'man'yuan'sheng'hui
英雄儿女事,ying'xiong'er'nv'shi
莺莺燕燕,ying'ying'yan'yan
莺掷金梭破绿烟,ying'zhi'jin'suo'po'lv'yan
莺啭芳林报好音,ying'zhuan'fang'lin'bao'hao'yin
拥大海作良田,yong'da'hai'zuo'liang'tian
有材皆中选,you'cai'jie'zhong'xuan
有迹可寻模传墨本,you'ji'ke'xun'mo'chuan'mo'ben
有佳肴醉有酒,you'jia'yao'zui'you'jiu
右军五字增声价,you'jun'wu'zi'zeng'sheng'jia
有水有山有物有人,you'shui'you'shan'you'wu'you'ren
有天皆丽日,you'tian'jie'li'ri
游西湖提锡壶,you'xi'hu'ti'xi'hu
游西山拿衣衫,you'xi'shan'na'yi'shan
有幸不须媒,you'xing'bu'xu'mei
有杏不须梅,you'xing'bu'xu'mei
雨打沙滩,yu'da'sha'tan
欲待春花明锦绣,yu'dai'chun'hua'ming'jin'xiu
鱼钓钓鱼鱼骇钓,yu'diao'diao'yu'yu'hai'diao
渔歌唱平千顷浪,yu'ge'chang'ping'qian'qing'lang
渔歌晓迎红日出,yu'ge'xiao'ying'hong'ri'chu
玉井秋香清泉可酿,yu'jing'qiu'xiang'qing'quan'ke'niang
玉龙吐宝庆吉日,yu'long'tu'bao'qing'ji'ri
玉露磨来浓雾起,yu'lu'mo'lai'nong'wu'qi
雨露滋润桃李枝头蓓蕾红,yu'lu'zi'run'tao'li'zhi'tou'bei'lei'hong
雨泣桃花万树红,yu'qi'tao'hua'wan'shu'hong
与妻下棋,yu'qi'xia'qi
渔区用联,yu'qu'yong'lian
愚犬称王便是狂,yu'quan'cheng'wang'bian'shi'kuang
与日月争光辉,yu'ri'yue'zheng'guang'hui
玉树长含万里风,yu'shu'chang'han'wan'li'feng
雨洗杏花红欲滴,yu'xi'xing'hua'hong'yu'di
欲知千古事,yu'zhi'qian'gu'shi
欲知世上丝纶美,yu'zhi'shi'shang'si'lun'mei
远避迷途,yuan'bi'mi'tu
怨江围实难旅步,yuan'jiang'wei'shi'nan'lv'bu
远近模糊皆登快境,yuan'jin'mo'hu'jie'deng'kuai'jing
元跨革囊,yuan'kua'ge'nang
远求海内珍藏本,yuan'qiu'hai'nei'zhen'cang'ben
院庭不大聚财富,yuan'ting'bu'da'ju'cai'fu
源头活水,yuan'tou'huo'shui
员外静,yuan'wai'jing
园外净,yuan'wai'jing
员外扫园外,yuan'wai'sao'yuan'wai
愿一刻值千金,yuan'yi'ke'zhi'qian'jin
月光如水,yue'guang'ru'shui
月井万年,yue'jing'wan'nian
月影万年,yue'ying'wan'nian
月月月圆逢月半,yue'yue'yue'yuan'feng'yue'ban
月照纱窗,yue'zhao'sha'chuang
韵出高山流水,yun'chu'gao'shan'liu'shui
运际升平人共乐,yun'ji'sheng'ping'ren'gong'le
云间雁,yun'jian'yan
云来云去,yun'lai'yun'qu
孕乃子,yun'nai'zi
云霞分五色,yun'xia'fen'wu'se
錾金映出千行锦,zan'jin'ying'chu'qian'hang'jin
早行节俭事,zao'hang'jie'jian'shi
造林直上千重岭,zao'lin'zhi'shang'qian'zhong'ling
澡堂浴室用联,zao'tang'yu'shi'yong'lian
责任制架起幸福桥,ze'ren'zhi'jia'qi'xing'fu'qiao
怎成一段锋芒,zen'cheng'yi'duan'feng'mang
增进人民健康,zeng'jin'ren'min'jian'kang
宅边屋角瓜黄菜绿,zhai'bian'wu'jiao'gua'huang'cai'lv
沾墨才题梅似雪,zhan'mo'cai'ti'mei'si'xue
栈曲有云皆献瑞,zhan'qu'you'yun'jie'xian'rui
战士胸前英雄光,zhan'shi'xiong'qian'ying'xiong'guang
崭新岁月春天地,zhan'xin'sui'yue'chun'tian'de
张长弓,zhang'chang'gong
长长长长长长长,zhang'chang'zhang'chang'zhang'chang'chang
张生求红娘,zhang'sheng'qiu'hong'niang
掌握千丝织就中天美锦,zhang'wo'qian'si'zhi'jiu'zhong'tian'mei'jin
招潮招潮招招潮,zhao'chao'zhao'chao'zhao'zhao'chao
照澈大乾坤,zhao'che'da'qian'kun
朝霞似锦,zhao'xia'si'jin
朝朝朝朝朝朝朝,zhao'zhao'zhao'zhao'zhao'zhao'chao
阵一渚,zhen'yi'zhu
阵阵渔歌卷春风,zhen'zhen'yu'ge'juan'chun'feng
政户开元,zheng'hu'kai'yuan
正正反反,zheng'zheng'fan'fan
织成云霞锦,zhi'cheng'yun'xia'jin
执春秋笔褒贬无私,zhi'chun'qiu'bi'bao'bian'wu'si
指点江山春光满目,zhi'dian'jiang'shan'chun'guang'man'mu
执法如山,zhi'fa'ru'shan
质分蕉叶和烟断,zhi'fen'jiao'ye'he'yan'duan
治宏贞观,zhi'hong'zhen'guan
纸灰飞上指挥头,zhi'hui'fei'shang'zhi'hui'tou
指挥烧纸,zhi'hui'shao'zhi
知君家吉星高照,zhi'jun'jia'ji'xing'gao'zhao
纸壳原来只防风,zhi'ke'yuan'lai'zhi'fang'feng
质量优先生产捷报频传,zhi'liang'you'xian'sheng'chan'jie'bao'pin'chuan
制器须固外巧内坚,zhi'qi'xu'gu'wai'qiao'nei'jian
知情绿柳渐拖丝,zhi'qing'lv'liu'jian'tuo'si
芝田露润蓬岛花浓,zhi'tian'lu'run'peng'dao'hua'nong
只赢得,zhi'ying'de
志在吞吴,zhi'zai'tun'wu
植字抽芽文明播种,zhi'zi'chou'ya'wen'ming'bo'zhong
终年倒运少有余财,zhong'nian'dao'yun'shao'you'yu'cai
舟动洲未动,zhou'dong'zhou'wei'dong
洲停舟,zhou'ting'zhou
州下舟,zhou'xia'zhou
筑坝横阻万顷波,zhu'ba'heng'zu'wan'qing'bo
注到心头,zhu'dao'xin'tou
祝福万户更新,zhu'fu'wan'hu'geng'xin
诸葛三军听指挥,zhu'ge'san'jun'ting'zhi'hui
竹篮装笋母怀儿,zhu'lan'zhuang'sun'mu'huai'er
竹树楼台弹指即现,zhu'shu'lou'tai'tan'zhi'ji'xian
珠树自绕千古色,zhu'shu'zi'rao'qian'gu'se
贮水养来清玉案,zhu'shui'yang'lai'qing'yu'an
注意卫生延年益寿,zhu'yi'wei'sheng'yan'nian'yi'shou
珠玉光辉琉璃世界,zhu'yu'guang'hui'liu'li'shi'jie
珠子还居孔子上,zhu'zi'hai'ju'kong'zi'shang
酌来竹叶凝怀绿,zhuo'lai'zhu'ye'ning'huai'lv
酌洒花间,zhuo'sa'hua'jian
着手成春,zhuo'shou'cheng'chun
自古忠孝难于两全,zi'gu'zhong'xiao'nan'yu'liang'quan
子居右女居左,zi'ju'you'nv'ju'zuo
子戊子,zi'wu'zi
紫燕剪春风,zi'yan'jian'chun'feng
自主权打通富裕路,zi'zhu'quan'da'tong'fu'yu'lu
总而言之,zong'er'yan'zhi
纵谈中外事,zong'tan'zhong'wai'shi
走南方,zou'nan'fang
祖国风光莺歌燕舞,zu'guo'feng'guang'ying'ge'yan'wu
足国宜人功留四海,zu'guo'yi'ren'gong'liu'si'hai
最是一年春好处,zui'shi'yi'nian'chun'hao'chu
尊师爱生风尚美,zun'shi'ai'sheng'feng'shang'mei
坐北朝南,zuo'bei'chao'nan
昨夜春风才入户,zuo'ye'chun'feng'cai'ru'hu
昨夜春风入户,zuo'ye'chun'feng'ru'hu
坐坐何防,zuo'zuo'he'fang
左左右右,zuo'zuo'you'you
坐坐坐,zuo'zuo'zuo
