阿达哈哈番,a'da'ha'ha'fan
少大夫,shao'dai'fu
少傅,shao'fu
少府,shao'fu
少府监,shao'fu'jian
少将,shao'jiang
少吏,shao'li
少卿,shao'qing
少上造,shao'shang'zao
少使,shao'shi
少士,shao'shi
少师,shao'shi
少司成,shao'si'cheng
少尉,shao'wei
少校,shao'xiao
少阳院使,shao'yang'yuan'shi
少宰,shao'zai
少正,shao'zheng
少中大夫,shao'zhong'da'fu
射策,she'ce
射人,she'ren
射声率,she'sheng'lv
射声校尉,she'sheng'xiao'wei
摄政,she'zheng
设治局,she'zhi'ju
什傍处,shen'bang'chu
神策军,shen'ce'jun
神宫监,shen'gong'jian
审官院,shen'guan'yuan
神劲军统制,shen'jin'jun'tong'zhi
神乐观,shen'le'guan
审录司,shen'lu'si
审判厅,shen'pan'ting
申徒,shen'tu
神武军,shen'wu'jun
审刑司,shen'xing'si
慎刑司,shen'xing'si
审刑院,shen'xing'yuan
身言书判,shen'yan'shu'pan
盛京将军,sheng'jing'jiang'jun
盛京五部,sheng'jing'wu'bu
牲口房,sheng'kou'fang
升平署,sheng'ping'shu
绳愆厅,sheng'qian'ting
省试,sheng'shi
圣王,sheng'wang
生员,sheng'yuan
省长,sheng'zhang
十八班,shi'ba'ban
市舶司,shi'bo'si
事材场,shi'cai'chang
士曹参军,shi'cao'can'jun
侍从,shi'cong
侍读,shi'du
十二监,shi'er'jian
十二卿,shi'er'qing
十二卫,shi'er'wei
谥法,shi'fa
世妇,shi'fu
师傅,shi'fu
侍宫,shi'gong
史馆,shi'guan
侍极,shi'ji
式假,shi'jia
侍监,shi'jian
侍讲,shi'jiang
十将,shi'jiang
侍巾,shi'jin
侍郎,shi'lang
市令,shi'ling
视流内,shi'liu'nei
十六司,shi'liu'si
十六卫,shi'liu'wei
十率,shi'lv
市买司,shi'mai'si
实缺,shi'que
十三衙门,shi'san'ya'men
士史,shi'shi
士师,shi'shi
师氏,shi'shi
师帅,shi'shuai
试帖诗,shi'tie'shi
侍卫,shi'wei
侍卫亲军步军都指使司,shi'wei'qin'jun'bu'jun'dou'zhi'shi'si
侍卫亲军马军都指挥使司,shi'wei'qin'jun'ma'jun'du'zhi'hui'shi'si
侍卫司,shi'wei'si
师爷,shi'ye
实业部,shi'ye'bu
拾遗,shi'yi
侍仪奉御,shi'yi'feng'yu
侍仪司,shi'yi'si
市易司,shi'yi'si
侍御史,shi'yu'shi
市长,shi'zhang
侍正府,shi'zheng'fu
侍直大夫,shi'zhi'dai'fu
侍直郎,shi'zhi'lang
侍中,shi'zhong
尸逐骨都侯,shi'zhu'gu'dou'hou
世子,shi'zi
守备,shou'bei
守倅,shou'cui
守道,shou'dao
守邸,shou'di
首辅,shou'fu
寿福总管府,shou'fu'zong'guan'fu
守宫令,shou'gong'ling
守宫署,shou'gong'shu
首领,shou'ling
首领官,shou'ling'guan
守阙进义副尉,shou'que'jin'yi'fu'wei
守阙进勇副尉,shou'que'jin'yong'fu'wei
授时郎,shou'shi'lang
寿药房,shou'yao'fang
守义尉,shou'yi'wei
守捉使,shou'zhuo'shi
书办,shu'ban
庶长,shu'chang
庶常,shu'chang
庶常馆教习,shu'chang'guan'jiao'xi
淑妃,shu'fei
枢府,shu'fu
述古殿直学士,shu'gu'dian'zhi'xue'shi
舒和郎,shu'he'lang
书记官,shu'ji'guan
书记官长,shu'ji'guan'zhang
庶吉士,shu'ji'shi
疏浚黄河司,shu'jun'huang'he'si
书吏,shu'li
书令史,shu'ling'shi
枢密都承旨,shu'mi'dou'cheng'zhi
枢密使,shu'mi'shi
枢密院,shu'mi'yuan
枢密院编修司,shu'mi'yuan'bian'xiu'si
枢密直学士,shu'mi'zhi'xue'shi
枢铭,shu'ming
书女,shu'nv
淑人,shu'ren
书史,shu'shi
庶氏,shu'shi
庶侍下士,shu'shi'xia'shi
庶务司,shu'wu'si
枢相,shu'xiang
书写机宜文书,shu'xie'ji'yi'wen'shu
淑仪,shu'yi
淑媛,shu'yuan
枢直,shu'zhi
熟状,shu'zhuang
庶子,shu'zi
书佐,shu'zuo
帅漕宪仓,shuai'cao'xian'cang
帅都督,shuai'du'du
帅机,shuai'ji
帅司,shuai'si
帅准,shuai'zhun
水部,shui'bu
水衡都尉,shui'heng'du'wei
水衡监,shui'heng'jian
税课司,shui'ke'si
水磨务,shui'mo'wu
税务处,shui'wu'chu
税务司,shui'wu'si
顺常,shun'chang
顺成,shun'cheng
顺华,shun'hua
顺容,shun'rong
顺仪,shun'yi
硕人,shuo'ren
四安将军,si'an'jiang'jun
司败,si'bai
四百石,si'bai'shi
司虣,si'bao
司宾署,si'bin'shu
司宾寺,si'bin'si
司兵,si'bing
司兵参军,si'bing'can'jun
司仓参军,si'cang'can'jun
司常,si'chang
驷车庶长,si'che'shu'chang
司辰郎,si'chen'lang
司城,si'cheng
司成馆,si'cheng'guan
司储,si'chu
司川,si'chuan
司刺,si'ci
司调下大夫,si'diao'xia'dai'fu
司度,si'du
司法部,si'fa'bu
司法参军,si'fa'can'jun
司藩,si'fan
四方馆,si'fang'guan
司封,si'feng
司服,si'fu
四辅,si'fu
四府,si'fu
四辅官,si'fu'guan
司府寺,si'fu'si
司戈,si'ge
司更寺,si'geng'si
司宫,si'gong
司工,si'gong
司功参军,si'gong'can'jun
司宫令,si'gong'ling
司宫台,si'gong'tai
司关,si'guan
司官,si'guan
司爟,si'guan
司闺,si'gui
司户参军,si'hu'can'jun
司圜,si'huan
司会,si'hui
司阍郎,si'hun'lang
司计,si'ji
司绩,si'ji
司驾,si'jia
司稼,si'jia
司稼寺,si'jia'si
司谏,si'jian
司阶,si'jie
俟斤,si'jin
司金,si'jin
司津监,si'jin'jian
司金中郎将,si'jin'zhong'lang'jiang
司经大夫,si'jing'dai'fu
司经局,si'jing'ju
司迥,si'jiong
司空,si'kong
司寇,si'kou
司库,si'ku
司乐郎,si'le'lang
司里,si'li
司隶,si'li
司厉,si'li
司李,si'li
司理,si'li
俟利发,si'li'fa
司礼监,si'li'jian
司历郎,si'li'lang
司礼寺,si'li'si
司隶台,si'li'tai
司隶校尉,si'li'xiao'wei
司列,si'lie
司录参军,si'lu'can'jun
丝纶簿,si'lun'bu
司律郎,si'lv'lang
司马,si'ma
司门,si'men
司门郎中,si'men'lang'zhong
四门学,si'men'xue
司盟,si'meng
司民,si'min
司木中大夫,si'mu'zhong'dai'fu
司内上士中士,si'nei'shang'shi'zhong'shi
司农司,si'nong'si
司农寺,si'nong'si
斯帕哈资伯克,si'pa'ha'zi'bo'ke
司平,si'ping
四平将军,si'ping'jiang'jun
司仆,si'pu
司仆郎,si'pu'lang
司仆寺,si'pu'si
司裘,si'qiu
寺人,si'ren
司戎,si'rong
四色官,si'se'guan
司膳,si'shan
司膳寺,si'shan'si
司设监,si'she'jian
司射下大夫,si'she'xia'dai'fu
肆师,si'shi
司士,si'shi
司士参军,si'shi'can'jun
四氏教授,si'shi'jiao'shou
司书,si'shu
司属寺,si'shu'si
司水,si'shui
四司,si'si
司田,si'tian
司田参军,si'tian'can'jun
司天监,si'tian'jian
司天台,si'tian'tai
司土,si'tu
司徒,si'tu
司卫寺,si'wei'si
司文郎中,si'wen'lang'zhong
司巫,si'wu
司武,si'wu
司寤氏,si'wu'shi
司险,si'xian
司宪大夫,si'xian'dai'fu
司宪中大夫,si'xian'zhong'da'fu
司刑,si'xing
司刑寺,si'xing'si
司煊氏,si'xuan'shi
司勋,si'xun
司盐校尉,si'yan'xiao'wei
司钥库,si'yao'ku
司业,si'ye
司谒郎,si'ye'lang
司仪,si'yi
司议郎,si'yi'lang
司仪署,si'yi'shu
司禋,si'yin
司音郎,si'yin'lang
司引郎,si'yin'lang
司右,si'you
司舆,si'yu
司虞,si'yu
司庾,si'yu
司驭寺,si'yu'si
司元,si'yuan
司元大夫,si'yuan'dai'fu
司苑局,si'yuan'ju
司约,si'yue
司宰寺,si'zai'si
司赞郎,si'zan'lang
司则,si'ze
司珍,si'zhen
四镇将军,si'zhen'jiang'jun
四征将军,si'zheng'jiang'jun
司正郎,si'zheng'lang
司直,si'zhi
四直都虞候,si'zhi'dou'yu'hou
司直郎,si'zhi'lang
司竹监,si'zhu'jian
司馔,si'zhuan
司宗寺,si'zong'si
搜粟都尉,sou'su'du'wei
速古儿赤,su'gu'er'chi
苏杭应奉局,su'hang'ying'feng'ju
肃和郎,su'he'lang
苏拉,su'la
宿卫司,su'wei'si
肃政大夫,su'zheng'da'fu
肃政廉访司,su'zheng'lian'fang'si
肃政台,su'zheng'tai
肃政厅,su'zheng'ting
肃政中丞,su'zheng'zhong'cheng
宿直司,su'zhi'si
苏州织造,su'zhou'zhi'zao
随朝伴官,sui'chao'ban'guan
遂大夫,sui'dai'fu
绥德尉,sui'de'wei
岁贡,sui'gong
岁考,sui'kao
随路打捕鹰房诸色民匠总管府,sui'lu'da'bu'ying'fang'zhu'se'min'jiang'zong'guan'fu
随路诸色民匠都总管府,sui'lu'zhu'se'min'jiang'dou'zong'guan'fu
随路诸色人匠都总管府,sui'lu'zhu'se'ren'jiang'dou'zong'guan'fu
遂人,sui'ren
遂士,sui'shi
遂师,sui'shi
隧正,sui'zheng
塔布囊,ta'bu'nang
太保,tai'bao
太卜令,tai'bu'ling
太仓库,tai'cang'ku
太仓署,tai'cang'shu
太常,tai'chang
太常伯,tai'chang'bo
太常博士,tai'chang'bo'shi
太常礼仪院,tai'chang'li'yi'yuan
台端,tai'duan
太妃,tai'fei
太傅,tai'fu
太府,tai'fu
太府监,tai'fu'jian
太府卿,tai'fu'qing
台阁,tai'ge
太官令,tai'guan'ling
太后,tai'hou
太后三卿,tai'hou'san'qing
太皇太后,tai'huang'tai'hou
台谏,tai'jian
太监,tai'jian
太仆,tai'pu
太仆卿,tai'pu'qing
太仆寺,tai'pu'si
太上皇,tai'shang'huang
台省,tai'sheng
太史,tai'shi
太师,tai'shi
太史公,tai'shi'gong
太史寮,tai'shi'liao
太史令,tai'shi'ling
太史院,tai'shi'yuan
太守,tai'shou
太孙,tai'sun
太尉,tai'wei
太禧宗禋院,tai'xi'zong'yin'yuan
太学,tai'xue
太医令,tai'yi'ling
太医院,tai'yi'yuan
太尹,tai'yin
台院,tai'yuan
太宰,tai'zai
太宰令,tai'zai'ling
太中大夫,tai'zhong'da'fu
太祝,tai'zhu
太子,tai'zi
太子兵客,tai'zi'bing'ke
太子宫尹,tai'zi'gong'yin
太子宫正,tai'zi'gong'zheng
太子家令,tai'zi'jia'ling
太子率更令,tai'zi'lv'geng'ling
太子门大夫,tai'zi'men'dai'fu
太子内坊局,tai'zi'nei'fang'ju
太子仆,tai'zi'pu
太子少保,tai'zi'shao'bao
太子少傅,tai'zi'shao'fu
太子少师,tai'zi'shao'shi
太子舍人,tai'zi'she'ren
太子太保,tai'zi'tai'bao
太子太傅,tai'zi'tai'fu
太子太师,tai'zi'tai'shi
太子通事舍人,tai'zi'tong'shi'she'ren
太子文学,tai'zi'wen'xue
太子中盾,tai'zi'zhong'dun
太子中书舍人,tai'zi'zhong'shu'she'ren
太子左右内率,tai'zi'zuo'you'nei'lv
太子左右卫率,tai'zi'zuo'you'wei'lv
太尊,tai'zun
探花,tan'hua
探赜郎,tan'ze'lang
堂除,tang'chu
堂官,tang'guan
唐兀卫亲军指挥使司,tang'wu'wei'qin'jun'zhi'hui'shi'si
堂主事,tang'zhu'shi
特进,te'jin
特进光禄大夫,te'jin'guang'lu'dai'fu
特进荣禄大夫,te'jin'rong'lu'dai'fu
特勒,te'le
特勤,te'qin
特任官,te'ren'guan
特支,te'zhi
题本,ti'ben
题补,ti'bu
提点,ti'dian
提点开封府界诸县镇公事,ti'dian'kai'feng'fu'jie'zhu'xian'zhen'gong'shi
提点坑治铸钱司,ti'dian'keng'zhi'zhu'qian'si
提点五房公事,ti'dian'wu'fang'gong'shi
提调,ti'diao
提督,ti'du
提督九门步军巡捕五营统领,ti'du'jiu'men'bu'jun'xun'bu'wu'ying'tong'ling
提督四夷馆,ti'du'si'yi'guan
提督易州山厂,ti'du'yi'zhou'shan'chang
提法使司,ti'fa'shi'si
提举保甲司,ti'ju'bao'jia'si
提举常平司,ti'ju'chang'ping'si
提举都城所,ti'ju'du'cheng'suo
提举富宁库,ti'ju'fu'ning'ku
提举弓箭手,ti'ju'gong'jian'shou
提举河北籴使司,ti'ju'he'bei'di'shi'si
提举三白渠公事,ti'ju'san'bai'qu'gong'shi
提举修敕令,ti'ju'xiu'chi'ling
提举学事司,ti'ju'xue'shi'si
提举制置解盐司,ti'ju'zhi'zhi'jie'yan'si
提牢,ti'lao
体量,ti'liang
体仁阁大学士,ti'ren'ge'da'xue'shi
提塘,ti'tang
惕稳,ti'wen
提斡,ti'wo
提辖,ti'xia
提刑,ti'xing
提刑按察使司,ti'xing'an'cha'shi'si
提学,ti'xue
提学使司,ti'xue'shi'si
田曹参军,tian'cao'can'jun
天策上将,tian'ce'shang'jiang
天府,tian'fu
天官,tian'guan
天官尚书,tian'guan'shang'shu
天后,tian'hou
天皇,tian'huang
天家,tian'jia
天将,tian'jiang
田畯,tian'jun
天乐署,tian'le'shu
天驷监,tian'si'jian
天王,tian'wang
天文院,tian'wen'yuan
天章阁学士,tian'zhang'ge'xue'shi
田正下大夫,tian'zheng'xia'dai'fu
天制,tian'zhi
天子,tian'zi
条记,tiao'ji
条狼氏,tiao'lang'shi
调音郎,tiao'yin'lang
铁官,tie'guan
贴黄,tie'huang
贴职,tie'zhi
厅丞,ting'cheng
亭父,ting'fu
亭侯,ting'hou
廷寄,ting'ji
停年格,ting'nian'ge
廷推,ting'tui
廷尉,ting'wei
廷尉监,ting'wei'jian
廷尉平,ting'wei'ping
廷尉三官,ting'wei'san'guan
廷尉正,ting'wei'zheng
亭长,ting'zhang
庭长,ting'zhang
廷杖,ting'zhang
亭佐,ting'zuo
通本,tong'ben
统带,tong'dai
通奉大夫,tong'feng'dai'fu
通阜司,tong'fu'si
铜官,tong'guan
通侯,tong'hou
通济监,tong'ji'jian
通禁郎,tong'jin'lang
通进司,tong'jin'si
统军,tong'jun
同考官,tong'kao'guan
统领,tong'ling
通判,tong'pan
同平章事,tong'ping'zhang'shi
僮仆都尉,tong'pu'du'wei
通善君,tong'shan'jun
通商大臣,tong'shang'da'chen
童生,tong'sheng
童生试,tong'sheng'shi
通侍大夫,tong'shi'dai'fu
通市监,tong'shi'jian
通事郎,tong'shi'lang
通侍郎,tong'shi'lang
通守,tong'shou
同文馆,tong'wen'guan
同文寺,tong'wen'si
通掖郎,tong'ye'lang
通议大夫,tong'yi'dai'fu
通议郎,tong'yi'lang
通艺司,tong'yi'si
通御郎,tong'yu'lang
同正参领,tong'zheng'can'ling
通政使司,tong'zheng'shi'si
通政院,tong'zheng'yuan
同知,tong'zhi
统制,tong'zhi
同知閤门事,tong'zhi'ge'men'shi
通直郎,tong'zhi'lang
通直散骑常侍,tong'zhi'san'qi'chang'shi
同知枢密院事,tong'zhi'shu'mi'yuan'shi
同中书门下三品,tong'zhong'shu'men'xia'san'pin
童子科,tong'zi'ke
投供,tou'gong
头司,tou'si
头役,tou'yi
土方氏,tu'fang'shi
图画署,tu'hua'shu
图记,tu'ji
图撒拉克齐,tu'sa'la'ke'qi
吐屯,tu'tun
吐屯发,tu'tun'fa
团练使,tuan'lian'shi
退材场,tui'cai'chang
推策郎,tui'ce'lang
推丞,tui'cheng
推官,tui'guan
推事,tui'shi
推事使院,tui'shi'shi'yuan
屯骑校尉,tun'qi'xiao'wei
屯田清吏司,tun'tian'qing'li'si
驼坊,tuo'fang
拖沙喇哈番,tuo'sha'la'ha'fan
瓦里,wa'li
外朝官,wai'chao'guan
外刺,wai'ci
外府,wai'fu
外府寺,wai'fu'si
外交部,wai'jiao'bu
外史,wai'shi
外史下大夫,wai'shi'xia'dai'fu
外台,wai'tai
外委,wai'wei
外务部,wai'wu'bu
外制,wai'zhi
外宗,wai'zong
万户,wan'hu
婉容,wan'rong
万石,wan'shi
婉仪,wan'yi
王府承奉,wang'fu'cheng'feng
王府仪卫司,wang'fu'yi'wei'si
王府长史司,wang'fu'zhang'shi'si
王会清吏司,wang'hui'qing'li'si
王主,wang'zhu
王子院,wang'zi'yuan
卫候直指都挥使司,wei'hou'zhi'zhi'dou'hui'shi'si
卫将军,wei'jiang'jun
威垒,wei'lei
委任官,wei'ren'guan
尉史,wei'shi
尉氏,wei'shi
卫所制度,wei'suo'zhi'du
卫尉,wei'wei
卫尉司,wei'wei'si
卫尉院,wei'wei'yuan
卫仙,wei'xian
卫指挥使司,wei'zhi'hui'shi'si
文案,wen'an
文部,wen'bu
文昌台,wen'chang'tai
文昌左右丞,wen'chang'zuo'you'cheng
文昌左右相,wen'chang'zuo'you'xiang
文妃,wen'fei
文馆,wen'guan
文华殿大学士,wen'hua'dian'da'xue'shi
文林郎,wen'lin'lang
文凭,wen'ping
文书房,wen'shu'fang
文思院,wen'si'yuan
文绣院,wen'xiu'yuan
文宣公,wen'xuan'gong
文选清吏司,wen'xuan'qing'li'si
文学,wen'xue
文学参军,wen'xue'can'jun
文学都省,wen'xue'dou'sheng
文学馆,wen'xue'guan
文学祭酒,wen'xue'ji'jiu
文学掌故,wen'xue'zhang'gu
温禺鞮王,wen'yu'di'wang
文渊阁大学士,wen'yuan'ge'da'xue'shi
翁主,weng'zhu
斡鲁朵,wo'lu'duo
伍百,wu'bai
武备寺,wu'bei'si
武备院,wu'bei'yuan
武伯,wu'bo
乌布,wu'bu
武部,wu'bu
五曹尚书,wu'cao'shang'shu
五城察院,wu'cheng'cha'yuan
五大夫,wu'da'fu
武德大夫,wu'de'dai'fu
武德将军,wu'de'jiang'jun
武德郎,wu'de'lang
武德骑尉,wu'de'qi'wei
五坊,wu'fang
五府,wu'fu
五贡,wu'gong
武功大夫,wu'gong'dai'fu
武功将军,wu'gong'jiang'jun
武功爵,wu'gong'jue
武功郎,wu'gong'lang
五官,wu'guan
五官灵台郎,wu'guan'ling'tai'lang
五官掾,wu'guan'yuan
五官正,wu'guan'zheng
五官中郎将,wu'guan'zhong'lang'jiang
武归,wu'gui
戊己校尉,wu'ji'xiao'wei
五监,wu'jian
武节大夫,wu'jie'dai'fu
武节将军,wu'jie'jiang'jun
武节郎,wu'jie'lang
武经大夫,wu'jing'dai'fu
武经郎,wu'jing'lang
无涓,wu'juan
五军都督府,wu'jun'du'du'fu
五均司市师,wu'jun'si'shi'shi
武科,wu'ke
五口通商大臣,wu'kou'tong'shang'da'chen
武库清吏司,wu'ku'qing'li'si
武库署,wu'ku'shu
乌鲁古,wu'lu'gu
武略大夫,wu'lue'dai'fu
武略将军,wu'lue'jiang'jun
武略郎,wu'lue'lang
武略骑尉,wu'lue'qi'wei
武略佐骑尉,wu'lue'zuo'qi'wei
巫马,wu'ma
武器署,wu'qi'shu
武骑尉,wu'qi'wei
武卫军都指挥使司,wu'wei'jun'du'zhi'hui'shi'si
武显大夫,wu'xian'dai'fu
武显将军,wu'xian'jiang'jun
武显郎,wu'xian'lang
武信骑尉,wu'xin'qi'wei
武信佐骑尉,wu'xin'zuo'qi'wei
武选清吏司,wu'xuan'qing'li'si
武学,wu'xue
武学博士,wu'xue'bo'shi
武学学谕,wu'xue'xue'yu
武义大夫,wu'yi'dai'fu
武翼大夫,wu'yi'dai'fu
武义都尉,wu'yi'du'wei
武翼都尉,wu'yi'du'wei
武义将军,wu'yi'jiang'jun
武毅将军,wu'yi'jiang'jun
武义郎,wu'yi'lang
武翼郎,wu'yi'lang
武英殿大学士,wu'ying'dian'da'xue'shi
武英殿修书处,wu'ying'dian'xiu'shu'chu
武勇郎将,wu'yong'lang'jiang
五院,wu'yuan
武藏中大夫,wu'zang'zhong'da'fu
伍长,wu'zhang
戊字库,wu'zi'ku
兀卒,wu'zu
吾祖,wu'zu
西班,xi'ban
悉编掣逋,xi'bian'che'bu
西曹,xi'cao
西厂,xi'chang
西府,xi'fu
西宫,xi'gong
奚官局,xi'guan'ju
奚官女奴,xi'guan'nv'nu
洗马,xi'ma
西上閤门使,xi'shang'ge'men'shi
西台,xi'tai
西台舍人,xi'tai'she'ren
西外宗正司,xi'wai'zong'zheng'si
西夏开封府,xi'xia'kai'feng'fu
犀象牙局,xi'xiang'ya'ju
惜薪厂,xi'xin'chang
惜薪司,xi'xin'si
西掖,xi'ye
西域都护,xi'yu'du'hu
西域亲军都指挥使司,xi'yu'qin'jun'du'zhi'hui'shi'si
西域长史,xi'yu'zhang'shi
西园八校尉,xi'yuan'ba'xiao'wei
下班祗应,xia'ban'zhi'ying
下大夫,xia'dai'fu
夏官,xia'guan
夏官尚书,xia'guan'shang'shu
夏官正,xia'guan'zheng
下家人子,xia'jia'ren'zi
下牧监,xia'mu'jian
下卿,xia'qing
夏卿,xia'qing
下士,xia'shi
下卸司,xia'xie'si
宪部,xian'bu
县丞,xian'cheng
县大夫,xian'dai'fu
贤妃,xian'fei
宪府,xian'fu
县公,xian'gong
县官,xian'guan
闲厩使,xian'jiu'shi
县君,xian'jun
贤良方正,xian'liang'fang'zheng
贤良文学,xian'liang'wen'xue
县令,xian'ling
先马,xian'ma
县马,xian'ma
衔枚氏,xian'mei'shi
显谟阁学士,xian'mo'ge'xue'shi
县男,xian'nan
仙韶大夫,xian'shao'dai'fu
现审处,xian'shen'chu
县试,xian'shi
县士,xian'shi
县师,xian'shi
贤书,xian'shu
宪司,xian'si
宪台,xian'tai
县尉,xian'wei
显文阁学士,xian'wen'ge'xue'shi
显武将军,xian'wu'jiang'jun
贤仪,xian'yi
县尹,xian'yin
县长,xian'zhang
县正,xian'zheng
宪政编查馆,xian'zheng'bian'cha'guan
县正堂,xian'zheng'tang
县知事,xian'zhi'shi
县知事公署,xian'zhi'shi'gong'shu
县主,xian'zhu
县子,xian'zi
县尊,xian'zun
县佐,xian'zuo
相邦,xiang'bang
巷伯,xiang'bo
巷伯局,xiang'bo'ju
乡大夫,xiang'dai'fu
向导处,xiang'dao'chu
详定一司敕令所,xiang'ding'yi'si'chi'ling'suo
相度,xiang'du
详断官,xiang'duan'guan
相公,xiang'gong
乡官,xiang'guan
厢官,xiang'guan
相国,xiang'guo
相国史,xiang'guo'shi
乡君,xiang'jun
乡老,xiang'lao
乡善君,xiang'shan'jun
乡试,xiang'shi
乡士,xiang'shi
乡师,xiang'shi
乡遂制度,xiang'sui'zhi'du
详稳,xiang'wen
详刑寺,xiang'xing'si
象胥,xiang'xu
香药库,xiang'yao'ku
详议司,xiang'yi'si
乡佐,xiang'zuo
小臣,xiao'chen
孝弟力田,xiao'di'li'tian
校官,xiao'guan
小行人,xiao'hang'ren
小黄门,xiao'huang'men
小藉臣,xiao'ji'chen
校景郎,xiao'jing'lang
小考,xiao'kao
孝廉,xiao'lian
孝廉方正科,xiao'lian'fang'zheng'ke
小两省,xiao'liang'sheng
小龙,xiao'long
小内史上士,xiao'nei'shi'shang'shi
骁骑率,xiao'qi'lv
骁骑尉,xiao'qi'wei
骁骑校,xiao'qi'xiao
校人,xiao'ren
小三法司,xiao'san'fa'si
小史,xiao'shi
小师,xiao'shi
校事,xiao'shi
校书郎,xiao'shu'lang
校尉,xiao'wei
骁雄军指挥使,xiao'xiong'jun'zhi'hui'shi
小胥,xiao'xu
校长,xiao'zhang
小祝,xiao'zhu
小宗伯,xiao'zong'bo
协办大学士,xie'ban'da'xue'shi
协参领,xie'can'ling
协都统,xie'du'tong
协纪大夫,xie'ji'dai'fu
协军校,xie'jun'xiao
协乐郎,xie'le'lang
协理京营戎政,xie'li'jing'ying'rong'zheng
协领,xie'ling
协律大夫,xie'lv'dai'fu
协律郎,xie'lv'lang
协台,xie'tai
协统,xie'tong
协镇,xie'zhen
协正庶尹,xie'zheng'shu'yin
协忠大夫,xie'zhong'dai'fu
协忠郎,xie'zhong'lang
信武将军,xin'wu'jiang'jun
新衙门,xin'ya'men
新衣库,xin'yi'ku
新运粮提举司,xin'yun'liang'ti'ju'si
刑部,xing'bu
娙娥,xing'e
行夫,xing'fu
行宫禁卫所,xing'gong'jin'wei'suo
行军总管,xing'jun'zong'guan
刑名,xing'ming
行取,xing'qu
行人,xing'ren
行省,xing'sheng
行司马,xing'si'ma
行太仆寺,xing'tai'pu'si
行台壹,xing'tai'yi
刑厅,xing'ting
兴文署,xing'wen'shu
刑宪,xing'xian
行用库,xing'yong'ku
行用六库,xing'yong'liu'ku
行御史台,xing'yu'shi'tai
行止簿,xing'zhi'bu
行走,xing'zou
雄武军指挥使,xiong'wu'jun'zhi'hui'shi
雄武郎将,xiong'wu'lang'jiang
秀才,xiu'cai
修订法律馆,xiu'ding'fa'lv'guan
修华,xiu'hua
修闾氏,xiu'lv'shi
修内司,xiu'nei'si
修起居注,xiu'qi'ju'zhu
修勤,xiu'qin
修容,xiu'rong
修文馆,xiu'wen'guan
修武郎,xiu'wu'lang
修武校尉,xiu'wu'xiao'wei
修武佐校尉,xiu'wu'zuo'xiao'wei
修仪,xiu'yi
绣衣直指,xiu'yi'zhi'zhi
修媛,xiu'yuan
修政局,xiu'zheng'ju
修正庶尹,xiu'zheng'shu'yin
休致,xiu'zhi
修职郎,xiu'zhi'lang
修撰,xiu'zhuan
序班,xu'ban
选部,xuan'bu
选补使,xuan'bu'shi
宣德郎,xuan'de'lang
宣德少府,xuan'de'shao'fu
宣德太仆,xuan'de'tai'pu
宣德卫尉,xuan'de'wei'wei
宣底,xuan'di
宣奉大夫,xuan'feng'dai'fu
宣奉郎,xuan'feng'lang
宣抚使,xuan'fu'shi
宣抚司,xuan'fu'si
选贡,xuan'gong
宣和殿学士,xuan'he'dian'xue'shi
宣惠尉,xuan'hui'wei
宣徽院,xuan'hui'yuan
宣节校尉,xuan'jie'xiao'wei
宣麻,xuan'ma
宣庆使,xuan'qing'shi
选侍,xuan'shi
宣威将军,xuan'wei'jiang'jun
宣慰使,xuan'wei'shi
宣慰使司,xuan'wei'shi'si
宣武都尉,xuan'wu'du'wei
宣武将军,xuan'wu'jiang'jun
宣业,xuan'ye
宣仪,xuan'yi
宣义郎,xuan'yi'lang
宣谕使,xuan'yu'shi
宣赞舍人,xuan'zan'she'ren
宣诏省,xuan'zhao'sheng
宣正大夫,xuan'zheng'da'fu
宣正郎,xuan'zheng'lang
宣政使,xuan'zheng'shi
宣政院,xuan'zheng'yuan
学博,xue'bo
学部,xue'bu
学录,xue'lu
学士,xue'shi
学士院,xue'shi'yuan
学谕,xue'yu
学正,xue'zheng
巡按,xun'an
巡按使,xun'an'shi
巡捕,xun'bu
巡察使,xun'cha'shi
训导,xun'dao
巡道,xun'dao
巡抚,xun'fu
勋官,xun'guan
巡检,xun'jian
巡警部,xun'jing'bu
巡警道,xun'jing'dao
训士,xun'shi
巡视京通各仓御史,xun'shi'jing'tong'ge'cang'yu'shi
巡视五城科道,xun'shi'wu'cheng'ke'dao
巡视五城御史,xun'shi'wu'cheng'yu'shi
勋侍下士,xun'shi'xia'shi
勋卫,xun'wei
巡阅使,xun'yue'shi
循资,xun'zi
押班,ya'ban
押蕃使,ya'fan'shi
亚旅,ya'lv
讶士,ya'shi
押司,ya'si
亚相,ya'xiang
押行军辎重夷离毕司,ya'xing'jun'zi'zhong'yi'li'bi'si
亚中大夫,ya'zhong'da'fu
盐池使,yan'chi'shi
验到,yan'dao
盐道,yan'dao
盐法道,yan'fa'dao
验封清吏司,yan'feng'qing'li'si
延福宫使,yan'fu'gong'shi
盐官,yan'guan
验看,yan'kan
盐课司,yan'ke'si
延庆司,yan'qing'si
盐人,yan'ren
衍圣公,yan'sheng'gong
盐铁使,yan'tie'shi
盐务分司,yan'wu'fen'si
盐务稽核所,yan'wu'ji'he'suo
演习,yan'xi
盐运使,yan'yun'shi
盐政,yan'zheng
盐政院,yan'zheng'yuan
阏氏,yan'zhi
延资库使,yan'zi'ku'shi
养廉,yang'lian
