阿宝,a'bao
玄贞子遣盗招凉珠,xuan'zhen'zi'qian'dao'zhao'liang'zhu
玄贞子投书海外,xuan'zhen'zi'tou'shu'hai'wai
玄贞子知灾救灾,xuan'zhen'zi'zhi'zai'jiu'zai
雪弟恨先主兴兵,xue'di'hen'xian'zhu'xing'bing
雪娥受辱守备府,xue'e'shou'ru'shou'bei'fu
雪娥唆打陈敬济,xue'e'suo'da'chen'jing'ji
削刚刀毛保甘受苦,xue'gang'dao'mao'bao'gan'shou'ku
薛姑子佛口谈经,xue'gu'zi'fo'kou'tan'jing
薛录事鱼服证仙,xue'lu'shi'yu'fu'zheng'xian
薛媒婆说娶孟三儿,xue'mei'po'shuo'qu'meng'san'er
学让国燕哙召兵,xue'rang'guo'yan'kuai'zhao'bing
学士怀忠假言认母,xue'shi'huai'zhong'jia'yan'ren'mu
薛慰娘,xue'wei'niang
薛冶儿舞剑分欢,xue'ye'er'wu'jian'fen'huan
雪衣女诵经得度,xue'yi'nv'song'jing'de'du
巡按府气走白玉堂,xun'an'fu'qi'zou'bai'yu'tang
寻洞擒妖逢老寿,xun'dong'qin'yao'feng'lao'shou
寻奸淫铁岭战花冲,xun'jian'yin'tie'ling'zhan'hua'chong
殉节妇留待双出柩,xun'jie'fu'liu'dai'shuang'chu'jiu
寻旧梦永结道中缘,xun'jiu'meng'yong'jie'dao'zhong'yuan
荀林父纵属亡师,xun'lin'fu'zong'shu'wang'shi
寻猛虎双雄陷深坑,xun'meng'hu'shuang'xiong'xian'shen'keng
寻盟兄巧逢桑花镇,xun'meng'xiong'qiao'feng'sang'hua'zhen
殉死节香销烈见,xun'si'jie'xiang'xiao'lie'jian
询土人将军思破贼,xun'tu'ren'jiang'jun'si'po'zei
浔阳楼宋江吟反诗,xun'yang'lou'song'jiang'yin'fan'shi
寻找拜弟救残生,xun'zhao'bai'di'jiu'can'sheng
鸦头,ya'tou
雅仙楼鸣皋遇师伯,ya'xian'lou'ming'gao'yu'shi'bo
颜按院奉旨上任,yan'an'yuan'feng'zhi'shang'ren
宴长江曹操赋诗,yan'chang'jiang'cao'cao'fu'shi
严成方较锤结义,yan'cheng'fang'jiao'chui'jie'yi
颜大人哭劝锦毛鼠,yan'da'ren'ku'quan'jin'mao'shu
晏蛾儿逾墙殉节,yan'e'er'yu'qiang'xun'jie
颜夫人快订良姻,yan'fu'ren'kuai'ding'liang'yin
演钩连大破连环马,yan'gou'lian'da'po'lian'huan'ma
严监生疾终正寝,yan'jian'sheng'ji'zhong'zheng'qin
宴李谔诸贤逞法,yan'li'e'zhu'xian'cheng'fa
阎罗,yan'luo
阎罗薨,yan'luo'hong
阎罗宴,yan'luo'yan
晏平仲二桃杀三士,yan'ping'zhong'er'tao'sha'san'shi
晏平仲巧辩服荆蛮,yan'ping'zhong'qiao'bian'fu'jing'man
阎婆大闹郓城县,yan'po'da'nao'yun'cheng'xian
验桥口捉拿贼和尚,yan'qiao'kou'zhuo'na'zei'he'shang
燕青秋林渡射,yan'qing'qiu'lin'du'she
燕青月夜遇道君,yan'qing'yue'ye'yu'dao'jun
燕青智扑擎天柱,yan'qing'zhi'pu'qing'tian'zhu
延秋门君臣奔窜,yan'qiu'men'jun'chen'ben'cuan
宴群臣宋琪赋诗,yan'qun'chen'song'qi'fu'shi
砚石,yan'shi
颜氏,yan'shi
验尸厂凶犯吐实情,yan'shi'chang'xiong'fan'tu'shi'qing
宴桃园豪杰三结义,yan'tao'yuan'hao'jie'san'jie'yi
颜统军阵列混天象,yan'tong'jun'zhen'lie'hun'tian'xiang
阎王,yan'wang
阎王殿招清供画图,yan'wang'dian'zhao'qing'gong'hua'tu
燕小姐堂上宴嘉宾,yan'xiao'jie'tang'shang'yan'jia'bin
言语科子贡说列国,yan'yu'ke'zi'gong'shuo'lie'guo
胭脂,yan'zhi
颜仲清婆心侠气,yan'zhong'qing'po'xin'xia'qi
颜仲清最工一字对,yan'zhong'qing'zui'gong'yi'zi'dui
延州府伏威遇弟,yan'zhou'fu'fu'wei'yu'di
燕子矶痴魂惊幻梦,yan'zi'ji'chi'hun'jing'huan'meng
杨八老越国奇逢,yang'ba'lao'yue'guo'qi'feng
杨疤眼,yang'ba'yan
杨丞相上表乞休,yang'cheng'xiang'shang'biao'qi'xiu
杨抽马甘请杖,yang'chou'ma'gan'qing'zhang
杨大洪,yang'da'hong
杨大尉戏宫馆客,yang'da'wei'xi'gong'guan'ke
杨芳怀忠彼此见礼,yang'fang'huai'zhong'bi'ci'jian'li
杨奉董承双救驾,yang'feng'dong'cheng'shuang'jiu'jia
杨姑娘气骂张四舅,yang'gu'niang'qi'ma'zhang'si'jiu
杨广施谗谋易位,yang'guang'shi'chan'mou'yi'wei
杨光彦作当面豺狼,yang'guang'yan'zuo'dang'mian'chai'lang
杨继周力敌番将,yang'ji'zhou'li'di'fan'jiang
杨家将晋阳斗武,yang'jia'jiang'jin'yang'dou'wu
杨家将演义,yang'jia'jiang'yan'yi
杨戬哪吒收七怪,yang'jian'ne'zha'shou'qi'guai
羊角哀舍命全交,yang'jiao'ai'she'ming'quan'jiao
杨景梦传杀手锏,yang'jing'meng'chuan'sha'shou'jian
杨郡马大破辽兵,yang'jun'ma'da'po'liao'bing
杨郡马领镇三关,yang'jun'ma'ling'zhen'san'guan
杨郡马议取北境,yang'jun'ma'yi'qu'bei'jing
杨雷陈又遇淫贼,yang'lei'chen'you'yu'yin'zei
杨雷陈仗义杀妖道,yang'lei'chen'zhang'yi'sha'yao'dao
杨林怒摆长蛇阵,yang'lin'nu'bai'chang'she'zhen
杨林强嗣秦叔宝,yang'lin'qiang'si'qin'shu'bao
杨令公大破辽兵,yang'ling'gong'da'po'liao'bing
杨六使明下三关,yang'liu'shi'ming'xia'san'guan
杨明助友战群贼,yang'ming'zhu'you'zhan'qun'zei
杨排风,yang'pai'feng
杨谦之客舫遇侠僧,yang'qian'zhi'ke'fang'yu'xia'seng
杨千总,yang'qian'zong
杨钦暗献地理图,yang'qin'an'xian'di'li'tu
杨任下山破瘟司,yang'ren'xia'shan'po'wen'si
杨思温燕山逢故人,yang'si'wen'yan'shan'feng'gu'ren
杨司训相府荐贤上,yang'si'xun'xiang'fu'jian'xian'shang
杨徒守尸误化,yang'tu'shou'shi'wu'hua
杨文广,yang'wen'guang
阳五侯,yang'wu'hou
杨小舫大闹清风镇,yang'xiao'fang'da'nao'qing'feng'zhen
杨小舫穷途逢义友,yang'xiao'fang'qiong'tu'feng'yi'you
杨雄醉骂潘巧云,yang'xiong'zui'ma'pan'qiao'yun
杨延安,yang'yan'an
杨延德,yang'yan'de
杨延德大破番兵,yang'yan'de'da'po'fan'bing
杨延定,yang'yan'ding
杨延辉,yang'yan'hui
杨延朗暗助粮草,yang'yan'lang'an'zhu'liang'cao
杨延平,yang'yan'ping
杨延嗣,yang'yan'si
杨延昭,yang'yan'zhao
杨业,yang'ye
杨义臣出师破贼,yang'yi'chen'chu'shi'po'zei
杨玉环承恩夺宠,yang'yu'huan'cheng'en'duo'chong
杨元帅督兵攻逆贼,yang'yuan'shuai'du'bing'gong'ni'zei
杨元帅误困兰州,yang'yuan'shuai'wu'kun'lan'zhou
杨元帅运筹决胜,yang'yuan'shuai'yun'chou'jue'sheng
杨再兴误走小商河,yang'zai'xing'wu'zou'xiao'shang'he
杨志押送金银担,yang'zhi'ya'song'jin'yin'dan
扬州府严拿凶手,yang'zhou'fu'yan'na'xiong'shou
阳助阴违双刀杀贼,yang'zhu'yin'wei'shuang'dao'sha'zei
杨宗保,yang'zong'bao
杨宗保兵征西夏,yang'zong'bao'bing'zheng'xi'xia
杨宗保困陷金山,yang'zong'bao'kun'xian'jin'shan
杨宗保平定西夏,yang'zong'bao'ping'ding'xi'xia
姚安,yao'an
妖娼门口唱杨枝,yao'chang'men'kou'chang'yang'zhi
妖道施法战官兵,yao'dao'shi'fa'zhan'guan'bing
妖道施法捉侠义,yao'dao'shi'fa'zhuo'xia'yi
妖道率众渡长江,yao'dao'shuai'zhong'du'chang'jiang
邀道友携宝报前仇,yao'dao'you'xie'bao'bao'qian'chou
妖妇现形唤醒文美,yao'fu'xian'xing'huan'xing'wen'mei
咬鬼,yao'gui
咬金学斧闹中宵,yao'jin'xue'fu'nao'zhong'xiao
要离贪名刺庆忌,yao'li'tan'ming'ci'qing'ji
妖魔宝放烟沙火,yao'mo'bao'fang'yan'sha'huo
邀朋友定计庆丰楼,yao'peng'you'ding'ji'qing'feng'lou
药僧,yao'seng
邀师父大闹万珍楼,yao'shi'fu'da'nao'wan'zhen'lou
妖术,yao'shu
药王庙前忽遇狂徒,yao'wang'miao'qian'hu'yu'kuang'tu
耀武楼南侠封护卫,yao'wu'lou'nan'xia'feng'hu'wei
妖邪假设小雷音,yao'xie'jia'she'xiao'lei'yin
鹞子眼杀人头送礼,yao'zi'yan'sha'ren'tou'song'li
夜叉国,ye'cha'guo
野狗,ye'gou
邺将军力擒三勇士,ye'jiang'jun'li'qin'san'yong'shi
夜救老仆颜生赴考,ye'jiu'lao'pu'yan'sheng'fu'kao
夜明,ye'ming
叶生,ye'sheng
叶体仁席间荐内弟,ye'ti'ren'xi'jian'jian'nei'di
邺天庆督队进攻,ye'tian'qing'du'dui'jin'gong
邺天庆枪挑草上飞,ye'tian'qing'qiang'tiao'cao'shang'fei
邺天庆守城战官将,ye'tian'qing'shou'cheng'zhan'guan'jiang
邺天庆误听人言,ye'tian'qing'wu'ting'ren'yan
邺天庆再打赵王庄,ye'tian'qing'zai'da'zhao'wang'zhuang
夜晚升堂闯入飞贼,ye'wan'sheng'tang'chuang'ru'fei'zei
野羊塘将军大战,ye'yang'tang'jiang'jun'da'zhan
议参本一朝膺宠命,yi'can'ben'yi'zhao'ying'chong'ming
一尘子劝秀英归诚,yi'chen'zi'quan'xiu'ying'gui'cheng
诣芳邻姑嫂巧遇,yi'fang'lin'gu'sao'qiao'yu
一封印信赵爵担惊,yi'feng'yin'xin'zhao'jue'dan'jing
一个英雄中计遭凶险,yi'ge'ying'xiong'zhong'ji'zao'xiong'xian
一怪空怀情欲喜,yi'guai'kong'huai'qing'yu'xi
役鬼,yi'gui
缢鬼,yi'gui
以假为真误拿要犯,yi'jia'wei'zhen'wu'na'yao'fan
一蹇囊秦叔宝穷途落魄,yi'jian'nang'qin'shu'bao'qiong'tu'luo'po
遗锦袜老妪获钱,yi'jin'wa'lao'yu'huo'qian
易军门邦辅颁新令,yi'jun'men'bang'fu'ban'xin'ling
一窟鬼癞道人除怪,yi'ku'gui'lai'dao'ren'chu'guai
一粒金丹天上得,yi'li'jin'dan'tian'shang'de
议礼乐名流访友,yi'li'yue'ming'liu'fang'you
意马忆心猿,yi'ma'yi'xin'yuan
议破战舰用火为工,yi'po'zhan'jian'yong'huo'wei'gong
遗巧计一良友归唐,yi'qiao'ji'yi'liang'you'gui'tang
义犬,yi'quan
邑人,yi'ren
一少年粉壁题词,yi'shao'nian'fen'bi'ti'ci
义士冲配孟州道,yi'shi'chong'pei'meng'zhou'dao
义士见信收陆通,yi'shi'jian'xin'shou'lu'tong
义释卢方史丹抵命,yi'shi'lu'fang'shi'dan'di'ming
义鼠,yi'shu
医术,yi'shu
遗书反间布散谣言,yi'shu'fan'jian'bu'san'yao'yan
沂水秀才,yi'shui'xiu'cai
易素服官署哭恩师,yi'su'fu'guan'shu'ku'en'shi
一体拜真如,yi'ti'bai'zhen'ru
一体难修真寂灭,yi'ti'nan'xiu'zhen'ji'mie
意外情许三姐认弟,yi'wai'qing'xu'san'jie'ren'di
一味歪缠淫魔色鬼,yi'wei'wai'chan'yin'mo'se'gui
议温明董卓叱丁原,yi'wen'ming'dong'zhuo'chi'ding'yuan
一文钱小隙造奇冤,yi'wen'qian'xiao'xi'zao'qi'yuan
医刑伤城璧走天涯,yi'xing'shang'cheng'bi'zou'tian'ya
义兄义弟个个施威,yi'xiong'yi'di'ge'ge'shi'wei
瘗遗骸王玉英配夫,yi'yi'hai'wang'yu'ying'pei'fu
一丈青单捉王矮虎,yi'zhang'qing'dan'zhuo'wang'ai'hu
议赈疏口角出严府,yi'zhen'shu'kou'jue'chu'yan'fu
一枝梅安义山寻友,yi'zhi'mei'an'yi'shan'xun'you
一枝梅弹打铁教头,yi'zhi'mei'dan'da'tie'jiao'tou
一枝梅弹打魏光达,yi'zhi'mei'dan'da'wei'guang'da
一枝梅盗箭斩冯云,yi'zhi'mei'dao'jian'zhan'feng'yun
一枝梅得箭还箭,yi'zhi'mei'de'jian'hai'jian
一枝梅独奋神勇,yi'zhi'mei'du'fen'shen'yong
一枝梅奋勇杀官,yi'zhi'mei'fen'yong'sha'guan
一枝梅奉调进兵,yi'zhi'mei'feng'diao'jin'bing
一枝梅计败吴方杰,yi'zhi'mei'ji'bai'wu'fang'jie
一枝梅金山救兄弟,yi'zhi'mei'jin'shan'jiu'xiong'di
一枝梅力打南昌府,yi'zhi'mei'li'da'nan'chang'fu
一枝梅徐府杀头陀,yi'zhi'mei'xu'fu'sha'tou'tuo
一枝梅夜入南昌城,yi'zhi'mei'ye'ru'nan'chang'cheng
一枝梅诱敌国贼兵,yi'zhi'mei'you'di'guo'zei'bing
一枝梅再盗弩箭,yi'zhi'mei'zai'dao'nu'jian
因抱恙玉姐含酸,yin'bao'yang'yu'jie'han'suan
尹春香烟花遇圣僧,yin'chun'xiang'yan'hua'yu'sheng'seng
引大盗破产失娇妻,yin'da'dao'po'chan'shi'jiao'qi
因打虎巧遇展国栋,yin'da'hu'qiao'yu'zhan'guo'dong
因访案误入藏珍寺,yin'fang'an'wu'ru'cang'zhen'si
淫方貂误救朱烈女,yin'fang'diao'wu'jiu'zhu'lie'nv
淫妇奸僧双愿遂,yin'fu'jian'seng'shuang'yuan'sui
淫妇药鸩武大郎,yin'fu'yao'zhen'wu'da'lang
殷洪下山收四将,yin'hong'xia'shan'shou'si'jiang
殷家渡济公捉贼人,yin'jia'du'ji'gong'zhuo'zei'ren
因家贫经营离故土,yin'jia'pin'jing'ying'li'gu'tu
因讲和仙翁斗八魔,yin'jiang'he'xian'weng'dou'ba'mo
殷郊岐山受犁锄,yin'jiao'qi'shan'shou'li'chu
因劫寨火焚贼众,yin'jie'zhai'huo'fen'zei'zhong
因救千金被赃获,yin'jiu'qian'jin'bei'zang'huo
因救人四义撇艾虎,yin'jiu'ren'si'yi'pie'ai'hu
因旧事游戏仿楚词,yin'jiu'shi'you'xi'fang'chu'ci
因旧恙筵上谈医,yin'jiu'yang'yan'shang'tan'yi
饮鸠药武大遭殃,yin'jiu'yao'wu'da'zao'yang
引毛诗佳句美庄姜,yin'mao'shi'jia'ju'mei'zhuang'jiang
因朋涉险寄柬留刀,yin'peng'she'xian'ji'jian'liu'dao
因朋友舍命盗朋友,yin'peng'you'she'ming'dao'peng'you
因奇案济公请神,yin'qi'an'ji'gong'qing'shen
隐俏体纱窗听课,yin'qiao'ti'sha'chuang'ting'ke
殷勤款待假意留宾,yin'qin'kuan'dai'jia'yi'liu'bin
淫僧梦里害相思,yin'seng'meng'li'hai'xiang'si
因射鹿秦王落难,yin'she'lu'qin'wang'luo'nan
尹氏女尽节还魂,yin'shi'nv'jin'jie'huan'hun
印铁牛行贿入灵隐,yin'tie'niu'xing'hui'ru'ling'yin
吟雪诗暖阁赌酒,yin'xue'shi'nuan'ge'du'jiu
因恙体枝女作螟蛉,yin'yang'ti'zhi'nv'zuo'ming'ling
隐逸村狐狸三报恩,yin'yi'cun'hu'li'san'bao'en
因游戏仙猿露意,yin'you'xi'xian'yuan'lu'yi
淫羽士翠黛遭鞭笞,yin'yu'shi'cui'dai'zao'bian'chi
因字声粗谈切韵,yin'zi'sheng'cu'tan'qie'yun
应伯爵隔花戏金钏,ying'bo'jue'ge'hua'xi'jin'chuan
应伯爵劝当铜锣,ying'bo'jue'quan'dang'tong'luo
应伯爵山洞戏春娇,ying'bo'jue'shan'dong'xi'chun'jiao
应伯爵替花邀酒,ying'bo'jue'ti'hua'yao'jiu
应伯爵戏衔玉臂,ying'bo'jue'xi'xian'yu'bi
应伯爵追欢喜庆,ying'bo'jue'zhui'huan'xi'qing
鹰愁涧意马收缰,ying'chou'jian'yi'ma'shou'jiang
迎春儿隙底私窥,ying'chun'er'xi'di'si'kui
婴儿问母知邪正,ying'er'wen'mu'zhi'xie'zheng
婴儿戏化禅心乱,ying'er'xi'hua'chan'xin'luan
鹰虎神,ying'hu'shen
萦旧感名士唱秋坟,ying'jiu'gan'ming'shi'chang'qiu'fen
硬勘案大儒争闲气,ying'kan'an'da'ru'zheng'xian'qi
应龙图审冤魂怨鬼,ying'long'tu'shen'yuan'hun'yuan'gui
迎銮驾豪杰施能,ying'luan'jia'hao'jie'shi'neng
婴宁,ying'ning
英雄馆举鼎遇故人,ying'xiong'guan'ju'ding'yu'gu'ren
英雄混战少华山,ying'xiong'hun'zhan'shao'hua'shan
英雄听劝骨肉团圆,ying'xiong'ting'quan'gu'rou'tuan'yuan
英雄仗义救公子,ying'xiong'zhang'yi'jiu'gong'zi
雍大夫计杀无知,yong'dai'fu'ji'sha'wu'zhi
用反言喁喁试妾妇,yong'fan'yan'yu'yu'shi'qie'fu
永福寺夫人逢故主,yong'fu'si'fu'ren'feng'gu'zhu
用火攻官军大败,yong'huo'gong'guan'jun'da'bai
用火攻一夕奏神功,yong'huo'gong'yi'xi'zou'shen'gong
用奸谋苏氏入牢笼,yong'jian'mou'su'shi'ru'lao'long
勇金刚遭打找门人,yong'jin'gang'zao'da'zhao'men'ren
涌金门张顺归神,yong'jin'men'zhang'shun'gui'shen
永宁村法救王安士,yong'ning'cun'fa'jiu'wang'an'shi
用骗供刺客承招,yong'pian'gong'ci'ke'cheng'zhao
用奇谋官军纵火,yong'qi'mou'guan'jun'zong'huo
用奇谋孔明借箭,yong'qi'mou'kong'ming'jie'jian
勇秦琼舞锏服三军,yong'qin'qiong'wu'jian'fu'san'jun
勇熊飞助擒安乐侯,yong'xiong'fei'zhu'qin'an'le'hou
游灯市帝后行乐,you'deng'shi'di'hou'xing'le
游酆都胡母迪吟诗,you'feng'du'hu'mu'di'yin'shi
游瀚海主仆重逢,you'han'hai'zhu'pu'chong'feng
羑里城囚西伯侯,you'li'cheng'qiu'xi'bo'hou
诱汤二县衙完案,you'tang'er'xian'ya'wan'an
幼童侍主侠士挥金,you'tong'shi'zhu'xia'shi'hui'jin
幽王烽火戏诸侯,you'wang'feng'huo'xi'zhu'hou
有侠有义救姑娘,you'xia'you'yi'jiu'gu'niang
有心提防交结姜铠,you'xin'di'fang'jiao'jie'jiang'kai
蚰蜒,you'yan
游异国奏对得官秩,you'yi'guo'zou'dui'de'guan'zhi
遇白民儒士听奇文,yu'bai'min'ru'shi'ting'qi'wen
余半仙摆设迷魂阵,yu'ban'xian'bai'she'mi'hun'zhen
余半仙祭炼招魂法,yu'ban'xian'ji'lian'zhao'hun'fa
俞伯牙摔琴谢知音,yu'bo'ya'shuai'qin'xie'zhi'yin
尉迟恭抢关劫寨,yu'chi'gong'qiang'guan'jie'zhai
尉迟恭双纳二女,yu'chi'gong'shuang'na'er'nv
尉迟恭脱祸归农,yu'chi'gong'tuo'huo'gui'nong
尉迟恭无心背主,yu'chi'gong'wu'xin'bei'zhu
尉迟恭御园护主,yu'chi'gong'yu'yuan'hu'zhu
尉迟恭诈称疯魔,yu'chi'gong'zha'cheng'feng'mo
遇仇人鸿儒切齿,yu'chou'ren'hong'ru'qie'chi
欲盗赃金纠合五义,yu'dao'zang'jin'jiu'he'wu'yi
余德,yu'de
御风生见面说前因,yu'feng'sheng'jian'mian'shuo'qian'yin
宇给事劾倒杨提督,yu'gei'shi'he'dao'yang'ti'du
遇故旧三人同采花楼,yu'gu'jiu'san'ren'tong'cai'hua'lou
遇故友巧得真消息,yu'gu'you'qiao'de'zhen'xiao'xi
遇拐带松林救巧姐,yu'guai'dai'song'lin'jiu'qiao'jie
渝鬼,yu'gui
遇国母晚宿天齐庙,yu'guo'mu'wan'su'tian'qi'miao
御果园秦王遇雄信,yu'guo'yuan'qin'wang'yu'xiong'xin
余杭县清官逢奇案,yu'hang'xian'qing'guan'feng'qi'an
遇豪杰陈起望探信,yu'hao'jie'chen'qi'wang'tan'xin
遇胡僧现身施药,yu'hu'seng'xian'shen'shi'yao
于江,yu'jiang
遇节妇淫贼采花,yu'jie'fu'yin'zei'cai'hua
遇兰弟诉说被害事,yu'lan'di'su'shuo'bei'hai'shi
鱼鳞镇家人说凶信,yu'lin'zhen'jia'ren'shuo'xiong'xin
遇美妓罄囊两相交,yu'mei'ji'qing'nang'liang'xiang'jiao
玉面狐上清宫访道,yu'mian'hu'shang'qing'gong'fang'dao
余明经把酒问葬事,yu'ming'jing'ba'jiu'wen'zang'shi
遇难成祥马能伏虎,yu'nan'cheng'xiang'ma'neng'fu'hu
淤泥河罗成捐躯,yu'ni'he'luo'cheng'juan'qu
余七回山延师父,yu'qi'hui'shan'yan'shi'fu
雨钱,yu'qian
遇强梁义女怀德,yu'qiang'liang'yi'nv'huai'de
于去恶,yu'qu'e
玉泉山关公显圣,yu'quan'shan'guan'gong'xian'sheng
豫让击衣报襄子,yu'rang'ji'yi'bao'xiang'zi
喻世明言,yu'shi'ming'yan
玉堂春落难逢夫,yu'tang'chun'luo'nan'feng'fu
玉堂涉险盗盟单,yu'tang'she'xian'dao'meng'dan
虞天敏感妻死节,yu'tian'min'gan'qi'si'jie
遇王道济公施恻隐,yu'wang'dao'ji'gong'shi'ce'yin
宇文妃龙案解诗,yu'wen'fei'long'an'jie'shi
宇文公子强暴宣淫,yu'wen'gong'zi'qiang'bao'xuan'yin
宇文子贪色亡身,yu'wen'zi'tan'se'wang'shen
玉箫跪受三章约,yu'xiao'gui'shou'san'zhang'yue
虞秀才重修元武阁,yu'xiu'cai'chong'xiu'yuan'wu'ge
余秀英暗地说私情,yu'xiu'ying'an'di'shuo'si'qing
余秀英敬献光明镜,yu'xiu'ying'jing'xian'guang'ming'jing
余秀英嘘寒送暖,yu'xiu'ying'xu'han'song'nuan
余秀英智赚王元帅,yu'xiu'ying'zhi'zhuan'wang'yuan'shuai
玉虚尊者悟前身通闺闼坚心灯火,yu'xu'zun'zhe'wu'qian'shen'tong'gui'ta'jian'xin'deng'huo
遇杨婆子侠客挥金,yu'yang'po'zi'xia'ke'hui'jin
遇妖怪起淫心丧命倾生,yu'yao'guai'qi'yin'xin'sang'ming'qing'sheng
遇英雄吓落真魂,yu'ying'xiong'xia'luo'zhen'hun
俞樾,yu'yue
遇灾星素琴双痛哭,yu'zai'xing'su'qin'shuang'tong'ku
遇张荣二人谈心事,yu'zhang'rong'er'ren'tan'xin'shi
于中丞,yu'zhong'cheng
俞仲举题诗遇上皇,yu'zhong'ju'ti'shi'yu'shang'huang
于子游,yu'zi'you
元宝,yuan'bao
袁宝珠领袖祝文星,yuan'bao'zhu'ling'xiu'zhu'wen'xing
袁宝珠引进杜琴言,yuan'bao'zhu'yin'jin'du'qin'yan
袁本初败兵折将,yuan'ben'chu'bai'bing'zhe'jiang
猿不邪采药寄仙书,yuan'bu'xie'cai'yao'ji'xian'shu
袁不邪舞剑醉山峰,yuan'bu'xie'wu'jian'zui'shan'feng
袁曹各起马步三军,yuan'cao'ge'qi'ma'bu'san'jun
袁公路大起七军,yuan'gong'lu'da'qi'qi'jun
元空僧功满归莲径,yuan'kong'seng'gong'man'gui'lian'jing
猿马刀归木母空,yuan'ma'dao'gui'mu'mu'kong
园内赠金丫鬟丧命,yuan'nei'zeng'jin'ya'huan'sang'ming
渊平战死幽州城,yuan'ping'zhan'si'you'zhou'cheng
袁绮香酒令戏群芳,yuan'qi'xiang'jiu'ling'xi'qun'fang
元庆丧身火雷阵,yuan'qing'sang'shen'huo'lei'zhen
袁绍磐河战公孙,yuan'shao'pan'he'zhan'gong'sun
元少先生,yuan'shao'xian'sheng
元神护道,yuan'shen'hu'dao
元神助本心,yuan'shen'zhu'ben'xin
袁守诚妙算无私曲,yuan'shou'cheng'miao'suan'wu'si'qu
猿熟马驯方脱壳,yuan'shu'ma'xun'fang'tuo'qiao
元帅兵陷苦株湾,yuan'shuai'bing'xian'ku'zhu'wan
元帅府岳鹏举谈兵,yuan'shuai'fu'yue'peng'ju'tan'bing
沅俗,yuan'su
愿同穴一时丧礼盛,yuan'tong'xue'yi'shi'sang'li'sheng
元夜游行遇雪雨,yuan'ye'you'xing'yu'xue'yu
冤狱,yuan'yu
元直走马荐诸葛,yuan'zhi'zou'ma'jian'zhu'ge
岳飞大战爱华山,yue'fei'da'zhan'ai'hua'shan
岳飞破贼酬知己,yue'fei'po'zei'chou'zhi'ji
岳飞巧试九枝箭,yue'fei'qiao'shi'jiu'zhi'jian
岳飞设计败金兵,yue'fei'she'ji'bai'jin'bing
岳飞完姻归故土,yue'fei'wan'yin'gui'gu'tu
约后会玄贞子回山,yue'hou'hui'xuan'zhen'zi'hui'shan
月明和尚度柳翠,yue'ming'he'shang'du'liu'cui
月明月朗施妖法,yue'ming'yue'lang'shi'yao'fa
岳鹏举划地绝交情,yue'peng'ju'hua'di'jue'jiao'qing
乐清县贤宰爱士,yue'qing'xian'xian'zai'ai'shi
岳神,yue'shen
岳胜大战萧天佑,yue'sheng'da'zhan'xiao'tian'you
约诗会名士携匡二,yue'shi'hui'ming'shi'xie'kuang'er
岳霆途遇众好汉,yue'ting'tu'yu'zhong'hao'han
越危垣潜出淑士关,yue'wei'yuan'qian'chu'shu'shi'guan
月夕灯宵万花齐放,yue'xi'deng'xiao'wan'hua'qi'fang
岳院君闭门课子,yue'yuan'jun'bi'men'ke'zi
岳元帅大破五方阵,yue'yuan'shuai'da'po'wu'fang'zhen
岳元帅单身探贼,yue'yuan'shuai'dan'shen'tan'zei
岳元帅调兵剿寇,yue'yuan'shuai'diao'bing'jiao'kou
云长攻拔襄阳城,yun'chang'gong'ba'xiang'yang'cheng
郓城县月夜走刘唐,yun'cheng'xian'yue'ye'zou'liu'tang
运筹帷幄三次骄兵,yun'chou'wei'wo'san'ci'jiao'bing
云翠仙,yun'cui'xian
陨大星汉丞相归天,yun'da'xing'han'cheng'xiang'gui'tian
云房十试洞宾,yun'fang'shi'shi'dong'bin
郓哥不忿闹茶肆,yun'ge'bu'fen'nao'cha'si
云兰镇恶道兴妖,yun'lan'zhen'e'dao'xing'yao
云龙二次伤三友,yun'long'er'ci'shang'san'you
云萝公主,yun'luo'gong'zhu
运巧思对酒纵谐谈,yun'qiao'si'dui'jiu'zong'xie'tan
芸生为救人受困,yun'sheng'wei'jiu'ren'shou'kun
运退时刺史当艄大姊魂游完宿愿,yun'tui'shi'ci'shi'dang'shao'da'zi'hun'you'wan'su'yuan
云阳生斩非非和尚,yun'yang'sheng'zhan'fei'fei'he'shang
云阳生仗义下江南,yun'yang'sheng'zhang'yi'xia'jiang'nan
云中子进剑除妖,yun'zhong'zi'jin'jian'chu'yao
砸菜碗小旦撒娇,za'cai'wan'xiao'dan'sa'jiao
再成交杨二郎正本,zai'cheng'jiao'yang'er'lang'zheng'ben
再放报仇箭戚方殒命,zai'fang'bao'chou'jian'qi'fang'yun'ming
在公堂二秃子受刑,zai'gong'tang'er'tu'zi'shou'xing
在后寨见侄夸相貌,zai'hou'zhai'jian'zhi'kua'xiang'mao
在庙中初会凶和尚,zai'miao'zhong'chu'hui'xiong'he'shang
在破庙艾虎搭救宾朋,zai'po'miao'ai'hu'da'jiu'bin'peng
宰少女途中得胜,zai'shao'nv'tu'zhong'de'sheng
再受禅依样画葫芦,zai'shou'shan'yi'yang'hua'hu'lu
在苇塘表兄弟相逢,zai'wei'tang'biao'xiong'di'xiang'feng
宰相府库内走银蛇,zai'xiang'fu'ku'nei'zou'yin'she
葬神仙马秀才送丧,zang'shen'xian'ma'xiu'cai'song'sang
