阿尔尼,a'er'ni
萧半和,xiao'ban'he
小鬼叫门,xiao'gui'jiao'men
小桂子,xiao'gui'zi
笑脸鬼,xiao'lian'gui
小怜横陈,xiao'lian'heng'chen
小擒拿手,xiao'qin'na'shou
萧少英,xiao'shao'ying
萧史乘龙,xiao'shi'sheng'long
箫史乘龙,xiao'shi'sheng'long
萧石逸,xiao'shi'yi
小王将军,xiao'wang'jiang'jun
小无相功,xiao'wu'xiang'gong
萧湘道长,xiao'xiang'dao'zhang
逍遥剑宗,xiao'yao'jian'zong
逍遥游,xiao'yao'you
逍遥掌,xiao'yao'zhang
逍遥子,xiao'yao'zi
小夜叉棍,xiao'ye'cha'gun
小园艺菊,xiao'yuan'yi'ju
萧中慧,xiao'zhong'hui
谢不当,xie'bu'dang
斜打狗背,xie'da'gou'bei
谢铿,xie'keng
蟹钳功,xie'qian'gong
谢逊,xie'xun
谢烟客,xie'yan'ke
心动期,xin'dong'qi
辛国梁,xin'guo'liang
辛然,xin'ran
心溪,xin'xi
心砚,xin'yan
心意气混元功,xin'yi'qi'hun'yuan'gong
星辰裂,xing'chen'lie
星辰破碎,xing'chen'po'sui
星辰子,xing'chen'zi
行痴,xing'chi
行颠,xing'dian
星盾,xing'dun
星光辉映,xing'guang'hui'ying
星空投影,xing'kong'tou'ying
星力法阵,xing'li'fa'zhen
星破,xing'po
星演上人,xing'yan'shang'ren
雄霸群山,xiong'ba'qun'shan
熊猫儿,xiong'mao'er
雄娘子,xiong'niang'zi
熊元献,xiong'yuan'xian
修罗棋盘城,xiu'luo'qi'pan'cheng
修魔悟道者,xiu'mo'wu'dao'zhe
袖中指,xiu'zhong'zhi
虚魔,xu'mo
虚式分金,xu'shi'fen'jin
徐天川,xu'tian'chuan
徐天宏,xu'tian'hong
虚无宗,xu'wu'zong
许雪亭,xu'xue'ting
徐长老,xu'zhang'lao
徐铮,xu'zheng
许卓诚,xu'zhuo'cheng
悬浮飞车,xuan'fu'fei'che
煊赫大梁城,xuan'he'da'liang'cheng
玄慧,xuan'hui
玄机子,xuan'ji'zi
玄觉,xuan'jue
玄空,xuan'kong
玄苦,xuan'ku
玄冥二老,xuan'ming'er'lao
玄魔级别,xuan'mo'ji'bie
玄天指,xuan'tian'zhi
玄铁剑法,xuan'tie'jian'fa
玄痛,xuan'tong
玄通子,xuan'tong'zi
玄武天君,xuan'wu'tian'jun
轩无翼,xuan'wu'yi
玄虚刀法,xuan'xu'dao'fa
玄玄刀法,xuan'xuan'dao'fa
玄衣,xuan'yi
玄真道人,xuan'zhen'dao'ren
血刀刀法,xue'dao'dao'fa
血刀门,xue'dao'men
薛夫人,xue'fu'ren
薛公远,xue'gong'yuan
薛慕华,xue'mu'hua
雪欧上人,xue'ou'shang'ren
薛鹊,xue'que
雪山飞狐,xue'shan'fei'hu
雪山剑法,xue'shan'jian'fa
雪拥蓝桥,xue'yong'lan'qiao
雪中奇莲,xue'zhong'qi'lian
迅雷剑,xun'lei'jian
哑婆婆,ya'po'po
哑梢公,ya'shao'gong
言伯乾,yan'bo'qian
言达平,yan'da'ping
燕歌,yan'ge
雁行刀,yan'hang'dao
雁行轻功,yan'hang'qing'gong
雁回天南,yan'hui'tian'nan
雁回祝融,yan'hui'zhu'rong
阎基,yan'ji
言家拳,yan'jia'quan
严妈妈,yan'ma'ma
雁破九重,yan'po'jiu'chong
燕七,yan'qi
严三星,yan'san'xing
阎世魁,yan'shi'kui
燕十三,yan'shi'san
阎世章,yan'shi'zhang
烟锁雾拢,yan'suo'wu'long
阎王点名,yan'wang'dian'ming
阎王掷笔,yan'wang'zhi'bi
炎炎功,yan'yan'gong
焉知鱼,yan'zhi'yu
杨成协,yang'cheng'xie
杨姐姐,yang'jie'jie
杨景亭,yang'jing'ting
杨老令公,yang'lao'ling'gong
杨鹏举,yang'peng'ju
阳跷脉,yang'qiao'mai
阳山迭迭,yang'shan'die'die
阳维脉,yang'wei'mai
养吾剑,yang'wu'jian
杨溢之,yang'yi'zhi
杨中慧,yang'zhong'hui
姚必达,yao'bi'da
姚伯当,yao'bo'dang
姚春,yao'chun
姚清泉,yao'qing'quan
遥天浸白波,yao'tian'jin'bai'bo
夜半烽烟,ye'ban'feng'yan
叶长青,ye'chang'qing
耶律晋,ye'lv'jin
耶律涅鲁古,ye'lv'nie'lu'gu
耶律燕,ye'lv'yan
耶律重元,ye'lv'zhong'yuan
野马奔驰,ye'ma'ben'chi
叶梦色,ye'meng'se
夜绣鸳鸯,ye'xiu'yuan'yang
疑兵之计,yi'bing'zhi'ji
易尘天,yi'chen'tian
易重天,yi'chong'tian
易大彪,yi'da'biao
易国梓,yi'guo'zi
仪和,yi'he
易吉,yi'ji
一剑封魔,yi'jian'feng'mo
易筋煅骨篇,yi'jin'duan'gu'pian
易筋经,yi'jin'jing
意气素霓生,yi'qi'su'ni'sheng
仪清,yi'qing
易三娘,yi'san'niang
义生,yi'sheng
一十八路登堂拳,yi'shi'ba'lu'deng'tang'quan
一十二路入室拳,yi'shi'er'lu'ru'shi'quan
易师爷,yi'shi'ye
易水天,yi'shui'tian
易堂主,yi'tang'zhu
倚天屠龙笔法,yi'tian'tu'long'bi'fa
倚天屠龙记,yi'tian'tu'long'ji
一啸风生,yi'xiao'feng'sheng
一阳指,yi'yang'zhi
一字电剑,yi'zi'dian'jian
阴风刀,yin'feng'dao
阴风吼,yin'feng'hou
银河横空,yin'he'heng'kong
隐狐族,yin'hu'zu
殷吉,yin'ji
殷锦,yin'jin
尹克西,yin'ke'xi
殷离,yin'li
隐魔一族,yin'mo'yi'zu
阴跷脉,yin'qiao'mai
阴山鬼帅,yin'shan'gui'shuai
阴山掌大九式,yin'shan'zhang'da'jiu'shi
银索金铃索法,yin'suo'jin'ling'suo'fa
殷天正,yin'tian'zheng
因陀罗抓,yin'tuo'luo'zhua
阴维脉,yin'wei'mai
殷无福,yin'wu'fu
殷无禄,yin'wu'lu
殷无寿,yin'wu'shou
阴阳诀,yin'yang'jue
殷野王,yin'ye'wang
尹章垓,yin'zhang'gai
殷仲翔,yin'zhong'xiang
英白罗,ying'bai'luo
英颚,ying'e
鹰蛇生死搏,ying'she'sheng'si'bo
应松,ying'song
英雄三招,ying'xiong'san'zhao
英长老,ying'zhang'lao
鹰爪力,ying'zhao'li
鹰爪擒拿手,ying'zhao'qin'na'shou
鹰爪雁行门,ying'zhao'yan'hang'men
永慈,yong'ci
永恒视觉墨水,yong'heng'shi'jue'mo'shui
庸医下药,yong'yi'xia'yao
尤得胜,you'de'sheng
游骥,you'ji
游驹,you'ju
优客李玲,you'ke'li'ling
游龙探爪,you'long'tan'zhao
优生者,you'sheng'zhe
右书僮,you'shu'tong
游迅,you'xun
有冤报冤,you'yuan'bao'yuan
于八,yu'ba
俞朝奉,yu'chao'feng
尉迟连,yu'chi'lian
雨打飞花剑法,yu'da'fei'hua'jian'fa
玉带围腰,yu'dai'wei'yao
俞岱岩,yu'dai'yan
鱼贩头子,yu'fan'tou'zi
于管家,yu'guan'jia
郁光标,yu'guang'biao
于光豪,yu'guang'hao
余护花,yu'hu'hua
玉进天池,yu'jin'tian'chi
俞连舟,yu'lian'zhou
玉灵道人,yu'ling'dao'ren
玉女剑法,yu'nv'jian'fa
玉女剑十九式,yu'nv'jian'shi'jiu'shi
玉女素心剑,yu'nv'su'xin'jian
玉女素心剑法,yu'nv'su'xin'jian'fa
俞佩玉,yu'pei'yu
玉磬子,yu'qing'zi
于人豪,yu'ren'hao
余人彦,yu'ren'yan
于嫂,yu'sao
驭兽师,yu'shou'shi
渔叟钩法,yu'sou'gou'fa
玉碎昆冈,yu'sui'kun'gang
于万亭,yu'wan'ting
御下不严,yu'xia'bu'yan
玉萧剑法,yu'xiao'jian'fa
玉箫剑法,yu'xiao'jian'fa
羽衣刀,yu'yi'dao
玉音子,yu'yin'zi
余鱼同,yu'yu'tong
鱼跃于渊,yu'yue'yu'yuan
余兆兴,yu'zhao'xing
玉真子,yu'zhen'zi
玉钟子,yu'zhong'zi
羽字家族,yu'zi'jia'zu
元悲,yuan'bei
元澄道人,yuan'cheng'dao'ren
袁夫人,yuan'fu'ren
缘根,yuan'gen
袁冠南,yuan'guan'nan
元广波,yuan'guang'bo
怨魂缠足,yuan'hun'chan'zu
元伤,yuan'shang
袁士霄,yuan'shi'xiao
袁士宵,yuan'shi'xiao
原随云,yuan'sui'yun
渊停岳峙,yuan'ting'yue'zhi
元痛,yuan'tong
鸳鸯刀,yuan'yang'dao
圆业,yuan'ye
元义方,yuan'yi'fang
元婴,yuan'ying
圆真,yuan'zhen
月二圣,yue'er'sheng
越女剑法,yue'nv'jian'fa
岳扬,yue'yang
粤州,yue'zhou
云岛主,yun'dao'zhu
云横西岭,yun'heng'xi'ling
云强盗,yun'qiang'dao
云若卿,yun'ruo'qing
云若虚,yun'ruo'xu
云素梅,yun'su'mei
云天空,yun'tian'kong
云铮,yun'zheng
云中鹤,yun'zhong'he
云州秦家寨,yun'zhou'qin'jia'zhai
藏族牧民,zang'zu'mu'min
扎西嘉措,zha'xi'jia'cuo
展白,zhan'bai
詹春,zhan'chun
展飞,zhan'fei
斩蛟拳,zhan'jiao'quan
展梦白,zhan'meng'bai
毡毯,zhan'tan
粘字诀,zhan'zi'jue
张阿生,zhang'a'sheng
张安官,zhang'an'guan
掌棒龙头,zhang'bang'long'tou
掌钵龙头,zhang'bo'long'tou
张朝唐,zhang'chao'tang
张春九,zhang'chun'jiu
张淡月,zhang'dan'yue
张二叔,zhang'er'shu
张飞雄,zhang'fei'xiong
张管家,zhang'guan'jia
张继麟,zhang'ji'lin
张洁洁,zhang'jie'jie
张金鏊,zhang'jin'ao
张九,zhang'jiu
张康年,zhang'kang'nian
章老三,zhang'lao'san
张妈,zhang'ma
张若谷,zhang'ruo'gu
张十五,zhang'shi'wu
张松溪,zhang'song'xi
长孙红,zhang'sun'hong
张姓老者,zhang'xing'lao'zhe
张一氓,zhang'yi'mang
张召重,zhang'zhao'zhong
张志光,zhang'zhi'guang
张总管,zhang'zong'guan
棹歌中流,zhao'ge'zhong'liu
赵齐贤,zhao'qi'xian
照虚,zhao'xu
赵洵,zhao'xun
赵一伤,zhao'yi'shang
赵志敬,zhao'zhi'jing
浙东祁家,zhe'dong'qi'jia
者勒米,zhe'le'mi
哲罗星,zhe'luo'xing
镇魂术,zhen'hun'shu
震山子,zhen'shan'zi
震天三十掌,zhen'tian'san'shi'zhang
震天铁掌,zhen'tian'tie'zhang
郑镖头,zheng'biao'tou
郑丰,zheng'feng
郑光芝,zheng'guang'zhi
郑七灭,zheng'qi'mie
郑起云,zheng'qi'yun
郑三娘,zheng'san'niang
郑长老,zheng'zhang'lao
执法长老,zhi'fa'zhang'lao
织女穿衣,zhi'nv'chuan'yi
止清,zhi'qing
钟阿四,zhong'a'si
中冲剑,zhong'chong'jian
中东方家族,zhong'dong'fang'jia'zu
钟鼓齐鸣,zhong'gu'qi'ming
中华联盟,zhong'hua'lian'meng
中华元,zhong'hua'yuan
终极裁决,zhong'ji'cai'jue
重节守义,zhong'jie'shou'yi
锺馗抉目,zhong'kui'jue'mu
中南全真剑宗,zhong'nan'quan'zhen'jian'zong
中年武师,zhong'nian'wu'shi
钟四嫂,zhong'si'sao
钟小二,zhong'xiao'er
中原一点红,zhong'yuan'yi'dian'hong
钟兆能,zhong'zhao'neng
钟兆文,zhong'zhao'wen
钟兆英,zhong'zhao'ying
钟镇,zhong'zhen
钟志灵,zhong'zhi'ling
周阿三,zhou'a'san
周伯通,zhou'bo'tong
周大奶奶,zhou'da'nai'nai
周公剑,zhou'gong'jian
周孤桐,zhou'gu'tong
周隆,zhou'long
周牧,zhou'mu
周圻,zhou'qi
周绮,zhou'qi
周铁鹤,zhou'tie'he
周威信,zhou'wei'xin
周五输,zhou'wu'shu
周英杰,zhou'ying'jie
周云阳,zhou'yun'yang
周仲英,zhou'zhong'ying
朱安国,zhu'an'guo
诸保昆,zhu'bao'kun
祝镖头,zhu'biao'tou
朱长龄,zhu'chang'ling
朱聪,zhu'cong
褚轰,zhu'hong
褚红柏,zhu'hong'bai
褚红柳,zhu'hong'liu
朱九真,zhu'jiu'zhen
朱泪儿,zhu'lei'er
朱七七,zhu'qi'qi
朱雀天君,zhu'que'tian'jun
祝融剑法,zhu'rong'jian'fa
蛛索功夫,zhu'suo'gong'fu
朱停,zhu'ting
褚万春,zhu'wan'chun
诛心使,zhu'xin'shi
褚圆,zhu'yuan
朱贞仪,zhu'zhen'yi
朱子柳,zhu'zi'liu
朱祖荫,zhu'zu'yin
赚便宜,zhuan'pian'yi
颛魖魔尊,zhuan'xu'mo'zun
庄夫人,zhuang'fu'ren
庄廷龙,zhuang'ting'long
庄允城,zhuang'yun'cheng
庄铮,zhuang'zheng
追魂夺命剑,zhui'hun'duo'ming'jian
追神使,zhui'shen'shi
卓不凡,zhuo'bu'fan
卓天雄,zhuo'tian'xiong
捉影式,zhuo'ying'shi
子聪,zi'cong
紫盖剑法,zi'gai'jian'fa
紫龙子,zi'long'zi
子母铁胆,zi'mu'tie'dan
紫霞功,zi'xia'gong
子胥举鼎,zi'xu'ju'ding
紫筑宫丁,zi'zhu'gong'ding
总诀式,zong'jue'shi
宗维侠,zong'wei'xia
宗雄,zong'xiong
左冷禅,zuo'leng'chan
左书僮,zuo'shu'tong
左协侍,zuo'xie'shi
