阿道,a'dao
默如法师,mo'ru'fa'shi
摩晒陀,mo'shai'tuo
默室焉智,mo'shi'yan'zhi
摩腾,mo'teng
摩田地,mo'tian'di
末田地尊者,mo'tian'di'zun'zhe
莫因西亚多,mo'yin'xi'ya'duo
莫正熹居士,mo'zheng'xi'ju'shi
牟子居士,mou'zi'ju'shi
木庵永禅师,mu'an'yong'chan'shi
牧庵忠禅师,mu'an'zhong'chan'shi
木叉提婆师,mu'cha'ti'po'shi
木平,mu'ping
穆山瑾英,mu'shan'jin'ying
牧翁性钦,mu'weng'xing'qin
慕西法师,mu'xi'fa'shi
木严植公,mu'yan'zhi'gong
牧云禅师,mu'yun'chan'shi
慕喆,mu'zhe
睦州陈道明,mu'zhou'chen'dao'ming
睦州陈尊宿,mu'zhou'chen'zun'su
睦州和尚,mu'zhou'he'shang
纳波杰巴,na'bo'jie'ba
纳川法师,na'chuan'fa'shi
拿古纳,na'gu'na
那迦希尊者,na'jia'xi'zun'zhe
纳卡波笛,na'ka'bo'di
那力拿巴,na'li'na'ba
那连提黎耶舍,na'lian'ti'li'ye'she
那连耶舍,na'lian'ye'she
那洛巴,na'luo'ba
那洛波,na'luo'bo
那罗提黎耶舍,na'luo'ti'li'ye'she
那南多杰敦珠,na'nan'duo'jie'dun'zhu
那南生移喜德,na'nan'sheng'yi'xi'de
那瞿波,na'qu'bo
那森渣华蒋操,na'sen'zha'hua'jiang'cao
纳塘巴协饶僧格,na'tang'ba'xie'rao'seng'ge
那提三藏,na'ti'san'zang
纳衣,na'yi
南安岩严尊者,nan'an'yan'yan'zun'zhe
南安严尊者,nan'an'yan'zun'zhe
南安岩尊者,nan'an'yan'zun'zhe
南安云封寺圆禅师,nan'an'yun'feng'si'yuan'chan'shi
南昌信无疑,nan'chang'xin'wu'yi
南传佛教人物,nan'chuan'fo'jiao'ren'wu
南怀瑾先生,nan'huai'jin'xian'sheng
南际,nan'ji
南剑西岩回禅师,nan'jian'xi'yan'hui'chan'shi
南卡迎波,nan'ka'ying'bo
南康云居齐禅师,nan'kang'yun'ju'qi'chan'shi
南凉释昙霍,nan'liang'shi'tan'huo
南浦绍明,nan'pu'shao'ming
南泉,nan'quan
南泉古佛普愿,nan'quan'gu'fo'pu'yuan
南泉普愿禅师,nan'quan'pu'yuan'chan'shi
南山律师道宣,nan'shan'lv'shi'dao'xuan
南山士云,nan'shan'shi'yun
南山宣律师,nan'shan'xuan'lv'shi
难胜月,nan'sheng'yue
南石文琇禅师,nan'shi'wen'xiu'chan'shi
南塔光涌禅师,nan'ta'guang'yong'chan'shi
南堂禅师清欲,nan'tang'chan'shi'qing'yu
南堂欲禅师,nan'tang'yu'chan'shi
南天竺国沙门达磨流支,nan'tian'zhu'guo'sha'men'da'mo'liu'zhi
南亭法师,nan'ting'fa'shi
难陀,nan'tuo
南阳慧忠国师,nan'yang'hui'zhong'guo'shi
南阳张诠,nan'yang'zhang'quan
南阳张野,nan'yang'zhang'ye
南阳宗炳,nan'yang'zong'bing
南印土十四祖龙树大士,nan'yin'tu'shi'si'zu'long'shu'da'shi
南英谦宗,nan'ying'qian'zong
南源,nan'yuan
南岳芭蕉庵主泉禅师,nan'yue'ba'jiao'an'zhu'quan'chan'shi
南岳般舟和上,nan'yue'ban'zhou'he'shang
南岳般舟和尚,nan'yue'ban'zhou'he'shang
南岳大明律师,nan'yue'da'ming'lv'shi
南岳豆儿佛,nan'yue'dou'er'fo
南岳怀让禅师,nan'yue'huai'rang'chan'shi
南岳慧思大禅师,nan'yue'hui'si'da'chan'shi
南岳弥陀和尚,nan'yue'mi'tuo'he'shang
南岳明瓒禅师,nan'yue'ming'zan'chan'shi
南岳让禅师,nan'yue'rang'chan'shi
南岳石头希迁和尚,nan'yue'shi'tou'xi'qian'he'shang
南岳石头志庵主,nan'yue'shi'tou'zhi'an'zhu
南岳思大禅师,nan'yue'si'da'chan'shi
南岳惟劲头陀,nan'yue'wei'jing'tou'tuo
南岳益首座,nan'yue'yi'shou'zuo
南岳云峰律师法证,nan'yue'yun'feng'lv'shi'fa'zheng
南洲溥洽法师,nan'zhou'pu'qia'fa'shi
讷禅师,ne'chan'shi
能奉,neng'feng
能海法师,neng'hai'fa'shi
能净法师,neng'jing'fa'shi
能师,neng'shi
能义,neng'yi
逆川禅师,ni'chuan'chan'shi
逆川法师智顺,ni'chuan'fa'shi'zhi'shun
倪道,ni'dao
尼法空,ni'fa'kong
尼祖勤,ni'zu'qin
念常,nian'chang
拈笑宗英,nian'xiao'zong'ying
鸟窠,niao'ke
鸟窠禅师,niao'ke'chan'shi
鸟窠道林禅师,niao'ke'dao'lin'chan'shi
宁贲,ning'ben
宁玛巴噶陀派第三代祖师桑达坚巴崩,ning'ma'ba'ga'tuo'pai'di'san'dai'zu'shi'sang'da'jian'ba'beng
宁玛巴噶陀派开山祖师旦巴德协,ning'ma'ba'ga'tuo'pai'kai'shan'zu'shi'dan'ba'de'xie
宁师,ning'shi
拗挠,niu'nao
牛思远,niu'si'yuan
牛头,niu'tou
牛头法融禅师,niu'tou'fa'rong'chan'shi
牛头慧忠,niu'tou'hui'zhong
牛头慧忠禅师,niu'tou'hui'zhong'chan'shi
牛头懒融,niu'tou'lan'rong
牛头山智威禅师,niu'tou'shan'zhi'wei'chan'shi
纽修堪仁波切蒋扬多杰,niu'xiu'kan'ren'bo'qie'jiang'yang'duo'jie
牛云,niu'yun
牛云和尚求聪明,niu'yun'he'shang'qiu'cong'ming
诺那呼图克图,nuo'na'hu'tu'ke'tu
诺西堪布仁波切,nuo'xi'kan'bu'ren'bo'qie
欧曲达摩巴札,ou'qu'da'mo'ba'zha
欧阳竟无,ou'yang'jing'wu
欧阳修,ou'yang'xiu
欧阳永叔,ou'yang'yong'shu
帕奥禅师,pa'ao'chan'shi
帕摩竹巴多杰嘉波,pa'mo'zhu'ba'duo'jie'jia'bo
蹒庵成禅师,pan'an'cheng'chan'shi
潘待制,pan'dai'zhi
盘谷,pan'gu
盘谷禅师,pan'gu'chan'shi
潘广潭,pan'guang'tan
盘圭永琢,pan'gui'yong'zuo
潘良贵,pan'liang'gui
盘龙,pan'long
盘山,pan'shan
潘生妻胡氏,pan'sheng'qi'hu'shi
槃驮,pan'tuo
潘兴嗣,pan'xing'si
潘延之,pan'yan'zhi
庞道玄,pang'dao'xuan
庞居士,pang'ju'shi
庞行婆,pang'xing'po
庞蕴,pang'yun
庞蕴居士,pang'yun'ju'shi
抛儿婆,pao'er'po
裴公美,pei'gong'mei
裴几原,pei'ji'yuan
裴晋公,pei'jin'gong
裴宽,pei'kuan
裴休,pei'xiu
裴休居士,pei'xiu'ju'shi
彭城刘遗民,peng'cheng'liu'yi'min
彭汝霖,peng'ru'lin
彭山圣姑,peng'shan'sheng'gu
彭信宇,peng'xin'yu
毗部底陀娑,pi'bu'di'tuo'suo
毗卢渣那,pi'lu'zha'na
毗卢遮那,pi'lu'zhe'na
毗卢遮那大师,pi'lu'zhe'na'da'shi
毗罗,pi'luo
毗玛拉米札,pi'ma'la'mi'zha
琵琶师,pi'pa'shi
毗婆尸佛,pi'po'shi'fo
毗舍浮佛,pi'she'fu'fo
毗耶梨波,pi'ye'li'bo
毗耶陀里波,pi'ye'tuo'li'bo
毗卓波阿阇黎,pi'zhuo'bo'a'du'li
凭楫,ping'ji
平江虎丘隆禅师,ping'jiang'hu'qiu'long'chan'shi
屏山李居士,ping'shan'li'ju'shi
平侍者,ping'shi'zhe
平田嫂,ping'tian'sao
珀东班禅晋美札巴,po'dong'ban'chan'jin'mei'zha'ba
破窖堕,po'jiao'duo
破窖堕禅师,po'jiao'duo'chan'shi
婆舍斯多,po'she'si'duo
婆修盘头,po'xiu'pan'tou
婆须密,po'xu'mi
破灶堕,po'zao'duo
破灶堕者,po'zao'duo'zhe
普安,pu'an
普岸,pu'an
普岸禅师,pu'an'chan'shi
普庵禅师,pu'an'chan'shi
普安法师,pu'an'fa'shi
普庵印肃禅师,pu'an'yin'su'chan'shi
普超法师,pu'chao'fa'shi
普聪,pu'cong
普度禅师,pu'du'chan'shi
普光,pu'guang
普光法师,pu'guang'fa'shi
普恒,pu'heng
普化,pu'hua
普化禅师,pu'hua'chan'shi
普寰,pu'huan
普寂,pu'ji
普济,pu'ji
普寂禅师,pu'ji'chan'shi
普交,pu'jiao
普静,pu'jing
普净法师,pu'jing'fa'shi
普静觉,pu'jing'jue
普觉法师,pu'jue'fa'shi
普旷,pu'kuang
普满,pu'man
普门,pu'men
普明,pu'ming
普明法师,pu'ming'fa'shi
普钦法师,pu'qin'fa'shi
普琼瓦宣努坚赞,pu'qiong'wa'xuan'nu'jian'zan
普仁禅师,pu'ren'chan'shi
普容法师,pu'rong'fa'shi
普融智藏,pu'rong'zhi'cang
浦尚法师,pu'shang'fa'shi
普胜,pu'sheng
菩提达摩,pu'ti'da'mo
菩提达磨,pu'ti'da'mo
菩提达摩禅师,pu'ti'da'mo'chan'shi
菩提流志,pu'ti'liu'zhi
菩提流支,pu'ti'liu'zhi
菩提流志译师,pu'ti'liu'zhi'yi'shi
菩提留支译师,pu'ti'liu'zhi'yi'shi
普闻,pu'wen
普闻禅师,pu'wen'chan'shi
普文法师,pu'wen'fa'shi
普喜,pu'xi
普贤菩萨,pu'xian'pu'sa
普曜法师,pu'yao'fa'shi
朴隐禅师元净,pu'yin'chan'shi'yuan'jing
普雨法师,pu'yu'fa'shi
普圆,pu'yuan
普愿,pu'yuan
普愿禅师,pu'yuan'chan'shi
普愿法师,pu'yuan'fa'shi
普照,pu'zhao
普智,pu'zhi
普庄禅师,pu'zhuang'chan'shi
普庄法师,pu'zhuang'fa'shi
普孜,pu'zi
齐安,qi'an
齐璧,qi'bi
齐稠禅师,qi'chou'chan'shi
契此,qi'ci
齐定州僧明勖,qi'ding'zhou'seng'ming'xu
启东白,qi'dong'bai
齐法琳,qi'fa'lin
齐法师昙迁,qi'fa'shi'tan'qian
启芳,qi'fang
七佛,qi'fo
齐翰,qi'han
齐慧进,qi'hui'jin
齐慧敬,qi'hui'jing
齐己,qi'ji
齐琏,qi'lian
祁婆迦尊者,qi'po'jia'zun'zhe
契如,qi'ru
齐僧柔,qi'seng'rou
契嵩禅师,qi'song'chan'shi
契嵩法师,qi'song'fa'shi
齐昙宏,qi'tan'hong
七万释种,qi'wan'shi'zhong
栖贤,qi'xian
栖贤湜禅师,qi'xian'shi'chan'shi
栖岩益和尚,qi'yan'yi'he'shang
栖隐,qi'yin
耆域,qi'yu
齐玉,qi'yu
齐玉泉昙超法师,qi'yu'quan'tan'chao'fa'shi
启原,qi'yuan
齐云,qi'yun
齐政,qi'zheng
器之为璠,qi'zhi'wei'fan
齐州僧,qi'zhou'seng
蕲州五祖山法演禅师,qi'zhou'wu'zu'shan'fa'yan'chan'shi
祈竹仁宝哲,qi'zhu'ren'bao'zhe
契祖,qi'zu
七祖佛陀难提尊者,qi'zu'fo'tuo'nan'ti'zun'zhe
七祖婆须蜜传法佛陀难提,qi'zu'po'xu'mi'chuan'fa'fo'tuo'nan'ti
七祖婆须蜜尊者,qi'zu'po'xu'mi'zun'zhe
七祖天宫尊者慧威,qi'zu'tian'gong'zun'zhe'hui'wei
恰巴却吉僧格,qia'ba'que'ji'seng'ge
恰力巴,qia'li'ba
潜庵清源,qian'an'qing'yuan
潜庵源禅师,qian'an'yuan'chan'shi
潜庵源师,qian'an'yuan'shi
钱伯韫,qian'bo'yun
钱端礼,qian'duan'li
迁法师,qian'fa'shi
钱公相,qian'gong'xiang
签判刘经臣,qian'pan'liu'jing'chen
千顷山楚南禅师,qian'qing'shan'chu'nan'chan'shi
倩山,qian'shan
千松,qian'song
千松法师,qian'song'fa'shi
千岁宝掌和尚,qian'sui'bao'zhang'he'shang
钱塘高僧道潜,qian'tang'gao'seng'dao'qian
钱塘灵芝寺律师,qian'tang'ling'zhi'si'lv'shi
钱塘盛媪,qian'tang'sheng'ao
钱同伯,qian'tong'bo
钱象祖,qian'xiang'zu
钱象祖居士,qian'xiang'zu'ju'shi
千岩禅师,qian'yan'chan'shi
千岩长禅师,qian'yan'chang'chan'shi
千岩元长禅师,qian'yan'yuan'chang'chan'shi
钱永明之妻张氏,qian'yong'ming'zhi'qi'zhang'shi
潜真,qian'zhen
强白嘉措,qiang'bai'jia'cuo
乔美仁波切,qiao'mei'ren'bo'qie
秦道安法师,qin'dao'an'fa'shi
秦国夫人,qin'guo'fu'ren
秦国夫人计氏,qin'guo'fu'ren'ji'shi
秦淮海,qin'huai'hai
秦净坚,qin'jing'jian
钦南喀札巴,qin'nan'ka'zha'ba
钦山,qin'shan
钦山文邃禅师,qin'shan'wen'sui'chan'shi
钦师,qin'shi
秦释道恒,qin'shi'dao'heng
秦昙摩耶舍,qin'tan'mo'ye'she
秦州普觉法师,qin'zhou'pu'jue'fa'shi
清百不管老媪,qing'bai'bu'guan'lao'ao
清白氏,qing'bai'shi
清本印,qing'ben'yin
清兵家妇,qing'bing'jia'fu
清蔡鹏九,qing'cai'peng'jiu
清曹媪,qing'cao'ao
清曹居士,qing'cao'ju'shi
清曹圣友,qing'cao'sheng'you
清曹谐和,qing'cao'xie'he
清曾庚,qing'ceng'geng
清昌茂,qing'chang'mao
清常智,qing'chang'zhi
清超城,qing'chao'cheng
清潮音,qing'chao'yin
清彻,qing'che
清彻迷,qing'che'mi
清陈德心,qing'chen'de'xin
清陈画叟,qing'chen'hua'sou
清陈锽,qing'chen'huang
清陈居士,qing'chen'ju'shi
清陈君魁,qing'chen'jun'kui
清陈妪,qing'chen'yu
清成时,qing'cheng'shi
青城香林院澄远禅师,qing'cheng'xiang'lin'yuan'cheng'yuan'chan'shi
清成注,qing'cheng'zhu
清痴头道士,qing'chi'tou'dao'shi
清崇文,qing'chong'wen
清达禅,qing'da'chan
清达纯,qing'da'chun
清大勍,qing'da'qing
清大真,qing'da'zhen
清旦,qing'dan
清道彻,qing'dao'che
清道干,qing'dao'gan
清道守,qing'dao'shou
清道枢,qing'dao'shu
清道悟,qing'dao'wu
清道证,qing'dao'zheng
清德峻,qing'de'jun
清定法师,qing'ding'fa'shi
清丁繁桂,qing'ding'fan'gui
清定基,qing'ding'ji
清丁明登,qing'ding'ming'deng
清丁氏,qing'ding'shi
清丁世济,qing'ding'shi'ji
清丁童子,qing'ding'tong'zi
清定意,qing'ding'yi
清东瓜和尚,qing'dong'gua'he'shang
清东门丐者,qing'dong'men'gai'zhe
清读体,qing'du'ti
清法真,qing'fa'zhen
清范元礼,qing'fan'yuan'li
清方步瀛,qing'fang'bu'ying
清方刚,qing'fang'gang
清方海,qing'fang'hai
清费孺人,qing'fei'ru'ren
清冯庭桂,qing'feng'ting'gui
清佛安,qing'fo'an
清佛度,qing'fo'du
请佛法师,qing'fo'fa'shi
清佛琦,qing'fo'qi
清甘露寺役,qing'gan'lu'si'yi
清高士桢,qing'gao'shi'zhen
清公,qing'gong
清珙禅师,qing'gong'chan'shi
清古昆,qing'gu'kun
清顾天瑞,qing'gu'tian'rui
清观,qing'guan
清广志,qing'guang'zhi
清郭观光,qing'guo'guan'guang
清海岸,qing'hai'an
清海润,qing'hai'run
清贺氏,qing'he'shi
清和斋姑,qing'he'zhai'gu
清恒一,qing'heng'yi
清湖上老尼,qing'hu'shang'lao'ni
清胡亦薛,qing'hu'yi'xue
清华汉槎,qing'hua'han'cha
清皇甫士坊,qing'huang'fu'shi'fang
清黄氏女,qing'huang'shi'nv
清黄武城,qing'huang'wu'cheng
清黄翼圣,qing'huang'yi'sheng
清慧达,qing'hui'da
清慧端,qing'hui'duan
清慧明,qing'hui'ming
清际醒,qing'ji'xing
清鉴辨,qing'jian'bian
清江,qing'jiang
清蒋龟蒙,qing'jiang'gui'meng
清姜见龙,qing'jiang'jian'long
清蒋氏,qing'jiang'shi
清江氏,qing'jiang'shi
清皎禅师,qing'jiao'chan'shi
清金光前,qing'jin'guang'qian
清金庭栋,qing'jin'ting'dong
清静波,qing'jing'bo
清静禅,qing'jing'chan
清静海,qing'jing'hai
清具宗,qing'ju'zong
清觉源,qing'jue'yuan
清克勤,qing'ke'qin
清兰若庵尼,qing'lan're'an'ni
清朗然,qing'lang'ran
清了庵,qing'le'an
清了禅师住补陀,qing'le'chan'shi'zhu'bu'tuo
清了法师,qing'le'fa'shi
清李勤,qing'li'qin
清莲芳,qing'lian'fang
清凉澄观国师,qing'liang'cheng'guan'guo'shi
清凉大统国师澄观,qing'liang'da'tong'guo'shi'cheng'guan
清凉国师澄观,qing'liang'guo'shi'cheng'guan
清凉明,qing'liang'ming
清梁维周,qing'liang'wei'zhou
清凉文益禅师,qing'liang'wen'yi'chan'shi
清凉相公,qing'liang'xiang'gong
清凉信明,qing'liang'xin'ming
清良修,qing'liang'xiu
清列权,qing'lie'quan
青林,qing'lin
清林谷,qing'lin'gu
清林节母,qing'lin'jie'mu
清灵彻,qing'ling'che
清凌氏,qing'ling'shi
清凌树,qing'ling'shu
清陆安人,qing'lu'an'ren
清陆寡妇,qing'lu'gua'fu
清路坤,qing'lu'kun
清陆孺人,qing'lu'ru'ren
清陆氏,qing'lu'shi
清陆士铨,qing'lu'shi'quan
清陆西桥,qing'lu'xi'qiao
清陆妪,qing'lu'yu
清罗氏,qing'luo'shi
清络丝僧,qing'luo'si'seng
清罗允枚,qing'luo'yun'mei
清律净,qing'lv'jing
清吕蔚若,qing'lv'wei'ruo
清律宗,qing'lv'zong
清马敬修,qing'ma'jing'xiu
清马荣祖,qing'ma'rong'zu
清迈春,qing'mai'chun
清妙成,qing'miao'cheng
清妙湛,qing'miao'zhan
清明德,qing'ming'de
清明宏,qing'ming'hong
清明悟,qing'ming'wu
清明舟,qing'ming'zhou
清某贞女,qing'mou'zhen'nv
清倪妪,qing'ni'yu
青牛,qing'niu
清潘氏,qing'pan'shi
清潘万宗,qing'pan'wan'zong
清潘遵懋,qing'pan'zun'mao
清裴永度,qing'pei'yong'du
清彭绍升,qing'peng'shao'sheng
清彭希涑,qing'peng'xi'su
清平,qing'ping
清浦文荣,qing'pu'wen'rong
清普真,qing'pu'zhen
黥漆光菩萨,qing'qi'guang'pu'sa
清祁氏,qing'qi'shi
清起信,qing'qi'xin
清钱孺人,qing'qian'ru'ren
清钱氏,qing'qian'shi
清钱万镒,qing'qian'wan'yi
清钱文彬,qing'qian'wen'bin
清钱文灿,qing'qian'wen'can
清千一,qing'qian'yi
清邱逢泰,qing'qiu'feng'tai
清瞿晋槐,qing'qu'jin'huai
清仁筏,qing'ren'fa
清忍生,qing'ren'sheng
清如会,qing'ru'hui
清汝氏,qing'ru'shi
清善隆,qing'shan'long
清上仁,qing'shang'ren
清邵媪,qing'shao'ao
清沈媪,qing'shen'ao
清沈炳,qing'shen'bing
清沈畅,qing'shen'chang
清沈承先,qing'shen'cheng'xian
清沈婆,qing'shen'po
清沈舒华,qing'shen'shu'hua
清沈廷瑜,qing'shen'ting'yu
清沈虞尊,qing'shen'yu'zun
清沈载元,qing'shen'zai'yuan
清沈贞女,qing'shen'zhen'nv
清沈中旭,qing'shen'zhong'xu
清胜慈,qing'sheng'ci
清实定,qing'shi'ding
清施静岩,qing'shi'jing'yan
清实贤,qing'shi'xian
清实圆,qing'shi'yuan
清授心,qing'shou'xin
清顺,qing'shun
清思岸,qing'si'an
清竦,qing'song
清嵩安,qing'song'an
清宋宝官,qing'song'bao'guan
清宋莱,qing'song'lai
清耸全了二师,qing'song'quan'le'er'shi
清宋孺人,qing'song'ru'ren
清素,qing'su
清苏起凤,qing'su'qi'feng
清遂钦,qing'sui'qin
清孙复元,qing'sun'fu'yuan
清孙松亭,qing'sun'song'ting
清谭氏,qing'tan'shi
清唐景垣,qing'tang'jing'yuan
清唐沤和,qing'tang'ou'he
清陶氏,qing'tao'shi
清天,qing'tian
清田婆,qing'tian'po
清万缘,qing'wan'yuan
清王恭,qing'wang'gong
清王际良,qing'wang'ji'liang
清王荆石女,qing'wang'jing'shi'nv
清王君荣,qing'wang'jun'rong
清王母,qing'wang'mu
清汪善庆,qing'wang'shan'qing
清汪氏,qing'wang'shi
清王氏,qing'wang'shi
清王氏女,qing'wang'shi'nv
清王仰泉,qing'wang'yang'quan
清王贞生,qing'wang'zhen'sheng
清闻言,qing'wen'yan
清吴媪,qing'wu'ao
庆屋定绍,qing'wu'ding'shao
清悟开,qing'wu'kai
清吴濂,qing'wu'lian
清悟灵,qing'wu'ling
清吴毛,qing'wu'mao
清无名僧,qing'wu'ming'seng
清吴婆,qing'wu'po
清吴如庵,qing'wu'ru'an
清吴生,qing'wu'sheng
清吴氏,qing'wu'shi
清吴允升,qing'wu'yun'sheng
清吴宗魏,qing'wu'zong'wei
清霞麟,qing'xia'lin
清夏耀文,qing'xia'yao'wen
庆显,qing'xian
庆闲禅师,qing'xian'chan'shi
清香灯僧,qing'xiang'deng'seng
清谢春华,qing'xie'chun'hua
清心法师,qing'xin'fa'shi
清信士宋元庆,qing'xin'shi'song'yuan'qing
清行策,qing'xing'ce
清行修,qing'xing'xiu
清性修,qing'xing'xiu
清虚,qing'xu
清许节妇,qing'xu'jie'fu
清许仁熟,qing'xu'ren'shu
清徐氏,qing'xu'shi
清许太夫人,qing'xu'tai'fu'ren
清徐太宜人,qing'xu'tai'yi'ren
清徐僖,qing'xu'xi
清严法师,qing'yan'fa'shi
清杨媪,qing'yang'ao
清杨广文,qing'yang'guang'wen
清杨氏,qing'yang'shi
清杨文会,qing'yang'wen'hui
清姚嫂,qing'yao'sao
清姚生,qing'yao'sheng
清姚氏,qing'yao'shi
清叶其逵,qing'ye'qi'kui
清一禅,qing'yi'chan
清逸居士潘兴嗣,qing'yi'ju'shi'pan'xing'si
清易特墨太夫人,qing'yi'te'mo'tai'fu'ren
清音子,qing'yin'zi
清余媪,qing'yu'ao
清俞媪,qing'yu'ao
清余邦贤,qing'yu'bang'xian
清余慎行,qing'yu'shen'xing
清余氏,qing'yu'shi
清俞有光,qing'yu'you'guang
清远禅师,qing'yuan'chan'shi
清袁列星,qing'yuan'lie'xing
清圆融,qing'yuan'rong
青原山静居寺行思禅师,qing'yuan'shan'jing'ju'si'xing'si'chan'shi
青原思禅师,qing'yuan'si'chan'shi
清远渭公,qing'yuan'wei'gong
青原行思禅师,qing'yuan'xing'si'chan'shi
清恽又騑,qing'yun'you'fei
清张齿延,qing'zhang'chi'yan
清张惇五,qing'zhang'dun'wu
清张寡妇,qing'zhang'gua'fu
清张光纬,qing'zhang'guang'wei
清张家妇,qing'zhang'jia'fu
清章攀桂,qing'zhang'pan'gui
清张清新,qing'zhang'qing'xin
清张氏,qing'zhang'shi
清张师诚,qing'zhang'shi'cheng
清张孝林,qing'zhang'xiao'lin
清张贞女,qing'zhang'zhen'nv
庆昭,qing'zhao
清真传,qing'zhen'chuan
清郑氏,qing'zheng'shi
清郑兆荣,qing'zheng'zhao'rong
清正真,qing'zheng'zhen
清指南,qing'zhi'nan
清至善,qing'zhi'shan
清智旭,qing'zhi'xu
清钟九思,qing'zhong'jiu'si
清周光,qing'zhou'guang
清周励之,qing'zhou'li'zhi
清周梦颜,qing'zhou'meng'yan
清周庆孙,qing'zhou'qing'sun
清周全,qing'zhou'quan
清周绚堂,qing'zhou'xuan'tang
清周耀发,qing'zhou'yao'fa
庆诸,qing'zhu
庆诸禅师,qing'zhu'chan'shi
清朱麟书,qing'zhu'lin'shu
清朱氏,qing'zhu'shi
清拙正澄,qing'zhuo'zheng'cheng
裘和尚,qiu'he'shang
秋吉林巴,qiu'ji'lin'ba
求那跋摩,qiu'na'ba'mo
求那跋陀,qiu'na'ba'tuo
求那跋跎罗,qiu'na'ba'tuo'luo
求那跋陀罗,qiu'na'ba'tuo'luo
求那跋陀罗译师,qiu'na'ba'tuo'luo'yi'shi
求那毗地,qiu'na'pi'di
蘧庵法师大佑,qu'an'fa'shi'da'you
曲郡桑波,qu'jun'sang'bo
瞿邻那佗,qu'lin'na'tuo
瞿啰刹那佗,qu'luo'cha'na'tuo
屈文六,qu'wen'liu
取性道,qu'xing'dao
屈映光居士,qu'ying'guang'ju'shi
瞿元立,qu'yuan'li
全玼,quan'ci
泉大道,quan'da'dao
全付,quan'fu
全付三,quan'fu'san
铨公,quan'gong
全豁,quan'huo
全奯禅师,quan'huo'chan'shi
铨律和尚,quan'lv'he'shang
诠律师四,quan'lv'shi'si
全清,quan'qing
全室禅师宗泐,quan'shi'chan'shi'zong'le
全宰,quan'zai
权载之,quan'zai'zhi
全知麦彭仁波切,quan'zhi'mai'peng'ren'bo'qie
泉州教忠光禅师,quan'zhou'jiao'zhong'guang'chan'shi
泉州尊胜有朋,quan'zhou'zun'sheng'you'peng
却藏洛桑丹白坚赞,que'cang'luo'sang'dan'bai'jian'zan
阙公则,que'gong'ze
却华益西,que'hua'yi'xi
却吉嘉波程列隆智,que'ji'jia'bo'cheng'lie'long'zhi
却西罗桑香曲丹白仲美,que'xi'luo'sang'xiang'qu'dan'bai'zhong'mei
却西仁波切,que'xi'ren'bo'qie
却扎益西华桑,que'zha'yi'xi'hua'sang
燃灯贤,ran'deng'xian
饶德操,rao'de'cao
饶节,rao'jie
饶州荐福本禅师,rao'zhou'jian'fu'ben'chan'shi
热琼巴多杰札巴,re'qiong'ba'duo'jie'zha'ba
仁波且却嘉瓦,ren'bo'qie'que'jia'wa
仁达娃循努洛哲,ren'da'wa'xun'nu'luo'zhe
仁德法师,ren'de'fa'shi
任观察,ren'guan'cha
仁俭禅师,ren'jian'chan'shi
仁俭禅师说法王宫,ren'jian'chan'shi'shuo'fa'wang'gong
任杰,ren'jie
仁俊法师,ren'jun'fa'shi
仁钦桑波,ren'qin'sang'bo
仁钦桑波译经师,ren'qin'sang'bo'yi'jing'shi
仁闻法师,ren'wen'fa'shi
任孝恭,ren'xiao'gong
仁玄禅师,ren'xuan'chan'shi
仁岳,ren'yue
仁增登督多杰,ren'zeng'deng'du'duo'jie
仁真吉美林巴仁波且,ren'zhen'ji'mei'lin'ba'ren'bo'qie
日本禅师印原,ri'ben'chan'shi'yin'yuan
日本佛教人物,ri'ben'fo'jiao'ren'wu
日本古先原公,ri'ben'gu'xian'yuan'gong
日本梦窗国师,ri'ben'meng'chuang'guo'shi
日本印原禅师,ri'ben'yin'yuan'chan'shi
日峰宗舜,ri'feng'zong'shun
日莲法师日本,ri'lian'fa'shi'ri'ben
日酉德始,ri'you'de'shi
日照,ri'zhao
绒松巴却吉桑波,rong'song'ba'que'ji'sang'bo
融熙法师,rong'xi'fa'shi
融照,rong'zhao
柔渴巴辣,rou'ke'ba'la
如宝,ru'bao
如海禅师,ru'hai'chan'shi
如幻,ru'huan
如会,ru'hui
如会禅师,ru'hui'chan'shi
如鉴,ru'jian
如皎,ru'jiao
如净,ru'jing
如净法师,ru'jing'fa'shi
如珏,ru'jue
如满禅师,ru'man'chan'shi
如满法师,ru'man'fa'shi
如敏,ru'min
如玘,ru'qi
如玘法师,ru'qi'fa'shi
如如居士,ru'ru'ju'shi
如修法师,ru'xiu'fa'shi
如学法师,ru'xue'fa'shi
如雪文岩,ru'xue'wen'yan
汝阳广慧琏禅师,ru'yang'guang'hui'lian'chan'shi
如一,ru'yi
如一庵,ru'yi'an
如意法师,ru'yi'fa'shi
如玉,ru'yu
如湛,ru'zhan
汝州宝应南院颙禅师,ru'zhou'bao'ying'nan'yuan'yong'chan'shi
汝州风穴禅师,ru'zhou'feng'xue'chan'shi
汝州风穴沼禅师,ru'zhou'feng'xue'zhao'chan'shi
汝州首山念禅师,ru'zhou'shou'shan'nian'chan'shi
瑞今法师,rui'jin'fa'shi
瑞龙璋,rui'long'zhang
瑞龙璋禅师,rui'long'zhang'chan'shi
瑞鹿先禅师,rui'lu'xian'chan'shi
瑞仙,rui'xian
瑞岩大通,rui'yan'da'tong
瑞岩龙惺,rui'yan'long'xing
