按规程要求,an'gui'cheng'yao'qiu
煤矿工人,mei'kuang'gong'ren
煤矿和非煤矿山,mei'kuang'he'fei'mei'kuang'shan
煤矿井下工作面,mei'kuang'jing'xia'gong'zuo'mian
煤矿用炸药,mei'kuang'yong'zha'yao
煤泥,mei'ni
煤气化,mei'qi'hua
煤水泵,mei'shui'beng
煤损失,mei'sun'shi
煤炭采选,mei'tan'cai'xuan
煤炭粉磨机,mei'tan'fen'mo'ji
煤炭干燥机,mei'tan'gan'zao'ji
煤炭工业,mei'tan'gong'ye
煤炭加工化验设备,mei'tan'jia'gong'hua'yan'she'bei
煤炭科学研究总院,mei'tan'ke'xue'yan'jiu'zong'yuan
煤炭矿床,mei'tan'kuang'chuang
煤炭列车,mei'tan'lie'che
煤炭清洁生产网,mei'tan'qing'jie'sheng'chan'wang
煤炭取样,mei'tan'qu'yang
煤炭信息,mei'tan'xin'xi
煤炭信息交易网,mei'tan'xin'xi'jiao'yi'wang
煤田,mei'tian
煤田地质,mei'tian'di'zhi
煤巷,mei'xiang
煤型,mei'xing
煤盐化工,mei'yan'hua'gong
煤盐化工产业,mei'yan'hua'gong'chan'ye
煤样室,mei'yang'shi
煤样透光性,mei'yang'tou'guang'xing
煤与瓦斯突出,mei'yu'wa'si'tu'chu
煤与瓦斯突出事故,mei'yu'wa'si'tu'chu'shi'gu
煤运输,mei'yun'shu
煤质,mei'zhi
煤质板岩,mei'zhi'ban'yan
煤质采样人员,mei'zhi'cai'yang'ren'yuan
煤质化验楼,mei'zhi'hua'yan'lou
煤质化验人员,mei'zhi'hua'yan'ren'yuan
煤质砂岩,mei'zhi'sha'yan
煤柱,mei'zhu
煤砖,mei'zhuan
煤装载,mei'zhuang'zai
煤钻,mei'zuan
门式起重机,men'shi'qi'zhong'ji
猛度试验,meng'du'shi'yan
密闭爆速,mi'bi'bao'su
密闭门,mi'bi'men
密闭门硐室,mi'bi'men'dong'shi
密闭墙,mi'bi'qiang
密闭效应,mi'bi'xiao'ying
密闭殉爆试验,mi'bi'xun'bao'shi'yan
密集钻眼,mi'ji'zuan'yan
密切相关,mi'qie'xiang'guan
名誉理事长王显政,ming'yu'li'shi'zhang'wang'xian'zheng
磨煤机,mo'mei'ji
木垛,mu'duo
木工,mu'gong
慕松利,mu'song'li
耐腐蚀性,nai'fu'shi'xing
耐寒性,nai'han'xing
南环路,nan'huan'lu
南京江南机械厂有限公司,nan'jing'jiang'nan'ji'xie'chang'you'xian'gong'si
南码,nan'ma
南通道,nan'tong'dao
内聚力,nei'ju'li
内聚能,nei'ju'neng
内容,nei'rong
逆流,ni'liu
尼龙化工,ni'long'hua'gong
尼龙化工产业,ni'long'hua'gong'chan'ye
尼龙盐公司,ni'long'yan'gong'si
倪政新,ni'zheng'xin
粘附系数,nian'fu'xi'shu
粘结煤,nian'jie'mei
粘结性,nian'jie'xing
粘结指数,nian'jie'zhi'shu
碾碎机,nian'sui'ji
粘土拌合机,nian'tu'ban'he'ji
粘土覆盖层,nian'tu'fu'gai'ceng
粘土灰浆,nian'tu'hui'jiang
粘土夹层,nian'tu'jia'ceng
粘土泥,nian'tu'ni
粘土泥灰岩,nian'tu'ni'hui'yan
粘土炮泥,nian'tu'pao'ni
粘土填料,nian'tu'tian'liao
粘土岩,nian'tu'yan
粘土质矿物,nian'tu'zhi'kuang'wu
粘性系数,nian'xing'xi'shu
粘着系数,nian'zhe'xi'shu
尿素尸,niao'su'shi
浓化效应,nong'hua'xiao'ying
浓缩比,nong'suo'bi
爬车机带角链,pa'che'ji'dai'jiao'lian
爬坡能力,pa'po'neng'li
拍打矿灯,pai'da'kuang'deng
排矸桥,pai'gan'qiao
牌号,pai'hao
排水井,pai'shui'jing
排水系统,pai'shui'xi'tong
潘北,pan'bei
潘北矿,pan'bei'kuang
潘二,pan'er
潘二矿,pan'er'kuang
潘三,pan'san
潘三矿,pan'san'kuang
潘一,pan'yi
潘一矿,pan'yi'kuang
炮采工作面,pao'cai'gong'zuo'mian
配电,pei'dian
配件库,pei'jian'ku
配煤合格率,pei'mei'he'ge'lv
配水井,pei'shui'jing
配水巷,pei'shui'xiang
培训手段,pei'xun'shou'duan
喷浆,pen'jiang
喷煤,pen'mei
喷煤专用混合器,pen'mei'zhuan'yong'hun'he'qi
膨系数,peng'xi'shu
彭庄,peng'zhuang
皮代队,pi'dai'dui
皮带队,pi'dai'dui
皮带机头基础,pi'dai'ji'tou'ji'chu
皮带走廊,pi'dai'zou'lang
片帮,pian'bang
贫煤,pin'mei
贫瘦煤,pin'shou'mei
品位下限,pin'wei'xia'xian
平宝公司,ping'bao'gong'si
平顶山,ping'ding'shan
平顶山煤矿机械厂煤矿机械,ping'ding'shan'mei'kuang'ji'xie'chang'mei'kuang'ji'xie
平顶山煤业,ping'ding'shan'mei'ye
评估队,ping'gu'dui
评估员,ping'gu'yuan
平衡锤,ping'heng'chui
平煤,ping'mei
平煤股份,ping'mei'gu'fen
平煤集团,ping'mei'ji'tuan
平行平巷,ping'xing'ping'xiang
平禹煤电,ping'yu'mei'dian
平职学院,ping'zhi'xue'yuan
破碎产品,po'sui'chan'pin
破碎车间,po'sui'che'jian
破碎顶板,po'sui'ding'ban
破碎颚板,po'sui'e'ban
破碎费,po'sui'fei
破碎辊,po'sui'gun
破碎机,po'sui'ji
破碎机颚,po'sui'ji'e
破碎机房,po'sui'ji'fang
破碎机锥头,po'sui'ji'zhui'tou
破碎面,po'sui'mian
破碎能,po'sui'neng
破碎试验,po'sui'shi'yan
破碎蜗杆,po'sui'wo'gan
破碎装置,po'sui'zhuang'zhi
普采,pu'cai
起爆药包,qi'bao'yao'bao
汽车仓给排水,qi'che'cang'ji'pai'shui
汽车仓箱式变电站,qi'che'cang'xiang'shi'bian'dian'zhan
汽车定量自动装车,qi'che'ding'liang'zi'dong'zhuang'che
汽车煤仓,qi'che'mei'cang
汽车煤仓衬板,qi'che'mei'cang'chen'ban
气肥煤,qi'fei'mei
气缸体,qi'gang'ti
企管部,qi'guan'bu
企管科,qi'guan'ke
气候条件,qi'hou'tiao'jian
七矿,qi'kuang
七矿洗煤厂,qi'kuang'xi'mei'chang
气煤,qi'mei
器皿柜,qi'min'gui
其他事故的预防,qi'ta'shi'gu'de'yu'fang
七星公司,qi'xing'gong'si
企业管理部,qi'ye'guan'li'bu
气闸,qi'zha
起重定滑轮,qi'zhong'ding'hua'lun
起重机吊杆,qi'zhong'ji'diao'gan
起重机吊钩,qi'zhong'ji'diao'gou
起重机司机,qi'zhong'ji'si'ji
齐庄,qi'zhuang
卡子螺栓,qia'zi'luo'shuan
浅孔抽放,qian'kong'chou'fang
潜水泵,qian'shui'beng
前探孔,qian'tan'kong
前提下,qian'ti'xia
牵引钢丝绳,qian'yin'gang'si'sheng
牵引系数,qian'yin'xi'shu
牵住一个魂,qian'zhu'yi'ge'hun
抢救工作,qiang'jiu'gong'zuo
强斯砂浮法,qiang'si'sha'fu'fa
强斯型圆锥洗煤机,qiang'si'xing'yuan'zhui'xi'mei'ji
切夕,qie'xi
切悉具,qie'xi'ju
切锨,qie'xian
切闲,qie'xian
切腺度,qie'xian'du
切宪力,qie'xian'li
切眼,qie'yan
清仓绞车房,qing'cang'jiao'che'fang
清除器,qing'chu'qi
氰化法,qing'hua'fa
清理撒煤硐室,qing'li'sa'mei'dong'shi
清理撒煤巷道,qing'li'sa'mei'hang'dao
清理撒煤斜巷,qing'li'sa'mei'xie'hang
倾向,qing'xiang
倾向性,qing'xiang'xing
倾斜煤层,qing'xie'mei'ceng
曲柄机构,qu'bing'ji'gou
区段煤仓,qu'duan'mei'cang
区队,qu'dui
区队办公楼,qu'dui'ban'gong'lou
曲率中心,qu'lv'zhong'xin
曲线回路输送机,qu'xian'hui'lu'shu'song'ji
曲线运动,qu'xian'yun'dong
曲轴压力机,qu'zhou'ya'li'ji
全部充填,quan'bu'chong'tian
全部回采,quan'bu'hui'cai
全采,quan'cai
醛类等污染物,quan'lei'deng'wu'ran'wu
全压风流,quan'ya'feng'liu
确保,que'bao
燃料消耗量,ran'liao'xiao'hao'liang
燃烧带,ran'shao'dai
燃烧温度,ran'shao'wen'du
燃烧效率,ran'shao'xiao'lv
让压板,rang'ya'ban
让压块,rang'ya'kuai
热当量,re'dang'liang
热效率,re'xiao'lv
热值,re'zhi
人车场,ren'che'chang
人车库及候车室,ren'che'ku'ji'hou'che'shi
人口分布,ren'kou'fen'bu
人力资源部,ren'li'zi'yuan'bu
认识,ren'shi
人事处,ren'shi'chu
任务,ren'wu
人员定位系统,ren'yuan'ding'wei'xi'tong
日常维修,ri'chang'wei'xiu
绒衣,rong'yi
柔性支架,rou'xing'zhi'jia
蠕变变形,ru'bian'bian'xing
蠕变强度,ru'bian'qiang'du
蠕变曲线,ru'bian'qu'xian
蠕变试验,ru'bian'shi'yan
蠕变速度,ru'bian'su'du
入仓平巷,ru'cang'ping'xiang
入仓斜巷,ru'cang'xie'hang
入井人员,ru'jing'ren'yuan
汝州,ru'zhou
瑞平公司,rui'ping'gong'si
弱碱煤,ruo'jian'mei
弱粘煤,ruo'zhan'mei
塞药棒,sai'yao'bang
三不四可,san'bu'si'ke
三分局,san'fen'ju
三基三抓一追究,san'ji'san'zhua'yi'zhui'jiu
三矿,san'kuang
三软,san'ruan
三违,san'wei
色谱仪,se'pu'yi
砂袋垛,sha'dai'duo
筛孔,shai'kong
筛上物,shai'shang'wu
山东煤矿济南机械厂煤矿机械,shan'dong'mei'kuang'ji'nan'ji'xie'chang'mei'kuang'ji'xie
陕西彬长矿区,shan'xi'bin'chang'kuang'qu
山西省忻州市煤矿机械厂,shan'xi'sheng'xin'zhou'shi'mei'kuang'ji'xie'chang
扇形,shan'xing
上仓机头变电所,shang'cang'ji'tou'bian'dian'suo
上仓斜巷,shang'cang'xie'hang
上覆岩层,shang'fu'yan'ceng
上海宝钢,shang'hai'bao'gang
上山,shang'shan
上下口联巷,shang'xia'kou'lian'xiang
烧结,shao'jie
烧结块,shao'jie'kuai
设备库,she'bei'ku
设备配套,she'bei'pei'tao
设计生产能力,she'ji'sheng'chan'neng'li
摄氏标度,she'shi'biao'du
设施牢,she'shi'lao
摄氏温度计,she'shi'wen'du'ji
神华,shen'hua
神火,shen'huo
深井高瓦斯,shen'jing'gao'wa'si
深孔爆破,shen'kong'bao'po
神马股份,shen'ma'gu'fen
神马集团,shen'ma'ji'tuan
神马尼龙,shen'ma'ni'long
神马实业,shen'ma'shi'ye
渗碳,shen'tan
渗碳钢,shen'tan'gang
渗碳剂,shen'tan'ji
渗碳体,shen'tan'ti
渗透性,shen'tou'xing
沈阳天安矿山机械科技有限公司,shen'yang'tian'an'kuang'shan'ji'xie'ke'ji'you'xian'gong'si
沈阳冶金机械公司,shen'yang'ye'jin'ji'xie'gong'si
生产单位,sheng'chan'dan'wei
生产技术部,sheng'chan'ji'shu'bu
生产能力,sheng'chan'neng'li
生产事故,sheng'chan'shi'gu
生产系统,sheng'chan'xi'tong
生产指挥管理综合楼,sheng'chan'zhi'hui'guan'li'zong'he'lou
生活用煤,sheng'huo'yong'mei
绳轮,sheng'lun
生石灰,sheng'shi'hui
绳双动,sheng'shuang'dong
绳伺力,sheng'si'li
盛天宝,sheng'tian'bao
绳头,sheng'tou
生硝,sheng'xiao
十二矿,shi'er'kuang
事故,shi'gu
石壕煤矿,shi'hao'mei'kuang
十级主焦煤,shi'ji'zhu'jiao'mei
石家庄煤机公司,shi'jia'zhuang'mei'ji'gong'si
十矿,shi'kuang
石龙区,shi'long'qu
石门,shi'men
石门揭穿突出煤层,shi'men'jie'chuan'tu'chu'mei'ceng
石门揭煤,shi'men'jie'mei
石门掘进,shi'men'jue'jin
十三矿,shi'san'kuang
十三条红线,shi'san'tiao'hong'xian
石炭纪,shi'tan'ji
石炭酸,shi'tan'suan
食堂,shi'tang
食堂配电柜箱,shi'tang'pei'dian'gui'xiang
室外给排水,shi'wai'ji'pai'shui
实现煤矿安全生产,shi'xian'mei'kuang'an'quan'sheng'chan
实验高级中学,shi'yan'gao'ji'zhong'xue
实验台,shi'yan'tai
实业公司,shi'ye'gong'si
十一矿,shi'yi'kuang
十一矿更生厂,shi'yi'kuang'geng'sheng'chang
适应性,shi'ying'xing
石英质岩石,shi'ying'zhi'yan'shi
适用于,shi'yong'yu
十字形,shi'zi'xing
十字凿,shi'zi'zao
十字钻头,shi'zi'zuan'tou
手动双梁起重机,shou'dong'shuang'liang'qi'zhong'ji
收集输送机,shou'ji'shu'song'ji
瘦煤,shou'mei
受煤楼,shou'mei'lou
首山二矿,shou'shan'er'kuang
首山焦化,shou'shan'jiao'hua
首山焦化公司,shou'shan'jiao'hua'gong'si
首山一矿,shou'shan'yi'kuang
收缩裂缝,shou'suo'lie'feng
收缩系数,shou'suo'xi'shu
手选工,shou'xuan'gong
束管监测系统,shu'guan'jian'ce'xi'tong
束管监测站人员,shu'guan'jian'ce'zhan'ren'yuan
竖井口,shu'jing'kou
竖式转锥磨机,shu'shi'zhuan'zhui'mo'ji
输送机传动装置,shu'song'ji'chuan'dong'zhuang'zhi
输送机化煤矿,shu'song'ji'hua'mei'kuang
输送机拉紧滚筒,shu'song'ji'la'jin'gun'tong
输送机式分级机,shu'song'ji'shi'fen'ji'ji
熟悉掌握,shu'xi'zhang'wo
数字求积仪,shu'zi'qiu'ji'yi
甩车场,shuai'che'chang
双刨煤面开采,shuang'bao'mei'mian'kai'cai
双齿滚破碎机,shuang'chi'gun'po'sui'ji
双规范,shuang'gui'fan
双向平轮,shuang'xiang'ping'lun
水泵房,shui'beng'fang
水泵窝,shui'beng'wo
水仓,shui'cang
水仓入口交岔点,shui'cang'ru'kou'jiao'cha'dian
水电队,shui'dian'dui
水沟维护清理,shui'gou'wei'hu'qing'li
水灰比,shui'hui'bi
水力采煤,shui'li'cai'mei
水力冲孔,shui'li'chong'kong
水泥灌浆,shui'ni'guan'jiang
水泥灰浆,shui'ni'hui'jiang
水泥浆,shui'ni'jiang
水泥浆灌法,shui'ni'jiang'guan'fa
水文地质,shui'wen'di'zhi
水文观测及探放水工程,shui'wen'guan'ce'ji'tan'fang'shui'gong'cheng
水文观测钻孔,shui'wen'guan'ce'zuan'kong
水源井,shui'yuan'jing
水准仪,shui'zhun'yi
顺槽,shun'cao
顺层钻,shun'ceng'zuan
顺利地完成,shun'li'de'wan'cheng
舜龙公司,shun'long'gong'si
顺序爆破,shun'xu'bao'po
顺转,shun'zhuan
四川南充成发矿机制造有限公司,si'chuan'nan'chong'cheng'fa'kuang'ji'zhi'zao'you'xian'gong'si
四分取样法,si'fen'qu'yang'fa
四个一,si'ge'yi
司机,si'ji
四矿,si'kuang
四棚楼,si'peng'lou
四通一平,si'tong'yi'ping
四位一体综合防突措施,si'wei'yi'ti'zong'he'fang'tu'cuo'shi
四增两减,si'zeng'liang'jian
松散含水层,song'san'han'shui'ceng
松藻煤矿,song'zao'mei'kuang
随后,sui'hou
碎石,sui'shi
碎石混凝土,sui'shi'hun'ning'tu
碎屑岩,sui'xie'yan
随钻准确测量定向,sui'zuan'zhun'que'ce'liang'ding'xiang
孙湾,sun'wan
孙庄,sun'zhuang
梭车,suo'che
缩合法,suo'he'fa
锁环销,suo'huan'xiao
所有的,suo'you'de
塔式起重机,ta'shi'qi'zhong'ji
泰安市华光煤矿机械厂,tai'an'shi'hua'guang'mei'kuang'ji'xie'chang
探放水,tan'fang'shui
碳化钙,tan'hua'gai
碳化硅精细微粉,tan'hua'gui'jing'xi'wei'fen
碳化酌,tan'hua'zhuo
碳刷,tan'shua
碳素工具钢,tan'su'gong'ju'gang
碳酸,tan'suan
碳酸盐,tan'suan'yan
弹性系数,tan'xing'xi'shu
碳质石灰岩,tan'zhi'shi'hui'yan
碳质页岩,tan'zhi'ye'yan
掏槽深度,tao'cao'shen'du
套管,tao'guan
套管接箍,tao'guan'jie'gu
套管卡,tao'guan'ka
套管矛,tao'guan'mao
套管内切刀,tao'guan'nei'qie'dao
套管鞋,tao'guan'xie
套管柱,tao'guan'zhu
特别能战斗,te'bie'neng'zhan'dou
特性方程式,te'xing'fang'cheng'shi
特性曲线,te'xing'qu'xian
特性值,te'xing'zhi
特种纤维,te'zhong'xian'wei
滕庄,teng'zhuang
体积膨胀,ti'ji'peng'zhang
体积形变,ti'ji'xing'bian
梯落式辊磨机,ti'luo'shi'gun'mo'ji
提升隔间,ti'sheng'ge'jian
提升系统,ti'sheng'xi'tong
提升贮运设备,ti'sheng'zhu'yun'she'bei
天安公司,tian'an'gong'si
天成公司,tian'cheng'gong'si
天成实业公司,tian'cheng'shi'ye'gong'si
天宏焦化,tian'hong'jiao'hua
天力公司,tian'li'gong'si
天轮,tian'lun
天青石,tian'qing'shi
天然焦,tian'ran'jiao
填塞,tian'sai
填塞质量系数,tian'sai'zhi'liang'xi'shu
田庄选煤厂,tian'zhuang'xuan'mei'chang
条带开采,tiao'dai'kai'cai
调节风窗,tiao'jie'feng'chuang
调节风门,tiao'jie'feng'men
条款,tiao'kuan
调速耦合器软启动装置,tiao'su'ou'he'qi'ruan'qi'dong'zhuang'zhi
铁法集团,tie'fa'ji'tuan
铁拉板,tie'la'ban
铁路调度绞车,tie'lu'diao'du'jiao'che
铁路信号系统,tie'lu'xin'hao'xi'tong
铁路战线,tie'lu'zhan'xian
铁路站线上部,tie'lu'zhan'xian'shang'bu
铁路专用线,tie'lu'zhuan'yong'xian
铁运处,tie'yun'chu
停电作业牌,ting'dian'zuo'ye'pai
通安队,tong'an'dui
通防部,tong'fang'bu
通防部地测室,tong'fang'bu'di'ce'shi
通防部设计室,tong'fang'bu'she'ji'shi
通防调度,tong'fang'diao'du
通防调度员,tong'fang'diao'du'yuan
通风队,tong'feng'dui
通风柜,tong'feng'gui
通风计算,tong'feng'ji'suan
通风科,tong'feng'ke
通风区调度室,tong'feng'qu'diao'du'shi
通风区机房,tong'feng'qu'ji'fang
通风设备,tong'feng'she'bei
通风设计,tong'feng'she'ji
通风设施,tong'feng'she'shi
通风系统,tong'feng'xi'tong
通风中心,tong'feng'zhong'xin
通风总阻力,tong'feng'zong'zu'li
通过本标准,tong'guo'ben'biao'zhun
铜合金,tong'he'jin
砼及毛石挡墙,tong'ji'mao'shi'dang'qiang
统计员,tong'ji'yuan
铜精矿,tong'jing'kuang
同时充填,tong'shi'chong'tian
通修队,tong'xiu'dui
通讯调度和计算中心,tong'xun'diao'du'he'ji'suan'zhong'xin
桶直道,tong'zhi'dao
同轴电缆,tong'zhou'dian'lan
透气性,tou'qi'xing
透闪石,tou'shan'shi
透水,tou'shui
投掷充填,tou'zhi'chong'tian
突出,tu'chu
突出煤层,tu'chu'mei'ceng
突出危险区,tu'chu'wei'xian'qu
突出危险性煤层,tu'chu'wei'xian'xing'mei'ceng
突出威胁区,tu'chu'wei'xie'qu
土建工程,tu'jian'gong'cheng
土建公司,tu'jian'gong'si
凸轮,tu'lun
凸轮传动,tu'lun'chuan'dong
凸轮机构,tu'lun'ji'gou
凸轮轮廓,tu'lun'lun'kuo
突水,tu'shui
团结奋进务实创新,tuan'jie'fen'jin'wu'shi'chuang'xin
团委,tuan'wei
推车工,tui'che'gong
推车机,tui'che'ji
推车机及翻车机硐室,tui'che'ji'ji'fan'che'ji'dong'shi
退管中心,tui'guan'zhong'xin
推进机销子,tui'jin'ji'xiao'zi
推力器,tui'li'qi
托梁架,tuo'liang'jia
挖沟机,wa'gou'ji
瓦检员,wa'jian'yuan
瓦斯,wa'si
瓦斯安全监控,wa'si'an'quan'jian'kong
瓦斯安全监控系统,wa'si'an'quan'jian'kong'xi'tong
瓦斯爆炸,wa'si'bao'zha
瓦斯便携仪,wa'si'bian'xie'yi
瓦斯超限,wa'si'chao'xian
瓦斯抽采,wa'si'chou'cai
瓦斯抽采率,wa'si'chou'cai'lv
瓦斯抽采浓度,wa'si'chou'cai'nong'du
瓦斯抽采专项工程,wa'si'chou'cai'zhuan'xiang'gong'cheng
瓦斯抽采钻孔,wa'si'chou'cai'zuan'kong
瓦斯抽放,wa'si'chou'fang
瓦斯抽放泵站,wa'si'chou'fang'beng'zhan
瓦斯抽放多参数传感器,wa'si'chou'fang'duo'can'shu'chuan'gan'qi
瓦斯抽放四大,wa'si'chou'fang'si'da
瓦斯抽放站,wa'si'chou'fang'zhan
瓦斯抽放钻孔,wa'si'chou'fang'zuan'kong
瓦斯地质图,wa'si'di'zhi'tu
瓦斯地质预测预报关,wa'si'di'zhi'yu'ce'yu'bao'guan
瓦斯电闭锁,wa'si'dian'bi'suo
瓦斯工区九里山站,wa'si'gong'qu'jiu'li'shan'zhan
瓦斯工区位村站,wa'si'gong'qu'wei'cun'zhan
瓦斯工区演马矿西风井站,wa'si'gong'qu'yan'ma'kuang'xi'feng'jing'zhan
瓦斯工区中马站,wa'si'gong'qu'zhong'ma'zhan
瓦斯含量,wa'si'han'liang
瓦斯治理,wa'si'zhi'li
瓦斯综合治理,wa'si'zong'he'zhi'li
外部装药爆破,wai'bu'zhuang'yao'bao'po
皖北祁东煤矿,wan'bei'qi'dong'mei'kuang
弯管,wan'guan
完全棚子,wan'quan'peng'zi
完全起爆,wan'quan'qi'bao
完全燃烧,wan'quan'ran'shao
往复式给煤机,wang'fu'shi'gei'mei'ji
王利欣,wang'li'xin
王连山,wang'lian'shan
王良,wang'liang
王玉,wang'yu
王庄,wang'zhuang
王庄煤矿,wang'zhuang'mei'kuang
卫东区,wei'dong'qu
卫东区的吕庄,wei'dong'qu'de'lv'zhuang
维护,wei'hu
渭南市煤矿机械厂,wei'nan'shi'mei'kuang'ji'xie'chang
魏世义,wei'shi'yi
卫校,wei'xiao
伪斜,wei'xie
卫修君,wei'xiu'jun
围岩,wei'yan
卫庄,wei'zhuang
温县中业煤矿机械有限公司,wen'xian'zhong'ye'mei'kuang'ji'xie'you'xian'gong'si
稳压罐,wen'ya'guan
卧底,wo'di
无端绳,wu'duan'sheng
舞钢,wu'gang
误揭,wu'jie
五矿,wu'kuang
戊煤上仓机头,wu'mei'shang'cang'ji'tou
污水处理工程,wu'shui'chu'li'gong'cheng
污水自吸泵,wu'shui'zi'xi'beng
无锁防滑,wu'suo'fang'hua
五条路,wu'tiao'lu
无烟煤,wu'yan'mei
无烟喷吹煤,wu'yan'pen'chui'mei
戊一采区变电所,wu'yi'cai'qu'bian'dian'suo
戊一采区中三车场煤仓,wu'yi'cai'qu'zhong'san'che'chang'mei'cang
戊一回风风门防突瓦斯,wu'yi'hui'feng'feng'men'fang'tu'wa'si
五一路,wu'yi'lu
戊一总回风速,wu'yi'zong'hui'feng'su
戊一总回瓦斯,wu'yi'zong'hui'wa'si
污浊空气,wu'zhuo'kong'qi
物资公司,wu'zi'gong'si
戊组煤,wu'zu'mei
西北煤矿机械二厂煤矿机械,xi'bei'mei'kuang'ji'xie'er'chang'mei'kuang'ji'xie
西部工业广场,xi'bu'gong'ye'guang'chang
洗涤器,xi'di'qi
西风井设备开停,xi'feng'jing'she'bei'kai'ting
西风井注浆站,xi'feng'jing'zhu'jiang'zhan
洗精煤,xi'jing'mei
洗矿,xi'kuang
细粒结构,xi'li'jie'gou
洗煤,xi'mei
洗煤厂,xi'mei'chang
洗煤工,xi'mei'gong
锡石,xi'shi
吸收系数,xi'shou'xi'shu
系数功率,xi'shu'gong'lv
吸水井,xi'shui'jing
系统顺,xi'tong'shun
系统运行部,xi'tong'yun'xing'bu
西沿河路,xi'yan'he'lu
稀有气体,xi'you'qi'ti
夏店矿,xia'dian'kuang
下井,xia'jing
下列文件,xia'lie'wen'jian
下山,xia'shan
瞎子街,xia'zi'jie
现场手段,xian'chang'shou'duan
现代化大型企业集团,xian'dai'hua'da'xing'qi'ye'ji'tuan
先锋矿,xian'feng'kuang
限流,xian'liu
陷落,xian'luo
陷落柱,xian'luo'zhu
相关法,xiang'guan'fa
相关分析,xiang'guan'fen'xi
相关函数,xiang'guan'han'shu
相关系数,xiang'guan'xi'shu
香块,xiang'kuai
项目定义,xiang'mu'ding'yi
香山公司,xiang'shan'gong'si
香山矿,xiang'shan'kuang
向上弯曲,xiang'shang'wan'qu
箱式计量给料器,xiang'shi'ji'liang'gei'liao'qi
镶碳物硬质合金钻头,xiang'tan'wu'ying'zhi'he'jin'zuan'tou
香砟,xiang'zha
小班机电维护,xiao'ban'ji'dian'wei'hu
小档,xiao'dang
消防材料库,xiao'fang'cai'liao'ku
消防冷却水泵房,xiao'fang'leng'que'shui'beng'fang
效果检验,xiao'guo'jian'yan
小李庄,xiao'li'zhuang
小食堂,xiao'shi'tang
销售部,xiao'shou'bu
消突效果评价,xiao'tu'xiao'guo'ping'jia
小型推土机,xiao'xing'tui'tu'ji
肖庄,xiao'zhuang
谢二,xie'er
谢二矿,xie'er'kuang
斜井,xie'jing
谢桥,xie'qiao
谢桥矿,xie'qiao'kuang
谢三,xie'san
谢三矿,xie'san'kuang
斜向平巷,xie'xiang'ping'xiang
卸压钻,xie'ya'zuan
谢一,xie'yi
谢一矿,xie'yi'kuang
卸载站,xie'zai'zhan
谢庄,xie'zhuang
新丰矿难,xin'feng'kuang'nan
信号硐室,xin'hao'dong'shi
信号房,xin'hao'fang
新华路,xin'hua'lu
新华区,xin'hua'qu
新华区的薛庄,xin'hua'qu'de'xue'zhuang
新生代,xin'sheng'dai
信通公司,xin'tong'gong'si
欣闻旅行社,xin'wen'lv'xing'she
新鲜空气,xin'xian'kong'qi
新乡能源有限公司,xin'xiang'neng'yuan'you'xian'gong'si
新亚商厦有限责任公司,xin'ya'shang'sha'you'xian'ze'ren'gong'si
鑫珠春工业有限公司,xin'zhu'chun'gong'ye'you'xian'gong'si
新庄孜,xin'zhuang'zi
新庄孜矿,xin'zhuang'zi'kuang
形钻头,xing'zuan'tou
熊庄,xiong'zhuang
修车体,xiu'che'ti
修电瓶,xiu'dian'ping
修改单,xiu'gai'dan
修理间,xiu'li'jian
休养院,xiu'yang'yuan
修正曲线,xiu'zheng'qu'xian
修正系数,xiu'zheng'xi'shu
许成富,xu'cheng'fu
蓄电池电机车,xu'dian'chi'dian'ji'che
蓄电池电机车修理间,xu'dian'chi'dian'ji'che'xiu'li'jian
徐建明,xu'jian'ming
许平煤业公司,xu'ping'mei'ye'gong'si
蓄气器,xu'qi'qi
蓄气器风包,xu'qi'qi'feng'bao
徐州煤矿机械厂煤矿机械,xu'zhou'mei'kuang'ji'xie'chang'mei'kuang'ji'xie
徐州天能煤矿机械制造有限公司,xu'zhou'tian'neng'mei'kuang'ji'xie'zhi'zao'you'xian'gong'si
悬臂,xuan'bi
悬臂起重机,xuan'bi'qi'zhong'ji
悬臂式掘进机,xuan'bi'shi'jue'jin'ji
悬臂支架,xuan'bi'zhi'jia
宣传部,xuan'chuan'bu
选矿比,xuan'kuang'bi
选矿厂,xuan'kuang'chang
选矿机,xuan'kuang'ji
选矿设备,xuan'kuang'she'bei
选矿摇床,xuan'kuang'yao'chuang
选砾厂,xuan'li'chang
旋林级机,xuan'lin'ji'ji
选煤,xuan'mei
选煤厂,xuan'mei'chang
选煤厂废渣,xuan'mei'chang'fei'zha
选煤机,xuan'mei'ji
选煤设备,xuan'mei'she'bei
选型设计,xuan'xing'she'ji
选择矿井通风设备,xuan'ze'kuang'jing'tong'feng'she'bei
循环泵,xun'huan'beng
循环负载,xun'huan'fu'zai
循环润滑,xun'huan'run'hua
循环时间,xun'huan'shi'jian
循环式真空泵,xun'huan'shi'zhen'kong'beng
循环水,xun'huan'shui
压风机房,ya'feng'ji'fang
压风设备,ya'feng'she'bei
压风系统,ya'feng'xi'tong
压风自救装置,ya'feng'zi'jiu'zhuang'zhi
压坏支架,ya'huai'zhi'jia
压力容器爆炸,ya'li'rong'qi'bao'zha
压气管,ya'qi'guan
压气管道,ya'qi'guan'dao
压气机车,ya'qi'ji'che
压气软管,ya'qi'ruan'guan
