阿焕鸭面,a'huan'ya'mian
石头门坎素包,shi'tou'men'kan'su'bao
十香果,shi'xiang'guo
师爷盒,shi'ye'he
食珍桔红糕,shi'zhen'ju'hong'gao
柿子包,shi'zi'bao
石子饼,shi'zi'bing
狮子糕,shi'zi'gao
柿子糊塌,shi'zi'hu'ta
石子馍,shi'zi'mo
石子旋饼,shi'zi'xuan'bing
寿果蛋羹,shou'guo'dan'geng
手撕鸡,shou'si'ji
手撕烤兔,shou'si'kao'tu
寿星桔蜜饯,shou'xing'ju'mi'jian
手抓面,shou'zhua'mian
手抓羊肉,shou'zhua'yang'rou
薯粉糕,shu'fen'gao
薯粉果,shu'fen'guo
蜀风园,shu'feng'yuan
熟栗糕,shu'li'gao
鼠曲果,shu'qu'guo
鼠曲粿,shu'qu'hua
熟色拉米肠,shu'se'la'mi'chang
树叶饼,shu'ye'bing
熟鱼面,shu'yu'mian
刷把头,shua'ba'tou
涮牛肚,shuan'niu'du
双菇如意鸡,shuang'gu'ru'yi'ji
双麻火烧,shuang'ma'huo'shao
双糯玫瑰糕,shuang'nuo'mei'gui'gao
双色煎鱼,shuang'se'jian'yu
双糖油食,shuang'tang'you'shi
双味珍珠元子,shuang'wei'zhen'zhu'yuan'zi
水糍粑,shui'ci'ba
水豆鼓,shui'dou'gu
水果鸡,shui'guo'ji
水果沙拉,shui'guo'sha'la
水煎包,shui'jian'bao
水煎包子,shui'jian'bao'zi
水煎乳饼,shui'jian'ru'bing
水饺豆沙煎饼,shui'jiao'dou'sha'jian'bing
水饺子,shui'jiao'zi
水晶饼,shui'jing'bing
水晶菊花酥,shui'jing'ju'hua'su
水晶球,shui'jing'qiu
水晶肉,shui'jing'rou
水晶团子,shui'jing'tuan'zi
水晶虾饺,shui'jing'xia'jiao
水晶肴肉,shui'jing'yao'rou
水晶银菊糕,shui'jing'yin'ju'gao
水陆轩椒盐真酥,shui'lu'xuan'jiao'yan'zhen'su
水蜜桃黄焖鸡,shui'mi'tao'huang'men'ji
水泡鱼元,shui'pao'yu'yuan
水盆大肉,shui'pen'da'rou
水盆羊肉,shui'pen'yang'rou
水桃酥,shui'tao'su
水煮牛肉,shui'zhu'niu'rou
水煮肉片,shui'zhu'rou'pian
水煮鱼,shui'zhu'yu
四宝上汤,si'bao'shang'tang
四川板鸭,si'chuan'ban'ya
四川火锅,si'chuan'huo'guo
四川腊肉,si'chuan'la'rou
四川泡菜,si'chuan'pao'cai
四川榨菜,si'chuan'zha'cai
四季美汤包,si'ji'mei'tang'bao
四季美小笼汤包,si'ji'mei'xiao'long'tang'bao
四季烧卖,si'ji'shao'mai
四季柚,si'ji'you
四角菱面酱鸡,si'jiao'ling'mian'jiang'ji
寺前馄饨,si'qian'hun'tun
四色片糕,si'se'pian'gao
四色汤菜,si'se'tang'cai
丝丝糕,si'si'gao
四条包子,si'tiao'bao'zi
丝娃娃,si'wa'wa
四味荞包,si'wei'qiao'bao
四喜蒸饺,si'xi'zheng'jiao
松糕,song'gao
松鹤楼,song'he'lou
松鹤楼菜馆,song'he'lou'cai'guan
松花彩蛋,song'hua'cai'dan
松仁糕,song'ren'gao
松仁小肚,song'ren'xiao'du
松鼠桂鱼,song'shu'gui'yu
松子糕,song'zi'gao
松子黄干糕,song'zi'huang'gan'gao
松子茄鱼,song'zi'qie'yu
松子鱼,song'zi'yu
松子鱼米,song'zi'yu'mi
苏八件,su'ba'jian
素菜包,su'cai'bao
素炒鸡丁,su'chao'ji'ding
素炒鳝糊,su'chao'shan'hu
酥锅,su'guo
酥合子,su'he'zi
酥火烧,su'huo'shao
苏稽米花糖,su'ji'mi'hua'tang
酥鲫鱼,su'ji'yu
酥角,su'jiao
酥理玛,su'li'ma
酥皮鸡饺,su'pi'ji'jiao
酥皮莲蓉包,su'pi'lian'rong'bao
素臊子面,su'sao'zi'mian
苏式爆鳝,su'shi'bao'shan
苏式船点,su'shi'chuan'dian
苏式蜜饯,su'shi'mi'jian
苏式杏仁酥,su'shi'xing'ren'su
素桃酥,su'tao'su
酥心脆糖,su'xin'cui'tang
酥盐鸡块,su'yan'ji'kuai
酥油饼,su'you'bing
酥油茶,su'you'cha
酥油太花盏,su'you'tai'hua'zhan
酥油糌粑,su'you'zan'ba
素枣糕,su'zao'gao
酥炸鸭子,su'zha'ya'zi
苏州酱鸭,su'zhou'jiang'ya
苏州酱汁肉,su'zhou'jiang'zhi'rou
酸白菜,suan'bai'cai
酸菜炒米,suan'cai'chao'mi
酸菜饵块粑,suan'cai'er'kuai'ba
酸菜黑圪条,suan'cai'hei'ge'tiao
酸菜牛肉,suan'cai'niu'rou
酸菜鱼,suan'cai'yu
酸菜猪肉炖粉条,suan'cai'zhu'rou'dun'fen'tiao
酸菜孜耳面,suan'cai'zi'er'mian
酸辣豆花,suan'la'dou'hua
酸辣粉,suan'la'fen
酸辣凤爪,suan'la'feng'zhao
酸辣狗肉,suan'la'gou'rou
酸辣鸡丁,suan'la'ji'ding
酸辣饺面,suan'la'jiao'mian
酸辣汤,suan'la'tang
酸辣鱿鱼丝,suan'la'you'yu'si
酸蚂蚁蛋,suan'ma'yi'dan
酸梅汤,suan'mei'tang
酸木瓜,suan'mu'gua
酸奶,suan'nai
酸奶饼,suan'nai'bing
酸奶子,suan'nai'zi
蒜泥白肉,suan'ni'bai'rou
酸笋焖鱼,suan'sun'men'yu
酸笋煮鸡,suan'sun'zhu'ji
酸汤龙骨面,suan'tang'long'gu'mian
酸汤水饺,suan'tang'shui'jiao
酸汤鱼,suan'tang'yu
酸窝菜,suan'wo'cai
酸鱼,suan'yu
酸扎鱼,suan'zha'yu
酸蒸千张肉,suan'zheng'qian'zhang'rou
碎米田螺,sui'mi'tian'luo
岁岁面,sui'sui'mian
绥阳空心面,sui'yang'kong'xin'mian
笋丝百叶,sun'si'bai'ye
踏绿波,ta'lv'bo
沓哨馄饨,ta'shao'hun'tun
它西粥,ta'xi'zhou
太安鱼,tai'an'yu
苔菜,tai'cai
苔菜明虾,tai'cai'ming'xia
苔菜千层酥,tai'cai'qian'ceng'su
苔菜油占子,tai'cai'you'zhan'zi
太仓肉松,tai'cang'rou'song
太谷饼,tai'gu'bing
太古熏鸽,tai'gu'xun'ge
太后火锅,tai'hou'huo'guo
太后御膳泡泡糕,tai'hou'yu'shan'pao'pao'gao
台蘑,tai'mo
太平燕,tai'ping'yan
泰山豆腐面,tai'shan'dou'fu'mian
泰山三美,tai'shan'san'mei
太史饼,tai'shi'bing
太师饼,tai'shi'bing
太师面,tai'shi'mian
台湾炒米粉,tai'wan'chao'mi'fen
台湾风味素饭团,tai'wan'feng'wei'su'fan'tuan
台湾古早味,tai'wan'gu'zao'wei
台湾卤肉饭,tai'wan'lu'rou'fan
台湾盐酥鸡,tai'wan'yan'su'ji
太原酱肘花,tai'yuan'jiang'zhou'hua
太原泡菜,tai'yuan'pao'cai
泰州干丝,tai'zhou'gan'si
谭豆花,tan'dou'hua
谈炎记水饺,tan'yan'ji'shui'jiao
谭鱼头,tan'yu'tou
坛子肉,tan'zi'rou
糖荸荠,tang'bi'qi
糖不甩,tang'bu'shuai
糖茶菜,tang'cha'cai
糖炒栗子,tang'chao'li'zi
糖葱饼,tang'cong'bing
糖醋带鱼,tang'cu'dai'yu
糖醋咕噜肉,tang'cu'gu'lu'rou
糖醋鲤鱼,tang'cu'li'yu
糖醋萝卜干,tang'cu'luo'bo'gan
糖醋排骨,tang'cu'pai'gu
糖醋烧豆腐,tang'cu'shao'dou'fu
糖醋猪腰,tang'cu'zhu'yao
糖耳朵,tang'er'duo
糖佛手,tang'fo'shou
糖柑饼,tang'gan'bing
烫干丝,tang'gan'si
糖江脐,tang'jiang'qi
糖酱鱼,tang'jiang'yu
糖麻圆,tang'ma'yuan
烫面油糕,tang'mian'you'gao
烫面蒸饺,tang'mian'zheng'jiao
糖藕片,tang'ou'pian
塘栖板鸭,tang'qi'ban'ya
唐山虾酱,tang'shan'xia'jiang
糖酥杠子头火烧,tang'su'gang'zi'tou'huo'shao
糖酥煎饼,tang'su'jian'bing
汤团缸鸭狗,tang'tuan'gang'ya'gou
汤丸王,tang'wan'wang
糖窝丝,tang'wo'si
糖油粑,tang'you'ba
糖芋头,tang'yu'tou
汤元,tang'yuan
糖粥藕,tang'zhou'ou
桃粿,tao'hua
桃米炒蛋,tao'mi'chao'dan
桃泥珍珠凉糕,tao'ni'zhen'zhu'liang'gao
桃酥,tao'su
陶陶居,tao'tao'ju
桃盐桃片,tao'yan'tao'pian
特色小吃棺材板,te'se'xiao'chi'guan'cai'ban
滕王阁红酥肉,teng'wang'ge'hong'su'rou
剔尖儿,ti'jian'er
提丝发糕,ti'si'fa'gao
提糖米糕,ti'tang'mi'gao
田艾板,tian'ai'ban
甜艾团,tian'ai'tuan
甜茶,tian'cha
天冬蜜饯,tian'dong'mi'jian
天福号,tian'fu'hao
天府花手酥糖,tian'fu'hua'shou'su'tang
甜果,tian'guo
甜酱莴苣条,tian'jiang'wo'ju'tiao
天津锅巴,tian'jin'guo'ba
天津馄饨,tian'jin'hun'tun
天津火腿肠,tian'jin'huo'tui'chang
天津酱汁肉,tian'jin'jiang'zhi'rou
天津烧肉,tian'jin'shao'rou
天津塑料午餐肠,tian'jin'su'liao'wu'can'chang
天津桃仁小肚,tian'jin'tao'ren'xiao'du
天津五香猪肉干,tian'jin'wu'xiang'zhu'rou'gan
天津小吃小全,tian'jin'xiao'chi'xiao'quan
天津炸酱面,tian'jin'zha'jiang'mian
甜酒酿,tian'jiu'niang
天目笋干,tian'mu'sun'gan
甜醅,tian'pei
甜薯羹,tian'shu'geng
甜薯片,tian'shu'pian
天水呱呱,tian'shui'gua'gua
天水浆水面,tian'shui'jiang'shui'mian
天水搅团,tian'shui'jiao'tuan
天水里脊,tian'shui'li'ji
天水凉粉,tian'shui'liang'fen
天水麻食,tian'shui'ma'shi
甜水面,tian'shui'mian
天水杂烩,tian'shui'za'hui
甜酸豆腐,tian'suan'dou'fu
甜酸乳瓜,tian'suan'ru'gua
甜汤,tian'tang
甜丸卵,tian'wan'luan
天下第一包,tian'xia'di'yi'bao
天下第一鲜,tian'xia'di'yi'xian
天兴居,tian'xing'ju
天一坊,tian'yi'fang
天一坊饭庄,tian'yi'fang'fan'zhuang
天源酱园,tian'yuan'jiang'yuan
条酥,tiao'su
条头糕薄荷糕,tiao'tou'gao'bo'he'gao
铁扒仔鸡,tie'ba'zi'ji
铁板猪肝,tie'ban'zhu'gan
贴饽饽熬小鱼,tie'bo'bo'ao'xiao'yu
贴饽饽熬鱼,tie'bo'bo'ao'yu
铁蛋,tie'dan
铁锅咸鱼饼子,tie'guo'xian'yu'bing'zi
艇仔粥,ting'zai'zhou
同安封肉,tong'an'feng'rou
潼川豆豉,tong'chuan'dou'chi
同川梨,tong'chuan'li
同和居,tong'he'ju
同江赫哲族生鱼片,tong'jiang'he'zhe'zu'sheng'yu'pian
同庆蒌,tong'qing'lou
同庆蒌菜馆,tong'qing'lou'cai'guan
铜仁绿豆粉,tong'ren'lv'dou'fen
铜仁社饭,tong'ren'she'fan
桐叶粑粑,tong'ye'ba'ba
同源茂,tong'yuan'mao
同源茂饭庄,tong'yuan'mao'fan'zhuang
同州枣卤沫糊,tong'zhou'zao'lu'mo'hu
桶子鸡,tong'zi'ji
头脑,tou'nao
土家酱香饼,tu'jia'jiang'xiang'bing
土家蒸肉,tu'jia'zheng'rou
土家族油馅,tu'jia'zu'you'xian
吐鲁番葡萄,tu'lu'fan'pu'tao
土笋冻,tu'sun'dong
兔头煲,tu'tou'bao
土沱麻饼,tu'tuo'ma'bing
氽灌肠,tun'guan'chang
氽脊脑,tun'ji'nao
屯溪徽,tun'xi'hui
屯溪徽菜馆,tun'xi'hui'cai'guan
屯溪醉蟹,tun'xi'zui'xie
托板豆腐,tuo'ban'dou'fu
砣砣鸡肉,tuo'tuo'ji'rou
拖叶,tuo'ye
蛙式黄鱼,wa'shi'huang'yu
蛙鱼,wa'yu
佤族鼠食,wa'zu'shu'shi
豌豆糕,wan'dou'gao
豌豆糌粑奶渣糕,wan'dou'zan'ba'nai'zha'gao
碗耳糕,wan'er'gao
万和春,wan'he'chun
万三蹄,wan'san'ti
碗仔翅,wan'zai'chi
万州烤鱼,wan'zhou'kao'yu
万字扣肉,wan'zi'kou'rou
网包鳜鱼,wang'bao'gui'yu
王宝和,wang'bao'he
汪集鸡汤,wang'ji'ji'tang
王记麻花,wang'ji'ma'hua
王家核桃饼,wang'jia'he'tao'bing
王家核桃馍,wang'jia'he'tao'mo
王家核桃烧饼,wang'jia'he'tao'shao'bing
王婆麻辣鸡,wang'po'ma'la'ji
王桥豆腐,wang'qiao'dou'fu
王四酒家,wang'si'jiu'jia
王兴记馄饨,wang'xing'ji'hun'tun
王鸭子,wang'ya'zi
煨豆腐,wei'dou'fu
煨番薯,wei'fan'shu
味窖板,wei'jiao'ban
味精麻花,wei'jing'ma'hua
威宁炒荞饭,wei'ning'chao'qiao'fan
威宁火腿,wei'ning'huo'tui
威宁荞酥,wei'ning'qiao'su
巍山粑肉饵丝,wei'shan'ba'rou'er'si
唯我鼎边,wei'wo'ding'bian
维西豆腐,wei'xi'dou'fu
煨鱿鱼,wei'you'yu
文成拉面,wen'cheng'la'mian
文蛤饼,wen'ge'bing
温江程抄手,wen'jiang'cheng'chao'shou
温江水饺,wen'jiang'shui'jiao
文楼汤包,wen'lou'tang'bao
文楼蟹黄汤包,wen'lou'xie'huang'tang'bao
闻喜饼,wen'xi'bing
闻喜煮饼,wen'xi'zhu'bing
温州豆沙汤团,wen'zhou'dou'sha'tang'tuan
温州牛肉焙片,wen'zhou'niu'rou'bei'pian
温州松糖,wen'zhou'song'tang
我爱烧烤,wo'ai'shao'kao
莴苣鳝鱼片,wo'ju'shan'yu'pian
窝丝糖,wo'si'tang
芜爆里脊,wu'bao'li'ji
五彩波丝花蓝,wu'cai'bo'si'hua'lan
五彩雪花扇贝,wu'cai'xue'hua'shan'bei
吴常昌牛肉巴,wu'chang'chang'niu'rou'ba
武昌鱼,wu'chang'yu
五城茶干,wu'cheng'cha'gan
武城旋饼,wu'cheng'xuan'bing
五丁鱼圆,wu'ding'yu'yuan
五芳斋,wu'fang'zhai
五芳斋粽子,wu'fang'zhai'zong'zi
五夫醉鸡,wu'fu'zui'ji
武功镇起花面,wu'gong'zhen'qi'hua'mian
五果汤,wu'guo'tang
武汉鲜肉水饺,wu'han'xian'rou'shui'jiao
武汉猪肉干,wu'han'zhu'rou'gan
无核糖枣,wu'he'tang'zao
芜湖瓜子,wu'hu'gua'zi
芜湖芥菜圆子,wu'hu'jie'cai'yuan'zi
吴家熏肉,wu'jia'xun'rou
吴家油炸汤圆,wu'jia'you'zha'tang'yuan
乌江鱼,wu'jiang'yu
无壳南瓜子,wu'ke'nan'gua'zi
五柳青鱼,wu'liu'qing'yu
乌米倒提粽,wu'mi'dao'ti'zong
无米粿,wu'mi'hua
武平猪胆干,wu'ping'zhu'dan'gan
五仁包,wu'ren'bao
五仁双麻饼,wu'ren'shuang'ma'bing
五色玉兰饼,wu'se'yu'lan'bing
吴山酥油饼,wu'shan'su'you'bing
午时粑,wu'shi'ba
五通桥叶儿耙,wu'tong'qiao'ye'er'ba
五通桥月糕,wu'tong'qiao'yue'gao
五味醋萝卜,wu'wei'cu'luo'bo
五味花枝,wu'wei'hua'zhi
五味煎蟹,wu'wei'jian'xie
无为兰花萝卜,wu'wei'lan'hua'luo'bo
五味沙糕,wu'wei'sha'gao
无为送灶粑粑,wu'wei'song'zao'ba'ba
五味香糕,wu'wei'xiang'gao
无锡鸡肴,wu'xi'ji'yao
无锡酱烧肝,wu'xi'jiang'shao'gan
无锡嫩子排,wu'xi'nen'zi'pai
无锡肉排,wu'xi'rou'pai
无锡水蜜桃,wu'xi'shui'mi'tao
五香豆腐干,wu'xiang'dou'fu'gan
五香酱驴肉,wu'xiang'jiang'lv'rou
五香酱肉,wu'xiang'jiang'rou
五香辣味牛肉干,wu'xiang'la'wei'niu'rou'gan
五香麻糕,wu'xiang'ma'gao
五香牛肉,wu'xiang'niu'rou
五香熟花生,wu'xiang'shu'hua'sheng
五香松花蛋,wu'xiang'song'hua'dan
五一饭店,wu'yi'fan'dian
武夷玉兰片,wu'yi'yu'lan'pian
吴裕泰茶庄,wu'yu'tai'cha'zhuang
五寨猪黑肉炖粉,wu'zhai'zhu'hei'rou'dun'fen
吴招治,wu'zhao'zhi
梧州豆浆,wu'zhou'dou'jiang
午子仙毫,wu'zi'xian'hao
西安饭庄,xi'an'fan'zhuang
西北凉皮,xi'bei'liang'pi
稀豆粉,xi'dou'fen
西多士,xi'duo'shi
西府酿皮,xi'fu'niang'pi
西湖醋鱼,xi'hu'cu'yu
西湖桂花藕粉,xi'hu'gui'hua'ou'fen
溪口香蕉,xi'kou'xiang'jiao
细奶渣糕,xi'nai'zha'gao
西樵大饼,xi'qiao'da'bing
西施舌,xi'shi'she
西塘八珍糕,xi'tang'ba'zhen'gao
西亭脆饼,xi'ting'cui'bing
西乡牛肉干,xi'xiang'niu'rou'gan
昔阳,xi'yang
西藏酥油茶,xi'zang'su'you'cha
喜洲破酥粑粑,xi'zhou'po'su'ba'ba
虾爆鳝面,xia'bao'shan'mian
虾饼,xia'bing
虾池,xia'chi
虾饺,xia'jiao
夏茂芋包,xia'mao'yu'bao
厦门春饼,xia'men'chun'bing
厦门沙茶面,xia'men'sha'cha'mian
虾米炒黄瓜,xia'mi'chao'huang'gua
虾米秋葵,xia'mi'qiu'kui
虾米笋馃,xia'mi'sun'guo
虾米笋粿,xia'mi'sun'hua
虾面,xia'mian
虾球,xia'qiu
虾肉小笼,xia'rou'xiao'long
虾肉鸳鸯菜,xia'rou'yuan'yang'cai
虾籽,xia'zi
虾籽管廷,xia'zi'guan'ting
虾子面,xia'zi'mian
咸菜鸭,xian'cai'ya
仙城束沙,xian'cheng'shu'sha
鲜果羹,xian'guo'geng
鲜果馅汤元,xian'guo'xian'tang'yuan
仙鹤望金桥,xian'he'wang'jin'qiao
咸亨,xian'heng
鲜花活油饼,xian'hua'huo'you'bing
鲜花玫瑰饼,xian'hua'mei'gui'bing
咸煎饼,xian'jian'bing
鲜菊酥,xian'ju'su
县前汤团,xian'qian'tang'tuan
鲜肉猫耳朵,xian'rou'mao'er'duo
鲜肉香菇烧麦,xian'rou'xiang'gu'shao'mai
鲜肉粽子,xian'rou'zong'zi
咸馓子,xian'san'zi
咸烧白,xian'shao'bai
鲜味大虾,xian'wei'da'xia
鲜虾荷叶饭,xian'xia'he'ye'fan
咸鸭烧黄豆,xian'ya'shao'huang'dou
咸鱼饼子,xian'yu'bing'zi
咸鱼片片,xian'yu'pian'pian
仙源食品,xian'yuan'shi'pin
咸猪油糕,xian'zhu'you'gao
香菜芯,xiang'cai'xin
香菜圆子,xiang'cai'yuan'zi
香草话梅,xiang'cao'hua'mei
湘城麻饼,xiang'cheng'ma'bing
襄樊凉面,xiang'fan'liang'mian
香糕,xiang'gao
香菇厚百叶丝,xiang'gu'hou'bai'ye'si
香菇肉酱,xiang'gu'rou'jiang
香菇肉末烧卖,xiang'gu'rou'mo'shao'mai
香煎黄糕粑,xiang'jian'huang'gao'ba
香煎柠檬鸭,xiang'jian'ning'meng'ya
香煎翘鱼,xiang'jian'qiao'yu
湘江鱼头王,xiang'jiang'yu'tou'wang
香蕉糕,xiang'jiao'gao
香蕉酥,xiang'jiao'su
香辣虾,xiang'la'xia
香辣蟹,xiang'la'xie
湘莲,xiang'lian
响铃儿,xiang'ling'er
香茅草烤鸡肉,xiang'mao'cao'kao'ji'rou
香茅草烤鱼,xiang'mao'cao'kao'yu
乡宁白面油糕,xiang'ning'bai'mian'you'gao
香浓腊八粥,xiang'nong'la'ba'zhou
象生雪梨,xiang'sheng'xue'li
香水梨干,xiang'shui'li'gan
香酥鸡,xiang'su'ji
香酥麻鸭,xiang'su'ma'ya
湘味方肉,xiang'wei'fang'rou
湘西菜豆腐,xiang'xi'cai'dou'fu
湘西辣椒,xiang'xi'la'jiao
湘西煨牛汤锅,xiang'xi'wei'niu'tang'guo
香心菜,xiang'xin'cai
象形拼盘,xiang'xing'pin'pan
香油米花糖,xiang'you'mi'hua'tang
响油鳝糊,xiang'you'shan'hu
香油酥饼,xiang'you'su'bing
香芋扣肉,xiang'yu'kou'rou
香炸南瓜饼,xiang'zha'nan'gua'bing
香竹饭,xiang'zhu'fan
香竹烤饭,xiang'zhu'kao'fan
镶竹荪,xiang'zhu'sun
香粽烧排骨,xiang'zong'shao'pai'gu
小白兔,xiao'bai'tu
小炒牛肉,xiao'chao'niu'rou
小担蒸子糕,xiao'dan'zheng'zi'gao
小凤饼,xiao'feng'bing
孝感麻糖,xiao'gan'ma'tang
小锅卤饵块,xiao'guo'lu'er'kuai
小花片,xiao'hua'pian
小馄饨,xiao'hun'tun
小鸡酥,xiao'ji'su
小鸡煮稀饭,xiao'ji'zhu'xi'fan
笑口常开,xiao'kou'chang'kai
小笼包子,xiao'long'bao'zi
小笼灌汤包,xiao'long'guan'tang'bao
小笼馒头,xiao'long'man'tou
小笼蒸牛肉,xiao'long'zheng'niu'rou
宵米,xiao'mi
小米凉粉,xiao'mi'liang'fen
小绍兴,xiao'shao'xing
小绍兴鸡粥,xiao'shao'xing'ji'zhou
消暑冬瓜盅,xiao'shu'dong'gua'zhong
小酥肉,xiao'su'rou
小稀瓜瓜,xiao'xi'gua'gua
潇湘五元龟,xiao'xiang'wu'yuan'gui
筱筱火勺,xiao'xiao'huo'shao
筱筱火烧,xiao'xiao'huo'shao
孝义火烧,xiao'yi'huo'shao
小油饺,xiao'you'jiao
小鱿鱼片,xiao'you'yu'pian
小煮面,xiao'zhu'mian
蟹粉豆腐羹,xie'fen'dou'fu'geng
蝎滚绣球,xie'gun'xiu'qiu
蟹黄灌汤饺,xie'huang'guan'tang'jiao
蟹黄汤包,xie'huang'tang'bao
蟹黄养汤烧卖,xie'huang'yang'tang'shao'mai
蟹壳黄,xie'ke'huang
蟹壳黄烧饼,xie'ke'huang'shao'bing
谢凉粉,xie'liang'fen
斜桥榨菜,xie'qiao'zha'cai
蟹肉汤包,xie'rou'tang'bao
蟹肉圆子,xie'rou'yuan'zi
协盛隆萨其马,xie'sheng'long'sa'qi'ma
莘塍豆腐干,xin'cheng'dou'fu'gan
新都桂花糕,xin'du'gui'hua'gao
新繁银丝面,xin'fan'yin'si'mian
新疆凉面,xin'jiang'liang'mian
新疆琉璃葡萄,xin'jiang'liu'li'pu'tao
新疆丝路明珠,xin'jiang'si'lu'ming'zhu
新疆杏,xin'jiang'xing
新疆抓饭烧麦,xin'jiang'zhua'fan'shao'mai
新疆自助归来,xin'jiang'zi'zhu'gui'lai
新南轩,xin'nan'xuan
新南轩酒家,xin'nan'xuan'jiu'jia
新农特色牛骨头,xin'nong'te'se'niu'gu'tou
新兴园蒸饺,xin'xing'yuan'zheng'jiao
新亚,xin'ya
信阳板鸭,xin'yang'ban'ya
新郑丁家粉蒸肉,xin'zheng'ding'jia'fen'zheng'rou
忻州葵花子,xin'zhou'kui'hua'zi
忻州瓦酥,xin'zhou'wa'su
杏瓣儿,xing'ban'er
幸福双,xing'fu'shuang
杏花楼,xing'hua'lou
杏花楼山楂奶皮卷,xing'hua'lou'shan'zha'nai'pi'juan
兴化米粉干,xing'hua'mi'fen'gan
邢黄牛腐干,xing'huang'niu'fu'gan
杏皮水,xing'pi'shui
杏仁饼,xing'ren'bing
杏仁炖肉,xing'ren'dun'rou
杏仁露,xing'ren'lu
杏仁条,xing'ren'tiao
邢台道口烧鸡,xing'tai'dao'kou'shao'ji
兴县冒汤,xing'xian'mao'tang
兴义耳块粑,xing'yi'er'kuai'ba
叙府陈年糟蛋,xu'fu'chen'nian'zao'dan
盱眙小龙虾,xu'yi'xiao'long'xia
宣堡小馄饨,xuan'bao'xiao'hun'tun
宣化油面窝窝,xuan'hua'you'mian'wo'wo
雪菜笋丝汤,xue'cai'sun'si'tang
血糕,xue'gao
雪蛤膏专门店,xue'ha'gao'zhuan'men'dian
雪红元,xue'hong'yuan
雪红圆蜜饯,xue'hong'yuan'mi'jian
雪花豆腐,xue'hua'dou'fu
雪花糕,xue'hua'gao
雪花龙须面,xue'hua'long'xu'mian
雪花蟹斗,xue'hua'xie'dou
雪花羊肉,xue'hua'yang'rou
雪片糕,xue'pian'gao
熏马肠,xun'ma'chang
鸭脖子,ya'bo'zi
芽菜,ya'cai
压合落,ya'he'luo
压韭茄子,ya'jiu'qie'zi
鸭母捻,ya'mu'nian
鸭血粉丝,ya'xue'fen'si
鸭血汤,ya'xue'tang
牙牙饭,ya'ya'fan
鸭油酥烧饼,ya'you'su'shao'bing
鸭油蒸臭豆腐,ya'you'zheng'chou'dou'fu
延安羊腥汤,yan'an'yang'xing'tang
延边冷面,yan'bian'leng'mian
延边苹果梨,yan'bian'ping'guo'li
延边鱼香泡菜,yan'bian'yu'xiang'pao'cai
盐菜回锅肉,yan'cai'hui'guo'rou
宴春,yan'chun
宴春酒楼,yan'chun'jiu'lou
盐火局鸡,yan'huo'ju'ji
盐焗鹌鹑蛋,yan'ju'an'chun'dan
盐局鸡,yan'ju'ji
腌萝卜干,yan'luo'bo'gan
燕面揉揉,yan'mian'rou'rou
腌牛脚筋,yan'niu'jiao'jin
燕皮,yan'pi
燕皮丝,yan'pi'si
延寿堂药糕,yan'shou'tang'yao'gao
盐水鸭,yan'shui'ya
腌酸鱼,yan'suan'yu
烟台焖子,yan'tai'men'zi
燕喜堂,yan'xi'tang
腌鲜鳜鱼,yan'xian'gui'yu
烟薰鸭子,yan'xun'ya'zi
腌油菜花,yan'you'cai'hua
烟雨水乡里的梦,yan'yu'shui'xiang'li'de'meng
燕云楼,yan'yun'lou
阳城肉罐肉,yang'cheng'rou'guan'rou
阳春面,yang'chun'mian
羊羔肉,yang'gao'rou
阳高杏脯,yang'gao'xing'fu
杨记糕点,yang'ji'gao'dian
杨家吊沪饼,yang'jia'diao'hu'bing
杨家吊炉饼,yang'jia'diao'lu'bing
杨凌蘸水面,yang'ling'zhan'shui'mian
杨麻子,yang'ma'zi
杨梅干,yang'mei'gan
洋钱饼,yang'qian'bing
羊肉炒面片,yang'rou'chao'mian'pian
羊肉粉,yang'rou'fen
羊肉合面,yang'rou'he'mian
羊肉烩面,yang'rou'hui'mian
羊肉火烧,yang'rou'huo'shao
羊肉泡馍,yang'rou'pao'mo
羊肉稍梅,yang'rou'shao'mei
羊肉松,yang'rou'song
羊肉汤,yang'rou'tang
羊肉蒸饺,yang'rou'zheng'jiao
洋县黑米,yang'xian'hei'mi
洋县枣糕镆,yang'xian'zao'gao'mo
洋县枣糕馍,yang'xian'zao'gao'mo
洋县猪白血,yang'xian'zhu'bai'xie
羊腥汤,yang'xing'tang
杨裕兴,yang'yu'xing
杨裕兴面条,yang'yu'xing'mian'tiao
羊杂,yang'za
羊杂割,yang'za'ge
羊杂碎,yang'za'sui
羊杂碎飘香,yang'za'sui'piao'xiang
羊杂汤,yang'za'tang
杨长子火腿肠,yang'zhang'zi'huo'tui'chang
扬州蛋炒饭,yang'zhou'dan'chao'fan
扬州鸡蛋菜,yang'zhou'ji'dan'cai
扬州酱菜,yang'zhou'jiang'cai
姚安封鸡,yao'an'feng'ji
瑶族粑粑,yao'zu'ba'ba
野菜窝头,ye'cai'wo'tou
叶耳粑,ye'er'ba
叶儿耙,ye'er'ba
叶儿粑,ye'er'ba
夜香冬瓜盅,ye'xiang'dong'gua'zhong
椰香咖喱鸡,ye'xiang'ga'li'ji
椰汁板兰糕,ye'zhi'ban'lan'gao
一棒雪,yi'bang'xue
刈包,yi'bao
贻贝,yi'bei
宜宾肺片,yi'bin'fei'pian
宜宾燃面,yi'bin'ran'mian
