爱士卒,ai'shi'zu
相去日已远,xiang'qu'ri'yi'yuan
相去万余里,xiang'qu'wan'yu'li
相随饷田去,xiang'sui'xiang'tian'qu
向为身死而不受,xiang'wei'shen'si'er'bu'shou
项燕为楚将,xiang'yan'wei'chu'jiang
晓畅军事,xiao'chang'jun'shi
笑从双脸生,xiao'cong'shuang'lian'sheng
小麦覆陇黄,xiao'mai'fu'long'huang
小石潭记,xiao'shi'tan'ji
斜晖脉脉水悠悠,xie'hui'mo'mo'shui'you'you
偕数友出东直,xie'shu'you'chu'dong'zhi
挟天子以令诸侯,xie'tian'zi'yi'ling'zhu'hou
辛苦遭逢起一经,xin'ku'zao'feng'qi'yi'jing
心乐之,xin'le'zhi
辛弃疾,xin'qi'ji
信义著于四海,xin'yi'zhu'yu'si'hai
心远地自偏,xin'yuan'di'zi'pian
兴百姓苦,xing'bai'xing'ku
行道之人弗受,xing'dao'zhi'ren'fu'shou
兴复汉室,xing'fu'han'shi
行拂乱其所为,xing'fu'luan'qi'suo'wei
行路难,xing'lu'nan
醒能述其文者,xing'neng'shu'qi'wen'zhe
行深山巨谷中,xing'shen'shan'ju'gu'zhong
性嗜酒,xing'shi'jiu
行十日十夜而至于郢,xing'shi'ri'shi'ye'er'zhi'yu'ying
醒时同交欢,xing'shi'tong'jiao'huan
行收兵,xing'shou'bing
性行淑均,xing'xing'shu'jun
行者休于树,xing'zhe'xiu'yu'shu
熊掌,xiong'zhang
休祲降于天,xiu'jin'jiang'yu'tian
徐庶见先主,xu'shu'jian'xian'zhu
徐庶元直与亮友善,xu'shu'yuan'zhi'yu'liang'you'shan
雪上空留马行处,xue'shang'kong'liu'ma'hang'chu
燕地寒,yan'di'han
宴酣之乐,yan'han'zhi'le
言和而色夷,yan'he'er'se'yi
雁门太守行,yan'men'tai'shou'xing
燕雀安知鸿鹄之志哉,yan'que'an'zhi'hong'hu'zhi'zhi'zai
燕然未勒归无计,yan'ran'wei'le'gui'wu'ji
晏如也,yan'ru'ye
晏殊,yan'shu
燕子来时新社,yan'zi'lai'shi'xin'she
阳城人也,yang'cheng'ren'ye
仰而视之曰吓,yang'er'shi'zhi'yue'xia
阳夏人也,yang'xia'ren'ye
腰白玉之环,yao'bai'yu'zhi'huan
要离之刺庆忌也,yao'li'zhi'ci'qing'ji'ye
叶底黄鹂一两声,ye'di'huang'li'yi'liang'sheng
野芳发而幽香,ye'fang'fa'er'you'xiang
夜篝火,ye'gou'huo
夜来南风起,ye'lai'nan'feng'qi
也拟泛轻舟,ye'ni'fan'qing'zhou
烨然若神人,ye'ran'ruo'shen'ren
一百许里,yi'bai'xu'li
一碧万顷,yi'bi'wan'qing
义不杀少而杀众,yi'bu'sha'shao'er'sha'zhong
亦不详其姓字,yi'bu'xiang'qi'xing'zi
已持臣守圉之器在宋城上而待楚寇矣,yi'chi'chen'shou'yu'zhi'qi'zai'song'cheng'shang'er'dai'chu'kou'yi
意踌躇,yi'chou'chu
以此自终,yi'ci'zi'zhong
以大易小,yi'da'yi'xiao
衣带日已缓,yi'dai'ri'yi'huan
一箪食,yi'dan'shi
以牒为械,yi'die'wei'xie
一豆羹,yi'dou'geng
宜多应者,yi'duo'ying'zhe
已而夕阳在山,yi'er'xi'yang'zai'shan
宜付有司论其刑赏,yi'fu'you'si'lun'qi'xing'shang
以告先帝之灵,yi'gao'xian'di'zhi'ling
疑怪昨宵春梦好,yi'guai'zuo'xiao'chun'meng'hao
以光先帝遗德,yi'guang'xian'di'yi'de
以激怒其众,yi'ji'nu'qi'zhong
以君为长者,yi'jun'wei'zhang'zhe
以乐其志,yi'le'qi'zhi
已历三世,yi'li'san'shi
亦免冠徒跣,yi'mian'guan'tu'xian
益慕圣贤之道,yi'mu'sheng'xian'zhi'dao
以其境过清,yi'qi'jing'guo'qing
以衾拥覆,yi'qin'yong'fu
佁然不动,yi'ran'bu'dong
一任群芳妒,yi'ren'qun'fang'du
以弱为强者,yi'ruo'wei'qiang'zhe
以塞忠谏之路也,yi'sai'zhong'jian'zhi'lu'ye
以伤先帝之明,yi'shang'xian'di'zhi'ming
已是黄昏独自愁,yi'shi'huang'hun'du'zi'chou
一食或尽粟一石,yi'shi'huo'jin'su'yi'dan
以是人多以书假余,yi'shi'ren'duo'yi'shu'jia'yu
亦时时有,yi'shi'shi'you
已逃秦矣,yi'tao'qin'yi
以天下之所顺,yi'tian'xia'zhi'suo'shun
以头抢地尔,yi'tou'qiang'di'er
驿外断桥边,yi'wai'duan'qiao'bian
一望空阔,yi'wang'kong'kuo
噫微斯人,yi'wei'si'ren
亦我所欲也,yi'wo'suo'yu'ye
抑亦人谋也,yi'yi'ren'mou'ye
义亦我所欲也,yi'yi'wo'suo'yu'ye
以迎将军者乎,yi'ying'jiang'jun'zhe'hu
以彰其咎,yi'zhang'qi'jiu
以昭陛下平明之理,yi'zhao'bi'xia'ping'ming'zhi'li
弈者胜,yi'zhe'sheng
医之好治不病以为功,yi'zhi'hao'zhi'bu'bing'yi'wei'gong
以中有足乐者,yi'zhong'you'zu'le'zhe
益州疲弊,yi'zhou'pi'bi
益州险塞,yi'zhou'xian'sai
以咨诹善道,yi'zi'zou'shan'dao
吟鞭东指即天涯,yin'bian'dong'zhi'ji'tian'ya
阴风怒号,yin'feng'nu'hao
饮酒其五,yin'jiu'qi'wu
因屏人曰,yin'ping'ren'yue
饮少辄醉,yin'shao'zhe'zui
因思杜陵梦,yin'si'du'ling'meng
因以为号焉,yin'yi'wei'hao'yan
引喻失义,yin'yu'shi'yi
影布石上,ying'bu'shi'shang
嬴得生前身后名,ying'de'sheng'qian'shen'hou'ming
媵人持汤沃灌,ying'ren'chi'tang'wo'guan
影徒随我身,ying'tu'sui'wo'shen
嘤嘤成韵,ying'ying'cheng'yun
永结无情游,yong'jie'wu'qing'you
佣者笑而应曰,yong'zhe'xiao'er'ying'yue
有暗香盈袖,you'an'xiang'ying'xiu
右备容臭,you'bei'rong'xiu
忧谗畏讥,you'chan'wei'ji
有功,you'gong
又何妨,you'he'fang
又患无硕师名人与游,you'huan'wu'shuo'shi'ming'ren'yu'you
又间令吴广之次所旁丛祠中,you'jian'ling'wu'guang'zhi'ci'suo'pang'cong'ci'zhong
又恐琼楼玉宇,you'kong'qiong'lou'yu'yu
优劣得所,you'lie'de'suo
右擎苍,you'qing'cang
悠然见南山,you'ran'jian'nan'shan
悠然自得,you'ran'zi'de
游人去而禽鸟乐也,you'ren'qu'er'qin'niao'le'ye
游人虽未盛,you'ren'sui'wei'sheng
由是感激,you'shi'gan'ji
有时见日,you'shi'jian'ri
由是先主遂诣亮,you'shi'xian'zhu'sui'yi'liang
由是则可以避患而有不为也,you'shi'ze'ke'yi'bi'huan'er'you'bu'wei'ye
由是则生而有不用也,you'shi'ze'sheng'er'you'bu'yong'ye
右手秉遗穗,you'shou'bing'yi'sui
有司业博士为之师,you'si'ye'bo'shi'wei'zhi'shi
有所广益,you'suo'guang'yi
有亭翼然临于泉上者,you'ting'yi'ran'lin'yu'quan'shang'zhe
悠悠,you'you
游鱼细石,you'yu'xi'shi
犹鱼有水也,you'yu'you'shui'ye
游子不顾返,you'zi'bu'gu'fan
鱼,yu
欲报倾城随太守,yu'bao'qing'cheng'sui'tai'shou
欲报之于陛下也,yu'bao'zhi'yu'bi'xia'ye
欲辨已忘言,yu'bian'yi'wang'yan
予尝求古仁人之心,yu'chang'qiu'gu'ren'ren'zhi'xin
余朝京师,yu'chao'jing'shi
与臣而将四矣,yu'chen'er'jiang'si'yi
欲出不得,yu'chu'bu'de
欲代子相,yu'dai'zi'xiang
余弟宗玄,yu'di'zong'xuan
欲渡黄河冰塞川,yu'du'huang'he'bing'sai'chuan
羽飞乃止,yu'fei'nai'zhi
渔歌互答,yu'ge'hu'da
余故道为学之难以告之,yu'gu'dao'wei'xue'zhi'nan'yi'gao'zhi
予观夫巴陵胜状,yu'guan'fu'ba'ling'sheng'zhuang
余寒犹厉,yu'han'you'li
渔家傲,yu'jia'ao
渔家傲秋思,yu'jia'ao'qiu'si
雨脚如麻未断绝,yu'jiao'ru'ma'wei'duan'jue
与君生别离,yu'jun'sheng'bie'li
余立侍左右,yu'li'shi'zuo'you
伛偻提携,yu'lv'ti'xie
域民不以封疆之界,yu'min'bu'yi'feng'jiang'zhi'jie
寓逆旅主人,yu'ni'lv'zhu'ren
玉盘珍馐直万钱,yu'pan'zhen'xiu'zhi'wan'qian
于是,yu'shi
于是鸱得腐鼠,yu'shi'chi'de'fu'shu
于是见公输盘,yu'shi'jian'gong'shu'pan
于是与亮情好日密,yu'shi'yu'liang'qing'hao'ri'mi
鱼我所欲也,yu'wo'suo'yu'ye
欲信大义于天下,yu'xin'da'yi'yu'tian'xia
愚以为官中之事,yu'yi'wei'guan'zhong'zhi'shi
愚以为营中之事,yu'yi'wei'ying'zhong'zhi'shi
余因得遍观群书,yu'yin'de'bian'guan'qun'shu
余幼时即嗜学,yu'you'shi'ji'shi'xue
欲语泪先流,yu'yu'lei'xian'liu
郁郁青青,yu'yu'qing'qing
余则緼袍敝衣处其间,yu'ze'wen'pao'bi'yi'chu'qi'jian
玉枕纱厨,yu'zhen'sha'chu
鱼之乐全矣,yu'zhi'le'quan'yi
与之论辨,yu'zhi'lun'bian
与朱元思书,yu'zhu'yuan'si'shu
愿陛下亲之信之,yuan'bi'xia'qin'zhi'xin'zhi
愿陛下托臣以讨贼兴复之效,yuan'bi'xia'tuo'chen'yi'tao'zei'xing'fu'zhi'xiao
鹓雏过之,yuan'chu'guo'zhi
鸢飞戾天者,yuan'fei'li'tian'zhe
袁宏道,yuan'hong'dao
愿藉子杀之,yuan'ji'zi'sha'zhi
元是今朝斗草赢,yuan'shi'jin'zhao'dou'cao'ying
远贤臣,yuan'xian'chen
远小人,yuan'xiao'ren
援疑质理,yuan'yi'zhi'li
猿则百叫无绝,yuan'ze'bai'jiao'wu'jue
愿终守之,yuan'zhong'shou'zhi
愿诸君勿复言,yuan'zhu'jun'wu'fu'yan
曰,yue
阅读,yue'du
曰奉壹,yue'feng'yi
月既不解饮,yue'ji'bu'jie'yin
越明年,yue'ming'nian
越鸟巢南枝,yue'niao'chao'nan'zhi
曰恕己,yue'shu'ji
月下独酌,yue'xia'du'zhuo
岳阳楼记,yue'yang'lou'ji
月夜,yue'ye
月有阴晴圆缺,yue'you'yin'qing'yuan'que
云归而岩穴暝,yun'gui'er'yan'xue'ming
杂然而前陈者,za'ran'er'qian'chen'zhe
再拜曰,zai'bai'yue
载不动许多愁,zai'bu'dong'xu'duo'chou
在肠胃,zai'chang'wei
在洞庭一湖,zai'dong'ting'yi'hu
在骨髓,zai'gu'sui
在乎山水之间也,zai'hu'shan'shui'zhi'jian'ye
在肌肤,zai'ji'fu
在昼犹昏,zai'zhou'you'hun
暂凭杯酒长精神,zan'ping'bei'jiu'chang'jing'shen
赞曰,zan'yue
造饮辄尽,zao'yin'zhe'jin
则霸业可成,ze'ba'ye'ke'cheng
则凡可以避患者何不为也,ze'fan'ke'yi'bi'huan'zhe'he'bu'wei'ye
则凡可以得生者何不用也,ze'fan'ke'yi'de'sheng'zhe'he'bu'yong'ye
则汉室之隆,ze'han'shi'zhi'long
则名微而众寡,ze'ming'wei'er'zhong'gua
则命一上将将荆州之军以向宛洛,ze'ming'yi'shang'qiang'qiang'jing'zhou'zhi'jun'yi'xiang'wan'luo
则心不若余之专耳,ze'xin'bu'ruo'yu'zhi'zhuan'er
则又请焉,ze'you'qing'yan
则有去国怀乡,ze'you'qu'guo'huai'xiang
则有心旷神怡,ze'you'xin'kuang'shen'yi
则攸之韦允之任也,ze'you'zhi'wei'yun'zhi'ren'ye
则责攸之韦允等之慢,ze'ze'you'zhi'wei'yun'deng'zhi'man
增其旧制,zeng'qi'jiu'zhi
宅边有五柳树,zhai'bian'you'wu'liu'shu
战必胜矣,zhan'bi'sheng'yi
张鲁在北,zhang'lu'zai'bei
张养浩,zhang'yang'hao
朝晖夕阴,zhao'hui'xi'yin
召令徒属曰,zhao'ling'tu'shu'yue
照无眠,zhao'wu'mian
折戟沉沙铁未销,zhe'ji'chen'sha'tie'wei'xiao
针石之所及也,zhen'shi'zhi'suo'ji'ye
争而不得,zheng'er'bu'de
争高直指,zheng'gao'zhi'zhi
政通人和,zheng'tong'ren'he
征于色,zheng'yu'se
执策而临之,zhi'ce'er'lin'zhi
知而不争,zhi'er'bu'zheng
陟罚臧否,zhi'fa'zang'pi
直挂云帆济沧海,zhi'gua'yun'fan'ji'cang'hai
枳花照驿墙,zhi'hua'zhao'yi'qiang
只恐双溪舴艋舟,zhi'kong'shuang'xi'ze'meng'zhou
志虑忠纯,zhi'lv'zhong'chun
至满井,zhi'man'jing
智能之士思得明君,zhi'neng'zhi'shi'si'de'ming'jun
置人所罾鱼腹中,zhi'ren'suo'zeng'yu'fu'zhong
至若春和景明,zhi'ruo'chun'he'jing'ming
至舍,zhi'she
直视无碍,zhi'shi'wu'ai
只有香如故,zhi'you'xiang'ru'gu
至于负者歌于途,zhi'yu'fu'zhe'ge'yu'tu
至于今日,zhi'yu'jin'ri
至于斟酌损益,zhi'yu'zhen'zhuo'sun'yi
众宾欢也,zhong'bin'huan'ye
中军置酒饮归客,zhong'jun'zhi'jiu'yin'gui'ke
忠志之士忘身于外者,zhong'zhi'zhi'shi'wang'shen'yu'wai'zhe
诛暴秦,zhu'bao'qin
诸郡县苦秦吏者,zhu'jun'xian'ku'qin'li'zhe
主上蒙尘,zhu'shang'meng'chen
撰长书以为贽,zhuan'chang'shu'yi'wei'zhi
转朱阁,zhuan'zhu'ge
庄子故事两则,zhuang'zi'gu'shi'liang'ze
庄子来,zhuang'zi'lai
庄子往见之,zhuang'zi'wang'jian'zhi
庄子与惠子游于濠梁,zhuang'zi'yu'hui'zi'you'yu'hao'liang
庄子与惠子游于濠梁之上,zhuang'zi'yu'hui'zi'you'yu'hao'liang'zhi'shang
庄子曰,zhuang'zi'yue
浊酒一杯家万里,zhuo'jiu'yi'bei'jia'wan'li
浊浪排空,zhuo'lang'pai'kong
子不知,zi'bu'zhi
咨臣以当世之事,zi'chen'yi'dang'shi'zhi'shi
自董卓已来,zi'dong'zhuo'yi'lai
子非我,zi'fei'wo
子非鱼,zi'fei'yu
自富阳至桐庐,zi'fu'yang'zhi'tong'lu
子固非鱼矣,zi'gu'fei'yu'yi
自将磨洗认前朝,zi'jiang'mo'xi'ren'qian'chao
自经丧乱少睡眠,zi'jing'sang'luan'shao'shui'mian
子墨子见王,zi'mo'zi'jian'wang
子墨子解带为城,zi'mo'zi'jie'dai'wei'cheng
子墨子九距之,zi'mo'zi'jiu'ju'zhi
子墨子起,zi'mo'zi'qi
子墨子闻之,zi'mo'zi'wen'zhi
子墨子亦曰,zi'mo'zi'yi'yue
子墨子曰,zi'mo'zi'yue
子墨子之守围有余,zi'mo'zi'zhi'shou'wei'you'yu
字涉,zi'she
字叔,zi'shu
自谓少时用心于学甚劳,zi'wei'shao'shi'yong'xin'yu'xue'shen'lao
子曰,zi'yue
子知之乎,zi'zhi'zhi'hu
总揽英雄,zong'lan'ying'xiong
走马川行奉送封大夫出师西征,zou'ma'chuan'xing'feng'song'feng'dai'fu'chu'shi'xi'zheng
走送了,zou'song'le
足肤皲裂而不知,zu'fu'jun'lie'er'bu'zhi
卒获有所闻,zu'huo'you'suo'wen
卒皆夜惊恐,zu'jie'ye'jing'kong
卒买鱼烹食,zu'mai'yu'peng'shi
卒数万人,zu'shu'wan'ren
足下事皆成,zu'xia'shi'jie'cheng
足蒸暑土气,zu'zheng'shu'tu'qi
醉后各分散,zui'hou'ge'fen'san
醉花阴,zui'hua'yin
醉里挑灯看剑,zui'li'tiao'deng'kan'jian
醉能同其乐,zui'neng'tong'qi'le
醉翁亭记,zui'weng'ting'ji
醉翁亭也,zui'weng'ting'ye
醉翁之意不在酒,zui'weng'zhi'yi'bu'zai'jiu
左臂悬敝筐,zuo'bi'xuan'bi'kuang
作此篇,zuo'ci'pian
坐大厦之下而诵诗书,zuo'da'sha'zhi'xia'er'song'shi'shu
坐断东南战未休,zuo'duan'dong'nan'zhan'wei'xiu
左佩刀,zuo'pei'dao
坐起而喧哗者,zuo'qi'er'xuan'hua'zhe
左牵黄,zuo'qian'huang
左迁至蓝关示侄孙湘,zuo'qian'zhi'lan'guan'shi'zhi'sun'xiang
坐潭上,zuo'tan'shang
作亭者谁,zuo'ting'zhe'shui
作则飞沙走砾,zuo'ze'fei'sha'zou'li
