矮扁莎,ai'bian'sha
全缘楼梯草,quan'yuan'lou'ti'cao
全缘榕,quan'yuan'rong
全缘叶栾树,quan'yuan'ye'luan'shu
雀稗,que'bai
雀稗尾稃草,que'bai'wei'fu'cao
雀梅藤,que'mei'teng
鹊肾树,que'shen'shu
染木树,ran'mu'shu
热带铁苋菜,re'dai'tie'xian'cai
稔叶扁担杆,ren'ye'bian'dan'gan
日本杜英,ri'ben'du'ying
日本柳叶箬,ri'ben'liu'ye'ruo
日本女贞,ri'ben'nv'zhen
日本羊蹄甲,ri'ben'yang'ti'jia
蓉草,rong'cao
茸果石栎,rong'guo'shi'li
茸果鹧鸪花,rong'guo'zhe'gu'hua
绒毛润楠,rong'mao'run'nan
绒毛山胡椒,rong'mao'shan'hu'jiao
绒毛山绿豆,rong'mao'shan'lv'dou
榕树,rong'shu
绒叶斑叶兰,rong'ye'ban'ye'lan
榕叶冬青,rong'ye'dong'qing
肉根萦金牛,rou'gen'ying'jin'niu
柔梨叶悬钩子,rou'li'ye'xuan'gou'zi
肉菱云实,rou'ling'yun'shi
柔毛艾纳香,rou'mao'ai'na'xiang
柔毛飘拂草,rou'mao'piao'fu'cao
柔毛鸦胆子,rou'mao'ya'dan'zi
柔弱斑种草,rou'ruo'ban'zhong'cao
肉珊瑚,rou'shan'hu
肉穗草,rou'sui'cao
肉叶鞘蕊花,rou'ye'qiao'rui'hua
肉质花石斛,rou'zhi'hua'shi'hu
乳豆,ru'dou
软垂莎草,ruan'chui'suo'cao
软荚豆,ruan'jia'dou
软荚红豆,ruan'jia'hong'dou
锐棱荸荠,rui'leng'bi'qi
蕊木,rui'mu
瑞木,rui'mu
赛金莲木,sai'jin'lian'mu
赛葵,sai'kui
赛木患,sai'mu'huan
赛山梅,sai'shan'mei
三白草,san'bai'cao
三宝木,san'bao'mu
三叉刺,san'cha'ci
三叉苦,san'cha'ku
三翅秆砖子苗,san'chi'gan'zhuan'zi'miao
三点金,san'dian'jin
伞房刺子莞,san'fang'ci'zi'guan
伞房花耳草,san'fang'hua'er'cao
伞房珍珠茅,san'fang'zhen'zhu'mao
三分丹,san'fen'dan
三果柯,san'guo'ke
三花冬青,san'hua'dong'qing
伞花冬音,san'hua'dong'yin
伞花寄生藤,san'hua'ji'sheng'teng
散花龙船花,san'hua'long'chuan'hua
散花紫珠,san'hua'zi'zhu
三尖栝楼,san'jian'gua'lou
三尖杉,san'jian'shan
三角瓣花,san'jiao'ban'hua
三角草,san'jiao'cao
三角车,san'jiao'che
三角叶冷水花,san'jiao'ye'leng'shui'hua
三肋果莎,san'lei'guo'sha
三棱瓜,san'leng'gua
三裂蟛蜞菊,san'lie'peng'qi'ju
三裂山矾,san'lie'shan'fan
三裂叶蛇葡萄,san'lie'ye'she'pu'tao
三裂叶野葛,san'lie'ye'ye'ge
三脉耳草,san'mai'er'cao
三脉冷水花,san'mai'leng'shui'hua
三脉紫菀,san'mai'zi'wan
三品一支花,san'pin'yi'zhi'hua
三稔蒟,san'ren'ju
三蕊沟繁缕,san'rui'gou'fan'lv
三蕊兰,san'rui'lan
三色鞘花,san'se'qiao'hua
散穗弓果黍,san'sui'gong'guo'shu
散穗黑莎草,san'sui'hei'suo'cao
三穗飘拂草,san'sui'piao'fu'cao
三穗苔草,san'sui'tai'cao
三头水蜈蚣,san'tou'shui'wu'gong
伞序臭黄荆,san'xu'chou'huang'jing
三叶鬼针草,san'ye'gui'zhen'cao
三叶绞股蓝,san'ye'jiao'gu'lan
三叶木豆,san'ye'mu'dou
三叶藤桶,san'ye'teng'tong
三叶乌蔹莓,san'ye'wu'lian'mei
三褶虾脊兰,san'zhe'xia'ji'lan
桑草,sang'cao
沙坝冬青,sha'ba'dong'qing
沙煲暗罗,sha'bao'an'luo
沙地蓝耳草,sha'di'lan'er'cao
沙地叶下珠,sha'di'ye'xia'zhu
沙丘草,sha'qiu'cao
砂苋,sha'xian
沙叶铁线莲,sha'ye'tie'xian'lian
山白藤,shan'bai'teng
山稗子,shan'bai'zi
山潺,shan'chan
山橙,shan'cheng
山慈菇,shan'ci'gu
山地核果木,shan'di'he'guo'mu
山地五月茶,shan'di'wu'yue'cha
山杜英,shan'du'ying
山矾,shan'fan
山柑,shan'gan
山柑算盘子,shan'gan'suan'pan'zi
山骨罗竹,shan'gu'luo'zhu
珊瑚菜,shan'hu'cai
珊瑚姜,shan'hu'jiang
珊瑚树,shan'hu'shu
山黄菊,shan'huang'ju
山黄麻,shan'huang'ma
山鸡谷草,shan'ji'gu'cao
山鸡椒,shan'ji'jiao
山鸡血藤,shan'ji'xue'teng
山菅兰,shan'jian'lan
山蕉,shan'jiao
山椒子,shan'jiao'zi
山桔树,shan'jie'shu
山蒟,shan'ju
山橘,shan'ju
山苦茶,shan'ku'cha
山兰,shan'lan
山榄,shan'lan
山楝,shan'lian
山龙眼,shan'long'yan
山椤,shan'luo
山绿柴,shan'lv'chai
山马耳,shan'ma'er
山麻树,shan'ma'shu
山牡荆,shan'mu'jing
山蟛蜞菊,shan'peng'qi'ju
山蒲桃,shan'pu'tao
山茄,shan'qie
山榕,shan'rong
山檨叶泡花树,shan'she'ye'pao'hua'shu
山檨子,shan'she'zi
山石榴,shan'shi'liu
山薯,shan'shu
鳝藤,shan'teng
山铜材,shan'tong'cai
山乌桕,shan'wu'jiu
山香,shan'xiang
山香圆,shan'xiang'yuan
山小桔,shan'xiao'ju
山油柑,shan'you'gan
山芝麻,shan'zhi'ma
山猪莱,shan'zhu'lai
山竹子,shan'zhu'zi
商陆,shang'lu
上树南星,shang'shu'nan'xing
少花谷木,shao'hua'gu'mu
少花假糙苏,shao'hua'jia'cao'su
少花狸藻,shao'hua'li'zao
少花龙葵,shao'hua'long'kui
少花土蜜树,shao'hua'tu'mi'shu
少脉假卫矛,shao'mai'jia'wei'mao
少穗割鸡芒,shao'sui'ge'ji'mang
少穗飘拂草,shao'sui'piao'fu'cao
少药八角,shao'yao'ba'jiao
少叶野木瓜,shao'ye'ye'mu'gua
蛇床,she'chuang
射干,she'gan
社虹花,she'hong'hua
射毛悬竹,she'mao'xuan'zhu
蛇婆子,she'po'zi
蛇舌兰,she'she'lan
蛇藤,she'teng
蛇王藤,she'wang'teng
蛇尾草,she'wei'cao
蛇腰草,she'yao'cao
肾茶,shen'cha
深山含笑,shen'shan'han'xiao
肾叶山蚂蟥,shen'ye'shan'ma'huang
肾叶山猪菜,shen'ye'shan'zhu'cai
肾叶天胡荽,shen'ye'tian'hu'sui
肾叶玉凤花,shen'ye'yu'feng'hua
圣罗勒,sheng'luo'le
升马唐,sheng'ma'tang
石斑木,shi'ban'mu
石蝉草,shi'chan'cao
石菖蒲,shi'chang'pu
石吊苣苔,shi'diao'ju'tai
石豆毛兰,shi'dou'mao'lan
石柑子,shi'gan'zi
石果珍珠茅,shi'guo'zhen'zhu'mao
石核木,shi'he'mu
石斛,shi'hu
石胡荽,shi'hu'sui
使君子,shi'jun'zi
十棱山矾,shi'leng'shan'fan
十裂葵,shi'lie'kui
石龙尾,shi'long'wei
石碌含笑,shi'lu'han'xiao
石箩藦,shi'luo'mo
石芒草,shi'mang'cao
螫毛果,shi'mao'guo
石茅假高梁,shi'mao'jia'gao'liang
石枚冬青,shi'mei'dong'qing
石密,shi'mi
石榕树,shi'rong'shu
十蕊大参,shi'rui'da'can
十蕊槭,shi'rui'qi
石粟,shi'su
石仙桃,shi'xian'tao
石血,shi'xue
石岩枫,shi'yan'feng
石竹仔,shi'zhu'zai
石梓,shi'zi
十字苣苔,shi'zi'ju'tai
十字苔草,shi'zi'tai'cao
狮子尾,shi'zi'wei
绶草,shou'cao
瘦叉柱花,shou'cha'zhu'hua
首冠藤,shou'guan'teng
鼠鞭草,shu'bian'cao
树参,shu'can
疏齿巴豆,shu'chi'ba'dou
疏刺茄,shu'ci'qie
鼠妇草,shu'fu'cao
疏花丁公藤,shu'hua'ding'gong'teng
疏花杜茎山,shu'hua'du'jing'shan
疏花木蓝,shu'hua'mu'lan
疏花蛇菰,shu'hua'she'gu
疏花薯蓣,shu'hua'shu'yu
疏花铁青树,shu'hua'tie'qing'shu
疏花卫矛,shu'hua'wei'mao
疏节槐,shu'jie'huai
鼠趜草,shu'ju'cao
薯莨,shu'liang
疏鳞苔草,shu'lin'tai'cao
疏脉山香圆,shu'mai'shan'xiang'yuan
疏毛白绒草,shu'mao'bai'rong'cao
疏毛半边莲,shu'mao'ban'bian'lian
疏毛卷花丹,shu'mao'juan'hua'dan
疏毛水苎麻,shu'mao'shui'zhu'ma
疏穗求米草,shu'sui'qiu'mi'cao
树头菜,shu'tou'cai
鼠尾草,shu'wei'cao
鼠尾囊颖草,shu'wei'nang'ying'cao
鼠尾粟,shu'wei'su
殊芽艾麻,shu'ya'ai'ma
薯叶藤,shu'ye'teng
疏颖莎草,shu'ying'suo'cao
疏缘勒,shu'yuan'le
树仔菜,shu'zai'cai
数珠珊瑚,shu'zhu'shan'hu
栓叶安息香,shuan'ye'an'xi'xiang
双瓣木犀,shuang'ban'mu'xi
双稃草,shuang'fu'cao
双蝴蝶,shuang'hu'die
双花草,shuang'hua'cao
双花耳草,shuang'hua'er'cao
双花鞘花,shuang'hua'qiao'hua
双穗雀稗,shuang'sui'que'bai
双叶黄杞,shuang'ye'huang'qi
双籽棕,shuang'zi'zong
水稗,shui'bai
水菜花,shui'cai'hua
水车前,shui'che'qian
水冬哥,shui'dong'ge
水禾,shui'he
水虎尾,shui'hu'wei
水黄皮,shui'huang'pi
水角,shui'jiao
水锦树,shui'jin'shu
水柳,shui'liu
水龙,shui'long
水毛花,shui'mao'hua
水皮莲,shui'pi'lian
水茄,shui'qie
水芹,shui'qin
水筛,shui'shai
水虱草,shui'shi'cao
水石榕,shui'shi'rong
水石梓,shui'shi'zi
水蓑衣,shui'suo'yi
水同榕,shui'tong'rong
水团花,shui'tuan'hua
水蕹,shui'weng
水翁,shui'weng
水蜈蚣,shui'wu'gong
水仙柯,shui'xian'ke
水椰,shui'ye
水油甘,shui'you'gan
水榆花楸,shui'yu'hua'qiu
水玉簪,shui'yu'zan
水芫花,shui'yuan'hua
水蔗草,shui'zhe'cao
水珍珠菜,shui'zhen'zhu'cai
水竹,shui'zhu
水竹蒲桃,shui'zhu'pu'tao
水竹叶,shui'zhu'ye
硕大藨草,shuo'da'biao'cao
蒴莲,shuo'lian
四瓣米仔兰,si'ban'mi'zai'lan
丝瓣玉凤花,si'ban'yu'feng'hua
撕唇玉凤花,si'chun'yu'feng'hua
丝粉藻,si'fen'zao
四季米仔兰,si'ji'mi'zai'lan
四角蒲桃,si'jiao'pu'tao
四孔草,si'kong'cao
思劳竹,si'lao'zhu
四棱飘拂草,si'leng'piao'fu'cao
四裂马齿苋,si'lie'ma'chi'xian
丝裂玉凤花,si'lie'yu'feng'hua
四脉金茅,si'mai'jin'mao
丝棉草,si'mian'cao
四蕊,si'rui
四生臂形草,si'sheng'bi'xing'cao
丝线吊金钟,si'xian'diao'jin'zhong
四腺翻唇兰,si'xian'fan'chun'lan
四药门花,si'yao'men'hua
丝叶谷精草,si'ye'gu'jing'cao
四籽柳,si'zi'liu
松叶耳草,song'ye'er'cao
松叶牡丹,song'ye'mu'dan
宿苞厚壳树,su'bao'hou'ke'shu
宿萼木,su'e'mu
宿根马唐,su'gen'ma'tang
苏门白酒草,su'men'bai'jiu'cao
粟米草,su'mi'cao
苏木,su'mu
酸脚杆,suan'jiao'gan
酸模芒,suan'mo'mang
酸藤子,suan'teng'zi
酸味子,suan'wei'zi
酸叶胶藤,suan'ye'jiao'teng
穗花轴榈,sui'hua'zhou'lv
碎米莎草,sui'mi'suo'cao
莎草砖子苗,suo'cao'zhuan'zi'miao
梭罗树,suo'luo'shu
泰来藻,tai'lai'zao
太平杜鹃,tai'ping'du'juan
台琼海桐,tai'qiong'hai'tong
台湾槌果藤,tai'wan'chui'guo'teng
台湾虎尾草,tai'wan'hu'wei'cao
台湾黄牛木,tai'wan'huang'niu'mu
台湾美冠兰,tai'wan'mei'guan'lan
台湾枇杷,tai'wan'pi'pa
台湾秋海棠,tai'wan'qiu'hai'tang
台湾榕,tai'wan'rong
台湾苏铁,tai'wan'su'tie
台蔗茅,tai'zhe'mao
桃金娘,tao'jin'niang
桃榄,tao'lan
桃叶槌果藤,tao'ye'chui'guo'teng
套叶馥兰,tao'ye'fu'lan
桃叶金钱豹,tao'ye'jin'qian'bao
套叶兰,tao'ye'lan
桃叶珊瑚,tao'ye'shan'hu
藤春,teng'chun
藤单竹,teng'dan'zhu
藤槐,teng'huai
藤金合欢,teng'jin'he'huan
藤麻,teng'ma
藤牡丹,teng'mu'dan
藤榕,teng'rong
藤檀,teng'tan
藤竹,teng'zhu
藤竹草,teng'zhu'cao
田葱,tian'cong
田繁缕,tian'fan'lv
甜根子草,tian'gen'zi'cao
天胡荽,tian'hu'sui
田基黄,tian'ji'huang
田基麻,tian'ji'ma
田间鸭嘴草,tian'jian'ya'zui'cao
田菁,tian'jing
天料木,tian'liao'mu
甜麻,tian'ma
天门冬,tian'men'dong
天名精,tian'ming'jing
甜笋竹,tian'sun'zhu
天堂瓜馥木,tian'tang'gua'fu'mu
天香藤,tian'xiang'teng
天星藤,tian'xing'teng
田玄参,tian'xuan'shen
甜竹,tian'zhu
条萼田草,tiao'e'tian'cao
调羹树,tiao'geng'shu
调料九里香,tiao'liao'jiu'li'xiang
挑叶石楠,tiao'ye'shi'nan
铁包金,tie'bao'jin
铁草鞋,tie'cao'xie
铁冬青,tie'dong'qing
铁榄,tie'lan
铁凌,tie'ling
铁灵花,tie'ling'hua
铁椤,tie'luo
铁青树,tie'qing'shu
铁山矾,tie'shan'fan
铁藤,tie'teng
铁苋菜,tie'xian'cai
铁线子,tie'xian'zi
铁仔冬青,tie'zai'dong'qing
铜锤王带草,tong'chui'wang'dai'cao
通脉藤,tong'mai'teng
通奶草,tong'nai'cao
通泉草,tong'quan'cao
同色扁担杆,tong'se'bian'dan'gan
通天连,tong'tian'lian
筒轴草,tong'zhou'cao
头九节,tou'jiu'jie
透明水玉簪,tou'ming'shui'yu'zan
土丁桂,tu'ding'gui
兔耳兰,tu'er'lan
土茯苓,tu'fu'ling
秃尖尾枫,tu'jian'wei'feng
凸尖野百合,tu'jian'ye'bai'he
土荆芥,tu'jing'jie
凸脉冬青,tu'mai'dong'qing
土密树,tu'mi'shu
土密藤,tu'mi'teng
土楠,tu'nan
土牛膝,tu'niu'xi
土人参,tu'ren'can
土坛树,tu'tan'shu
土田七,tu'tian'qi
吐烟花,tu'yan'hua
团花龙船花,tuan'hua'long'chuan'hua
臀形果,tun'xing'guo
驼峰藤,tuo'feng'teng
托盘青冈,tuo'pan'qing'gang
椭圆乌口树,tuo'yuan'wu'kou'shu
椭圆叶野百合,tuo'yuan'ye'ye'bai'he
挖耳草,wa'er'cao
娃儿藤,wa'er'teng
洼皮冬青,wa'pi'dong'qing
弯梗紫金牛,wan'geng'zi'jin'niu
弯管花,wan'guan'hua
弯毛臭黄荆,wan'mao'chou'huang'jing
万宁柯,wan'ning'ke
万宁蒲桃,wan'ning'pu'tao
蔓生莠竹,wan'sheng'you'zhu
万寿竹,wan'shou'zhu
弯穗狗牙根,wan'sui'gou'ya'gen
弯穗红鳞扁莎,wan'sui'hong'lin'bian'sha
网果裂疑茅,wang'guo'lie'yi'mao
网脉槭,wang'mai'qi
网籽草,wang'zi'cao
威灵仙,wei'ling'xian
微毛山矾,wei'mao'shan'fan
卫矛叶链珠藤,wei'mao'ye'lian'zhu'teng
尾叶柯,wei'ye'ke
尾叶李榄,wei'ye'li'lan
尾叶榕,wei'ye'rong
尾叶崖爬藤,wei'ye'ya'pa'teng
微硬毛马唐,wei'ying'mao'ma'tang
葨芝,wei'zhi
文昌栲,wen'chang'kao
吻兰,wen'lan
文殊兰,wen'shu'lan
卧茎夜来香,wo'jing'ye'lai'xiang
乌柏,wu'bai
无柄扁担杆,wu'bing'bian'dan'gan
无柄蒲桃,wu'bing'pu'tao
五层龙,wu'ceng'long
五唇兰,wu'chun'lan
五蒂柿,wu'di'shi
无耳兰,wu'er'lan
无耳藤竹,wu'er'teng'zhu
乌饭树,wu'fan'shu
乌饭叶柿,wu'fan'ye'shi
无根藤,wu'gen'teng
蜈蚣草,wu'gong'cao
乌黒,wu'hei
无患子,wu'huan'zi
五节芒,wu'jie'mang
无距石斛,wu'ju'shi'hu
乌壳青冈,wu'ke'qing'gang
乌口树,wu'kou'shu
乌榄,wu'lan
五棱飘拂草,wu'leng'piao'fu'cao
乌蔹莓,wu'lian'mei
五列木,wu'lie'mu
无鳞罗汉果,wu'lin'luo'han'guo
五岭龙胆,wu'ling'long'dan
无芒山涧草,wu'mang'shan'jian'cao
无毛滇南赤车,wu'mao'dian'nan'chi'che
无毛细马唐,wu'mao'xi'ma'tang
无毛皱果珍珠茅,wu'mao'zhou'guo'zhen'zhu'mao
芜萍,wu'ping
芜青叶艾纳香,wu'qing'ye'ai'na'xiang
五蕊寄生,wu'rui'ji'sheng
雾水葛,wu'shui'ge
乌檀,wu'tan
乌藤紫玉盘,wu'teng'zi'yu'pan
武威山新木姜子,wu'wei'shan'xin'mu'jiang'zi
无尾水筛,wu'wei'shui'shai
无腺杨桐,wu'xian'yang'tong
乌心楠,wu'xin'nan
无叶兰,wu'ye'lan
五叶薯,wu'ye'shu
五叶天南星,wu'ye'tian'nan'xing
五叶异木患,wu'ye'yi'mu'huan
五月茶,wu'yue'cha
五爪金龙,wu'zhao'jin'long
五指山蓝,wu'zhi'shan'lan
五柱柃,wu'zhu'ling
细柄青篱竹,xi'bing'qing'li'zhu
细柄山蚂蟥,xi'bing'shan'ma'huang
细柄黍,xi'bing'shu
细柄网籽草,xi'bing'wang'zi'cao
细齿大戟,xi'chi'da'ji
细齿柃,xi'chi'ling
细刺栲,xi'ci'kao
细梗络石,xi'geng'luo'shi
喜光花,xi'guang'hua
细果冬青,xi'guo'dong'qing
西桦,xi'hua
细花丁香萼,xi'hua'ding'xiang'e
细花短蕊茶,xi'hua'duan'rui'cha
细基丸,xi'ji'wan
细茎母草,xi'jing'mu'cao
细茎盆距兰,xi'jing'pen'ju'lan
细茎莎草,xi'jing'suo'cao
细孔紫金牛,xi'kong'zi'jin'niu
锡兰蒲桃,xi'lan'pu'tao
细脉斑鸠菊,xi'mai'ban'jiu'ju
细脉千里光,xi'mai'qian'li'guang
细毛含笑,xi'mao'han'xiao
细毛马唐,xi'mao'ma'tang
西南猫尾木,xi'nan'mao'wei'mu
西南飘拂草,xi'nan'piao'fu'cao
豨签,xi'qian
膝曲乌蔹莓,xi'qu'wu'lian'mei
细全唇兰,xi'quan'chun'lan
细弱柳叶薯,xi'ruo'liu'ye'shu
细穗草胡椒,xi'sui'cao'hu'jiao
细葶虾脊兰,xi'ting'xia'ji'lan
细叶巴戟天,xi'ye'ba'ji'tian
细叶扁担杆,xi'ye'bian'dan'gan
细叶谷木,xi'ye'gu'mu
细叶海南水锦树,xi'ye'hai'nan'shui'jin'shu
细叶黄杨,xi'ye'huang'yang
细叶苦荬菜,xi'ye'ku'mai'cai
细叶裸实,xi'ye'luo'shi
细叶飘拂草,xi'ye'piao'fu'cao
细叶三花冬青,xi'ye'san'hua'dong'qing
细叶石斑木,xi'ye'shi'ban'mu
细叶石仙桃,xi'ye'shi'xian'tao
细叶水苋,xi'ye'shui'xian
锡叶藤,xi'ye'teng
细叶天芥菜,xi'ye'tian'jie'cai
细叶亚婆潮,xi'ye'ya'po'chao
细叶野牡丹,xi'ye'ye'mu'dan
细圆藤,xi'yuan'teng
细仔龙,xi'zai'long
细枝柃,xi'zhi'ling
细轴荛花,xi'zhou'rao'hua
细棕竹,xi'zong'zhu
狭瓣鹰爪,xia'ban'ying'zhao
狭翅水玉簪,xia'chi'shui'yu'zan
夏飘拂草,xia'piao'fu'cao
下田菊,xia'tian'ju
狭叶巴戟天,xia'ye'ba'ji'tian
狭叶钩粉草,xia'ye'gou'fen'cao
狭叶谷精草,xia'ye'gu'jing'cao
狭叶红花灰叶,xia'ye'hong'hua'hui'ye
狭叶假糙苏,xia'ye'jia'cao'su
狭叶尖头叶藜,xia'ye'jian'tou'ye'li
狭叶母草,xia'ye'mu'cao
狭叶木犀榄,xia'ye'mu'xi'lan
狭叶糯米团,xia'ye'nuo'mi'tuan
狭叶泡花树,xia'ye'pao'hua'shu
狭叶蒲桃,xia'ye'pu'tao
狭叶荛花,xia'ye'rao'hua
狭叶赛爵床,xia'ye'sai'jue'chuang
狭叶山矾,xia'ye'shan'fan
狭叶山黄麻,xia'ye'shan'huang'ma
狭叶山榄,xia'ye'shan'lan
狭叶水竹草,xia'ye'shui'zhu'cao
狭叶五月茶,xia'ye'wu'yue'cha
狭叶香蒲,xia'ye'xiang'pu
狭叶崖豆藤,xia'ye'ya'dou'teng
狭叶栀子,xia'ye'zhi'zi
狭叶竹叶草,xia'ye'zhu'ye'cao
狭叶竹叶兰,xia'ye'zhu'ye'lan
狭枝鸡屎藤,xia'zhi'ji'shi'teng
线苞异型豆,xian'bao'yi'xing'dou
腺柄山矾,xian'bing'shan'fan
纤草,xian'cao
线萼榕,xian'e'rong
纤冠藤,xian'guan'teng
线果兜铃,xian'guo'dou'ling
纤花耳草,xian'hua'er'cao
纤花蒲桃,xian'hua'pu'tao
线茎苔草,xian'jing'tai'cao
腺鳞飘拂草,xian'lin'piao'fu'cao
显脉杜英,xian'mai'du'ying
腺脉蒟,xian'mai'ju
显脉木兰寄生,xian'mai'mu'lan'ji'sheng
显脉木犀,xian'mai'mu'xi
显脉山绿豆,xian'mai'shan'lv'dou
陷脉石楠,xian'mai'shi'nan
显脉天料木,xian'mai'tian'liao'mu
仙茅,xian'mao
纤毛画眉草,xian'mao'hua'mei'cao
腺毛水竹草,xian'mao'shui'zhu'cao
纤毛鸭嘴草,xian'mao'ya'zui'cao
仙茅叶竹茎兰,xian'mao'ye'zhu'jing'lan
仙人掌,xian'ren'zhang
藓生卷瓣兰,xian'sheng'juan'ban'lan
线穗苔草,xian'sui'tai'cao
线纹香茶菜,xian'wen'xiang'cha'cai
咸虾花,xian'xia'hua
线叶白绒草,xian'ye'bai'rong'cao
线叶杯冠藤,xian'ye'bei'guan'teng
线叶大戟,xian'ye'da'ji
线叶地耳草,xian'ye'di'er'cao
腺叶离蕊茶,xian'ye'li'rui'cha
线叶林地觅,xian'ye'lin'di'mi
腺叶山矾,xian'ye'shan'fan
腺叶鳝藤,xian'ye'shan'teng
线叶台湾榕,xian'ye'tai'wan'rong
腺叶藤,xian'ye'teng
线叶野百合,xian'ye'ye'bai'he
腺叶野樱,xian'ye'ye'ying
线叶珍珠茅,xian'ye'zhen'zhu'mao
纤枝槌果藤,xian'zhi'chui'guo'teng
纤枝蒲桃,xian'zhi'pu'tao
线枝蒲桃,xian'zhi'pu'tao
线柱苣苔,xian'zhu'ju'tai
线柱兰,xian'zhu'lan
香附子,xiang'fu'zi
香港大沙叶,xiang'gang'da'sha'ye
香港隔距兰,xiang'gang'ge'ju'lan
香港瓜馥木,xiang'gang'gua'fu'mu
香港槛木,xiang'gang'kan'mu
香港毛蕊荼,xiang'gang'mao'rui'tu
香港算盘子,xiang'gang'suan'pan'zi
香港鹰爪,xiang'gang'ying'zhao
香根草,xiang'gen'cao
香果兰,xiang'guo'lan
香花暗罗,xiang'hua'an'luo
香花藤,xiang'hua'teng
响铃豆,xiang'ling'dou
香楠,xiang'nan
香皮树,xiang'pi'shu
香蒲桃,xiang'pu'tao
向日樟,xiang'ri'zhang
向色鹿角兰,xiang'se'lu'jiao'lan
香水蜈蚣,xiang'shui'wu'gong
香丝草,xiang'si'cao
相思子,xiang'si'zi
香籽含笑,xiang'zi'han'xiao
响子竹,xiang'zi'zhu
小草,xiao'cao
小草蔻,xiao'cao'kou
小齿冷水花,xiao'chi'leng'shui'hua
小刺槌果藤,xiao'ci'chui'guo'teng
小慈菇,xiao'ci'gu
小刺界冷水花,xiao'ci'jie'leng'shui'hua
小刀豆,xiao'dao'dou
小萼素馨,xiao'e'su'xin
小二仙草,xiao'er'xian'cao
肖梵天花,xiao'fan'tian'hua
小芙蓉,xiao'fu'rong
小冠薰,xiao'guan'xun
小果山龙眼,xiao'guo'shan'long'yan
小果石笔木,xiao'guo'shi'bi'mu
小果铁冬青,xiao'guo'tie'dong'qing
小果微花藤,xiao'guo'wei'hua'teng
小果香椿,xiao'guo'xiang'chun
小果皂荚,xiao'guo'zao'jia
小果鹧鸪花,xiao'guo'zhe'gu'hua
小花八角枫,xiao'hua'ba'jiao'feng
小花百部,xiao'hua'bai'bu
小花斑鸠菊,xiao'hua'ban'jiu'ju
小花报春茜,xiao'hua'bao'chun'qian
小花刺薯蓣,xiao'hua'ci'shu'yu
小花粗叶木,xiao'hua'cu'ye'mu
小花鹤顶兰,xiao'hua'he'ding'lan
小花金茅,xiao'hua'jin'mao
小花老鼠簕,xiao'hua'lao'shu'le
小花牛齿兰,xiao'hua'niu'chi'lan
小花青藤,xiao'hua'qing'teng
小花山姜,xiao'hua'shan'jiang
小花藤,xiao'hua'teng
小花五桠果,xiao'hua'wu'ya'guo
小花远志,xiao'hua'yuan'zhi
小花蜘蛛抱蛋,xiao'hua'zhi'zhu'bao'dan
小花紫玉盘,xiao'hua'zi'yu'pan
小姬茁,xiao'ji'zhuo
肖槿,xiao'jin
小金茅,xiao'jin'mao
小蜡树,xiao'la'shu
小藜,xiao'li
小丽草,xiao'li'cao
小粒野稻,xiao'li'ye'dao
小蓼,xiao'liao
小露兜,xiao'lu'dou
小鹿藿,xiao'lu'huo
小毛兰,xiao'mao'lan
小盘木,xiao'pan'mu
肖蒲桃,xiao'pu'tao
小葡萄,xiao'pu'tao
小牵牛,xiao'qian'niu
小巧羊耳蒜,xiao'qiao'yang'er'suan
小茄,xiao'qie
小舌唇兰,xiao'she'chun'lan
小蛇根草,xiao'she'gen'cao
小舌菊,xiao'she'ju
小舌玉凤花,xiao'she'yu'feng'hua
小酸浆,xiao'suan'jiang
小穗砖子苗,xiao'sui'zhuan'zi'miao
肖藤仔,xiao'teng'zai
小牙草,xiao'ya'cao
小洋紫苏,xiao'yang'zi'su
小叶赤车,xiao'ye'chi'che
小叶地不容,xiao'ye'di'bu'rong
小叶杜茎山,xiao'ye'du'jing'shan
小叶红叶藤,xiao'ye'hong'ye'teng
小叶厚皮香,xiao'ye'hou'pi'xiang
小叶黄杞,xiao'ye'huang'qi
小叶寄树兰,xiao'ye'ji'shu'lan
小叶假糙苏,xiao'ye'jia'cao'su
小叶九里香,xiao'ye'jiu'li'xiang
小叶冷水花,xiao'ye'leng'shui'hua
小叶梨果寄生,xiao'ye'li'guo'ji'sheng
小叶李榄,xiao'ye'li'lan
小叶楼梯草,xiao'ye'lou'ti'cao
小叶罗汉松,xiao'ye'luo'han'song
小叶买麻藤,xiao'ye'mai'ma'teng
小叶米仔兰,xiao'ye'mi'zai'lan
小叶爬崖香,xiao'ye'pa'ya'xiang
小叶青藤仔,xiao'ye'qing'teng'zai
小叶三点金,xiao'ye'san'dian'jin
小叶散爵床,xiao'ye'san'jue'chuang
小叶水蓑花,xiao'ye'shui'suo'hua
小叶娃儿藤,xiao'ye'wa'er'teng
小叶乌饭树,xiao'ye'wu'fan'shu
小叶乌药,xiao'ye'wu'yao
小叶眼树莲,xiao'ye'yan'shu'lian
小鱼仙草,xiao'yu'xian'cao
小芸水,xiao'yun'shui
小紫金牛,xiao'zi'jin'niu
斜基粗叶木,xie'ji'cu'ye'mu
斜叫榕,xie'jiao'rong
斜脉暗罗,xie'mai'an'luo
斜叶蒟,xie'ye'ju
楔叶柃,xie'ye'ling
斜叶檀,xie'ye'tan
挟叶铁草鞋,xie'ye'tie'cao'xie
楔颖草,xie'ying'cao
