爱的升华,ai'de'sheng'hua
哭竹生笋,ku'zhu'sheng'sun
挎膀转,kua'bang'zhuan
夸城管,kua'cheng'guan
挎大板,kua'da'ban
夸哈尔滨,kua'ha'er'bin
挎筐,kua'kuang
夸女婿,kua'nv'xu
夸媳妇,kua'xi'fu
夸沼气,kua'zhao'qi
夸总编,kua'zong'bian
快板,kuai'ban
快板书,kuai'ban'shu
快活林,kuai'huo'lin
快开腔,kuai'kai'qiang
快用饭,kuai'yong'fan
奎木狼星,kui'mu'lang'xing
奎星垣,kui'xing'yuan
困朦胧,kun'meng'long
坤曲子,kun'qu'zi
阔步向前,kuo'bu'xiang'qian
拉把成人,la'ba'cheng'ren
喇叭牌子,la'ba'pai'zi
喇叭戏,la'ba'xi
拉长腔,la'chang'qiang
拉场戏,la'chang'xi
拉场戏集成,la'chang'xi'ji'cheng
拉肩,la'jian
拉锯,la'ju
拉君,la'jun
喇嘛甸公安分局,la'ma'dian'gong'an'fen'ju
辣妹子,la'mei'zi
辣嫂丢鸡,la'sao'diu'ji
拉衣裳,la'yi'shang
蜡渣黄,la'zha'huang
来帮忙,lai'bang'mang
来到此,lai'dao'ci
来得快,lai'de'kuai
来的全,lai'de'quan
来观看,lai'guan'kan
来几盅,lai'ji'zhong
来清,lai'qing
来为君,lai'wei'jun
来一场,lai'yi'chang
来用饭,lai'yong'fan
来招亲,lai'zhao'qin
拦车记,lan'che'ji
兰花先生,lan'hua'xian'sheng
兰花缘,lan'hua'yuan
懒牤子接媳妇,lan'mang'zi'jie'xi'fu
蓝桥会,lan'qiao'hui
郎刚,lang'gang
浪女回头,lang'nv'hui'tou
郎庆恒,lang'qing'heng
老菜子尽孝,lao'cai'zi'jin'xiao
老词老调,lao'ci'lao'diao
老鸹窝里飞出的金凤凰,lao'gua'wo'li'fei'chu'de'jin'feng'huang
老鸹窝里飞出的一只金凤凰,lao'gua'wo'li'fei'chu'de'yi'zhi'jin'feng'huang
老憨受罚,lao'han'shou'fa
老虎学艺,lao'hu'xue'yi
老回杯记,lao'hui'bei'ji
老将传宝,lao'jiang'chuan'bao
老两口戒毒,lao'liang'kou'jie'du
老两口养牛,lao'liang'kou'yang'niu
老两口争灯,lao'liang'kou'zheng'deng
老柳进城,lao'liu'jin'cheng
老妈开嗙调,lao'ma'kai'pang'diao
老年办主任,lao'nian'ban'zhu'ren
老牛钻山,lao'niu'zuan'shan
老少换妻,lao'shao'huan'qi
老鼠爱自然码,lao'shu'ai'zi'ran'ma
老树逢春,lao'shu'feng'chun
老太太背孩子,lao'tai'tai'bei'hai'zi
老田头看瓜,lao'tian'tou'kan'gua
老猪下凡逛肇源,lao'zhu'xia'fan'guang'zhao'yuan
老祖宗,lao'zu'zong
乐无穷,le'wu'qiong
泪悲啼,lei'bei'ti
雷承东,lei'cheng'dong
泪纷纷,lei'fen'fen
雷锋参军,lei'feng'can'jun
擂鼓战金山,lei'gu'zhan'jin'shan
泪涟涟,lei'lian'lian
泪满襟,lei'man'jin
李奥,li'ao
篱笆院,li'ba'yuan
篱笆院的故事,li'ba'yuan'de'gu'shi
李宝群,li'bao'qun
理不当,li'bu'dang
理不端,li'bu'duan
理不公,li'bu'gong
离长安,li'chang'an
李长春,li'chang'chun
李昌会,li'chang'hui
李长荣,li'chang'rong
李长生,li'chang'sheng
李朝军,li'chao'jun
李成和,li'cheng'he
李春利,li'chun'li
李春明,li'chun'ming
李翠华,li'cui'hua
李翠菊,li'cui'ju
李翠莲盘道,li'cui'lian'pan'dao
李大利,li'da'li
李大鹏,li'da'peng
李二嫂摔桃,li'er'sao'shuai'tao
理发姑娘,li'fa'gu'niang
里翻花,li'fan'hua
立翻扇,li'fan'shan
李芳巧得妻,li'fang'qiao'de'qi
李凤臣,li'feng'chen
李凤兰,li'feng'lan
李凤梅,li'feng'mei
李凤岐,li'feng'qi
李凤歧,li'feng'qi
李刚,li'gang
李故,li'gu
李桂香打柴,li'gui'xiang'da'chai
李桂仲,li'gui'zhong
里果,li'guo
李海,li'hai
李翰煜,li'han'yu
李浩仁,li'hao'ren
李洪富,li'hong'fu
李鸿霞,li'hong'xia
李华兵,li'hua'bing
李甲,li'jia
李甲宝,li'jia'bao
李家喜,li'jia'xi
李建刚,li'jian'gang
李江,li'jiang
李金宝,li'jin'bao
李金芳,li'jin'fang
李敬,li'jing
李静,li'jing
李景宽,li'jing'kuan
李君,li'jun
李逵夺鱼,li'kui'duo'yu
李昆峰,li'kun'feng
李雷,li'lei
李历友,li'li'you
立两旁,li'liang'pang
李琳,li'lin
李琳琳,li'lin'lin
狸猫换太子,li'mao'huan'tai'zi
李米东,li'mi'dong
李明明,li'ming'ming
李明珍,li'ming'zhen
李娜,li'na
理难容,li'nan'rong
里抛扇,li'pao'shan
李鹏飞,li'peng'fei
里片花,li'pian'hua
李青山,li'qing'shan
李庆双积肥,li'qing'shuang'ji'fei
李清义,li'qing'yi
李庆云,li'qing'yun
李青云,li'qing'yun
里绕花,li'rao'hua
李荣,li'rong
李三娘打水,li'san'niang'da'shui
力杀死门,li'sha'si'men
梨山圣母,li'shan'sheng'mu
里上甩花,li'shang'shuai'hua
李少先,li'shao'xian
理事,li'shi
李世勇,li'shi'yong
李士勇,li'shi'yong
李时雨,li'shi'yu
李世珍,li'shi'zhen
李士珍,li'shi'zhen
李淑静,li'shu'jing
李淑贤,li'shu'xian
梨树县地方戏剧团,li'shu'xian'di'fang'xi'ju'tuan
李松杰,li'song'jie
李泰,li'tai
李铁铭,li'tie'ming
里外绕花,li'wai'rao'hua
李威,li'wei
李微,li'wei
李唯中,li'wei'zhong
李唯忠,li'wei'zhong
李文高,li'wen'gao
李文国,li'wen'guo
李喜昌,li'xi'chang
里下甩花,li'xia'shuai'hua
李祥,li'xiang
李香莲卖画,li'xiang'lian'mai'hua
李孝存打虎,li'xiao'cun'da'hu
历小峰,li'xiao'feng
李小光,li'xiao'guang
李小林,li'xiao'lin
李晓玲,li'xiao'ling
李小明,li'xiao'ming
李晓权,li'xiao'quan
李小霞,li'xiao'xia
李晓霞,li'xiao'xia
李小宇,li'xiao'yu
李信赠剑,li'xin'zeng'jian
李学杰,li'xue'jie
隶雪梅吊孝,li'xue'mei'diao'xiao
李亚范,li'ya'fan
李艳慧,li'yan'hui
礼仪学校,li'yi'xue'xiao
李玉,li'yu
李月兰,li'yue'lan
李月明,li'yue'ming
李兆庭,li'zhao'ting
李政,li'zheng
立志篇,li'zhi'pian
李忠仁,li'zhong'ren
李忠堂,li'zhong'tang
立转绢,li'zhuan'juan
俩猫争妻,lia'mao'zheng'qi
莲花落,lian'hua'lao
连环板,lian'huan'ban
连环计,lian'huan'ji
廉凯,lian'kai
连口,lian'kou
连年参加,lian'nian'can'jia
连桥会,lian'qiao'hui
脸挺长,lian'ting'chang
脸无光,lian'wu'guang
连心袄,lian'xin'ao
连心豆,lian'xin'dou
连心曲,lian'xin'qu
两边分,liang'bian'fen
梁德双,liang'de'shuang
凉调,liang'diao
两朵小红花,liang'duo'xiao'hong'hua
两分离,liang'fen'li
两个心眼,liang'ge'xin'yan
梁华,liang'hua
两家春,liang'jia'chun
梁建华,liang'jian'hua
两狼山,liang'lang'shan
梁赛金擀面,liang'sai'jin'gan'mian
亮纱窗,liang'sha'chuang
梁山伯五更,liang'shan'bo'wu'geng
梁艳,liang'yan
两样礼物,liang'yang'li'wu
辽北二人转资料,liao'bei'er'ren'zhuan'zi'liao
辽寇,liao'kou
辽宁省二人转研究组,liao'ning'sheng'er'ren'zhuan'yan'jiu'zu
辽阳市地方戏剧团,liao'yang'shi'di'fang'xi'ju'tuan
列国曲子,lie'guo'qu'zi
列两旁,lie'liang'pang
列四方,lie'si'fang
列一旁,lie'yi'pang
林冲发配,lin'chong'fa'pei
林甸,lin'dian
林甸县龙江剧院副院长,lin'dian'xian'long'jiang'ju'yuan'fu'yuan'zhang
林甸县龙江剧院演员,lin'dian'xian'long'jiang'ju'yuan'yan'yuan
林甸县龙江剧院院长,lin'dian'xian'long'jiang'ju'yuan'yuan'zhang
林国斌,lin'guo'bin
林国瑞,lin'guo'rui
林国香,lin'guo'xiang
林教头风雪山神庙,lin'jiao'tou'feng'xue'shan'shen'miao
林铁锋,lin'tie'feng
临潼斗宝,lin'tong'dou'bao
林文田,lin'wen'tian
林义,lin'yi
另改更,ling'gai'geng
另婚配,ling'hun'pei
零口,ling'kou
玲珑塔,ling'long'ta
领腔,ling'qiang
灵霄殿,ling'xiao'dian
留板,liu'ban
刘宝同,liu'bao'tong
刘备招亲,liu'bei'zhao'qin
刘冰,liu'bing
刘长虎,liu'chang'hu
留丑名,liu'chou'ming
刘春红,liu'chun'hong
柳春桃,liu'chun'tao
刘春宇,liu'chun'yu
刘翠萍,liu'cui'ping
刘翠萍哭井,liu'cui'ping'ku'jing
刘大全,liu'da'quan
留恶名,liu'e'ming
刘二姐拴娃娃,liu'er'jie'shuan'wa'wa
刘峰,liu'feng
刘阜茂,liu'fu'mao
刘公案,liu'gong'an
刘关张,liu'guan'zhang
刘桂玉,liu'gui'yu
刘国泰,liu'guo'tai
刘贺,liu'he
柳河湾,liu'he'wan
刘红,liu'hong
刘洪芹,liu'hong'qin
刘会义,liu'hui'yi
刘会轶,liu'hui'yi
刘佳丽,liu'jia'li
刘家曲子,liu'jia'qu'zi
刘佳义,liu'jia'yi
刘家庄,liu'jia'zhuang
刘金定大破迷魂阵,liu'jin'ding'da'po'mi'hun'zhen
刘金定观星,liu'jin'ding'guan'xing
刘金定力杀四门,liu'jin'ding'li'sha'si'men
刘金定探病,liu'jin'ding'tan'bing
刘劲松,liu'jin'song
刘晶,liu'jing
刘晶杜蒙,liu'jing'du'meng
刘景文,liu'jing'wen
刘军,liu'jun
刘老根大舞台,liu'lao'gen'da'wu'tai
刘老根儿剧场,liu'lao'gen'er'ju'chang
刘姥姥,liu'lao'lao
刘姥姥还乡,liu'lao'lao'huan'xiang
刘伶醉酒,liu'ling'zui'jiu
溜溜光,liu'liu'guang
溜溜空,liu'liu'kong
留骂名,liu'ma'ming
留美名,liu'mei'ming
柳眉弯,liu'mei'wan
刘明山,liu'ming'shan
刘能,liu'neng
流派,liu'pai
六品官,liu'pin'guan
溜平地,liu'ping'di
刘庆林,liu'qing'lin
刘全,liu'quan
刘全进瓜,liu'quan'jin'gua
刘三姐,liu'san'jie
刘少义,liu'shao'yi
柳盛林,liu'sheng'lin
刘世昌,liu'shi'chang
刘士德,liu'shi'de
刘士信,liu'shi'xin
刘树岐,liu'shu'qi
刘书彰,liu'shu'zhang
刘四,liu'si
刘同勋私访,liu'tong'xun'si'fang
刘伟斌,liu'wei'bin
刘文福,liu'wen'fu
刘文红,liu'wen'hong
刘文生,liu'wen'sheng
刘文彤,liu'wen'tong
留下遗憾,liu'xia'yi'han
刘祥,liu'xiang
刘小光,liu'xiao'guang
刘新,liu'xin
柳兴斌,liu'xing'bin
刘雅卿,liu'ya'qing
刘艳,liu'yan
刘彦昆,liu'yan'kun
刘彦龙,liu'yan'long
刘艳琴,liu'yan'qin
刘艳芹,liu'yan'qin
刘延山,liu'yan'shan
刘洋,liu'yang
刘义,liu'yi
柳毅传书,liu'yi'chuan'shu
刘莹,liu'ying
刘颖,liu'ying
柳迎春守寒窑,liu'ying'chun'shou'han'yao
榴迎夫夺寒窑,liu'ying'fu'duo'han'yao
刘英男,liu'ying'nan
刘永强,liu'yong'qiang
刘玉兰,liu'yu'lan
刘玉林,liu'yu'lin
刘玉术,liu'yu'shu
刘玉树,liu'yu'shu
刘毓馨,liu'yu'xin
刘玉学,liu'yu'xue
六月雪,liu'yue'xue
刘云打母,liu'yun'da'mu
刘云鹏,liu'yun'peng
刘占峰,liu'zhan'feng
柳展雄抢亲,liu'zhan'xiong'qiang'qin
柳庄,liu'zhuang
龙滨剧团,long'bin'ju'tuan
龙耳听,long'er'ting
龙凤关,long'feng'guan
龙凤配,long'feng'pei
龙凤区,long'feng'qu
龙凤小印刷厂,long'feng'xiao'yin'shua'chang
龙江大板,long'jiang'da'ban
龙江剧,long'jiang'ju
龙江剧院,long'jiang'ju'yuan
龙江县民间艺术团,long'jiang'xian'min'jian'yi'shu'tuan
龙马归槽,long'ma'gui'cao
龙南牡丹亭休闲吧,long'nan'mu'dan'ting'xiu'xian'ba
龙心喜,long'xin'xi
漏风声,lou'feng'sheng
喽啰兵,lou'luo'bing
楼台会,lou'tai'hui
娄玉春,lou'yu'chun
楼遇春,lou'yu'chun
鲁达除霸,lu'da'chu'ba
芦花记,lu'hua'ji
露泪缘,lu'lei'yuan
鲁民富,lu'min'fu
路途景,lu'tu'jing
卢维庆,lu'wei'qing
陆宪文,lu'xian'wen
路小波,lu'xiao'bo
陆小波,lu'xiao'bo
陆媛媛,lu'yuan'yuan
乱朝政,luan'chao'zheng
栾继承,luan'ji'cheng
栾小燕,luan'xiao'yan
栾晓燕,luan'xiao'yan
论文,lun'wen
论新兴剧种音乐建设,lun'xin'xing'ju'zhong'yin'le'jian'she
论新兴剧种音乐建设,lun'xin'xing'ju'zhong'yin'yue'jian'she
罗成,luo'cheng
罗成打擂,luo'cheng'da'lei
罗成跪楼,luo'cheng'gui'lou
罗成叫关,luo'cheng'jiao'guan
罗成卖线,luo'cheng'mai'xian
罗成算卦,luo'cheng'suan'gua
罗成托梦,luo'cheng'tuo'meng
罗锅子抢亲,luo'guo'zi'qiang'qin
罗明林,luo'ming'lin
罗裙记,luo'qun'ji
罗士信,luo'shi'xin
啰嗦五更,luo'suo'wu'geng
落下泪,luo'xia'lei
洛阳桥,luo'yang'qiao
罗章跪楼,luo'zhang'gui'lou
吕斌,lv'bin
吕痴,lv'chi
吕从旭,lv'cong'xu
吕大雁,lv'da'yan
吕洪斌,lv'hong'bin
吕鸿章,lv'hong'zhang
吕蒙正赶斋,lv'meng'zheng'gan'zhai
吕蒙正教学,lv'meng'zheng'jiao'xue
吕奇,lv'qi
吕淑媛,lv'shu'yuan
吕文东,lv'wen'dong
吕晓芬,lv'xiao'fen
吕兴友,lv'xing'you
吕英,lv'ying
马岱山,ma'dai'shan
马冬梅,ma'dong'mei
吗啡针,ma'fei'zhen
马寡妇,ma'gua'fu
马寡妇开店,ma'gua'fu'kai'dian
麻贵赏,ma'gui'shang
骂几声,ma'ji'sheng
马健,ma'jian
马缰绳,ma'jiang'sheng
马捷,ma'jie
马金屏,ma'jin'ping
马老大推磨,ma'lao'da'tui'mo
马力,ma'li
麻丽娜,ma'li'na
妈妈糊涂,ma'ma'hu'tu
妈妈会,ma'ma'hui
马普安,ma'pu'an
马前泼水,ma'qian'po'shui
马全山,ma'quan'shan
马双印,ma'shuang'yin
马桃红,ma'tao'hong
马跳潭溪,ma'tiao'tan'xi
马小会,ma'xiao'hui
马秀芳,ma'xiu'fang
骂鸭,ma'ya
马莹,ma'ying
蚂蚱算卦,ma'zha'suan'gua
马者大推磨,ma'zhe'da'tui'mo
买菜卖菜,mai'cai'mai'cai
卖大布,mai'da'bu
买对联,mai'dui'lian
卖瓜记,mai'gua'ji
买嫁妆,mai'jia'zhuang
卖了孙贤,mai'le'sun'xian
买毛驴,mai'mao'lv
买牛记,mai'niu'ji
卖肉的唱手,mai'rou'de'chang'shou
卖身葬父,mai'shen'zang'fu
埋汰口,mai'tai'kou
卖蟹,mai'xie
卖药追药,mai'yao'zhui'yao
卖油郎,mai'you'lang
买鱼,mai'yu
卖猪羔儿,mai'zhu'gao'er
卖子孙贤,mai'zi'sun'xian
慢板,man'ban
慢打快唱,man'da'kuai'chang
慢三眼,man'san'yan
满山红,man'shan'hong
满天飞板,man'tian'fei'ban
慢西城,man'xi'cheng
慢中紧,man'zhong'jin
忙搭躬,mang'da'gong
忙跪倒,mang'gui'dao
莽黄袍,mang'huang'pao
忙回话,mang'hui'hua
忙拣起,mang'jian'qi
忙开口,mang'kai'kou
忙牛阵,mang'niu'zhen
忙赔礼,mang'pei'li
忙施礼,mang'shi'li
忙下轿,mang'xia'jiao
忙追赶,mang'zhui'gan
毛春和,mao'chun'he
毛戈平,mao'ge'ping
毛军,mao'jun
没唱好,mei'chang'hao
没搭上,mei'da'shang
美发姑娘,mei'fa'gu'niang
美凤楼,mei'feng'lou
美风楼,mei'feng'lou
没个完,mei'ge'wan
美猴王,mei'hou'wang
美娇娘,mei'jiao'niang
没脸见人,mei'lian'jian'ren
没能入学,mei'neng'ru'xue
美女思情,mei'nv'si'qing
美人查关,mei'ren'cha'guan
没影踪,mei'ying'zong
没用餐,mei'yong'can
没用饭,mei'yong'fan
美又鲜,mei'you'xian
没踪影,mei'zong'ying
门上闩,men'shang'shuan
门外看,men'wai'kan
孟凡杰,meng'fan'jie
孟凡武,meng'fan'wu
孟姜女寻夫,meng'jiang'nv'xun'fu
孟丽娟,meng'li'juan
孟欣,meng'xin
孟兆林,meng'zhao'lin
梦中寻夫,meng'zhong'xun'fu
蜜蜂记,mi'feng'ji
迷魂阵,mi'hun'zhen
密建游宫,mi'jian'you'gong
蜜牌调,mi'pai'diao
糜氏托孤,mi'shi'tuo'gu
秘书长为理事会秘书长,mi'shu'zhang'wei'li'shi'hui'mi'shu'zhang
糜子,mi'zi
面带笑,mian'dai'xiao
面前存,mian'qian'cun
面前迎,mian'qian'ying
面子,mian'zi
苗俊英,miao'jun'ying
苗中一,miao'zhong'yi
民富,min'fu
民国律,min'guo'lv
民间全本古戏,min'jian'quan'ben'gu'xi
民政新歌唱不完,min'zheng'xin'ge'chang'bu'wan
民族管乐演奏技巧初探,min'zu'guan'yue'yan'zou'ji'qiao'chu'tan
明辨是非,ming'bian'shi'fei
命残生,ming'can'sheng
酩酊醉,ming'ding'zui
命归阴,ming'gui'yin
名将名唱,ming'jiang'ming'chang
明礼仪,ming'li'yi
命倾,ming'qing
名声扬,ming'sheng'yang
明天,ming'tian
明一明,ming'yi'ming
命由天,ming'you'tian
名誉副主席,ming'yu'fu'zhu'xi
名誉顾问,ming'yu'gu'wen
名誉理事,ming'yu'li'shi
明月照高楼,ming'yue'zhao'gao'lou
名主持人,ming'zhu'chi'ren
摸鬓边子,mo'bin'bian'zi
摸鬓圈子,mo'bin'quan'zi
莫担惊,mo'dan'jing
磨房产子,mo'fang'chan'zi
茉莉花,mo'li'hua
默默地做了,mo'mo'di'zuo'le
莫心伤,mo'xin'shang
摸一把,mo'yi'ba
牡丹江群艺馆,mu'dan'jiang'qun'yi'guan
穆桂英,mu'gui'ying
穆桂英搬兵,mu'gui'ying'ban'bing
穆桂英大破天门阵,mu'gui'ying'da'po'tian'men'zhen
穆桂英赔情,mu'gui'ying'pei'qing
穆桂英指路,mu'gui'ying'zhi'lu
穆柯寨,mu'ke'zhai
木兰从军,mu'lan'cong'jun
木兰归来,mu'lan'gui'lai
木兰荣归,mu'lan'rong'gui
目莲救母,mu'lian'jiu'mu
母女顶嘴,mu'nv'ding'zui
母贤子孝,mu'xian'zi'xiao
穆学彬,mu'xue'bin
牧之羊,mu'zhi'yang
母子比武,mu'zi'bi'wu
母子情,mu'zi'qing
哪般,na'ban
那炳臣,na'bing'chen
哪府并哪县,na'fu'bing'na'xian
拿过省以上一等奖,na'guo'sheng'yi'shang'yi'deng'jiang
那海涛,na'hai'tao
拿手心,na'shou'xin
那树绵,na'shu'mian
那树森,na'shu'sen
拿完毕,na'wan'bi
拿蝎子,na'xie'zi
哪一个,na'yi'ge
拿章程,na'zhang'cheng
拿主张,na'zhu'zhang
奈何妨,nai'he'fang
南北和,nan'bei'he
南北和西东,nan'bei'he'xi'dong
南郭学艺,nan'guo'xue'yi
男和女,nan'he'nv
难讲话,nan'jiang'hua
难开张,nan'kai'zhang
男靠浪北靠唱,nan'kao'lang'bei'kao'chang
南靠浪北靠唱西讲板头东耍棒,nan'kao'lang'bei'kao'chang'xi'jiang'ban'tou'dong'shua'bang
男女篇,nan'nv'pian
南唐报号,nan'tang'bao'hao
难睁眼,nan'zheng'yan
闹掰扯,nao'bai'che
铙钹,nao'bo
闹仓库,nao'cang'ku
闹洞房,nao'dong'fang
闹公堂,nao'gong'tang
闹荒旱,nao'huang'han
闹酒桌,nao'jiu'zhuo
闹毛鱼塘,nao'mao'yu'tang
闹南监,nao'nan'jian
闹碾房,nao'nian'fang
闹三辈儿,nao'san'bei'er
闹洋洋,nao'yang'yang
闹鱼塘,nao'yu'tang
闹元宵,nao'yuan'xiao
讷河艺术团团长,ne'he'yi'shu'tuan'tuan'zhang
能掐会算,neng'qia'hui'suan
你当我是哪一个,ni'dang'wo'shi'na'yi'ge
尼姑思凡,ni'gu'si'fan
尼姑下山,ni'gu'xia'shan
你老听,ni'lao'ting
倪梦达,ni'meng'da
倪世瑞,ni'shi'rui
你是听,ni'shi'ting
你听言,ni'ting'yan
你听真,ni'ting'zhen
你听知,ni'ting'zhi
你细听,ni'xi'ting
辇宝江,nian'bao'jiang
撵爹争爹,nian'die'zheng'die
念诗篇,nian'shi'pian
念书篇,nian'shu'pian
念一遍,nian'yi'bian
捏耳环子,nie'er'huan'zi
拧步,ning'bu
宁舍一顿饭不舍二人转,ning'she'yi'dun'fan'bu'she'er'ren'zhuan
宁武关,ning'wu'guan
宁振英,ning'zhen'ying
牛得财告状,niu'de'cai'gao'zhuang
牛皋招亲,niu'gao'zhao'qin
牛郎织女,niu'lang'zhi'nv
扭位,niu'wei
扭腰,niu'yao
扭腰晃,niu'yao'huang
牛正江,niu'zheng'jiang
农村好风光,nong'cun'hao'feng'guang
农村剧团,nong'cun'ju'tuan
农行赞歌,nong'hang'zan'ge
奴在婆家受折磨,nu'zai'po'jia'shou'zhe'mo
女钗裙,nv'chai'qun
女队长,nv'dui'zhang
女红妆,nv'hong'zhuang
女花容,nv'hua'rong
女娇娘,nv'jiao'niang
女开店,nv'kai'dian
女排赞,nv'pai'zan
女人也很色,nv'ren'ye'hen'se
女善人,nv'shan'ren
女贤良,nv'xian'liang
欧阳秀芝,ou'yang'xiu'zhi
怕的是,pa'de'shi
爬墙头,pa'qiang'tou
拍门板,pai'men'ban
潘长江,pan'chang'jiang
潘大鹏,pan'da'peng
潘德福,pan'de'fu
潘桂梅,pan'gui'mei
潘丽杰,pan'li'jie
潘立文,pan'li'wen
攀亲家,pan'qin'jia
盼情郎,pan'qing'lang
盼情人,pan'qing'ren
盼孙子,pan'sun'zi
蟠桃会,pan'tao'hui
盼团圆,pan'tuan'yuan
盼五更,pan'wu'geng
潘杨姻缘,pan'yang'yin'yuan
潘永贵,pan'yong'gui
潘永翔,pan'yong'xiang
庞大的关系网,pang'da'de'guan'xi'wang
旁翻扇,pang'fan'shan
庞奉,pang'feng
旁立片花,pang'li'pian'hua
旁踢步,pang'ti'bu
庞小峰,pang'xiao'feng
旁展扭,pang'zhan'niu
庞壮国,pang'zhuang'guo
跑关东,pao'guan'dong
袍袖装,pao'xiu'zhuang
裴富,pei'fu
配夫君,pei'fu'jun
配夫男,pei'fu'nan
配夫妻,pei'fu'qi
赔牛,pei'niu
培养弟子,pei'yang'di'zi
裴兆祥,pei'zhao'xiang
彭放,peng'fang
碰肘相,peng'zhou'xiang
捧子劝夫,peng'zi'quan'fu
劈山救母,pi'shan'jiu'mu
片袖,pian'xiu
撇撇嘴,pie'pie'zui
贫寒五更,pin'han'wu'geng
平川地,ping'chuan'de
平蹬步,ping'deng'bu
平调,ping'diao
平翻扇,ping'fan'shan
平口,ping'kou
评口,ping'kou
评模范,ping'mo'fan
平抛绢,ping'pao'juan
平抛扇,ping'pao'shan
平腕,ping'wan
破镜重圆,po'jing'chong'yuan
颇具艺术天赋,po'ju'yi'shu'tian'fu
破烂厂长,po'lan'chang'zhang
破瓦寒窑,po'wa'han'yao
婆媳顶嘴,po'xi'ding'zui
破衣裳,po'yi'shang
破阵,po'zhen
铺地锦,pu'di'jin
扑蝠,pu'fu
扑蝴蝶,pu'hu'die
葡萄姻缘,pu'tao'yin'yuan
噗通,pu'tong
扑外弦,pu'wai'xian
气冲天,qi'chong'tian
齐春祥,qi'chun'xiang
齐二嫂串门,qi'er'sao'chuan'men
起个名,qi'ge'ming
杞姑思凡,qi'gu'si'fan
弃官寻母,qi'guan'xun'mu
齐跪倒,qi'gui'dao
戚浩,qi'hao
气红眼,qi'hong'yan
祁景芳,qi'jing'fang
起空云,qi'kong'yun
气口,qi'kou
齐兰亭,qi'lan'ting
七品官,qi'pin'guan
七人贤,qi'ren'xian
七色花,qi'se'hua
七十二咳咳,qi'shi'er'hai'hai
七岁红,qi'sui'hong
齐天大圣,qi'tian'da'sheng
奇文,qi'wen
齐文革,qi'wen'ge
气眼红,qi'yan'hong
奇冤梦,qi'yuan'meng
七月七,qi'yue'qi
器乐曲牌,qi'yue'qu'pai
起在空,qi'zai'kong
齐中,qi'zhong
千般好,qian'ban'hao
前后扭,qian'hou'niu
前后绕花,qian'hou'rao'hua
千斤重,qian'jin'zhong
千斤坠,qian'jin'zhui
千军万马全靠咱俩,qian'jun'wan'ma'quan'kao'zan'lia
前立片花,qian'li'pian'hua
千里送京娘,qian'li'song'jing'niang
千两银,qian'liang'yin
乾隆下江南,qian'long'xia'jiang'nan
前碰玉子,qian'peng'yu'zi
千千万,qian'qian'wan
前绕花,qian'rao'hua
钱是爹,qian'shi'die
前踢步,qian'ti'bu
前展扭,qian'zhan'niu
千张纸,qian'zhang'zhi
抢板夺句,qiang'ban'duo'ju
墙豁,qiang'huo
墙头记,qiang'tou'ji
巧扳桩,qiao'ban'zhuang
巧合,qiao'he
巧机关,qiao'ji'guan
巧计生,qiao'ji'sheng
巧结鸳鸯,qiao'jie'yuan'yang
俏口,qiao'kou
瞧情郎,qiao'qing'lang
俏僧尼,qiao'seng'ni
乔书贵,qiao'shu'gui
巧梳妆,qiao'shu'zhuang
桥头会,qiao'tou'hui
巧嘴儿,qiao'zui'er
且不表,qie'bu'biao
切身,qie'shen
亲儿女,qin'er'nv
秦洪义,qin'hong'yi
秦梦兰出嫁,qin'meng'lan'chu'jia
秦明石,qin'ming'shi
秦琼卖马,qin'qiong'mai'ma
秦香莲,qin'xiang'lian
秦香莲告状,qin'xiang'lian'gao'zhuang
秦雪梅,qin'xue'mei
秦雪梅吊孝,qin'xue'mei'diao'xiao
秦志平,qin'zhi'ping
秦仲,qin'zhong
清板,qing'ban
青菜段,qing'cai'duan
青菜名,qing'cai'ming
请东家,qing'dong'jia
庆功楼,qing'gong'lou
清官断,qing'guan'duan
晴了天,qing'le'tian
清烈传,qing'lie'chuan
清门,qing'men
青年作家,qing'nian'zuo'jia
情人迷,qing'ren'mi
青山育秀,qing'shan'yu'xiu
青石山,qing'shi'shan
情五更,qing'wu'geng
清新雅韵,qing'xin'ya'yun
情缘,qing'yuan
穷富论,qiong'fu'lun
求功名,qiu'gong'ming
邱利铮,qiu'li'zheng
邱立铮,qiu'li'zheng
求情,qiu'qing
求师,qiu'shi
邱文,qiu'wen
去从良,qu'cong'liang
去存身,qu'cun'shen
娶姑娘,qu'gu'niang
去喊冤,qu'han'yuan
去交令,qu'jiao'ling
曲联体,qu'lian'ti
曲敏,qu'min
曲谱本二人转,qu'pu'ben'er'ren'zhuan
去请,qu'qing
去求官,qu'qiu'guan
去逃荒,qu'tao'huang
去望风,qu'wang'feng
曲喜玲,qu'xi'ling
去歇凉,qu'xie'liang
曲艺,qu'yi
曲艺活动,qu'yi'huo'dong
曲艺集,qu'yi'ji
曲艺卷,qu'yi'juan
曲艺新作选,qu'yi'xin'zuo'xuan
曲艺演员,qu'yi'yan'yuan
曲艺作品征文获奖名单,qu'yi'zuo'pin'zheng'wen'huo'jiang'ming'dan
曲远强,qu'yuan'qiang
去征战,qu'zheng'zhan
取之不尽用之不绝的山野菜,qu'zhi'bu'jin'yong'zhi'bu'jue'de'shan'ye'cai
全钵,quan'bo
全德报,quan'de'bao
劝夫郎,quan'fu'lang
