阿维,a'a
鼠神经生长因子,shu'shen'jing'sheng'zhang'yin'zi
舒欣安环磷腺甘葡胺,shu'xin'an'huan'lin'xian'gan'pu'an
舒血宁针,shu'xue'ning'zhen
疏血通,shu'xue'tong
双迪胶囊,shuang'di'jiao'nang
双酚伪麻糖浆,shuang'fen'wei'ma'tang'jiang
双克,shuang'ke
双克因,shuang'ke'yin
双氯酚酸钠,shuang'lv'fen'suan'na
双氯芬酸钠缓释,shuang'lv'fen'suan'na'huan'shi
双氯芬酸钠缓释片,shuang'lv'fen'suan'na'huan'shi'pian
双嘧达莫片,shuang'mi'da'mo'pian
双氢麦角毒碱片,shuang'qing'mai'jiao'du'jian'pian
双星明,shuang'xing'ming
双氧水,shuang'yang'shui
双唑泰泡腾片,shuang'zuo'tai'pao'teng'pian
双唑肽栓,shuang'zuo'tai'shuan
双唑癣药水,shuang'zuo'xuan'yao'shui
水合氯醛,shui'he'lv'quan
水溶性维生素力维生,shui'rong'xing'wei'sheng'su'li'wei'sheng
水杨酸擦剂,shui'yang'suan'ca'ji
水针孚泰,shui'zhen'fu'tai
顺铂,shun'bo
顺铂冻干,shun'bo'dong'gan
顺铂氯化钠,shun'bo'lv'hua'na
四环素眼膏,si'huan'su'yan'gao
思吉宁片,si'ji'ning'pian
司可林,si'ke'lin
斯利安,si'li'an
思力华,si'li'hua
思连康普乐拜尔片,si'lian'kang'pu'le'bai'er'pian
丝裂霉素,si'lie'mei'su
斯林齐针,si'lin'qi'zhen
司迈特颗粒,si'mai'te'ke'li
思密达冲剂,si'mi'da'chong'ji
司帕沙星胶囊世保福,si'pa'sha'xing'jiao'nang'shi'bao'fu
斯皮仁诺,si'pi'ren'nuo
斯曲帝,si'qu'di
斯坦啶,si'tan'ding
司坦唑醇片,si'tan'zuo'chun'pian
斯替吡,si'ti'bi
松节油,song'jie'you
松梅乐,song'mei'le
素高捷疗眼膏,su'gao'jie'liao'yan'gao
苏克,su'ke
速尿,su'niao
苏为坦眼水,su'wei'tan'yan'shui
速效救心丸,su'xiao'jiu'xin'wan
速效伤风片,su'xiao'shang'feng'pian
羧苄西林钠,suo'bian'xi'lin'na
缩宫素,suo'gong'su
缩宫素粉针,suo'gong'su'fen'zhen
缩合葡萄糖,suo'he'pu'tao'tang
索他洛尔,suo'ta'luo'er
他巴唑,ta'ba'zuo
他莫比长春地辛,ta'mo'bi'chang'chun'di'xin
泰必利,tai'bi'li
太尔登,tai'er'deng
太极通天液,tai'ji'tong'tian'ye
泰来肽,tai'lai'tai
泰勒宁胶囊,tai'le'ning'jiao'nang
泰能,tai'neng
太宁栓,tai'ning'shuan
胎盘组织液,tai'pan'zu'zhi'ye
泰索帝,tai'suo'di
碳酸锂,tan'suan'li
碳酸氢钠,tan'suan'qing'na
坦通胶囊,tan'tong'jiao'nang
汤尼威克林霉素磷酸酯葡萄糖,tang'ni'wei'ke'lin'mei'su'lin'suan'zhi'pu'tao'tang
糖适平,tang'shi'ping
特比萘芬片,te'bi'nai'fen'pian
特比萘芬软膏,te'bi'nai'fen'ruan'gao
特布他林气雾剂,te'bu'ta'lin'qi'wu'ji
特尔立国产,te'er'li'guo'chan
特福猛针,te'fu'meng'zhen
特拉唑嗪,te'la'zuo'qin
特灭菌,te'mie'jun
替加氟艾愈速,ti'jia'fu'ai'yu'su
替加氟针,ti'jia'fu'zhen
替甲氟针,ti'jia'fu'zhen
替普酮胶囊,ti'pu'tong'jiao'nang
替硝唑,ti'xiao'zuo
替硝唑胶囊,ti'xiao'zuo'jiao'nang
替硝唑片,ti'xiao'zuo'pian
替硝唑注射液,ti'xiao'zuo'zhu'she'ye
田参氨基酸胶囊,tian'can'an'ji'suan'jiao'nang
恬尔心,tian'er'xin
恬尔欣针,tian'er'xin'zhen
天菌利片,tian'jun'li'pian
天凯,tian'kai
天罗针,tian'luo'zhen
天麻注射液,tian'ma'zhu'she'ye
天普洛安,tian'pu'luo'an
跳骨片,tiao'gu'pian
酮康唑软膏,tong'kang'zuo'ruan'gao
统克美洛昔康,tong'ke'mei'luo'xi'kang
酮替芬,tong'ti'fen
酮替芬滴鼻液,tong'ti'fen'di'bi'ye
酮替酚片,tong'ti'fen'pian
头孢氨苄,tou'bao'an'bian
头孢氨苄片,tou'bao'an'bian'pian
头饱吡肟,tou'bao'bi'wo
头孢吡肟,tou'bao'bi'wo
头孢泊肟酯,tou'bao'bo'wo'zhi
头孢地嗪,tou'bao'di'qin
头孢呋辛,tou'bao'fu'xin
头孢呋辛钠,tou'bao'fu'xin'na
头孢呋辛钠亚星,tou'bao'fu'xin'na'ya'xing
头孢呋辛针凯蒂欣,tou'bao'fu'xin'zhen'kai'di'xin
头孢甲肟,tou'bao'jia'wo
头孢克洛咀嚼片,tou'bao'ke'luo'ju'jue'pian
头孢克洛颗粒,tou'bao'ke'luo'ke'li
头孢克肟干混悬剂,tou'bao'ke'wo'gan'hun'xuan'ji
头孢克肟颗粒,tou'bao'ke'wo'ke'li
头胞拉定混悬剂,tou'bao'la'ding'hun'xuan'ji
头孢雷定,tou'bao'lei'ding
头孢硫咪针,tou'bao'liu'mi'zhen
头孢咪诺,tou'bao'mi'nuo
头孢米诺钠卓信,tou'bao'mi'nuo'na'zhuo'xin
头孢尼西钠,tou'bao'ni'xi'na
头孢尼西钠先狄,tou'bao'ni'xi'na'xian'di
头孢哌酮,tou'bao'pai'tong
头孢哌酮钠舒巴坦,tou'bao'pai'tong'na'shu'ba'tan
头孢匹胺钠,tou'bao'pi'an'na
头孢匹罗,tou'bao'pi'luo
头孢羟基氨苄,tou'bao'qiang'ji'an'bian
头孢曲松钠,tou'bao'qu'song'na
头孢噻吩钠,tou'bao'sai'fen'na
头孢噻肟海复讯,tou'bao'sai'wo'hai'fu'xun
头孢噻肟钠,tou'bao'sai'wo'na
头孢塞肟钠,tou'bao'sai'wo'na
头孢噻圬舒巴坦,tou'bao'sai'wu'shu'ba'tan
头饱他啶,tou'bao'ta'ding
头孢他啶丽珠锐欣,tou'bao'ta'ding'li'zhu'rui'xin
头孢他啶泰,tou'bao'ta'ding'tai
头孢他啶先定,tou'bao'ta'ding'xian'ding
头孢他啶新安欣,tou'bao'ta'ding'xin'an'xin
头孢他美酯混悬剂,tou'bao'ta'mei'zhi'hun'xuan'ji
头孢他美酯颗粒,tou'bao'ta'mei'zhi'ke'li
头孢他美酯珍良,tou'bao'ta'mei'zhi'zhen'liang
头孢替胺,tou'bao'ti'an
头孢替安替他欣,tou'bao'ti'an'ti'ta'xin
头孢替唑,tou'bao'ti'zuo
头孢替唑钠,tou'bao'ti'zuo'na
头孢唑啉,tou'bao'zuo'lin
头孢唑肟,tou'bao'zuo'wo
头孢唑肟钠,tou'bao'zuo'wo'na
透明质酸酶,tou'ming'zhi'suan'mei
土霉素,tu'mei'su
托吡卡胺眼液,tuo'bi'ka'an'yan'ye
妥布霉素眼液,tuo'bu'mei'su'yan'ye
妥卡律,tuo'ka'lv
托拉噻咪片,tuo'la'sai'mi'pian
托马克,tuo'ma'ke
托米伦片,tuo'mi'lun'pian
托普霉素,tuo'pu'mei'su
妥泰片,tuo'tai'pian
托烷司琼葡萄糖,tuo'wan'si'qiong'pu'tao'tang
托西舒他西林思海能,tuo'xi'shu'ta'xi'lin'si'hai'neng
妥欣,tuo'xin
瓦松栓,wa'song'shuan
万邦笔,wan'bang'bi
万夫洛门冬酸洛美沙星,wan'fu'luo'men'dong'suan'luo'mei'sha'xing
万古霉素,wan'gu'mei'su
万苏平片,wan'su'ping'pian
万托林沙丁胺醇气雾剂,wan'tuo'lin'sha'ding'an'chun'qi'wu'ji
万文,wan'wen
万迅,wan'xun
万逸阿魏酸钠,wan'yi'a'wei'suan'na
维胺酯胶囊,wei'an'zhi'jiao'nang
维胺酯乳膏,wei'an'zhi'ru'gao
维博奇,wei'bo'qi
维旦通,wei'dan'tong
伟迪捷针,wei'di'jie'zhen
胃复安,wei'fu'an
维固力,wei'gu'li
维甲酸片,wei'jia'suan'pian
维甲酸软膏,wei'jia'suan'ruan'gao
胃镜胶,wei'jing'jiao
威克,wei'ke
维库溴胺,wei'ku'xiu'an
维力安,wei'li'an
胃酶合剂,wei'mei'he'ji
威猛,wei'meng
胃膜素胶囊,wei'mo'su'jiao'nang
维脑,wei'nao
维瑙健甲氯芬酯针,wei'nao'jian'jia'lv'fen'zhi'zhen
维脑路通,wei'nao'lu'tong
维能康,wei'neng'kang
维诺欣针,wei'nuo'xin'zhen
维生素,wei'sheng'e
维生素烟酸酯,wei'sheng'e'yan'suan'zhi
韦司平脑蛋白水解物,wei'si'ping'nao'dan'bai'shui'jie'wu
维思肽,wei'si'tai
威他霉素,wei'ta'mei'su
无环鸟苷软膏,wu'huan'niao'gan'ruan'gao
无环鸟苷眼水,wu'huan'niao'gan'yan'shui
戊酸雌二醇,wu'suan'ci'er'chun
乌体林斯,wu'ti'lin'si
乌头注射液,wu'tou'zhu'she'ye
五维赖氨酸颗粒,wu'wei'lai'an'suan'ke'li
细胞生长肽,xi'bao'sheng'zhang'tai
西比灵,xi'bi'ling
洗必泰栓,xi'bi'tai'shuan
洗必泰液,xi'bi'tai'ye
喜得镇片,xi'de'zhen'pian
西地碘片,xi'di'dian'pian
稀碘酊,xi'dian'ding
喜典针,xi'dian'zhen
希尔生,xi'er'sheng
西利宾胺片,xi'li'bin'an'pian
希力舒,xi'li'shu
希罗达片,xi'luo'da'pian
西洛他唑片,xi'luo'ta'zuo'pian
西咪替丁片,xi'mi'ti'ding'pian
西咪替丁针,xi'mi'ti'ding'zhen
喜普妙,xi'pu'miao
希普欣,xi'pu'xin
西沙必利,xi'sha'bi'li
西沙比利混悬液,xi'sha'bi'li'hun'xuan'ye
吸收性明胶海绵,xi'shou'xing'ming'jiao'hai'mian
息斯敏,xi'si'min
玺太,xi'tai
西替利嗪,xi'ti'li'qin
西替利嗪分散片喜宁,xi'ti'li'qin'fen'san'pian'xi'ning
喜炎平针,xi'yan'ping'zhen
稀盐酸,xi'yan'suan
息隐,xi'yin
西之达,xi'zhi'da
西之达京必舒新,xi'zhi'da'jing'bi'shu'xin
先必先头孢哌酮钠,xian'bi'xian'tou'bao'pai'tong'na
先锋必素,xian'feng'bi'su
先锋号,xian'feng'hao
先锋霉素,xian'feng'mei'su
腺苷针,xian'gan'zhen
先凌头孢他啶,xian'ling'tou'bao'ta'ding
先嗪,xian'qin
先清,xian'qing
先瑞胶囊,xian'rui'jiao'nang
先舒,xian'shu
仙特明,xian'te'ming
纤维蛋白原,xian'wei'dan'bai'yuan
显影葡胺针,xian'ying'pu'an'zhen
香菇多糖片,xiang'gu'duo'tang'pian
香菇多糖针,xiang'gu'duo'tang'zhen
消癌平针,xiao'ai'ping'zhen
小儿复方氨基酸,xiao'er'fu'fang'an'ji'suan
小儿速效感冒颗粒,xiao'er'su'xiao'gan'mao'ke'li
小儿消炎灵冲剂,xiao'er'xiao'yan'ling'chong'ji
硝卡芥针,xiao'ka'jie'zhen
消糜栓,xiao'mi'shuan
小牛血清去蛋白针,xiao'niu'xue'qing'qu'dan'bai'zhen
小牛血去蛋白新威泰,xiao'niu'xue'qu'dan'bai'xin'wei'tai
小诺霉素,xiao'nuo'mei'su
硝普钠,xiao'pu'na
硝酸粉针,xiao'suan'fen'zhen
硝酸甘油,xiao'suan'gan'you
硝酸甘油片,xiao'suan'gan'you'pian
硝酸甘油贴膜,xiao'suan'gan'you'tie'mo
硝酸咪康唑胶囊,xiao'suan'mi'kang'zuo'jiao'nang
硝酸异山梨酯缓释片,xiao'suan'yi'shan'li'zhi'huan'shi'pian
硝酸异山梨酯葡萄糖,xiao'suan'yi'shan'li'zhi'pu'tao'tang
消脱止片,xiao'tuo'zhi'pian
消心痛,xiao'xin'tong
消心痛片,xiao'xin'tong'pian
消炎利胆,xiao'yan'li'dan
消炎疼栓,xiao'yan'teng'shuan
消炎痛擦剂,xiao'yan'tong'ca'ji
销银片,xiao'yin'pian
消疣灵,xiao'you'ling
缬沙坦片,xie'sha'tan'pian
信奥肠溶片,xin'ao'chang'rong'pian
信步,xin'bu
辛伐他啶,xin'fa'ta'ding
辛伐他汀片,xin'fa'ta'ting'pian
新福菌素针,xin'fu'jun'su'zhen
新洁尔灭,xin'jie'er'mie
新境界骨瓜提取物,xin'jing'jie'gu'gua'ti'qu'wu
新菌必治粉针,xin'jun'bi'zhi'fen'zhen
欣康缓释片,xin'kang'huan'shi'pian
信力威头孢吡胺,xin'li'wei'tou'bao'bi'an
欣露片,xin'lu'pian
心律平,xin'lv'ping
心脉宁,xin'mai'ning
心脑清,xin'nao'qing
新欧汀,xin'ou'ting
新曲松针,xin'qu'song'zhen
新生化冲剂,xin'sheng'hua'chong'ji
新斯的明,xin'si'de'ming
欣思益,xin'si'yi
新泰林五水头孢唑林,xin'tai'lin'wu'shui'tou'bao'zuo'lin
信泰美,xin'tai'mei
心疼定针,xin'teng'ding'zhen
心痛定,xin'tong'ding
欣维可,xin'wei'ke
欣维可针,xin'wei'ke'zhen
心先安针,xin'xian'an'zhen
心血通,xin'xue'tong
新鱼腥草素钠,xin'yu'xing'cao'su'na
新治君,xin'zhi'jun
星洛,xing'luo
醒脑静,xing'nao'jing
醒脑注射液,xing'nao'zhu'she'ye
型肉毒毒素,xing'rou'du'du'su
熊去氢胆酸,xiong'qu'qing'dan'suan
熊去氧胆酸,xiong'qu'yang'dan'suan
胸腺蛋白口服液,xiong'xian'dan'bai'kou'fu'ye
胸腺肽,xiong'xian'tai
胸腺肽肠溶片,xiong'xian'tai'chang'rong'pian
胸腺肽粉针路麦,xiong'xian'tai'fen'zhen'lu'mai
胸腺肽注射液长威克均,xiong'xian'tai'zhu'she'ye'chang'wei'ke'jun
胸腺肽自购,xiong'xian'tai'zi'gou
胸腺因子注射液,xiong'xian'yin'zi'zhu'she'ye
溴吡斯的明,xiu'bi'si'de'ming
溴隐停片,xiu'yin'ting'pian
血即停片,xue'ji'ting'pian
血竭胶囊,xue'jie'jiao'nang
血凝酶,xue'ning'mei
血塞通针,xue'sai'tong'zhen
血栓通粉针中恒,xue'shuan'tong'fen'zhen'zhong'heng
血栓通丽珠通,xue'shuan'tong'li'zhu'tong
亚宝力效长春西汀,ya'bao'li'xiao'chang'chun'xi'ting
雅博司,ya'bo'si
亚甲兰,ya'jia'lan
亚砷酸氯化钠,ya'shen'suan'lv'hua'na
雅施达,ya'shi'da
亚硒酸钠,ya'xi'suan'na
亚叶酸钙,ya'ye'suan'gai
亚叶酸钙进口,ya'ye'suan'gai'jin'kou
眼氨肽眼水,yan'an'tai'yan'shui
眼氨肽针,yan'an'tai'zhen
炎琥宁,yan'hu'ning
岩黄连针,yan'huang'lian'zhen
眼生素针,yan'sheng'su'zhen
眼水,yan'shui
烟酸,yan'suan
盐酸贝尼地平,yan'suan'bei'ni'di'ping
盐酸吡格列酮贝唐宁,yan'suan'bi'ge'lie'tong'bei'tang'ning
盐酸川穹嗪,yan'suan'chuan'qiong'qin
盐酸氮卓斯汀鼻喷剂,yan'suan'dan'zhuo'si'ting'bi'pen'ji
盐酸丁咯地尔水针,yan'suan'ding'ge'di'er'shui'zhen
盐酸丁卡因,yan'suan'ding'ka'yin
盐酸多柔比星,yan'suan'duo'rou'bi'xing
盐酸多西环素,yan'suan'duo'xi'huan'su
盐酸氟西汀百忧解,yan'suan'fu'xi'ting'bai'you'jie
烟酸肌醇脂,yan'suan'ji'chun'zhi
盐酸罗派卡因,yan'suan'luo'pai'ka'yin
盐酸吗啡缓释片,yan'suan'ma'fei'huan'shi'pian
盐酸吗啡片,yan'suan'ma'fei'pian
盐酸派仑西平片,yan'suan'pai'lun'xi'ping'pian
盐酸普萘洛尔,yan'suan'pu'nai'luo'er
盐酸曲美他嗪,yan'suan'qu'mei'ta'qin
盐酸舒芬太尼,yan'suan'shu'fen'tai'ni
盐酸司他斯汀,yan'suan'si'ta'si'ting
盐酸乌拉地尔,yan'suan'wu'la'di'er
盐酸小檗碱片,yan'suan'xiao'bo'jian'pian
盐酸占替诺粉针,yan'suan'zhan'ti'nuo'fen'zhen
炎痛喜康,yan'tong'xi'kang
烟酰胺,yan'xian'an
烟酰胺粉针,yan'xian'an'fen'zhen
氧氟沙星,yang'fu'sha'xing
氧氟沙星滴耳液,yang'fu'sha'xing'di'er'ye
氧氟沙星氯化钠,yang'fu'sha'xing'lv'hua'na
氧氟沙星栓,yang'fu'sha'xing'shuan
氧氟杀星眼水,yang'fu'sha'xing'yan'shui
氧氟沙星针,yang'fu'sha'xing'zhen
氧哌嗪,yang'pai'qin
叶绿素铜钠,ye'lv'su'tong'na
叶酸,ye'suan
乙胺碘呋酮,yi'an'dian'fu'tong
乙胺丁醇片,yi'an'ding'chun'pian
依安欣片,yi'an'xin'pian
依巴斯汀片,yi'ba'si'ting'pian
伊班膦酸钠,yi'ban'lin'suan'na
异丙嗪,yi'bing'qin
异丙肾,yi'bing'shen
异丙肾上腺素,yi'bing'shen'shang'xian'su
异博定,yi'bo'ding
乙醇,yi'chun
依达拉奉,yi'da'la'feng
胰岛素,yi'dao'su
乙底酚,yi'di'fen
依地酸钙钠针,yi'di'suan'gai'na'zhen
易服芬,yi'fu'fen
异氟烷,yi'fu'wan
乙肝免疫球蛋白,yi'gan'mian'yi'qiu'dan'bai
异环磷酰胺,yi'huan'lin'xian'an
乙基吗啡,yi'ji'ma'fei
伊加盖三维葡磷钙,yi'jia'gai'san'wei'pu'lin'gai
伊加欣葡萄糖酸锌,yi'jia'xin'pu'tao'tang'suan'xin
怡开,yi'kai
依克沙,yi'ke'sha
异乐定,yi'le'ding
益灵舒,yi'ling'shu
依洛门冬洛美沙星,yi'luo'men'dong'luo'mei'sha'xing
易蒙停,yi'meng'ting
益母冲剂,yi'mu'chong'ji
依那普利,yi'na'pu'li
依诺沙星,yi'nuo'sha'xing
益平胶囊,yi'ping'jiao'nang
怡平青针,yi'ping'qing'zhen
伊曲康唑,yi'qu'kang'zuo
颐圣,yi'sheng
忆诗安,yi'shi'an
易舒特洗液,yi'shu'te'xi'ye
乙双吗啉,yi'shuang'ma'lin
意速,yi'su
伊素显,yi'su'xian
抑肽酶,yi'tai'mei
伊疼舒,yi'teng'shu
依替米星氯化钠,yi'ti'mi'xing'lv'hua'na
依托咪酯,yi'tuo'mi'zhi
依托咪酯乳剂,yi'tuo'mi'zhi'ru'ji
依托咪脂乳剂进口,yi'tuo'mi'zhi'ru'ji'jin'kou
乙酰胺,yi'xian'an
乙酰谷酰胺,yi'xian'gu'xian'an
乙酰谷酰胺瑞可安,yi'xian'gu'xian'an'rui'ke'an
已酰谷酰胺欣诺平邦,yi'xian'gu'xian'an'xin'nuo'ping'bang
乙酰吉它霉素,yi'xian'ji'ta'mei'su
乙酰螺旋霉素,yi'xian'luo'xuan'mei'su
乙酰唑胺,yi'xian'zuo'an
意欣,yi'xin
益心酮,yi'xin'tong
乙亚胺,yi'ya'an
异烟肼,yi'yan'jing
一叶秋硷,yi'ye'qiu'jian
一叶秋碱,yi'ye'qiu'jian
医用几丁糖,yi'yong'ji'ding'tang
亿真康脑蛋白水解物,yi'zhen'kang'nao'dan'bai'shui'jie'wu
茵敌针,yin'di'zhen
吲哚美辛肠溶片,yin'duo'mei'xin'chang'rong'pian
蚓激酶肠溶胶囊,yin'ji'mei'chang'rong'jiao'nang
阴康宁,yin'kang'ning
银杏达莫全威舒,yin'xing'da'mo'quan'wei'shu
茵栀黄,yin'zhi'huang
荧光素钠,ying'guang'su'na
荧光素钠进口,ying'guang'su'na'jin'kou
罂粟碱,ying'su'jian
优必达,you'bi'da
优必淋笔芯,you'bi'lin'bi'xin
优布芬胶囊,you'bu'fen'jiao'nang
优福定,you'fu'ding
优氟泰尿嘧啶替加氟,you'fu'tai'niao'mi'ding'ti'jia'fu
优甲乐,you'jia'le
优降糖,you'jiang'tang
右美沙芬针,you'mei'sha'fen'zhen
右旋糖酐铁,you'xuan'tang'gan'tie
右旋糖酐眼水,you'xuan'tang'gan'yan'shui
右旋糖酐眼水进口,you'xuan'tang'gan'yan'shui'jin'kou
鱼肝油滴剂,yu'gan'you'di'ji
鱼肝油酸钠,yu'gan'you'suan'na
誉捷吉西他滨,yu'jie'ji'xi'ta'bin
鱼精蛋白,yu'jing'dan'bai
毓罗通针,yu'luo'tong'zhen
鱼腥草钠片,yu'xing'cao'na'pian
鱼腥草注射液,yu'xing'cao'zhu'she'ye
元活素,yuan'huo'su
援生力维,yuan'sheng'li'wei
源首胶囊,yuan'shou'jiao'nang
圆星迪灭,yuan'xing'di'mie
悦康甘乐苦参碱,yue'kang'gan'le'ku'shen'jian
运泰,yun'tai
再林,zai'lin
再宁平,zai'ning'ping
再障生血片,zai'zhang'sheng'xue'pian
早宁片,zao'ning'pian
藻酸双酯钠,zao'suan'shuang'zhi'na
障眼明,zhang'yan'ming
珍奥核酸,zhen'ao'he'suan
珍如胶囊,zhen'ru'jiao'nang
镇疼药袋,zhen'teng'yao'dai
珍珠明目液,zhen'zhu'ming'mu'ye
正安达琳胶囊,zheng'an'da'lin'jiao'nang
正大捷普眼水,zheng'da'jie'pu'yan'shui
脂必妥,zhi'bi'tuo
止喘灵,zhi'chuan'ling
脂肪乳,zhi'fang'ru
痔根断,zhi'gen'duan
治菌必妥,zhi'jun'bi'tuo
治开,zhi'kai
支链氨基酸,zhi'lian'an'ji'suan
制霉菌素膏,zhi'mei'jun'su'gao
脂溶性维生素,zhi'rong'xing'wei'sheng'su
止疼安片,zhi'teng'an'pian
止疼气雾剂,zhi'teng'qi'wu'ji
止痛灵片,zhi'tong'ling'pian
止血芳酸,zhi'xue'fang'suan
止血敏,zhi'xue'min
止痒液,zhi'yang'ye
种氨基酸,zhong'an'ji'suan
中长链脂肪乳,zhong'chang'lian'zhi'fang'ru
中国活心,zhong'guo'huo'xin
肿节风,zhong'jie'feng
中诺克林针,zhong'nuo'ke'lin'zhen
中诺派奇派拉他巴唑,zhong'nuo'pai'qi'pai'la'ta'ba'zuo
中效胰岛素,zhong'xiao'yi'dao'su
中性可溶性胰岛素,zhong'xing'ke'rong'xing'yi'dao'su
中性胰岛素,zhong'xing'yi'dao'su
注射用丙戊酸钠,zhu'she'yong'bing'wu'suan'na
注射用甘草酸二胺粉,zhu'she'yong'gan'cao'suan'er'an'fen
注射用绒促性素,zhu'she'yong'rong'cu'xing'su
注射用生长抑素,zhu'she'yong'sheng'zhang'yi'su
注射用水,zhu'she'yong'shui
注射用卫矛醇,zhu'she'yong'wei'mao'chun
注射用盐酸赖氨酸,zhu'she'yong'yan'suan'lai'an'suan
转化糖注射液,zhuan'hua'tang'zhu'she'ye
转移因子,zhuan'yi'yin'zi
转移因子胶囊,zhuan'yi'yin'zi'jiao'nang
壮星氟罗沙星,zhuang'xing'fu'luo'sha'xing
卓立佳,zhuo'li'jia
卓立迅头孢匹罗,zhuo'li'xun'tou'bao'pi'luo
紫杉醇,zi'shan'chun
自维胶囊,zi'wei'jiao'nang
紫药水,zi'yao'shui
紫竹唯欣针,zi'zhu'wei'xin'zhen
棕色合剂,zong'se'he'ji
足叶乙甙,zu'ye'yi'dai
左布比卡因针,zuo'bu'bi'ka'yin'zhen
左卡尼汀,zuo'ka'ni'ting
左克针,zuo'ke'zhen
唑来膦酸择泰,zuo'lai'lin'suan'ze'tai
唑来磷酸针,zuo'lai'lin'suan'zhen
唑螨灵霜,zuo'man'ling'shuang
佐米格,zuo'mi'ge
左旋多巴,zuo'xuan'duo'ba
左旋门冬酰胺酶,zuo'xuan'men'dong'xian'an'mei
左旋咪唑,zuo'xuan'mi'zuo
左氧氟沙星,zuo'yang'fu'sha'xing
左氧氟沙星分散片,zuo'yang'fu'sha'xing'fen'san'pian
左氧氟沙星胶囊,zuo'yang'fu'sha'xing'jiao'nang
左氧氟沙星莱沃辛,zuo'yang'fu'sha'xing'lai'wo'xin
