阿飞,a'fei
裂土转掌,lie'tu'zhuan'zhang
鳞粉隐之术,lin'fen'yin'zhi'shu
林檎雨由利,lin'qin'yu'you'li
临之书,lin'zhi'shu
灵化术,ling'hua'shu
零化之术,ling'hua'zhi'shu
灵魂吞噬,ling'hun'tun'shi
灵媒,ling'mei
灵媒之术,ling'mei'zhi'shu
六代,liu'dai
六代火影,liu'dai'huo'ying
六代目,liu'dai'mu
六道轮回,liu'dao'lun'hui
六道仙人,liu'dao'xian'ren
六角手里剑乱舞,liu'jiao'shou'li'jian'luan'wu
流沙暴流,liu'sha'bao'liu
六尾,liu'wei
六尾雷兽,liu'wei'lei'shou
柳之舞,liu'zhi'wu
六助,liu'zhu
龙地洞,long'di'dong
泷分身,long'fen'shen
胧分身术,long'fen'shen'shu
胧分身之术,long'fen'shen'zhi'shu
泷壶之术,long'hu'zhi'shu
龙火之术,long'huo'zhi'shu
龙炎放歌之术,long'yan'fang'ge'zhi'shu
龙眼伏击,long'yan'fu'ji
笼中鸟咒印,long'zhong'niao'zhou'yin
鹿丸,lu'wan
乱狮子发之术,luan'shi'zi'fa'zhi'shu
乱雨,luan'yu
轮回天生之术,lun'hui'tian'sheng'zhi'shu
轮回眼,lun'hui'yan
洛克李,luo'ke'li
罗生门,luo'sheng'men
罗网,luo'wang
螺旋连弹,luo'xuan'lian'tan
螺旋连丸,luo'xuan'lian'wan
螺旋乱丸,luo'xuan'luan'wan
螺旋手里剑,luo'xuan'shou'li'jian
螺旋丸,luo'xuan'wan
螺旋丸手里剑,luo'xuan'wan'shou'li'jian
螺旋吸丸,luo'xuan'xi'wan
绿儿,lv'er
绿苗,lv'miao
绿青葵,lv'qing'kui
马基,ma'ji
脉络,mai'luo
迈特凯,mai'te'kai
猫婆婆,mao'po'po
猫又,mao'you
毛针千本,mao'zhen'qian'ben
猫爪,mao'zhua
梅雨,mei'yu
门左卫门,men'zuo'wei'men
梦幻音锁,meng'huan'yin'suo
萌黄,meng'huang
梦火,meng'huo
秘技,mi'ji
迷你螺旋丸手里剑,mi'ni'luo'xuan'wan'shou'li'jian
秘术,mi'shu
秘术鳞粉隐之术,mi'shu'lin'fen'yin'zhi'shu
弥彦,mi'yan
妙木山,miao'mu'shan
妙木山大蛤蟆,miao'mu'shan'da'ha'ma
鸣雏,ming'chu
明黄,ming'huang
鸣人,ming'ren
鸣人大桥,ming'ren'da'qiao
鸣人连弹,ming'ren'lian'tan
鸣人两千连弹,ming'ren'liang'qian'lian'tan
鸣人之死,ming'ren'zhi'si
鸣受,ming'shou
冥头,ming'tou
冥王,ming'wang
鸣樱,ming'ying
魔笛幻舞操曲,mo'di'huan'wu'cao'qu
墨分身,mo'fen'shen
魔幻此处非之,mo'huan'ci'chu'fei'zhi
魔幻镜天地,mo'huan'jing'tian'di
魔晶冰晶,mo'jing'bing'jing
魔镜冰晶,mo'jing'bing'jing
墨隐,mo'yin
木锭壁,mu'ding'bi
木遁,mu'dun
木遁榜排之术,mu'dun'bang'pai'zhi'shu
木遁皆布袋之术,mu'dun'jie'bu'dai'zhi'shu
木遁秘术树界降诞,mu'dun'mi'shu'shu'jie'jiang'dan
木遁木龙之术,mu'dun'mu'long'zhi'shu
木遁木人之术,mu'dun'mu'ren'zhi'shu
木遁扦插之术,mu'dun'qian'cha'zhi'shu
木遁千手神通,mu'dun'qian'shou'shen'tong
木遁树缚永葬,mu'dun'shu'fu'yong'zang
木分身,mu'fen'shen
穆王,mu'wang
木叶,mu'ye
木叶八色,mu'ye'ba'se
木叶白牙,mu'ye'bai'ya
木叶村,mu'ye'cun
木叶村的英雄们,mu'ye'cun'de'ying'xiong'men
木叶大旋风,mu'ye'da'xuan'feng
木叶坏岩升,mu'ye'huai'yan'sheng
木叶警备部队,mu'ye'jing'bei'bu'dui
木叶警察部队,mu'ye'jing'cha'bu'dui
木叶烈风,mu'ye'lie'feng
木叶流双旋风,mu'ye'liu'shuang'xuan'feng
木叶流体术,mu'ye'liu'ti'shu
木叶名门,mu'ye'ming'men
木叶忍者,mu'ye'ren'zhe
木叶忍者村,mu'ye'ren'zhe'cun
木叶十二忍,mu'ye'shi'er'ren
木叶丸,mu'ye'wan
木叶旋风,mu'ye'xuan'feng
木叶医疗队长,mu'ye'yi'liao'dui'zhang
木叶英雄,mu'ye'ying'xiong
木之叶烈风,mu'zhi'ye'lie'feng
木之叶旋风,mu'zhi'ye'xuan'feng
奈烙见之术,nai'lao'jian'zhi'shu
奈良鹿久,nai'liang'lu'jiu
奈良鹿丸,nai'liang'lu'wan
奈良四角,nai'liang'si'jiao
奈良盐水,nai'liang'yan'shui
奈露古依,nai'lu'gu'yi
泥遁,ni'dun
拟人忍法,ni'ren'ren'fa
拟兽忍法,ni'shou'ren'fa
拟影术,ni'ying'shu
逆召唤术,ni'zhao'huan'shu
鸟之国,niao'zhi'guo
涅槃精舍之术,nie'pan'jing'she'zhi'shu
涅盘精舍之术,nie'pan'jing'she'zhi'shu
涅舍盘精之术,nie'she'pan'jing'zhi'shu
宁次,ning'ci
宁天,ning'tian
牛鬼,niu'gui
浓眉,nong'mei
帕克,pa'ke
叛忍,pan'ren
泡沫之术,pao'mo'zhi'shu
佩恩,pei'en
佩恩六道,pei'en'liu'dao
佩恩迷,pei'en'mi
佩因,pei'yin
彭侯,peng'hou
破奔流,po'ben'liu
破晶降龙之术,po'jing'xiang'long'zhi'shu
瀑布忍者村,pu'bu'ren'zhe'cun
起爆符,qi'bao'fu
起爆粘土,qi'bao'nian'tu
七代火影,qi'dai'huo'ying
奇拉比,qi'la'bi
奇拉地,qi'la'di
奇拉维,qi'la'wei
麒麟,qi'lin
旗木,qi'mu
旗木卡卡西,qi'mu'ka'ka'xi
旗木朔茂,qi'mu'shuo'mao
旗木蒴茂传,qi'mu'shuo'mao'chuan
七尾,qi'wei
七尾貉,qi'wei'hao
七星剑,qi'xing'jian
契约,qi'yue
千代,qian'dai
千代婆婆,qian'dai'po'po
千代舞,qian'dai'wu
千年杀,qian'nian'sha
千鸟,qian'niao
千鸟流,qian'niao'liu
千杀水翔,qian'sha'shui'xiang
千食鲛,qian'shi'jiao
千手板间,qian'shou'ban'jian
千手大和,qian'shou'da'he
千手大藏,qian'shou'da'zang
千手扉间,qian'shou'fei'jian
千手佛间,qian'shou'fo'jian
千手纲手,qian'shou'gang'shou
千手纲手姬,qian'shou'gang'shou'ji
千手神通,qian'shou'shen'tong
千手绳树,qian'shou'sheng'shu
千手桃华,qian'shou'tao'hua
千手瓦间,qian'shou'wa'jian
千手一族,qian'shou'yi'zu
千手柱间,qian'shou'zhu'jian
潜行蛇手,qian'xing'she'shou
潜影蛇手,qian'ying'she'shou
巧雾之术,qiao'wu'zhi'shu
切都,qie'dou
青龙,qing'long
青鸟,qing'niao
蜻蜓忍法咏唱者,qing'ting'ren'fa'yong'chang'zhe
青叶,qing'ye
秋道,qiu'dao
秋道长治,qiu'dao'chang'zhi
秋道丁次,qiu'dao'ding'ci
秋道丁佐,qiu'dao'ding'zuo
秋道丁座,qiu'dao'ding'zuo
秋道取风,qiu'dao'qu'feng
求道玉,qiu'dao'yu
拳岩之术,quan'yan'zhi'shu
犬冢,quan'zhong
犬冢花,quan'zhong'hua
犬冢牙,quan'zhong'ya
犬冢爪,quan'zhong'zhao
忍村,ren'cun
忍道,ren'dao
忍刀七人众,ren'dao'qi'ren'zhong
忍法,ren'fa
忍法创造在生,ren'fa'chuang'zao'zai'sheng
忍法风蜘蛛,ren'fa'feng'zhi'zhu
忍法蛤蟆口缚术,ren'fa'ha'ma'kou'fu'shu
忍法甲罗手里剑,ren'fa'jia'luo'shou'li'jian
忍法心弹身之术,ren'fa'xin'dan'shen'zhi'shu
忍法岩雪崩,ren'fa'yan'xue'beng
忍法召唤秽土转身,ren'fa'zhao'huan'hui'tu'zhuan'shen
