阿娇年未多,a'jiao'nian'wei'duo
人物世不数,ren'wu'shi'bu'shu
人稀傍河处,ren'xi'bang'he'chu
人稀吾不到,ren'xi'wu'bu'dao
人闲常扫一茅茨,ren'xian'chang'sao'yi'mao'ci
人向吴台远,ren'xiang'wu'tai'yuan
人心不忘乡,ren'xin'bu'wang'xiang
人心鸟意自无猜,ren'xin'niao'yi'zi'wu'cai
人心无所向,ren'xin'wu'suo'xiang
仁兄与恩旧,ren'xiong'yu'en'jiu
人压看场圆,ren'ya'kan'chang'yuan
人烟北接巴,ren'yan'bei'jie'ba
人烟接京师,ren'yan'jie'jing'shi
人烟绝墟落,ren'yan'jue'xu'luo
人烟眇萧瑟,ren'yan'miao'xiao'se
人逸马萧萧,ren'yi'ma'xiao'xiao
人意有悲欢,ren'yi'you'bei'huan
人有甚于斯,ren'you'shen'yu'si
人幽物外踪,ren'you'wu'wai'zong
人幽想灵山,ren'you'xiang'ling'shan
人幽宜眺听,ren'you'yi'tiao'ting
人远凫鸭乱,ren'yuan'fu'ya'luan
仁者宜战栗,ren'zhe'yi'zhan'li
人知德业尊,ren'zhi'de'ye'zun
仍残老骕骦,reng'can'lao'su'shuang
仍唱胡歌饮都市,reng'chang'hu'ge'yin'du'shi
仍嗔问升斗,reng'chen'wen'sheng'dou
仍愁浩淼程,reng'chou'hao'miao'cheng
仍传晏子裘,reng'chuan'yan'zi'qiu
仍好千里马,reng'hao'qian'li'ma
仍怀陆氏橘,reng'huai'lu'shi'ju
仍将四岳俱,reng'jiang'si'yue'ju
仍看小童抱,reng'kan'xiao'tong'bao
仍连菡萏香,reng'lian'han'dan'xiang
仍怜门下客,reng'lian'men'xia'ke
仍怜穴蚁漂,reng'lian'xue'yi'piao
仍怜转娇眼,reng'lian'zhuan'jiao'yan
仍求百金诺,reng'qiu'bai'jin'nuo
仍为喂其子,reng'wei'wei'qi'zi
仍闻左贤王,reng'wen'zuo'xian'wang
仍欣吾道存,reng'xin'wu'dao'cun
仍招布衣士,reng'zhao'bu'yi'shi
日傍柴门游,ri'bang'chai'men'you
日车隐昆仑,ri'che'yin'kun'lun
日出朝圣人,ri'chu'chao'sheng'ren
日出甘所终,ri'chu'gan'suo'zhong
日出黄雾映,ri'chu'huang'wu'ying
日出见阙里,ri'chu'jian'que'li
日出见鱼目,ri'chu'jian'yu'mu
日出照东城,ri'chu'zhao'dong'cheng
日籴太仓五升米,ri'di'tai'cang'wu'sheng'mi
日高车马隔尘行,ri'gao'che'ma'ge'chen'xing
日给还脱粟,ri'gei'hai'tuo'su
日给在军储,ri'gei'zai'jun'chu
日光依嫩草,ri'guang'yi'nen'cao
日假何道行,ri'jia'he'dao'hang
日脚下平地,ri'jiao'xia'ping'di
日觉死生忙,ri'jue'si'sheng'mang
日来知自强,ri'lai'zhi'zi'qiang
日轮驻霜戈,ri'lun'zhu'shuang'ge
日落风亦起,ri'luo'feng'yi'qi
日落群山阴,ri'luo'qun'shan'yin
日落数归鸟,ri'luo'shu'gui'niao
日落水云里,ri'luo'shui'yun'li
日落望都城,ri'luo'wang'du'cheng
日落阴云生,ri'luo'yin'yun'sheng
日落辕门鼓角鸣,ri'luo'yuan'men'gu'jiao'ming
日没更烟尘,ri'mei'geng'yan'chen
日没鸟飞急,ri'mei'niao'fei'ji
日没众星嘒,ri'mei'zhong'xing'hui
日暮不收乌啄疮,ri'mu'bu'shou'wu'zhuo'chuang
日暮蚕饥相命归,ri'mu'can'ji'xiang'ming'gui
日暮持竿何处归,ri'mu'chi'gan'he'chu'gui
日暮待君君不见,ri'mu'dai'jun'jun'bu'jian
日暮东城鸦,ri'mu'dong'cheng'ya
日暮东临大江哭,ri'mu'dong'lin'da'jiang'ku
日暮归几翼,ri'mu'gui'ji'yi
日暮还灌畦,ri'mu'hai'guan'qi
日暮邯郸郭,ri'mu'han'dan'guo
日暮寒风吹客衣,ri'mu'han'feng'chui'ke'yi
日暮黄云高,ri'mu'huang'yun'gao
日暮蛟龙改窟穴,ri'mu'jiao'long'gai'ku'xue
日暮空汤汤,ri'mu'kong'shang'shang
日暮淇水上,ri'mu'qi'shui'shang
日暮且踟蹰,ri'mu'qie'chi'chu
日暮绕庭飞,ri'mu'rao'ting'fei
日暮上北楼,ri'mu'shang'bei'lou
日暮拾流萤,ri'mu'shi'liu'ying
日暮天山下,ri'mu'tian'shan'xia
日暮铜雀迥,ri'mu'tong'que'jiong
日暮倚阊门,ri'mu'yi'chang'men
日暮倚修竹,ri'mu'yi'xiu'zhu
日暮远天青,ri'mu'yuan'tian'qing
日暮征鞍去,ri'mu'zheng'an'qu
日暮中流半,ri'mu'zhong'liu'ban
日暮舟中散,ri'mu'zhou'zhong'san
日暖临芳草,ri'nuan'lin'fang'cao
日日伴愁襟,ri'ri'ban'chou'jin
日日趋黄阁,ri'ri'qu'huang'ge
日日上丹墀,ri'ri'shang'dan'chi
日入泊枉渚,ri'ru'bo'wang'zhu
日入空城寒,ri'ru'kong'cheng'han
日入乃云造,ri'ru'nai'yun'zao
日入仍讨求,ri'ru'reng'tao'qiu
日色傍阡陌,ri'se'bang'qian'mo
日色赤如血,ri'se'chi'ru'xue
日色出林斑,ri'se'chu'lin'ban
日色低,ri'se'di
日色隐孤戍,ri'se'yin'gu'shu
日色隐空谷,ri'se'yin'kong'gu
日收胡马群,ri'shou'hu'ma'qun
日瘦气惨凄,ri'shou'qi'can'qi
日晚长烟高岸近,ri'wan'chang'yan'gao'an'jin
日晚梧桐落,ri'wan'wu'tong'luo
日西倒山寺,ri'xi'dao'shan'si
日夕对平川,ri'xi'dui'ping'chuan
日夕歌钟彻清昊,ri'xi'ge'zhong'che'qing'hao
日夕见城内,ri'xi'jian'cheng'nei
日夕临清涧,ri'xi'lin'qing'jian
日夕捧琼瑶,ri'xi'peng'qiong'yao
日夕嚬蛾眉,ri'xi'pin'e'mei
日夕绕庭行,ri'xi'rao'ting'xing
日夕生尘埃,ri'xi'sheng'chen'ai
日夕思朝廷,ri'xi'si'chao'ting
日夕听幽禽,ri'xi'ting'you'qin
日夕望其平,ri'xi'wang'qi'ping
日夕西南望,ri'xi'xi'nan'wang
日夕依仁全羽翼,ri'xi'yi'ren'quan'yu'yi
日夕转空虚,ri'xi'zhuan'kong'xu
日斜鵩鸟入,ri'xie'fu'niao'ru
日斜江上孤帆影,ri'xie'jiang'shang'gu'fan'ying
日斜门掩映,ri'xie'men'yan'ying
日曛惊未餐,ri'xun'jing'wei'can
日晏城郭昏,ri'yan'cheng'guo'hun
日宴方云罢,ri'yan'fang'yun'ba
日晏昆仑丘,ri'yan'kun'lun'qiu
日晏下彤闱,ri'yan'xia'tong'wei
日夜更望官军至,ri'ye'geng'wang'guan'jun'zhi
日夜柯叶改,ri'ye'ke'ye'gai
日夜令我藏,ri'ye'ling'wo'cang
日夜偶瑶琴,ri'ye'ou'yao'qin
日隐群峰攒,ri'yin'qun'feng'cuan
日影浮归棹,ri'ying'fu'gui'zhao
日远夫子门,ri'yuan'fu'zi'men
日月不相饶,ri'yue'bu'xiang'rao
日月低秦树,ri'yue'di'qin'shu
日月获其良,ri'yue'huo'qi'liang
日月继高衢,ri'yue'ji'gao'qu
日月近雕梁,ri'yue'jin'diao'liang
日月开仙宫,ri'yue'kai'xian'gong
日月生天久,ri'yue'sheng'tian'jiu
日照金觞动,ri'zhao'jin'shang'dong
日照双阙间,ri'zhao'shuang'que'jian
容鬓老胡尘,rong'bin'lao'hu'chen
冗长吾敢取,rong'chang'wu'gan'qu
戎车满关东,rong'che'man'guan'dong
荣达颇知疏,rong'da'po'zhi'shu
容得许多怜,rong'de'xu'duo'lian
戎狄本无厌,rong'di'ben'wu'yan
戎狄无厌不复和,rong'di'wu'yan'bu'fu'he
冗官各复业,rong'guan'ge'fu'ye
荣贵如粪土,rong'gui'ru'fen'tu
荣华敌勋业,rong'hua'di'xun'ye
荣华贵少壮,rong'hua'gui'shao'zhuang
容华倚翠人未知,rong'hua'yi'cui'ren'wei'zhi
荣枯雨露偏,rong'ku'yu'lu'pian
荣枯咫尺异,rong'ku'zhi'chi'yi
荣枯走不暇,rong'ku'zou'bu'xia
荣禄上及亲,rong'lu'shang'ji'qin
戎虏尚亡魂,rong'lu'shang'wang'hun
荣落人不见,rong'luo'ren'bu'jian
戎马暗天宇,rong'ma'an'tian'yu
戎马何时稀,rong'ma'he'shi'xi
戎马日衰息,rong'ma'ri'shuai'xi
戎马惜离群,rong'ma'xi'li'qun
荣名忽中人,rong'ming'hu'zhong'ren
戎幕宁久驻,rong'mu'ning'jiu'zhu
荣亲色养时,rong'qin'se'yang'shi
溶溶满太虚,rong'rong'man'tai'xu
溶溶迷朗日,rong'rong'mi'lang'ri
溶溶紫庭步,rong'rong'zi'ting'bu
荣身刘项年,rong'shen'liu'xiang'nian
荣深组及珪,rong'shen'zu'ji'gui
戎生及近坰,rong'sheng'ji'jin'jiong
荣殊衣锦游,rong'shu'yi'jin'you
容思回林坰,rong'si'hui'lin'jiong
容卫俨戈矛,rong'wei'yan'ge'mao
容颜衰悴催,rong'yan'shuai'cui'cui
容颜岁岁愁边改,rong'yan'sui'sui'chou'bian'gai
容易即前程,rong'yi'ji'qian'cheng
容易失沈沦,rong'yi'shi'chen'lun
容易收病脚,rong'yi'shou'bing'jiao
容易往来游,rong'yi'wang'lai'you
戎夷詟伏兵无战,rong'yi'zhe'fu'bing'wu'zhan
戎夷知丧亡,rong'yi'zhi'sang'wang
容与随白鸥,rong'yu'sui'bai'ou
柔翰全分意,rou'han'quan'fen'yi
肉黄皮皱命如线,rou'huang'pi'zhou'ming'ru'xian
肉骏碨礌连钱动,rou'jun'wei'lei'lian'qian'dong
肉食三十万,rou'shi'san'shi'wan
肉食哂菜色,rou'shi'shen'cai'se
肉瘦怯豺狼,rou'shou'qie'chai'lang
柔素亮为表,rou'su'liang'wei'biao
柔条已含绿,rou'tiao'yi'han'lv
肉味不足登鼎俎,rou'wei'bu'zu'deng'ding'zu
如伴风流萦艳雪,ru'ban'feng'liu'ying'yan'xue
如彼笼中禽,ru'bi'long'zhong'qin
如冰结圆器,ru'bing'jie'yuan'qi
汝病是天意,ru'bing'shi'tian'yi
汝伯何由发如漆,ru'bo'he'you'fa'ru'qi
汝不闻秦筝声最苦,ru'bu'wen'qin'zheng'sheng'zui'ku
汝曹又宜列土食,ru'cao'you'yi'lie'tu'shi
入朝病见妨,ru'chao'bing'jian'fang
入朝明光宫,ru'chao'ming'guang'gong
如到南徐州,ru'dao'nan'xu'zhou
汝等岂知蒙帝力,ru'deng'qi'zhi'meng'di'li
入鼎资过熟,ru'ding'zi'guo'shu
汝独哀无时,ru'du'ai'wu'shi
如逢祢处士,ru'feng'mi'chu'shi
儒服弊于地,ru'fu'bi'yu'di
汝更小年能缀文,ru'geng'xiao'nian'neng'zhui'wen
如公尽雄俊,ru'gong'jin'xiong'jun
入贡素翚来,ru'gong'su'hui'lai
如公未四十,ru'gong'wei'si'shi
汝骨在空城,ru'gu'zai'kong'cheng
入怪鬓发空,ru'guai'bin'fa'kong
儒冠多误身,ru'guan'duo'wu'shen
汝归何处收兄骨,ru'gui'he'chu'shou'xiong'gu
汝归秦兮弹秦声,ru'gui'qin'xi'tan'qin'sheng
如何不饮令心哀,ru'he'bu'yin'ling'xin'ai
入河蟾不没,ru'he'chan'bu'mei
如何方恻怆,ru'he'fang'ce'chuang
如和风雨飞,ru'he'feng'yu'fei
如何耿夫子,ru'he'geng'fu'zi
如何贵此重,ru'he'gui'ci'zhong
如何还入门,ru'he'hai'ru'men
如何今二毛,ru'he'jin'er'mao
如何俱老大,ru'he'ju'lao'da
如何拒邻叟,ru'he'ju'lin'sou
如何每离别,ru'he'mei'li'bie
如何平津意,ru'he'ping'jin'yi
如何蜻蛚鸣,ru'he'qing'lie'ming
如何趋府客,ru'he'qu'fu'ke
如何日方永,ru'he'ri'fang'yong
如何日夕待,ru'he'ri'xi'dai
如何尚憔悴,ru'he'shang'qiao'cui
如何守苦节,ru'he'shou'ku'jie
如何物在人自移,ru'he'wu'zai'ren'zi'yi
如何燕赵陲,ru'he'yan'zhao'chui
如何异乡县,ru'he'yi'xiang'xian
如何一尊酒,ru'he'yi'zun'jiu
如何有奇怪,ru'he'you'qi'guai
如何正穹昊,ru'he'zheng'qiong'hao
如何咫尺仍有情,ru'he'zhi'chi'reng'you'qing
入怀本倚昆山玉,ru'huai'ben'yi'kun'shan'yu
如虺如蛇不足拟,ru'hui'ru'she'bu'zu'ni
如今七贵方自尊,ru'jin'qi'gui'fang'zi'zun
如今契阔深,ru'jin'qi'kuo'shen
如今岂无騕褭与骅骝,ru'jin'qi'wu'yao'niao'yu'hua'liu
如今五侯不爱客,ru'jin'wu'hou'bu'ai'ke
如今小儿新长成,ru'jin'xiao'er'xin'zhang'cheng
如今已白头,ru'jin'yi'bai'tou
如今足斟酌,ru'jin'zu'zhen'zhuo
入京当献赋,ru'jing'dang'xian'fu
如觉天地窄,ru'jue'tian'di'zhai
如君才调稀,ru'jun'cai'diao'xi
如君兄弟天下稀,ru'jun'xiong'di'tian'xia'xi
入来泪俱落,ru'lai'lei'ju'luo
入里作山家,ru'li'zuo'shan'jia
入林解我衣,ru'lin'jie'wo'yi
辱马马毛焦,ru'ma'ma'mao'jiao
入门霭已绿,ru'men'ai'yi'lv
入门高兴发,ru'men'gao'xing'fa
入门见中峰,ru'men'jian'zhong'feng
儒门旧史长,ru'men'jiu'shi'chang
汝门请从曾翁说,ru'men'qing'cong'ceng'weng'shuo
入门四松在,ru'men'si'song'zai
入门天厩皆云屯,ru'men'tian'jiu'jie'yun'tun
入门闻号咷,ru'men'wen'hao'tao
入门依旧四壁空,ru'men'yi'jiu'si'bi'kong
入门有光荣,ru'men'you'guang'rong
如渑之酒常快意,ru'mian'zhi'jiu'chang'kuai'yi
入幕生风飙,ru'mu'sheng'feng'biao
入幕绾银绶,ru'mu'wan'yin'shou
入幕未展材,ru'mu'wei'zhan'cai
入幕征楚材,ru'mu'zheng'chu'cai
汝南遥倚望,ru'nan'yao'yi'wang
如能上太清,ru'neng'shang'tai'qing
汝懦归无计,ru'nuo'gui'wu'ji
汝妾已辞房,ru'qie'yi'ci'fang
汝身已见唾成珠,ru'shen'yi'jian'tuo'cheng'zhu
儒生安敢论,ru'sheng'an'gan'lun
儒生独全义,ru'sheng'du'quan'yi
儒生老无成,ru'sheng'lao'wu'cheng
儒生识损益,ru'sheng'shi'sun'yi
儒生有长策,ru'sheng'you'chang'ce
儒生直如弦,ru'sheng'zhi'ru'xian
入市脱衣且沽酒,ru'shi'tuo'yi'qie'gu'jiu
入室想其人,ru'shi'xiang'qi'ren
入室掩无光,ru'shi'yan'wu'guang
乳兽待人肉,ru'shou'dai'ren'rou
蓐收困用事,ru'shou'kun'yong'shi
儒术诚难起,ru'shu'cheng'nan'qi
儒术大名齐,ru'shu'da'ming'qi
儒术岂谋身,ru'shu'qi'mou'shen
汝书犹在壁,ru'shu'you'zai'bi
儒术于我何有哉,ru'shu'yu'wo'he'you'zai
如丝气或上,ru'si'qi'huo'shang
濡体如沐浴,ru'ti'ru'mu'yu
如听万室哭,ru'ting'wan'shi'ku
如闻龙象泣,ru'wen'long'xiang'qi
如闻泣幽咽,ru'wen'qi'you'ye
汝翁草明光,ru'weng'cao'ming'guang
如向波上浮,ru'xiang'bo'shang'fu
如向簿书闲,ru'xiang'bu'shu'xian
汝性不茹荤,ru'xing'bu'ru'hun
如行武陵暮,ru'xing'wu'ling'mu
如熊如罴不足比,ru'xiong'ru'pi'bu'zu'bi
汝休枉杀南飞鸿,ru'xiu'wang'sha'nan'fei'hong
如烟非烟不知处,ru'yan'fei'yan'bu'zhi'chu
汝阳让帝子,ru'yang'rang'di'zi
汝阳三斗始朝天,ru'yang'san'dou'shi'chao'tian
入夜乐未休,ru'ye'le'wei'xiu
入夜殊赫然,ru'ye'shu'he'ran
儒衣山鸟怪,ru'yi'shan'niao'guai
如羿射九日落,ru'yi'she'jiu'ri'luo
儒衣羞此别,ru'yi'xiu'ci'bie
褥隐绣芙蓉,ru'yin'xiu'fu'rong
如有灵仙迹,ru'you'ling'xian'ji
汝与山东李白好,ru'yu'shan'dong'li'bai'hao
入舟虽苦热,ru'zhou'sui'ku're
入舟已千忧,ru'zhou'yi'qian'you
软炊香饭缘老翁,ruan'chui'xiang'fan'yuan'lao'weng
阮籍行多兴,ruan'ji'xing'duo'xing
软裘快马当冰雪,ruan'qiu'kuai'ma'dang'bing'xue
软弱强扶持,ruan'ruo'qiang'fu'chi
瑞飞空,rui'fei'kong
芮公回首颜色劳,rui'gong'hui'shou'yan'se'lao
锐头将军来何迟,rui'tou'jiang'jun'lai'he'chi
睿想丹墀近,rui'xiang'dan'chi'jin
睿藻天中降,rui'zao'tian'zhong'jiang
瑞芝产庙柱,rui'zhi'chan'miao'zhu
闰八月初吉,run'ba'yue'chu'ji
润聚金碧气,run'ju'jin'bi'qi
若从巫峡过,ruo'cong'wu'xia'guo
若到长沙苑,ruo'dao'chang'sha'yuan
若到铜台上,ruo'dao'tong'tai'shang
若道土无英俊才,ruo'dao'tu'wu'ying'jun'cai
若道巫山女粗丑,ruo'dao'wu'shan'nv'cu'chou
若到西陵征战处,ruo'dao'xi'ling'zheng'zhan'chu
若访张仲蔚,ruo'fang'zhang'zhong'wei
若逢汉武帝,ruo'feng'han'wu'di
若负平生志,ruo'fu'ping'sheng'zhi
若个最为相忆处,ruo'ge'zui'wei'xiang'yi'chu
弱冠负高节,ruo'guan'fu'gao'jie
弱冠已银印,ruo'guan'yi'yin'yin
若见楚山暮,ruo'jian'chu'shan'mu
若见河山来,ruo'jian'he'shan'lai
若将除害马,ruo'jiang'chu'hai'ma
若临瑶池前,ruo'lin'yao'chi'qian
弱蔓依石长,ruo'man'yi'shi'chang
若凭南辕吏,ruo'ping'nan'yuan'li
若人才思阔,ruo'ren'cai'si'kuo
若人可数见,ruo'ren'ke'shu'jian
若使学萧曹,ruo'shi'xue'xiao'cao
若是周旋地,ruo'shi'zhou'xuan'di
弱水应无地,ruo'shui'ying'wu'di
弱藤已扶树,ruo'teng'yi'fu'shu
弱体性能和,ruo'ti'xing'neng'he
若问行人与征战,ruo'wen'xing'ren'yu'zheng'zhan
若舞风雩至,ruo'wu'feng'yu'zhi
若耶溪,ruo'ye'xi
若与沙鸥期,ruo'yu'sha'ou'qi
弱藻舒翠缕,ruo'zao'shu'cui'lv
洒翰银钩连,sa'han'yin'gou'lian
洒落辞幽人,sa'luo'ci'you'ren
洒落富清制,sa'luo'fu'qing'zhi
洒落唯清秋,sa'luo'wei'qing'qiu
洒面若微霜,sa'mian'ruo'wei'shuang
飒然精灵合,sa'ran'jing'ling'he
飒然凉风起,sa'ran'liang'feng'qi
飒飒鬓毛苍,sa'sa'bin'mao'cang
飒飒胡沙迸人面,sa'sa'hu'sha'beng'ren'mian
飒飒惊烝黎,sa'sa'jing'zheng'li
飒飒凌秋晓,sa'sa'ling'qiu'xiao
飒飒如有人,sa'sa'ru'you'ren
飒飒生清风,sa'sa'sheng'qing'feng
飒爽动秋骨,sa'shuang'dong'qiu'gu
洒涕巴东峡,sa'ti'ba'dong'xia
洒雾飘烟,sa'wu'piao'yan
洒血暗郊坰,sa'xue'an'jiao'jiong
洒血江汉身衰疾,sa'xue'jiang'han'shen'shuai'ji
洒血在戎轩,sa'xue'zai'rong'xuan
塞北狂胡旅,sai'bei'kuang'hu'lv
塞北云高心已悲,sai'bei'yun'gao'xin'yi'bei
塞草遥飞大漠霜,sai'cao'yao'fei'da'mo'shuang
塞草迎军幕,sai'cao'ying'jun'mu
塞鸿归欲尽,sai'hong'gui'yu'jin
塞花飘客泪,sai'hua'piao'ke'lei
塞迥心常怯,sai'jiong'xin'chang'qie
塞口长萧萧,sai'kou'chang'xiao'xiao
塞口连浊河,sai'kou'lian'zhuo'he
塞柳行疏翠,sai'liu'xing'shu'cui
塞门风落木,sai'men'feng'luo'mu
塞蹊使之隔,sai'qi'shi'zhi'ge
塞曲三更欻悲壮,sai'qu'san'geng'xu'bei'zhuang
塞上传光小,sai'shang'chuan'guang'xiao
塞上得国宝,sai'shang'de'guo'bao
塞上得阮生,sai'shang'de'ruan'sheng
塞水不成河,sai'shui'bu'cheng'he
塞田始微收,sai'tian'shi'wei'shou
塞外苦厌山,sai'wai'ku'yan'shan
塞望势敦迫,sai'wang'shi'dun'po
塞下应多侠少年,sai'xia'ying'duo'xia'shao'nian
塞云多断续,sai'yun'duo'duan'xu
三边月作愁,san'bian'yue'zuo'chou
三步回头五步坐,san'bu'hui'tou'wu'bu'zuo
三步六号叫,san'bu'liu'hao'jiao
散彩疏群树,san'cai'shu'qun'shu
三城守边却可图,san'cheng'shou'bian'que'ke'tu
三尺角弓两斛力,san'chi'jiao'gong'liang'hu'li
三川不可到,san'chuan'bu'ke'dao
三川浩东注,san'chuan'hao'dong'zhu
三川难可见,san'chuan'nan'ke'jian
三春湿黄精,san'chun'shi'huang'jing
三春叶已长,san'chun'ye'yi'chang
三寸如黄金,san'cun'ru'huang'jin
三殿花香入紫微,san'dian'hua'xiang'ru'zi'wei
三度为郎便白头,san'du'wei'lang'bian'bai'tou
三峰火云蒸,san'feng'huo'yun'zheng
散风如飞霜,san'feng'ru'fei'shuang
三峰意出群,san'feng'yi'chu'qun
三伏适已过,san'fu'shi'yi'guo
三更白露西风高,san'geng'bai'lu'xi'feng'gao
三更风起寒浪涌,san'geng'feng'qi'han'lang'yong
三更醉后军中寝,san'geng'zui'hou'jun'zhong'qin
三何独许水曹郎,san'he'du'xu'shui'cao'lang
三皇五帝前,san'huang'wu'di'qian
三见秋草凋,san'jian'qiu'cao'diao
三江奔茫茫,san'jiang'ben'mang'mang
三江行人绝,san'jiang'xing'ren'jue
三径荒芜羞对客,san'jing'huang'wu'xiu'dui'ke
三绝自御题,san'jue'zi'yu'ti
三军大呼阴山动,san'jun'da'hu'yin'shan'dong
三军晦光彩,san'jun'hui'guang'cai
三军同晏眠,san'jun'tong'yan'mian
散乱床上书,san'luan'chuang'shang'shu
三命谒金殿,san'ming'ye'jin'dian
三男邺城戍,san'nan'ye'cheng'shu
三年笛里关山月,san'nian'di'li'guan'shan'yue
三年独此心,san'nian'du'ci'xin
三年贾谊心,san'nian'gu'yi'xin
三年饥走荒山道,san'nian'ji'zou'huang'shan'dao
三年纠一郡,san'nian'jiu'yi'jun
三年绝乡信,san'nian'jue'xiang'xin
三年门巷空,san'nian'men'xiang'kong
三年望东吴,san'nian'wang'dong'wu
三年望汝归,san'nian'wang'ru'gui
三年犹疟疾,san'nian'you'nue'ji
三年作逐臣,san'nian'zuo'zhu'chen
三请皆不忍,san'qing'jie'bu'ren
三清小鸟传仙语,san'qing'xiao'niao'chuan'xian'yu
三人并入直,san'ren'bing'ru'zhi
三人各瘦何人强,san'ren'ge'shou'he'ren'qiang
三日无行人,san'ri'wu'xing'ren
三日一共筵,san'ri'yi'gong'yan
散入珠帘湿罗幕,san'ru'zhu'lian'shi'luo'mu
三山安在哉,san'shan'an'zai'zai
三山处子下人间,san'shan'chu'zi'xia'ren'jian
三十六峰犹眼前,san'shi'liu'feng'you'yan'qian
三十始一命,san'shi'shi'yi'ming
三事早提携,san'shi'zao'ti'xie
三蜀澄清郡政闲,san'shu'deng'qing'jun'zheng'xian
三岁清秋至,san'sui'qing'qiu'zhi
三岁如转烛,san'sui'ru'zhuan'zhu
三岁为客宽边愁,san'sui'wei'ke'kuan'bian'chou
三台冀入梦,san'tai'ji'ru'meng
三台丧大贤,san'tai'sang'da'xian
三叹酒食旁,san'tan'jiu'shi'pang
三叹问府主,san'tan'wen'fu'zhu
三叹终自愧,san'tan'zhong'zi'kui
散蹄迸落瞿塘石,san'ti'beng'luo'qu'tang'shi
三危放逐臣,san'wei'fang'zhu'chen
三违颍水春,san'wei'ying'shui'chun
三峡春冬交,san'xia'chun'dong'jiao
三峡徒雷吼,san'xia'tu'lei'hou
三献终,san'xian'zhong
三湘东复西,san'xiang'dong'fu'xi
三湘迁客去,san'xiang'qian'ke'qu
三湘万里流,san'xiang'wan'li'liu
三湘亦置军,san'xiang'yi'zhi'jun
三星汉水边,san'xing'han'shui'bian
三夜频梦君,san'ye'pin'meng'jun
三已契愚衷,san'yi'qi'yu'zhong
三月灞陵春已老,san'yue'ba'ling'chun'yi'lao
三月垂杨蚕未眠,san'yue'chui'yang'can'wei'mian
三月三日天气新,san'yue'san'ri'tian'qi'xin
三月师逾整,san'yue'shi'yu'zheng
三月无青草,san'yue'wu'qing'cao
三月犹未还,san'yue'you'wei'hai
三载已辞家,san'zai'yi'ci'jia
三掌华阳兵,san'zhang'hua'yang'bing
散职既不羁,san'zhi'ji'bu'ji
三止锦江沸,san'zhi'jin'jiang'fei
散帙起翠螭,san'zhi'qi'cui'chi
散帙至栖鸟,san'zhi'zhi'qi'niao
三州陷犬戎,san'zhou'xian'quan'rong
散足尽西靡,san'zu'jin'xi'mi
散卒争椎埋,san'zu'zheng'zhui'mai
三足之乌足恐断,san'zu'zhi'wu'zu'kong'duan
丧乱饱经过,sang'luan'bao'jing'guo
丧乱纷嗷嗷,sang'luan'fen'ao'ao
丧乱几时休,sang'luan'ji'shi'xiu
丧乱死多门,sang'luan'si'duo'men
丧乱闻吾弟,sang'luan'wen'wu'di
丧马思开卦,sang'ma'si'kai'gua
桑叶隐村户,sang'ye'yin'cun'hu
桑野郁芊芊,sang'ye'yu'qian'qian
桑叶原上起,sang'ye'yuan'shang'qi
桑柘叶如雨,sang'zhe'ye'ru'yu
桑柘盈田畴,sang'zhe'ying'tian'chou
扫除白发黄精在,sao'chu'bai'fa'huang'jing'zai
扫除方寸间,sao'chu'fang'cun'jian
扫除似无帚,sao'chu'si'wu'zhou
扫林驱虎出,sao'lin'qu'hu'chu
骚然疲中原,sao'ran'pi'zhong'yuan
骚人夸竹杖,sao'ren'kua'zhu'zhang
扫洒数不缺,sao'sa'shu'bu'que
缫丝须长不须白,sao'si'xu'chang'bu'xu'bai
扫雪开松径,sao'xue'kai'song'jing
扫竹催铺席,sao'zhu'cui'pu'xi
色悲充尔娱,se'bei'chong'er'yu
色洞每含虚,se'dong'mei'han'xu
色借玉珂迷晓骑,se'jie'yu'ke'mi'xiao'qi
色难腥腐餐风香,se'nan'xing'fu'can'feng'xiang
色向群木深,se'xiang'qun'mu'shen
色映塞外春,se'ying'sai'wai'chun
色与春庭暮,se'yu'chun'ting'mu
色与旧时同,se'yu'jiu'shi'tong
色湛青苔里,se'zhan'qing'tai'li
色阻金印大,se'zu'jin'yin'da
森沉云树寒,sen'chen'yun'shu'han
森罗移地轴,sen'luo'yi'di'zhou
森木乱鸣蝉,sen'mu'luan'ming'chan
森然睹毛发,sen'ran'du'mao'fa
森然起凡例,sen'ran'qi'fan'li
森然瞻武库,sen'ran'zhan'wu'ku
森森千丈松,sen'sen'qian'zhang'song
森疏见矛戟,sen'shu'jian'mao'ji
僧宝人人沧海珠,seng'bao'ren'ren'cang'hai'zhu
僧背夕阳归,seng'bei'xi'yang'gui
僧饭屡过门,seng'fan'lv'guo'men
僧房暮与朝,seng'fang'mu'yu'chao
僧房云濛濛,seng'fang'yun'meng'meng
僧腊老烟霄,seng'la'lao'yan'xiao
僧斋日幽寂,seng'zhai'ri'you'ji
沙岸拍不定,sha'an'pai'bu'ding
沙闇一灯烧,sha'an'yi'deng'shao
沙白滩漫漫,sha'bai'tan'man'man
沙边且停桡,sha'bian'qie'ting'rao
沙尘朝蔽日,sha'chen'chao'bi'ri
沙尘扑马汗,sha'chen'pu'ma'han
沙道尚依然,sha'dao'shang'yi'ran
杀敌无遗残,sha'di'wu'yi'can
杀伐灾仿佛,sha'fa'zai'fang'fu
铩翮再联翩,sha'he'zai'lian'pian
