阿基米德巧计,a'ji'mi'de'qiao'ji
炮兵火力侦察,pao'bing'huo'li'zhen'cha
炮兵基本阵地,pao'bing'ji'ben'zhen'di
炮兵机动,pao'bing'ji'dong
炮兵集结地域,pao'bing'ji'jie'di'yu
炮兵集中指挥,pao'bing'ji'zhong'zhi'hui
炮兵交替指挥,pao'bing'jiao'ti'zhi'hui
炮兵局,pao'bing'ju
炮兵空中侦察,pao'bing'kong'zhong'zhen'cha
炮兵临时阵地,pao'bing'lin'shi'zhen'di
炮兵配置地域,pao'bing'pei'zhi'di'yu
炮兵齐射,pao'bing'qi'she
炮兵气象勤务,pao'bing'qi'xiang'qin'wu
炮兵牵引车,pao'bing'qian'yin'che
炮兵区分,pao'bing'qu'fen
炮兵群,pao'bing'qun
炮兵射击,pao'bing'she'ji
炮兵射击效果,pao'bing'she'ji'xiao'guo
炮兵射击指挥,pao'bing'she'ji'zhi'hui
炮兵射击准备,pao'bing'she'ji'zhun'bei
炮兵疏散地域,pao'bing'shu'san'di'yu
炮兵团,pao'bing'tuan
炮兵行动计划,pao'bing'xing'dong'ji'hua
炮兵营,pao'bing'ying
炮兵预备队,pao'bing'yu'bei'dui
炮兵预备阵地,pao'bing'yu'bei'zhen'di
炮兵越级指挥,pao'bing'yue'ji'zhi'hui
炮兵战术,pao'bing'zhan'shu
炮兵战术名词,pao'bing'zhan'shu'ming'ci
炮兵照相勤务,pao'bing'zhao'xiang'qin'wu
炮兵照相侦察,pao'bing'zhao'xiang'zhen'cha
炮兵侦察,pao'bing'zhen'cha
炮兵指挥,pao'bing'zhi'hui
炮兵指挥分队,pao'bing'zhi'hui'fen'dui
炮兵指挥所,pao'bing'zhi'hui'suo
炮兵逐级指挥,pao'bing'zhu'ji'zhi'hui
炮兵自卫射击,pao'bing'zi'wei'she'ji
跑道灯,pao'dao'deng
跑道端灯,pao'dao'duan'deng
跑道中心线,pao'dao'zhong'xin'xian
炮队镜,pao'dui'jing
炮箍,pao'gu
炮火保障,pao'huo'bao'zhang
炮火反击,pao'huo'fan'ji
炮火封锁,pao'huo'feng'suo
炮火假转移,pao'huo'jia'zhuan'yi
炮火突击,pao'huo'tu'ji
炮火袭击,pao'huo'xi'ji
炮火掩护,pao'huo'yan'hu
炮火延伸,pao'huo'yan'shen
炮火支援,pao'huo'zhi'yuan
炮火转移,pao'huo'zhuan'yi
炮火追击,pao'huo'zhui'ji
炮火准备,pao'huo'zhun'bei
炮击岸上目标,pao'ji'an'shang'mu'biao
炮架部,pao'jia'bu
抛金逃命,pao'jin'tao'ming
炮瞄,pao'miao
炮瞄雷达,pao'miao'lei'da
炮钮,pao'niu
炮盘,pao'pan
炮射导弹,pao'she'dao'dan
抛射药包,pao'she'yao'bao
炮身,pao'shen
炮身部,pao'shen'bu
炮手,pao'shou
炮闩,pao'shuan
炮塔,pao'ta
炮塔炮,pao'ta'pao
炮塔上装有,pao'ta'shang'zhuang'you
炮塔座圈,pao'ta'zuo'quan
炮艇,pao'ting
炮位,pao'wei
炮尾,pao'wei
炮位雷达,pao'wei'lei'da
炮校,pao'xiao
炮校机,pao'xiao'ji
炮战,pao'zhan
炮阵地,pao'zhen'di
配备燧发枪,pei'bei'sui'fa'qiang
裴迪南,pei'di'nan
配合使用,pei'he'shi'yong
配齐,pei'qi
配属,pei'shu
配属炮兵,pei'shu'pao'bing
配水,pei'shui
配水计划,pei'shui'ji'hua
配系,pei'xi
配置,pei'zhi
配置暴露征候,pei'zhi'bao'lu'zheng'hou
配置地域,pei'zhi'di'yu
配置在,pei'zhi'zai
配装有,pei'zhuang'you
喷火,pen'huo
喷火分队,pen'huo'fen'dui
喷火距离,pen'huo'ju'li
喷火器,pen'huo'qi
喷火时间,pen'huo'shi'jian
喷火手,pen'huo'shou
喷火坦克,pen'huo'tan'ke
喷火油料,pen'huo'you'liao
喷火油料保障,pen'huo'you'liao'bao'zhang
喷锚,pen'mao
喷锚支护,pen'mao'zhi'hu
喷气发动机,pen'qi'fa'dong'ji
喷气式,pen'qi'shi
喷气式飞机,pen'qi'shi'fei'ji
喷洒,pen'sa
喷洒车,pen'sa'che
喷射,pen'she
喷射物质,pen'she'wu'zhi
喷水推进,pen'shui'tui'jin
喷嚏性毒剂,pen'ti'xing'du'ji
喷筒,pen'tong
喷雾装置,pen'wu'zhuang'zhi
批次,pi'ci
批复,pi'fu
皮肤防护器材,pi'fu'fang'hu'qi'cai
皮肤渗透,pi'fu'shen'tou
皮轨,pi'gui
皮卡汀尼导轨,pi'ka'ting'ni'dao'gui
偏差法,pian'cha'fa
偏差法试射,pian'cha'fa'shi'she
偏离航线,pian'li'hang'xian
偏离目标,pian'li'mu'biao
偏流,pian'liu
偏流距离,pian'liu'ju'li
偏流线,pian'liu'xian
漂浮水雷,piao'fu'shui'lei
漂雷,piao'lei
漂流物,piao'liu'wu
骠骑府,piao'qi'fu
骠骑将军,piao'qi'jiang'jun
频带,pin'dai
频带宽度,pin'dai'kuan'du
频率,pin'lv
频率固定,pin'lv'gu'ding
频率划分,pin'lv'hua'fen
频率稳定度,pin'lv'wen'ding'du
频率指配,pin'lv'zhi'pei
频谱,pin'pu
频谱仪,pin'pu'yi
聘请保安人员,pin'qing'bao'an'ren'yuan
聘请翻译,pin'qing'fan'yi
贫铀,pin'you
贫铀穿甲弹,pin'you'chuan'jia'dan
品质特征,pin'zhi'te'zheng
平板车,ping'ban'che
平报,ping'bao
屏蔽物,ping'bi'wu
屏蔽装甲,ping'bi'zhuang'jia
平飞最大速度,ping'fei'zui'da'su'du
平飞最小速度,ping'fei'zui'xiao'su'du
评功,ping'gong
平衡机,ping'heng'ji
评教评学,ping'jiao'ping'xue
平津战役,ping'jin'zhan'yi
平均弹道,ping'jun'dan'dao
平均单位压力,ping'jun'dan'wei'ya'li
平均弹着点,ping'jun'dan'zhuo'dian
平均海平面,ping'jun'hai'ping'mian
平均降水量,ping'jun'jiang'shui'liang
平均运动速度,ping'jun'yun'dong'su'du
平流层,ping'liu'ceng
平流气球,ping'liu'qi'qiu
平流圈,ping'liu'quan
平面式打磨,ping'mian'shi'da'mo
平面直角坐标,ping'mian'zhi'jiao'zuo'biao
屏幕式反导,ping'mu'shi'fan'dao
平曲结合,ping'qu'jie'he
平射,ping'she
平时编制,ping'shi'bian'zhi
平时体制,ping'shi'ti'zhi
平台甲板,ping'tai'jia'ban
平型关,ping'xing'guan
平型关战斗,ping'xing'guan'zhan'dou
平行滑行道,ping'xing'hua'xing'dao
平行输送,ping'xing'shu'song
平行追击,ping'xing'zhui'ji
平战结合,ping'zhan'jie'he
破彼之破,po'bi'zhi'po
坡度,po'du
破国次之,po'guo'ci'zhi
破坏程度,po'huai'cheng'du
破坏弹,po'huai'dan
破坏等级,po'huai'deng'ji
破坏射击,po'huai'she'ji
破坏性,po'huai'xing
破坏药,po'huai'yao
破坏作业,po'huai'zuo'ye
破甲,po'jia
破甲弹,po'jia'dan
破甲和碎甲,po'jia'he'sui'jia
破甲厚度,po'jia'hou'du
破甲威力,po'jia'wei'li
迫降,po'jiang
迫降场,po'jiang'chang
破军罢马,po'jun'ba'ma
破军次之,po'jun'ci'zhi
破门队,po'men'dui
破片,po'pian
破片地雷,po'pian'di'lei
泼水不能入,po'shui'bu'neng'ru
破伍次之,po'wu'ci'zhi
破袭,po'xi
破袭战,po'xi'zhan
破译,po'yi
破译密码,po'yi'mi'ma
破译人员,po'yi'ren'yuan
破译手段,po'yi'shou'duan
破译学,po'yi'xue
破卒次之,po'zu'ci'zhi
普奥战争,pu'ao'zhan'zheng
普法战争,pu'fa'zhan'zheng
匍匐前进,pu'fu'qian'jin
浦贺号扫雷舰,pu'he'hao'sao'lei'jian
普通弹,pu'tong'dan
普通地图,pu'tong'di'tu
普通电话,pu'tong'dian'hua
普通海图,pu'tong'hai'tu
普通航空图,pu'tong'hang'kong'tu
普通净水车,pu'tong'jing'shui'che
普通瞄具,pu'tong'miao'ju
普通民兵,pu'tong'min'bing
普通炸弹,pu'tong'zha'dan
起爆,qi'bao
起爆电流,qi'bao'dian'liu
起爆法,qi'bao'fa
七宝岗,qi'bao'gang
起爆能力,qi'bao'neng'li
起爆器,qi'bao'qi
起爆时间,qi'bao'shi'jian
起爆网路,qi'bao'wang'lu
起爆药,qi'bao'yao
起爆装置,qi'bao'zhuang'zhi
骑兵,qi'bing
骑兵部队,qi'bing'bu'dui
骑兵连,qi'bing'lian
骑兵旁牌,qi'bing'pang'pai
骑兵师,qi'bing'shi
骑兵团,qi'bing'tuan
骑兵学校,qi'bing'xue'xiao
骑兵营,qi'bing'ying
骑兵战术,qi'bing'zhan'shu
骑兵支队,qi'bing'zhi'dui
骑兵纵队,qi'bing'zong'dui
齐步走,qi'bu'zou
器材保障所,qi'cai'bao'zhang'suo
器材仓库,qi'cai'cang'ku
器材泛水,qi'cai'fan'shui
器材集结场,qi'cai'ji'jie'chang
器材基数,qi'cai'ji'shu
汽车兵,qi'che'bing
汽车技术保障,qi'che'ji'shu'bao'zhang
汽车军事运输,qi'che'jun'shi'yun'shu
汽车勤务,qi'che'qin'wu
汽车运输大队,qi'che'yun'shu'da'dui
其次伐兵,qi'ci'fa'bing
其次伐交,qi'ci'fa'jiao
气垫船,qi'dian'chuan
气垫登陆艇,qi'dian'deng'lu'ting
气动枪,qi'dong'qiang
起动压力,qi'dong'ya'li
起渡点,qi'du'dian
骑而驰突,qi'er'chi'tu
齐发命中,qi'fa'ming'zhong
起飞区,qi'fei'qu
起飞线,qi'fei'xian
旗风,qi'feng
乞伏炽,qi'fu'chi
起伏地,qi'fu'de
乞伏慧,qi'fu'hui
企岗头,qi'gang'tou
七格,qi'ge
旗号,qi'hao
旗号通信,qi'hao'tong'xin
气候带,qi'hou'dai
气候分区,qi'hou'fen'qu
气候分析,qi'hou'fen'xi
气候区分,qi'hou'qu'fen
气候适应,qi'hou'shi'ying
气候展望,qi'hou'zhan'wang
齐会战斗,qi'hui'zhan'dou
戚继光,qi'ji'guang
启剑,qi'jian
起落航线,qi'luo'hang'xian
起落滑跑距离,qi'luo'hua'pao'ju'li
起落架,qi'luo'jia
起落装置,qi'luo'zhuang'zhi
起锚,qi'mao
奇门兵器,qi'men'bing'qi
气密检查,qi'mi'jian'cha
其妙在於,qi'miao'zai'yu
七年战争,qi'nian'zhan'zheng
欺骗干扰机,qi'pian'gan'rao'ji
欺骗性,qi'pian'xing
欺骗性干扰,qi'pian'xing'gan'rao
七普林,qi'pu'lin
气溶胶,qi'rong'jiao
气溶胶发生器,qi'rong'jiao'fa'sheng'qi
齐射,qi'she
齐射量,qi'she'liang
起始经线,qi'shi'jing'xian
其所措胜,qi'suo'cuo'sheng
其他火器,qi'ta'huo'qi
齐头并进,qi'tou'bing'jin
企图,qi'tu
企图立案,qi'tu'li'an
奇袭,qi'xi
其下攻城,qi'xia'gong'cheng
气象保障,qi'xiang'bao'zhang
气象保障计划,qi'xiang'bao'zhang'ji'hua
气象保障指示,qi'xiang'bao'zhang'zhi'shi
气象报知通信,qi'xiang'bao'zhi'tong'xin
气象部队,qi'xiang'bu'dui
气象潮,qi'xiang'chao
气象车,qi'xiang'che
气象传真,qi'xiang'chuan'zhen
气象分队,qi'xiang'fen'dui
气象观测,qi'xiang'guan'ce
气象观测员,qi'xiang'guan'ce'yuan
气象管制,qi'xiang'guan'zhi
气象火箭,qi'xiang'huo'jian
气象雷达,qi'xiang'lei'da
气象勤务,qi'xiang'qin'wu
气象情报,qi'xiang'qing'bao
气象情报传递,qi'xiang'qing'bao'chuan'di
气象情报交换,qi'xiang'qing'bao'jiao'huan
气象情报接收,qi'xiang'qing'bao'jie'shou
气象情报收集,qi'xiang'qing'bao'shou'ji
气象情报侦收,qi'xiang'qing'bao'zhen'shou
气象室,qi'xiang'shi
气象探测,qi'xiang'tan'ce
气象通报,qi'xiang'tong'bao
气象通信,qi'xiang'tong'xin
气象通信网,qi'xiang'tong'xin'wang
气象网络,qi'xiang'wang'luo
气象卫星,qi'xiang'wei'xing
气象武器,qi'xiang'wu'qi
气象学,qi'xiang'xue
气象要素,qi'xiang'yao'su
气象影响,qi'xiang'ying'xiang
气象预报车,qi'xiang'yu'bao'che
气象战,qi'xiang'zhan
气象站,qi'xiang'zhan
气象侦察,qi'xiang'zhen'cha
气象诸元,qi'xiang'zhu'yuan
气象装备器材,qi'xiang'zhuang'bei'qi'cai
气象资料,qi'xiang'zi'liao
器械体操训练,qi'xie'ti'cao'xun'lian
气旋中心,qi'xuan'zhong'xin
企业事业单位,qi'ye'shi'ye'dan'wei
启用时间,qi'yong'shi'jian
其用战也,qi'yong'zhan'ye
旗语通信,qi'yu'tong'xin
骑战,qi'zhan
奇战,qi'zhan
气战,qi'zhan
起着,qi'zhe
奇正战术,qi'zheng'zhan'shu
七中队,qi'zhong'dui
其中俄军,qi'zhong'e'jun
期终考试,qi'zhong'kao'shi
其中一,qi'zhong'yi
其中有,qi'zhong'you
起重运输机械,qi'zhong'yun'shu'ji'xie
齐转,qi'zhuan
齐装,qi'zhuang
齐装满员,qi'zhuang'man'yuan
其族尤以,qi'zu'you'yi
前冲,qian'chong
前冲机,qian'chong'ji
前冲炮,qian'chong'pao
前出,qian'chu
牵出线,qian'chu'xian
前导舰,qian'dao'jian
潜地导弹,qian'di'dao'dan
前敌委员会,qian'di'wei'yuan'hui
浅地下,qian'di'xia
浅地下核爆炸,qian'di'xia'he'bao'zha
潜渡,qian'du
潜渡场,qian'du'chang
前方干扰分群,qian'fang'gan'rao'fen'qun
前方尖兵,qian'fang'jian'bing
前方交会法,qian'fang'jiao'hui'fa
前方警戒,qian'fang'jing'jie
前飞,qian'fei
潜伏观察,qian'fu'guan'cha
潜伏期,qian'fu'qi
潜伏哨,qian'fu'shao
潜伏侦察,qian'fu'zhen'cha
浅管竟设备,qian'guan'jing'she'bei
堑壕,qian'hao
潜舰导弹,qian'jian'dao'dan
前舰桥,qian'jian'qiao
前接后送,qian'jie'hou'song
千斤顶,qian'jin'ding
前进观察射击,qian'jin'guan'cha'she'ji
前进观察所,qian'jin'guan'cha'suo
前进抢修,qian'jin'qiang'xiu
前进指挥部,qian'jin'zhi'hui'bu
前进指挥所,qian'jin'zhi'hui'suo
浅近纵深,qian'jin'zong'shen
千克高爆碎裂,qian'ke'gao'bao'sui'lie
潜空导弹,qian'kong'dao'dan
乾坤日月刀,qian'kun'ri'yue'dao
乾坤日月轮刀,qian'kun'ri'yue'lun'dao
千里馈粮,qian'li'kui'liang
牵连损伤,qian'lian'sun'shang
潜龙出水,qian'long'chu'shui
前排气口,qian'pai'qi'kou
千骑,qian'qi
前桥,qian'qiao
前哨,qian'shao
前哨连,qian'shao'lian
前哨营,qian'shao'ying
潜水点,qian'shui'dian
潜水电泵,qian'shui'dian'beng
潜水疾病,qian'shui'ji'bing
潜水器材,qian'shui'qi'cai
潜水员,qian'shui'yuan
潜水装具,qian'shui'zhuang'ju
遣送出境,qian'song'chu'jing
前送后送,qian'song'hou'song
浅滩,qian'tan
千条线,qian'tiao'xian
潜听,qian'ting
潜艇报告网,qian'ting'bao'gao'wang
潜艇部队,qian'ting'bu'dui
潜艇固壳,qian'ting'gu'ke
潜艇基地,qian'ting'ji'di
潜艇医学,qian'ting'yi'xue
潜艇用图,qian'ting'yong'tu
潜望,qian'wang
潜望镜,qian'wang'jing
潜望深度,qian'wang'shen'du
前委,qian'wei
前卫号,qian'wei'hao
前线委员会,qian'xian'wei'yuan'hui
前线指挥部,qian'xian'zhi'hui'bu
钳形突击,qian'xing'tu'ji
前沿机场,qian'yan'ji'chang
前沿前,qian'yan'qian
前沿战斗,qian'yan'zhan'dou
前沿阵地,qian'yan'zhen'di
前洋,qian'yang
牵引车,qian'yin'che
牵引汽艇,qian'yin'qi'ting
牵引装置,qian'yin'zhuang'zhi
签证种类,qian'zheng'zhong'lei
钳制,qian'zhi
前指,qian'zhi
箝制,qian'zhi
牵制方向,qian'zhi'fang'xiang
箝制方向,qian'zhi'fang'xiang
前置式,qian'zhi'shi
前装滑膛枪,qian'zhuang'hua'tang'qiang
前装甲,qian'zhuang'jia
前装枪,qian'zhuang'qiang
潜坐,qian'zuo
潜坐海底,qian'zuo'hai'di
枪长七尺,qiang'chang'qi'chi
枪刺,qiang'ci
强大直射火力,qiang'da'zhi'she'huo'li
枪代炮,qiang'dai'pao
枪代炮射击,qiang'dai'pao'she'ji
枪弹,qiang'dan
枪弹上膛,qiang'dan'shang'tang
强点,qiang'dian
强渡,qiang'du
强渡江河,qiang'du'jiang'he
强而避之,qiang'er'bi'zhi
枪法以拦,qiang'fa'yi'lan
枪法之,qiang'fa'zhi
强风,qiang'feng
强辐射,qiang'fu'she
强干扰,qiang'gan'rao
枪高,qiang'gao
强攻,qiang'gong
枪管,qiang'guan
枪管长,qiang'guan'chang
枪管后侧,qiang'guan'hou'ce
枪管后座,qiang'guan'hou'zuo
枪管后座式,qiang'guan'hou'zuo'shi
枪管较长,qiang'guan'jiao'chang
枪管堪抗力,qiang'guan'kan'kang'li
枪管偏移,qiang'guan'pian'yi
枪管重,qiang'guan'zhong
强光电筒,qiang'guang'dian'tong
枪和矛一样,qiang'he'mao'yi'yang
强击,qiang'ji
枪机,qiang'ji
强击航空兵,qiang'ji'hang'kong'bing
强击机,qiang'ji'ji
枪机框,qiang'ji'kuang
强击群,qiang'ji'qun
强击直升机,qiang'ji'zhi'sheng'ji
枪架,qiang'jia
抢救车,qiang'jiu'che
抢救修理,qiang'jiu'xiu'li
枪口初速,qiang'kou'chu'su
枪口动能,qiang'kou'dong'neng
枪口活力,qiang'kou'huo'li
枪口震荡,qiang'kou'zhen'dang
枪宽,qiang'kuan
枪榴弹,qiang'liu'dan
强拿硬要,qiang'na'ying'yao
强迫他人劳动,qiang'po'ta'ren'lao'dong
枪谱载,qiang'pu'zai
枪全长,qiang'quan'chang
枪全高,qiang'quan'gao
枪全重,qiang'quan'zhong
枪如,qiang'ru
抢时间,qiang'shi'jian
枪术在,qiang'shu'zai
枪闩,qiang'shuan
抢滩冲击,qiang'tan'chong'ji
枪膛,qiang'tang
枪托,qiang'tuo
枪托展开,qiang'tuo'zhan'kai
枪托折叠,qiang'tuo'zhe'die
抢险救灾,qiang'xian'jiu'zai
枪械,qiang'xie
枪械分类,qiang'xie'fen'lei
枪械零部件,qiang'xie'ling'bu'jian
枪械名词,qiang'xie'ming'ci
枪械设计师,qiang'xie'she'ji'shi
枪械术语,qiang'xie'shu'yu
枪械专家,qiang'xie'zhuan'jia
强行爆破,qiang'xing'bao'po
强行补给,qiang'xing'bu'gei
强行带离现场,qiang'xing'dai'li'xian'chang
强行进入场内,qiang'xing'jin'ru'chang'nei
强行军,qiang'xing'jun
强行讨要,qiang'xing'tao'yao
抢修列车,qiang'xiu'lie'che
抢修所,qiang'xiu'suo
抢修组,qiang'xiu'zu
枪缨,qiang'ying
枪扎一线,qiang'zha'yi'xian
强战,qiang'zhan
强制检测,qiang'zhi'jian'ce
枪之来,qiang'zhi'lai
枪中王,qiang'zhong'wang
强装药弹,qiang'zhuang'yao'dan
桥板,qiao'ban
桥车,qiao'che
桥础,qiao'chu
桥础材,qiao'chu'cai
桥渡,qiao'du
桥渡场,qiao'du'chang
巧夺敌势,qiao'duo'di'shi
桥桁,qiao'heng
桥间,qiao'jian
桥间连接,qiao'jian'lian'jie
桥脚,qiao'jiao
桥脚舟,qiao'jiao'zhou
桥节,qiao'jie
桥节车,qiao'jie'che
桥节门桥,qiao'jie'men'qiao
桥接门桥,qiao'jie'men'qiao
巧借日影,qiao'jie'ri'ying
巧借谐音,qiao'jie'xie'yin
桥跨结构,qiao'kua'jie'gou
桥梁,qiao'liang
桥梁渡场,qiao'liang'du'chang
桥梁渡河,qiao'liang'du'he
桥梁渡河器材,qiao'liang'du'he'qi'cai
桥梁跨径,qiao'liang'kua'jing
桥梁器材,qiao'liang'qi'cai
桥梁水工机械,qiao'liang'shui'gong'ji'xie
桥梁维护,qiao'liang'wei'hu
桥楼,qiao'lou
桥头,qiao'tou
桥头堡,qiao'tou'bao
桥头阵地,qiao'tou'zhen'di
巧用敌间,qiao'yong'di'jian
巧用敌坦,qiao'yong'di'tan
巧用音响,qiao'yong'yin'xiang
桥轴线,qiao'zhou'xian
巧筑土城,qiao'zhu'tu'cheng
且穿甲,qie'chuan'jia
窃密,qie'mi
切入点,qie'ru'dian
茄溪,qie'xi
侵彻力,qin'che'li
擒敌拳,qin'di'quan
亲而离之,qin'er'li'zhi
侵犯人身权利,qin'fan'ren'shen'quan'li
秦汉兵制,qin'han'bing'zhi
侵华战争,qin'hua'zhan'zheng
亲军,qin'jun
侵略战争,qin'lue'zhan'zheng
侵扰中国沿海,qin'rao'zhong'guo'yan'hai
侵入人体,qin'ru'ren'ti
勤务,qin'wu
勤务舰船,qin'wu'jian'chuan
勤务舰船部队,qin'wu'jian'chuan'bu'dui
情报报知通信,qing'bao'bao'zhi'tong'xin
情报处理,qing'bao'chu'li
情报传递,qing'bao'chuan'di
情报分析,qing'bao'fen'xi
情报分站,qing'bao'fen'zhan
情报价值,qing'bao'jia'zhi
情报来源,qing'bao'lai'yuan
情报渠道,qing'bao'qu'dao
情报搜集,qing'bao'sou'ji
情报通报,qing'bao'tong'bao
情报要素,qing'bao'yao'su
情报侦察,qing'bao'zhen'cha
情报整理,qing'bao'zheng'li
情报总分站,qing'bao'zong'fen'zhan
情报总站,qing'bao'zong'zhan
轻便炮兵,qing'bian'pao'bing
轻便器材渡场,qing'bian'qi'cai'du'chang
轻便器材渡河,qing'bian'qi'cai'du'he
轻便桥,qing'bian'qiao
氢弹空投,qing'dan'kong'tou
清道旗,qing'dao'qi
请功,qing'gong
轻机枪,qing'ji'qiang
清剿,qing'jiao
情节较轻,qing'jie'jiao'qing
情节较重,qing'jie'jiao'zhong
情况处置,qing'kuang'chu'zhi
情况紧急,qing'kuang'jin'ji
情况判断,qing'kuang'pan'duan
情况显示,qing'kuang'xian'shi
轻浪,qing'lang
轻潜水,qing'qian'shui
氢氰酸,qing'qing'suan
轻三类,qing'san'lei
轻弹,qing'tan
青铜矛头,qing'tong'mao'tou
轻微毁伤,qing'wei'hui'shang
轻微破坏,qing'wei'po'huai
轻微沾染区,qing'wei'zhan'ran'qu
轻武器,qing'wu'qi
轻陷,qing'xian
倾斜发射装置,qing'xie'fa'she'zhuang'zhi
倾斜航空摄影,qing'xie'hang'kong'she'ying
倾斜航空照相,qing'xie'hang'kong'zhao'xiang
倾斜行驶速度,qing'xie'xing'shi'su'du
倾斜遮障,qing'xie'zhe'zhang
轻型,qing'xing
轻型渡河器材,qing'xing'du'he'qi'cai
轻型轰炸机,qing'xing'hong'zha'ji
轻型火炮,qing'xing'huo'pao
轻型机械化桥,qing'xing'ji'xie'hua'qiao
轻型桥梁,qing'xing'qiao'liang
轻型坦克,qing'xing'tan'ke
轻型直升机,qing'xing'zhi'sheng'ji
轻型舟桥,qing'xing'zhou'qiao
轻型装甲目标,qing'xing'zhuang'jia'mu'biao
清腰刀,qing'yao'dao
氢铀弹,qing'you'dan
晴雨通车公路,qing'yu'tong'che'gong'lu
轻战,qing'zhan
轻重两用机枪,qing'zhong'liang'yong'ji'qiang
轻装,qing'zhuang
穷战,qiong'zhan
球孢子菌,qiu'bao'zi'jun
泅渡,qiu'du
泅渡场,qiu'du'chang
求救诱敌,qiu'jiu'you'di
丘陵地,qiu'ling'di
丘牛大车,qiu'niu'da'che
邱少云,qiu'shao'yun
秋收起义,qiu'shou'qi'yi
求心退却,qiu'xin'tui'que
球形工事,qiu'xing'gong'shi
区赤卫大队,qu'chi'wei'da'dui
取敌之利者,qu'di'zhi'li'zhe
驱动轮,qu'dong'lun
区队,qu'dui
区分方向,qu'fen'fang'xiang
区分高度,qu'fen'gao'du
区分火力,qu'fen'huo'li
区分空域,qu'fen'kong'yu
区分目标,qu'fen'mu'biao
区分炮兵火力,qu'fen'pao'bing'huo'li
区分区域,qu'fen'qu'yu
区分时间,qu'fen'shi'jian
驱虎吞狼,qu'hu'tun'lang
屈力殚货,qu'li'dan'huo
屈身前进,qu'shen'qian'jin
躯体失能剂,qu'ti'shi'neng'ji
取用于国,qu'yong'yu'guo
区域防空,qu'yu'fang'kong
区域防空兵,qu'yu'fang'kong'bing
区域天气预报,qu'yu'tian'qi'yu'bao
区域游猎,qu'yu'you'lie
曲折运动,qu'zhe'yun'dong
曲制,qu'zhi
取之于敌,qu'zhi'yu'di
驱逐,qu'zhu
驱逐舰,qu'zhu'jian
驱逐舰支队,qu'zhu'jian'zhi'dui
全备弹,quan'bei'dan
全部洗消,quan'bu'xi'xiao
全程护航,quan'cheng'hu'hang
全程作战,quan'cheng'zuo'zhan
全大马版快开,quan'da'ma'ban'kuai'kai
全导式,quan'dao'shi
全导式多弹头,quan'dao'shi'duo'dan'tou
全额战勤班,quan'e'zhan'qin'ban
全方向信号,quan'fang'xiang'xin'hao
全浮式,quan'fu'shi
全浮式气垫船,quan'fu'shi'qi'dian'chuan
全高度,quan'gao'du
全功能野战刀,quan'gong'neng'ye'zhan'dao
全国铁路网,quan'guo'tie'lu'wang
全国为上,quan'guo'wei'shang
全歼,quan'jian
全景航空摄影,quan'jing'hang'kong'she'ying
全景航空照相,quan'jing'hang'kong'zhao'xiang
全军,quan'jun
全军覆没,quan'jun'fu'mo
全军为上,quan'jun'wei'shang
全军文艺汇演,quan'jun'wen'yi'hui'yan
全面动员,quan'mian'dong'yuan
全面攻击,quan'mian'gong'ji
全面战略,quan'mian'zhan'lue
全面战争,quan'mian'zhan'zheng
全妻杨氏,quan'qi'yang'shi
全枪长,quan'qiang'chang
全球定位系统,quan'qiu'ding'wei'xi'tong
全球性通信,quan'qiu'xing'tong'xin
全球战略,quan'qiu'zhan'lue
全日潮,quan'ri'chao
全身缺氧,quan'shen'que'yang
全身心,quan'shen'xin
全身照射,quan'shen'zhao'she
全身中毒,quan'shen'zhong'du
全师,quan'shi
全时,quan'shi
全时开放,quan'shi'kai'fang
全时守候,quan'shi'shou'hou
全寿命升级,quan'shou'ming'sheng'ji
全速,quan'su
全套出口价格,quan'tao'chu'kou'jia'ge
全体指战员,quan'ti'zhi'zhan'yuan
全天候,quan'tian'hou
全天候飞行,quan'tian'hou'fei'xing
全天候飞行员,quan'tian'hou'fei'xing'yuan
全天候使用,quan'tian'hou'shi'yong
全团,quan'tuan
全伍为上,quan'wu'wei'shang
全向,quan'xiang
全向攻击,quan'xiang'gong'ji
全形舟,quan'xing'zhou
全训,quan'xun
全训安排,quan'xun'an'pai
全营,quan'ying
全自动手枪,quan'zi'dong'shou'qiang
全卒为上,quan'zu'wei'shang
确保线,que'bao'xian
缺编,que'bian
确定站立点,que'ding'zhan'li'dian
缺职,que'zhi
群体性事件,qun'ti'xing'shi'jian
群众纪律,qun'zhong'ji'lv
群众慴服,qun'zhong'she'fu
群众性练兵,qun'zhong'xing'lian'bing
群众性洗消,qun'zhong'xing'xi'xiao
染毒,ran'du
染毒程度,ran'du'cheng'du
染毒道路,ran'du'dao'lu
染毒范围,ran'du'fan'wei
染毒空气,ran'du'kong'qi
染毒区,ran'du'qu
染毒通路,ran'du'tong'lu
染毒物体,ran'du'wu'ti
染毒样品,ran'du'yang'pin
染毒种类,ran'du'zhong'lei
燃放烟花爆竹,ran'fang'yan'hua'bao'zhu
燃料产物,ran'liao'chan'wu
燃料空气弹,ran'liao'kong'qi'dan
燃料空气炸药,ran'liao'kong'qi'zha'yao
燃料油,ran'liao'you
燃烧弹,ran'shao'dan
燃烧地雷,ran'shao'di'lei
燃烧剂,ran'shao'ji
燃烧子母弹,ran'shao'zi'mu'dan
燃速,ran'su
冉庄,ran'zhuang
冉庄地道战,ran'zhuang'di'dao'zhan
扰乱公共秩序,rao'luan'gong'gong'zhi'xu
