暧暧澄湖光,ai'ai'cheng'hu'guang
苍山隐暮雪,cang'shan'yin'mu'xue
苍生待发蒙,cang'sheng'dai'fa'meng
苍生赖此游,cang'sheng'lai'ci'you
苍生属伊吕,cang'sheng'shu'yi'lv
苍生思谢公,cang'sheng'si'xie'gong
苍苔白露生三径,cang'tai'bai'lu'sheng'san'jing
苍苔覆闲地,cang'tai'fu'xian'di
苍苔换古今,cang'tai'huan'gu'jin
苍苔绝行径,cang'tai'jue'xing'jing
苍梧千载后,cang'wu'qian'zai'hou
苍梧山崩湘水绝,cang'wu'shan'beng'xiang'shui'jue
苍梧万里路,cang'wu'wan'li'lu
苍梧云里夕,cang'wu'yun'li'xi
苍梧云中暮帆灭,cang'wu'yun'zhong'mu'fan'mie
苍梧在何处,cang'wu'zai'he'chu
沧洲摆雾空,cang'zhou'bai'wu'kong
沧洲不复恋鱼竿,cang'zhou'bu'fu'lian'yu'gan
沧洲不可涯,cang'zhou'bu'ke'ya
沧洲此会稀,cang'zhou'ci'hui'xi
沧洲此路遐,cang'zhou'ci'lu'xia
沧洲浮云暮,cang'zhou'fu'yun'mu
沧洲寄钓丝,cang'zhou'ji'diao'si
沧洲离别风烟远,cang'zhou'li'bie'feng'yan'yuan
沧洲每共思,cang'zhou'mei'gong'si
沧洲识近臣,cang'zhou'shi'jin'chen
沧洲未是阻心期,cang'zhou'wei'shi'zu'xin'qi
沧洲羡尔行,cang'zhou'xian'er'xing
沧洲忆旧居,cang'zhou'yi'jiu'ju
沧洲欲暮春,cang'zhou'yu'mu'chun
沧洲知所便,cang'zhou'zhi'suo'bian
草白狐兔骄,cao'bai'hu'tu'jiao
草不谢荣于春风,cao'bu'xie'rong'yu'chun'feng
曹娥想镜中,cao'e'xiang'jing'zhong
草覆昭丘绿,cao'fu'zhao'qiu'lv
草根寒露悲鸣虫,cao'gen'han'lu'bei'ming'chong
草枯秋塞上,cao'ku'qiu'sai'shang
草露深山里,cao'lu'shen'shan'li
草绿湖南万里情,cao'lv'hu'nan'wan'li'qing
草木悲感声飕飗,cao'mu'bei'gan'sheng'sou'liu
草木困横行,cao'mu'kun'heng'xing
草浅寒流速,cao'qian'han'liu'su
草色愁别时,cao'se'chou'bie'shi
草色村桥晚,cao'se'cun'qiao'wan
草色带罗裙,cao'se'dai'luo'qun
草色洞庭宽,cao'se'dong'ting'kuan
草色对王孙,cao'se'dui'wang'sun
草色官道边,cao'se'guan'dao'bian
草色连青袍,cao'se'lian'qing'pao
草色迷征路,cao'se'mi'zheng'lu
草色南湖绿,cao'se'nan'hu'lv
草色年年旧宫路,cao'se'nian'nian'jiu'gong'lu
草色青青送马蹄,cao'se'qing'qing'song'ma'ti
草色青青迎建隼,cao'se'qing'qing'ying'jian'sun
草色太湖多,cao'se'tai'hu'duo
草色无空地,cao'se'wu'kong'di
草色子陵滩,cao'se'zi'ling'tan
草树得阳和,cao'shu'de'yang'he
草映大堤春,cao'ying'da'di'chun
草映翻营绿,cao'ying'fan'ying'lv
操与霜雪明,cao'yu'shuang'xue'ming
侧身随下列,ce'shen'sui'xia'lie
侧身西望长咨嗟,ce'shen'xi'wang'chang'zi'jie
侧有浮云无所寄,ce'you'fu'yun'wu'suo'ji
侧足焦原未言苦,ce'zu'jiao'yuan'wei'yan'ku
岑翠映湖月,cen'cui'ying'hu'yue
岑夫子丹丘生,cen'fu'zi'dan'qiu'sheng
涔阳何处归,cen'yang'he'chu'gui
涔阳作游子,cen'yang'zuo'you'zi
蹭蹬空数年,ceng'deng'kong'shu'nian
曾见蛟龙去,ceng'jian'jiao'long'qu
曾结颍阳契,ceng'jie'ying'yang'qi
曾陪时龙蹑天衢,ceng'pei'shi'long'nie'tian'qu
