阿底村,a'di'cun
祥峪十字,xiang'yu'shi'zi
湘子庙街,xiang'zi'miao'jie
小白杨,xiao'bai'yang
小鲍坡,xiao'bao'po
小北门,xiao'bei'men
校本部,xiao'ben'bu
小东门,xiao'dong'men
消防队,xiao'fang'dui
小丰村,xiao'feng'cun
小江村东,xiao'jiang'cun'dong
小江村西,xiao'jiang'cun'xi
小江村中,xiao'jiang'cun'zhong
小居安村,xiao'ju'an'cun
肖里,xiao'li
肖里村,xiao'li'cun
小留村,xiao'liu'cun
小刘寨,xiao'liu'zhai
肖罗路口,xiao'luo'lu'kou
小南门,xiao'nan'men
小仁村,xiao'ren'cun
小苏村,xiao'su'cun
肖阎村,xiao'yan'cun
小雁塔,xiao'yan'ta
晓阳村,xiao'yang'cun
孝义庄,xiao'yi'zhuang
小峪,xiao'yu
小峪口,xiao'yu'kou
小寨,xiao'zhai
小寨东路东口,xiao'zhai'dong'lu'dong'kou
小寨服装城,xiao'zhai'fu'zhuang'cheng
小赵村,xiao'zhao'cun
泄湖,xie'hu
泄湖中学,xie'hu'zhong'xue
斜口,xie'kou
斜坡,xie'po
新安医院,xin'an'yi'yuan
新北,xin'bei
新堡子,xin'bu'zi
新城广场,xin'cheng'guang'chang
新城科技园,xin'cheng'ke'ji'yuan
新大地,xin'da'di
新店,xin'dian
新房村,xin'fang'cun
新房绿色家园,xin'fang'lv'se'jia'yuan
新丰火车站,xin'feng'huo'che'zhan
信号厂,xin'hao'chang
新合,xin'he
新合村,xin'he'cun
新华村,xin'hua'cun
新华街,xin'hua'jie
新华印刷厂,xin'hua'yin'shua'chang
辛家庙,xin'jia'miao
辛家庙东,xin'jia'miao'dong
辛家庙公交枢纽站,xin'jia'miao'gong'jiao'shu'niu'zhan
辛家庙西村,xin'jia'miao'xi'cun
新疆干休所,xin'jiang'gan'xiu'suo
新疆军区疗养院,xin'jiang'jun'qu'liao'yang'yuan
新疆三所,xin'jiang'san'suo
新街北村,xin'jie'bei'cun
新街村,xin'jie'cun
新街南村,xin'jie'nan'cun
新开门,xin'kai'men
新开门转盘,xin'kai'men'zhuan'pan
新寇村,xin'kou'cun
新联村,xin'lian'cun
新疗,xin'liao
新疗路,xin'liao'lu
鑫隆石油,xin'long'shi'you
新民村,xin'min'cun
新民街,xin'min'jie
新南,xin'nan
新桥职校,xin'qiao'zhi'xiao
新区,xin'qu
新区蒲家湾,xin'qu'pu'jia'wan
新区政府,xin'qu'zheng'fu
新寺,xin'si
新寺路西口,xin'si'lu'xi'kou
鑫泰园小区,xin'tai'yuan'xiao'qu
新桃园,xin'tao'yuan
新旺,xin'wang
新旺村,xin'wang'cun
信息大道,xin'xi'da'dao
新兴北路,xin'xing'bei'lu
新兴村,xin'xing'cun
新兴骏景园,xin'xing'jun'jing'yuan
新兴骏景园北门,xin'xing'jun'jing'yuan'bei'men
新阳坡,xin'yang'po
新月花园,xin'yue'hua'yuan
新寨村,xin'zhai'cun
新筑,xin'zhu
新庄,xin'zhuang
新庄村,xin'zhuang'cun
幸福路,xing'fu'lu
幸福路南口,xing'fu'lu'nan'kou
幸福中路,xing'fu'zhong'lu
星火东巷,xing'huo'dong'xiang
星火路立交,xing'huo'lu'li'jiao
兴教寺,xing'jiao'si
兴乐园小区,xing'le'yuan'xiao'qu
兴隆村,xing'long'cun
兴隆园艺场,xing'long'yuan'yi'chang
行南,xing'nan
兴南村,xing'nan'cun
兴庆公园,xing'qing'gong'yuan
兴庆公园北门,xing'qing'gong'yuan'bei'men
兴庆公园东门,xing'qing'gong'yuan'dong'men
兴庆路,xing'qing'lu
兴善寺东街,xing'shan'si'dong'jie
兴善寺西街,xing'shan'si'xi'jie
兴盛,xing'sheng
兴盛村,xing'sheng'cun
兴盛村东,xing'sheng'cun'dong
兴盛园小区,xing'sheng'yuan'xiao'qu
杏园村,xing'yuan'cun
行者办,xing'zhe'ban
行者街办,xing'zhe'jie'ban
行政中心,xing'zheng'zhong'xin
行政中心东区,xing'zheng'zhong'xin'dong'qu
行政中心西区,xing'zheng'zhong'xin'xi'qu
兴中路,xing'zhong'lu
熊家湾,xiong'jia'wan
修理厂,xiu'li'chang
秀岭,xiu'ling
许村,xu'cun
徐家堡,xu'jia'bao
徐家堡北街,xu'jia'bao'bei'jie
徐家沟,xu'jia'gou
徐家沟路口,xu'jia'gou'lu'kou
徐家湾,xu'jia'wan
徐家巷,xu'jia'xiang
徐家寨,xu'jia'zhai
徐家庄,xu'jia'zhuang
徐家庄北口,xu'jia'zhuang'bei'kou
许王村,xu'wang'cun
玄武路东口,xuan'wu'lu'dong'kou
玄武路中段,xuan'wu'lu'zhong'duan
学府大道西口,xue'fu'da'dao'xi'kou
薛家河,xue'jia'he
学士路,xue'shi'lu
学士路北口,xue'shi'lu'bei'kou
学士路南段,xue'shi'lu'nan'duan
训善,xun'shan
鸭池口村,ya'chi'kou'cun
亚迪路北口,ya'di'lu'bei'kou
亚东技术学院,ya'dong'ji'shu'xue'yuan
雅荷度假山庄,ya'he'du'jia'shan'zhuang
雅荷花园,ya'he'hua'yuan
亚美大厦,ya'mei'da'sha
雅苑小区,ya'yuan'xiao'qu
延安大学创新学院,yan'an'da'xue'chuang'xin'xue'yuan
堰渡村,yan'du'cun
堰渡村西,yan'du'cun'xi
延红村,yan'hong'cun
雁环花卉中心,yan'huan'hua'hui'zhong'xin
雁环路口,yan'huan'lu'kou
阎家村,yan'jia'cun
严家渠,yan'jia'qu
阎家滩,yan'jia'tan
燕家庄,yan'jia'zhuang
雁锦花卉市场,yan'jin'hua'hui'shi'chang
堰口,yan'kou
雁鸣小区,yan'ming'xiao'qu
雁鸣小区东门,yan'ming'xiao'qu'dong'men
雁鸣小区南门,yan'ming'xiao'qu'nan'men
雁南路,yan'nan'lu
雁南路南口,yan'nan'lu'nan'kou
雁南三路,yan'nan'san'lu
雁雀门村,yan'que'men'cun
阎十村,yan'shi'cun
雁塔水泥公司,yan'ta'shui'ni'gong'si
雁塔西路,yan'ta'xi'lu
雁塔西路东口,yan'ta'xi'lu'dong'kou
砚湾村,yan'wan'cun
雁翔路桥,yan'xiang'lu'qiao
雁翔桥,yan'xiang'qiao
延兴门南,yan'xing'men'nan
雁引路,yan'yin'lu
盐张村,yan'zhang'cun
羊村南口,yang'cun'nan'kou
杨沟村,yang'gou'cun
杨沟十字,yang'gou'shi'zi
阳光小区,yang'guang'xiao'qu
杨虎城陵园,yang'hu'cheng'ling'yuan
杨家村,yang'jia'cun
杨家坡,yang'jia'po
杨家湾,yang'jia'wan
杨家湾村,yang'jia'wan'cun
杨家庄,yang'jia'zhuang
杨柳村,yang'liu'cun
洋桥,yang'qiao
洋生管厂,yang'sheng'guan'chang
羊元村,yang'yuan'cun
羊元村西,yang'yuan'cun'xi
杨庄,yang'zhuang
药材市场,yao'cai'shi'chang
姚家河,yao'jia'he
姚家滩,yao'jia'tan
药王洞,yao'wang'dong
耶柿坡村,ye'shi'po'cun
逸翠园,yi'cui'yuan
一二四所,yi'er'si'suo
一号路西口,yi'hao'lu'xi'kou
义井,yi'jing
义井南门,yi'jing'nan'men
一零五街坊,yi'ling'wu'jie'fang
一千路,yi'qian'lu
艺术大街西环,yi'shu'da'jie'xi'huan
艺术学校,yi'shu'xue'xiao
医学院,yi'xue'yuan
怡园路,yi'yuan'lu
怡园路北口,yi'yuan'lu'bei'kou
银都华府,yin'du'hua'fu
阴水坊,yin'shui'fang
音乐舞蹈学院,yin'yue'wu'dao'xue'yuan
引镇,yin'zhen
引镇北,yin'zhen'bei
引镇东街,yin'zhen'dong'jie
引镇南,yin'zhen'nan
英发寨,ying'fa'zhai
营沟村,ying'gou'cun
樱花广场,ying'hua'guang'chang
英捷旧车交易中心,ying'jie'jiu'che'jiao'yi'zhong'xin
永城路东段,yong'cheng'lu'dong'duan
永城路西段,yong'cheng'lu'xi'duan
永福路,yong'fu'lu
永松路,yong'song'lu
永新路,yong'xin'lu
永新路北口,yong'xin'lu'bei'kou
永新路南口,yong'xin'lu'nan'kou
永兴村,yong'xing'cun
永兴南街,yong'xing'nan'jie
邮电北巷,you'dian'bei'xiang
邮电十所,you'dian'shi'suo
邮电学院南校区,you'dian'xue'yuan'nan'xiao'qu
幼儿园,you'er'yuan
油坊东,you'fang'dong
油坊街,you'fang'jie
油坊西,you'fang'xi
尤家庄,you'jia'zhuang
邮政局,you'zheng'ju
鱼包头,yu'bao'tou
育才路,yu'cai'lu
育才路东口,yu'cai'lu'dong'kou
鱼池村,yu'chi'cun
榆楚中学,yu'chu'zhong'xue
鱼化街办,yu'hua'jie'ban
鱼化桥,yu'hua'qiao
鱼化温泉,yu'hua'wen'quan
余家扁,yu'jia'bian
余家寨,yu'jia'zhai
郁家庄,yu'jia'zhuang
余上,yu'shang
余下,yu'xia
余下电厂,yu'xia'dian'chang
余下电影院,yu'xia'dian'ying'yuan
余下二商店,yu'xia'er'shang'dian
余下七街坊,yu'xia'qi'jie'fang
余下文化宫,yu'xia'wen'hua'gong
玉祥门,yu'xiang'men
毓秀园小区,yu'xiu'yuan'xiao'qu
御园小区,yu'yuan'xiao'qu
御苑新城,yu'yuan'xin'cheng
原点新城,yuan'dian'xin'cheng
园丁小区,yuan'ding'xiao'qu
远东二中,yuan'dong'er'zhong
袁家堡,yuan'jia'bao
圆盘路,yuan'pan'lu
袁旗寨,yuan'qi'zhai
源照村,yuan'zhao'cun
岳村东,yue'cun'dong
岳村西,yue'cun'xi
岳村中,yue'cun'zhong
月登阁,yue'deng'ge
岳家寨,yue'jia'zhai
岳家寨南,yue'jia'zhai'nan
岳旗寨,yue'qi'zhai
悦园路,yue'yuan'lu
悦园路北口,yue'yuan'lu'bei'kou
再生资源市场,zai'sheng'zi'yuan'shi'chang
皂河桥,zao'he'qiao
枣园,zao'yuan
枣园刘村,zao'yuan'liu'cun
枣园小区,zao'yuan'xiao'qu
造纸机械厂,zao'zhi'ji'xie'chang
造字台路北段,zao'zi'tai'lu'bei'duan
翟家堡,zhai'jia'bao
翟家堡村,zhai'jia'bao'cun
展宏十字,zhan'hong'shi'zi
站马村,zhan'ma'cun
丈八八路南段,zhang'ba'ba'lu'nan'duan
丈八办,zhang'ba'ban
丈八宾馆,zhang'ba'bin'guan
丈八东村,zhang'ba'dong'cun
丈八东路,zhang'ba'dong'lu
丈八二路南段,zhang'ba'er'lu'nan'duan
丈八立交北,zhang'ba'li'jiao'bei
丈八六路,zhang'ba'liu'lu
丈八六路北段,zhang'ba'liu'lu'bei'duan
丈八六路南段,zhang'ba'liu'lu'nan'duan
丈八六路中段,zhang'ba'liu'lu'zhong'duan
丈八派出所,zhang'ba'pai'chu'suo
丈八七路南段,zhang'ba'qi'lu'nan'duan
丈八三路南段,zhang'ba'san'lu'nan'duan
丈八四路,zhang'ba'si'lu
丈八四路北口,zhang'ba'si'lu'bei'kou
丈八四路南段,zhang'ba'si'lu'nan'duan
丈八五路南段,zhang'ba'wu'lu'nan'duan
丈八一路,zhang'ba'yi'lu
张村,zhang'cun
张杜村,zhang'du'cun
张洪寨,zhang'hong'zhai
张家堡,zhang'jia'bao
张家堡南街,zhang'jia'bao'nan'jie
张家堡西,zhang'jia'bao'xi
张家堡新区,zhang'jia'bao'xin'qu
张家村,zhang'jia'cun
张家坡,zhang'jia'po
张家湾村,zhang'jia'wan'cun
张家巷,zhang'jia'xiang
张家斜,zhang'jia'xie
张李村,zhang'li'cun
张牛村,zhang'niu'cun
张市村,zhang'shi'cun
张王村,zhang'wang'cun
彰仪村,zhang'yi'cun
赵村,zhao'cun
赵村东,zhao'cun'dong
兆丰村,zhao'feng'cun
赵家扁,zhao'jia'bian
赵家村,zhao'jia'cun
赵家庄,zhao'jia'zhuang
赵坡桥,zhao'po'qiao
赵湾,zhao'wan
赵西村,zhao'xi'cun
朝阳厂,zhao'yang'chang
朝阳托服中心,zhao'yang'tuo'fu'zhong'xin
振兴路,zhen'xing'lu
政法大学,zheng'fa'da'xue
政法大学南区,zheng'fa'da'xue'nan'qu
政法大学南校区,zheng'fa'da'xue'nan'xiao'qu
政法干校,zheng'fa'gan'xiao
政法学院,zheng'fa'xue'yuan
政法学院南区,zheng'fa'xue'yuan'nan'qu
政法学院西门,zheng'fa'xue'yuan'xi'men
郑家村,zheng'jia'cun
政务大厅,zheng'wu'da'ting
正义纺织公司,zheng'yi'fang'zhi'gong'si
纸坊村,zhi'fang'cun
智慧城,zhi'hui'cheng
纸筋厂,zhi'jin'chang
植物园,zhi'wu'yuan
至相寺,zhi'xiang'si
制药厂,zhi'yao'chang
直峪口,zhi'yu'kou
中堡子村,zhong'bu'zi'cun
中等村,zhong'deng'cun
中登家园,zhong'deng'jia'yuan
中丰店,zhong'feng'dian
中丰店村口,zhong'feng'dian'cun'kou
中钢路口,zhong'gang'lu'kou
中钢西重,zhong'gang'xi'zhong
中海东郡社区,zhong'hai'dong'jun'she'qu
中海东郡小区,zhong'hai'dong'jun'xiao'qu
中海熙岸社区,zhong'hai'xi'an'she'qu
中海熙岸小区,zhong'hai'xi'an'xiao'qu
中交西筑,zhong'jiao'xi'zhu
中联家居,zhong'lian'jia'ju
钟楼,zhong'lou
钟楼北,zhong'lou'bei
钟楼东,zhong'lou'dong
中色公司尚武苑,zhong'se'gong'si'shang'wu'yuan
中山门,zhong'shan'men
中铁现代物流,zhong'tie'xian'dai'wu'liu
中韦村,zhong'wei'cun
中心花园,zhong'xin'hua'yuan
中兴通讯,zhong'xing'tong'xun
钟研所,zhong'yan'suo
中云村,zhong'yun'cun
中兆村,zhong'zhao'cun
中祝村,zhong'zhu'cun
周北,zhou'bei
周河湾,zhou'he'wan
周家堡,zhou'jia'bao
周家坡村,zhou'jia'po'cun
周家寨,zhou'jia'zhai
周家庄,zhou'jia'zhuang
祝村十字,zhu'cun'shi'zi
祝村中学,zhu'cun'zhong'xue
铸管厂,zhu'guan'chang
朱宏堡,zhu'hong'bao
朱宏路,zhu'hong'lu
朱宏路公交枢纽站,zhu'hong'lu'gong'jiao'shu'niu'zhan
朱宏路机电市场,zhu'hong'lu'ji'dian'shi'chang
朱宏桥东,zhu'hong'qiao'dong
朱雀大街青松路口,zhu'que'da'jie'qing'song'lu'kou
朱雀门,zhu'que'men
朱雀森林公园,zhu'que'sen'lin'gong'yuan
竹园村,zhu'yuan'cun
砖厂,zhuan'chang
琢珥王,zhuo'er'wang
自来水五厂,zi'lai'shui'wu'chang
自强小区,zi'qiang'xiao'qu
紫薇,zi'wei
紫薇城市花园,zi'wei'cheng'shi'hua'yuan
紫薇花园,zi'wei'hua'yuan
紫薇融侨,zi'wei'rong'qiao
紫薇田园都市,zi'wei'tian'yuan'du'shi
子午大道,zi'wu'da'dao
子午大道南口,zi'wu'da'dao'nan'kou
子午建材商城,zi'wu'jian'cai'shang'cheng
子午路,zi'wu'lu
子午峪,zi'wu'yu
子午镇,zi'wu'zhen
嘴头村,zui'tou'cun
嘴头村二组,zui'tou'cun'er'zu
嘴头村三组,zui'tou'cun'san'zu
嘴头二村,zui'tou'er'cun
嘴头三村,zui'tou'san'cun
嘴头一村,zui'tou'yi'cun
