八宝茶,ba'bao'cha
一文钱,yi'wen'qian
一叶,yi'ye
一枝篙,yi'zhi'gao
一枝黄花,yi'zhi'huang'hua
一支箭,yi'zhi'jian
一枝香,yi'zhi'xiang
一柱香,yi'zhu'xiang
鳙鱼,yong'yu
友水龙骨,you'shui'long'gu
鱿鱼,you'yu
鱼肝,yu'gan
元宝草,yuan'bao'cao
元元草,yuan'yuan'cao
月桂子,yue'gui'zi
月季花,yue'ji'hua
月季花根,yue'ji'hua'gen
月季花叶,yue'ji'hua'ye
月见草,yue'jian'cao
月见罗瑞草,yue'jian'luo'rui'cao
云斑天牛,yun'ban'tian'niu
云桂虎刺,yun'gui'hu'ci
云锦杜鹃,yun'jin'du'juan
云母,yun'mu
云南草蔻,yun'nan'cao'kou
云南榧树,yun'nan'fei'shu
云南甘草,yun'nan'gan'cao
云南钩毛果,yun'nan'gou'mao'guo
云南观音座莲,yun'nan'guan'yin'zuo'lian
云南黄檀,yun'nan'huang'tan
云南荚,yun'nan'jia
云南猫尾草,yun'nan'mao'wei'cao
云南鸟足兰,yun'nan'niao'zu'lan
云南茜草,yun'nan'qian'cao
云南山梅花,yun'nan'shan'mei'hua
云南山竹子,yun'nan'shan'zhu'zi
云南鼠刺,yun'nan'shu'ci
云南苏铁根,yun'nan'su'tie'gen
云南苏铁果,yun'nan'su'tie'guo
云南苏铁茎,yun'nan'su'tie'jing
云南苏铁叶,yun'nan'su'tie'ye
云南梧桐,yun'nan'wu'tong
云南五叶参,yun'nan'wu'ye'can
云南香花藤,yun'nan'xiang'hua'teng
云南相思树,yun'nan'xiang'si'shu
云南小膜盖藏,yun'nan'xiao'mo'gai'cang
云南阴地蕨,yun'nan'yin'di'jue
云南油杉,yun'nan'you'shan
云南皂角刺,yun'nan'zao'jiao'ci
云南皂角根,yun'nan'zao'jiao'gen
云牛膝,yun'niu'xi
云雀脑,yun'que'nao
云雀肉,yun'que'rou
云实,yun'shi
云实根,yun'shi'gen
云实蛀虫,yun'shi'zhu'chong
云雾七,yun'wu'qi
藻根,zao'gen
翟雉,zhai'zhi
长花百蕊草,zhang'hua'bai'rui'cao
长花厚壳树,zhang'hua'hou'ke'shu
长花忍冬,zhang'hua'ren'dong
长花延胡索,zhang'hua'yan'hu'suo
长角大戟,zhang'jiao'da'ji
长叶赤爬根,zhang'ye'chi'pa'gen
长叶赤爬果,zhang'ye'chi'pa'guo
长叶火绒草,zhang'ye'huo'rong'cao
长叶荚,zhang'ye'jia
长叶金柑,zhang'ye'jin'gan
长叶排钱草,zhang'ye'pai'qian'cao
长叶山芝麻,zhang'ye'shan'zhi'ma
长叶山竹子,zhang'ye'shan'zhu'zi
长叶实蕨,zhang'ye'shi'jue
长叶头蕊兰,zhang'ye'tou'rui'lan
长叶苎麻,zhang'ye'zhu'ma
长叶紫珠,zhang'ye'zi'zhu
爪瓣虎耳草,zhao'ban'hu'er'cao
爪哇唐松草,zhao'wa'tang'song'cao
爪哇唐松草根,zhao'wa'tang'song'cao'gen
止泻木皮,zhi'xie'mu'pi
止血丹,zhi'xue'dan
止血马唐,zhi'xue'ma'tang
止血扇菇,zhi'xue'shan'gu
中国骨牌蕨,zhong'guo'gu'pai'jue
中国骨碎补,zhong'guo'gu'sui'bu
中国金星藏,zhong'guo'jin'xing'cang
中国水蛇,zhong'guo'shui'she
中国野菰,zhong'guo'ye'gu
中华东蚁蛉,zhong'hua'dong'yi'ling
中华豆芜青,zhong'hua'dou'wu'qing
中华短肠蕨,zhong'hua'duan'chang'jue
中华鼢鼠,zhong'hua'fen'shu
中华高山耳蕨,zhong'hua'gao'shan'er'jue
中华观音座莲,zhong'hua'guan'yin'zuo'lian
中华剑蕨,zhong'hua'jian'jue
中华卷柏,zhong'hua'juan'bai
中华木蜂,zhong'hua'mu'feng
中华青鳞鱼,zhong'hua'qing'lin'yu
中华石龙尾,zhong'hua'shi'long'wei
中华双扇蕨,zhong'hua'shuang'shan'jue
中华蹄盖蕨,zhong'hua'ti'gai'jue
中华天胡荽,zhong'hua'tian'hu'sui
中华续断,zhong'hua'xu'duan
中华续断子,zhong'hua'xu'duan'zi
中华蚱蜢,zhong'hua'zha'meng
中华锥花,zhong'hua'zhui'hua
中南鱼藤,zhong'nan'yu'teng
中平树,zhong'ping'shu
中旬山楂,zhong'xun'shan'zha
中亚滨藜,zhong'ya'bin'li
中亚天仙子,zhong'ya'tian'xian'zi
子宫草,zi'gong'cao
子楝树,zi'lian'shu
鳟鱼,zun'yu
