阿斗当皇帝软弱无能,a'dou'dang'huang'di'ruan'ruo'wu'neng
李倔郭汜大交兵,li'jue'guo'si'da'jiao'bing
离开洛阳,li'kai'luo'yang
李堪,li'kan
李乐,li'le
力量大体平衡,li'liang'da'ti'ping'heng
历陵,li'ling
醴陵,li'ling
李蒙,li'meng
李鹏,li'peng
荔浦,li'pu
李球,li'qiu
李儒,li'ru
李胜,li'sheng
李氏,li'shi
离石,li'shi
历史风云,li'shi'feng'yun
历史小说,li'shi'xiao'shuo
梨树神,li'shu'shen
李肃,li'su
李通,li'tong
骊望,li'wang
立为,li'wei
蠡吾,li'wu
立武中郎将,li'wu'zhong'lang'jiang
利县,li'xian
李暹,li'xian
李歆,li'xin
李严,li'yan
历阳,li'yang
溧阳,li'yang
黎阳,li'yang
李异,li'yi
李意,li'yi
李膺,li'ying
礼志,li'zhi
李撰,li'zhuan
连百万之军,lian'bai'wan'zhi'jun
连刺,lian'ci
连道,lian'dao
连环计,lian'huan'ji
连然,lian'ran
廉县,lian'xian
炼狱魔刀,lian'yu'mo'dao
炼狱战马,lian'yu'zhan'ma
良臣,liang'chen
良成,liang'cheng
梁道,liang'dao
梁甫,liang'fu
梁刚,liang'gang
梁国,liang'guo
梁畿,liang'ji
良将,liang'jiang
两军进行,liang'jun'jin'xing
梁宽,liang'kuan
梁期,liang'qi
梁虔,liang'qian
梁上君子,liang'shang'jun'zi
梁县,liang'xian
良乡,liang'xiang
梁兴,liang'xing
梁绪,liang'xu
两仪剑锻造书,liang'yi'jian'duan'zao'shu
亮志大而不见机,liang'zhi'da'er'bu'jian'ji
凉州,liang'zhou
凉州刺史部,liang'zhou'ci'shi'bu
梁邹,liang'zou
寥城,liao'cheng
聊城,liao'cheng
廖淳,liao'chun
辽东,liao'dong
辽东郡,liao'dong'jun
辽东属国,liao'dong'shu'guo
辽队,liao'dui
廖化,liao'hua
聊寄傲于琴书兮,liao'ji'ao'yu'qin'shu'xi
廖立,liao'li
辽西郡,liao'xi'jun
寥县,liao'xian
辽阳,liao'yang
烈风,lie'feng
列侯,lie'hou
列侯诸将无敢隐朕,lie'hou'zhu'jiang'wu'gan'yin'zhen
列口,lie'kou
列人,lie'ren
埒县,lie'xian
临尘,lin'chen
临汾,lin'fen
临贺,lin'he
临湖,lin'hu
临济,lin'ji
临江,lin'jiang
临晋,lin'jin
临泾,lin'jing
临沮,lin'ju
林虑,lin'lv
临羌,lin'qiang
临邛,lin'qiong
廪丘,lin'qiu
临戎,lin'rong
临汝,lin'ru
林叔,lin'shu
临睢,lin'sui
临洮,lin'tao
临沃,lin'wo
临武,lin'wu
蔺县,lin'xian
临湘,lin'xiang
临沂,lin'yi
临邑,lin'yi
临颍,lin'ying
临渝,lin'yu
临沅,lin'yuan
临允,lin'yun
临菑,lin'zi
泠苞,ling'bao
灵宝,ling'bao
凌操,ling'cao
泠道,ling'dao
灵帝,ling'di
灵帝驾崩,ling'di'jia'beng
灵帝死,ling'di'si
领方,ling'fang
令居,ling'ju
领军,ling'jun
领军将军,ling'jun'jiang'jun
另立,ling'li
零陵,ling'ling
零陵郡,ling'ling'jun
令明,ling'ming
灵山妙药,ling'shan'miao'yao
令史,ling'shi
令士,ling'shi
灵寿,ling'shou
凌统,ling'tong
令先,ling'xian
淩县,ling'xian
灵县,ling'xian
领徐州牧,ling'xu'zhou'mu
陵阳,ling'yang
零阳,ling'yang
令元,ling'yuan
令支,ling'zhi
灵芝,ling'zhi
灵州,ling'zhou
刘艾,liu'ai
刘安,liu'an
刘巴,liu'ba
刘豹,liu'bao
刘备,liu'bei
刘备编草鞋内行,liu'bei'bian'cao'xie'nei'hang
刘备的江山哭出来的,liu'bei'de'jiang'shan'ku'chu'lai'de
刘备借荆州有借无还,liu'bei'jie'jing'zhou'you'jie'wu'huan
刘备军,liu'bei'jun
刘备取蜀,liu'bei'qu'shu
刘备摔孩子收买人心,liu'bei'shuai'hai'zi'shou'mai'ren'xin
刘备为,liu'bei'wei
刘备自领益州牧,liu'bei'zi'ling'yi'zhou'mu
刘辩,liu'bian
刘表,liu'biao
流采,liu'cai
刘苌,liu'chang
刘丞,liu'cheng
刘宠,liu'chong
六出祁山,liu'chu'qi'shan
刘琮,liu'cong
刘达,liu'da
刘岱,liu'dai
刘度,liu'du
刘二牧传,liu'er'mu'chuan
刘范,liu'fan
刘放,liu'fang
刘封,liu'feng
刘馥,liu'fu
柳甫,liu'fu
刘关张,liu'guan'zhang
刘合,liu'he
刘皇叔北海救孔融,liu'huang'shu'bei'hai'jiu'kong'rong
刘皇叔洞房续佳偶,liu'huang'shu'dong'fang'xu'jia'ou
刘皇叔跃马过檀溪,liu'huang'shu'yue'ma'guo'tan'xi
刘恢,liu'hui
刘理,liu'li
刘联军,liu'lian'jun
留略,liu'lue
刘瑁,liu'mao
刘泌,liu'mi
刘敏,liu'min
刘宁,liu'ning
刘磐,liu'pan
刘彭廖李刘魏杨传,liu'peng'liao'li'liu'wei'yang'chuan
刘辟,liu'pi
留平,liu'ping
刘琦,liu'qi
刘璩,liu'qu
刘日俊,liu'ri'jun
刘禅,liu'shan
刘劭,liu'shao
刘谌,liu'shen
刘寔,liu'shi
刘氏,liu'shi
六十年,liu'shi'nian
刘司马梁张温贾传,liu'si'ma'liang'zhang'wen'jia'chuan
刘陶,liu'tao
刘琬,liu'wan
刘王贵,liu'wang'gui
刘熙,liu'xi
留下了,liu'xia'le
刘先,liu'xian
刘贤,liu'xian
留县,liu'xian
刘先主遗诏托孤儿,liu'xian'zhu'yi'zhao'tuo'gu'er
刘协,liu'xie
流星,liu'xing
刘玄德三顾草庐,liu'xuan'de'san'gu'cao'lu
刘玄德携民渡江,liu'xuan'de'xie'min'du'jiang
刘勋,liu'xun
刘循,liu'xun
刘恂,liu'xun
刘延,liu'yan
刘焉,liu'yan
刘琰,liu'yan
刘瑶,liu'yao
刘繇,liu'yao
刘繇太史慈士燮传,liu'yao'tai'shi'ci'shi'xie'chuan
刘晔,liu'ye
刘廙,liu'yi
流萤,liu'ying
刘永,liu'yong
刘虞,liu'yu
刘豫州败走汉津口,liu'yu'zhou'bai'zou'han'jin'kou
刘元起,liu'yuan'qi
刘瓒,liu'zan
留赞,liu'zan
刘璋,liu'zhang
刘子扬,liu'zi'yang
龙编,long'bian
龙川,long'chuan
龙胆枪,long'dan'qiang
龙卷,long'juan
龙亢,long'kang
龙勒,long'le
龙鳞,long'lin
龙马,long'ma
龙炮兵令,long'pao'bing'ling
龙舒,long'shu
笼统,long'tong
陇西,long'xi
陇西郡,long'xi'jun
陇县,long'xian
隆中对,long'zhong'dui
楼烦,lou'fan
镂方,lou'fang
娄圭,lou'gui
漏江,lou'jiang
漏景,lou'jing
娄伶,lou'ling
娄县,lou'xian
楼玄,lou'xuan
娄子伯,lou'zi'bo
六安,lu'an
卤城,lu'cheng
卤城太守,lu'cheng'tai'shou
禄福,lu'fu
鲁国,lu'guo
陆浑,lu'hun
陆绩,lu'ji
陆景,lu'jing
陆骏,lu'jun
陆凯,lu'kai
陆康,lu'kang
陆抗,lu'kang
鲁馗,lu'kui
庐陵,lu'ling
卢龙塞,lu'long'sai
麓牛羌,lu'niu'qiang
卢奴,lu'nu
卢容,lu'rong
庐山郡,lu'shan'jun
卢氏,lu'shi
鲁肃,lu'su
鲁肃上了孔明船糊里糊涂,lu'su'shang'le'kong'ming'chuan'hu'li'hu'tu
鲁肃受,lu'su'shou
鲁肃讨荆州空手而去空手而回,lu'su'tao'jing'zhou'kong'shou'er'qu'kong'shou'er'hui
鲁肃宴请关云长暗藏杀机,lu'su'yan'qing'guan'yun'chang'an'cang'sha'ji
卢县,lu'xian
潞县,lu'xian
鲁县,lu'xian
卢乡,lu'xiang
卢逊,lu'xun
陆逊,lu'xun
陆逊传,lu'xun'chuan
陆逊营烧七百里,lu'xun'ying'shao'qi'bai'li
鲁阳,lu'yang
陆纡,lu'yu
路昭,lu'zhao
卢植,lu'zhi
鲁芝,lu'zhi
鲁子敬力排众议,lu'zi'jing'li'pai'zhong'yi
栾城,luan'cheng
鸾鸟,luan'niao
乱舞,luan'wu
略阳,lue'yang
论破,lun'po
轮氏,lun'shi
伦直,lun'zhi
落凤坡,luo'feng'po
罗贯中,luo'guan'zhong
骆统,luo'tong
罗县,luo'xian
雒县,luo'xian
骆县,luo'xian
螺旋,luo'xuan
洛阳,luo'yang
雒阳,luo'yang
洛阳城曹操感神,luo'yang'cheng'cao'cao'gan'shen
洛阳典农中郎将,luo'yang'dian'nong'zhong'lang'jiang
漯阴,luo'yin
吕霸,lv'ba
吕伯奢,lv'bo'she
吕布,lv'bu
吕布覆灭,lv'bu'fu'mie
吕步见貂禅丢了魂,lv'bu'jian'diao'chan'diu'le'hun
吕布见貂蝉迷上了,lv'bu'jian'diao'chan'mi'shang'le
吕布张邈臧洪传第七,lv'bu'zhang'miao'zang'hong'chuan'di'qi
吕常,lv'chang
吕岱,lv'dai
吕范,lv'fan
吕奉先乘夜袭徐郡,lv'feng'xian'cheng'ye'xi'xu'jun
吕奉先射戟辕门,lv'feng'xian'she'ji'yuan'men
律高,lv'gao
吕公,lv'gong
吕建,lv'jian
虑厩,lv'jiu
吕据,lv'ju
吕凯,lv'kai
吕旷,lv'kuang
吕蒙,lv'meng
吕虔,lv'qian
吕通,lv'tong
吕威璜,lv'wei'huang
吕温侯濮阳破曹操,lv'wen'hou'pu'yang'po'cao'cao
吕县,lv'xian
吕翔,lv'xiang
吕义,lv'yi
吕子明白衣渡江,lv'zi'ming'bai'yi'du'jiang
马超,ma'chao
马超大战葭萌关,ma'chao'da'zhan'jia'meng'guan
马城,ma'cheng
马岱,ma'dai
马汉,ma'han
马均,ma'jun
马良,ma'liang
马孟起兴兵雪恨,ma'meng'qi'xing'bing'xue'hen
马邈,ma'miao
马羌,ma'qiang
马日磾,ma'ri'di
马融,ma'rong
骂死王朗,ma'si'wang'lang
马肃,ma'su
马谡,ma'su
马谡拒谏失街亭,ma'su'ju'jian'shi'jie'ting
马谡用兵言过其实,ma'su'yong'bing'yan'guo'qi'shi
马腾,ma'teng
马铁,ma'tie
马玩,ma'wan
马休,ma'xiu
马延,ma'yan
马邑,ma'yi
马宇,ma'yu
马玉,ma'yu
马元义,ma'yuan'yi
马忠,ma'zhong
马遵,ma'zun
曼柏,man'bai
蛮兵,man'bing
曼才,man'cai
曼成,man'cheng
满宠,man'chong
满田牵郭传,man'tian'qian'guo'chuan
忙牙长,mang'ya'chang
毛玠,mao'jie
茂陵,mao'ling
旄牛,mao'niu
蝥牛羌,mao'niu'qiang
毛氏,mao'shi
茂先,mao'xian
鄚县,mao'xian
鄮县,mao'xian
梅海,mei'hai
美稷,mei'ji
美髯公千里走单骑,mei'ran'gong'qian'li'zou'dan'qi
美士,mei'shi
郿县,mei'xian
没栩,mei'xu
美阳,mei'yang
没有纪,mei'you'ji
门吏,men'li
门下督将,men'xia'du'jiang
门下录事,men'xia'lu'shi
门下书,men'xia'shu
门下循行,men'xia'xun'xing
孟达,meng'da
孟德,meng'de
孟德剑,meng'de'jian
孟德献刀,meng'de'xian'dao
孟公威,meng'gong'wei
孟光,meng'guang
孟获,meng'huo
孟节,meng'jie
猛陵,meng'ling
孟溥,meng'pu
孟起,meng'qi
孟坦,meng'tan
蒙县,meng'xian
孟优,meng'you
孟玉,meng'yu
猛张飞智取瓦口隘,meng'zhang'fei'zhi'qu'wa'kou'ai
盟主,meng'zhu
孟卓,meng'zhuo
孟宗,meng'zong
迷当,mi'dang
糜芳,mi'fang
秘府郎,mi'fu'lang
糜夫人,mi'fu'ren
祢衡,mi'heng
迷魂,mi'hun
密谋,mi'mou
秘书,mi'shu
密县,mi'xian
祢正平裸衣骂贼,mi'zheng'ping'luo'yi'ma'zei
糜竺,mi'zhu
绵厩道,mian'jiu'dao
面骂,mian'ma
绵竹,mian'zhu
妙才,miao'cai
庙号太祖,miao'hao'tai'zu
苗泽,miao'ze
灭绝,mie'jue
灭之,mie'zhi
黾池,min'chi
闵贡,min'gong
闽濮部,min'pu'bu
冥安,ming'an
明帝纪第三,ming'di'ji'di'san
名教,ming'jiao
名士,ming'shi
秣陵,mo'ling
莫邪锻造书,mo'ye'duan'zao'shu
谋董贼孟德献刀,mou'dong'zei'meng'de'xian'dao
牟县,mou'xian
牟乡侯,mou'xiang'hou
木鹿大王,mu'lu'da'wang
牧靡,mu'mi
牟平,mu'ping
慕容烈,mu'rong'lie
木尸偶,mu'shi'ou
牧守,mu'shou
穆顺,mu'shun
木铜铃,mu'tong'ling
奈何死乎,nai'he'si'hu
奈离乱之时,nai'li'luan'zhi'shi
乃匹夫之勇耳,nai'pi'fu'zhi'yong'er
南安,nan'an
南北之间,nan'bei'zhi'jian
南部诸州,nan'bu'zhu'zhou
南昌,nan'chang
南城,nan'cheng
南顿,nan'dun
南宫,nan'gong
南广,nan'guang
南海郡,nan'hai'jun
南和,nan'he
南华老仙,nan'hua'lao'xian
南郡,nan'jun
南蛮霸王,nan'man'ba'wang
南蛮兵,nan'man'bing
南蛮王五次遭擒,nan'man'wang'wu'ci'zao'qin
南辔,nan'pei
南皮,nan'pi
南平,nan'ping
南平阳,nan'ping'yang
南深泽,nan'shen'ze
南武阳,nan'wu'yang
南乡,nan'xiang
南新市,nan'xin'shi
南行唐,nan'xing'tang
南阳郡,nan'yang'jun
南野,nan'ye
难张温秦宓逞天辩,nan'zhang'wen'qin'mi'cheng'tian'bian
南郑,nan'zheng
南郑侯,nan'zheng'hou
南中郎将,nan'zhong'lang'jiang
南中平叛,nan'zhong'ping'pan
内阁密诏,nei'ge'mi'zhao
内怀疑贰之见,nei'huai'yi'er'zhi'jian
内黄,nei'huang
内结骨肉之恩,nei'jie'gu'rou'zhi'en
能忍辱负重故也,neng'ren'ru'fu'zhong'gu'ye
泥阳,ni'yang
匿玉玺孙坚背约,ni'yu'xi'sun'jian'bei'yue
酿成大规模的内战,niang'cheng'da'gui'mo'de'nei'zhan
涅县,nie'xian
涅阳,nie'yang
宁教我负天下人,ning'jiao'wo'fu'tian'xia'ren
宁陵,ning'ling
宁弥,ning'mi
宁平,ning'ping
宁随,ning'sui
宁县,ning'xian
宁阳,ning'yang
牛辅,niu'fu
牛金,niu'jin
挵栋,nong'dong
农业,nong'ye
潘凤,pan'feng
潘夫人,pan'fu'ren
潘举,pan'ju
潘濬,pan'jun
潘浚陆凯传,pan'jun'lu'kai'chuan
潘遂,pan'sui
潘县,pan'xian
潘隐,pan'yin
番禺,pan'yu
潘璋,pan'zhang
庞德,pang'de
庞德公,pang'de'gong
庞会,pang'hui
庞令明抬榇决死战,pang'ling'ming'tai'chen'jue'si'zhan
庞柔,pang'rou
庞士元议取西蜀,pang'shi'yuan'yi'qu'xi'shu
庞舒,pang'shu
庞统,pang'tong
庞统当知县大材小用,pang'tong'dang'zhi'xian'da'cai'xiao'yong
庞统法正传,pang'tong'fa'zheng'zhuan
庞统巧授连环计,pang'tong'qiao'shou'lian'huan'ji
庞羲,pang'xi
庞义,pang'yi
沛国,pei'guo
沛国谯县,pei'guo'qiao'xian
裴景,pei'jing
裴松,pei'song
沛县,pei'xian
裴秀,pei'xiu
裴绪,pei'xu
裴元绍,pei'yuan'shao
彭安,peng'an
彭伯,peng'bo
彭城,peng'cheng
彭城国,peng'cheng'guo
彭和,peng'he
彭羕,peng'yang
彭阳,peng'yang
彭泽,peng'ze
彭祖,peng'zu
毗陵,pi'ling
皮氏,pi'shi
郫县,pi'xian
譬之治家之道,pi'zhi'zhi'jia'zhi'dao
偏将军,pian'jiang'jun
骠骑将军,piao'qi'jiang'jun
频阳,pin'yang
平阿,ping'a
平安,ping'an
平北将军,ping'bei'jiang'jun
平城,ping'cheng
平春,ping'chun
平定,ping'ding
平东将军,ping'dong'jiang'jun
平都,ping'dou
平皋,ping'gao
平谷,ping'gu
平郭,ping'guo
平棘,ping'ji
平陵,ping'ling
平南将军,ping'nan'jiang'jun
平丘,ping'qiu
平戎将军,ping'rong'jiang'jun
平氏,ping'shi
平视获罪,ping'shi'huo'zui
平寿,ping'shou
平叔,ping'shu
平舒,ping'shu
平思,ping'si
平陶,ping'tao
平西将军,ping'xi'jiang'jun
平县,ping'xian
平乡,ping'xiang
平襄,ping'xiang
平阳,ping'yang
平夷,ping'yi
平阴,ping'yin
平舆,ping'yu
平原,ping'yuan
平原郡,ping'yuan'jun
平周,ping'zhou
破曹兵姜维诈献书,po'cao'bing'jiang'wei'zha'xian'shu
破曹丕徐盛用火攻,po'cao'pi'xu'sheng'yong'huo'gong
破关兵三英战吕布,po'guan'bing'san'ying'zhan'lv'bu
破虏将军,po'lu'jiang'jun
破羌,po'qiang
迫使,po'shi
迫使曹军,po'shi'cao'jun
鄱阳,po'yang
破之必矣,po'zhi'bi'yi
蒲坂,pu'ban
濮部部族,pu'bu'bu'zu
普净,pu'jing
仆虽一介书生,pu'sui'yi'jie'shu'sheng
蒲吾,pu'wu
濮阳,pu'yang
濮阳兴,pu'yang'xing
朴劓,pu'yi
蒲阴,pu'yin
蒲子,pu'zi
骑兵,qi'bing
七步成诗,qi'bu'cheng'shi
奇才,qi'cai
蕲春,qi'chun
骑都尉,qi'du'wei
齐国,qi'guo
气合,qi'he
其家主从容自在,qi'jia'zhu'cong'rong'zi'zai
骑军,qi'jun
岂可偏执一端,qi'ke'pian'zhi'yi'duan
麒麟金角,qi'lin'jin'jiao
七擒孟获,qi'qin'meng'huo
七擒七纵,qi'qin'qi'zong
奇士,qi'shi
期思,qi'si
齐王,qi'wang
奇袭,qi'xi
戚县,qi'xian
漆县,qi'xian
祁县,qi'xian
蕲县,qi'xian
郪县,qi'xian
七星宝刀,qi'xing'bao'dao
七星坛,qi'xing'tan
七星坛诸葛祭风,qi'xing'tan'zhu'ge'ji'feng
气炎,qi'yan
漆垣,qi'yuan
欺诈并吞,qi'zha'bing'tun
迁都,qian'du
千古剑,qian'gu'jian
牵弘,qian'hong
前护军,qian'hu'jun
前将军,qian'jiang'jun
前军,qian'jun
遣军,qian'jun
前军师,qian'jun'shi
乾坤圈锻造书,qian'kun'quan'duan'zao'shu
千里独行,qian'li'du'xing
千里走单骑,qian'li'zou'dan'qi
迁陵,qian'ling
千乘,qian'sheng
前四史,qian'si'shi
钱唐,qian'tang
汧县,qian'xian
潜县,qian'xian
黔陬,qian'zou
羌道,qiang'dao
强阳,qiang'yang
乔国老,qiao'guo'lao
乔瑁,qiao'mao
桥瑁,qiao'mao
巧取汉中,qiao'qu'han'zhong
桥蕤,qiao'rui
谯县,qiao'xian
桥玄,qiao'xuan
谯周,qiao'zhou
且兰,qie'lan
且末,qie'mo
秦朗,qin'lang
秦良,qin'liang
秦岭,qin'ling
秦宓,qin'mi
秦明,qin'ming
秦琪,qin'qi
秦庆童,qin'qing'tong
侵扰北方,qin'rao'bei'fang
沁水,qin'shui
秦亡,qin'wang
勤王室马腾举义,qin'wang'shi'ma'teng'ju'yi
秦用法暴虐,qin'yong'fa'bao'nue
秦臧,qin'zang
钦仲,qin'zhong
清尘浊水,qing'chen'zhuo'shui
青犊,qing'du
轻而无备,qing'er'wu'bei
青缸剑,qing'gang'jian
清河公主,qing'he'gong'zhu
清河国,qing'he'guo
青冀幽并,qing'ji'you'bing
青龙,qing'long
青龙逆鳞,qing'long'ni'lin
青龙偃月刀,qing'long'yan'yue'dao
青冥,qing'ming
青羌兵,qing'qiang'bing
清渊,qing'yuan
青州兵,qing'zhou'bing
青州刺史部,qing'zhou'ci'shi'bu
青鬃马,qing'zong'ma
琼浆玉液,qiong'jiang'yu'ye
穷奇,qiong'qi
穷途之哭,qiong'tu'zhi'ku
丘本,qiu'ben
龟兹,qiu'ci
遒国,qiu'guo
丘建,qiu'jian
曲阿,qu'a
取长城伯约鏖兵,qu'chang'cheng'bo'yue'ao'bing
曲城,qu'cheng
曲江,qu'jiang
驱巨兽六破蛮兵,qu'ju'shou'liu'po'man'bing
曲梁,qu'liang
取虑,qu'lv
取培关杨高授首,qu'pei'guan'yang'gao'shou'shou
朐忍,qu'ren
朐县,qu'xian
区星,qu'xing
曲阳,qu'yang
灈阳,qu'yang
麹义,qu'yi
曲周,qu'zhou
全琮,quan'cong
全端,quan'duan
全后,quan'hou
全纪,quan'ji
全椒,quan'jiao
泉陵,quan'ling
全尚,quan'shang
全尚妻,quan'shang'qi
全书六十五卷,quan'shu'liu'shi'wu'juan
劝学从事,quan'xue'cong'shi
全怿,quan'yi
全祎,quan'yi
泉州,quan'zhou
却国,que'guo
却正,que'zheng
群雄,qun'xiong
群雄割据,qun'xiong'ge'ju
群雄逐鹿,qun'xiong'zhu'lu
群英会蒋干中计,qun'ying'hui'jiang'gan'zhong'ji
然陛下使人攻城略地,ran'bi'xia'shi'ren'gong'cheng'lue'di
让邯,rang'han
穰县,rang'xian
饶阳,rao'yang
任城,ren'cheng
任城陈萧王传,ren'cheng'chen'xiao'wang'chuan
任城国,ren'cheng'guo
仁笃,ren'du
人公将军,ren'gong'jiang'jun
人杰,ren'jie
任峻,ren'jun
任夔,ren'kui
人参,ren'shen
任苏杜郑仓传,ren'su'du'zheng'cang'chuan
人头税,ren'tou'shui
任县,ren'xian
仁义无双锻造书,ren'yi'wu'shuang'duan'zao'shu
日勒,ri'le
日南郡,ri'nan'jun
日月双锤,ri'yue'shuang'chui
容陵,rong'ling
儒林校尉,ru'lin'xiao'wei
入洛阳,ru'luo'yang
汝南郡,ru'nan'jun
入西川二士争功,ru'xi'chuan'er'shi'zheng'gong
汝阳,ru'yang
汝阴,ru'yin
软国,ruan'guo
睿冲,rui'chong
鄀国,ruo'guo
若皆身亲其事,ruo'jie'shen'qin'qi'shi
若拘执常理,ruo'ju'zhi'chang'li
若胜而喜,ruo'sheng'er'xi
三曹,san'cao
三段,san'duan
三分归一,san'fen'gui'yi
三封,san'feng
三个臭皮匠顶个诸葛亮,san'ge'chou'pi'jiang'ding'ge'zhu'ge'liang
三个国家,san'ge'guo'jia
三公,san'gong
三顾茅庐,san'gu'mao'lu
三国兵制,san'guo'bing'zhi
三国雏型,san'guo'chu'xing
三国鼎立,san'guo'ding'li
三国鼎立局面,san'guo'ding'li'ju'mian
三国归晋,san'guo'gui'jin
三国局面,san'guo'ju'mian
三国上限,san'guo'shang'xian
三国时代,san'guo'shi'dai
三国时期,san'guo'shi'qi
三国始于,san'guo'shi'yu
三国题材,san'guo'ti'cai
三国下限,san'guo'xia'xian
三国演义,san'guo'yan'yi
三国志,san'guo'zhi
三国志通俗演义,san'guo'zhi'tong'su'yan'yi
三尖刀,san'jian'dao
三江口曹操折兵,san'jiang'kou'cao'cao'zhe'bing
三江口周瑜纵火,san'jiang'kou'zhou'yu'zong'huo
三路伐蜀,san'lu'fa'shu
散骑常侍,san'qi'chang'shi
三气周瑜,san'qi'zhou'yu
三少帝纪第四,san'shao'di'ji'di'si
三十卷,san'shi'juan
三十万众,san'shi'wan'zhong
三嗣主传,san'si'zhu'chuan
三姓家奴,san'xing'jia'nu
三英战吕布,san'ying'zhan'lv'bu
桑干,sang'gan
色厉胆薄,se'li'dan'bo
莎车,sha'che
沙陵,sha'ling
杀戮,sha'lu
沙摩柯,sha'mo'ke
沙头,sha'tou
沙羡,sha'xian
删丹,shan'dan
山都,shan'dou
山桑,shan'sang
山神,shan'shen
山涛,shan'tao
善无,shan'wu
剡县,shan'xian
陕县,shan'xian
山阳,shan'yang
山阳郡,shan'yang'jun
山阴,shan'yin
山越兵,shan'yue'bing
山岳骑,shan'yue'qi
上艾,shang'ai
上蔡,shang'cai
上大将军,shang'da'jiang'jun
上党部,shang'dang'bu
上方谷,shang'fang'gu
上方谷司马受困,shang'fang'gu'si'ma'shou'kun
上谷郡,shang'gu'jun
尚广,shang'guang
上郭,shang'guo
尚弘,shang'hong
上郡,shang'jun
上禄,shang'lu
上雒,shang'luo
上曲阳,shang'qu'yang
尚书,shang'shu
尚书郎,shang'shu'lang
尚书吏部郎,shang'shu'li'bu'lang
尚书令,shang'shu'ling
尚书仆射,shang'shu'pu'ye
尚书台,shang'shu'tai
尚书选曹郎,shang'shu'xuan'cao'lang
尚书右选郎,shang'shu'you'xuan'lang
商讨对策,shang'tao'dui'ce
上下不可相侵,shang'xia'bu'ke'xiang'qin
上下有节,shang'xia'you'jie
商县,shang'xian
商业,shang'ye
上庸,shang'yong
上虞,shang'yu
少帝,shao'di
少傅,shao'fu
少府,shao'fu
烧羌,shao'qiang
烧藤甲七擒孟获,shao'teng'jia'qi'qin'meng'huo
邵悌,shao'ti
涉国,she'guo
社会秩序,she'hui'zhi'xu
蛇丘,she'qiu
舍人,she'ren
射声校尉,she'sheng'xiao'wei
歙县,she'xian
奢延,she'yan
射阳,she'yang
舌战群儒,she'zhan'qun'ru
申耽,shen'dan
神刀,shen'dao
神凤,shen'feng
申甫,shen'fu
审配,shen'pei
审荣,shen'rong
慎县,shen'xian
慎阳,shen'yang
申仪,shen'yi
沈莹,shen'ying
升济,sheng'ji
胜休,sheng'xiu
始安,shi'an
石苞,shi'bao
石城,shi'cheng
士大夫,shi'da'fu
事多怀疑不决,shi'duo'huai'yi'bu'jue
什邡,shi'fang
士伏处于一方兮,shi'fu'chu'yu'yi'fang'xi
石广元,shi'guang'yuan
史涣,shi'huan
始皇陵,shi'huang'ling
史迹,shi'ji
士季,shi'ji
事急而不断,shi'ji'er'bu'duan
士家,shi'jia
世家大族,shi'jia'da'zu
失街亭,shi'jie'ting
时空宝珠,shi'kong'bao'zhu
势力,shi'li
师婆,shi'po
时期的,shi'qi'de
施朔,shi'shuo
十五卷,shi'wu'juan
是无智也,shi'wu'zhi'ye
士燮,shi'xie
史学巨著,shi'xue'ju'zhu
石阳,shi'yang
世议,shi'yi
是仪胡综传,shi'yi'hu'zong'chuan
师友从事,shi'you'cong'shi
师友祭酒,shi'you'ji'jiu
实由于此,shi'you'yu'ci
世元,shi'yuan
识诈降三擒孟获,shi'zha'xiang'san'qin'meng'huo
石阵,shi'zhen
侍中,shi'zhong
始宗,shi'zong
士族,shi'zu
师纂,shi'zuan
受备之命,shou'bei'zhi'ming
寿成,shou'cheng
寿春,shou'chun
收而杀之,shou'er'sha'zhi
受返,shou'fan
寿光,shou'guang
守江口书生拜大将,shou'jiang'kou'shu'sheng'bai'da'jiang
首阳,shou'yang
寿张,shou'zhang
叔弼,shu'bi
书部,shu'bu
书部从事,shu'bu'cong'shi
蜀得西南地区,shu'de'xi'nan'di'qu
蜀汉,shu'han
蜀后主,shu'hou'zhu
蜀军,shu'jun
蜀郡,shu'jun
蜀郡属国,shu'jun'shu'guo
疏勒,shu'le
叔明,shu'ming
叔盘,shu'pan
朱提,shu'shi
蜀书,shu'shu
叔嗣,shu'si
叔武,shu'wu
舒县,shu'xian
叔治,shu'zhi
蜀中,shu'zhong
束州,shu'zhou
叔子,shu'zi
庶子,shu'zi
书佐,shu'zuo
率部,shuai'bu
双铁戟,shuang'tie'ji
水镜先生,shui'jing'xian'sheng
水镜庄,shui'jing'zhuang
水军,shui'jun
水师,shui'shi
水淹七军,shui'yan'qi'jun
顺平侯,shun'ping'hou
顺阳,shun'yang
顺之以恩,shun'zhi'yi'en
朔方,shuo'fang
朔方郡,shuo'fang'jun
四不像,si'bu'xiang
四大美女,si'da'mei'nv
司蕃,si'fan
四会,si'hui
司金中郎,si'jin'zhong'lang
司金中郎将,si'jin'zhong'lang'jiang
司空,si'kong
司隶校尉,si'li'xiao'wei
司马,si'ma
司马彪,si'ma'biao
司马防,si'ma'fang
司马孚,si'ma'fu
司马徽,si'ma'hui
司马徽再荐名士,si'ma'hui'zai'jian'ming'shi
司马隽,si'ma'juan
司马俊,si'ma'jun
司马钧,si'ma'jun
司马夸诸葛甘拜下风,si'ma'kua'zhu'ge'gan'bai'xia'feng
司马朗,si'ma'lang
