爱必达,ai'bi'da
如意辟邪,ru'yi'bi'xie
软笔,ruan'bi
软抄本,ruan'chao'ben
软抄日记,ruan'chao'ri'ji
软件,ruan'jian
软式排球,ruan'shi'pai'qiu
锐志,rui'zhi
赛车帽,sai'che'mao
赛车手套,sai'che'shou'tao
散打背包,san'da'bei'bao
散打服,san'da'fu
散打护具,san'da'hu'ju
三格文件栏,san'ge'wen'jian'lan
三角板,san'jiao'ban
三角板量角器,san'jiao'ban'liang'jiao'qi
三角彩旗,san'jiao'cai'qi
三脚架,san'jiao'jia
三角流动红旗,san'jiao'liu'dong'hong'qi
三角旗,san'jiao'qi
三角铁,san'jiao'tie
三角座签,san'jiao'zuo'qian
三截裤,san'jie'ku
三节甩棍,san'jie'shuai'gun
三军棋,san'jun'qi
三孔夹,san'kong'jia
三孔文件夹,san'kong'wen'jian'jia
三栏明细账,san'lan'ming'xi'zhang
三联漫步机,san'lian'man'bu'ji
三联收据,san'lian'shou'ju
三联收料单,san'lian'shou'liao'dan
三联送货单,san'lian'song'huo'dan
三联转账通知单,san'lian'zhuan'zhang'tong'zhi'dan
三菱,san'ling
三门十抽柜,san'men'shi'chou'gui
三木,san'mu
三木文具,san'mu'wen'ju
三人转腰器,san'ren'zhuan'yao'qi
三人综合训练器,san'ren'zong'he'xun'lian'qi
三盛,san'sheng
三位扭腰器,san'wei'niu'yao'qi
三湘,san'xiang
三星,san'xing
三星传真机,san'xing'chuan'zhen'ji
三星乒乓球,san'xing'ping'pang'qiu
三柱两位儿童秋千,san'zhu'liang'wei'er'tong'qiu'qian
扫把,sao'ba
扫描仪,sao'miao'yi
色带,se'dai
色带架,se'dai'jia
色带芯,se'dai'xin
沙绑腿,sha'bang'tui
砂擦,sha'ca
杀虫剂,sha'chong'ji
沙锤,sha'chui
沙发,sha'fa
沙狐球,sha'hu'qiu
砂画,sha'hua
纱手套,sha'shou'tao
沙滩服,sha'tan'fu
沙滩裤,sha'tan'ku
沙滩鞋,sha'tan'xie
沙滩椅,sha'tan'yi
砂网,sha'wang
沙宣,sha'xuan
沙宣洗发露,sha'xuan'xi'fa'lu
晒图纸,shai'tu'zhi
山地跑鞋,shan'di'pao'xie
闪光轮,shan'guang'lun
山诺,shan'nuo
山西新跃,shan'xi'xin'yue
山型夹,shan'xing'jia
山形票夹,shan'xing'piao'jia
山羊,shan'yang
杉友,shan'you
杉友活页芯,shan'you'huo'ye'xin
上翻拍纸本,shang'fan'pai'zhi'ben
上海富乐梦,shang'hai'fu'le'meng
上海复写纸,shang'hai'fu'xie'zhi
上海欧鳄,shang'hai'ou'e
商品保管账,shang'pin'bao'guan'zhang
商品变价单,shang'pin'bian'jia'dan
商品验收单,shang'pin'yan'shou'dan
商务记事本,shang'wu'ji'shi'ben
商务礼品,shang'wu'li'pin
商业三表,shang'ye'san'biao
商用磁控车,shang'yong'ci'kong'che
商用跑步机,shang'yong'pao'bu'ji
商用椭圆机,shang'yong'tuo'yuan'ji
烧烤,shao'kao
烧烤叉刷,shao'kao'cha'shua
烧烤架,shao'kao'jia
烧烤炉,shao'kao'lu
烧烤网,shao'kao'wang
少年篮球,shao'nian'lan'qiu
少年排球,shao'nian'pai'qiu
少年足球,shao'nian'zu'qiu
哨子,shao'zi
设备清洁用品,she'bei'qing'jie'yong'pin
射击,she'ji
射箭,she'jian
摄像机,she'xiang'ji
摄像头,she'xiang'tou
摄影背包,she'ying'bei'bao
摄影架,she'ying'jia
神豹文件柜,shen'bao'wen'jian'gui
身高计测仪,shen'gao'ji'ce'yi
身高坐高计,shen'gao'zuo'gao'ji
申广,shen'guang
伸缩钢笔,shen'suo'gang'bi
伸缩剑,shen'suo'jian
伸缩筷,shen'suo'kuai
神韵,shen'yun
深圳宝雅,shen'zhen'bao'ya
生产成本账,sheng'chan'cheng'ben'zhang
生活用纸,sheng'huo'yong'zhi
绳架,sheng'jia
升降板,sheng'jiang'ban
升降单杠,sheng'jiang'dan'gang
升降画架,sheng'jiang'hua'jia
盛木,sheng'mu
升平路,sheng'ping'lu
生宣,sheng'xuan
生宣纸,sheng'xuan'zhi
胜一,sheng'yi
生字薄,sheng'zi'bo
十八门更衣柜,shi'ba'men'geng'yi'gui
诗博,shi'bo
市场采购单,shi'chang'cai'gou'dan
市场采购凭证,shi'chang'cai'gou'ping'zheng
世达,shi'da
世达篮球,shi'da'lan'qiu
世帝卡,shi'di'ka
世帝卡底板,shi'di'ka'di'ban
试电笔,shi'dian'bi
十二门更衣柜,shi'er'men'geng'yi'gui
石膏像,shi'gao'xiang
仕豪,shi'hao
世纪飞扬,shi'ji'fei'yang
世纪星,shi'ji'xing
施乐,shi'le
视力保护器,shi'li'bao'hu'qi
实木地板,shi'mu'di'ban
室内健身服装,shi'nei'jian'shen'fu'zhuang
湿手器,shi'shou'qi
石头胶,shi'tou'jiao
室外乒乓球台,shi'wai'ping'pang'qiu'tai
事物包,shi'wu'bao
实物数量账,shi'wu'shu'liang'zhang
实心球,shi'xin'qiu
实心沙背心,shi'xin'sha'bei'xin
式雅,shi'ya
事业会计科目章,shi'ye'kuai'ji'ke'mu'zhang
事业支出明细表,shi'ye'zhi'chu'ming'xi'biao
石英钟,shi'ying'zhong
时装包,shi'zhuang'bao
十字启,shi'zi'qi
十字启子,shi'zi'qi'zi
十字绣,shi'zi'xiu
手靶,shou'ba
手包,shou'bao
手表,shou'biao
手柄胶带,shou'bing'jiao'dai
手持裂隙灯,shou'chi'lie'xi'deng
手电筒,shou'dian'tong
手动液压篮球架,shou'dong'ye'ya'lan'qiu'jia
手动针,shou'dong'zhen
手风琴,shou'feng'qin
手工折纸,shou'gong'zhe'zhi
手鼓,shou'gu
手机袋,shou'ji'dai
收据,shou'ju
收款凭证,shou'kuan'ping'zheng
收料单,shou'liao'dan
狩猎,shou'lie
狩猎用品,shou'lie'yong'pin
手铃,shou'ling
手榴弹,shou'liu'dan
收录机,shou'lu'ji
守门员手套,shou'men'yuan'shou'tao
手球,shou'qiu
受水器,shou'shui'qi
手套,shou'tao
手提布袋,shou'ti'bu'dai
手提袋,shou'ti'dai
手提织布袋,shou'ti'zhi'bu'dai
收文本,shou'wen'ben
手写板,shou'xie'ban
手写标签,shou'xie'biao'qian
收银夹,shou'yin'jia
收银纸,shou'yin'zhi
手肘,shou'zhou
手钻,shou'zuan
书报架,shu'bao'jia
鼠标,shu'biao
鼠标垫,shu'biao'dian
树德,shu'de
竖笛,shu'di
书法印泥,shu'fa'yin'ni
舒肤佳,shu'fu'jia
曙光蜡纸,shu'guang'la'zhi
书架,shu'jia
数据线,shu'ju'xian
书立,shu'li
数量金额账,shu'liang'jin'e'zhang
数码产品,shu'ma'chan'pin
数码信息历,shu'ma'xin'xi'li
数码一体机,shu'ma'yi'ti'ji
书签,shu'qian
书写纸,shu'xie'zhi
熟宣纸,shu'xuan'zhi
数学组,shu'xue'zu
束腰带,shu'yao'dai
数字无绳电话机,shu'zi'wu'sheng'dian'hua'ji
数字章,shu'zi'zhang
双层笔袋,shuang'ceng'bi'dai
双层护齿,shuang'ceng'hu'chi
双层凭证盒,shuang'ceng'ping'zheng'he
双飞燕,shuang'fei'yan
双杠,shuang'gang
双滚油印机,shuang'gun'you'yin'ji
双夹,shuang'jia
双胶纸,shuang'jiao'zhi
双节柜,shuang'jie'gui
双节棍,shuang'jie'gun
双鹿,shuang'lu
双鹿电池,shuang'lu'dian'chi
双门七抽柜,shuang'men'qi'chou'gui
双面白板,shuang'mian'bai'ban
双面长胶,shuang'mian'chang'jiao
双面刀片,shuang'mian'dao'pian
双面反胶,shuang'mian'fan'jiao
双面胶,shuang'mian'jiao
双面双柱书架,shuang'mian'shuang'zhu'shu'jia
双强力夹,shuang'qiang'li'jia
双圈,shuang'quan
双人船,shuang'ren'chuan
双人儿童压板,shuang'ren'er'tong'ya'ban
双人秋千,shuang'ren'qiu'qian
双位吊杆儿童秋千,shuang'wei'diao'gan'er'tong'qiu'qian
双位浪板,shuang'wei'lang'ban
双位坐蹬训练器,shuang'wei'zuo'deng'xun'lian'qi
双位坐拉训练器,shuang'wei'zuo'la'xun'lian'qi
双响筒,shuang'xiang'tong
双行,shuang'xing
双音口哨,shuang'yin'kou'shao
双鱼乒乓球,shuang'yu'ping'pang'qiu
双鱼乒乓球拍,shuang'yu'ping'pang'qiu'pai
双鱼乒乓球台,shuang'yu'ping'pang'qiu'tai
双鱼展翅,shuang'yu'zhan'chi
双元,shuang'yuan
双柱密集架,shuang'zhu'mi'ji'jia
水杯,shui'bei
水彩,shui'cai
水彩笔,shui'cai'bi
水彩颜料,shui'cai'yan'liao
水彩纸,shui'cai'zhi
睡袋,shui'dai
水粉颜料,shui'fen'yan'liao
水粉纸,shui'fen'zhi
水果刀,shui'guo'dao
水壶,shui'hu
水晶奖杯,shui'jing'jiang'bei
水晶聘书,shui'jing'pin'shu
水晶头,shui'jing'tou
水晶橡棋,shui'jing'xiang'qi
水瓶,shui'ping
水平尺,shui'ping'chi
水溶,shui'rong
水性笔,shui'xing'bi
水准仪,shui'zhun'yi
顺领体育,shun'ling'ti'yu
四宝堂,si'bao'tang
斯伯丁,si'bo'ding
斯伯丁篮球,si'bo'ding'lan'qiu
四尺生宣,si'chi'sheng'xuan
四尺熟宣,si'chi'shu'xuan
四格文件栏,si'ge'wen'jian'lan
四节柜,si'jie'gui
思凯乐,si'kai'le
四联商品验收单,si'lian'shang'pin'yan'shou'dan
司马洞,si'ma'dong
斯诺克,si'nuo'ke
斯塔,si'ta
四柱四位坐蹬训练器,si'zhu'si'wei'zuo'deng'xun'lian'qi
送货单,song'huo'dan
松乐,song'le
松下,song'xia
松下传真机,song'xia'chuan'zhen'ji
塑杯,su'bei
速达美,su'da'mei
塑封机,su'feng'ji
塑封膜,su'feng'mo
速干短裤,su'gan'duan'ku
速干帽,su'gan'mao
速干运动袜,su'gan'yun'dong'wa
速干中裤,su'gan'zhong'ku
塑料飞盘,su'liao'fei'pan
塑料扫把,su'liao'sao'ba
塑料调色盒,su'liao'tiao'se'he
素描本,su'miao'ben
素描纸,su'miao'zhi
素描专用碳笔,su'miao'zhuan'yong'tan'bi
溯溪鞋,su'xi'xie
苏仙岭,su'xian'ling
苏仙区,su'xian'qu
速写本,su'xie'ben
碎纸机,sui'zhi'ji
索爱,suo'ai
锁具,suo'ju
索尼录音笔,suo'ni'lu'yin'bi
索尼数码相机,suo'ni'shu'ma'xiang'ji
踏步机,ta'bu'ji
踏步扭腰器,ta'bu'niu'yao'qi
塔尺,ta'chi
泰昂,tai'ang
台灯,tai'deng
台电,tai'dian
泰格,tai'ge
台阶试验测试仪,tai'jie'shi'yan'ce'shi'yi
汰金粉,tai'jin'fen
太空漫步机,tai'kong'man'bu'ji
台历架,tai'li'jia
太平洋,tai'ping'yang
台签,tai'qian
台球杆,tai'qiu'gan
台球走道,tai'qiu'zou'dao
跆拳道,tai'quan'dao
跆拳道双靶,tai'quan'dao'shuang'ba
跆拳道胸靶,tai'quan'dao'xiong'ba
太阳镜,tai'yang'jing
太阳帽,tai'yang'mao
太阳伞,tai'yang'san
太阳神,tai'yang'shen
碳笔,tan'bi
弹拨类乐器,tan'bo'lei'yue'qi
炭粉,tan'fen
碳粉,tan'fen
碳画铅笔,tan'hua'qian'bi
弹簧,tan'huang
弹簧臂力器,tan'huang'bi'li'qi
弹簧呼拉圈,tan'huang'hu'la'quan
弹簧夹,tan'huang'jia
弹簧文件夹,tan'huang'wen'jian'jia
炭精条,tan'jing'tiao
摊开式,tan'kai'shi
探路者,tan'lu'zhe
碳铝一体,tan'lv'yi'ti
碳素底板,tan'su'di'ban
碳素墨水,tan'su'mo'shui
碳酸饮料,tan'suan'yin'liao
檀香盒,tan'xiang'he
痰吁,tan'xu
唐都,tang'du
套鼓,tao'gu
套剪,tao'jian
套胶,tao'jiao
套烤具,tao'kao'ju
特价商品,te'jia'shang'pin
特细钢笔,te'xi'gang'bi
特型文件柜,te'xing'wen'jian'gui
特种铅笔,te'zhong'qian'bi
体操凳,ti'cao'deng
体操垫,ti'cao'dian
体操服,ti'cao'fu
体操用品,ti'cao'yong'pin
提花毛巾,ti'hua'mao'jin
体健垫,ti'jian'dian
题名册,ti'ming'ce
题名录,ti'ming'lu
替芯,ti'xin
剃须刀,ti'xu'dao
体育俱乐部,ti'yu'ju'le'bu
体育器材,ti'yu'qi'cai
体育袖章,ti'yu'xiu'zhang
体育用品,ti'yu'yong'pin
体质健康标准测试仪器,ti'zhi'jian'kang'biao'zhun'ce'shi'yi'qi
体重秤,ti'zhong'cheng
体重称,ti'zhong'cheng
体重计,ti'zhong'ji
体重计测仪,ti'zhong'ji'ce'yi
梯子,ti'zi
天鹅,tian'e
天湖宾馆,tian'hu'bin'guan
天健体育,tian'jian'ti'yu
天骄,tian'jiao
田径裁判旗,tian'jing'cai'pan'qi
田径服,tian'jing'fu
田径器材,tian'jing'qi'cai
田径鞋,tian'jing'xie
田径用品,tian'jing'yong'pin
天平,tian'ping
天速地胶,tian'su'di'jiao
天梭,tian'suo
天堂,tian'tang
天梯,tian'ti
天王星,tian'wang'xing
天威,tian'wei
天章,tian'zhang
天章龙,tian'zhang'long
天章纸业,tian'zhang'zhi'ye
天卓,tian'zhuo
条幅,tiao'fu
跳高海绵包,tiao'gao'hai'mian'bao
跳高横杆,tiao'gao'heng'gan
跳高架,tiao'gao'jia
条码纸,tiao'ma'zhi
跳棋,tiao'qi
跳伞,tiao'san
跳伞用品,tiao'san'yong'pin
调色板,tiao'se'ban
调色本,tiao'se'ben
调色刀,tiao'se'dao
调色盒,tiao'se'he
调色盘,tiao'se'pan
跳绳,tiao'sheng
跳跳棋,tiao'tiao'qi
跳跳球,tiao'tiao'qiu
跳舞扇,tiao'wu'shan
跳舞毯,tiao'wu'tan
条形码机打印纸,tiao'xing'ma'ji'da'yin'zhi
条形码机碳带,tiao'xing'ma'ji'tan'dai
跳字表,tiao'zi'biao
铁柄,tie'bing
铁饼投掷圈,tie'bing'tou'zhi'quan
铁钉本,tie'ding'ben
鉄管家,tie'guan'jia
铁管家,tie'guan'jia
铁灰斗,tie'hui'dou
铁甲骑士,tie'jia'qi'shi
鉄将军,tie'jiang'jun
铁将军,tie'jiang'jun
铁圈,tie'quan
铁圈装订机,tie'quan'zhuang'ding'ji
铁书立,tie'shu'li
听诊器,ting'zhen'qi
铜板奖状,tong'ban'jiang'zhuang
铜挂锁,tong'gua'suo
童巾,tong'jin
铜锣,tong'luo
通体五节档案柜,tong'ti'wu'jie'dang'an'gui
通体五节柜,tong'ti'wu'jie'gui
同学录,tong'xue'lu
通讯录,tong'xun'lu
统一订书针,tong'yi'ding'shu'zhen
通用耗材,tong'yong'hao'cai
通用会计报表,tong'yong'kuai'ji'bao'biao
桶装,tong'zhuang
头灯,tou'deng
头巾,tou'jin
透明玻璃,tou'ming'bo'li
透明胶,tou'ming'jiao
透明皂,tou'ming'zao
投票箱,tou'piao'xiang
投诉箱,tou'su'xiang
投影仪,tou'ying'yi
头针,tou'zhen
投掷靶,tou'zhi'ba
徒步鞋,tu'bu'xie
图钉,tu'ding
涂改液,tu'gai'ye
涂改用品,tu'gai'yong'pin
团旗,tuan'qi
推车,tui'che
退货单,tui'huo'dan
推夹器,tui'jia'qi
拖把,tuo'ba
拖车,tuo'che
拖鞋,tuo'xie
椭圆车,tuo'yuan'che
椭圆机,tuo'yuan'ji
椭圆模板,tuo'yuan'mu'ban
外伤处理品械,wai'shang'chu'li'pin'xie
万宝龙,wan'bao'long
腕力器,wan'li'qi
万年历,wan'nian'li
弯盘,wan'pan
网格袋,wang'ge'dai
网格拉链袋,wang'ge'la'lian'dai
往来账,wang'lai'zhang
网络学习机,wang'luo'xue'xi'ji
网钳,wang'qian
网球拍,wang'qiu'pai
网球鞋,wang'qiu'xie
网球用品,wang'qiu'yong'pin
网球柱,wang'qiu'zhu
网砂钢笔,wang'sha'gang'bi
网线,wang'xian
网羽服,wang'yu'fu
网羽运动鞋,wang'yu'yun'dong'xie
望远镜,wang'yuan'jing
王中王,wang'zhong'wang
网状吊床,wang'zhuang'diao'chuang
威豹,wei'bao
威豹休闲包,wei'bao'xiu'xian'bao
维得星,wei'de'xing
威迪,wei'di
威迪文,wei'di'wen
威鼎,wei'ding
维尔胜,wei'er'sheng
维尔胜网拍,wei'er'sheng'wang'pai
威尔逊网球拍,wei'er'xun'wang'qiu'pai
未交增值税明细账,wei'jiao'zeng'zhi'shui'ming'xi'zhang
维克奇,wei'ke'qi
维克奇纸杯,wei'ke'qi'zhi'bei
围棋,wei'qi
卫生箱,wei'sheng'xiang
威狮,wei'shi
威狮订书机,wei'shi'ding'shu'ji
伟特,wei'te
伟兴,wei'xing
威雅,wei'ya
威雅墨水,wei'ya'mo'shui
卫衣,wei'yi
温度计,wen'du'ji
文房四宝,wen'fang'si'bao
文稿夹,wen'gao'jia
文化衫,wen'hua'shan
文件保护套,wen'jian'bao'hu'tao
文件标签,wen'jian'biao'qian
文件袋,wen'jian'dai
文件封套,wen'jian'feng'tao
文件柜,wen'jian'gui
文件夹,wen'jian'jia
文件框,wen'jian'kuang
文件栏,wen'jian'lan
文件目录,wen'jian'mu'lu
文件盘,wen'jian'pan
文件装订,wen'jian'zhuang'ding
文件装订机,wen'jian'zhuang'ding'ji
文具盒,wen'ju'he
文具套装,wen'ju'tao'zhuang
文龙香糊,wen'long'xiang'hu
文明中性笔,wen'ming'zhong'xing'bi
文明中性芯,wen'ming'zhong'xing'xin
蚊怕水,wen'pa'shui
文曲星,wen'qu'xing
蚊香片,wen'xiang'pian
稳压电源,wen'ya'dian'yuan
握笔矫正器,wo'bi'jiao'zheng'qi
握笔器,wo'bi'qi
沃德,wo'de
握力计测试仪,wo'li'ji'ce'shi'yi
握力器,wo'li'qi
握力圈,wo'li'quan
握手胶,wo'shou'jiao
沃特,wo'te
沃特篮球鞋,wo'te'lan'qiu'xie
无氨晒图纸,wu'an'shai'tu'zhi
武霸,wu'ba
舞蹈鞋,wu'dao'xie
五官检查器,wu'guan'jian'cha'qi
无核口哨,wu'he'kou'shao
五节档案柜,wu'jie'dang'an'gui
五节跳箱,wu'jie'tiao'xiang
五金工具,wu'jin'gong'ju
武警专用,wu'jing'zhuan'yong
无框钢板,wu'kuang'gang'ban
五岭大市场,wu'ling'da'shi'chang
五人站,wu'ren'zhan
五人站训练器,wu'ren'zhan'xun'lian'qi
无色象棋,wu'se'xiang'qi
无绳子母机,wu'sheng'zi'mu'ji
武术,wu'shu
武术服装,wu'shu'fu'zhuang
武术用品,wu'shu'yong'pin
无碳,wu'tan
无碳复写票据,wu'tan'fu'xie'piao'ju
无碳收据,wu'tan'shou'ju
污物桶,wu'wu'tong
五线谱电教板,wu'xian'pu'dian'jiao'ban
五线谱教学黑板,wu'xian'pu'jiao'xue'hei'ban
无线鼠标,wu'xian'shu'biao
舞鞋,wu'xie
五一文,wu'yi'wen
五折伞,wu'zhe'san
五趾袜休闲鞋,wu'zhi'wa'xiu'xian'xie
五子棋,wu'zi'qi
吸尘器,xi'chen'qi
洗涤用品,xi'di'yong'pin
洗发水,xi'fa'shui
希格,xi'ge
硒鼓,xi'gu
西瓜太郎,xi'gua'tai'lang
西瓜太郞,xi'gua'tai'lang
吸汗带,xi'han'dai
希捷,xi'jie
洗洁精,xi'jie'jing
西柯玛,xi'ke'ma
希乐,xi'le
希诺,xi'nuo
希诺儿,xi'nuo'er
希诺精彩杯,xi'nuo'jing'cai'bei
喜攀登,xi'pan'deng
吸盘钩,xi'pan'gou
戏曲,xi'qu
吸湿排汗,xi'shi'pai'han
喜通,xi'tong
喜通记事本,xi'tong'ji'shi'ben
喜洋洋,xi'yang'yang
喜洋洋彩泥,xi'yang'yang'cai'ni
洗衣粉,xi'yi'fen
洗衣液,xi'yi'ye
吸针筒,xi'zhen'tong
下湄桥,xia'mei'qiao
夏普,xia'pu
夏普传真机,xia'pu'chuan'zhen'ji
夏普复印机,xia'pu'fu'yin'ji
线穿本,xian'chuan'ben
现代汉语词典,xian'dai'han'yu'ci'dian
现金付出凭单,xian'jin'fu'chu'ping'dan
现金流水账,xian'jin'liu'shui'zhang
现金收入凭单,xian'jin'shou'ru'ping'dan
现金账,xian'jin'zhang
现金支出凭单,xian'jin'zhi'chu'ping'dan
线锯,xian'ju
线圈本,xian'quan'ben
纤维尺,xian'wei'chi
显微镜,xian'wei'jing
纤维毛巾,xian'wei'mao'jin
线装本,xian'zhuang'ben
响板,xiang'ban
箱包,xiang'bao
箱包配件,xiang'bao'pei'jian
相薄,xiang'bo
相册,xiang'ce
相机包,xiang'ji'bao
相机挂包,xiang'ji'gua'bao
湘江,xiang'jiang
橡胶地板,xiang'jiao'di'ban
橡胶篮球,xiang'jiao'lan'qiu
橡胶铁饼,xiang'jiao'tie'bing
橡胶章,xiang'jiao'zhang
相框,xiang'kuang
相框尺,xiang'kuang'chi
橡皮擦,xiang'pi'ca
橡皮筋,xiang'pi'jin
相片纸,xiang'pian'zhi
象棋,xiang'qi
湘锐,xiang'rui
香山,xiang'shan
香山健康称,xiang'shan'jian'kang'cheng
香山牌,xiang'shan'pai
相纸,xiang'zhi
小,xiao
小白云,xiao'bai'yun
肖邦,xiao'bang
削笔机,xiao'bi'ji
小钹,xiao'bo
消毒用品,xiao'du'yong'pin
小队旗,xiao'dui'qi
消费机,xiao'fei'ji
小红包,xiao'hong'bao
销货清单,xiao'huo'qing'dan
小兼毫,xiao'jian'hao
小军鼓,xiao'jun'gu
小篮球架,xiao'lan'qiu'jia
小锣,xiao'luo
小木琴,xiao'mu'qin
小排球架,xiao'pai'qiu'jia
小皮球,xiao'pi'qiu
小企业会计科目章,xiao'qi'ye'kuai'ji'ke'mu'zhang
小三羊,xiao'san'yang
小沙包,xiao'sha'bao
销售明细账,xiao'shou'ming'xi'zhang
销售清单,xiao'shou'qing'dan
销售日报表,xiao'shou'ri'bao'biao
销售小票,xiao'shou'xiao'piao
小速环,xiao'su'huan
小堂鼓,xiao'tang'gu
小体操垫,xiao'ti'cao'dian
小天使,xiao'tian'shi
小学成套打击乐器,xiao'xue'cheng'tao'da'ji'yue'qi
小学美术教学挂图,xiao'xue'mei'shu'jiao'xue'gua'tu
小学美术教学用具箱,xiao'xue'mei'shu'jiao'xue'yong'ju'xiang
小学美术课配套材料,xiao'xue'mei'shu'ke'pei'tao'cai'liao
小学美术欣赏图库,xiao'xue'mei'shu'xin'shang'tu'ku
小学音乐教材录音带,xiao'xue'yin'yue'jiao'cai'lu'yin'dai
小学音乐教学挂图,xiao'xue'yin'yue'jiao'xue'gua'tu
小学音乐教学投影片,xiao'xue'yin'yue'jiao'xue'tou'ying'pian
小学音乐教学资料带,xiao'xue'yin'yue'jiao'xue'zi'liao'dai
小学音乐欣赏录像带,xiao'xue'yin'yue'xin'shang'lu'xiang'dai
小学音乐欣赏曲库,xiao'xue'yin'yue'xin'shang'qu'ku
小状元,xiao'zhuang'yuan
小足球门,xiao'zu'qiu'men
鞋带,xie'dai
鞋钉,xie'ding
斜举重架,xie'ju'zhong'jia
斜挎包,xie'kua'bao
写生凳,xie'sheng'deng
写生灯,xie'sheng'deng
写生画板,xie'sheng'hua'ban
写生画箱,xie'sheng'hua'xiang
写生教具,xie'sheng'jiao'ju
鞋套,xie'tao
信报箱,xin'bao'xiang
信诚水晶,xin'cheng'shui'jing
新成通,xin'cheng'tong
信封,xin'feng
新贵族,xin'gui'zu
欣乐,xin'le
欣乐复印纸,xin'le'fu'yin'zhi
新丽雅,xin'li'ya
新龙港,xin'long'gang
心率遥测仪,xin'lv'yao'ce'yi
欣荣,xin'rong
信息历,xin'xi'li
心相印,xin'xiang'yin
信誉单,xin'yu'dan
信纸,xin'zhi
兴达钟表,xing'da'zhong'biao
星辉,xing'hui
行李箱,xing'li'xiang
兴隆办公桌,xing'long'ban'gong'zhuo
兴隆步行街,xing'long'bu'xing'jie
星球,xing'qiu
星球象棋,xing'qiu'xiang'qi
兴帅,xing'shuai
型跳板,xing'tiao'ban
兴汪文体,xing'wang'wen'ti
幸运风,xing'yun'feng
幸运鸟,xing'yun'niao
幸运鸟复印纸,xing'yun'niao'fu'yin'zhi
兄弟传真机,xiong'di'chuan'zhen'ji
兄弟一体机,xiong'di'yi'ti'ji
胸花,xiong'hua
雄派,xiong'pai
胸围尺,xiong'wei'chi
秀丽笔,xiu'li'bi
休闲包,xiu'xian'bao
休闲短袖,xiu'xian'duan'xiu
休闲服,xiu'xian'fu
休闲帽,xiu'xian'mao
休闲书包,xiu'xian'shu'bao
休闲鞋,xiu'xian'xie
休闲椅,xiu'xian'yi
休闲用品,xiu'xian'yong'pin
休闲中裤,xiu'xian'zhong'ku
袖章布标,xiu'zhang'bu'biao
袖珍日记账,xiu'zhen'ri'ji'zhang
修正带,xiu'zheng'dai
修正液,xiu'zheng'ye
须缓带,xu'huan'dai
炫彩长尾票夹,xuan'cai'chang'wei'piao'jia
悬挂夹,xuan'gua'jia
宣纸,xuan'zhi
雪奥,xue'ao
雪奥胶水,xue'ao'jiao'shui
雪恩,xue'en
雪恩腹机架,xue'en'fu'ji'jia
雪镜,xue'jing
雪狼,xue'lang
雪丽,xue'li
雪丽复印纸,xue'li'fu'yin'zhi
学生实用绘图仪,xue'sheng'shi'yong'hui'tu'yi
学生书包,xue'sheng'shu'bao
学生算盘,xue'sheng'suan'pan
学生套尺,xue'sheng'tao'chi
学生用电子琴,xue'sheng'yong'dian'zi'qin
学生用品,xue'sheng'yong'pin
学习桌,xue'xi'zhuo
血压计,xue'ya'ji
雅孚文具,ya'fu'wen'ju
牙膏,ya'gao
雅格,ya'ge
雅谷,ya'gu
雅谷白板,ya'gu'bai'ban
哑铃,ya'ling
哑铃杠,ya'ling'gang
哑铃架,ya'ling'jia
亚龙,ya'long
亚森,ya'sen
雅图,ya'tu
压腿器,ya'tui'qi
亚信,ya'xin
牙钻,ya'zuan
鸭嘴兽,ya'zui'shou
验钞机,yan'chao'ji
烟斗,yan'dou
烟灰缸,yan'hui'gang
颜料,yan'liao
烟屏发令台,yan'ping'fa'ling'tai
燕泉路口,yan'quan'lu'kou
砚台,yan'tai
燕子羽毛球,yan'zi'yu'mao'qiu
羊豪,yang'hao
仰卧板,yang'wo'ban
摇摆机哑铃,yao'bai'ji'ya'ling
腰包,yao'bao
药酒,yao'jiu
药品柜,yao'pin'gui
邀请函,yao'qing'han
钥匙包,yao'shi'bao
钥匙管理箱,yao'shi'guan'li'xiang
钥匙扣,yao'shi'kou
钥匙圈,yao'shi'quan
钥匙箱,yao'shi'xiang
药箱,yao'xiang
液晶膜,ye'jing'mo
页片锁,ye'pian'suo
液体胶,ye'ti'jiao
野外电筒,ye'wai'dian'tong
野营刀具,ye'ying'dao'ju
野营灯,ye'ying'deng
一得阁,yi'de'ge
一得阁墨汁,yi'de'ge'mo'zhi
亿得隆,yi'de'long
移动单杠,yi'dong'dan'gang
移动独臂篮球架,yi'dong'du'bi'lan'qiu'jia
移动篮球架,yi'dong'lan'qiu'jia
移动硬盘,yi'dong'ying'pan
易读宝,yi'du'bao
益而高,yi'er'gao
易丰行,yi'feng'xing
意见箱,yi'jian'xiang
一节柜,yi'jie'gui
铱金笔,yi'jin'bi
易来利,yi'lai'li
易利,yi'li
毅力档案盒,yi'li'dang'an'he
衣帽架,yi'mao'jia
依人,yi'ren
依人钢笔,yi'ren'gang'bi
易事贴,yi'shi'tie
倚天,yi'tian
异物针,yi'wu'zhen
一星乒乓球,yi'xing'ping'pang'qiu
宜章县,yi'zhang'xian
易之利,yi'zhi'li
银镖羽毛球,yin'biao'yu'mao'qiu
音叉,yin'cha
银鬼头,yin'gui'tou
引航,yin'hang
银行存款余额调节表,yin'hang'cun'kuan'yu'e'tiao'jie'biao
引航打印纸,yin'hang'da'yin'zhi
银行账,yin'hang'zhang
