爱丁堡大学,ai'ding'bao'da'xue
日常活动等级,ri'chang'huo'dong'deng'ji
日火烧周期,ri'huo'shao'zhou'qi
熔痕,rong'hen
熔化过渡区,rong'hua'guo'du'qu
熔融物体的烧蚀,rong'rong'wu'ti'de'shao'shi
容易进入的,rong'yi'jin'ru'de
容易塌陷的地面,rong'yi'ta'xian'de'di'mian
熔珠,rong'zhu
肉眼可见的,rou'yan'ke'jian'de
入侵报警器,ru'qin'bao'jing'qi
乳酸,ru'suan
软磁材料,ruan'ci'cai'liao
软化点,ruan'hua'dian
软木材料,ruan'mu'cai'liao
撒水阀,sa'shui'fa
赛璐珞,sai'lu'luo
三级保养制,san'ji'bao'yang'zhi
三角墙,san'jiao'qiang
散热片,san're'pian
散热器罩,san're'qi'zhao
三通管,san'tong'guan
三翼浮漂式烟雾灭火系统,san'yi'fu'piao'shi'yan'wu'mie'huo'xi'tong
三元共晶氯化物,san'yuan'gong'jing'lv'hua'wu
森林次冠层叶簇,sen'lin'ci'guan'ceng'ye'cu
森林消防车,sen'lin'xiao'fang'che
闪点,shan'dian
山墙,shan'qiang
闪燃,shan'ran
善意的误报,shan'yi'de'wu'bao
商检,shang'jian
烧毁长度,shao'hui'chang'du
烧毁面积,shao'hui'mian'ji
少年放火,shao'nian'fang'huo
少年放火犯,shao'nian'fang'huo'fan
少年消防团,shao'nian'xiao'fang'tuan
烧蚀生成物的辐射,shao'shi'sheng'cheng'wu'de'fu'she
烧蚀特征,shao'shi'te'zheng
烧损率,shao'sun'lv
设备安装,she'bei'an'zhuang
设备安装管理,she'bei'an'zhuang'guan'li
设备报废,she'bei'bao'fei
设备报价,she'bei'bao'jia
设备操作的五项纪律,she'bei'cao'zuo'de'wu'xiang'ji'lv
设备操作规程,she'bei'cao'zuo'gui'cheng
设备的安全性,she'bei'de'an'quan'xing
设备的成套性,she'bei'de'cheng'tao'xing
设备的环保性,she'bei'de'huan'bao'xing
设备的检查评比,she'bei'de'jian'cha'ping'bi
设备的节能性,she'bei'de'jie'neng'xing
设备的可靠性与可靠度,she'bei'de'ke'kao'xing'yu'ke'kao'du
设备的灵活性,she'bei'de'ling'huo'xing
设备的耐用性,she'bei'de'nai'yong'xing
设备调研,she'bei'diao'yan
设备分级管理,she'bei'fen'ji'guan'li
设备负荷率,she'bei'fu'he'lv
设备改造,she'bei'gai'zao
设备岗位责任,she'bei'gang'wei'ze'ren
设备更换,she'bei'geng'huan
设备更新,she'bei'geng'xin
设备更新管理制度,she'bei'geng'xin'guan'li'zhi'du
设备功能效能,she'bei'gong'neng'xiao'neng
设备工作能力,she'bei'gong'zuo'neng'li
设备构成比,she'bei'gou'cheng'bi
设备固定资产管理制度,she'bei'gu'ding'zi'chan'guan'li'zhi'du
设备故障,she'bei'gu'zhang
设备管理,she'bei'guan'li
设备管理考核制度,she'bei'guan'li'kao'he'zhi'du
设备管理评优活动,she'bei'guan'li'ping'you'huo'dong
设备管理条例,she'bei'guan'li'tiao'li
设备管理停歇时间定额,she'bei'guan'li'ting'xie'shi'jian'ding'e
设备管理现代化,she'bei'guan'li'xian'dai'hua
设备管理制度,she'bei'guan'li'zhi'du
设备规划,she'bei'gui'hua
设备规划可行性分析,she'bei'gui'hua'ke'xing'xing'fen'xi
设备合同管理,she'bei'he'tong'guan'li
设备基础设计与施工,she'bei'ji'chu'she'ji'yu'shi'gong
设备技术档案,she'bei'ji'shu'dang'an
设备技术寿命,she'bei'ji'shu'shou'ming
设备技术性能,she'bei'ji'shu'xing'neng
设备技术状况,she'bei'ji'shu'zhuang'kuang
设备技术状态管理,she'bei'ji'shu'zhuang'tai'guan'li
设备检修规程,she'bei'jian'xiu'gui'cheng
设备检修计划,she'bei'jian'xiu'ji'hua
设备检修质量,she'bei'jian'xiu'zhi'liang
设备检修专业化协作,she'bei'jian'xiu'zhuan'ye'hua'xie'zuo
设备经济寿命,she'bei'jing'ji'shou'ming
设备老化,she'bei'lao'hua
设备利用率,she'bei'li'yong'lv
设备磨损补偿,she'bei'mo'sun'bu'chang
设备全过程管理,she'bei'quan'guo'cheng'guan'li
设备事故,she'bei'shi'gu
设备事故管理制度,she'bei'shi'gu'guan'li'zhi'du
设备使用规程,she'bei'shi'yong'gui'cheng
设备寿命,she'bei'shou'ming
设备索赔,she'bei'suo'pei
设备台帐,she'bei'tai'zhang
设备统计报表制度,she'bei'tong'ji'bao'biao'zhi'du
设备投资产出比,she'bei'tou'zi'chan'chu'bi
设备投资回收报率,she'bei'tou'zi'hui'shou'bao'lv
设备完好,she'bei'wan'hao
设备维护规程,she'bei'wei'hu'gui'cheng
设备维修定额,she'bei'wei'xiu'ding'e
设备维修技术资料,she'bei'wei'xiu'ji'shu'zi'liao
设备闲置率,she'bei'xian'zhi'lv
设备新度,she'bei'xin'du
设备型号,she'bei'xing'hao
设备型式,she'bei'xing'shi
设备修理材料定额,she'bei'xiu'li'cai'liao'ding'e
设备修理费用定额,she'bei'xiu'li'fei'yong'ding'e
设备修理工时定额,she'bei'xiu'li'gong'shi'ding'e
设备修理质量验收制度,she'bei'xiu'li'zhi'liang'yan'shou'zhi'du
设备选型,she'bei'xuan'xing
设备询价,she'bei'xun'jia
设备验收交接制度,she'bei'yan'shou'jiao'jie'zhi'du
设备资产增值率,she'bei'zi'chan'zeng'zhi'lv
设备综合管理,she'bei'zong'he'guan'li
设备综合利用率,she'bei'zong'he'li'yong'lv
设备租赁,she'bei'zu'lin
射流,she'liu
射流泵,she'liu'beng
射流扩展锥,she'liu'kuo'zhan'zhui
射绳枪,she'sheng'qiang
射线病,she'xian'bing
射线金相学,she'xian'jin'xiang'xue
射线伤害,she'xian'shang'hai
射线探伤仪,she'xian'tan'shang'yi
射线诊断,she'xian'zhen'duan
伸缩臂,shen'suo'bi
伸缩式登高平台,shen'suo'shi'deng'gao'ping'tai
深位火灾,shen'wei'huo'zai
甚早期报警系统,shen'zao'qi'bao'jing'xi'tong
生产技术装备,sheng'chan'ji'shu'zhuang'bei
生产设备,sheng'chan'she'bei
剩磁数据,sheng'ci'shu'ju
圣伏罗里安抢救队,sheng'fu'luo'li'an'qiang'jiu'dui
声光效应,sheng'guang'xiao'ying
生石灰,sheng'shi'hui
升梯,sheng'ti
升梯法,sheng'ti'fa
生物芯片,sheng'wu'xin'pian
湿大气,shi'da'qi
事故停机率,shi'gu'ting'ji'lv
事故易发性,shi'gu'yi'fa'xing
事故照明,shi'gu'zhao'ming
事故指挥所,shi'gu'zhi'hui'suo
事故指挥系统,shi'gu'zhi'hui'xi'tong
使火不熄灭,shi'huo'bu'xi'mie
实际飞行速度,shi'ji'fei'xing'su'du
世界贸易组织,shi'jie'mao'yi'zu'zhi
时空因素概念,shi'kong'yin'su'gai'nian
饰面板,shi'mian'ban
饰面外墙,shi'mian'wai'qiang
室内消火栓,shi'nei'xiao'huo'shuan
湿式报警阀,shi'shi'bao'jing'fa
湿式喷水灭火系统,shi'shi'pen'shui'mie'huo'xi'tong
室外管道,shi'wai'guan'dao
室外楼梯,shi'wai'lou'ti
室外疏散路线,shi'wai'shu'san'lu'xian
室外消火栓,shi'wai'xiao'huo'shuan
失效安全,shi'xiao'an'quan
实验室通风柜,shi'yan'shi'tong'feng'gui
试验压力,shi'yan'ya'li
石油气,shi'you'qi
手动阀,shou'dong'fa
手动火灾报警按钮,shou'dong'huo'zai'bao'jing'an'niu
手动洒水喷头,shou'dong'sa'shui'pen'tou
受理火警,shou'li'huo'jing
寿命周期,shou'ming'zhou'qi
收起水带线,shou'qi'shui'dai'xian
受损地区,shou'sun'di'qu
手抬机动消防泵,shou'tai'ji'dong'xiao'fang'beng
手提灭火器,shou'ti'mie'huo'qi
手提式灭火器,shou'ti'shi'mie'huo'qi
手压灭火器,shou'ya'mie'huo'qi
手摇泵,shou'yao'beng
竖管,shu'guan
竖井,shu'jing
数据安全,shu'ju'an'quan
数据处理系统安全性,shu'ju'chu'li'xi'tong'an'quan'xing
数理统计,shu'li'tong'ji
疏散,shu'san
疏散出口,shu'san'chu'kou
疏散导流标志,shu'san'dao'liu'biao'zhi
疏散计划,shu'san'ji'hua
疏散距离,shu'san'ju'li
疏散流量,shu'san'liu'liang
疏散楼梯,shu'san'lou'ti
疏散路线,shu'san'lu'xian
疏散率,shu'san'lv
疏散设施,shu'san'she'shi
疏散时间,shu'san'shi'jian
疏散指示标志,shu'san'zhi'shi'biao'zhi
熟石膏用量,shu'shi'gao'yong'liang
竖梯,shu'ti
竖向承载能力,shu'xiang'cheng'zai'neng'li
竖向出口,shu'xiang'chu'kou
竖向振动,shu'xiang'zhen'dong
术语,shu'yu
树枝晶,shu'zhi'jing
水泵,shui'beng
水泵规格,shui'beng'gui'ge
水泵名称,shui'beng'ming'cheng
水泵排量,shui'beng'pai'liang
水泵下置深度,shui'beng'xia'zhi'shen'du
水泵型号,shui'beng'xing'hao
水成膜泡沫液,shui'cheng'mo'pao'mo'ye
水带扭结,shui'dai'niu'jie
水带消防车,shui'dai'xiao'fang'che
水罐泵浦消防车,shui'guan'beng'pu'xiao'fang'che
水罐车班班长,shui'guan'che'ban'ban'zhang
水罐充注管,shui'guan'chong'zhu'guan
水罐出水管水带,shui'guan'chu'shui'guan'shui'dai
水罐出水管水带阀,shui'guan'chu'shui'guan'shui'dai'fa
水罐流速,shui'guan'liu'su
水罐水位表,shui'guan'shui'wei'biao
水罐消防车,shui'guan'xiao'fang'che
水罐消防车调派计划,shui'guan'xiao'fang'che'diao'pai'ji'hua
水罐消防车管理员,shui'guan'xiao'fang'che'guan'li'yuan
水罐溢流管,shui'guan'yi'liu'guan
水井吊泵,shui'jing'diao'beng
水流,shui'liu
水灭火系统,shui'mie'huo'xi'tong
水灭火系统效用试验,shui'mie'huo'xi'tong'xiao'yong'shi'yan
水幕系统,shui'mu'xi'tong
水平出口,shui'ping'chu'kou
水雾系统,shui'wu'xi'tong
水下爆炸,shui'xia'bao'zha
水下火警,shui'xia'huo'jing
水下消防泵,shui'xia'xiao'fang'beng
水箱传感器,shui'xiang'chuan'gan'qi
水箱隔,shui'xiang'ge
水箱加热设备,shui'xiang'jia're'she'bei
水箱塔架,shui'xiang'ta'jia
水银,shui'yin
顺时针旋风,shun'shi'zhen'xuan'feng
死胡同,si'hu'tong
四节云梯消防车,si'jie'yun'ti'xiao'fang'che
死可燃物,si'ke'ran'wu
撕裂强度,si'lie'qiang'du
速度,su'du
速度调制,su'du'tiao'zhi
速度头,su'du'tou
塑料球覆盖层,su'liao'qiu'fu'gai'ceng
速率,su'lv
速燃导火索,su'ran'dao'huo'suo
速燃引信头,su'ran'yin'xin'tou
速压,su'ya
酸碱度,suan'jian'du
酸碱灭火剂,suan'jian'mie'huo'ji
酸碱灭火器,suan'jian'mie'huo'qi
随机事件,sui'ji'shi'jian
损失,sun'shi
钛泵,tai'beng
泰勒不稳定性,tai'le'bu'wen'ding'xing
太平门,tai'ping'men
钛升华泵,tai'sheng'hua'beng
探测压力,tan'ce'ya'li
碳酸氢钾干粉,tan'suan'qing'jia'gan'fen
碳酸氢钠干粉,tan'suan'qing'na'gan'fen
钽钛离子泵,tan'tai'li'zi'beng
探头检测,tan'tou'jian'ce
逃生滑梯,tao'sheng'hua'ti
逃生人孔,tao'sheng'ren'kong
特遣队,te'qian'dui
特遣队队长,te'qian'dui'dui'zhang
特遣队指挥员,te'qian'dui'zhi'hui'yuan
疼痛,teng'tong
梯架,ti'jia
梯脚防滑套,ti'jiao'fang'hua'tao
梯子侧板,ti'zi'ce'ban
梯子的侧板,ti'zi'de'ce'ban
梯子防滑块,ti'zi'fang'hua'kuai
梯子训练塔,ti'zi'xun'lian'ta
梯子抓链,ti'zi'zhua'lian
填料,tian'liao
天然防火线,tian'ran'fang'huo'xian
天然屏障,tian'ran'ping'zhang
天然气,tian'ran'qi
天然气燃烧器,tian'ran'qi'ran'shao'qi
天然纤维水带,tian'ran'xian'wei'shui'dai
调节阀,tiao'jie'fa
调速阀,tiao'su'fa
调整阀,tiao'zheng'fa
调整阀盖,tiao'zheng'fa'gai
调整阀体,tiao'zheng'fa'ti
铁路沿线火警信号,tie'lu'yan'xian'huo'jing'xin'hao
铁路沿线火灾,tie'lu'yan'xian'huo'zai
铁皮包门,tie'pi'bao'men
停工时间,ting'gong'shi'jian
停靠消防栓,ting'kao'xiao'fang'shuan
停滞不流动的空气,ting'zhi'bu'liu'dong'de'kong'qi
通地泄露电路断电器,tong'di'xie'lou'dian'lu'duan'dian'qi
通风,tong'feng
通风措施,tong'feng'cuo'shi
通风大厅,tong'feng'da'ting
通风的前室,tong'feng'de'qian'shi
通风工作,tong'feng'gong'zuo
通风管,tong'feng'guan
通风管道,tong'feng'guan'dao
通风机,tong'feng'ji
通风机房,tong'feng'ji'fang
通风井,tong'feng'jing
通风孔,tong'feng'kong
通风空气,tong'feng'kong'qi
通风流量,tong'feng'liu'liang
通风率,tong'feng'lv
通风面积,tong'feng'mian'ji
通风排气管道,tong'feng'pai'qi'guan'dao
通风受限制的,tong'feng'shou'xian'zhi'de
通风系统,tong'feng'xi'tong
通风因子,tong'feng'yin'zi
通风诱发型轰然,tong'feng'you'fa'xing'hong'ran
通风走廊,tong'feng'zou'lang
统计分析,tong'ji'fen'xi
通气,tong'qi
通气地带,tong'qi'di'dai
通气连接器,tong'qi'lian'jie'qi
同位素示踪剂,tong'wei'su'shi'zong'ji
通讯调度中心记录用的磁带,tong'xun'diao'du'zhong'xin'ji'lu'yong'de'ci'dai
通讯指挥消防车,tong'xun'zhi'hui'xiao'fang'che
统一标志规范,tong'yi'biao'zhi'gui'fan
统一火灾报告,tong'yi'huo'zai'bao'gao
统一建筑安全规范,tong'yi'jian'zhu'an'quan'gui'fan
统一建筑规范,tong'yi'jian'zhu'gui'fan
统一住宅规范,tong'yi'zhu'zhai'gui'fan
通用按钮,tong'yong'an'niu
通用电表,tong'yong'dian'biao
通用过滤器,tong'yong'guo'lv'qi
通用火灾报警控制器,tong'yong'huo'zai'bao'jing'kong'zhi'qi
通用溅水盘喷头,tong'yong'jian'shui'pan'pen'tou
通用接口,tong'yong'jie'kou
通用泡沫,tong'yong'pao'mo
通用气体常数,tong'yong'qi'ti'chang'shu
通用装置,tong'yong'zhuang'zhi
透风,tou'feng
投资效果系数,tou'zi'xiao'guo'xi'shu
涂服织物的透气性,tu'fu'zhi'wu'de'tou'qi'xing
涂胶防护服,tu'jiao'fang'hu'fu
涂料,tu'liao
凸轮轴,tu'lun'zhou
兔式速移器,tu'shi'su'yi'qi
推车式灭火器,tui'che'shi'mie'huo'qi
退役的,tui'yi'de
托换基础,tuo'huan'ji'chu
脱开梯子,tuo'kai'ti'zi
外部气温,wai'bu'qi'wen
完全喷射,wan'quan'pen'she
万向节,wan'xiang'jie
万用电表,wan'yong'dian'biao
未报告的火灾,wei'bao'gao'de'huo'zai
威布尔分布,wei'bu'er'fen'bu
未稠化的溶液,wei'chou'hua'de'rong'ye
违法点燃的火,wei'fa'dian'ran'de'huo
微风,wei'feng
维护与计划检修相结合,wei'hu'yu'ji'hua'jian'xiu'xiang'jie'he
危急报警信号灯,wei'ji'bao'jing'xin'hao'deng
未接地的,wei'jie'di'de
未控制的林火,wei'kong'zhi'de'lin'huo
微粒回降,wei'li'hui'jiang
尾绳,wei'sheng
未委派任务的消防车,wei'wei'pai'ren'wu'de'xiao'fang'che
危险品包装,wei'xian'pin'bao'zhuang
维修,wei'xiu
维修信息管理,wei'xiu'xin'xi'guan'li
维修性,wei'xiu'xing
温标,wen'biao
温差,wen'cha
温度,wen'du
温度变化,wen'du'bian'hua
温度补偿,wen'du'bu'chang
温度补偿晶体振荡器,wen'du'bu'chang'jing'ti'zhen'dang'qi
温度测试表,wen'du'ce'shi'biao
温度传感系统,wen'du'chuan'gan'xi'tong
温度单位,wen'du'dan'wei
温度点,wen'du'dian
温度额定值,wen'du'e'ding'zhi
温度范围,wen'du'fan'wei
温度分布,wen'du'fen'bu
温度分级,wen'du'fen'ji
温度感觉,wen'du'gan'jue
温度计刻度,wen'du'ji'ke'du
温度控制,wen'du'kong'zhi
温度控制器,wen'du'kong'zhi'qi
温度控制区,wen'du'kong'zhi'qu
温度逆增,wen'du'ni'zeng
温度偏高,wen'du'pian'gao
温度特性曲线,wen'du'te'xing'qu'xian
温度梯度,wen'du'ti'du
温度调节,wen'du'tiao'jie
温度稳定性,wen'du'wen'ding'xing
温度系数,wen'du'xi'shu
温度响应,wen'du'xiang'ying
温度噪声,wen'du'zao'sheng
温度指示设备,wen'du'zhi'shi'she'bei
文件内容安全性,wen'jian'nei'rong'an'quan'xing
文件系统安全性,wen'jian'xi'tong'an'quan'xing
紊流指数,wen'liu'zhi'shu
文丘里管,wen'qiu'li'guan
文丘里喉管,wen'qiu'li'hou'guan
文丘里流量计,wen'qiu'li'liu'liang'ji
文丘里喷嘴,wen'qiu'li'pen'zui
文丘里雾化器,wen'qiu'li'wu'hua'qi
文丘里效应,wen'qiu'li'xiao'ying
文丘里原理,wen'qiu'li'yuan'li
温升报警信号,wen'sheng'bao'jing'xin'hao
文氏管,wen'shi'guan
文物建筑,wen'wu'jian'zhu
文物建筑重建费,wen'wu'jian'zhu'chong'jian'fei
文物建筑典型实物,wen'wu'jian'zhu'dian'xing'shi'wu
涡流,wo'liu
涡轮泵,wo'lun'beng
涡轮分子泵,wo'lun'fen'zi'beng
误报,wu'bao
无爆震区,wu'bao'zhen'qu
无常驻人员的消防站,wu'chang'zhu'ren'yuan'de'xiao'fang'zhan
无衬里供水水带,wu'chen'li'gong'shui'shui'dai
无衬里水带,wu'chen'li'shui'dai
屋顶挡烟隔板,wu'ding'dang'yan'ge'ban
屋顶通风,wu'ding'tong'feng
无法承受状况,wu'fa'cheng'shou'zhuang'kuang
无防护层的钢构件,wu'fang'hu'ceng'de'gang'gou'jian
无防护的墙身洞口,wu'fang'hu'de'qiang'shen'dong'kou
无故障运行时间,wu'gu'zhang'yun'xing'shi'jian
无管网气体灭火装置,wu'guan'wang'qi'ti'mie'huo'zhuang'zhi
五件套云梯消防车,wu'jian'tao'yun'ti'xiao'fang'che
无喷淋式,wu'pen'lin'shi
无喷水灭火系统的地区,wu'pen'shui'mie'huo'xi'tong'de'di'qu
误启动,wu'qi'dong
无人操纵灭火器,wu'ren'cao'zong'mie'huo'qi
无涂层的洒水喷头,wu'tu'ceng'de'sa'shui'pen'tou
无线报警,wu'xian'bao'jing
无线电,wu'xian'dian
无线电波道,wu'xian'dian'bo'dao
无线电调度系统,wu'xian'dian'diao'du'xi'tong
无线电火灾报警箱,wu'xian'dian'huo'zai'bao'jing'xiang
无线电联系,wu'xian'dian'lian'xi
无线电没备,wu'xian'dian'mei'bei
无线电设备贮藏处,wu'xian'dian'she'bei'zhu'cang'chu
无线电天线,wu'xian'dian'tian'xian
无线电通信,wu'xian'dian'tong'xin
无线电通信网络,wu'xian'dian'tong'xin'wang'luo
无线电通信系统,wu'xian'dian'tong'xin'xi'tong
无线电信标,wu'xian'dian'xin'biao
无焰燃烧,wu'yan'ran'shao
无障碍结构不成对电子,wu'zhang'ai'jie'gou'bu'cheng'dui'dian'zi
细薄织物,xi'bao'zhi'wu
西风,xi'feng
熄火直径,xi'huo'zhi'jing
席间走道,xi'jian'zou'dao
熄灭,xi'mie
熄灭火焰,xi'mie'huo'yan
吸收系数,xi'shou'xi'shu
吸收指数,xi'shou'zhi'shu
吸收状态气体,xi'shou'zhuang'tai'qi'ti
吸油层,xi'you'ceng
下部燃烧的,xia'bu'ran'shao'de
下行风桥,xia'hang'feng'qiao
下节梯,xia'jie'ti
下向梯段回采法,xia'xiang'ti'duan'hui'cai'fa
氙频闪灯,xian'pin'shan'deng
氙闪光管,xian'shan'guang'guan
线型火灾探测器,xian'xing'huo'zai'tan'ce'qi
限压阀,xian'ya'fa
闲置设备,xian'zhi'she'bei
限制溢出物蔓延的吸收性材料,xian'zhi'yi'chu'wu'man'yan'de'xi'shou'xing'cai'liao
相对密度,xiang'dui'mi'du
相关安全功能,xiang'guan'an'quan'gong'neng
镶面板,xiang'mian'ban
小队长,xiao'dui'zhang
消防,xiao'fang
消防安全疏散标志,xiao'fang'an'quan'shu'san'biao'zhi
消防安全重点单位,xiao'fang'an'quan'zhong'dian'dan'wei
消防泵,xiao'fang'beng
消防泵站,xiao'fang'beng'zhan
消防车,xiao'fang'che
消防车的后踏板,xiao'fang'che'de'hou'ta'ban
消防船,xiao'fang'chuan
消防传真机,xiao'fang'chuan'zhen'ji
消防窗,xiao'fang'chuang
消防电梯,xiao'fang'dian'ti
消防队日记,xiao'fang'dui'ri'ji
消防服务,xiao'fang'fu'wu
消防工作条例,xiao'fang'gong'zuo'tiao'li
消防官训练,xiao'fang'guan'xun'lian
消防官员,xiao'fang'guan'yuan
消防滑杆,xiao'fang'hua'gan
消防计算机通信系统,xiao'fang'ji'suan'ji'tong'xin'xi'tong
消防接口,xiao'fang'jie'kou
消防救援器材,xiao'fang'jiu'yuan'qi'cai
消防卷盘,xiao'fang'juan'pan
消防开关盒,xiao'fang'kai'guan'he
消防控制室,xiao'fang'kong'zhi'shi
消防控制台,xiao'fang'kong'zhi'tai
消防联动控制装置,xiao'fang'lian'dong'kong'zhi'zhuang'zhi
消防炮,xiao'fang'pao
消防破拆工具,xiao'fang'po'chai'gong'ju
消防器材,xiao'fang'qi'cai
消防枪,xiao'fang'qiang
消防抢救队,xiao'fang'qiang'jiu'dui
消防枪炮,xiao'fang'qiang'pao
消防设备,xiao'fang'she'bei
消防实力显示装置,xiao'fang'shi'li'xian'shi'zhuang'zhi
消防署,xiao'fang'shu
消防水池,xiao'fang'shui'chi
消防水带,xiao'fang'shui'dai
消防水炮,xiao'fang'shui'pao
消防水枪,xiao'fang'shui'qiang
消防水箱,xiao'fang'shui'xiang
消防水源,xiao'fang'shui'yuan
消防水总管,xiao'fang'shui'zong'guan
消防梯,xiao'fang'ti
消防梯顶部,xiao'fang'ti'ding'bu
消防梯架空销定器,xiao'fang'ti'jia'kong'xiao'ding'qi
消防通道,xiao'fang'tong'dao
消防通信室,xiao'fang'tong'xin'shi
消防统一编码,xiao'fang'tong'yi'bian'ma
消防无线通信网,xiao'fang'wu'xian'tong'xin'wang
消防无线通信系统,xiao'fang'wu'xian'tong'xin'xi'tong
消防吸水管,xiao'fang'xi'shui'guan
消防系统,xiao'fang'xi'tong
消防系统效用试验,xiao'fang'xi'tong'xiao'yong'shi'yan
消防信息,xiao'fang'xin'xi
消防训练塔,xiao'fang'xun'lian'ta
消防有线通信网,xiao'fang'you'xian'tong'xin'wang
消防有线通信系统,xiao'fang'you'xian'tong'xin'xi'tong
消防有线通信线路,xiao'fang'you'xian'tong'xin'xian'lu
消防员常规防护装备,xiao'fang'yuan'chang'gui'fang'hu'zhuang'bei
消防员特种防护装备,xiao'fang'yuan'te'zhong'fang'hu'zhuang'bei
消防站,xiao'fang'zhan
硝化纤维清漆,xiao'hua'xian'wei'qing'qi
小火,xiao'huo
消火,xiao'huo
消火栓,xiao'huo'shuan
硝基漆,xiao'ji'qi
硝基清漆,xiao'ji'qing'qi
消减烟雾,xiao'jian'yan'wu
小警铃,xiao'jing'ling
小拉梯,xiao'la'ti
小时时间间隔的可燃物,xiao'shi'shi'jian'jian'ge'de'ke'ran'wu
硝酸纤维素塑料,xiao'suan'xian'wei'su'su'liao
硝酸锌,xiao'suan'xin
小型背负泵式灭火器,xiao'xing'bei'fu'beng'shi'mie'huo'qi
携带式配套工具,xie'dai'shi'pei'tao'gong'ju
心肺复苏法,xin'fei'fu'su'fa
锌粉,xin'fen
信号装置,xin'hao'zhuang'zhi
芯片,xin'pian
新西兰消防队联合会,xin'xi'lan'xiao'fang'dui'lian'he'hui
新鲜空气,xin'xian'kong'qi
行车间距,xing'che'jian'ju
形管,xing'guan
形曲折道路,xing'qu'zhe'dao'lu
修理,xiu'li
修理复杂系数,xiu'li'fu'za'xi'shu
修理计划完成率,xiu'li'ji'hua'wan'cheng'lv
修理间隔期,xiu'li'jian'ge'qi
修理周期,xiu'li'zhou'qi
修理周期结构,xiu'li'zhou'qi'jie'gou
修筑隔墙,xiu'zhu'ge'qiang
宣传消防车,xuan'chuan'xiao'fang'che
悬挂式干粉灭火装置,xuan'gua'shi'gan'fen'mie'huo'zhuang'zhi
悬挂式灭火装置,xuan'gua'shi'mie'huo'zhuang'zhi
眩晕,xuan'yun
旋转式消防炮,xuan'zhuan'shi'xiao'fang'pao
旋转式选择器,xuan'zhuan'shi'xuan'ze'qi
旋转真空泵,xuan'zhuan'zhen'kong'beng
血管系统,xue'guan'xi'tong
哑点,ya'dian
压电效应,ya'dian'xiao'ying
压气泵排水,ya'qi'beng'pai'shui
压缩空气泡沫系统,ya'suo'kong'qi'pao'mo'xi'tong
压载舱,ya'zai'cang
压载水泵,ya'zai'shui'beng
压载水枪,ya'zai'shui'qiang
压住火势,ya'zhu'huo'shi
烟层,yan'ceng
烟囱效应,yan'cong'xiao'ying
烟囱压力,yan'cong'ya'li
烟气控制,yan'qi'kong'zhi
烟炱,yan'tai
烟雾干粉联用灭火系统,yan'wu'gan'fen'lian'yong'mie'huo'xi'tong
烟雾灭火器,yan'wu'mie'huo'qi
烟雾灭火系统,yan'wu'mie'huo'xi'tong
验证,yan'zheng
严重事故,yan'zhong'shi'gu
氧化锆耐火材料,yang'hua'gao'nai'huo'cai'liao
阳台,yang'tai
遥控力学,yao'kong'li'xue
遥控系统,yao'kong'xi'tong
液面报警开关,ye'mian'bao'jing'kai'guan
叶片式水流报警启动装置,ye'pian'shi'shui'liu'bao'jing'qi'dong'zhuang'zhi
液体火箭燃料,ye'ti'huo'jian'ran'liao
液下喷射泡沫灭火系统,ye'xia'pen'she'pao'mo'mie'huo'xi'tong
业消防栓,ye'xiao'fang'shuan
抑爆,yi'bao
抑爆剂,yi'bao'ji
抑爆器,yi'bao'qi
异常气味,yi'chang'qi'wei
异常燃烧,yi'chang'ran'shao
异常状况,yi'chang'zhuang'kuang
一次短路熔痕,yi'ci'duan'lu'rong'hen
移动式灭火器,yi'dong'shi'mie'huo'qi
乙基锌,yi'ji'xin
易燃的,yi'ran'de
易燃性,yi'ran'xing
易通行的疏散通道,yi'tong'xing'de'shu'san'tong'dao
义务消防队,yi'wu'xiao'fang'dui
易引燃性,yi'yin'ran'xing
抑制火势,yi'zhi'huo'shi
引火源,yin'huo'yuan
阴燃,yin'ran
引燃,yin'ran
引燃时间,yin'ran'shi'jian
引燃温度,yin'ran'wen'du
引燃延迟时间,yin'ran'yan'chi'shi'jian
引燃指数,yin'ran'zhi'shu
引水消防泵,yin'shui'xiao'fang'beng
硬磁材料,ying'ci'cai'liao
营地管理员,ying'di'guan'li'yuan
荧光强度,ying'guang'qiang'du
荧光效应,ying'guang'xiao'ying
营火,ying'huo
影线,ying'xian
影响灭火剂应用的障碍物,ying'xiang'mie'huo'ji'ying'yong'de'zhang'ai'wu
用房分类,yong'fang'fen'lei
用千斤顶顶起,yong'qian'jin'ding'ding'qi
用以接住跳楼人的救生网,yong'yi'jie'zhu'tiao'lou'ren'de'jiu'sheng'wang
油槽车,you'cao'che
油槽灭火装置,you'cao'mie'huo'zhuang'zhi
油罐车,you'guan'che
油罐火灾沸溢物,you'guan'huo'zai'fei'yi'wu
有害燃烧,you'hai'ran'shao
油扩散泵,you'kuo'san'beng
油类火灾,you'lei'huo'zai
油漆,you'qi
油漆间,you'qi'jian
有线报警,you'xian'bao'jing
有橡胶衬里纤维水带,you'xiang'jiao'chen'li'xian'wei'shui'dai
有镶面结构的墙,you'xiang'mian'jie'gou'de'qiang
有效半衰期,you'xiao'ban'shuai'qi
有效电流,you'xiao'dian'liu
有效功率,you'xiao'gong'lv
有效呼叫,you'xiao'hu'jiao
有效接的,you'xiao'jie'de
