阿尔必阶,a'er'bi'jie
凝灰结构,ning'hui'jie'gou
凝结水,ning'jie'shui
凝聚作用,ning'ju'zuo'yong
凝析气田,ning'xi'qi'tian
凝析油,ning'xi'you
牛津阶,niu'jin'jie
牛津期,niu'jin'qi
拗拉槽,niu'la'cao
浓度梯度,nong'du'ti'du
浓集系数,nong'ji'xi'shu
浓集中心,nong'ji'zhong'xin
诺利阶,nuo'li'jie
诺利期,nuo'li'qi
诺依曼线,nuo'yi'man'xian
钕计时,nv'ji'shi
耦合反应,ou'he'fan'ying
欧拉极,ou'la'ji
偶数规则,ou'shu'gui'ze
帕特森图,pa'te'sen'tu
培长石,pei'chang'shi
配位数,pei'wei'shu
喷出相,pen'chu'xiang
喷出岩,pen'chu'yan
盆地,pen'di
盆岭区,pen'ling'qu
盆岭省,pen'ling'sheng
喷流矿床,pen'liu'kuang'chuang
喷气孔,pen'qi'kong
喷泉,pen'quan
硼矿床,peng'kuang'chuang
硼镁石,peng'mei'shi
硼镁铁矿,peng'mei'tie'kuang
膨润土,peng'run'tu
硼砂,peng'sha
硼酸盐,peng'suan'yan
膨胀说,peng'zhang'shuo
膨胀土,peng'zhang'tu
膨胀压力,peng'zhang'ya'li
彭志忠石,peng'zhi'zhong'shi
碰撞,peng'zhuang
批次熔融,pi'ci'rong'rong
披覆构造,pi'fu'gou'zao
皮壳状脉,pi'ke'zhuang'mai
劈理,pi'li
劈裂试验,pi'lie'shi'yan
偏方形,pian'fang'xing
片沸石,pian'fei'shi
片理,pian'li
片麻理,pian'ma'li
片麻岩,pian'ma'yan
偏提取,pian'ti'qu
片岩,pian'yan
偏倚,pian'yi
偏振角,pian'zhen'jiao
片状构造,pian'zhuang'gou'zao
漂白土,piao'bai'tu
飘尘,piao'chen
贫煤,pin'mei
拼贴,pin'tie
平错,ping'cuo
平衡常数,ping'heng'chang'shu
平衡剖面,ping'heng'pou'mian
平衡相图,ping'heng'xiang'tu
评价井,ping'jia'jing
平面偏振,ping'mian'pian'zhen
坪年龄,ping'nian'ling
平推断层,ping'tui'duan'ceng
平卧矿体,ping'wo'kuang'ti
平卧褶皱,ping'wo'zhe'zhou
平行层理,ping'xing'ceng'li
平行消光,ping'xing'xiao'guang
平行褶皱,ping'xing'zhe'zhou
平移断层,ping'yi'duan'ceng
平原,ping'yuan
破坏变形,po'huai'bian'xing
破火山口,po'huo'shan'kou
坡积物,po'ji'wu
坡缕石,po'lv'shi
坡面,po'mian
破劈理,po'pi'li
剖面,pou'mian
普遍回返,pu'bian'hui'fan
葡萄石,pu'tao'shi
普通辉石,pu'tong'hui'shi
普通铅,pu'tong'qian
谱系采样,pu'xi'cai'yang
气藏,qi'cang
器官系数,qi'guan'xi'shu
气孔构造,qi'kong'gou'zao
气煤,qi'mei
气苗,qi'miao
气汽比,qi'qi'bi
汽水分离,qi'shui'fen'li
气田,qi'tian
骑田岭矿,qi'tian'ling'kuang
栖霞阶,qi'xia'jie
栖霞期,qi'xia'qi
栖霞组,qi'xia'zu
气油比,qi'you'bi
前凹,qian'ao
前滨,qian'bin
浅层水,qian'ceng'shui
浅成岩,qian'cheng'yan
浅海相,qian'hai'xiang
前寒武纪,qian'han'wu'ji
前弧,qian'hu
潜火山相,qian'huo'shan'xiang
潜火山岩,qian'huo'shan'yan
浅基础,qian'ji'chu
铅计时,qian'ji'shi
浅孔测温,qian'kong'ce'wen
潜流,qian'liu
前陆,qian'lu
前陆台地,qian'lu'tai'di
浅埋,qian'mai
千枚岩,qian'mei'yan
千糜岩,qian'mi'yan
浅色矿物,qian'se'kuang'wu
浅色岩,qian'se'yan
潜山圈闭,qian'shan'quan'bi
浅闪石,qian'shan'shi
浅深,qian'shen
潜蚀,qian'shi
潜水,qian'shui
潜水面,qian'shui'mian
潜水位,qian'shui'wei
潜穴,qian'xue
前渊,qian'yuan
前缘断坡,qian'yuan'duan'po
前造山期,qian'zao'shan'qi
铅直断距,qian'zhi'duan'ju
铅直运动,qian'zhi'yun'dong
强干,qiang'gan
锖色,qiang'se
羟砷锌石,qiang'shen'xin'shi
蔷薇辉石,qiang'wei'hui'shi
壳层规则,qiao'ceng'gui'ze
鞘褶,qiao'zhe
壳质组,qiao'zhi'zu
亲气元素,qin'qi'yuan'su
侵入接触,qin'ru'jie'chu
侵入岩,qin'ru'yan
侵蚀,qin'shi
侵蚀基面,qin'shi'ji'mian
侵蚀阶地,qin'shi'jie'di
亲石元素,qin'shi'yuan'su
亲铁元素,qin'tie'yuan'su
亲铜元素,qin'tong'yuan'su
亲氧过程,qin'yang'guo'cheng
青白口纪,qing'bai'kou'ji
青白口群,qing'bai'kou'qun
青白口系,qing'bai'kou'xi
倾伏,qing'fu
倾伏角,qing'fu'jiao
青河石,qing'he'shi
倾滑分量,qing'hua'fen'liang
倾角,qing'jiao
青金石,qing'jin'shi
青铝闪石,qing'lv'shan'shi
青磐岩化,qing'pan'yan'hua
青山口组,qing'shan'kou'zu
倾向,qing'xiang
轻质油,qing'zhi'you
穹窿,qiong'long
筇竹寺阶,qiong'zhu'si'jie
筇竹寺期,qiong'zhu'si'qi
筇竹寺组,qiong'zhu'si'zu
球度,qiu'du
球粒,qiu'li
球粒陨石,qiu'li'yun'shi
丘陵,qiu'ling
球土,qiu'tu
丘状层理,qiu'zhuang'ceng'li
球状构造,qiu'zhuang'gou'zao
曲流河,qu'liu'he
去气作用,qu'qi'zuo'yong
去石膏化,qu'shi'gao'hua
区域背景,qu'yu'bei'jing
区域环境,qu'yu'huan'jing
全对称性,quan'dui'chen'xing
全晶质,quan'jing'zhi
全面体,quan'mian'ti
全面象,quan'mian'xiang
全球环境,quan'qiu'huan'jing
泉头组,quan'tou'zu
全新世,quan'xin'shi
全新统,quan'xin'tong
全型,quan'xing
全形,quan'xing
全形对称,quan'xing'dui'chen
群孔抽水,qun'kong'chou'shui
热储,re'chu
热储工程,re'chu'gong'cheng
热导率,re'dao'lv
热点,re'dian
热电性,re'dian'xing
热害,re'hai
热河群,re'he'qun
热流体,re'liu'ti
热流柱,re'liu'zhu
热卤水库,re'lu'shui'ku
热泉矿床,re'quan'kuang'chuang
热水区,re'shui'qu
热污染,re'wu'ran
热液矿床,re'ye'kuang'chuang
热液蚀变,re'ye'shi'bian
热液通道,re'ye'tong'dao
热应力,re'ying'li
热重分析,re'zhong'fen'xi
人工地震,ren'gong'di'zhen
人为排放,ren'wei'pai'fang
韧性变形,ren'xing'bian'xing
人造矿物,ren'zao'kuang'wu
日光榴石,ri'guang'liu'shi
日喀则群,ri'ka'ze'qun
熔长石,rong'chang'shi
溶洞充填,rong'dong'chong'tian
融冻作用,rong'dong'zuo'yong
溶解,rong'jie
溶解气,rong'jie'qi
熔壳,rong'ke
容矿岩,rong'kuang'yan
熔离矿床,rong'li'kuang'chuang
熔融曲线,rong'rong'qu'xian
容水度,rong'shui'du
熔岩湖,rong'yan'hu
熔岩流,rong'yan'liu
熔岩隧道,rong'yan'sui'dao
容重,rong'zhong
蠕变,ru'bian
蠕虫结构,ru'chong'jie'gou
蠕绿泥石,ru'lv'ni'shi
软化系数,ruan'hua'xi'shu
软流圈,ruan'liu'quan
软锰矿,ruan'meng'kuang
软水,ruan'shui
软玉,ruan'yu
瑞利分馏,rui'li'fen'liu
瑞替阶,rui'ti'jie
瑞替期,rui'ti'qi
弱透水层,ruo'tou'shui'ceng
萨布哈相,sa'bu'ha'xiang
塞卜哈相,sai'bu'ha'xiang
塞农阶,sai'nong'jie
塞农期,sai'nong'qi
塞诺曼阶,sai'nuo'man'jie
塞诺曼期,sai'nuo'man'qi
三叠纪,san'die'ji
三叠系,san'die'xi
三方晶系,san'fang'jing'xi
三方双锥,san'fang'shuang'zhui
三角带,san'jiao'dai
三角洲,san'jiao'zhou
三角洲相,san'jiao'zhou'xiang
三联点,san'lian'dian
散落物,san'luo'wu
三门组,san'men'zu
三水铝石,san'shui'lv'shi
三维流,san'wei'liu
三斜晶系,san'xie'jing'xi
桑顿阶,sang'dun'jie
桑顿期,sang'dun'qi
色散,se'san
色性,se'xing
沙坝岛,sha'ba'dao
沙海组,sha'hai'zu
沙河街组,sha'he'jie'zu
砂矿床,sha'kuang'chuang
纱帽组,sha'mao'zu
沙漠相,sha'mo'xiang
沙丘相,sha'qiu'xiang
砂屑灰岩,sha'xie'hui'yan
砂屑岩,sha'xie'yan
砂岩,sha'yan
砂质粘土,sha'zhi'nian'tu
筛分析,shai'fen'xi
山崩,shan'beng
闪长岩,shan'chang'yan
山间盆地,shan'jian'pen'di
山链,shan'lian
山麓冰川,shan'lu'bing'chuan
山麓相,shan'lu'xiang
山脉,shan'mai
闪石,shan'shi
山旺组,shan'wang'zu
山系,shan'xi
山西组,shan'xi'zu
闪斜煌岩,shan'xie'huang'yan
闪锌矿,shan'xin'kuang
闪正煌岩,shan'zheng'huang'yan
上层滞水,shang'ceng'zhi'shui
上冲断层,shang'chong'duan'ceng
上盘,shang'pan
上升泉,shang'sheng'quan
上司组,shang'si'zu
上溪群,shang'xi'qun
上斜坡,shang'xie'po
上新世,shang'xin'shi
上新统,shang'xin'tong
烧绿石,shao'lv'shi
蛇绿岩套,she'lv'yan'tao
佘田桥阶,she'tian'qiao'jie
佘田桥期,she'tian'qiao'qi
佘田桥组,she'tian'qiao'zu
蛇纹石,she'wen'shi
蛇纹石化,she'wen'shi'hua
蛇纹岩,she'wen'yan
射线衍射,she'xian'yan'she
深层水,shen'ceng'shui
深成岩,shen'cheng'yan
深大断裂,shen'da'duan'lie
深度带,shen'du'dai
深断裂,shen'duan'lie
深海相,shen'hai'xiang
深基础,shen'ji'chu
渗流水,shen'liu'shui
渗漏晕,shen'lou'yun
渗滤,shen'lv
深埋,shen'mai
深熔作用,shen'rong'zuo'yong
渗水井,shen'shui'jing
砷酸盐,shen'suan'yan
砷锑矿,shen'ti'kuang
渗透回流,shen'tou'hui'liu
渗透率,shen'tou'lv
渗透溶液,shen'tou'rong'ye
渗透系数,shen'tou'xi'shu
渗透性,shen'tou'xing
砷锌矿,shen'xin'kuang
伸展构造,shen'zhan'gou'zao
肾状构造,shen'zhuang'gou'zao
生产,sheng'chan
生命元素,sheng'ming'yuan'su
生态平衡,sheng'tai'ping'heng
生态系,sheng'tai'xi
生物层,sheng'wu'ceng
生物带,sheng'wu'dai
生物富集,sheng'wu'fu'ji
生物降解,sheng'wu'jiang'jie
生物礁,sheng'wu'jiao
生物净化,sheng'wu'jing'hua
生物累积,sheng'wu'lei'ji
生物丘,sheng'wu'qiu
生物圈,sheng'wu'quan
生物群,sheng'wu'qun
生物相,sheng'wu'xiang
生物钻孔,sheng'wu'zuan'kong
生油门限,sheng'you'men'xian
生油岩,sheng'you'yan
生源物,sheng'yuan'wu
生长断层,sheng'zhang'duan'ceng
绳状熔岩,sheng'zhuang'rong'yan
石材,shi'cai
时带,shi'dai
示底构造,shi'di'gou'zao
试点测量,shi'dian'ce'liang
石膏,shi'gao
石膏化,shi'gao'hua
石膏矿床,shi'gao'kuang'chuang
石膏帽,shi'gao'mao
石膏试板,shi'gao'shi'ban
石膏岩,shi'gao'yan
石化,shi'hua
石灰岩,shi'hui'yan
石口阶,shi'kou'jie
石口期,shi'kou'qi
石口组,shi'kou'zu
石蜡,shi'la
石榴子石,shi'liu'zi'shi
石碌群,shi'lu'qun
施密特网,shi'mi'te'wang
石棉矿床,shi'mian'kuang'chuang
石墨,shi'mo
石墨矿床,shi'mo'kuang'chuang
石牛栏阶,shi'niu'lan'jie
石牛栏期,shi'niu'lan'qi
石牛栏组,shi'niu'lan'zu
石泡构造,shi'pao'gou'zao
湿气,shi'qi
石千峰组,shi'qian'feng'zu
视倾角,shi'qing'jiao
释水系数,shi'shui'xi'shu
石炭纪,shi'tan'ji
石炭系,shi'tan'xi
石铁陨石,shi'tie'yun'shi
蚀象,shi'xiang
石香肠,shi'xiang'chang
始新世,shi'xin'shi
始新统,shi'xin'tong
石盐,shi'yan
石盐矿床,shi'yan'kuang'chuang
石盐岩,shi'yan'yan
铈异常,shi'yi'chang
石英,shi'ying
石英斑岩,shi'ying'ban'yan
石英砂岩,shi'ying'sha'yan
石英楔,shi'ying'xie
石英岩,shi'ying'yan
石油产量,shi'you'chan'liang
石油产状,shi'you'chan'zhuang
石油聚集,shi'you'ju'ji
石陨石,shi'yun'shi
湿蒸汽田,shi'zheng'qi'tian
石撞,shi'zhuang
十字石,shi'zi'shi
寿昌组,shou'chang'zu
瘦煤,shou'mei
收缩说,shou'suo'shuo
疏勒河组,shu'le'he'zu
树脂体,shu'zhi'ti
梳状构造,shu'zhuang'gou'zao
刷模,shua'mo
刷铸型,shua'zhu'xing
双变质带,shuang'bian'zhi'dai
双重构造,shuang'chong'gou'zao
双反射,shuang'fan'she
双晶,shuang'jing
双晶面,shuang'jing'mian
双晶轴,shuang'jing'zhou
双六面体,shuang'liu'mian'ti
双折射,shuang'zhe'she
双轴晶体,shuang'zhou'jing'ti
双锥,shuang'zhui
水化,shui'hua
水化学,shui'hua'xue
水化学场,shui'hua'xue'chang
水解,shui'jie
水均衡,shui'jun'heng
水力联系,shui'li'lian'xi
水力梯度,shui'li'ti'du
水量平衡,shui'liang'ping'heng
水镁石,shui'mei'shi
水泥原料,shui'ni'yuan'liao
水平层理,shui'ping'ceng'li
水平断距,shui'ping'duan'ju
水平分带,shui'ping'fen'dai
水平运动,shui'ping'yun'dong
水汽比,shui'qi'bi
水圈,shui'quan
水热爆炸,shui're'bao'zha
水热反应,shui're'fan'ying
水热活动,shui're'huo'dong
水热矿床,shui're'kuang'chuang
水热流体,shui're'liu'ti
水热喷发,shui're'pen'fa
水热蚀变,shui're'shi'bian
水热通道,shui're'tong'dao
水热系统,shui're'xi'tong
水碳硼石,shui'tan'peng'shi
水体系,shui'ti'xi
水头,shui'tou
水土病,shui'tu'bing
水位,shui'wei
水位降深,shui'wei'jiang'shen
水系异常,shui'xi'yi'chang
水下滑移,shui'xia'hua'yi
水型矿床,shui'xing'kuang'chuang
水星叶石,shui'xing'ye'shi
水循环,shui'xun'huan
水岩作用,shui'yan'zuo'yong
水样,shui'yang
水俣病,shui'yu'bing
水跃值,shui'yue'zhi
水云母化,shui'yun'mu'hua
水质标准,shui'zhi'biao'zhun
水质分析,shui'zhi'fen'xi
水质评价,shui'zhi'ping'jia
顺磁性,shun'ci'xing
顺向分带,shun'xiang'fen'dai
四堡群,si'bao'qun
似长石,si'chang'shi
斯蒂芬阶,si'di'fen'jie
斯蒂芬期,si'di'fen'qi
四方晶系,si'fang'jing'xi
四方台组,si'fang'tai'zu
四方锥,si'fang'zhui
丝光沸石,si'guang'fei'shi
似辉石,si'hui'shi
死火山,si'huo'shan
锶计时,si'ji'shi
丝绢光泽,si'juan'guang'ze
撕裂断层,si'lie'duan'ceng
四六面体,si'liu'mian'ti
四面体,si'mian'ti
四排阶,si'pai'jie
四排期,si'pai'qi
丝炭,si'tan
斯特隆阶,si'te'long'jie
斯特隆期,si'te'long'qi
丝质体,si'zhi'ti
松散结构,song'san'jie'gou
松脂岩,song'zhi'yan
苏长岩,su'chang'yan
苏打湖,su'da'hu
苏斯效应,su'si'xiao'ying
塑限,su'xian
塑性变形,su'xing'bian'xing
酸性白土,suan'xing'bai'tu
酸性环境,suan'xing'huan'jing
酸性泉,suan'xing'quan
酸性岩,suan'xing'yan
酸雨,suan'yu
随机采样,sui'ji'cai'yang
碎裂结构,sui'lie'jie'gou
碎裂岩,sui'lie'yan
碎裂作用,sui'lie'zuo'yong
燧石,sui'shi
碎屑,sui'xie
碎屑结构,sui'xie'jie'gou
碎屑岩,sui'xie'yan
碎屑岩墙,sui'xie'yan'qiang
索尔瓦阶,suo'er'wa'jie
索尔瓦期,suo'er'wa'qi
索伦石,suo'lun'shi
塌岸,ta'an
塔内特阶,ta'nei'te'jie
塔内特期,ta'nei'te'qi
他型,ta'xing
它形粒状,ta'xing'li'zhuang
台背斜,tai'bei'xie
台地边缘,tai'di'bian'yuan
太古宇,tai'gu'yu
太古宙,tai'gu'zhou
泰山岩群,tai'shan'yan'qun
钛铁矿,tai'tie'kuang
台向斜,tai'xiang'xie
钛型矿化,tai'xing'kuang'hua
太原组,tai'yuan'zu
探井,tan'jing
碳酸水,tan'suan'shui
碳酸岩,tan'suan'yan
碳酸盐,tan'suan'yan
碳酸盐岩,tan'suan'yan'yan
探途元素,tan'tu'yuan'su
碳循环,tan'xun'huan
碳质岩,tan'zhi'yan
碳质页岩,tan'zhi'ye'yan
汤耙沟组,tang'ba'gou'zu
塘丁组,tang'ding'zu
陶瓷原料,tao'ci'yuan'liao
陶粒原料,tao'li'yuan'liao
特提斯,te'ti'si
腾冲铀矿,teng'chong'you'kuang
体积系数,ti'ji'xi'shu
提塘阶,ti'tang'jie
提塘期,ti'tang'qi
体心格子,ti'xin'ge'zi
梯状脉,ti'zhuang'mai
天河石,tian'he'shi
填积,tian'ji
天蓝石,tian'lan'shi
天青石,tian'qing'shi
天然堤,tian'ran'di
天然碱,tian'ran'jian
天然焦,tian'ran'jiao
天然气,tian'ran'qi
天然气液,tian'ran'qi'ye
天体化学,tian'ti'hua'xue
条痕,tiao'hen
条纹长石,tiao'wen'chang'shi
条纹结构,tiao'wen'jie'gou
铁白云石,tie'bai'yun'shi
铁磁性,tie'ci'xing
铁橄榄石,tie'gan'lan'shi
铁锂云母,tie'li'yun'mu
铁岭组,tie'ling'zu
铁铝榴石,tie'lv'liu'shi
铁帽,tie'mao
铁镁矿物,tie'mei'kuang'wu
铁镁指数,tie'mei'zhi'shu
铁闪石,tie'shan'shi
铁纹石,tie'wen'shi
铁型矿化,tie'xing'kuang'hua
铁英岩,tie'ying'yan
铁陨石,tie'yun'shi
铁质岩,tie'zhi'yan
烃源岩,ting'yuan'yan
桐柏矿,tong'bai'kuang
铜川组,tong'chuan'zu
同化作用,tong'hua'zuo'yong
铜蓝,tong'lan
同生变形,tong'sheng'bian'xing
同生矿床,tong'sheng'kuang'chuang
同生异常,tong'sheng'yi'chang
同生作用,tong'sheng'zuo'yong
同时性,tong'shi'xing
痛痛病,tong'tong'bing
同心褶皱,tong'xin'zhe'zhou
同型,tong'xing
铜铀云母,tong'you'yun'mu
同造山期,tong'zao'shan'qi
同质多象,tong'zhi'duo'xiang
同质二象,tong'zhi'er'xiang
同质三象,tong'zhi'san'xiang
筒状褶皱,tong'zhuang'zhe'zhou
透长石,tou'chang'shi
透长石相,tou'chang'shi'xiang
透辉石,tou'hui'shi
透明,tou'ming
透入性,tou'ru'xing
透闪石,tou'shan'shi
透水层,tou'shui'ceng
透水性,tou'shui'xing
图阿尔阶,tu'a'er'jie
图阿尔期,tu'a'er'qi
土城子组,tu'cheng'zi'zu
土骨架,tu'gu'jia
土光泽,tu'guang'ze
图解,tu'jie
土力学,tu'li'xue
土伦阶,tu'lun'jie
土伦期,tu'lun'qi
土壤胶体,tu'rang'jiao'ti
土壤水,tu'rang'shui
土壤异常,tu'rang'yi'chang
突水,tu'shui
钍铀比,tu'you'bi
土质改良,tu'zhi'gai'liang
团块,tuan'kuai
团粒,tuan'li
团山子组,tuan'shan'zi'zu
退覆,tui'fu
推覆体,tui'fu'ti
蜕晶,tui'jing
褪色作用,tui'shai'zuo'yong
推移,tui'yi
脱玻化,tuo'bo'hua
托莫特阶,tuo'mo'te'jie
托莫特期,tuo'mo'te'qi
脱水,tuo'shui
脱水实验,tuo'shui'shi'yan
椭圆偏振,tuo'yuan'pian'zhen
瓦克灰岩,wa'ke'hui'yan
洼状层理,wa'zhuang'ceng'li
外滨,wai'bin
歪长石,wai'chang'shi
外动力,wai'dong'li
外核,wai'he
外来岩块,wai'lai'yan'kuai
外来岩体,wai'lai'yan'ti
外生作用,wai'sheng'zuo'yong
歪斜褶皱,wai'xie'zhe'zhou
外营力,wai'ying'li
弯滑褶皱,wan'hua'zhe'zhou
顽辉石,wan'hui'shi
顽火辉石,wan'huo'hui'shi
弯流褶皱,wan'liu'zhe'zhou
弯曲褶皱,wan'qu'zhe'zhou
烷烃馏分,wan'ting'liu'fen
完整井,wan'zheng'jing
网格构造,wang'ge'gou'zao
网络,wang'luo
王氏群,wang'shi'qun
微暗煤,wei'an'mei
微板块,wei'ban'kuai
位错,wei'cuo
位错壁,wei'cuo'bi
位错攀移,wei'cuo'pan'yi
纬度效应,wei'du'xiao'ying
微惰煤,wei'duo'mei
微迹元素,wei'ji'yuan'su
微晶,wei'jing
微镜惰煤,wei'jing'duo'mei
微晶灰岩,wei'jing'hui'yan
微镜煤,wei'jing'mei
伟晶岩,wei'jing'yan
微壳煤,wei'ke'mei
微粒体,wei'li'ti
微亮煤,wei'liang'mei
帷幕灌浆,wei'mu'guan'jiang
微三合煤,wei'san'he'mei
围山矿,wei'shan'kuang
维氏硬度,wei'shi'ying'du
微稳定煤,wei'wen'ding'mei
维宪阶,wei'xian'jie
维宪期,wei'xian'qi
微斜长石,wei'xie'chang'shi
围岩,wei'yan
围岩蚀变,wei'yan'shi'bian
纹层,wen'ceng
稳定流,wen'ding'liu
稳定系数,wen'ding'xi'shu
稳定组,wen'ding'zu
温度测井,wen'du'ce'jing
温度梯度,wen'du'ti'du
纹理,wen'li
紊流,wen'liu
文洛克世,wen'luo'ke'shi
文洛克统,wen'luo'ke'tong
纹泥,wen'ni
温泉,wen'quan
文石,wen'shi
温室效应,wen'shi'xiao'ying
文象斑岩,wen'xiang'ban'yan
文象结构,wen'xiang'jie'gou
卧马组,wo'ma'zu
乌尔夫网,wu'er'fu'wang
五峰阶,wu'feng'jie
五峰期,wu'feng'qi
五峰组,wu'feng'zu
无根背斜,wu'gen'bei'xie
乌光泽,wu'guang'ze
无机起源,wu'ji'qi'yuan
吴家坪阶,wu'jia'ping'jie
吴家坪期,wu'jia'ping'qi
吴家坪组,wu'jia'ping'zu
乌来群,wu'lai'qun
乌龙组,wu'long'zu
雾迷山组,wu'mi'shan'zu
污染,wu'ran
污染剂量,wu'ran'ji'liang
污染类型,wu'ran'lei'xing
污染水,wu'ran'shui
污染源,wu'ran'yuan
污染指数,wu'ran'zhi'shu
吴氏网,wu'shi'wang
污水,wu'shui
无水石膏,wu'shui'shi'gao
钨酸盐,wu'suan'yan
五台阶段,wu'tai'jie'duan
五台期,wu'tai'qi
五台群,wu'tai'qun
五通组,wu'tong'zu
无序,wu'xu
无烟煤,wu'yan'mei
物质流,wu'zhi'liu
细碧岩,xi'bi'yan
细层,xi'ceng
喜峰矿,xi'feng'kuang
吸附铀,xi'fu'you
吸附作用,xi'fu'zuo'yong
细沟,xi'gou
稀碱金属,xi'jian'jin'shu
细晶结构,xi'jing'jie'gou
细晶石,xi'jing'shi
细晶岩,xi'jing'yan
细菌作用,xi'jun'zuo'yong
夕卡岩,xi'ka'yan
西康群,xi'kang'qun
锡矿山阶,xi'kuang'shan'jie
锡矿山期,xi'kuang'shan'qi
锡矿山组,xi'kuang'shan'zu
细砾,xi'li
西盟石,xi'meng'shi
锡石,xi'shi
稀释剂,xi'shi'ji
吸收,xi'shou
吸收指数,xi'shou'zhi'shu
锡铁山石,xi'tie'shan'shi
稀土元素,xi'tu'yuan'su
夕线石,xi'xian'shi
稀有气体,xi'you'qi'ti
稀有元素,xi'you'yuan'su
西域组,xi'yu'zu
膝折,xi'zhe
膝折带,xi'zhe'dai
吸着水,xi'zhe'shui
膝折褶皱,xi'zhe'zhe'zhou
席状矿体,xi'zhuang'kuang'ti
下冲断层,xia'chong'duan'ceng
下降泉,xia'jiang'quan
下马岭组,xia'ma'ling'zu
下盘,xia'pan
下切,xia'qie
霞石,xia'shi
霞石岩,xia'shi'yan
夏特阶,xia'te'jie
夏特期,xia'te'qi
下斜坡,xia'xie'po
霞斜岩,xia'xie'yan
狭义,xia'yi
纤钡锂石,xian'bei'li'shi
先成河,xian'cheng'he
线金属量,xian'jin'shu'liang
线理,xian'li
陷落地震,xian'luo'di'zhen
咸泉,xian'quan
纤蛇纹石,xian'she'wen'shi
显生宙,xian'sheng'zhou
霰石,xian'shi
咸水,xian'shui
显微构造,xian'wei'gou'zao
显微组分,xian'wei'zu'fen
显微组构,xian'wei'zu'gou
线性构造,xian'xing'gou'zao
嫌氧过程,xian'yang'guo'cheng
线状构造,xian'zhuang'gou'zao
线状行迹,xian'zhuang'xing'ji
相对丰度,xiang'dui'feng'du
香花石,xiang'hua'shi
湘江铀矿,xiang'jiang'you'kuang
镶嵌结构,xiang'qian'jie'gou
相容元素,xiang'rong'yuan'su
响水洞组,xiang'shui'dong'zu
相似褶皱,xiang'si'zhe'zhou
香溪组,xiang'xi'zu
向形,xiang'xing
向形背斜,xiang'xing'bei'xie
响岩,xiang'yan
响岩结构,xiang'yan'jie'gou
消光,xiao'guang
消光方向,xiao'guang'fang'xiang
消光角,xiao'guang'jiao
消光位,xiao'guang'wei
硝化作用,xiao'hua'zuo'yong
小间断,xiao'jian'duan
小龙潭组,xiao'long'tan'zu
硝酸盐,xiao'suan'yan
斜长,xie'chang
斜长石,xie'chang'shi
斜长岩,xie'chang'yan
斜发沸石,xie'fa'fei'shi
斜方辉石,xie'fang'hui'shi
斜方晶系,xie'fang'jing'xi
泻湖,xie'hu
谢勒法,xie'le'fa
泻利盐,xie'li'yan
斜列,xie'lie
斜绿泥石,xie'lv'ni'shi
榍石,xie'shi
泄水构造,xie'shui'gou'zao
谐调褶皱,xie'tiao'zhe'zhou
斜卧褶皱,xie'wo'zhe'zhou
斜向剪切,xie'xiang'jian'qie
斜消光,xie'xiao'guang
楔形,xie'xing
斜黝帘石,xie'you'lian'shi
新厂阶,xin'chang'jie
新厂期,xin'chang'qi
新厂组,xin'chang'zu
锌赤铁矾,xin'chi'tie'fan
新第三纪,xin'di'san'ji
新第三系,xin'di'san'xi
新构造学,xin'gou'zao'xue
新近纪,xin'jin'ji
新近系,xin'jin'xi
新生变形,xin'sheng'bian'xing
新生代,xin'sheng'dai
新生界,xin'sheng'jie
锌叶绿矾,xin'ye'lv'fan
新元古代,xin'yuan'gu'dai
新元古界,xin'yuan'gu'jie
兴安石,xing'an'shi
形成年龄,xing'cheng'nian'ling
型俯冲,xing'fu'chong
型构造,xing'gou'zao
形谷,xing'gu
兴隆沟组,xing'long'gou'zu
杏仁构造,xing'ren'gou'zao
行星际尘,xing'xing'ji'chen
雄黄,xiong'huang
休眠断层,xiu'mian'duan'ceng
休眠火山,xiu'mian'huo'shan
秀山阶,xiu'shan'jie
秀山期,xiu'shan'qi
秀山组,xiu'shan'zu
须家河组,xu'jia'he'zu
需水量,xu'shui'liang
徐庄阶,xu'zhuang'jie
徐庄期,xu'zhuang'qi
徐庄组,xu'zhuang'zu
悬浮液,xuan'fu'ye
旋回层,xuan'hui'ceng
旋卷构造,xuan'juan'gou'zao
玄武,xuan'wu
玄武岩,xuan'wu'yan
悬移,xuan'yi
旋转法,xuan'zhuan'fa
旋转针台,xuan'zhuan'zhen'tai
雪崩,xue'beng
循序提取,xun'xu'ti'qu
压扁层理,ya'bian'ceng'li
压扁褶皱,ya'bian'zhe'zhou
压电性,ya'dian'xing
氩计时,ya'ji'shi
压剪,ya'jian
亚晶粒,ya'jing'li
压刻痕,ya'ke'hen
压力校正,ya'li'jiao'zheng
压力梯度,ya'li'ti'du
压力影,ya'li'ying
压密,ya'mi
压密变形,ya'mi'bian'xing
压密土,ya'mi'tu
压密系数,ya'mi'xi'shu
压溶,ya'rong
压实,ya'shi
压水试验,ya'shui'shi'yan
压缩,ya'suo
压缩层,ya'suo'ceng
压缩带,ya'suo'dai
压缩曲线,ya'suo'qu'xian
压缩试验,ya'suo'shi'yan
压缩性,ya'suo'xing
压缩应力,ya'suo'ying'li
压缩指数,ya'suo'zhi'shu
岩崩,yan'beng
延长,yan'chang
延长组,yan'chang'zu
岩床,yan'chuang
盐度,yan'du
岩盖,yan'gai
