班格尔马辛席,ban'ge'er'ma'xin'xi
密笼,mi'long
咪妈烂臭,mi'ma'lan'chou
眯埋眼,mi'mai'yan
密密麻麻,mi'mi'ma'ma
迷你,mi'ni
米铺,mi'pu
密实,mi'shi
米水,mi'shui
蜜丝,mi'si
密丝,mi'si
蜜糖,mi'tang
米通,mi'tong
咪头,mi'tou
咪仙,mi'xian
密斟,mi'zhen
咪制,mi'zhi
密质质,mi'zhi'zhi
咪住,mi'zhu
咪自,mi'zi
咪走,mi'zou
面白白,mian'bai'bai
面豉,mian'chi
面红红,mian'hong'hong
面红面绿,mian'hong'mian'lv
面黄黄,mian'huang'huang
面巾,mian'jin
棉紧身,mian'jin'shen
面口,mian'kou
面裤,mian'ku
棉褛,mian'lv
面懵,mian'meng
面懵懵,mian'meng'meng
面懵心精,mian'meng'xin'jing
棉衲,mian'na
面盆,mian'pen
面皮,mian'pi
面青青,mian'qing'qing
面衫,mian'shan
面善,mian'shan
棉胎,mian'tai
面无表情,mian'wu'biao'qing
绵羊,mian'yang
免至,mian'zhi
免治,mian'zhi
面珠墩,mian'zhu'dun
面左左,mian'zuo'zuo
渺嘴,miao'zui
咩啊,mie'a
孭带,mie'dai
乜东东,mie'dong'dong
乜都假,mie'dou'jia
孭飞,mie'fei
孭镬,mie'huo
乜乜,mie'mie
乜乜物物,mie'mie'wu'wu
乜名,mie'ming
乜事,mie'shi
咩事,mie'shi
孭书包,mie'shu'bao
乜说话,mie'shuo'hua
乜嘢,mie'ye
咩嘢,mie'ye
乜嘢话,mie'ye'hua
乜滞,mie'zhi
孭仔,mie'zi
民田,min'tian
明呃,ming'e
明滚,ming'gun
明火,ming'huo
明渠,ming'qu
命水,ming'shui
明虾,ming'xia
冥纸,ming'zhi
墨笔,mo'bi
摩打,mo'da
摩登,mo'deng
摩登瓜子,mo'deng'gua'zi
墨剧,mo'ju
摸埋,mo'mai
摸盲盲,mo'mang'mang
摸门钉,mo'men'ding
摩纳哥,mo'na'ge
墨七,mo'qi
墨水笔,mo'shui'bi
抹台布,mo'tai'bu
模特儿,mo'te'er
嚤佗,mo'tuo
摩托,mo'tuo
摩晞,mo'xi
墨砚,mo'yan
墨鱼,mo'yu
踎墩,mou'dun
木独,mu'du
木糠,mu'kang
木口木面,mu'kou'mu'mian
木虱,mu'shi
木头公仔,mu'tou'gong'zai
木嘴,mu'zui
南无,na'mo
南无佬,na'mo'lao
拿拿声,na'na'sheng
乸型,na'xing
耐不耐,nai'bu'nai
孻瓜,nai'gua
孻屘,nai'man
奶奶,nai'nai
孻女,nai'nv
奶式,nai'shi
奈斯,nai'si
耐唔中,nai'wu'zhong
奶昔,nai'xi
耐中,nai'zhong
孻仔,nai'zi
难抵,nan'di
难顶,nan'ding
南风窗,nan'feng'chuang
南华李,nan'hua'li
南路,nan'lu
南乳,nan'ru
南乳花生,nan'ru'hua'sheng
南乳肉,nan'ru'rou
蝻蛇,nan'she
南特,nan'te
南洋,nan'yang
南洋伯,nan'yang'bo
男仔,nan'zai
男仔头,nan'zai'tou
南枣,nan'zao
闹哄哄,nao'hong'hong
闹交,nao'jiao
闹热,nao're
脑囟,nao'xin
呢处,ne'chu
呢单嘢,ne'dan'ye
呢啲,ne'di
呢啲事,ne'di'shi
呢度,ne'du
呢杠嘢,ne'gang'ye
呢嗱,ne'na
呢排,ne'pai
呢条友,ne'tiao'you
呢位,ne'wei
内伤,nei'shang
嫩水,nen'shui
泥湴,ni'ban
泥尘,ni'chen
你吹咩,ni'chui'mie
你哋,ni'di
你啲人,ni'di'ren
你嘅,ni'ge
你个死人头,ni'ge'si'ren'tou
你个头,ni'ge'tou
你好嘢,ni'hao'ye
你话事,ni'hua'shi
你就想,ni'jiu'xiang
你老味,ni'lao'wei
你老尾,ni'lao'wei
尼龙,ni'long
匿埋,ni'mai
你咪理,ni'mi'li
泥普萨过河自身难保,ni'pu'sa'guo'he'zi'shen'nan'bao
泥肉,ni'rou
你谂你,ni'shen'ni
泥水佬,ni'shui'lao
你喺,ni'xi
你系得嘅,ni'xi'de'ge
泥砖,ni'zhuan
拈刺啖拈,nian'ci'dan'nian
拈刺噉拈,nian'ci'dan'nian
捻化,nian'hua
念口黄,nian'kou'huang
年轻人,nian'qing'ren
蔫韧,nian'ren
年生,nian'sheng
捻手菜,nian'shou'cai
年头,nian'tou
年晚煎堆人有我有,nian'wan'jian'dui'ren'you'wo'you
年尾,nian'wei
念吓先,nian'xia'xian
捻住,nian'zhu
嬲爆爆,niao'bao'bao
袅高,niao'gao
尿急,niao'ji
啮牙,nie'ya
拧头,ning'tou
拧住,ning'zhu
拧转,ning'zhuan
拧转头,ning'zhuan'tou
牛白腩,niu'bai'nan
牛百叶,niu'bai'ye
牛草肚,niu'cao'du
牛肠,niu'chang
牛轭,niu'e
纽耳,niu'er
牛臯,niu'gao
牛皋,niu'gao
牛高马大,niu'gao'ma'da
纽公,niu'gong
牛牯,niu'gu
牛河,niu'he
扭计,niu'ji
扭计师爷,niu'ji'shi'ye
扭计祖宗,niu'ji'zu'zong
牛噍牡丹,niu'jiao'mu'dan
牛精,niu'jing
牛栏,niu'lan
扭六壬,niu'liu'ren
纽门,niu'men
纽乸,niu'na
牛腩,niu'nan
扭拧,niu'ning
牛扒,niu'pa
牛皮,niu'pi
牛皮灯笼点极唔明,niu'pi'deng'long'dian'ji'wu'ming
牛乳,niu'ru
牛乳饼,niu'ru'bing
牛头裤,niu'tou'ku
牛王,niu'wang
牛王头,niu'wang'tou
扭纹,niu'wen
扭纹柴,niu'wen'chai
牛唔饮水唔揿得牛头低,niu'wu'yin'shui'wu'qin'de'niu'tou'di
牛油,niu'you
牛杂,niu'za
牛仔,niu'zai
牛仔裤,niu'zai'ku
牛辗,niu'zhan
燶饭,nong'fan
暖粒粒,nuan'li'li
暖水袋,nuan'shui'dai
暖水壶,nuan'shui'hu
挼干净件衫,nuo'gan'jing'jian'shan
糯米糍,nuo'mi'ci
糯米鷄,nuo'mi'ji
糯米鸡,nuo'mi'ji
女包,nv'bao
女女,nv'nv
女仔,nv'zi
女仔之家,nv'zi'zhi'jia
呕电,ou'dian
沤肥,ou'fei
沤气,ou'qi
欧塞尔,ou'sai'er
欧晒,ou'shai
呕血,ou'xue
沤仔,ou'zi
怕丑,pa'chou
啪拿,pa'na
拍档,pai'dang
拍得过,pai'de'guo
拍得住,pai'de'zhu
派对,pai'dui
拍马屁,pai'ma'pi
拍乸,pai'na
派拿,pai'na
派士,pai'shi
拍手无尘,pai'shou'wu'chen
拍手掌,pai'shou'zhang
派司,pai'si
派司砵,pai'si'bo
拍拖,pai'tuo
拍乌蝇,pai'wu'ying
拍心口,pai'xin'kou
拍硬档,pai'ying'dang
拍纸簿,pai'zhi'bu
盼谷,pan'gu
盘满鉢满,pan'man'bo'man
盘满钵满,pan'man'bo'man
判头盘,pan'tou'pan
番禺蜡烛假细心,pan'yu'la'zhu'jia'xi'xin
泡打粉,pao'da'fen
抛浪头,pao'lang'tou
抛生藕,pao'sheng'ou
抛水,pao'shui
炮仗,pao'zhang
炮仗颈,pao'zhang'jing
炮仗领,pao'zhang'ling
炮制,pao'zhi
配料,pei'liao
陪太子读书,pei'tai'zi'du'shu
赔汤药,pei'tang'yao
碰彩,peng'cai
棚寮,peng'liao
蟛蜞,peng'qi
棚尾拉箱暗中走人,peng'wei'la'xiang'an'zhong'zou'ren
碰啱,peng'yan
啤把,pi'ba
批荡,pi'dang
皮费,pi'fei
皮光肉滑,pi'guang'rou'hua
皮黄骨瘦,pi'huang'gu'shou
皮喼,pi'jie
啤梨,pi'li
啤令,pi'ling
劈炮,pi'pao
皮袍,pi'pao
啤啤仔,pi'pi'zi
皮箧,pi'qie
疋头,pi'tou
披头士,pi'tou'shi
批中,pi'zhong
片糖,pian'tang
嫖妓,piao'ji
撇甩,pie'shuai
撇脱,pie'tuo
拼沉,pin'chen
频伦,pin'lun
频密,pin'mi
频频扑扑,pin'pin'pu'pu
频扑,pin'pu
拼沈,pin'shen
平沽,ping'gu
苹果批,ping'guo'pi
乒铃,ping'ling
乒乓波,ping'pang'bo
乒乓球,ping'pang'qiu
平平滑滑,ping'ping'hua'hua
平平坦坦,ping'ping'tan'tan
迫力子,po'li'zi
婆妈,po'ma
婆乸,po'na
迫纽,po'niu
迫挟,po'xie
蒲吧,pu'ba
菩薘,pu'da
瀑肚,pu'du
扑飞,pu'fei
仆街,pu'jie
扑街,pu'jie
扑亲,pu'qin
蒲桃,pu'tao
菩提子,pu'ti'zi
蒲头,pu'tou
铺头,pu'tou
仆筑路,pu'zhu'lu
仆转,pu'zhuan
起膊,qi'bo
骑膊马,qi'bo'ma
起菜,qi'cai
七彩,qi'cai
汽车大灯,qi'che'da'deng
乞嗤,qi'chi
七除八扣,qi'chu'ba'kou
契弟,qi'di
企定,qi'ding
乞儿,qi'er
起骨,qi'gu
七国咁乱,qi'guo'gan'luan
齐黑,qi'hei
起镬,qi'huo
齐缉缉,qi'ji'ji
起价,qi'jia
契家佬,qi'jia'lao
契家婆契妈,qi'jia'po'qi'ma
气咳,qi'ke
起筷,qi'kuai
七老八十,qi'lao'ba'shi
起嚟,qi'li
企理,qi'li
奇离,qi'li
凄凉,qi'liang
骑咧,qi'lie
麒麟臂,qi'lin'bi
骑楼,qi'lou
骑楼底,qi'lou'di
气罗气喘,qi'luo'qi'chuan
乞米佬食死蟹只只好,qi'mi'lao'shi'si'xie'zhi'zhi'hao
蜞乸,qi'na
契乸,qi'na
骑呢怪,qi'ne'guai
骑牛王马,qi'niu'wang'ma
骑牛揾马,qi'niu'wen'ma
骑牛搵马,qi'niu'wen'ma
齐齐,qi'qi
企起,qi'qi
七七八八,qi'qi'ba'ba
齐葺葺,qi'qi'qi
企起身,qi'qi'shen
七七吓,qi'qi'xia
企人边,qi'ren'bian
乞人憎,qi'ren'zeng
起肉,qi'rou
起上嚟,qi'shang'li
起身,qi'shen
起身嚟,qi'shen'li
乞食,qi'shi
奇士,qi'shi
崎士,qi'shi
起势啖,qi'shi'dan
起势噉,qi'shi'dan
起首,qi'shou
起水,qi'shui
起痰,qi'tan
企堂,qi'tang
起头,qi'tou
齐头,qi'tou
七头咁款,qi'tou'gan'kuan
齐头数,qi'tou'shu
企歪啲,qi'wai'di
起屋,qi'wu
起先起意,qi'xian'qi'yi
起心,qi'xin
七星茶,qi'xing'cha
契爷,qi'ye
盵嘢,qi'ye
起章节附注,qi'zhang'jie'fu'zhu
齐整,qi'zheng
契仔,qi'zi
起租,qi'zu
铅笔刨,qian'bi'bao
前便,qian'bian
前嗰排,qian'ge'pai
悭鷄,qian'ji
悭鸡,qian'ji
悭俭,qian'jian
千拣万拣,qian'jian'wan'jian
悭皮,qian'pi
千祈,qian'qi
掅起,qian'qi
悭钱,qian'qian
韆鞦,qian'qiu
千秋,qian'qiu
前日,qian'ri
前世,qian'shi
悭湿,qian'shi
前世唔修,qian'shi'wu'xiu
潜乌龟,qian'wu'gui
牵虾,qian'xia
扲嘢,qian'ye
钱罂,qian'ying
浅窄,qian'zhai
潜质,qian'zhi
抢镜头,qiang'jing'tou
抢手,qiang'shou
抢眼,qiang'yan
桥凳,qiao'deng
桥趸,qiao'dun
跷脚,qiao'jiao
撬马脚,qiao'ma'jiao
跷妙,qiao'miao
翘起手,qiao'qi'shou
撬墙脚,qiao'qiang'jiao
睄佢几眼,qiao'qu'ji'yan
桥上倒凉茶何苦,qiao'shang'dao'liang'cha'he'ku
繑丝边,qiao'si'bian
敲竹杠,qiao'zhu'gang
切菜,qie'cai
切醋,qie'cu
妾侍,qie'shi
揿沉,qin'chen
揿电掣,qin'dian'che
揿钉,qin'ding
蠄蟧,qin'lao
蠄蟧丝网,qin'lao'si'wang
勤力,qin'li
亲力亲为,qin'li'qin'wei
亲力亲爲,qin'li'qin'wei
禽搣笋,qin'mie'sun
擒骑,qin'qi
擒青,qin'qing
蠄蟝,qin'qu
琴日,qin'ri
揿沈,qin'shen
亲生,qin'sheng
琴晚,qin'wan
琴晚黑琴日,qin'wan'hei'qin'ri
侵早,qin'zao
揿鹧鸪,qin'zhe'gu
揿住头,qin'zhu'tou
青悲悲,qing'bei'bei
青碧碧,qing'bi'bi
清补凉,qing'bu'liang
请茶,qing'cha
轻秤香枧,qing'cheng'xiang'jian
青春痘,qing'chun'dou
青春片,qing'chun'pian
青瓜,qing'gua
倾偈,qing'ji
倾偈仔,qing'ji'zi
亲家老爷,qing'jia'lao'ye
亲家母,qing'jia'mu
亲家奶奶,qing'jia'nai'nai
青椒,qing'jiao
清景,qing'jing
清捞白熠,qing'lao'bai'yi
清捞寡水,qing'lao'gua'shui
青莲色,qing'lian'se
轻寥寥,qing'liao'liao
请枪,qing'qiang
青头仔,qing'tou'zi
请饮,qing'yin
情愿,qing'yuan
青竹蛇,qing'zhu'she
鰽白,qiu'bai
求祈,qiu'qi
求求其其,qiu'qiu'qi'qi
求先,qiu'xian
球证,qiu'zheng
去吖,qu'a
曲尺,qu'chi
去抽,qu'chou
去得,qu'de
佢哋,qu'di
去睇,qu'di
佢嘅,qu'ge
趣怪,qu'guai
佢话,qu'hua
去坏,qu'huai
佢讲,qu'jiang
佢叫,qu'jiao
去啦,qu'la
去拉,qu'la
取录,qu'lu
屈气,qu'qi
曲奇,qu'qi
去去,qu'qu
趣趣地,qu'qu'di
佢佢哋,qu'qu'di
屈蛇,qu'she
去神,qu'shen
屈水,qu'shui
去死,qu'si
去死啦,qu'si'la
去调,qu'tiao
屈头鷄,qu'tou'ji
屈头鸡,qu'tou'ji
去玩,qu'wan
屈尾十,qu'wei'shi
去唔去,qu'wu'qu
佢喺,qu'xi
佢系,qu'xi
去洗,qu'xi
趣致,qu'zhi
屈质,qu'zhi
去做,qu'zuo
去咗,qu'zuo
劝交,quan'jiao
圈声,quan'sheng
缺德鬼,que'de'gui
雀局,que'ju
搉头壳,que'tou'ke
雀仔,que'zi
瘸子,que'zi
群埋,qun'mai
呥呥食,ran'ran'shi
然之后,ran'zhi'hou
热痱,re'fei
热狗,re'gou
热滞,re'zhi
韧黐黐,ren'chi'chi
人哋,ren'di
认低威,ren'di'wei
人工,ren'gong
人客,ren'ke
人老精鬼老灵,ren'lao'jing'gui'lao'ling
认叻,ren'le
人嚟,ren'li
人面,ren'mian
人怕危米怕筛,ren'pa'wei'mi'pa'shai
韧皮,ren'pi
人山人海,ren'shan'ren'hai
人蛇,ren'she
人事,ren'shi
人头涌涌,ren'tou'yong'yong
人细鬼大,ren'xi'gui'da
人心肉做,ren'xin'rou'zuo
人妖,ren'yao
人一世物一世,ren'yi'shi'wu'yi'shi
人渣,ren'zha
认眞,ren'zhen
认真,ren'zhen
认住,ren'zhu
棯仔,ren'zi
日光日白,ri'guang'ri'bai
日头日日,ri'tou'ri'ri
容乜易,rong'mie'yi
茸茸烂烂,rong'rong'lan'lan
肉赤,rou'chi
腬喉,rou'hou
肉紧,rou'jin
腬市,rou'shi
肉丝,rou'si
肉酸,rou'suan
肉痛,rou'tong
入便,ru'bian
入冬生鱼诈死,ru'dong'sheng'yu'zha'si
入伙,ru'huo
入数,ru'shu
入水,ru'shui
入味,ru'wei
入围,ru'wei
入息,ru'xi
乳猪,ru'zhu
软皮蛇,ruan'pi'she
软荏荏,ruan'ren'ren
软熟,ruan'shu
膶肠,run'chang
焫鷄,ruo'ji
焫鸡,ruo'ji
鈒骨,sa'gu
撒路溪钱吸引死人,sa'lu'xi'qian'xi'yin'si'ren
飒气,sa'qi
撒散,sa'san
靸鞋,sa'xie
塞车,sai'che
嘥气,sai'qi
嗮钱,sai'qian
嘥钱,sai'qian
嘥人哋,sai'ren'di
嘥挞,sai'ta
嘥心机捱眼瞓,sai'xin'ji'ai'yan'fen
三扒两拨,san'ba'liang'bo
三板斧,san'ban'fu
散档,san'dang
三分顔色上大红,san'fen'yan'se'shang'da'hong
三分颜色上大红,san'fen'yan'se'shang'da'hong
三幅被,san'fu'bei
三个鼻哥窿多一口气,san'ge'bi'ge'long'duo'yi'kou'qi
三更出世害死人,san'geng'chu'shi'hai'si'ren
散工,san'gong
三姑六婆,san'gu'liu'po
三行仔,san'hang'zi
三花,san'hua
三及第,san'ji'di
三尖八角,san'jian'ba'jiao
三脚凳,san'jiao'deng
三脚櫈,san'jiao'deng
三脚鷄,san'jiao'ji
三脚鸡,san'jiao'ji
三脚猫三九两丁七,san'jiao'mao'san'jiu'liang'ding'qi
三九唔识七,san'jiu'wu'shi'qi
三口六面,san'kou'liu'mian
三两下手势,san'liang'xia'shou'shi
三六,san'liu
三六香肉,san'liu'xiang'rou
散卖,san'mai
三鸟,san'niao
散使,san'shi
散手,san'shou
散收收,san'shou'shou
三文治,san'wen'zhi
三心二意,san'xin'er'yi
散修修,san'xiu'xiu
三元宫土地锡身,san'yuan'gong'tu'di'xi'shen
散纸,san'zhi
三只手,san'zhi'shou
散仔,san'zi
桑拿,sang'na
桑拿浴,sang'na'yu
扫把,sao'ba
臊堪堪骚,sao'kan'kan'sao
骚扰,sao'rao
臊虾,sao'xia
臊虾女,sao'xia'nv
色当,se'dang
色狼,se'lang
閪妹,se'mei
瑟瑟缩缩,se'se'suo'suo
色士风,se'shi'feng
色水,se'shui
色司,se'si
閪仔,se'zi
砂煲,sha'bao
砂煲兄弟,sha'bao'xiong'di
砂煲罂罉,sha'bao'ying'cheng
沙蝉,sha'chan
沙尘,sha'chen
沙尘白霍,sha'chen'bai'huo
沙虫,sha'chong
沙胆,sha'dan
沙葛,sha'ge
傻更,sha'geng
傻庚庚,sha'geng'geng
沙河粉,sha'he'fen
傻乎乎,sha'hu'hu
沙津,sha'jin
沙井,sha'jing
沙冚,sha'kan
煞科,sha'ke
沙梨,sha'li
沙哩弄铳,sha'li'nong'chong
傻里傻气,sha'li'sha'qi
沙律,sha'lv
砂盆,sha'pen
霎气,sha'qi
杀起,sha'qi
傻人,sha'ren
傻傻庚庚,sha'sha'geng'geng
傻傻更更,sha'sha'geng'geng
沙沙滚,sha'sha'gun
沙声,sha'sheng
沙士,sha'shi
沙士坚,sha'shi'jian
杀手,sha'shou
杀摊,sha'tan
沙田,sha'tian
沙田柚,sha'tian'you
沙湾灯笼何苦,sha'wan'deng'long'he'ku
霎眼娇,sha'yan'jiao
沙展,sha'zhan
纱纸,sha'zhi
霎戆霎时,sha'zhuang'sha'shi
傻仔,sha'zi
傻仔水,sha'zi'shui
晒菲林唔见得光,shai'fei'lin'wu'jian'de'guang
筛箕,shai'ji
晒棚,shai'peng
筛筛,shai'shai
筛身,shai'shen
筛身筛势,shai'shen'shai'shi
晒士,shai'shi
山埃,shan'ai
山草药,shan'cao'yao
山草药噏得就噏,shan'cao'yao'xi'de'jiu'xi
姗翠斯,shan'cui'si
山大斩埋亦系柴,shan'da'zhan'mai'yi'xi'chai
衫袋,shan'dai
闪电,shan'dian
山旮旯,shan'ga'la
骟鷄,shan'ji
骟鸡,shan'ji
山鷄,shan'ji
山鸡,shan'ji
衫架,shan'jia
衫脚,shan'jiao
善静,shan'jing
衫裤,shan'ku
衫里,shan'li
闪爧,shan'ling
山竉,shan'long
山竉山罅,shan'long'shan'xia
杉木灵牌做唔得主,shan'mu'ling'pai'zuo'wu'de'zhu
衫纽,shan'niu
山蜞,shan'qi
衫裙,shan'qun
山棯,shan'ren
山棯干,shan'ren'gan
山瑞,shan'rui
衫刷,shan'shua
闪缩,shan'suo
衫袖,shan'xiu
山猪,shan'zhu
上便,shang'bian
上高,shang'gao
上链,shang'lian
上落,shang'luo
上堂,shang'tang
上五寸下五寸,shang'wu'cun'xia'wu'cun
上下,shang'xia
上昼,shang'zhou
绍菜,shao'cai
烧鹅,shao'e
筲箕,shao'ji
烧酒,shao'jiu
烧冷灶,shao'leng'zao
烧冷竈,shao'leng'zao
烧肉,shao'rou
烧乳猪,shao'ru'zhu
少少,shao'shao
潲水,shao'shui
稍为,shao'wei
哨牙潲,shao'ya'shao
摄电,she'dian
蛇客,she'ke
蛇窟,she'ku
蛇喱眼,she'li'yan
摄青鬼,she'qing'gui
摄石,she'shi
赊数,she'shu
摄铁,she'tie
蛇头,she'tou
蛇头鼠脑,she'tou'shu'nao
蛇头鼠眼,she'tou'shu'yan
蛇王,she'wang
蛇仔,she'zi
神吖,shen'a
谂巴,shen'ba
谂巴温,shen'ba'wen
神高神大,shen'gao'shen'da
身光颈靓,shen'guang'jing'liang
神化,shen'hua
谂计,shen'ji
身纪,shen'ji
身家,shen'jia
神经,shen'jing
神啦,shen'la
神楼,shen'lou
身庆,shen'qing
肾人,shen'ren
神神地,shen'shen'di
神神化化,shen'shen'hua'hua
神神经经,shen'shen'jing'jing
身水身汗,shen'shui'shen'han
谂缩数,shen'suo'shu
神台桔阴干,shen'tai'ju'yin'gan
神台猫屎神憎鬼厌,shen'tai'mao'shi'shen'zeng'gui'yan
谂头,shen'tou
神仙肚,shen'xian'du
神仙放屁不同凡响,shen'xian'fang'pi'bu'tong'fan'xiang
神仙鱼,shen'xian'yu
神心,shen'xin
谂眞啲,shen'zhen'di
谂真啲,shen'zhen'di
甚至无,shen'zhi'wu
谂住,shen'zhu
神主牌,shen'zhu'pai
神主牌都会喐,shen'zhu'pai'du'hui'guo
身子,shen'zi
神咗,shen'zuo
生安白造,sheng'an'bai'zao
生保,sheng'bao
生暴,sheng'bao
生埗,sheng'bu
生菜,sheng'cai
生菜包,sheng'cai'bao
生草药噏得就噏,sheng'cao'yao'xi'de'jiu'xi
省城,sheng'cheng
生虫拐杖靠吴住,sheng'chong'guai'zhang'kao'wu'zhu
生虫拐杖靠唔住,sheng'chong'guai'zhang'kao'wu'zhu
生虫拐杖累死人,sheng'chong'guai'zhang'lei'si'ren
生抽,sheng'chou
生螆,sheng'ci
生螆猫入眼,sheng'ci'mao'ru'yan
剩得,sheng'de
生定,sheng'ding
剩番,sheng'fan
生粉,sheng'fen
生勾勾,sheng'gou'gou
胜瓜,sheng'gua
生菓,sheng'guo
生果,sheng'guo
声喉,sheng'hou
生花,sheng'hua
盛惠,sheng'hui
生鷄,sheng'ji
生鸡,sheng'ji
生鷄精生鬼,sheng'ji'jing'sheng'gui
生鸡精生鬼,sheng'ji'jing'sheng'gui
生胶,sheng'jiao
生壳,sheng'ke
生冷,sheng'leng
生冷降,sheng'leng'jiang
生萝卜,sheng'luo'bo
生猛,sheng'meng
声气,sheng'qi
生人唔生胆,sheng'ren'wu'sheng'dan
生沙淋,sheng'sha'lin
生晒,sheng'shai
生水,sheng'shui
生水芋头,sheng'shui'yu'tou
生乌鷄,sheng'wu'ji
生乌鸡,sheng'wu'ji
声线,sheng'xian
生性,sheng'xing
盛行,sheng'xing
生盐,sheng'yan
生意佬,sheng'yi'lao
生意人,sheng'yi'ren
生油,sheng'you
生鱼,sheng'yu
士巴拿,shi'ba'na
蚀本,shi'ben
是必,shi'bi
屎波,shi'bo
食波饼,shi'bo'bing
士鉢裇,shi'bo'xu
士钵裇,shi'bo'xu
事不关己,shi'bu'guan'ji
时不时,shi'bu'shi
屎柴,shi'chai
湿柴,shi'chai
时辰钟,shi'chen'zhong
时辰锺,shi'chen'zhong
屎虫,shi'chong
识穿,shi'chuan
石春,shi'chun
食大餐,shi'da'can
士担,shi'dan
是但,shi'dan
食档,shi'dang
使得,shi'de
士的,shi'de
蚀底,shi'di
士点,shi'dian
屎斗,shi'dou
士多,shi'duo
士多啤梨,shi'duo'pi'li
使费,shi'fei
是非啄,shi'fei'zhuo
十分之,shi'fen'zhi
事干,shi'gan
石狗公,shi'gou'gong
师姑,shi'gu
食谷种食闲口,shi'gu'zhong'shi'xian'kou
事关,shi'guan
饰柜,shi'gui
试过,shi'guo
使横手,shi'heng'shou
时候,shi'hou
视乎,shi'hu
食糊,shi'hu
屎忽窟生疮无眼睇,shi'hu'ku'sheng'chuang'wu'yan'di
屎忽窿,shi'hu'long
十划都未有一撇,shi'hua'dou'wei'you'yi'pie
石灰箩,shi'hui'luo
失魂,shi'hun
失魂鱼,shi'hun'yu
屎计,shi'ji
屎急,shi'ji
石级,shi'ji
事急马行田,shi'ji'ma'hang'tian
世界,shi'jie
世界仔,shi'jie'zi
识精,shi'jing
使颈,shi'jing
实净,shi'jing
失惊无神,shi'jing'wu'shen
屎军师,shi'jun'shi
屎坑,shi'keng
屎坑关刀无张利,shi'keng'guan'dao'wu'zhang'li
屎坑石头又臭又硬,shi'keng'shi'tou'you'chou'you'ying
屎窟,shi'ku
屎窟竉,shi'ku'long
士叻,shi'le
失礼,shi'li
时哩沙啦,shi'li'sha'la
失礼死人,shi'li'si'ren
实力雄厚,shi'li'xiong'hou
食莲子羹,shi'lian'zi'geng
士碌架,shi'lu'jia
使妈,shi'ma
时唛,shi'ma
时髦,shi'mao
食猫面,shi'mao'mian
石米,shi'mi
使乜,shi'mie
使乜讲,shi'mie'jiang
虱乸,shi'na
虱乸春,shi'na'chun
虱乸担枷,shi'na'dan'jia
湿纳纳,shi'na'na
师奶,shi'nai
食脑,shi'nao
时年,shi'nian
湿淰淰,shi'nian'nian
使牛,shi'niu
屎皮,shi'pi
士啤呔,shi'pi'dai
屎片,shi'pian
使婆,shi'po
实情,shi'qing
湿热,shi're
食软饭,shi'ruan'fan
食塞米,shi'sai'mi
十三点,shi'san'dian
食筛,shi'shai
试身,shi'shen
时时,shi'shi
石屎,shi'shi
驶世伯,shi'shi'bo
食屎大,shi'shi'da
食屎屙饭,shi'shi'e'fan
失失慌,shi'shi'huang
失匙夹万,shi'shi'jia'wan
石屎楼,shi'shi'lou
实食冇黐牙,shi'shi'mao'chi'ya
食屎食着豆,shi'shi'shi'zhe'dou
湿湿碎,shi'shi'sui
实食无黐牙,shi'shi'wu'chi'ya
实食无渣嗱,shi'shi'wu'zha'na
世叔,shi'shu
湿水鸡,shi'shui'ji
湿水棉花冇得弹,shi'shui'mian'hua'mao'de'tan
湿水棉花无得弹,shi'shui'mian'hua'wu'de'tan
食水太深,shi'shui'tai'shen
食死猫,shi'si'mao
湿碎,shi'sui
屎塔,shi'ta
士挞胆,shi'ta'dan
屎塔盖,shi'ta'gai
师太,shi'tai
史特拉斯堡,shi'te'la'si'bao
失蹄,shi'ti
莳田,shi'tian
使铜银夹大声,shi'tong'yin'jia'da'sheng
事头,shi'tou
事头婆,shi'tou'po
食碗面反碗底,shi'wan'mian'fan'wan'di
食枉米,shi'wang'mi
实稳,shi'wen
十问九唔应,shi'wen'jiu'wu'ying
使唔使,shi'wu'shi
使唔使咁,shi'wu'shi'gan
食西北风,shi'xi'bei'feng
石罅米,shi'xia'mi
拾下拾下,shi'xia'shi'xia
实行,shi'xing
势凶,shi'xiong
势凶夹狼,shi'xiong'jia'lang
食晏,shi'yan
食烟,shi'yan
屎眼,shi'yan
识嘢,shi'ye
食嘢,shi'ye
师爷,shi'ye
食夜粥,shi'ye'zhou
使用,shi'yong
士域祇,shi'yu'chi
誓愿,shi'yuan
誓愿当食生菜,shi'yuan'dang'shi'sheng'cai
十月芥菜起晒心,shi'yue'jie'cai'qi'shai'xin
十月芥菜起心,shi'yue'jie'cai'qi'xin
十月蔗头甜到尾,shi'yue'zhe'tou'tian'dao'wei
失运,shi'yun
嗜正,shi'zheng
时症,shi'zheng
适値,shi'zhi
适值,shi'zhi
食滞,shi'zhi
世侄,shi'zhi
湿滞十字锄,shi'zhi'shi'zi'chu
实质质,shi'zhi'zhi
实枳枳,shi'zhi'zhi
食粥,shi'zhou
侍仔,shi'zi
十足十,shi'zu'shi
识做,shi'zuo
食咗饭未,shi'zuo'fan'wei
食咗人只车咩,shi'zuo'ren'zhi'che'mie
手坳,shou'ao
手板,shou'ban
手板堂,shou'ban'tang
手板眼见工夫,shou'ban'yan'jian'gong'fu
首本,shou'ben
手臂,shou'bi
瘦擘擘,shou'bo'bo
手掣,shou'che
手搊,shou'chou
