阿斗当皇帝,a'dou'dang'huang'di
肉烂在汤里,rou'lan'zai'tang'li
肉烂嘴不烂,rou'lan'zui'bu'lan
肉丸子掉迸煤堆里,rou'wan'zi'diao'beng'mei'dui'li
柔中有刚,rou'zhong'you'gang
入伏的高梁,ru'fu'de'gao'liang
如来佛的手心,ru'lai'fo'de'shou'xin
软面包饺子,ruan'mian'bao'jiao'zi
软弱无能,ruan'ruo'wu'neng
软中有硬,ruan'zhong'you'ying
撒了谷子拾稻草,sa'le'gu'zi'shi'dao'cao
仨钱买匹马,sa'qian'mai'pi'ma
赛马场上的冠军,sai'ma'chang'shang'de'guan'jun
三百斤的野猪,san'bai'jin'de'ye'zhu
三本经书掉了两本,san'ben'jing'shu'diao'le'liang'ben
三岔口的地保,san'cha'kou'de'di'bao
三寸舌头是软的,san'cun'she'tou'shi'ruan'de
三分钱买个臭猪蹄,san'fen'qian'mai'ge'chou'zhu'ti
三伏天的狗,san'fu'tian'de'gou
三伏天的馊豆腐,san'fu'tian'de'sou'dou'fu
三个鼻孔眼儿,san'ge'bi'kong'yan'er
三个醉汉撒酒疯,san'ge'zui'han'sa'jiu'feng
三根缆绳拴两边,san'gen'lan'sheng'shuan'liang'bian
三顾茅庐,san'gu'mao'lu
三合板上雕花,san'he'ban'shang'diao'hua
三间瓦房不开门,san'jian'wa'fang'bu'kai'men
三角挫刀,san'jiao'cuo'dao
三角砖头,san'jiao'zhuan'tou
三斤半鸭子二斤半嘴,san'jin'ban'ya'zi'er'jin'ban'zui
三九天吃梅子,san'jiu'tian'chi'mei'zi
三句话不离本行,san'ju'hua'bu'li'ben'hang
三令五申,san'ling'wu'shen
三五成群,san'wu'cheng'qun
三心二意,san'xin'er'yi
丧胆,sang'dan
色厉内荏,se'li'nei'ren
煞风景,sha'feng'jing
砂锅里的火药,sha'guo'li'de'huo'yao
扇阴风,shan'yin'feng
上不着天下不着地,shang'bu'zhao'tian'xia'bu'zhao'di
上帝保佑,shang'di'bao'you
上晃下摇,shang'huang'xia'yao
上了大当,shang'le'da'dang
上脸,shang'lian
上梁不正下梁歪,shang'liang'bu'zheng'xia'liang'wai
上气不接下气,shang'qi'bu'jie'xia'qi
上下两难,shang'xia'liang'nan
烧不成个东西,shao'bu'cheng'ge'dong'xi
少不了挨一刀,shao'bu'liao'ai'yi'dao
少见,shao'jian
少有,shao'you
设底儿,she'di'er
神气来了,shen'qi'lai'le
身子烂了踊头还硬,shen'zi'lan'le'yong'tou'hai'ying
生了外心,sheng'le'wai'xin
士兵搭帐篷,shi'bing'da'zhang'peng
实打实,shi'da'shi
时高时低,shi'gao'shi'di
屎壳郎打喷嚏,shi'ke'lang'da'pen'ti
屎壳郎戴面具,shi'ke'lang'dai'mian'ju
失面子,shi'mian'zi
十拿九稳,shi'na'jiu'wen
屎尿多,shi'niao'duo
使偏劲,shi'pian'jin
十五只小船出海,shi'wu'zhi'xiao'chuan'chu'hai
实心实意,shi'xin'shi'yi
实心竹竿做笛子,shi'xin'zhu'gan'zuo'di'zi
实心竹子做笛子,shi'xin'zhu'zi'zuo'di'zi
十有九空,shi'you'jiu'kong
施展不开,shi'zhan'bu'kai
食之无味弃之可惜,shi'zhi'wu'wei'qi'zhi'ke'xi
受潮的麻花,shou'chao'de'ma'hua
手电筒没灯泡,shou'dian'tong'mei'deng'pao
受了冷气受热气,shou'le'leng'qi'shou're'qi
瘦驴拉硬屎,shou'lv'la'ying'shi
手捧鸡蛋过河,shou'peng'ji'dan'guo'he
受人牵连,shou'ren'qian'lian
瘦死的骆驼,shou'si'de'luo'tuo
寿星出点子,shou'xing'chu'dian'zi
寿星娶小,shou'xing'qu'xiao
瘦子光膀几,shou'zi'guang'bang'ji
树不起来,shu'bu'qi'lai
属大肠的,shu'da'chang'de
熟得早,shu'de'zao
属地瓜的,shu'di'gua'de
属狗尾巴的,shu'gou'wei'ba'de
熟螃蟹,shu'pang'xie
树梢上吹喇叭,shu'shao'shang'chui'la'ba
暑天下大雪,shu'tian'xia'da'xue
树叶子掉到河里,shu'ye'zi'diao'dao'he'li
熟一个蹦一个,shu'yi'ge'beng'yi'ge
树桩上的鸟儿,shu'zhuang'shang'de'niao'er
耍滑头,shua'hua'tou
耍皮影子的,shua'pi'ying'zi'de
甩不掉,shuai'bu'diao
甩不脱,shuai'bu'tuo
双胞胎比长相,shuang'bao'tai'bi'chang'xiang
霜打的黄瓜,shuang'da'di'huang'gua
霜打的麻叶,shuang'da'di'ma'ye
双喜临门,shuang'xi'lin'men
水壶里盛汤圆,shui'hu'li'cheng'tang'yuan
水浸菩萨,shui'jin'pu'sa
水里的蛤蟆,shui'li'de'ha'ma
水面打一棒,shui'mian'da'yi'bang
水牛吃活蟹,shui'niu'chi'huo'xie
水牛过河,shui'niu'guo'he
水泡豆子,shui'pao'dou'zi
水平太低,shui'ping'tai'di
水平有限,shui'ping'you'xian
水獭找泥鳅,shui'ta'zhao'ni'qiu
谁抬你啊,shui'tai'ni'a
谁也甭想逃出去,shui'ye'beng'xiang'tao'chu'qu
谁也别说谁,shui'ye'bie'shuo'shui
谁也不吃亏,shui'ye'bu'chi'kui
谁也不正眼看谁,shui'ye'bu'zheng'yan'kan'shui
谁有吃就跟谁走,shui'you'chi'jiu'gen'shui'zou
说不出个好处来,shuo'bu'chu'ge'hao'chu'lai
说不出好话来,shuo'bu'chu'hao'hua'lai
说不通,shuo'bu'tong
说得多,shuo'de'duo
说黑话,shuo'hei'hua
说亮话,shuo'liang'hua
死不放,si'bu'fang
死不甘心,si'bu'gan'xin
死不了人,si'bu'liao'ren
死不要脸,si'bu'yao'lian
死尽忠心,si'jin'zhong'xin
死心眼儿,si'xin'yan'er
送福,song'fu
送来一口肉,song'lai'yi'kou'rou
素不相识,su'bu'xiang'shi
随波逐流,sui'bo'zhu'liu
塌鼻子嫁个斜眼,ta'bi'zi'jia'ge'xie'yan
塔顶散步,ta'ding'san'bu
塌锅干饭,ta'guo'gan'fan
踏死蛤蟆肚子胀,ta'si'ha'ma'du'zi'zhang
太把自己看大了,tai'ba'zi'ji'kan'da'le
抬棺材的掉裤子,tai'guan'cai'de'diao'ku'zi
太极拳的功夫,tai'ji'quan'de'gong'fu
太监出家,tai'jian'chu'jia
太平洋搬家,tai'ping'yang'ban'jia
太平洋上的警察,tai'ping'yang'shang'de'jing'cha
泰山顶上唱大戏,tai'shan'ding'shang'chang'da'xi
台上唱戏台下打鼾,tai'shang'chang'xi'tai'xia'da'han
太上老君开处方,tai'shang'lao'jun'kai'chu'fang
太岁乡头坐,tai'sui'xiang'tou'zuo
抬腿上楼梯,tai'tui'shang'lou'ti
太阳地里望星星,tai'yang'di'li'wang'xing'xing
太阳底下点灯,tai'yang'di'xia'dian'deng
谈崩了,tan'beng'le
谈不上,tan'bu'shang
贪吃不留种,tan'chi'bu'liu'zhong
弹棉花胎的进官,tan'mian'hua'tai'de'jin'guan
贪便宜,tan'pian'yi
炭筛子筛芝麻,tan'shai'zi'shai'zhi'ma
檀香木盖茅坑,tan'xiang'mu'gai'mao'keng
谈心不点灯,tan'xin'bu'dian'deng
贪心鬼,tan'xin'gui
瘫子靠跛子,tan'zi'kao'bo'zi
坛子里的咸菜,tan'zi'li'de'xian'cai
坛子里和面,tan'zi'li'huo'mian
瘫子请客,tan'zi'qing'ke
贪嘴的鱼儿,tan'zui'de'yu'er
躺在功劳簿上睡大觉,tang'zai'gong'lao'bu'shang'shui'da'jiao
躺在棺材里想金条,tang'zai'guan'cai'li'xiang'jin'tiao
躺着说话,tang'zhe'shuo'hua
讨吃的喂猴,tao'chi'de'wei'hou
讨饭找马骑,tao'fan'zhao'ma'qi
陶工手里的粘上,tao'gong'shou'li'de'zhan'shang
讨媳妇嫁女儿,tao'xi'fu'jia'nv'er
套袖改袜子,tao'xiu'gai'wa'zi
腾云驾雾,teng'yun'jia'wu
替狗忙,ti'gou'mang
剃头的动手,ti'tou'de'dong'shou
剃头匠发火,ti'tou'jiang'fa'huo
提心吊胆,ti'xin'diao'dan
提着灯笼打柴,ti'zhe'deng'long'da'chai
提着口袋倒核桃,ti'zhe'kou'dai'dao'he'tao
田埂上搭桥,tian'geng'shang'da'qiao
甜果都从苦根来,tian'guo'dou'cong'ku'gen'lai
天黑敬菩萨,tian'hei'jing'pu'sa
天花乱坠,tian'hua'luan'zhui
天降良缘,tian'jiang'liang'yuan
田里的庄稼,tian'li'de'zhuang'jia
填满肚子算事,tian'man'du'zi'suan'shi
甜蜜,tian'mi
天上的老鹰不吃脏东西,tian'shang'de'lao'ying'bu'chi'zang'dong'xi
田鼠走亲戚,tian'shu'zou'qin'qi
天天向上,tian'tian'xiang'shang
田头训子,tian'tou'xun'zi
天下奇闻,tian'xia'qi'wen
挑灯草走路,tiao'deng'cao'zou'lu
挑水骑单车,tiao'shui'qi'dan'che
铁面无私,tie'mian'wu'si
铁蛇掉井里,tie'she'diao'jing'li
听见猫叫骨头酥,ting'jian'mao'jiao'gu'tou'su
听哑巴唱戏,ting'ya'ba'chang'xi
亭子里谈心,ting'zi'li'tan'xin
同行,tong'hang
童养媳当媒人,tong'yang'xi'dang'mei'ren
同一个马鞍上的人,tong'yi'ge'ma'an'shang'de'ren
偷吃的猫儿,tou'chi'de'mao'er
偷吃海椒挨耳光,tou'chi'hai'jiao'ai'er'guang
偷鸡不成蚀把米,tou'ji'bu'cheng'shi'ba'mi
偷鸡摸蛋,tou'ji'mo'dan
偷来的喇叭,tou'lai'de'la'ba
头破血流,tou'po'xue'liu
头挑,tou'tiao
头头是道,tou'tou'shi'dao
突出,tu'chu
屠夫说猪农夫说谷,tu'fu'shuo'zhu'nong'fu'shuo'gu
屠夫送礼,tu'fu'song'li
图个干脆,tu'ge'gan'cui
土里来泥里去,tu'li'lai'ni'li'qu
土生土长,tu'sheng'tu'zhang
土腥味,tu'xing'wei
秃子脑袋当玩具,tu'zi'nao'dai'dang'wan'ju
秃子揍和尚,tu'zi'zou'he'shang
团团转,tuan'tuan'zhuan
挖苦,wa'ku
挖一个少一个,wa'yi'ge'shao'yi'ge
外辣里软,wai'la'li'ruan
外面冷里头热,wai'mian'leng'li'tou're
外头凉里面热,wai'tou'liang'li'mian're
玩的骗人术,wan'de'pian'ren'shu
晚了迟了,wan'le'chi'le
玩心不退,wan'xin'bu'tui
忘本,wang'ben
枉费心机,wang'fei'xin'ji
忘了自己从哪来了,wang'le'zi'ji'cong'na'lai'le
望洋兴叹,wang'yang'xing'tan
往最坏处想,wang'zui'huai'chu'xiang
尾巴翘上天,wei'ba'qiao'shang'tian
为的是嘴,wei'de'shi'zui
威风扫地,wei'feng'sao'di
为民请命,wei'min'qing'ming
未知经过多少风雨,wei'zhi'jing'guo'duo'shao'feng'yu
蚊龙困在沙滩上,wen'long'kun'zai'sha'tan'shang
文明人不做文明事,wen'ming'ren'bu'zuo'wen'ming'shi
闻声不见人,wen'sheng'bu'jian'ren
纹丝不动,wen'si'bu'dong
窝脖,wo'bo
握不住,wo'bu'zhu
无不识货,wu'bu'shi'huo
无耻下流,wu'chi'xia'liu
无出路,wu'chu'lu
无痕迹,wu'hen'ji
无可奈何,wu'ke'nai'he
无奇不有,wu'qi'bu'you
无牵无挂,wu'qian'wu'gua
无情,wu'qing
无人买,wu'ren'mai
无伤痕,wu'shang'hen
无事不来,wu'shi'bu'lai
无事生非,wu'shi'sheng'fei
武艺高,wu'yi'gao
无依无靠,wu'yi'wu'kao
无用,wu'yong
吸饱风的帆,xi'bao'feng'de'fan
喜出望外,xi'chu'wang'wai
细吹细打,xi'chui'xi'da
稀饭锅里扔铁砣,xi'fan'guo'li'reng'tie'tuo
膝盖头套袜子,xi'gai'tou'tao'wa'zi
西瓜皮打鞋掌,xi'gua'pi'da'xie'zhang
西瓜皮做帽子,xi'gua'pi'zuo'mao'zi
细嚼馒咽,xi'jiao'man'yan
洗脸盆里游泳,xi'lian'pen'li'you'yong
喜马拉雅山上卖牛黄,xi'ma'la'ya'shan'shang'mai'niu'huang
西门庆请武大郎,xi'men'qing'qing'wu'da'lang
惜钱不治病,xi'qian'bu'zhi'bing
喜鹊落头上,xi'que'luo'tou'shang
西山猛虎不咬人,xi'shan'meng'hu'bu'yao'ren
西施坐飞机,xi'shi'zuo'fei'ji
蟋蟀斗公鸡,xi'shuai'dou'gong'ji
戏台后头的锣鼓,xi'tai'hou'tou'de'luo'gu
戏台上拜天地,xi'tai'shang'bai'tian'di
戏台上堵枪眼,xi'tai'shang'du'qiang'yan
嘻嘻哈哈年过十八,xi'xi'ha'ha'nian'guo'shi'ba
西厢记作枕头,xi'xiang'ji'zuo'zhen'tou
戏园子失火,xi'yuan'zi'shi'huo
惜债买藉吃,xi'zhai'mai'ji'chi
戏中有戏,xi'zhong'you'xi
下不了口,xia'bu'liao'kou
吓不住人,xia'bu'zhu'ren
瞎逞能,xia'cheng'neng
下大雪找蹄印,xia'da'xue'zhao'ti'yin
瞎打一阵,xia'da'yi'zhen
下地不穿鞋,xia'di'bu'chuan'xie
瞎姑娘戴眼镜,xia'gu'niang'dai'yan'jing
吓唬人,xia'hu'ren
吓唬人哩,xia'hu'ren'li
下轿打轿夫,xia'jiao'da'jiao'fu
瞎了眼的癞皮狗,xia'le'yan'de'lai'pi'gou
瞎妹子当媒人,xia'mei'zi'dang'mei'ren
虾吞礁石,xia'tun'jiao'shi
瞎张罗,xia'zhang'luo
瞎子背瞎子,xia'zi'bei'xia'zi
瞎子吃黄瓜,xia'zi'chi'huang'gua
瞎子打过独林桥,xia'zi'da'guo'du'lin'qiao
瞎子逛商店,xia'zi'guang'shang'dian
虾子过河,xia'zi'guo'he
瞎子夹豆腐,xia'zi'jia'dou'fu
瞎子救人,xia'zi'jiu'ren
瞎子上街,xia'zi'shang'jie
闲不住,xian'bu'zhu
咸菜拌豆腐,xian'cai'ban'dou'fu
咸菜缸里养白螺,xian'cai'gang'li'yang'bai'luo
咸菜煮豆腐,xian'cai'zhu'dou'fu
险乎得很,xian'hu'de'hen
闲话不少,xian'hua'bu'shao
咸肉里加酱油,xian'rou'li'jia'jiang'you
咸鱼落塘,xian'yu'luo'tang
想不透,xiang'bu'tou
香臭不分,xiang'chou'bu'fen
香臭难分,xiang'chou'nan'fen
想得倒美,xiang'de'dao'mei
想得宽,xiang'de'kuan
享福又受苦,xiang'fu'you'shou'ku
象个人似的,xiang'ge'ren'shi'de
橡皮糖,xiang'pi'tang
想沾点仙气,xiang'zhan'dian'xian'qi
想转了,xiang'zhuan'le
小鬼的嘴里都冒烟,xiao'gui'de'zui'li'dou'mao'yan
小题大作,xiao'ti'da'zuo
小心过度,xiao'xin'guo'du
鞋底打掌,xie'di'da'zhang
鞋底抹油,xie'di'mo'you
鞋壳篓里跑马,xie'ke'lou'li'pao'ma
泄气,xie'qi
鞋上绣金夙,xie'shang'xiu'jin'su
心到神知,xin'dao'shen'zhi
新郎官戴孝,xin'lang'guan'dai'xiao
新郎官揭盖头,xin'lang'guan'jie'gai'tou
新女婿请接生婆,xin'nv'xu'qing'jie'sheng'po
新上门的姑爷,xin'shang'men'de'gu'ye
新上市的黄瓜,xin'shang'shi'de'huang'gua
心碎,xin'sui
新媳妇吃饭,xin'xi'fu'chi'fan
新媳妇哭公公,xin'xi'fu'ku'gong'gong
新学,xin'xue
心眼多,xin'yan'duo
心眼狭小,xin'yan'xia'xiao
新衣服打补丁,xin'yi'fu'da'bu'ding
行不通,xing'bu'tong
行不通走不通,xing'bu'tong'zou'bu'tong
杏花村的酒,xing'hua'cun'de'jiu
兴师动众,xing'shi'dong'zhong
星星跟着月亮走,xing'xing'gen'zhe'yue'liang'zou
凶多吉少,xiong'duo'ji'shao
胸前划十字,xiong'qian'hua'shi'zi
凶神恶煞,xiong'shen'e'sha
熊耍把戏狗叫唤,xiong'shua'ba'xi'gou'jiao'huan
秀才的手中,xiu'cai'de'shou'zhong
秀才偷笔,xiu'cai'tou'bi
秀才遇到虎,xiu'cai'yu'dao'hu
绣花姑娘打架,xiu'hua'gu'niang'da'jia
羞死人,xiu'si'ren
休想,xiu'xiang
许不下羊羔许骆驼,xu'bu'xia'yang'gao'xu'luo'tuo
虚度年华,xu'du'nian'hua
虚情当成真意,xu'qing'dang'cheng'zhen'yi
虚情假意,xu'qing'jia'yi
许仙碰着白娘子,xu'xian'peng'zhe'bai'niang'zi
虚张声势,xu'zhang'sheng'shi
宣统坐江山,xuan'tong'zuo'jiang'shan
雪堆的假山,xue'dui'de'jia'shan
薛仁贵的行头,xue'ren'gui'de'xing'tou
薛仁贵征东,xue'ren'gui'zheng'dong
学人样,xue'ren'yang
鸭棚的老汉睡懒觉,ya'peng'de'lao'han'shui'lan'jiao
眼馋,yan'chan
言传身教,yan'chuan'shen'jiao
烟袋锅烤手,yan'dai'guo'kao'shou
烟袋锅里煮饭,yan'dai'guo'li'zhu'fan
盐堆里爬出来的人,yan'dui'li'pa'chu'lai'de'ren
烟灰抹面皮,yan'hui'mo'mian'pi
眼睛上出芽了,yan'jing'shang'chu'ya'le
眼里的灰尘,yan'li'de'hui'chen
腌萝卜拌黄瓜,yan'luo'bo'ban'huang'gua
阎王开店,yan'wang'kai'dian
阎王爷的扇子,yan'wang'ye'de'shan'zi
阎王爷做的芝麻饼,yan'wang'ye'zuo'de'zhi'ma'bing
唁闲嗑,yan'xian'ke
演员谢幕,yan'yuan'xie'mu
严阵以待,yan'zhen'yi'dai
杨继业数儿子,yang'ji'ye'shu'er'zi
养麦地里藏秃子,yang'mai'di'li'cang'tu'zi
养麦地里抓王八,yang'mai'di'li'zhua'wang'ba
羊群里跑出个骆驼,yang'qun'li'pao'chu'ge'luo'tuo
养在圈里的猪,yang'zai'quan'li'de'zhu
杨志卖刀,yang'zhi'mai'dao
样子神气,yang'zi'shen'qi
药店里招手,yao'dian'li'zhao'shou
要饭的打狗,yao'fan'de'da'gou
要饭的拿饼子,yao'fan'de'na'bing'zi
要饭的拿戳子,yao'fan'de'na'chuo'zi
腰杆子硬,yao'gan'zi'ying
腰里别钢筋,yao'li'bie'gang'jin
腰里别镰刀,yao'li'bie'lian'dao
腰里掖着个扁担,yao'li'ye'zhe'ge'bian'dan
药铺里卖棺材,yao'pu'li'mai'guan'cai
妖言惑众,yao'yan'huo'zhong
要也不是不要也不是,yao'ye'bu'shi'bu'yao'ye'bu'shi
咬着铁棍还说牙齿硬,yao'zhe'tie'gun'hai'shuo'ya'chi'ying
夜不关门,ye'bu'guan'men
叶公好龙,ye'gong'hao'long
夜壶打了把,ye'hu'da'le'ba
夜壶里洗澡,ye'hu'li'xi'zao
爷见孙猫见窜,ye'jian'sun'mao'jian'cuan
野狸子舔虎鼻梁,ye'li'zi'tian'hu'bi'liang
野牛闯进火海里,ye'niu'chuang'jin'huo'hai'li
野兽当家,ye'shou'dang'jia
夜莺配鹦鹉,ye'ying'pei'ying'wu
掖着个孙悟空,ye'zhe'ge'sun'wu'kong
一辈子出不了头,yi'bei'zi'chu'bu'liao'tou
一本正经,yi'ben'zheng'jing
一步登天,yi'bu'deng'tian
一触即发,yi'chu'ji'fa
一触即跳,yi'chu'ji'tiao
一吹就散,yi'chui'jiu'san
一错再错,yi'cuo'zai'cuo
一对丑,yi'dui'chou
一付坏心肠,yi'fu'huai'xin'chang
一个比一个难看,yi'ge'bi'yi'ge'nan'kan
一个比一个凶,yi'ge'bi'yi'ge'xiong
一个不留,yi'ge'bu'liu
一个刁一个滑,yi'ge'diao'yi'ge'hua
一个更比一个凶,yi'ge'geng'bi'yi'ge'xiong
一个师父一路拳,yi'ge'shi'fu'yi'lu'quan
一个样,yi'ge'yang
一个愿打一个愿挨,yi'ge'yuan'da'yi'ge'yuan'ai
以功为守,yi'gong'wei'shou
一鼓作气,yi'gu'zuo'qi
一哄而散,yi'hong'er'san
一伙更比一伙凶,yi'huo'geng'bi'yi'huo'xiong
一节也不通,yi'jie'ye'bu'tong
一进一出,yi'jin'yi'chu
一举两得,yi'ju'liang'de
一溜二抹,yi'liu'er'mo
一马当先,yi'ma'dang'xian
一模一样,yi'mo'yi'yang
姨奶奶的枕头凤,yi'nai'nai'de'zhen'tou'feng
一年不如一年,yi'nian'bu'ru'yi'nian
一篇大道理,yi'pian'da'dao'li
一窍不通,yi'qiao'bu'tong
一去不回头,yi'qu'bu'hui'tou
一时光,yi'shi'guang
一双脚踏两只船,yi'shuang'jiao'ta'liang'zhi'chuan
一摊泥,yi'tan'ni
一套一套的,yi'tao'yi'tao'de
一条心,yi'tiao'xin
一头满意,yi'tou'man'yi
一推就倒,yi'tui'jiu'dao
一拖再拖,yi'tuo'zai'tuo
一窝不如一窝,yi'wo'bu'ru'yi'wo
一窝孙,yi'wo'sun
一泻千里,yi'xie'qian'li
以怨报德,yi'yuan'bao'de
引火上身,yin'huo'shang'shen
硬按公鸡下蛋,ying'an'gong'ji'xia'dan
硬棒槌弹棉花,ying'bang'chui'tan'mian'hua
硬撑市面,ying'cheng'shi'mian
鹰飞蓝天走夜路,ying'fei'lan'tian'zou'ye'lu
硬牛皮,ying'niu'pi
硬碰硬,ying'peng'ying
硬欺负人,ying'qi'fu'ren
硬往上贴,ying'wang'shang'tie
硬往死里逼,ying'wang'si'li'bi
硬要麻雀生鹅蛋,ying'yao'ma'que'sheng'e'dan
蝇子见了血,ying'zi'jian'le'xue
永不回头,yong'bu'hui'tou
又长又臭,you'chang'you'chou
有吹的了,you'chui'de'le
又刺又痛,you'ci'you'tong
有点五荤六素,you'dian'wu'hun'liu'su
有点硬功夫,you'dian'ying'gong'fu
有点自大,you'dian'zi'da
有肚量,you'du'liang
又毒又辣,you'du'you'la
又恶又蠢,you'e'you'chun
又高又贵,you'gao'you'gui
有根有据,you'gen'you'ju
有功之臣,you'gong'zhi'chen
有货倒不出,you'huo'dao'bu'chu
有假无真,you'jia'wu'zhen
有劲使不上,you'jin'shi'bu'shang
有来有往,you'lai'you'wang
有了把柄,you'le'ba'bing
有力无处使,you'li'wu'chu'shi
有命没毛,you'ming'mei'mao
有你不多没你不少,you'ni'bu'duo'mei'ni'bu'shao
有去无回,you'qu'wu'hui
由人摆布,you'ren'bai'bu
有日子的人了,you'ri'zi'de'ren'le
有声有色,you'sheng'you'se
又属百灵鸟又属袋鼠,you'shu'bai'ling'niao'you'shu'dai'shu
有无地之别,you'wu'di'zhi'bie
有眼不识泰山,you'yan'bu'shi'tai'shan
有眼无珠,you'yan'wu'zhu
有言在先,you'yan'zai'xian
有也不多,you'ye'bu'duo
有用是亲无用是仇,you'yong'shi'qin'wu'yong'shi'chou
玉皇大帝拜财神一有钱大三辈,yu'huang'da'di'bai'cai'shen'yi'you'qian'da'san'bei
鱼篓里的螃蟹,yu'lou'li'de'pang'xie
鱼盆里的螃蟹,yu'pen'li'de'pang'xie
遇上了好人,yu'shang'le'hao'ren
渔网当伞,yu'wang'dang'san
与我无关,yu'wo'wu'guan
雨夜打灯笼,yu'ye'da'deng'long
与众不同,yu'zhong'bu'tong
远处有灯,yuan'chu'you'deng
袁世凯当皇帝,yuan'shi'kai'dang'huang'di
冤枉死人,yuan'wang'si'ren
圆珠笔蘸墨水一多事,yuan'zhu'bi'zhan'mo'shui'yi'duo'shi
圆桌会议,yuan'zhuo'hui'yi
远走高飞,yuan'zou'gao'fei
越吃越糟,yue'chi'yue'zao
越打越下,yue'da'yue'xia
越弹越乱,yue'dan'yue'luan
越管越光,yue'guan'yue'guang
越来越凶,yue'lai'yue'xiong
月亮当镜子,yue'liang'dang'jing'zi
月亮下看书,yue'liang'xia'kan'shu
越摸越翘,yue'mo'yue'qiao
越闹越臭,yue'nao'yue'chou
越弄越糟,yue'nong'yue'zao
越数越少,yue'shu'yue'shao
越掏越臭,yue'tao'yue'chou
越小越凶,yue'xiao'yue'xiong
越选越差,yue'xuan'yue'cha
云里张口袋,yun'li'zhang'kou'dai
云南老虎蒙古骆驼,yun'nan'lao'hu'meng'gu'luo'tuo
砸锅卖铁,za'guo'mai'tie
杂货铺卸货,za'huo'pu'xie'huo
杂种,za'zhong
宰个鸽鸽也要请屠夫提刀,zai'ge'ge'ge'ye'yao'qing'tu'fu'ti'dao
在劫难逃,zai'jie'nan'tao
宰相的千金皇帝的女,zai'xiang'de'qian'jin'huang'di'de'nv
再也洗不清,zai'ye'xi'bu'qing
再吟诗也跑不脱,zai'yin'shi'ye'pao'bu'tuo
脏水罐子掉到茅坑里,zang'shui'guan'zi'diao'dao'mao'keng'li
早春的桃花,zao'chun'de'tao'hua
枣核儿解板,zao'he'er'jie'ban
遭驴拉重协,zao'lv'la'zhong'xie
灶门前拿竹筒,zao'men'qian'na'zhu'tong
枣木做烧柴,zao'mu'zuo'shao'chai
早晚要飞,zao'wan'yao'fei
早晚要炸,zao'wan'yao'zha
灶王爷上尺,zao'wang'ye'shang'chi
灶王爷贴在腿肚上,zao'wang'ye'tie'zai'tui'du'shang
贼过才张弓,zei'guo'cai'zhang'gong
贼头贼脑,zei'tou'zei'nao
贼娃子拾东西,zei'wa'zi'shi'dong'xi
扎不下根,zha'bu'xia'gen
蚱蜢碰上鸡,zha'meng'peng'shang'ji
扎实,zha'shi
斋公吃羊肉,zhai'gong'chi'yang'rou
债主找到了负债的,zhai'zhu'zhao'dao'le'fu'zhai'de
站不稳,zhan'bu'wen
斩草不除根,zhan'cao'bu'chu'gen
粘豆粥糊锅,zhan'dou'zhou'hu'guo
沾光,zhan'guang
粘米煮山芋,zhan'mi'zhu'shan'yu
沾你的光了,zhan'ni'de'guang'le
粘牙的烧饼,zhan'ya'de'shao'bing
站在岸边看翻船,zhan'zai'an'bian'kan'fan'chuan
站在海边打咳声,zhan'zai'hai'bian'da'ke'sheng
站在河岸捞月亮,zhan'zai'he'an'lao'yue'liang
沾沾自喜,zhan'zhan'zi'xi
站着身子正,zhan'zhe'shen'zi'zheng
战争贩子唱和平,zhan'zheng'fan'zi'chang'he'ping
张飞摆屠案,zhang'fei'bai'tu'an
张飞的妈妈,zhang'fei'de'ma'ma
张果老骑驴,zhang'guo'lao'qi'lv
长了兔子腿,zhang'le'tu'zi'tui
张驴儿上公堂,zhang'lv'er'shang'gong'tang
丈母娘跺脚,zhang'mu'niang'duo'jiao
张生回头望莺莺,zhang'sheng'hui'tou'wang'ying'ying
张天师得了哑病,zhang'tian'shi'de'le'ya'bing
张天师画符,zhang'tian'shi'hua'fu
张勋复辟,zhang'xun'fu'bi
找错了人,zhao'cuo'le'ren
赵匡胤穿龙袍,zhao'kuang'yin'chuan'long'pao
照明弹上天,zhao'ming'dan'shang'tian
找死,zhao'si
赵云大战长板坡,zhao'yun'da'zhan'chang'ban'po
照住屁股蹬一脚,zhao'zhu'pi'gu'deng'yi'jiao
这把骨头不知往哪,zhe'ba'gu'tou'bu'zhi'wang'na
遮不住阳光,zhe'bu'zhu'yang'guang
这山看着那山高,zhe'shan'kan'zhe'na'shan'gao
砧板上的鱼,zhen'ban'shang'de'yu
侦察员破案,zhen'cha'yuan'po'an
针锋相对,zhen'feng'xiang'dui
真好,zhen'hao
真灵,zhen'ling
针挑黄连,zhen'tiao'huang'lian
真相大白,zhen'xiang'da'bai
枕着扁担睡觉,zhen'zhe'bian'dan'shui'jiao
正大光明,zheng'da'guang'ming
正合适,zheng'he'shi
整筐丢西瓜,zheng'kuang'diu'xi'gua
正是时候,zheng'shi'shi'hou
睁眼瞎看告示,zheng'yan'xia'kan'gao'shi
睁只眼闭只眼,zheng'zhi'yan'bi'zhi'yan
直尺量曲线,zhi'chi'liang'qu'xian
知道迟到了,zhi'dao'chi'dao'le
知道你是哪块地里有呢,zhi'dao'ni'shi'na'kuai'di'li'you'ne
趾高气扬,zhi'gao'qi'yang
纸糊的老虎,zhi'hu'de'lao'hu
只可远看不能近瞧,zhi'ke'yuan'kan'bu'neng'jin'qiao
