暗根子,an'gen'zi
在对局时,zai'dui'ju'shi
再马,zai'ma
在没有过,zai'mei'you'guo
再仕,zai'shi
则马,ze'ma
则马二,ze'ma'er
则仕,ze'shi
则帅,ze'shuai
则帅五,ze'shuai'wu
则相三,ze'xiang'san
则卒,ze'zu
占据要道,zhan'ju'yao'dao
占肋,zhan'lei
战略思维,zhan'lue'si'wei
战术技巧,zhan'shu'ji'qiao
张申宏,zhang'shen'hong
张学潮,zhang'xue'chao
着法红先,zhao'fa'hong'xian
着法老练,zhao'fa'lao'lian
照将,zhao'jiang
赵庆阁,zhao'qing'ge
赵汝权,zhao'ru'quan
赵鑫鑫,zhao'xin'xin
赵子仪,zhao'zi'yi
着改走,zhe'gai'zou
浙江波尔轴承队,zhe'jiang'bo'er'zhou'cheng'dui
浙江球冠,zhe'jiang'qiu'guan
着中有数,zhe'zhong'you'shu
争夺对手,zheng'duo'dui'shou
正头车,zheng'tou'che
直车,zhi'che
直横车,zhi'heng'che
直接对面,zhi'jie'dui'mian
只能在提和后,zhi'neng'zai'ti'he'hou
制胜妙法,zhi'sheng'miao'fa
直退,zhi'tui
只许向前直走一步,zhi'xu'xiang'qian'zhi'zou'yi'bu
只许走一步,zhi'xu'zou'yi'bu
智弈棋评,zhi'yi'qi'ping
只有炮吃子,zhi'you'pao'chi'zi
制中,zhi'zhong
中兵,zhong'bing
中宫炮,zhong'gong'pao
中国象棋爱好者,zhong'guo'xiang'qi'ai'hao'zhe
中国象棋兵法种,zhong'guo'xiang'qi'bing'fa'zhong
中国象棋冠军,zhong'guo'xiang'qi'guan'jun
中国象棋锦标赛,zhong'guo'xiang'qi'jin'biao'sai
中国象棋谱库,zhong'guo'xiang'qi'pu'ku
中国象棋入门与提高问答,zhong'guo'xiang'qi'ru'men'yu'ti'gao'wen'da
中国象棋世界锦标赛,zhong'guo'xiang'qi'shi'jie'jin'biao'sai
中后局,zhong'hou'ju
中局,zhong'ju
中局成杀,zhong'ju'cheng'sha
中局得子,zhong'ju'de'zi
中局夺先,zhong'ju'duo'xian
中局混战,zhong'ju'hun'zhan
中局阶段,zhong'ju'jie'duan
中局谋和,zhong'ju'mou'he
中局占优,zhong'ju'zhan'you
中路取势,zhong'lu'qu'shi
中盘搏杀,zhong'pan'bo'sha
中炮,zhong'pao
中炮对半途列炮,zhong'pao'dui'ban'tu'lie'pao
中炮对补士敛炮,zhong'pao'dui'bu'shi'lian'pao
中炮对单提马,zhong'pao'dui'dan'ti'ma
中炮对叠炮,zhong'pao'dui'die'pao
中炮对反宫马,zhong'pao'dui'fan'gong'ma
中炮对龟背炮,zhong'pao'dui'gui'bei'pao
中炮对横车敛炮,zhong'pao'dui'heng'che'lian'pao
中炮对三步虎转列炮,zhong'pao'dui'san'bu'hu'zhuan'lie'pao
中炮对右三步虎,zhong'pao'dui'you'san'bu'hu
中炮对鸳鸯炮,zhong'pao'dui'yuan'yang'pao
中炮对左中炮转列炮,zhong'pao'dui'zuo'zhong'pao'zhuan'lie'pao
中炮过河车对屏风马高车保马,zhong'pao'guo'he'che'dui'ping'feng'ma'gao'che'bao'ma
中炮过和车对屏风马横车,zhong'pao'guo'he'che'dui'ping'feng'ma'heng'che
中炮过河车对屏风马平炮兑车,zhong'pao'guo'he'che'dui'ping'feng'ma'ping'pao'dui'che
中炮过河车对屏风马上士象,zhong'pao'guo'he'che'dui'ping'feng'ma'shang'shi'xiang
中炮过河车对屏风马左马盘河,zhong'pao'guo'he'che'dui'ping'feng'ma'zuo'ma'pan'he
中炮过河车正马对屏风马两头蛇,zhong'pao'guo'he'che'zheng'ma'dui'ping'feng'ma'liang'tou'she
中炮横车对反宫马,zhong'pao'heng'che'dui'fan'gong'ma
中炮横车盘头马对屏风马,zhong'pao'heng'che'pan'tou'ma'dui'ping'feng'ma
中炮横车七路马对屏风马,zhong'pao'heng'che'qi'lu'ma'dui'ping'feng'ma
中炮进七兵过河车对反宫马,zhong'pao'jin'qi'bing'guo'he'che'dui'fan'gong'ma
中炮七路马对三步虎转列炮,zhong'pao'qi'lu'ma'dui'san'bu'hu'zhuan'lie'pao
重炮杀,zhong'pao'sha
中炮巡河炮对反宫马,zhong'pao'xun'he'pao'dui'fan'gong'ma
中炮巡河炮对屏风马三步虎,zhong'pao'xun'he'pao'dui'ping'feng'ma'san'bu'hu
中炮直车对屏风马卒河口炮,zhong'pao'zhi'che'dui'ping'feng'ma'zu'he'kou'pao
中炮直车对左炮封车转半途列炮,zhong'pao'zhi'che'dui'zuo'pao'feng'che'zhuan'ban'tu'lie'pao
中原五豹,zhong'yuan'wu'bao
中卒,zhong'zu
主队身份,zhu'dui'shen'fen
竹香斋,zhu'xiang'zhai
转入中局,zhuan'ru'zhong'ju
庄玉庭,zhuang'yu'ting
准备赶走,zhun'bei'gan'zou
准备平中,zhun'bei'ping'zhong
准备镇中,zhun'bei'zhen'zhong
自来出洞无敌手象棋古谱新编,zi'lai'chu'dong'wu'di'shou'xiang'qi'gu'pu'xin'bian
子力价值,zi'li'jia'zhi
子力位置,zi'li'wei'zhi
自然限着,zi'ran'xian'zhe
走法同车一样,zou'fa'tong'che'yi'yang
走棋和吃子,zou'qi'he'chi'zi
走一着棋时,zou'yi'zhao'qi'shi
阻碍敌军,zu'ai'di'jun
卒底炮,zu'di'pao
卒分两翼,zu'fen'liang'yi
组攻,zu'gong
卒林线,zu'lin'xian
卒五个,zu'wu'ge
做杀,zuo'sha
左士角炮,zuo'shi'jiao'pao
左文静,zuo'wen'jing
左中炮,zuo'zhong'pao
