阿贝比长原理,a'bei'bi'chang'yuan'li
民兵参战支前,min'bing'can'zhan'zhi'qian
民兵传统战法,min'bing'chuan'tong'zhan'fa
民兵干部,min'bing'gan'bu
民兵工作三落实,min'bing'gong'zuo'san'luo'shi
民兵工作条例,min'bing'gong'zuo'tiao'li
民兵联防,min'bing'lian'fang
民兵哨所,min'bing'shao'suo
民兵战备勤务,min'bing'zhan'bei'qin'wu
民兵侦察,min'bing'zhen'cha
民兵政治工作,min'bing'zheng'zhi'gong'zuo
民兵制,min'bing'zhi
民兵专业技术兵,min'bing'zhuan'ye'ji'shu'bing
民兵专业技术分队,min'bing'zhuan'ye'ji'shu'fen'dui
民兵组织,min'bing'zu'zhi
民防,min'fang
民航,min'hang
民以勇悍着,min'yi'yong'han'zhe
民用卫星,min'yong'wei'xing
民之司命,min'zhi'si'ming
民舟,min'zhou
民族生存,min'zu'sheng'cun
名乘员,ming'cheng'yuan
名匠,ming'jiang
明礁,ming'jiao
明军,ming'jun
命令,ming'ling
命令线,ming'ling'xian
明码加乱作业,ming'ma'jia'luan'zuo'ye
明密变换,ming'mi'bian'huan
命名为,ming'ming'wei
明王朝,ming'wang'chao
明文,ming'wen
明线,ming'xian
明显地物点,ming'xian'di'wu'dian
名义量表,ming'yi'liang'biao
明朝嘉靖年间,ming'zhao'jia'jing'nian'jian
明朝万历年间,ming'zhao'wan'li'nian'jian
命中公算,ming'zhong'gong'suan
命中角,ming'zhong'jiao
命中精度,ming'zhong'jing'du
命中精度还,ming'zhong'jing'du'hai
命中目标,ming'zhong'mu'biao
命中偏差,ming'zhong'pian'cha
摩步师,mo'bu'shi
摩步团,mo'bu'tuan
摩擦药,mo'ca'yao
末端红外成像,mo'duan'hong'wai'cheng'xiang
末端制导,mo'duan'zhi'dao
末端制导炮弹,mo'duan'zhi'dao'pao'dan
莫尔条纹图,mo'er'tiao'wen'tu
莫敢有违,mo'gan'you'wei
魔高一尺,mo'gao'yi'chi
蘑菇烟云,mo'gu'yan'yun
蘑菇云,mo'gu'yun
蘑菇状烟云,mo'gu'zhuang'yan'yun
模糊分类法,mo'hu'fen'lei'fa
模糊影像,mo'hu'ying'xiang
墨卡托海图,mo'ka'tuo'hai'tu
墨卡托投影,mo'ka'tuo'tou'ying
莫洛坚斯基公式,mo'luo'jian'si'ji'gong'shi
莫洛坚斯基理论,mo'luo'jian'si'ji'li'lun
莫能举也,mo'neng'ju'ye
模拟磁带,mo'ni'ci'dai
模拟地图,mo'ni'de'tu
模拟法测图,mo'ni'fa'ce'tu
模拟教学,mo'ni'jiao'xue
模拟空中三角测量,mo'ni'kong'zhong'san'jiao'ce'liang
模拟立体测图仪,mo'ni'li'ti'ce'tu'yi
模拟摄影测量,mo'ni'she'ying'ce'liang
模拟训练器材,mo'ni'xun'lian'qi'cai
模拟训练弹,mo'ni'xun'lian'tan
末区,mo'qu
模式识别,mo'shi'shi'bie
末速,mo'su
摩托化,mo'tuo'hua
摩托化步兵团,mo'tuo'hua'bu'bing'tuan
摩托化部队,mo'tuo'hua'bu'dui
摩托化炮兵,mo'tuo'hua'pao'bing
摩托化行军,mo'tuo'hua'xing'jun
摩托小时,mo'tuo'xiao'shi
摩托小时储备,mo'tuo'xiao'shi'chu'bei
墨西哥战争期间,mo'xi'ge'zhan'zheng'qi'jian
模型连接,mo'xing'lian'jie
模型缩放,mo'xing'suo'fang
模型置平,mo'xing'zhi'ping
莫邪,mo'ye
末制导,mo'zhi'dao
谋攻第三,mou'gong'di'san
谋战,mou'zhan
目标,mu'biao
目标暴露征候,mu'biao'bao'lu'zheng'hou
目标编号,mu'biao'bian'hao
目标反射,mu'biao'fan'she
目标反射器,mu'biao'fan'she'qi
目标辐射,mu'biao'fu'she
目标高度,mu'biao'gao'du
目标航迹,mu'biao'hang'ji
目标舰,mu'biao'jian
目标舰船线,mu'biao'jian'chuan'xian
目标抗压强度,mu'biao'kang'ya'qiang'du
目标拦截计算机,mu'biao'lan'jie'ji'suan'ji
目标区,mu'biao'qu
目标伪装,mu'biao'wei'zhuang
目标性质,mu'biao'xing'zhi
目标性质情报,mu'biao'xing'zhi'qing'bao
目标引导,mu'biao'yin'dao
目标引导电台,mu'biao'yin'dao'dian'tai
目标引导组,mu'biao'yin'dao'zu
目标与背景,mu'biao'yu'bei'jing
目标运动,mu'biao'yun'dong
目标运动参数,mu'biao'yun'dong'can'shu
目标运动特性,mu'biao'yun'dong'te'xing
目标制导雷达,mu'biao'zhi'dao'lei'da
目标指示,mu'biao'zhi'shi
目标指示雷达,mu'biao'zhi'shi'lei'da
目标中心,mu'biao'zhong'xin
目标诸元,mu'biao'zhu'yuan
目标坐标,mu'biao'zuo'biao
目标坐标情况,mu'biao'zuo'biao'qing'kuang
木柄风格剑,mu'bing'feng'ge'jian
目测,mu'ce
目测法,mu'ce'fa
目测法准备射击装定诸元,mu'ce'fa'zhun'bei'she'ji'zhuang'ding'zhu'yuan
母弹头,mu'dan'tou
母弹头仓,mu'dan'tou'cang
牡鹿角顶级折叠猎刀,mu'lu'jiao'ding'ji'zhe'die'lie'dao
目视,mu'shi
目视导航,mu'shi'dao'hang
目视导航设备,mu'shi'dao'hang'she'bei
目视飞行,mu'shi'fei'xing
目视判读,mu'shi'pan'du
目视天顶仪,mu'shi'tian'ding'yi
目视侦察,mu'shi'zhen'cha
拿破仑,na'po'lun
拿枪法,na'qiang'fa
那切茲三美钢大砍刀,na'qie'zi'san'mei'gang'da'kan'dao
耐爆,nai'bao
耐爆性,nai'bao'xing
耐爆性能,nai'bao'xing'neng
耐爆引信,nai'bao'yin'xin
耐波,nai'bo
耐波力,nai'bo'li
耐特黑武士,nai'te'hei'wu'shi
乃为之势,nai'wei'zhi'shi
南北战争,nan'bei'zhan'zheng
南昌起义,nan'chang'qi'yi
南京军区,nan'jing'jun'qu
南少林十三枪棍,nan'shao'lin'shi'san'qiang'gun
南十字星座,nan'shi'zi'xing'zuo
南斯拉夫刺刀,nan'si'la'fu'ci'dao
南宋抗金名将,nan'song'kang'jin'ming'jiang
难战,nan'zhan
挠度观测,nao'du'guan'ce
内部定向,nei'bu'ding'xiang
内弹道,nei'dan'dao
内弹道学,nei'dan'dao'xue
内海,nei'hai
内河输送,nei'he'shu'song
内红,nei'hong
内红点,nei'hong'dian
内潜外逃,nei'qian'wai'tao
内容也,nei'rong'ye
内卫执勤任务,nei'wei'zhi'qin'ren'wu
内务条令,nei'wu'tiao'ling
内务卫生,nei'wu'wei'sheng
内务制度,nei'wu'zhi'du
内线兵团,nei'xian'bing'tuan
内线中的外线,nei'xian'zhong'de'wai'xian
内线作战,nei'xian'zuo'zhan
内虚于家,nei'xu'yu'jia
内有发动机,nei'you'fa'dong'ji
内有坦克武器,nei'you'tan'ke'wu'qi
内战,nei'zhan
内照射,nei'zhao'she
能够穿透,neng'gou'chuan'tou
能见度,neng'jian'du
能见敏锐度,neng'jian'min'rui'du
能爬,neng'pa
能跣足,neng'xian'zu
能源系统,neng'yuan'xi'tong
能运铁枪,neng'yun'tie'qiang
尼尔罗伯兹战斗刀,ni'er'luo'bo'zi'zhan'dou'dao
拟稳平差,ni'wen'ping'cha
逆转点法,ni'zhuan'dian'fa
年差,nian'cha
年代末由,nian'dai'mo'you
年代以后,nian'dai'yi'hou
年到,nian'dao
年的时间,nian'de'shi'jian
年度,nian'du
年法国,nian'fa'guo
年羹尧,nian'geng'yao
年纪念版,nian'ji'nian'ban
年间,nian'jian
年开始,nian'kai'shi
年龄而异,nian'ling'er'yi
年平均海面,nian'ping'jun'hai'mian
年拳,nian'quan
年又,nian'you
年又出现了,nian'you'chu'xian'le
娘子关,niang'zi'guan
鸟铳,niao'chong
鸟瞰图,niao'kan'tu
镍铬桥丝,nie'ge'qiao'si
镍铬桥丝电雷管,nie'ge'qiao'si'dian'lei'guan
凝固汽油弹,ning'gu'qi'you'dan
凝油粉,ning'you'fen
凝战,ning'zhan
牛头月镋,niu'tou'yue'tang
牛心双拐,niu'xin'shuang'guai
农民战争,nong'min'zhan'zheng
努尔哈赤,nu'er'ha'chi
怒而挠之,nu'er'nao'zhi
怒也,nu'ye
怒战,nu'zhan
诺曼底,nuo'man'di
诺曼底登陆,nuo'man'di'deng'lu
诺曼底登陆战役,nuo'man'di'deng'lu'zhan'yi
偶然误差,ou'ran'wu'cha
欧洲遥感卫星,ou'zhou'yao'gan'wei'xing
爬高率,pa'gao'lv
爬坡,pa'po
爬坡度,pa'po'du
爬升率,pa'sheng'lv
排除防步兵障碍物,pai'chu'fang'bu'bing'zhang'ai'wu
排除防登陆障碍物,pai'chu'fang'deng'lu'zhang'ai'wu
排除防空降障碍物,pai'chu'fang'kong'jiang'zhang'ai'wu
排除防坦克障碍物,pai'chu'fang'tan'ke'zhang'ai'wu
排除障碍物,pai'chu'zhang'ai'wu
迫击炮,pai'ji'pao
排雷,pai'lei
排哨,pai'shao
排水,pai'shui
排水量,pai'shui'liang
排弹,pai'tan
排弹作业,pai'tan'zuo'ye
拍头,pai'tou
排长,pai'zhang
攀登者,pan'deng'zhe
判读,pan'du
判读仪,pan'du'yi
判释,pan'shi
旁向重叠,pang'xiang'chong'die
旁向倾角,pang'xiang'qing'jiao
炮标准,pao'biao'zhun
炮兵,pao'bing
炮兵编组,pao'bing'bian'zu
炮兵兵力机动,pao'bing'bing'li'ji'dong
炮兵部署,pao'bing'bu'shu
炮兵测地勤务,pao'bing'ce'di'qin'wu
炮兵待机地域,pao'bing'dai'ji'di'yu
炮兵敌后侦察组,pao'bing'di'hou'zhen'cha'zu
炮兵地面侦察,pao'bing'di'mian'zhen'cha
炮兵分队,pao'bing'fen'dui
炮兵分散指挥,pao'bing'fen'san'zhi'hui
炮兵观测器材,pao'bing'guan'ce'qi'cai
炮兵观察所,pao'bing'guan'cha'suo
炮兵活力,pao'bing'huo'li
炮兵火力机动,pao'bing'huo'li'ji'dong
炮兵火力配系,pao'bing'huo'li'pei'xi
炮兵火力侦察,pao'bing'huo'li'zhen'cha
炮兵基本阵地,pao'bing'ji'ben'zhen'di
炮兵机动,pao'bing'ji'dong
炮兵集结地域,pao'bing'ji'jie'di'yu
炮兵集中指挥,pao'bing'ji'zhong'zhi'hui
炮兵交替指挥,pao'bing'jiao'ti'zhi'hui
炮兵局,pao'bing'ju
炮兵空中侦察,pao'bing'kong'zhong'zhen'cha
炮兵临时阵地,pao'bing'lin'shi'zhen'di
炮兵配置地域,pao'bing'pei'zhi'di'yu
炮兵齐射,pao'bing'qi'she
炮兵气象勤务,pao'bing'qi'xiang'qin'wu
炮兵前进观察所,pao'bing'qian'jin'guan'cha'suo
炮兵牵引车,pao'bing'qian'yin'che
炮兵区分,pao'bing'qu'fen
炮兵群,pao'bing'qun
炮兵射击,pao'bing'she'ji
炮兵射击效果,pao'bing'she'ji'xiao'guo
炮兵射击指挥,pao'bing'she'ji'zhi'hui
炮兵射击准备,pao'bing'she'ji'zhun'bei
炮兵疏散地域,pao'bing'shu'san'di'yu
炮兵团,pao'bing'tuan
炮兵五路接力机,pao'bing'wu'lu'jie'li'ji
炮兵行动计划,pao'bing'xing'dong'ji'hua
炮兵营,pao'bing'ying
炮兵预备队,pao'bing'yu'bei'dui
炮兵预备阵地,pao'bing'yu'bei'zhen'di
炮兵越级指挥,pao'bing'yue'ji'zhi'hui
炮兵照相勤务,pao'bing'zhao'xiang'qin'wu
炮兵侦察,pao'bing'zhen'cha
炮兵侦察校射机,pao'bing'zhen'cha'xiao'she'ji
炮兵指挥,pao'bing'zhi'hui
炮兵指挥分队,pao'bing'zhi'hui'fen'dui
炮兵指挥所,pao'bing'zhi'hui'suo
炮兵逐级指挥,pao'bing'zhu'ji'zhi'hui
炮兵自卫射击,pao'bing'zi'wei'she'ji
炮弹,pao'dan
跑道,pao'dao
跑道灯,pao'dao'deng
跑道端灯,pao'dao'duan'deng
跑道中心线,pao'dao'zhong'xin'xian
炮队镜,pao'dui'jing
炮箍,pao'gu
炮火保障,pao'huo'bao'zhang
炮火反击,pao'huo'fan'ji
炮火封锁,pao'huo'feng'suo
炮火假转移,pao'huo'jia'zhuan'yi
炮火突击,pao'huo'tu'ji
炮火袭击,pao'huo'xi'ji
炮火掩护,pao'huo'yan'hu
炮火延伸,pao'huo'yan'shen
炮火支援,pao'huo'zhi'yuan
炮火转移,pao'huo'zhuan'yi
炮火追击,pao'huo'zhui'ji
炮火准备,pao'huo'zhun'bei
炮击岸上目标,pao'ji'an'shang'mu'biao
炮架部,pao'jia'bu
炮瞄,pao'miao
炮瞄雷达,pao'miao'lei'da
炮钮,pao'niu
炮盘,pao'pan
炮射导弹,pao'she'dao'dan
抛射式烟幕装置,pao'she'shi'yan'mu'zhuang'zhi
抛射药包,pao'she'yao'bao
炮身,pao'shen
炮身部,pao'shen'bu
炮手,pao'shou
炮闩,pao'shuan
炮塔,pao'ta
炮塔炮,pao'ta'pao
炮塔上装有,pao'ta'shang'zhuang'you
炮塔座圈,pao'ta'zuo'quan
炮艇,pao'ting
炮位,pao'wei
炮尾,pao'wei
炮位侦察雷达校射雷达,pao'wei'zhen'cha'lei'da'xiao'she'lei'da
炮校,pao'xiao
炮校机,pao'xiao'ji
炮战,pao'zhan
炮阵地,pao'zhen'di
配备燧发枪,pei'bei'sui'fa'qiang
配合,pei'he
配合使用,pei'he'shi'yong
配属,pei'shu
配属炮兵,pei'shu'pao'bing
配水,pei'shui
配系,pei'xi
培训,pei'xun
配置,pei'zhi
配置暴露征候,pei'zhi'bao'lu'zheng'hou
配置地域,pei'zhi'di'yu
配置在,pei'zhi'zai
盆地,pen'di
喷火,pen'huo
喷火分队,pen'huo'fen'dui
喷火距离,pen'huo'ju'li
喷火器,pen'huo'qi
喷火时间,pen'huo'shi'jian
喷火手,pen'huo'shou
喷火坦克,pen'huo'tan'ke
喷火油料,pen'huo'you'liao
喷火油料保障,pen'huo'you'liao'bao'zhang
喷锚,pen'mao
喷锚支护,pen'mao'zhi'hu
喷气发动机,pen'qi'fa'dong'ji
喷气式,pen'qi'shi
喷气式飞机,pen'qi'shi'fei'ji
喷洒,pen'sa
喷洒车,pen'sa'che
喷射,pen'she
喷射物质,pen'she'wu'zhi
喷水推进,pen'shui'tui'jin
喷嚏性毒剂,pen'ti'xing'du'ji
喷雾装置,pen'wu'zhuang'zhi
批次,pi'ci
批复,pi'fu
皮肤防护器材,pi'fu'fang'hu'qi'cai
皮肤渗透,pi'fu'shen'tou
皮轨,pi'gui
皮卡汀尼导轨,pi'ka'ting'ni'dao'gui
皮鞘胡桃木猎刀,pi'qiao'hu'tao'mu'lie'dao
偏差法,pian'cha'fa
偏差法试射,pian'cha'fa'shi'she
偏角法,pian'jiao'fa
偏离航线,pian'li'hang'xian
偏离目标,pian'li'mu'biao
偏流,pian'liu
偏流距离,pian'liu'ju'li
偏流线,pian'liu'xian
偏振光立体观察,pian'zhen'guang'li'ti'guan'cha
漂浮水雷,piao'fu'shui'lei
漂雷,piao'lei
漂流物,piao'liu'wu
频带,pin'dai
频带宽度,pin'dai'kuan'du
频率,pin'lv
频率固定,pin'lv'gu'ding
频率划分,pin'lv'hua'fen
频率稳定度,pin'lv'wen'ding'du
频率误差,pin'lv'wu'cha
频率指配,pin'lv'zhi'pei
频偏,pin'pian
频漂,pin'piao
频谱,pin'pu
频谱仪,pin'pu'yi
贫铀,pin'you
贫铀穿甲弹,pin'you'chuan'jia'dan
平板车,ping'ban'che
平板仪,ping'ban'yi
平板仪测量,ping'ban'yi'ce'liang
平板仪导线,ping'ban'yi'dao'xian
平报,ping'bao
屏蔽物,ping'bi'wu
屏蔽装甲,ping'bi'zhuang'jia
平差值,ping'cha'zhi
平飞最大速度,ping'fei'zui'da'su'du
平飞最小速度,ping'fei'zui'xiao'su'du
评功,ping'gong
平衡潮,ping'heng'chao
平衡机,ping'heng'ji
平极,ping'ji
评教评学,ping'jiao'ping'xue
平津战役,ping'jin'zhan'yi
平均弹道,ping'jun'dan'dao
平均单位压力,ping'jun'dan'wei'ya'li
平均弹着点,ping'jun'dan'zhuo'dian
平均地球椭球,ping'jun'di'qiu'tuo'qiu
平均海,ping'jun'hai
平均海面归算,ping'jun'hai'mian'gui'suan
平均海平面,ping'jun'hai'ping'mian
平均曲率半径,ping'jun'qu'lv'ban'jing
平均误差,ping'jun'wu'cha
平均运动,ping'jun'yun'dong
平均运动速度,ping'jun'yun'dong'su'du
平流层,ping'liu'ceng
平流圈,ping'liu'quan
平面控制点,ping'mian'kong'zhi'dian
平面控制网,ping'mian'kong'zhi'wang
平面曲线测设,ping'mian'qu'xian'ce'she
平面式打磨,ping'mian'shi'da'mo
平面图,ping'mian'tu
平面直角坐标,ping'mian'zhi'jiao'zuo'biao
平面直角坐标系,ping'mian'zhi'jiao'zuo'biao'xi
平面坐标,ping'mian'zuo'biao
屏幕地图,ping'mu'di'tu
屏幕式反导,ping'mu'shi'fan'dao
平曲结合,ping'qu'jie'he
平射,ping'she
平时编制,ping'shi'bian'zhi
平时体制,ping'shi'ti'zhi
平时钟,ping'shi'zhong
平台甲板,ping'tai'jia'ban
平型关,ping'xing'guan
平型关战斗,ping'xing'guan'zhan'dou
平行滑行道,ping'xing'hua'xing'dao
平行圈,ping'xing'quan
平行输送,ping'xing'shu'song
平行追击,ping'xing'zhui'ji
平移参数,ping'yi'can'shu
平原,ping'yuan
平战结合,ping'zhan'jie'he
平整土地测量,ping'zheng'tu'di'ce'liang
朴刀,po'dao
坡度,po'du
坡度测设,po'du'ce'she
破国次之,po'guo'ci'zhi
破坏,po'huai
破坏程度,po'huai'cheng'du
破坏等级,po'huai'deng'ji
破坏射击,po'huai'she'ji
破坏弹,po'huai'tan
破坏性,po'huai'xing
破坏药,po'huai'yao
破坏作业,po'huai'zuo'ye
破甲,po'jia
破甲和碎甲,po'jia'he'sui'jia
破甲厚度,po'jia'hou'du
破甲弹,po'jia'tan
迫降,po'jiang
迫降场,po'jiang'chang
破军罢马,po'jun'ba'ma
破军次之,po'jun'ci'zhi
坡面经纬仪,po'mian'jing'wei'yi
破片,po'pian
破片地雷,po'pian'di'lei
迫切需要,po'qie'xu'yao
泼水不能入,po'shui'bu'neng'ru
破伍次之,po'wu'ci'zhi
破袭,po'xi
破袭战,po'xi'zhan
破译,po'yi
破译密码,po'yi'mi'ma
破译人员,po'yi'ren'yuan
破译手段,po'yi'shou'duan
破译学,po'yi'xue
破卒次之,po'zu'ci'zhi
剖面图,pou'mian'tu
普奥战争,pu'ao'zhan'zheng
普法战争,pu'fa'zhan'zheng
匍匐前进,pu'fu'qian'jin
普拉烈系统,pu'la'lie'xi'tong
普通地图,pu'tong'di'tu
普通地图集,pu'tong'di'tu'ji
普通电话,pu'tong'dian'hua
普通海图,pu'tong'hai'tu
普通航空图,pu'tong'hang'kong'tu
普通民兵,pu'tong'min'bing
普通弹,pu'tong'tan
起爆,qi'bao
起爆电流,qi'bao'dian'liu
起爆能力,qi'bao'neng'li
起爆器,qi'bao'qi
起爆网路,qi'bao'wang'lu
起爆药,qi'bao'yao
起爆装置,qi'bao'zhuang'zhi
骑兵,qi'bing
骑兵部队,qi'bing'bu'dui
骑兵连,qi'bing'lian
骑兵师,qi'bing'shi
骑兵团,qi'bing'tuan
骑兵学校,qi'bing'xue'xiao
骑兵营,qi'bing'ying
骑兵支队,qi'bing'zhi'dui
骑兵纵队,qi'bing'zong'dui
齐步走,qi'bu'zou
器材保障所,qi'cai'bao'zhang'suo
器材仓库,qi'cai'cang'ku
器材泛水,qi'cai'fan'shui
器材集结场,qi'cai'ji'jie'chang
器材基数,qi'cai'ji'shu
汽车兵,qi'che'bing
汽车技术保障,qi'che'ji'shu'bao'zhang
汽车军事运输,qi'che'jun'shi'yun'shu
汽车勤务,qi'che'qin'wu
汽车维护修理教范,qi'che'wei'hu'xiu'li'jiao'fan
汽车运输大队,qi'che'yun'shu'da'dui
其次伐兵,qi'ci'fa'bing
其次伐交,qi'ci'fa'jiao
起点,qi'dian
气垫船,qi'dian'chuan
气动枪,qi'dong'qiang
起动压力,qi'dong'ya'li
起渡点,qi'du'dian
骑而驰突,qi'er'chi'tu
齐发命中,qi'fa'ming'zhong
起飞,qi'fei
起飞区,qi'fei'qu
起飞线,qi'fei'xian
旗风,qi'feng
起伏地,qi'fu'de
气狗,qi'gou
旗号,qi'hao
旗号通信,qi'hao'tong'xin
气候带,qi'hou'dai
气候区分,qi'hou'qu'fen
气候适应,qi'hou'shi'ying
气候展望,qi'hou'zhan'wang
齐会战斗,qi'hui'zhan'dou
戚继光,qi'ji'guang
启剑,qi'jian
起落,qi'luo
起落航线,qi'luo'hang'xian
起落滑跑距离,qi'luo'hua'pao'ju'li
起落架,qi'luo'jia
起落装置,qi'luo'zhuang'zhi
起锚,qi'mao
气密检查,qi'mi'jian'cha
其妙在於,qi'miao'zai'yu
七年战争,qi'nian'zhan'zheng
欺骗,qi'pian
欺骗性,qi'pian'xing
欺骗性干扰,qi'pian'xing'gan'rao
气球,qi'qiu
气溶胶,qi'rong'jiao
气溶胶发生器,qi'rong'jiao'fa'sheng'qi
齐射,qi'she
齐射量,qi'she'liang
起始经线,qi'shi'jing'xian
其它兵器,qi'ta'bing'qi
其他火器,qi'ta'huo'qi
齐特卡森设计刀,qi'te'ka'sen'she'ji'dao
气体激光器,qi'ti'ji'guang'qi
齐头并进,qi'tou'bing'jin
企图,qi'tu
企图立案,qi'tu'li'an
气温,qi'wen
奇袭,qi'xi
其下攻城,qi'xia'gong'cheng
气象保障计划,qi'xiang'bao'zhang'ji'hua
气象保障指示,qi'xiang'bao'zhang'zhi'shi
气象报知通信,qi'xiang'bao'zhi'tong'xin
气象部队,qi'xiang'bu'dui
气象车,qi'xiang'che
气象代表误差,qi'xiang'dai'biao'wu'cha
气象分队,qi'xiang'fen'dui
气象改正,qi'xiang'gai'zheng
气象观测,qi'xiang'guan'ce
气象观测员,qi'xiang'guan'ce'yuan
气象管制,qi'xiang'guan'zhi
气象火箭,qi'xiang'huo'jian
气象雷达,qi'xiang'lei'da
气象勤务,qi'xiang'qin'wu
气象情报,qi'xiang'qing'bao
气象室,qi'xiang'shi
气象通信,qi'xiang'tong'xin
气象通信网,qi'xiang'tong'xin'wang
气象卫星,qi'xiang'wei'xing
气象武器,qi'xiang'wu'qi
气象学,qi'xiang'xue
气象要素,qi'xiang'yao'su
气象影响,qi'xiang'ying'xiang
气象战,qi'xiang'zhan
气象站,qi'xiang'zhan
气象侦察,qi'xiang'zhen'cha
气象诸元,qi'xiang'zhu'yuan
气象资料,qi'xiang'zi'liao
器械体操训练,qi'xie'ti'cao'xun'lian
气旋,qi'xuan
气压,qi'ya
启用时间,qi'yong'shi'jian
其用战也,qi'yong'zhan'ye
旗语通信,qi'yu'tong'xin
骑战,qi'zhan
奇战,qi'zhan
气战,qi'zhan
其中俄军,qi'zhong'e'jun
期终考试,qi'zhong'kao'shi
其中有,qi'zhong'you
齐转,qi'zhuan
齐装,qi'zhuang
齐装满员,qi'zhuang'man'yuan
其族尤以,qi'zu'you'yi
卡壳,qia'ke
恰可察觉差,qia'ke'cha'jue'cha
恰普斯基条件,qia'pu'si'ji'tiao'jian
前冲,qian'chong
前冲机,qian'chong'ji
前冲炮,qian'chong'pao
前出,qian'chu
铅垂线,qian'chui'xian
铅垂仪,qian'chui'yi
前导舰,qian'dao'jian
钱德勒摆动,qian'de'le'bai'dong
浅地层剖面仪,qian'di'ceng'pou'mian'yi
潜地导弹,qian'di'dao'dan
前敌委员会,qian'di'wei'yuan'hui
浅地下,qian'di'xia
浅地下核爆炸,qian'di'xia'he'bao'zha
潜渡,qian'du
潜渡场,qian'du'chang
前方干扰分群,qian'fang'gan'rao'fen'qun
前方尖兵,qian'fang'jian'bing
前方交会,qian'fang'jiao'hui
前方交会法,qian'fang'jiao'hui'fa
前方警戒,qian'fang'jing'jie
前飞,qian'fei
潜伏,qian'fu
潜伏期,qian'fu'qi
堑壕,qian'hao
潜舰导弹,qian'jian'dao'dan
前舰桥,qian'jian'qiao
前接后送,qian'jie'hou'song
千斤顶,qian'jin'ding
前进观察射击,qian'jin'guan'cha'she'ji
前进观察所,qian'jin'guan'cha'suo
前进指挥部,qian'jin'zhi'hui'bu
前进指挥所,qian'jin'zhi'hui'suo
浅近纵深,qian'jin'zong'shen
千克高爆碎裂,qian'ke'gao'bao'sui'lie
潜空导弹,qian'kong'dao'dan
乾坤日月刀,qian'kun'ri'yue'dao
千里馈粮,qian'li'kui'liang
牵连损伤,qian'lian'sun'shang
潜龙出水,qian'long'chu'shui
千米尺,qian'mi'chi
前排气口,qian'pai'qi'kou
前桥,qian'qiao
浅色调,qian'se'diao
前哨,qian'shao
前哨连,qian'shao'lian
前哨营,qian'shao'ying
潜水点,qian'shui'dian
潜水疾病,qian'shui'ji'bing
潜水器材,qian'shui'qi'cai
浅水潜水核爆炸,qian'shui'qian'shui'he'bao'zha
潜水员,qian'shui'yuan
潜水装具,qian'shui'zhuang'ju
前送后送,qian'song'hou'song
浅滩,qian'tan
潜艇,qian'ting
潜艇报告网,qian'ting'bao'gao'wang
潜艇部队,qian'ting'bu'dui
潜艇固壳,qian'ting'gu'ke
潜艇基地,qian'ting'ji'di
潜艇医学,qian'ting'yi'xue
潜艇用图,qian'ting'yong'tu
潜望,qian'wang
潜望镜,qian'wang'jing
潜望深度,qian'wang'shen'du
前卫,qian'wei
前委,qian'wei
前线,qian'xian
前线委员会,qian'xian'wei'yuan'hui
钳形突击,qian'xing'tu'ji
前沿,qian'yan
前沿机场,qian'yan'ji'chang
前沿前,qian'yan'qian
前沿战斗,qian'yan'zhan'dou
前沿阵地,qian'yan'zhen'di
牵引,qian'yin
牵引车,qian'yin'che
牵引汽艇,qian'yin'qi'ting
牵引装置,qian'yin'zhuang'zhi
钳制,qian'zhi
前指,qian'zhi
牵制,qian'zhi
箝制,qian'zhi
牵制方向,qian'zhi'fang'xiang
箝制方向,qian'zhi'fang'xiang
前装滑膛枪,qian'zhuang'hua'tang'qiang
前装击发滑膛枪,qian'zhuang'ji'fa'hua'tang'qiang
前装甲,qian'zhuang'jia
前装枪,qian'zhuang'qiang
潜坐,qian'zuo
潜坐海底,qian'zuo'hai'di
枪长七尺,qiang'chang'qi'chi
枪刺,qiang'ci
强大直射火力,qiang'da'zhi'she'huo'li
枪代炮,qiang'dai'pao
枪代炮射击,qiang'dai'pao'she'ji
枪弹,qiang'dan
枪的长度,qiang'de'chang'du
枪的套路,qiang'de'tao'lu
强点,qiang'dian
强渡,qiang'du
强渡江河,qiang'du'jiang'he
强而避之,qiang'er'bi'zhi
枪法以拦,qiang'fa'yi'lan
枪法之,qiang'fa'zhi
强风,qiang'feng
强辐射,qiang'fu'she
枪杆的粗细,qiang'gan'de'cu'xi
强干扰,qiang'gan'rao
枪高,qiang'gao
强攻,qiang'gong
枪管,qiang'guan
枪管长,qiang'guan'chang
枪管后侧,qiang'guan'hou'ce
枪管后座,qiang'guan'hou'zuo
枪管后座式,qiang'guan'hou'zuo'shi
枪管较长,qiang'guan'jiao'chang
枪管堪抗力,qiang'guan'kan'kang'li
枪管偏移,qiang'guan'pian'yi
枪管重,qiang'guan'zhong
枪和矛一样,qiang'he'mao'yi'yang
强击,qiang'ji
枪机,qiang'ji
强击航空兵,qiang'ji'hang'kong'bing
强击机,qiang'ji'ji
强击直升机,qiang'ji'zhi'sheng'ji
枪架,qiang'jia
抢救,qiang'jiu
抢救车,qiang'jiu'che
抢救修理,qiang'jiu'xiu'li
枪口,qiang'kou
枪口初速,qiang'kou'chu'su
枪口动能,qiang'kou'dong'neng
枪口活力,qiang'kou'huo'li
枪宽,qiang'kuan
枪类,qiang'lei
枪榴弹,qiang'liu'dan
枪谱载,qiang'pu'zai
枪如,qiang'ru
抢时间,qiang'shi'jian
枪术,qiang'shu
