阿拔斯一世,a'ba'si'yi'shi
希腊军队,xi'la'jun'dui
希拉克略,xi'la'ke'lue
希腊历史,xi'la'li'shi
锡兰岛,xi'lan'dao
西里西亚织工起义,xi'li'xi'ya'zhi'gong'qi'yi
希罗多德,xi'luo'duo'de
西罗马帝国的灭亡,xi'luo'ma'di'guo'de'mie'wang
希洛人,xi'luo'ren
西门子公司,xi'men'zi'gong'si
西欧封建庄园,xi'ou'feng'jian'zhuang'yuan
西山会议,xi'shan'hui'yi
西台,xi'tai
喜太,xi'tai
希泰,xi'tai
西泰特,xi'tai'te
希特勒,xi'te'le
西突厥人,xi'tu'jue'ren
西西里,xi'xi'li
西西里岛,xi'xi'li'dao
西西里登陆,xi'xi'li'deng'lu
西西里奴隶起义,xi'xi'li'nu'li'qi'yi
西乡隆盛,xi'xiang'long'sheng
西亚中部,xi'ya'zhong'bu
西印度群岛,xi'yin'du'qun'dao
西阵丝绸,xi'zhen'si'chou
现代,xian'dai
先后来到,xian'hou'lai'dao
先胜后败,xian'sheng'hou'bai
限田限奴议,xian'tian'xian'nu'yi
线形文字,xian'xing'wen'zi
现有党员,xian'you'dang'yuan
宪章运动,xian'zhang'yun'dong
相地而衰征,xiang'di'er'shuai'zheng
相继入侵,xiang'ji'ru'qin
湘军,xiang'jun
香料贸易,xiang'liao'mao'yi
向外殖民,xiang'wai'zhi'min
象征胜利的,xiang'zheng'sheng'li'de
孝德天皇,xiao'de'tian'huang
效法西方,xiao'fa'xi'fang
小协约国,xiao'xie'yue'guo
小亚细亚,xiao'ya'xi'ya
小野妹子,xiao'ye'mei'zi
小种经略相公,xiao'zhong'jing'lue'xiang'gong
协定关税,xie'ding'guan'shui
谢尔曼反托拉斯法,xie'er'man'fan'tuo'la'si'fa
邪马台国,xie'ma'tai'guo
谢斯起义,xie'si'qi'yi
楔形文字,xie'xing'wen'zi
协约国,xie'yue'guo
新阿姆斯特丹城,xin'a'mu'si'te'dan'cheng
新巴比伦王国,xin'ba'bi'lun'wang'guo
新村主义,xin'cun'zhu'yi
新的城市,xin'de'cheng'shi
新工党,xin'gong'dang
新航路的开辟,xin'hang'lu'de'kai'pi
新航线,xin'hang'xian
新经济政策,xin'jing'ji'zheng'ce
新军,xin'jun
新罗马共和国,xin'luo'ma'gong'he'guo
新罗统一朝鲜,xin'luo'tong'yi'chao'xian
新民丛报,xin'min'cong'bao
新宪法,xin'xian'fa
新英国,xin'ying'guo
新月沃地,xin'yue'wo'di
新中国,xin'zhong'guo
形成部落,xing'cheng'bu'luo
幸德秋水,xing'de'qiu'shui
兴盛时期,xing'sheng'shi'qi
醒狮派,xing'shi'pai
行宪国大,xing'xian'guo'da
匈奴人,xiong'nu'ren
匈牙利社会主义党,xiong'ya'li'she'hui'zhu'yi'dang
匈牙利苏维埃共和国,xiong'ya'li'su'wei'ai'gong'he'guo
修昔底德,xiu'xi'di'de
叙拉古,xu'la'gu
宣布成立,xuan'bu'cheng'li
宣布断绝,xuan'bu'duan'jue
宣布接受,xuan'bu'jie'shou
宣布苏联,xuan'bu'su'lian
宣布组成,xuan'bu'zu'cheng
宣告破裂,xuan'gao'po'lie
血腥立法,xue'xing'li'fa
血战温泉关,xue'zhan'wen'quan'guan
亚琛条约,ya'chen'tiao'yue
亚当斯密,ya'dang'si'mi
雅典国家的形成,ya'dian'guo'jia'de'xing'cheng
雅尔塔会议,ya'er'ta'hui'yi
雅尔塔体制,ya'er'ta'ti'zhi
雅尔塔协定,ya'er'ta'xie'ding
亚非欧,ya'fei'ou
雅各宾俱乐部,ya'ge'bin'ju'le'bu
雅各宾专政,ya'ge'bin'zhuan'zheng
雅利安人,ya'li'an'ren
雅利安语系,ya'li'an'yu'xi
亚历山大帝国,ya'li'shan'da'di'guo
亚历山大帝国的分裂,ya'li'shan'da'di'guo'de'fen'lie
亚历山大东征,ya'li'shan'da'dong'zheng
亚历山大二世,ya'li'shan'da'er'shi
亚里斯多德,ya'li'si'duo'de
亚述帝国,ya'shu'di'guo
亚述人,ya'shu'ren
亚太的,ya'tai'de
亚洲古国,ya'zhou'gu'guo
亚洲强国,ya'zhou'qiang'guo
严格控制,yan'ge'kong'zhi
杨格计划,yang'ge'ji'hua
鸯迦,yang'jia
洋枪队,yang'qiang'dui
仰韶文化,yang'shao'wen'hua
叶卡捷琳娜二世,ye'ka'jie'lin'na'er'shi
叶卡特琳娜二世,ye'ka'te'lin'na'er'shi
耶稣会,ye'su'hui
意埃战争,yi'ai'zhan'zheng
义安河静苏维埃运动,yi'an'he'jing'su'wei'ai'yun'dong
伊本巴图塔,yi'ben'ba'tu'ta
伊本拔图塔,yi'ben'ba'tu'ta
伊本西拿,yi'ben'xi'na
伊比利亚人,yi'bi'li'ya'ren
意大利南部,yi'da'li'nan'bu
意大利王国,yi'da'li'wang'guo
意大利占领工厂运动,yi'da'li'zhan'ling'gong'chang'yun'dong
伊尔马克河,yi'er'ma'ke'he
伊凡雷帝,yi'fan'lei'di
伊凡四世,yi'fan'si'shi
议会选举,yi'hui'xuan'ju
伊拉克部队,yi'la'ke'bu'dui
伊拉克军队,yi'la'ke'jun'dui
伊朗东部,yi'lang'dong'bu
伊朗高原,yi'lang'gao'yuan
伊里奇,yi'li'qi
伊丽莎白女王,yi'li'sha'bai'nv'wang
伊里莎白一世,yi'li'sha'bai'yi'shi
以美国为首的,yi'mei'guo'wei'shou'de
亿美元,yi'mei'yuan
伊姆荷太普,yi'mu'he'tai'pu
伊姆荷泰普,yi'mu'he'tai'pu
伊姆霍特普,yi'mu'huo'te'pu
一千零一夜,yi'qian'ling'yi'ye
伊莎贝拉二世,yi'sha'bei'la'er'shi
伊斯兰教,yi'si'lan'jiao
伊索寓言,yi'suo'yu'yan
伊特拉斯坎人,yi'te'la'si'kan'ren
伊特鲁里亚,yi'te'lu'li'ya
伊特鲁里亚城,yi'te'lu'li'ya'cheng
伊藤博文,yi'teng'bo'wen
一条鞭法,yi'tiao'bian'fa
一译,yi'yi
伊战后,yi'zhan'hou
印巴分治,yin'ba'fen'zhi
印第安人三大文化中心,yin'di'an'ren'san'da'wen'hua'zhong'xin
印度次大陆,yin'du'ci'da'lu
印度独立,yin'du'du'li
印度共和国,yin'du'gong'he'guo
印度国大党,yin'du'guo'da'dang
印度河文明,yin'du'he'wen'ming
印度教,yin'du'jiao
印度民族大起义,yin'du'min'zu'da'qi'yi
银阁寺,yin'ge'si
印加田,yin'jia'tian
印欧语,yin'ou'yu
印欧语系,yin'ou'yu'xi
荫生,yin'sheng
英埃同盟条约,ying'ai'tong'meng'tiao'yue
英布战争,ying'bu'zhan'zheng
英德海军协定,ying'de'hai'jun'xie'ding
英法,ying'fa
英法百年战争,ying'fa'bai'nian'zhan'zheng
英法苏三国谈判,ying'fa'su'san'guo'tan'pan
英格兰银行,ying'ge'lan'yin'hang
英国大宪章,ying'guo'da'xian'zhang
英国东印度公司,ying'guo'dong'yin'du'gong'si
英国工党,ying'guo'gong'dang
英国国会,ying'guo'guo'hui
英国国民,ying'guo'guo'min
英国皇家学会,ying'guo'huang'jia'xue'hui
英国权力法案,ying'guo'quan'li'fa'an
英国统治,ying'guo'tong'zhi
英国外交大臣,ying'guo'wai'jiao'da'chen
英国议会,ying'guo'yi'hui
英国政府,ying'guo'zheng'fu
英国主权,ying'guo'zhu'quan
英吉利王国的建立,ying'ji'li'wang'guo'de'jian'li
英联邦,ying'lian'bang
应仁之乱,ying'ren'zhi'luan
英属北美殖民地,ying'shu'bei'mei'zhi'min'di
英苏关系,ying'su'guan'xi
英苏贸易协定,ying'su'mao'yi'xie'ding
英王,ying'wang
庸客,yong'ke
永乐大典,yong'le'da'dian
永业田,yong'ye'tian
友禅印染,you'chan'yin'ran
有关决议,you'guan'jue'yi
尤利乌斯,you'li'wu'si
犹太复国主义,you'tai'fu'guo'zhu'yi
犹太教,you'tai'jiao
与德国,yu'de'guo
雨果,yu'guo
俞鸿钧,yu'hong'jun
余粮无偿征集,yu'liang'wu'chang'zheng'ji
与罗马,yu'luo'ma
羽蛇金字塔,yu'she'jin'zi'ta
与希腊,yu'xi'la
豫湘桂,yu'xiang'gui
豫湘桂战役,yu'xiang'gui'zhan'yi
远东战争策源地,yuan'dong'zhan'zheng'ce'yuan'di
猿乐,yuan'le
圆形阅览室,yuan'xing'yue'lan'shi
远征舰队,yuan'zheng'jian'dui
月大选,yue'da'xuan
约翰王,yue'han'wang
月护王,yue'hu'wang
约瑟夫,yue'se'fu
月通过,yue'tong'guo
云梦秦简,yun'meng'qin'jian
在日本,zai'ri'ben
早期封建国家,zao'qi'feng'jian'guo'jia
早期基督教,zao'qi'ji'du'jiao
遭抑制,zao'yi'zhi
扎克雷起义,zha'ke'lei'qi'yi
宅地法,zhai'di'fa
战败投降,zhan'bai'tou'xiang
占领区,zhan'ling'qu
占领全境,zhan'ling'quan'jing
占领日本,zhan'ling'ri'ben
战略地位,zhan'lue'di'wei
詹姆士,zhan'mu'shi
战胜法西斯,zhan'sheng'fa'xi'si
战时共产主义,zhan'shi'gong'chan'zhu'yi
占田制,zhan'tian'zhi
占西女王,zhan'xi'nv'wang
战役战术,zhan'yi'zhan'shu
战争策源地,zhan'zheng'ce'yuan'di
战争双方,zhan'zheng'shuang'fang
张伯伦,zhang'bo'lun
张荩忱,zhang'jin'chen
章西女王,zhang'xi'nv'wang
张勋复辟,zhang'xun'fu'bi
昭和,zhao'he
昭和天皇,zhao'he'tian'huang
珍宝岛,zhen'bao'dao
珍宝岛事件,zhen'bao'dao'shi'jian
贞德,zhen'de
真纳,zhen'na
真主安拉,zhen'zhu'an'la
珍珠港事件,zhen'zhu'gang'shi'jian
政府干预,zheng'fu'gan'yu
整理党务案,zheng'li'dang'wu'an
正式颁布,zheng'shi'ban'bu
正式建交,zheng'shi'jian'jiao
正式生效,zheng'shi'sheng'xiao
正义者同盟,zheng'yi'zhe'tong'meng
政友会民政党,zheng'you'hui'min'zheng'dang
政治地位,zheng'zhi'di'wei
政治对手,zheng'zhi'dui'shou
政治改革,zheng'zhi'gai'ge
政治革命,zheng'zhi'ge'ming
政治观念,zheng'zhi'guan'nian
政治上,zheng'zhi'shang
纸草,zhi'cao
制定了,zhi'ding'le
至公元前,zhi'gong'yuan'qian
制衡力量,zhi'heng'li'liang
直接战争费用,zhi'jie'zhan'zheng'fei'yong
制科,zhi'ke
殖民地代表,zhi'min'di'dai'biao
殖民据点,zhi'min'ju'dian
殖民主义,zhi'min'zhu'yi
之孙,zhi'sun
制宪,zhi'xian
执政党,zhi'zheng'dang
执政官,zhi'zheng'guan
中产阶级,zhong'chan'jie'ji
重大利益,zhong'da'li'yi
中东铁路,zhong'dong'tie'lu
中国北部,zhong'guo'bei'bu
中美友好通商航海条约,zhong'mei'you'hao'tong'shang'hang'hai'tiao'yue
中日和平友好条约,zhong'ri'he'ping'you'hao'tiao'yue
中日联合声明,zhong'ri'lian'he'sheng'ming
中日两国,zhong'ri'liang'guo
终身国家元首,zhong'shen'guo'jia'yuan'shou
种姓制度,zhong'xing'zhi'du
中亚大草原,zhong'ya'da'cao'yuan
中央集权君主制,zhong'yang'ji'quan'jun'zhu'zhi
中央权力,zhong'yang'quan'li
周髀算经,zhou'bi'suan'jing
周边国家,zhou'bian'guo'jia
周王国,zhou'wang'guo
轴心国,zhou'xin'guo
诸城邦,zhu'cheng'bang
逐渐成为,zhu'jian'cheng'wei
诸匠营,zhu'jiang'ying
朱拉隆功,zhu'la'long'gong
竹取物语,zhu'qu'wu'yu
主权国家,zhu'quan'guo'jia
竹书纪年,zhu'shu'ji'nian
朱特人,zhu'te'ren
铸造货币,zhu'zao'huo'bi
主张建立,zhu'zhang'jian'li
专制天皇制,zhuan'zhi'tian'huang'zhi
专制制度,zhuan'zhi'zhi'du
资本主义萌芽,zi'ben'zhu'yi'meng'ya
资本主义世界,zi'ben'zhu'yi'shi'jie
资产阶级革命,zi'chan'jie'ji'ge'ming
自任,zi'ren
谘议局,zi'yi'ju
自由大宪章,zi'you'da'xian'zhang
自由市场经济,zi'you'shi'chang'jing'ji
资政新篇,zi'zheng'xin'pian
资政院,zi'zheng'yuan
自治领,zi'zhi'ling
宗教裁判所,zong'jiao'cai'pan'suo
总理衙门,zong'li'ya'men
总贸易额,zong'mao'yi'e
总体战,zong'ti'zhan
祖国光复会,zu'guo'guang'fu'hui
组合国,zu'he'guo
租借法,zu'jie'fa
足利义政,zu'li'yi'zheng
租庸调,zu'yong'diao
最高权力,zui'gao'quan'li
最高苏维埃,zui'gao'su'wei'ai
最高执政官,zui'gao'zhi'zheng'guan
最后几块,zui'hou'ji'kuai
最早出现,zui'zao'chu'xian
最终税册,zui'zhong'shui'ce
做斗争,zuo'dou'zheng
坐落于,zuo'luo'yu
左塞王,zuo'sai'wang
