阿崩买火石过先知,a'beng'mai'huo'shi'guo'xian'zhi
瞌埋眼,ke'mai'yan
可恼也,ke'nao'ye
趷起个啰,ke'qi'ge'luo
渴市,ke'shi
瞌眼昏,ke'yan'hun
坑腩,keng'nan
坑渠,keng'qu
空肚,kong'du
空口,kong'kou
空框唥,kong'kuang'lang
空寥寥,kong'liao'liao
空笼,kong'long
口齿,kou'chi
口唇膏,kou'chun'gao
口淡,kou'dan
口干,kou'gan
口痕,kou'hen
口花花,kou'hua'hua
口簧,kou'huang
口苦,kou'ku
口码,kou'ma
口冇遮拦,kou'mao'zhe'lan
口密,kou'mi
口面,kou'mian
口疏,kou'shu
口水多过茶,kou'shui'duo'guo'cha
口水花,kou'shui'hua
口水花喷喷,kou'shui'hua'pen'pen
口水尾,kou'shui'wei
口头立湿,kou'tou'li'shi
口响,kou'xiang
口嚡脷素,kou'xie'li'su
口哑哑,kou'ya'ya
扣针,kou'zhen
口窒窒,kou'zhi'zhi
口盅,kou'zhong
裤穿窿,ku'chuan'long
苦瓜干,ku'gua'gan
苦瓜干距口面,ku'gua'gan'ju'kou'mian
裤脚,ku'jiao
苦口苦面,ku'kou'ku'mian
焅热,ku're
裤头,ku'tou
裤头带,ku'tou'dai
快吖快,kuai'a'kuai
快掣,kuai'che
快脆,kuai'cui
快过打针,kuai'guo'da'zhen
快劳,kuai'lao
快乐不知时日过,kuai'le'bu'zhi'shi'ri'guo
快马,kuai'ma
快手,kuai'shou
快手快脚,kuai'shou'kuai'jiao
夔佬,kui'lao
葵扇,kui'shan
煀鸡,kuo'ji
阔落,kuo'luo
辣吖辣,la'a'la
拉柴,la'chai
腊肠裤,la'chang'ku
拉臣,la'chen
垃圾池,la'ji'chi
揦口揦面,la'kou'la'mian
啦啦林,la'la'lin
腊腊呤,la'la'ling
啦啦声,la'la'sheng
揦脷,la'li
瘌痢头,la'li'tou
癞痢头,la'li'tou
揦埋口面,la'mai'kou'mian
拉埋天窗,la'mai'tian'chuang
拉牛上树,la'niu'shang'shu
蜡青,la'qing
蜡青纸,la'qing'zhi
拉人,la'ren
揦屎上身,la'shi'shang'shen
邋遢,la'ta
喇尾,la'wei
揦西,la'xi
拉油,la'you
揦鲊,la'zha
揦鲊佬,la'zha'lao
揦住,la'zhu
攋吖野,lai'a'ye
赖低,lai'di
濑粉,lai'fen
来路,lai'lu
赖猫,lai'mao
濑尿虾,lai'niao'xia
濑屎,lai'shi
攋尾鸭,lai'wei'ya
烂船都仲有三斤钉,lan'chuan'dou'zhong'you'san'jin'ding
烂笪笪,lan'da'da
躝地,lan'di
烂赌,lan'du
烂饭,lan'fan
烂个唔,lan'ge'wu
烂喊,lan'han
栏河,lan'he
烂喉痧,lan'hou'sha
烂昏,lan'hun
烂昏猪,lan'hun'zhu
烂贱,lan'jian
榄角,lan'jiao
烂口角,lan'kou'jue
懒佬工夫,lan'lao'gong'fu
懒佬椅,lan'lao'yi
烂叻,lan'le
懒理,lan'li
揽埋死,lan'mai'si
烂命,lan'ming
烂婆,lan'po
烂融融,lan'rong'rong
揽身揽势,lan'shen'lan'shi
烂身烂势,lan'shen'lan'shi
烂生,lan'sheng
烂市,lan'shi
躝尸趷路,lan'shi'ke'lu
烂头粥,lan'tou'zhou
蓝蟹,lan'xie
烂醒,lan'xing
烂引,lan'yin
烂饮,lan'yin
烂仔,lan'zai
烂鲊鲊,lan'zha'zha
狼狈样,lang'bei'yang
筤高,lang'gao
啷高滴,lang'gao'di
狼犺样,lang'kang'yang
狼命,lang'ming
筤起,lang'qi
狼胎,lang'tai
唥钟,lang'zhong
老白公,lao'bai'gong
老白婆,lao'bai'po
老表,lao'biao
唠嘈,lao'cao
老衬,lao'chen
老抽,lao'chou
捞得起,lao'de'qi
老窦,lao'dou
老番凉茶,lao'fan'liang'cha
劳烦晒,lao'fan'shai
捞过界,lao'guo'jie
老虎乸,lao'hu'na
老虎蟹,lao'hu'xie
捞话,lao'hua
捞鸡,lao'ji
老积,lao'ji
捞家,lao'jia
捞静水,lao'jing'shui
老举,lao'ju
老糠,lao'kang
捞佬,lao'lao
捞乱骨头,lao'luan'gu'tou
老马失蹄,lao'ma'shi'ti
老懵懂,lao'meng'dong
捞面,lao'mian
老乸,lao'na
老泥,lao'ni
劳气,lao'qi
捞起,lao'qi
老千,lao'qian
老亲,lao'qin
捞哨,lao'shao
老身,lao'shen
老实,lao'shi
捞世界,lao'shi'jie
老实威,lao'shi'wei
老鼠斑,lao'shu'ban
老鼠货,lao'shu'huo
老鼠尾生疮大极有限,lao'shu'wei'sheng'chuang'da'ji'you'xian
老水,lao'shui
老土,lao'tu
老兀兀,lao'wu'wu
老西,lao'xi
老想着,lao'xiang'zhe
老行专,lao'xing'zhuan
捞汁,lao'zhi
老卓,lao'zhuo
叻币,le'bi
嘞革番薯,le'ge'fan'shu
嘞嘛,le'ma
嘞么,le'me
叻女,le'nv
叻唔彻,le'wu'che
叻仔,le'zai
雷公,lei'gong
雷公蛇,lei'gong'she
擂棍,lei'gun
擂浆棍,lei'jiang'gun
擂烂,lei'lan
累人累物,lei'ren'lei'wu
冷饭,leng'fan
冷紧,leng'jin
冷手执个热煎堆,leng'shou'zhi'ge're'jian'dui
冷巷,leng'xiang
礼拜,li'bai
嚟得切,li'de'qie
立定心水,li'ding'xin'shui
理发店,li'fa'dian
哩啡,li'fei
嚟噶,li'ga
笠高帽,li'gao'mao
笠宫头,li'gong'tou
例规,li'gui
理几,li'ji
黎箕,li'ji
立交挢,li'jiao'jiao
哩哩啦啦,li'li'la'la
利利是是,li'li'shi'shi
立乱,li'luan
例牌,li'pai
荔浦芋,li'pu'yu
笠衫,li'shan
粒声唔出,li'sheng'wu'chu
利市,li'shi
利是,li'shi
厘士,li'shi
利是封,li'shi'feng
立实心肠,li'shi'xin'chang
力水,li'shui
脷苔,li'tai
例汤,li'tang
立体声,li'ti'sheng
离天隔丈远,li'tian'ge'zhang'yuan
嚟唔得切,li'wu'de'qie
离行离迾,li'xing'li'lie
离行离罅,li'xing'li'xia
礼衣旁,li'yi'pang
莲花,lian'hua
噒鸡骨,lian'ji'gu
链冚,lian'kan
恋恋遛遛,lian'lian'liu'liu
敛敛嘴,lian'lian'zui
连埋,lian'mai
莲藕,lian'ou
连气,lian'qi
莲蓉,lian'rong
连随,lian'sui
僆仔,lian'zai
炼猪油,lian'zhu'you
两步路,liang'bu'lu
凉茶,liang'cha
两睇,liang'di
两份,liang'fen
两公婆,liang'gong'po
两家,liang'jia
凉浸浸,liang'jin'jin
两句,liang'ju
两撇鸡,liang'pie'ji
凉水,liang'shui
两头蛇,liang'tou'she
两头唔到岸,liang'tou'wu'dao'an
两头唔受中间受,liang'tou'wu'shou'zhong'jian'shou
两仔乸,liang'zai'na
两仔爷,liang'zai'ye
撩叼掉,liao'diao'diao
撩女仔,liao'nv'zai
缭绕,liao'rao
嫽是斗非,liao'shi'dou'fei
嫽是逗非,liao'shi'dou'fei
寮屋,liao'wu
捩脚,lie'jiao
捩脚佬,lie'jiao'lao
列面,lie'mian
捩身就走,lie'shen'jiu'zou
擸网顶,lie'wang'ding
擸一眼,lie'yi'yan
冧把,lin'ba
拎包,lin'bao
冧档,lin'dang
临急临忙,lin'ji'lin'mang
冧酒,lin'jiu
林林声,lin'lin'sheng
临天光赖尿,lin'tian'guang'lai'niao
领当,ling'dang
零丁,ling'ding
灵灰,ling'hui
菱角,ling'jiao
铃啷,ling'lang
铃铃都甩埋,ling'ling'dou'shuai'mai
凌凌林林上吖楼,ling'ling'lin'lin'shang'a'lou
玲珑浮突,ling'long'fu'tu
领前,ling'qian
令人讨厌,ling'ren'tao'yan
零舍,ling'she
灵屋,ling'wu
零星落索,ling'xing'luo'suo
领野,ling'ye
流离朗荡,liu'li'lang'dang
流料,liu'liao
流流,liu'liu
留堂,liu'tang
柳条,liu'tiao
流蚊饭,liu'wen'fan
流野,liu'ye
留医,liu'yi
溜一下,liu'yi'xia
流中中,liu'zhong'zhong
龙穿凤,long'chuan'feng
龙床不如狗窦,long'chuang'bu'ru'gou'dou
龙趸,long'dun
龙虎凤,long'hu'feng
龙精虎猛,long'jing'hu'meng
窿路,long'lu
窿罅,long'xia
龙牙蕉,long'ya'jiao
龙舟,long'zhou
龙舟过庙,long'zhou'guo'miao
龙舟节,long'zhou'jie
龙舟水,long'zhou'shui
喽当,lou'dang
漏底,lou'di
楼花,lou'hua
漏鸡,lou'ji
漏口,lou'kou
漏窿,lou'long
搂搂抱抱,lou'lou'bao'bao
楼面,lou'mian
漏罅,lou'xia
渌茶,lu'cha
睩大只眼,lu'da'zhi'yan
辘地,lu'di
辘地波,lu'di'bo
辘地沙,lu'di'sha
辘架床,lu'jia'chuang
渌面,lu'mian
露台,lu'tai
卤味,lu'wei
碌柚,lu'you
挛弓,luan'gong
挛弓虾米,luan'gong'xia'mi
乱棍打死老师傅,luan'gun'da'si'lao'shi'fu
乱立立,luan'li'li
乱龙,luan'long
挛毛,luan'mao
乱晒坑,luan'shai'keng
乱葬岗,luan'zang'gang
乱糟糟,luan'zao'zao
略略,lue'lue
轮筹,lun'chou
论尽,lun'jin
轮軚,lun'tai
萝卜头,luo'bo'tou
萝卜仔,luo'bo'zai
摞彩,luo'cai
摞胆,luo'dan
落膈,luo'ge
摞过嚟,luo'guo'li
落画,luo'hua
摞景,luo'jing
摞嚟,luo'li
落嚟,luo'li
摞嚟搞,luo'li'gao
摞嚟贱,luo'li'jian
摞嚟辛苦,luo'li'xin'ku
啰啰挛,luo'luo'luan
摞命,luo'ming
落去,luo'qu
罗伞帐,luo'san'zhang
落淰水,luo'shen'shui
落手,luo'shou
落手打三更,luo'shou'da'san'geng
落手落脚,luo'shou'luo'jiao
落水,luo'shui
落水仔,luo'shui'zai
螺丝,luo'si
螺丝批,luo'si'pi
罗宋汤,luo'song'tang
落堂,luo'tang
落形,luo'xing
摞野,luo'ye
椤柚,luo'you
落雨担遮死挡,luo'yu'dan'zhe'si'dang
络住椤柚吊颈,luo'zhu'luo'you'diao'jing
绿背,lv'bei
绿牛,lv'niu
褛裙,lv'qun
律师楼,lv'shi'lou
铝砖,lv'zhuan
马场,ma'chang
马达,ma'da
马鲚,ma'ji
马家螂,ma'jia'lang
马脚,ma'jiao
马鲛郎,ma'jiao'lang
马经,ma'jing
麻叻,ma'le
马骝精,ma'liu'jing
麻麻哋,ma'ma'di
孖埋,ma'mai
马命,ma'ming
孖女,ma'nv
麻皮,ma'pi
孖铺,ma'pu
麻雀,ma'que
孖生,ma'sheng
麻石,ma'shi
马死落地行,ma'si'luo'di'xing
麻糖鸡,ma'tang'ji
马蹄,ma'ti
马伍,ma'wu
孖烟筒,ma'yan'tong
孖仔,ma'zai
马仔,ma'zai
马札,ma'zha
孖站,ma'zhan
孖指,ma'zhi
卖风,mai'feng
卖口乖,mai'kou'guai
卖懒,mai'lan
卖面光,mai'mian'guang
埋晒,mai'shai
卖剩蔗,mai'sheng'zhe
埋手,mai'shou
埋手打三更,mai'shou'da'san'geng
卖甩,mai'shuai
买水,mai'shui
买餸,mai'song
唛头,mai'tou
埋头埋脑,mai'tou'mai'nao
埋位,mai'wei
埋尾,mai'wei
埋席,mai'xi
卖鱼佬洗身冇腥冇声气,mai'yu'lao'xi'shen'mao'xing'mao'sheng'qi
埋站,mai'zhan
卖猪仔,mai'zhu'zai
慢吖慢,man'a'man
蛮班办,man'ban'ban
摱车边,man'che'bian
慢火,man'huo
蛮力,man'li
慢慢食,man'man'shi
慢慢行,man'man'xing
慢手,man'shou
满天神佛,man'tian'shen'fo
盲肠炎,mang'chang'yan
盲公,mang'gong
盲公饼,mang'gong'bing
盲公竹,mang'gong'zhu
忙狼,mang'lang
盲摸摸,mang'mo'mo
盲棋,mang'qi
芒萁,mang'qi
盲眼,mang'yan
盲蝇,mang'ying
冇吃饭,mao'chi'fan
冇胆,mao'dan
冇得弹,mao'de'dan
冇得顶,mao'de'ding
冇耳藤喼靠托,mao'er'teng'jie'kao'tuo
冇耳性,mao'er'xing
冇饭引,mao'fan'yin
冇符,mao'fu
冇嗰支歌仔唱,mao'ge'zhi'ge'zai'chang
毛古头,mao'gu'tou
冇好气,mao'hao'qi
冇计,mao'ji
冇几何,mao'ji'he
冇几久,mao'ji'jiu
冇记性,mao'ji'xing
冇解,mao'jie
毛巾毡,mao'jin'zhan
冇觉眼,mao'jue'yan
矛赖,mao'lai
茅赖,mao'lai
冇雷公距远,mao'lei'gong'ju'yuan
冇厘搭霎,mao'li'da'sha
冇厘神气,mao'li'shen'qi
冇厘头,mao'li'tou
茅寮,mao'liao
冇料到,mao'liao'dao
冇米粥,mao'mi'zhou
冇脑,mao'nao
冇你修,mao'ni'xiu
猫女,mao'nv
冇手尾,mao'shou'wei
冇术,mao'shu
冇数为,mao'shu'wei
冇所谓,mao'suo'wei
猫搲花,mao'wa'hua
冇纹路,mao'wen'lu
冇问题,mao'wen'ti
冇鞋挽屐走,mao'xie'wan'ji'zou
冇心,mao'xin
冇心装,mao'xin'zhuang
冇性,mao'xing
冇行,mao'xing
冇修,mao'xiu
冇牙老虎,mao'ya'lao'hu
冇野到,mao'ye'dao
冇引,mao'yin
冇阴功,mao'yin'gong
冇有怕,mao'you'pa
猫鱼,mao'yu
猫仔,mao'zai
冇遮冇掩,mao'zhe'mao'yan
茅竹,mao'zhu
霉菜,mei'cai
霉黕亸,mei'dan'duo
眉精眼企,mei'jing'yan'qi
美埋,mei'mai
睸埋眼,mei'mai'yan
美美仆仆,mei'mei'pu'pu
煤气,mei'qi
煤气罐,mei'qi'guan
煤气喉,mei'qi'hou
脢肉,mei'rou
煤碳屎,mei'tan'shi
眉头,mei'tou
没心情,mei'xin'qing
妹仔大过主人婆,mei'zai'da'guo'zhu'ren'po
焖鸡,men'ji
闷焗,men'ju
门坎,men'kan
门口狗,men'kou'gou
盟鼻,meng'bi
掹草,meng'cao
蒙查查,meng'cha'cha
掹姜,meng'jiang
猛距,meng'ju
盟笼,meng'long
掹埋块面,meng'mai'kuai'mian
掹猫尾,meng'mao'wei
朦朦光,meng'meng'guang
猛人,meng'ren
盟塞,meng'sai
懵上心口,meng'shang'xin'kou
蒙在鼓里,meng'zai'gu'li
掹挣,meng'zheng
矇猪,meng'zhu
蒙猪眼,meng'zhu'yan
米尺,mi'chi
米逗,mi'dou
咪高峰,mi'gao'feng
米骨,mi'gu
咪话,mi'hua
米皇,mi'huang
蜜蜡,mi'la
秘捞,mi'lao
密笼,mi'long
眯埋眼,mi'mai'yan
密密,mi'mi
迷迷懵懵,mi'mi'meng'meng
咪摸,mi'mo
米潲,mi'shao
密实,mi'shi
密实姑娘,mi'shi'gu'niang
米水,mi'shui
蜜糖,mi'tang
米筒,mi'tong
米通,mi'tong
咪头,mi'tou
迷头迷脑,mi'tou'mi'nao
密斟,mi'zhen
咪纸,mi'zhi
密厔厔,mi'zhi'zhi
面饼,mian'bing
面豉,mian'chi
面红红,mian'hong'hong
面红面绿,mian'hong'mian'lv
面黄黄,mian'huang'huang
面口,mian'kou
面裤,mian'ku
面懵懵,mian'meng'meng
面懵心精,mian'meng'xin'jing
面木木,mian'mu'mu
棉衲,mian'na
面盆,mian'pen
面青口唇白,mian'qing'kou'chun'bai
面青青,mian'qing'qing
面衫,mian'shan
棉胎,mian'tai
面圆,mian'yuan
免至,mian'zhi
面珠墩,mian'zhu'dun
乜东东,mie'dong'dong
孭飞,mie'fei
乜鬼野,mie'gui'ye
灭火喉,mie'huo'hou
乜零乜斜,mie'ling'mie'xie
乜乜物物,mie'mie'wu'wu
搣屎弗,mie'shi'fu
孭细路,mie'xi'lu
乜斜,mie'xie
乜野,mie'ye
乜值,mie'zhi
搣纸,mie'zhi
名成利就,ming'cheng'li'jiu
掵几好,ming'ji'hao
明框,ming'kuang
明年,ming'nian
命水,ming'shui
明死讲返生,ming'si'jiang'fan'sheng
明剃眼眉,ming'ti'yan'mei
明虾,ming'xia
谬俚,miu'li
墨笔,mo'bi
墨超,mo'chao
摩打,mo'da
抹地,mo'di
摩罗叉,mo'luo'cha
摸盲盲,mo'mang'mang
摸门钉,mo'men'ding
墨水笔,mo'shui'bi
摸佗,mo'tuo
摸虾,mo'xia
摸下个臀掴你个口,mo'xia'ge'tun'guai'ni'ge'kou
墨鱼,mo'yu
踎低,mou'di
踎墩,mou'dun
踎格仔,mou'ge'zai
踎监,mou'jian
踎街,mou'jie
木独,mu'du
木糠,mu'kang
木栊,mu'long
木虱,mu'shi
木梳化,mu'shu'hua
木头车,mu'tou'che
木厔,mu'zhi
那耕,na'geng
乸形,na'xing
那渣猫,na'zha'mao
耐不耐,nai'bu'nai
乃个,nai'ge
褦埋褦埋,nai'mai'nai'mai
孻女,nai'nv
孻尾,nai'wei
耐唔中,nai'wu'zhong
奶昔,nai'xi
孻仔,nai'zai
南北行,nan'bei'xing
难睇,nan'di
南风窗,nan'feng'chuang
难鲠,nan'geng
男人婆,nan'ren'po
南乳,nan'ru
南乳肉,nan'ru'rou
难上山,nan'shang'shan
难食,nan'shi
抩水,nan'shui
揇死你,nan'si'ni
南枣,nan'zao
蠰蝞,nang'mei
脑充血,nao'chong'xue
闹交,nao'jiao
挠颈,nao'jing
闹热,nao're
脑囟,nao'xin
脑囟未生埋,nao'xin'wei'sheng'mai
呢乜,ne'mie
呢呢卟卟,ne'ne'bu'bu
你吖手机漏体张台,ni'a'shou'ji'lou'ti'zhang'tai
你吃饭掵,ni'chi'fan'ming
你地两个系唔系真有野,ni'di'liang'ge'xi'wu'xi'zhen'you'ye
你个花太,ni'ge'hua'tai
你个撚样,ni'ge'nian'yang
泥口,ni'kou
抳烂,ni'lan
你毛偶啦,ni'mao'ou'la
匿匿距,ni'ni'ju
泥水佬,ni'shui'lao
你死个么,ni'si'ge'me
抳死你,ni'si'ni
泥头车,ni'tou'che
泥尾,ni'wei
你唔好话,ni'wu'hao'hua
你向边址,ni'xiang'bian'zhi
泥鸭,ni'ya
泥砖,ni'zhuan
捻好佢,nian'hao'qu
撚化,nian'hua
撚颈就命,nian'jing'jiu'ming
念口簧,nian'kou'huang
蔫韧,nian'ren
年卅晚,nian'sa'wan
拈湿距易,nian'shi'ju'yi
撚实拳头,nian'shi'quan'tou
撚手好菜,nian'shou'hao'cai
撚死佢,nian'si'qu
撚碎,nian'sui
年头,nian'tou
年尾,nian'wei
撚一下,nian'yi'xia
尿壶,niao'hu
拧辰,ning'chen
拧螺,ning'luo
拧史,ning'shi
拧甩头当凳坐,ning'shuai'tou'dang'deng'zuo
拧头,ning'tou
拧址,ning'zhi
拧转,ning'zhuan
牛白腩,niu'bai'nan
牛百页,niu'bai'ye
牛皋,niu'gao
牛高马大,niu'gao'ma'da
纽公,niu'gong
牛牯,niu'gu
牛河,niu'he
扭计,niu'ji
扭计师爷,niu'ji'shi'ye
扭计星,niu'ji'xing
牛噍牡丹,niu'jiao'mu'dan
牛精,niu'jing
牛颈,niu'jing
牛栏,niu'lan
牛力,niu'li
牛柳,niu'liu
扭六壬,niu'liu'ren
纽门,niu'men
纽乸,niu'na
牛皮灯笼点极唔明,niu'pi'deng'long'dian'ji'wu'ming
拗撬,niu'qiao
拗手瓜,niu'shou'gua
拗数口,niu'shu'kou
牛头裤,niu'tou'ku
牛王,niu'wang
扭纹,niu'wen
扭纹柴恶破,niu'wen'chai'e'po
牛唔饮水点揿得牛头低,niu'wu'yin'shui'dian'qin'de'niu'tou'di
拗腰,niu'yao
牛油果,niu'you'guo
怒死距怒,nu'si'ju'nu
暖粒粒,nuan'li'li
暖水壶,nuan'shui'hu
糯米糍,nuo'mi'ci
糯米糖糕,nuo'mi'tang'gao
懦味,nuo'wei
呕电,ou'dian
藕瓜,ou'gua
沤蕉,ou'jiao
偶佬,ou'lao
偶偶地,ou'ou'di
偶然之间,ou'ran'zhi'jian
偶人,ou'ren
藕筒,ou'tong
沤仔婆,ou'zai'po
怕吖你先至怕米贵,pa'a'ni'xian'zhi'pa'mi'gui
爬齿萝卜,pa'chi'luo'bo
怕丑,pa'chou
怕丑草,pa'chou'cao
啪纽,pa'niu
趴屎,pa'shi
拍檔,pai'dang
拍姜距拍,pai'jiang'ju'pai
派街坊,pai'jie'fang
拍马屁,pai'ma'pi
排栅,pai'shan
派士钵,pai'shi'bo
派糖,pai'tang
拍拖,pai'tuo
拍乌蝇,pai'wu'ying
拍心口,pai'xin'kou
拍硬檔,pai'ying'dang
拍纸簿,pai'zhi'bu
泡打粉,pao'da'fen
抛浪头,pao'lang'tou
抛生藕,pao'sheng'ou
泡水馆,pao'shui'guan
炮仗颈,pao'zhang'jing
炮制,pao'zhi
盆满钵满,pen'man'bo'man
棚架,peng'jia
棚寮,peng'liao
搒企,peng'qi
嘭走你,peng'zou'ni
批荡,pi'dang
皮费,pi'fei
啤盒,pi'he
皮喼,pi'jie
啤酒肚,pi'jiu'du
啤梨,pi'li
啤令,pi'ling
擗埋一二角,pi'mai'yi'er'jiao
批皮,pi'pi
披莎,pi'sha
啤实,pi'shi
批石米,pi'shi'mi
脾胃,pi'wei
辟腥,pi'xing
潎削,pi'xue
批中,pi'zhong
偏门,pian'men
片糖,pian'tang
票房,piao'fang
撇倾,pie'qing
拼沉,pin'chen
频婆,pin'po
频婆面,pin'po'mian
频扑,pin'pu
拼死拼活,pin'si'pin'huo
拼死无大害,pin'si'wu'da'hai
平淡无味,ping'dan'wu'wei
平价,ping'jia
屏埋啲钱,ping'mai'di'qian
泼吖佢,po'a'qu
婆乸,po'na
婆孙,po'sun
坡纸,po'zhi
扑飞,pu'fei
仆街,pu'jie
扑金蛋,pu'jin'dan
菩黎子,pu'li'zi
柨椂,pu'lu
浦头,pu'tou
铺头,pu'tou
仆转,pu'zhuan
起膊,qi'bo
骑膊马,qi'bo'ma
七彩,qi'cai
起菜,qi'cai
汽车大灯,qi'che'da'deng
乞嗤,qi'chi
气冲冲,qi'chong'chong
起担,qi'dan
契弟,qi'di
气垫船,qi'dian'chuan
乞儿,qi'er
乞儿相,qi'er'xiang
起骨,qi'gu
七国距乱,qi'guo'ju'luan
齐黑,qi'hei
起哄,qi'hong
起货,qi'huo
起镬,qi'huo
起镬灒水,qi'huo'cuan'shui
起价,qi'jia
契家婆,qi'jia'po
起咖,qi'ka
企理,qi'li
骑喱,qi'li
凄凉,qi'liang
骑咧,qi'lie
企领,qi'ling
骑楼,qi'lou
骑楼底,qi'lou'di
乞米,qi'mi
蜞乸,qi'na
骑牛揾马,qi'niu'wen'ma
漆皮线,qi'pi'xian
齐齐,qi'qi
齐葺葺,qi'qi'qi
捿入去,qi'ru'qu
起上嚟,qi'shang'li
企身,qi'shen
起身,qi'shen
企身煲,qi'shen'bao
企身柜,qi'shen'gui
砌生猪肉,qi'sheng'zhu'rou
乞食,qi'shi
起势,qi'shi
起水,qi'shui
气顺,qi'shun
砌死你个扑街,qi'si'ni'ge'pu'jie
起痰,qi'tan
企堂,qi'tang
起头,qi'tou
齐头,qi'tou
齐头数,qi'tou'shu
起屋,qi'wu
起心,qi'xin
七星茶,qi'xing'cha
奇异果,qi'yi'guo
起油镬,qi'you'huo
起踭,qi'zheng
齐整,qi'zheng
恰细路,qia'xi'lu
铅笔刨,qian'bi'bao
浅笔字,qian'bi'zi
前尘往事,qian'chen'wang'shi
迁出银纸,qian'chu'yin'zhi
悭俭,qian'jian
千拣万拣拣着个烂灯盏,qian'jian'wan'jian'jian'zhe'ge'lan'deng'zhan
搴开,qian'kai
前年,qian'nian
悭皮,qian'pi
千祈,qian'qi
掅起,qian'qi
钱七,qian'qi
前日,qian'ri
前世唔修,qian'shi'wu'xiu
悭头悭尾,qian'tou'qian'wei
前晚,qian'wan
钱罂,qian'ying
浅窄,qian'zhai
强梁天号,qiang'liang'tian'hao
抢手,qiang'shou
抢眼,qiang'yan
桥凳,qiao'deng
翘钉,qiao'ding
跷奇,qiao'qi
撬墙脚,qiao'qiang'jiao
荞头,qiao'tou
敲竹杠,qiao'zhu'gang
妾到死,qie'dao'si
茄哩啡,qie'li'fei
茄野,qie'ye
揿沉,qin'chen
揿钉,qin'ding
擒高搲低,qin'gao'wa'di
勤力,qin'li
亲力亲为,qin'li'qin'wei
蠄蟧,qin'liao
蠄蟧丝网,qin'liao'si'wang
擒擒青,qin'qin'qing
禽禽震,qin'qin'zhen
擒青,qin'qing
擒上树,qin'shang'shu
蠄蠴,qin'shu
噙一啖,qin'yi'dan
青哔哔,qing'bi'bi
青菜,qing'cai
轻秤,qing'cheng
青干,qing'gan
倾偈,qing'ji
情急,qing'ji
清减,qing'jian
清景,qing'jing
清酒,qing'jiu
青口,qing'kou
轻寥寥,qing'liao'liao
庆零含林,qing'ling'han'lin
倾铃哐啷,qing'ling'kuang'lang
请枪,qing'qiang
轻身,qing'shen
请食糖,qing'shi'tang
青虾,qing'xia
青蛘,qing'yang
请饮,qing'yin
轻早,qing'zao
青竹蛇,qing'zhu'she
青竹蛇仔口黄蜂尾上针,qing'zhu'she'zai'kou'huang'feng'wei'shang'zhen
青砖,qing'zhuan
穷到,qiong'dao
琼冻,qiong'dong
求其,qiu'qi
求先,qiu'xian
球证,qiu'zheng
去边址遛嚟,qu'bian'zhi'liu'li
曲尺,qu'chi
屈钉尾,qu'ding'wei
趣怪,qu'guai
去滚,qu'gun
去乃址贡翻来,qu'nai'zhi'gong'fan'lai
去浦,qu'pu
屈气,qu'qi
曲奇,qu'qi
屈头鸡,qu'tou'ji
屈厔,qu'zhi
趣致,qu'zhi
劝交,quan'jiao
搉门,que'men
雀仔,que'zi
雀仔呮呮叫,que'zi'qi'qi'jiao
裙褂,qun'gua
群埋,qun'mai
蚺蛇,ran'she
然特,ran'te
然之后,ran'zhi'hou
禳过你,rang'guo'ni
绕口,rao'kou
绕脷,rao'li
绕丝旁,rao'si'pang
热痱,re'fei
热积,re'ji
热裤,re'ku
热气饭,re'qi'fan
认吖第二冇人敢认第一,ren'a'di'er'mao'ren'gan'ren'di'yi
人板,ren'ban
认低威,ren'di'wei
人多烚狗唔腍,ren'duo'xia'gou'wu'dian
人工,ren'gong
人家,ren'jia
人精,ren'jing
认掯,ren'ken
认叻,ren'le
韧皮,ren'pi
人日,ren'ri
人事,ren'shi
忍屎忍尿好过忍你,ren'shi'ren'niao'hao'guo'ren'ni
认屎认屁,ren'shi'ren'pi
认衰仔,ren'shuai'zi
人死口唔死,ren'si'kou'wu'si
人痛,ren'tong
人头猪脑,ren'tou'zhu'nao
人细鬼大,ren'xi'gui'da
认细佬,ren'xi'lao
人渣,ren'zha
认真,ren'zhen
认住,ren'zhu
日头,ri'tou
日望夜望,ri'wang'ye'wang
日字凳,ri'zi'deng
融融烂烂,rong'rong'lan'lan
榕树须,rong'shu'xu
肉赤,rou'chi
腬喉,rou'hou
肉滑,rou'hua
肉紧,rou'jin
肉糠,rou'kang
肉色,rou'se
肉酸,rou'suan
肉痛,rou'tong
肉蟹,rou'xie
入地金牛,ru'di'jin'niu
乳鸽,ru'ge
如来佛祖,ru'lai'fo'zu
入嚟,ru'li
入笭,ru'ling
入去,ru'qu
入味,ru'wei
入息,ru'xi
软腍腍,ruan'dian'dian
软脚蟹,ruan'jiao'xie
软熟,ruan'shu
瑞瓜籽,rui'gua'zi
若果,ruo'guo
焫鸡,ruo'ji
若然之,ruo'ran'zhi
钑骨,sa'gu
飒下飒下,sa'xia'sa'xia
嘥气,sai'qi
嘥声坏气,sai'sheng'huai'qi
嘥心机挨眼昏,sai'xin'ji'ai'yan'hun
嘥野,sai'ye
三扒两拨,san'ba'liang'bo
三板斧,san'ban'fu
散春,san'chun
散檔,san'dang
三点头,san'dian'tou
三姑六婆,san'gu'liu'po
三行,san'hang
三几,san'ji
三尖八角,san'jian'ba'jiao
三脚鸡,san'jiao'ji
三六,san'liu
三蛇羹,san'she'geng
散使,san'shi
