阿达日格,a'da'ri'ge
九燕山,jiu'yan'shan
九营,jiu'ying
救援列车,jiu'yuan'lie'che
九站,jiu'zhan
旧庄窝,jiu'zhuang'wo
巨宝,ju'bao
局部电源,ju'bu'dian'yuan
局部控制电路,ju'bu'kong'zhi'dian'lu
局部控制盘,ju'bu'kong'zhi'pan
聚乐堡,ju'le'bao
巨亭,ju'ting
莒县站,ju'xian'zhan
矩形涵,ju'xing'han
遽止,ju'zhi
绝缘不良,jue'yuan'bu'liang
绝缘轨距杆,jue'yuan'gui'ju'gan
绝缘节,jue'yuan'jie
绝缘结,jue'yuan'jie
峻德,jun'de
竣工文件,jun'gong'wen'jian
均衡风缸,jun'heng'feng'gang
军户,jun'hu
军用列车,jun'yong'lie'che
喀喇其,ka'la'qi
喀拉玉尔滚,ka'la'yu'er'gun
卡路屯,ka'lu'tun
喀什,ka'shi
咔喳,ka'zha
开安,kai'an
凯北,kai'bei
开干齐,kai'gan'qi
开沟平路机,kai'gou'ping'lu'ji
开级配,kai'ji'pei
开通,kai'tong
勘测设计,kan'ce'she'ji
抗滑性能,kang'hua'xing'neng
抗滑桩,kang'hua'zhuang
抗剪强度试验,kang'jian'qiang'du'shi'yan
康金井,kang'jin'jing
康熙岭,kang'xi'ling
抗压强度,kang'ya'qiang'du
康延线,kang'yan'xian
抗折强度,kang'zhe'qiang'du
客车单机,ke'che'dan'ji
可动心轨辙叉,ke'dong'xin'gui'zhe'cha
可动翼轨辙叉,ke'dong'yi'gui'zhe'cha
柯柯,ke'ke
颗粒分析,ke'li'fen'xi
客票盖戳机,ke'piao'gai'chuo'ji
柯坪,ke'ping
柯坦,ke'tan
可调拐肘,ke'tiao'guai'zhou
客土喷播,ke'tu'pen'bo
克一河,ke'yi'he
客运列车,ke'yun'lie'che
客运站,ke'yun'zhan
客运专线,ke'yun'zhuan'xian
坑槽,keng'cao
空车直达列车,kong'che'zhi'da'lie'che
孔道位置,kong'dao'wei'zhi
孔道压浆,kong'dao'ya'jiang
孔洞,kong'dong
孔家沟,kong'jia'gou
孔垄,kong'long
空调软座普快,kong'tiao'ruan'zuo'pu'kuai
空调软座特快,kong'tiao'ruan'zuo'te'kuai
空调硬座普快,kong'tiao'ying'zuo'pu'kuai
空调硬座特快,kong'tiao'ying'zuo'te'kuai
空隙率,kong'xi'lv
控制对象,kong'zhi'dui'xiang
控制台,kong'zhi'tai
控制台单元,kong'zhi'tai'dan'yuan
扣板式扣件,kou'ban'shi'kou'jian
扣固力,kou'gu'li
扣件扣压力,kou'jian'kou'ya'li
扣件作业,kou'jian'zuo'ye
口前,kou'qian
口泉,kou'quan
口泉线,kou'quan'xian
库车,ku'che
库都尔,ku'dou'er
库尔勒,ku'er'le
苦李井,ku'li'jing
快动继电器,kuai'dong'ji'dian'qi
快动特性,kuai'dong'te'xing
快速旅客列车,kuai'su'lv'ke'lie'che
快速转辙机,kuai'su'zhuan'zhe'ji
快吸继电器,kuai'xi'ji'dian'qi
快运货物列车,kuai'yun'huo'wu'lie'che
宽轨线路,kuan'gui'xian'lu
宽轨枕,kuan'gui'zhen
宽轨枕轨道,kuan'gui'zhen'gui'dao
宽混凝土轨枕,kuan'hun'ning'tu'gui'zhen
狂飚如潮,kuang'biao'ru'chao
框构,kuang'gou
框构桥,kuang'gou'qiao
框架涵,kuang'jia'han
矿料级配,kuang'liao'ji'pei
矿区铁路,kuang'qu'tie'lu
矿渣道碴,kuang'zha'dao'cha
睽隔多年,kui'ge'duo'nian
魁岐,kui'qi
奎屯东,kui'tun'dong
奎屯西,kui'tun'xi
昆独仑召,kun'du'lun'zhao
昆都庙,kun'du'miao
昆河线,kun'he'xian
昆局昆段,kun'ju'kun'duan
昆明北,kun'ming'bei
昆明东,kun'ming'dong
昆明南,kun'ming'nan
昆明铁路局,kun'ming'tie'lu'ju
昆明西,kun'ming'xi
昆阳线,kun'yang'xian
昆玉线,kun'yu'xian
扩大基层,kuo'da'ji'ceng
拉白,la'bai
拉滨线,la'bin'xian
拉林,la'lin
喇嘛山,la'ma'shan
拉伸试验,la'shen'shi'yan
拉鲊,la'zha
砬子河,la'zi'he
濑湍,lai'tuan
莱芜东,lai'wu'dong
莱芜西,lai'wu'xi
来舟,lai'zhou
滥坝,lan'ba
栏杆滩,lan'gan'tan
兰岗,lan'gang
缆轨,lan'gui
兰家屯,lan'jia'tun
兰局兰段,lan'ju'lan'duan
兰岭,lan'ling
兰磨,lan'mo
兰青青藏线,lan'qing'qing'zang'xian
拦水梗,lan'shui'geng
缆索铁路,lan'suo'tie'lu
兰滩,lan'tan
兰新线西段,lan'xin'xian'xi'duan
蓝烟铁路,lan'yan'tie'lu
蓝烟线,lan'yan'xian
兰州铁道学院,lan'zhou'tie'dao'xue'yuan
浪河,lang'he
狼尾山,lang'wei'shan
狼窝铺,lang'wo'pu
朗乡,lang'xiang
老堡,lao'bao
劳动屯,lao'dong'tun
老府,lao'fu
老古沟,lao'gu'gou
老锅厂,lao'guo'chang
老哈河,lao'ha'he
老河口东,lao'he'kou'dong
老莱,lao'lai
老岭,lao'ling
老坪坝,lao'ping'ba
醪桥,lao'qiao
老松岭,lao'song'ling
老头沟,lao'tou'gou
老王洞,lao'wang'dong
老鸦城,lao'ya'cheng
老羊壕,lao'yang'hao
老伊尔灺,lao'yi'er'xie
乐埠,le'bu
了墩,le'dun
乐坪,le'ping
乐善村,le'shan'cun
乐素河,le'su'he
乐土驿,le'tu'yi
乐武,le'wu
乐跃,le'yue
雷达测速器,lei'da'ce'su'qi
雷电干扰,lei'dian'gan'rao
肋式,lei'shi
冷拔低碳钢丝,leng'ba'di'tan'gang'si
棱镜头,leng'jing'tou
冷拉钢筋,leng'la'gang'jin
冷水江东,leng'shui'jiang'dong
冷弯,leng'wan
冷弯性能,leng'wan'xing'neng
冷再生,leng'zai'sheng
里八庄,li'ba'zhuang
醴茶线,li'cha'xian
里程碑,li'cheng'bei
励磁电路,li'ci'dian'lu
李家店,li'jia'dian
李家屯,li'jia'tun
李家湾,li'jia'wan
里腊,li'la
里木店,li'mu'dian
沥青标号,li'qing'biao'hao
沥青大碎石,li'qing'da'sui'shi
沥青道床,li'qing'dao'chuang
沥青贯入式,li'qing'guan'ru'shi
沥青混合料,li'qing'hun'he'liao
沥青玛蹄脂,li'qing'ma'ti'zhi
沥青取样法,li'qing'qu'yang'fa
沥青闪点,li'qing'shan'dian
沥青延度,li'qing'yan'du
沥青延度试验,li'qing'yan'du'shi'yan
离去表示,li'qu'biao'shi
离去区段,li'qu'qu'duan
厉山,li'shan
砾石路面,li'shi'lu'mian
李石寨,li'shi'zhai
李市镇,li'shi'zhen
梨树湾,li'shu'wan
梨树镇,li'shu'zhen
黎塘,li'tang
立体交叉,li'ti'jiao'cha
李屯,li'tun
离析,li'xi
力学性能,li'xue'xing'neng
黎湛线,li'zhan'xian
礼州,li'zhou
莲东,lian'dong
联轨线,lian'gui'xian
联轨站,lian'gui'zhan
联合乡,lian'he'xiang
连霍高速公路,lian'huo'gao'su'gong'lu
莲江口,lian'jiang'kou
连江口,lian'jiang'kou
连接,lian'jie
连接器,lian'jie'qi
连接员,lian'jie'yuan
联控,lian'kong
联控值班员,lian'kong'zhi'ban'yuan
连山关,lian'shan'guan
联锁,lian'suo
联锁表,lian'suo'biao
联锁道岔,lian'suo'dao'cha
联锁区,lian'suo'qu
联锁图表,lian'suo'tu'biao
联系电路,lian'xi'dian'lu
连续级配,lian'xu'ji'pei
连续开级配,lian'xu'kai'ji'pei
连云港东,lian'yun'gang'dong
联运客票,lian'yun'ke'piao
连珠山,lian'zhu'shan
亮兵台,liang'bing'tai
梁场,liang'chang
两点检查,liang'dian'jian'cha
凉风垭,liang'feng'ya
凉红,liang'hong
梁家坝,liang'jia'ba
梁家渡,liang'jia'du
两阶段设计,liang'jie'duan'she'ji
梁孟,liang'meng
梁式桥,liang'shi'qiao
辆数,liang'shu
两所屯,liang'suo'tun
聊城北,liao'cheng'bei
聊城东,liao'cheng'dong
聊城东线,liao'cheng'dong'xian
辽溪线,liao'xi'xian
列车,lie'che
列车段,lie'che'duan
列车管,lie'che'guan
列车技术作业,lie'che'ji'shu'zuo'ye
列车员,lie'che'yuan
列车运行,lie'che'yun'xing
列车长,lie'che'zhang
列车自动调速,lie'che'zi'dong'tiao'su
列车自动限速,lie'che'zi'dong'xian'su
裂缝,lie'feng
列检,lie'jian
列检所,lie'jian'suo
列调,lie'tiao
列尾控制盒,lie'wei'kong'zhi'he
列尾装置,lie'wei'zhuang'zhi
临巴溪,lin'ba'xi
林碧线,lin'bi'xian
林东线,lin'dong'xian
蔺家楼,lin'jia'lou
林家台,lin'jia'tai
临江场,lin'jiang'chang
临江寺,lin'jiang'si
临客,lin'ke
临洺关,lin'ming'guan
临汝镇,lin'ru'zhen
林盛堡,lin'sheng'bao
蔺市,lin'shi
临时便线,lin'shi'bian'xian
临时补修,lin'shi'bu'xiu
临时道路,lin'shi'dao'lu
临时辅助企业,lin'shi'fu'zhu'qi'ye
临时供电设施,lin'shi'gong'dian'she'shi
临时旅客列车,lin'shi'lv'ke'lie'che
临时旅游列车,lin'shi'lv'you'lie'che
邻线干扰,lin'xian'gan'rao
临险抢护,lin'xian'qiang'hu
临沂北,lin'yi'bei
临沂北线,lin'yi'bei'xian
临沂北站,lin'yi'bei'zhan
临沂南,lin'yi'nan
临沂南线,lin'yi'nan'xian
临张线,lin'zhang'xian
林子头,lin'zi'tou
零层端子,ling'ceng'duan'zi
零担列车,ling'dan'lie'che
领工区,ling'gong'qu
凌家场,ling'jia'chang
另克,ling'ke
零口,ling'kou
陵丘,ling'qiu
灵仙庙,ling'xian'miao
零应力轨温,ling'ying'li'gui'wen
凌源东,ling'yuan'dong
六道河子,liu'dao'he'zi
六地沟,liu'di'gou
溜放,liu'fang
六个鸡,liu'ge'ji
硫磺锚固,liu'huang'mao'gu
刘家店,liu'jia'dian
刘家沟,liu'jia'gou
柳局,liu'ju
柳局南段,liu'ju'nan'duan
六里坪,liu'li'ping
柳林河,liu'lin'he
柳毛沟,liu'mao'gou
六盘水南,liu'pan'shui'nan
柳树河,liu'shu'he
柳树泉,liu'shu'quan
刘屯,liu'tun
刘伟壕,liu'wei'hao
流溪场,liu'xi'chang
流线型列车,liu'xian'xing'lie'che
六枝,liu'zhi
流值,liu'zhi
柳州南,liu'zhou'nan
柳州铁路局,liu'zhou'tie'lu'ju
龙伯屯,long'bo'tun
龙长,long'chang
龙凤场,long'feng'chang
龙骨甸,long'gu'dian
龙家堡,long'jia'bao
龙门河,long'men'he
龙门架车,long'men'jia'che
龙塘坝,long'tang'ba
龙爪沟,long'zhua'gou
漏斗车,lou'dou'che
漏浆,lou'jiang
漏解锁,lou'jie'suo
漏锁闭,lou'suo'bi
路拌法施工,lu'ban'fa'shi'gong
胪滨,lu'bin
路槽,lu'cao
路侧建筑物,lu'ce'jian'zhu'wu
芦潮港线,lu'chao'gang'xian
潞城乡,lu'cheng'xiang
鹿道,lu'dao
路堤,lu'di
鲁番,lu'fan
芦沟,lu'gou
鲁河,lu'he
六合镇,lu'he'zhen
芦洪市,lu'hong'shi
路基,lu'ji
路基病害,lu'ji'bing'hai
路基冲刷,lu'ji'chong'shua
路基防护,lu'ji'fang'hu
路基工程,lu'ji'gong'cheng
路基滑动,lu'ji'hua'dong
路基基床,lu'ji'ji'chuang
路基挤起,lu'ji'ji'qi
路基机械,lu'ji'ji'xie
路基加固,lu'ji'jia'gu
路基临界高度,lu'ji'lin'jie'gao'du
路基路面,lu'ji'lu'mian
路基渗流,lu'ji'shen'liu
路基松软,lu'ji'song'ruan
路基填方,lu'ji'tian'fang
路基铁道路基,lu'ji'tie'dao'lu'ji
路基土石方,lu'ji'tu'shi'fang
路基挖方,lu'ji'wa'fang
路基下沉,lu'ji'xia'chen
路基壅水,lu'ji'yong'shui
芦家村,lu'jia'cun
陆家崖,lu'jia'ya
芦家庄,lu'jia'zhuang
路家庄,lu'jia'zhuang
路肩,lu'jian
路口铺,lu'kou'pu
芦岭,lu'ling
路面,lu'mian
路面底基层,lu'mian'di'ji'ceng
路面垫层,lu'mian'dian'ceng
路面工程,lu'mian'gong'cheng
路面基层,lu'mian'ji'ceng
路面排水,lu'mian'pai'shui
路面弯沉仪,lu'mian'wan'chen'yi
路牌,lu'pai
路牌携带器,lu'pai'xie'dai'qi
路票,lu'piao
路堑,lu'qian
路签,lu'qian
路签携带器,lu'qian'xie'dai'qi
炉桥,lu'qiao
禄市,lu'shi
庐铜,lu'tong
泸阳,lu'yang
路用列车,lu'yong'lie'che
路缘石,lu'yuan'shi
泸州连接线,lu'zhou'lian'jie'xian
卵石道碴,luan'shi'dao'cha
乱石山,luan'shi'shan
滦县东,luan'xian'dong
轮对,lun'dui
轮轨动力学,lun'gui'dong'li'xue
轮轨关系,lun'gui'guan'xi
轮轨接触,lun'gui'jie'chu
轮轨接触应力,lun'gui'jie'chu'ying'li
轮轨游间,lun'gui'you'jian
轮轨作用力,lun'gui'zuo'yong'li
轮台,lun'tai
轮胎压路机,lun'tai'ya'lu'ji
抡头,lun'tou
轮辕,lun'yuan
轮缘槽,lun'yuan'cao
漯宝线,luo'bao'xian
罗陂岗,luo'bei'gang
罗长,luo'chang
落道,luo'dao
落地雷,luo'di'lei
洛东,luo'dong
落垡,luo'fa
罗坊,luo'fang
漯阜线漯周段,luo'fu'xian'luo'zhou'duan
倮果,luo'guo
珞璜,luo'huang
螺孔裂纹,luo'kong'lie'wen
洛满,luo'man
洛门,luo'men
罗妙真,luo'miao'zhen
罗盘地,luo'pan'di
漯平,luo'ping
螺栓扳手,luo'shuan'ban'shou
螺栓孔加强,luo'shuan'kong'jia'qiang
螺栓孔削角,luo'shuan'kong'xue'jiao
螺栓螺纹钉,luo'shuan'luo'wen'ding
骆驼城,luo'tuo'cheng
骆驼岭,luo'tuo'ling
骆驼巷,luo'tuo'xiang
螺纹道钉,luo'wen'dao'ding
螺纹钢筋,luo'wen'gang'jin
罗文皂,luo'wen'zao
螺旋筋,luo'xuan'jin
吕城,lv'cheng
绿灯,lv'deng
滤光,lv'guang
吕河,lv'he
绿黄色灯光,lv'huang'se'deng'guang
旅客列车,lv'ke'lie'che
绿色许可证,lv'se'xu'ke'zheng
绿闪,lv'shan
旅顺线,lv'shun'xian
绿潭,lv'tan
旅游列车,lv'you'lie'che
马磁线,ma'ci'xian
马镫梯,ma'deng'ti
马嘎,ma'ga
马盖图,ma'gai'tu
马过河,ma'guo'he
马河镇,ma'he'zhen
麻虎,ma'hu
马皇,ma'huang
马架子,ma'jia'zi
马角坝,ma'jiao'ba
麻栗,ma'li
马莲河,ma'lian'he
马柳,ma'liu
麻柳镇,ma'liu'zhen
麻面,ma'mian
马铺营,ma'pu'ying
马桥河,ma'qiao'he
马三家,ma'san'jia
马蹄湾,ma'ti'wan
马田墟,ma'tian'xu
麻旺,ma'wang
马尾山,ma'wei'shan
马芜,ma'wu
马相屯,ma'xiang'tun
马歇尔稳定度,ma'xie'er'wen'ding'du
麻芝铺,ma'zhi'pu
埋电缆,mai'dian'lan
满村,man'cun
满归,man'gui
满汉营,man'han'ying
漫空杖,man'kong'zhang
满砌护坡,man'qi'hu'po
漫水湾,man'shui'wan
慢行牌,man'xing'pai
盲沟,mang'gou
毛坝,mao'ba
毛坝关,mao'ba'guan
帽儿山,mao'er'shan
锚杆挡土墙,mao'gan'dang'tu'qiang
毛告吐,mao'gao'tu
锚固钢筋,mao'gu'gang'jin
冒进信号,mao'jin'xin'hao
茂名东,mao'ming'dong
茂名水高线,mao'ming'shui'gao'xian
茂舍祖,mao'she'zu
么荒,me'huang
么铺,me'pu
没赶上火车,mei'gan'shang'huo'che
梅集线,mei'ji'xian
煤矿沉陷,mei'kuang'chen'xian
煤炭直达列车,mei'tan'zhi'da'lie'che
煤窑沟,mei'yao'gou
梅子铺,mei'zi'pu
门达,men'da
闷料,men'liao
门式铺轨排机,men'shi'pu'gui'pai'ji
蒙渡,meng'du
锰钢辙叉,meng'gang'zhe'cha
孟家岗,meng'jia'gang
猛鹫山,meng'jiu'shan
孟庙,meng'miao
懵然无觉,meng'ran'wu'jue
孟溪,meng'xi
米火,mi'huo
密级配,mi'ji'pei
密马龙,mi'ma'long
米沙子,mi'sha'zi
密山西,mi'shan'xi
密贴尖轨,mi'tie'jian'gui
免渡河,mian'du'he
免费行李,mian'fei'xing'li
面冷心狠,mian'leng'xin'hen
冕山,mian'shan
勉西,mian'xi
庙坝,miao'ba
庙宫,miao'gong
庙台子,miao'tai'zi
庙头,miao'tou
庙下,miao'xia
庙阳,miao'yang
庙子沟,miao'zi'gou
乜吐硕,mie'tu'shuo
民福寺,min'fu'si
闵家屯,min'jia'tun
明安,ming'an
鸣笛标,ming'di'biao
名耆,ming'qi
明水河,ming'shui'he
明挖基础,ming'wa'ji'chu
名园古刹,ming'yuan'gu'cha
墨池坝,mo'chi'ba
墨冲,mo'chong
蘑菇滩,mo'gu'tan
磨光值,mo'guang'zhi
磨轨车,mo'gui'che
磨轨机,mo'gui'ji
磨轨列车,mo'gui'lie'che
磨耗性,mo'hao'xing
莫莫营子,mo'mo'ying'zi
模拟演练,mo'ni'yan'lian
磨溪,mo'xi
磨心坡,mo'xin'po
模板,mu'ban
目标配合比,mu'biao'pei'he'bi
沐埠岭,mu'bu'ling
木瓜坪,mu'gua'ping
木戛,mu'jia
穆家店,mu'jia'dian
牡佳线,mu'jia'xian
木里图,mu'li'tu
目露悸容,mu'lu'ji'rong
沐滂,mu'pang
牡图线,mu'tu'xian
木枕防腐,mu'zhen'fang'fu
木枕防裂装置,mu'zhen'fang'lie'zhuang'zhi
木枕开裂,mu'zhen'kai'lie
木枕刻痕,mu'zhen'ke'hen
木枕削平机,mu'zhen'xue'ping'ji
木枕预钻孔,mu'zhen'yu'zuan'kong
木枕钻孔机,mu'zhen'zuan'kong'ji
木竹河,mu'zhu'he
母子候车室,mu'zi'hou'che'shi
那林桃亥,na'lin'tao'hai
那罗,na'luo
那铺,na'pu
那玉,na'yu
耐腐蚀轨,nai'fu'shi'gui
乃林,nai'lin
耐磨轨,nai'mo'gui
奶姆庄,nai'mu'zhuang
奈字井,nai'zi'jing
南岸坝,nan'an'ba
南白镇,nan'bai'zhen
南博山,nan'bo'shan
南昌铁路局,nan'chang'tie'lu'ju
南城司,nan'cheng'si
南充东,nan'chong'dong
南充西,nan'chong'xi
南仇,nan'chou
南大庙,nan'da'miao
南店,nan'dian
南尔岗,nan'er'gang
南防,nan'fang
南防线,nan'fang'xian
南宫东,nan'gong'dong
南宫山,nan'gong'shan
南河川,nan'he'chuan
南疆线,nan'jiang'xian
南京南,nan'jing'nan
南口前,nan'kou'qian
南昆线,nan'kun'xian
南票线,nan'piao'xian
南平南,nan'ping'nan
南清扫员,nan'qing'sao'yuan
南山尾,nan'shan'wei
南塘镇,nan'tang'zhen
南洮南,nan'tao'nan
南同蒲线,nan'tong'pu'xian
南乌线,nan'wu'xian
南溪沟,nan'xi'gou
南兴安,nan'xing'an
南阳东,nan'yang'dong
南阳东线,nan'yang'dong'xian
南阳西,nan'yang'xi
南阳西线,nan'yang'xi'xian
南友支线,nan'you'zhi'xian
南杂木,nan'za'mu
讷尔克气,ne'er'ke'qi
内江东,nei'jiang'dong
内江南,nei'jiang'nan
内昆线,nei'kun'xian
内六线,nei'liu'xian
内摩阻力,nei'mo'zu'li
内燃机车,nei'ran'ji'che
内燃机车头,nei'ran'ji'che'tou
内梯透镜,nei'ti'tou'jing
内业资料,nei'ye'zi'liao
尼波,ni'bo
泥河子,ni'he'zi
泥灰结碎石,ni'hui'jie'sui'shi
泥浆比重,ni'jiang'bi'zhong
尼日,ni'ri
黏附性,nian'fu'xing
鲇鱼山,nian'yu'shan
粘着铁路,nian'zhe'tie'lu
聂河,nie'he
捏掌,nie'zhang
宁家,ning'jia
宁岢线,ning'ke'xian
宁启线林南线,ning'qi'xian'lin'nan'xian
凝思须臾,ning'si'xu'yu
宁宿,ning'su
宁为鸡头,ning'wei'ji'tou
宁西线西合段,ning'xi'xian'xi'he'duan
宁甬支线,ning'yong'zhi'xian
拧折,ning'zhe
牛耳河,niu'er'he
牛汾台,niu'fen'tai
牛家梁,niu'jia'liang
牛家营子,niu'jia'ying'zi
牛晶坪,niu'jing'ping
牛坪子,niu'ping'zi
牛驼,niu'tuo
扭歪轨道,niu'wai'gui'dao
牛心台,niu'xin'tai
农村公路,nong'cun'gong'lu
弄弄坪,nong'nong'ping
浓缩大井,nong'suo'da'jing
农乐,nong'yue
暖泉,nuan'quan
女儿河,nv'er'he
欧里,ou'li
徘徊北,pai'huai'bei
排水沟,pai'shui'gou
磐安镇,pan'an'zhen
盘关,pan'guan
盘脚营,pan'jiao'ying
盘锦北,pan'jin'bei
蟠龙镇,pan'long'zhen
盘五线,pan'wu'xian
盘西线,pan'xi'xian
抛石挤淤,pao'shi'ji'yu
配碴整形机,pei'cha'zheng'xing'ji
裴德,pei'de
配合比,pei'he'bi
喷混植生,pen'hun'zhi'sheng
喷洒除草机,pen'sa'chu'cao'ji
喷砂除锈,pen'sha'chu'xiu
盆式支座,pen'shi'zhi'zuo
棚代旅客列车,peng'dai'lv'ke'lie'che
膨胀土路基,peng'zhang'tu'lu'ji
劈柴沟,pi'chai'gou
皮口,pi'kou
疲劳伤损,pi'lao'shang'sun
劈裂枕木,pi'lie'zhen'mu
辟相机,pi'xiang'ji
僻异怪诡,pi'yi'guai'gui
偏差系数,pian'cha'xi'shu
偏岭,pian'ling
片石砼,pian'shi'tong
瓢儿屯,piao'er'tun
品甸,pin'dian
平安堡,ping'an'bao
平安驿,ping'an'yi
平底轨,ping'di'gui
平地机,ping'di'ji
平顶庙,ping'ding'miao
平顶山西,ping'ding'shan'xi
平缝,ping'feng
平岗,ping'gang
平关,ping'guan
平轨器,ping'gui'qi
平河口,ping'he'kou
平湖南,ping'hu'nan
评价指标,ping'jia'zhi'biao
平交道口,ping'jiao'dao'kou
平均断面法,ping'jun'duan'mian'fa
平口峡,ping'kou'xia
平凉南,ping'liang'nan
苹林,ping'lin
平林村,ping'lin'cun
平面布置图,ping'mian'bu'zhi'tu
平面调车,ping'mian'diao'che
平面交叉,ping'mian'jiao'cha
平面设计,ping'mian'she'ji
平面线形,ping'mian'xian'xing
平南线,ping'nan'xian
平齐线,ping'qi'xian
平曲线,ping'qu'xian
平汝线,ping'ru'xian
平社,ping'she
坪头,ping'tou
平旺,ping'wang
凭祥北,ping'xiang'bei
平行渡线,ping'xing'du'xian
平型双头夹板,ping'xing'shuang'tou'jia'ban
平原堡,ping'yuan'bao
平整度仪,ping'zheng'du'yi
屏转换,ping'zhuan'huan
平庄,ping'zhuang
平庄南,ping'zhuang'nan
坡底村,po'di'cun
坡底下,po'di'xia
坡度,po'du
坡度标,po'du'biao
坡度折减,po'du'zhe'jian
坡面防护,po'mian'fang'hu
蒲坝,pu'ba
铺草皮,pu'cao'pi
铺碴,pu'cha
铺碴车,pu'cha'che
铺碴机,pu'cha'ji
铺道碴,pu'dao'cha
铺道岔机,pu'dao'cha'ji
浦东线阮四段,pu'dong'xian'ruan'si'duan
普洱渡,pu'er'du
铺轨基地,pu'gui'ji'di
铺轨列车,pu'gui'lie'che
蒲家,pu'jia
铺砌工程,pu'qi'gong'cheng
蒲山店,pu'shan'dian
铺设无缝线路,pu'she'wu'feng'xian'lu
普舍寨,pu'she'zhai
葡萄菁,pu'tao'jing
普通列车,pu'tong'lie'che
普通旅客快车,pu'tong'lv'ke'kuai'che
普通旅客列车,pu'tong'lv'ke'lie'che
普通旅客慢车,pu'tong'lv'ke'man'che
普雄,pu'xiong
铺枕机,pu'zhen'ji
齐昂线,qi'ang'xian
奇奥,qi'ao
奇奥不测,qi'ao'bu'ce
齐北线,qi'bei'xian
起拨道机,qi'bo'dao'ji
起拨道器,qi'bo'dao'qi
起道,qi'dao
起道钉机,qi'dao'ding'ji
起道钉器,qi'dao'ding'qi
起道器,qi'dao'qi
起道修,qi'dao'xiu
七甸,qi'dian
启动电路,qi'dong'dian'lu
奇峰塔,qi'feng'ta
旗杆底,qi'gan'di
齐哈日格图,qi'ha'ri'ge'tu
骑鹤西归,qi'he'xi'gui
齐红线,qi'hong'xian
祁家堡,qi'jia'bao
七家子,qi'jia'zi
七间房,qi'jian'fang
七龙星,qi'long'xing
七泉湖,qi'quan'hu
七苏木,qi'su'mu
其他词汇,qi'ta'ci'hui
弃土场,qi'tu'chang
祁文,qi'wen
旗下营,qi'xia'ying
气压信号,qi'ya'xin'hao
七眼桥,qi'yan'qiao
七营,qi'ying
欠超高,qian'chao'gao
前甸,qian'dian
黔桂线,qian'gui'xian
千河,qian'he
钱家店,qian'jia'dian
前进镇,qian'jin'zhen
前磨头,qian'mo'tou
铅山西,qian'shan'xi
前十家,qian'shi'jia
前窑,qian'yao
牵引重量,qian'yin'zhong'liang
前寨,qian'zhai
强磁机,qiang'ci'ji
强制内接,qiang'zhi'nei'jie
强制式搅拌楼,qiang'zhi'shi'jiao'ban'lou
桥规,qiao'gui
桥涵,qiao'han
桥涵表,qiao'han'biao
桥涵扩孔,qiao'han'kuo'kong
桥梁,qiao'liang
桥梁标,qiao'liang'biao
桥梁高度,qiao'liang'gao'du
桥梁涵洞,qiao'liang'han'dong
桥梁涵洞工程,qiao'liang'han'dong'gong'cheng
桥梁横向刚度,qiao'liang'heng'xiang'gang'du
桥梁检定试验,qiao'liang'jian'ding'shi'yan
桥梁孔径不足,qiao'liang'kong'jing'bu'zu
桥梁挠度,qiao'liang'nao'du
桥梁浅基,qiao'liang'qian'ji
桥梁浅基防护,qiao'liang'qian'ji'fang'hu
桥梁上拱度,qiao'liang'shang'gong'du
桥梁实验车,qiao'liang'shi'yan'che
桥梁下部构造,qiao'liang'xia'bu'gou'zao
桥梁枕木,qiao'liang'zhen'mu
桥梁支座,qiao'liang'zhi'zuo
桥梁自振频率,qiao'liang'zi'zhen'pin'lv
桥面连续,qiao'mian'lian'xu
桥面铺装,qiao'mian'pu'zhuang
桥上轨道结构,qiao'shang'gui'dao'jie'gou
桥隧病害整治,qiao'sui'bing'hai'zheng'zhi
桥隧车,qiao'sui'che
桥隧大修,qiao'sui'da'xiu
桥隧改造,qiao'sui'gai'zao
桥隧经常保养,qiao'sui'jing'chang'bao'yang
桥隧巡守,qiao'sui'xun'shou
桥隧巡守工,qiao'sui'xun'shou'gong
桥隧养护,qiao'sui'yang'hu
桥隧综合维修,qiao'sui'zong'he'wei'xiu
桥头引线,qiao'tou'yin'xian
桥圩,qiao'xu
桥枕,qiao'zhen
桥址水文观测,qiao'zhi'shui'wen'guan'ce
切线型道岔,qie'xian'xing'dao'cha
茄子溪,qie'zi'xi
钦北线,qin'bei'xian
勤丰营,qin'feng'ying
沁河北,qin'he'bei
秦淮支线,qin'huai'zhi'xian
覃家坝,qin'jia'ba
秦家庄,qin'jia'zhuang
秦岭隧道,qin'ling'sui'dao
秦沈客运专线,qin'shen'ke'yun'zhuan'xian
秦沈专线,qin'shen'zhuan'xian
亲水系数,qin'shui'xi'shu
钦州东,qin'zhou'dong
轻便轨道轮车,qing'bian'gui'dao'lun'che
轻便铁路,qing'bian'tie'lu
清表,qing'biao
轻不着力,qing'bu'zhao'li
青堆子,qing'dui'zi
青杠,qing'gang
青红高速公路,qing'hong'gao'su'gong'lu
晴空如洗,qing'kong'ru'xi
清理与挖除,qing'li'yu'wa'chu
清凉店,qing'liang'dian
青岭子,qing'ling'zi
清扫员,qing'sao'yuan
清筛道床,qing'shai'dao'chuang
青石栏杆,qing'shi'lan'gan
清水沟,qing'shui'gou
清水河西,qing'shui'he'xi
青水山,qing'shui'shan
清泰坡,qing'tai'po
青威高速公路,qing'wei'gao'su'gong'lu
清啸,qing'xiao
