按电钮点焊,an'dian'niu'dian'han
滚压电阻缝焊,gun'ya'dian'zu'feng'han
滚压焊,gun'ya'han
过度频率,guo'du'pin'lv
过渡区,guo'du'qu
过渡液相扩散焊,guo'du'ye'xiang'kuo'san'han
过焊,guo'han
国际焊接学会,guo'ji'han'jie'xue'hui
锅壳,guo'ke
锅壳式锅炉,guo'ke'shi'guo'lu
过冷沸腾,guo'leng'fei'teng
过量空气系数,guo'liang'kong'qi'xi'shu
锅炉本体,guo'lu'ben'ti
锅炉范围内管道,guo'lu'fan'wei'nei'guan'dao
锅炉改造,guo'lu'gai'zao
锅炉构架,guo'lu'gou'jia
锅炉管束,guo'lu'guan'shu
锅炉焊缝加强,guo'lu'han'feng'jia'qiang
锅炉机组,guo'lu'ji'zu
锅炉炉墙,guo'lu'lu'qiang
锅炉启动,guo'lu'qi'dong
锅炉汽水系统,guo'lu'qi'shui'xi'tong
锅炉热力计算,guo'lu're'li'ji'suan
锅炉热损失,guo'lu're'sun'shi
锅炉热效率,guo'lu're'xiao'lv
锅炉受压元件强度计算,guo'lu'shou'ya'yuan'jian'qiang'du'ji'suan
锅炉水动力计算,guo'lu'shui'dong'li'ji'suan
锅炉水循环,guo'lu'shui'xun'huan
锅炉烟风阻力计算,guo'lu'yan'feng'zu'li'ji'suan
过热器,guo're'qi
过热区,guo're'qu
过热组织,guo're'zu'zhi
锅水,guo'shui
锅水浓度,guo'shui'nong'du
锅筒,guo'tong
锅筒内部装置,guo'tong'nei'bu'zhuang'zhi
锅筒起吊,guo'tong'qi'diao
铪焊丝,ha'han'si
氦电弧焊,hai'dian'hu'han
氦弧焊,hai'hu'han
氦弧焊法,hai'hu'han'fa
海利亚克法焊接,hai'li'ya'ke'fa'han'jie
氦气保护焊接,hai'qi'bao'hu'han'jie
焊把,han'ba
焊疤,han'ba
焊棒,han'bang
焊波,han'bo
焊补,han'bu
焊部裂纹,han'bu'lie'wen
焊材,han'cai
焊层,han'ceng
焊车,han'che
焊程,han'cheng
焊穿,han'chuan
焊道,han'dao
焊道裂纹,han'dao'lie'wen
焊道下裂纹,han'dao'xia'lie'wen
焊道纵向弯曲试验,han'dao'zong'xiang'wan'qu'shi'yan
焊点距,han'dian'ju
焊点熔核,han'dian'rong'he
焊粉,han'fen
焊封,han'feng
焊缝凹度,han'feng'ao'du
焊缝背垫,han'feng'bei'dian
焊缝背面,han'feng'bei'mian
焊缝编号,han'feng'bian'hao
焊缝边界,han'feng'bian'jie
焊缝边缘,han'feng'bian'yuan
焊缝表面,han'feng'biao'mian
焊缝表面边缘,han'feng'biao'mian'bian'yuan
焊缝波纹,han'feng'bo'wen
焊缝补强,han'feng'bu'qiang
焊缝补强金属,han'feng'bu'qiang'jin'shu
焊缝长度,han'feng'chang'du
焊缝衬垫,han'feng'chen'dian
焊缝成形,han'feng'cheng'xing
焊缝成形系数,han'feng'cheng'xing'xi'shu
焊缝尺寸,han'feng'chi'cun
焊缝尺寸不对,han'feng'chi'cun'bu'dui
焊缝代号,han'feng'dai'hao
焊缝的,han'feng'de
焊缝的有效长度,han'feng'de'you'xiao'chang'du
焊缝的余高,han'feng'de'yu'gao
焊缝对口错边量,han'feng'dui'kou'cuo'bian'liang
焊缝反面加强,han'feng'fan'mian'jia'qiang
焊缝反面坡口,han'feng'fan'mian'po'kou
焊缝符号,han'feng'fu'hao
焊缝腐蚀,han'feng'fu'shi
焊缝高度,han'feng'gao'du
焊缝根部,han'feng'gen'bu
焊缝根部钝边,han'feng'gen'bu'dun'bian
焊缝根部间隙,han'feng'gen'bu'jian'xi
焊缝管,han'feng'guan
焊缝合格,han'feng'he'ge
焊缝厚度,han'feng'hou'du
焊缝记号,han'feng'ji'hao
焊缝计算厚度,han'feng'ji'suan'hou'du
焊缝加厚,han'feng'jia'hou
焊缝加强,han'feng'jia'qiang
焊缝检测规,han'feng'jian'ce'gui
焊缝检查规,han'feng'jian'cha'gui
焊缝间距,han'feng'jian'ju
焊缝减弱系数,han'feng'jian'ruo'xi'shu
焊缝角变形,han'feng'jiao'bian'xing
焊缝接管,han'feng'jie'guan
焊缝结晶形态,han'feng'jie'jing'xing'tai
焊缝接距,han'feng'jie'ju
焊缝界面,han'feng'jie'mian
焊缝金属,han'feng'jin'shu
焊缝金属的公称拉伸强度,han'feng'jin'shu'de'gong'cheng'la'shen'qiang'du
焊缝金属裂纹,han'feng'jin'shu'lie'wen
焊缝金属裂纹试验,han'feng'jin'shu'lie'wen'shi'yan
焊缝金属区,han'feng'jin'shu'qu
焊缝晶间腐蚀,han'feng'jing'jian'fu'shi
焊缝距,han'feng'ju
焊缝卡规,han'feng'ka'gui
焊缝开裂,han'feng'kai'lie
焊缝孔隙,han'feng'kong'xi
焊缝宽度,han'feng'kuan'du
焊缝量规,han'feng'liang'gui
焊缝裂纹,han'feng'lie'wen
焊缝隆起,han'feng'long'qi
焊缝面,han'feng'mian
焊缝坡口根部半径,han'feng'po'kou'gen'bu'ban'jing
焊缝坡口加工,han'feng'po'kou'jia'gong
焊缝破裂,han'feng'po'lie
焊缝气孔,han'feng'qi'kong
焊缝强度,han'feng'qiang'du
焊缝倾角,han'feng'qing'jiao
焊缝清理机,han'feng'qing'li'ji
焊缝区,han'feng'qu
焊缝熔敷,han'feng'rong'fu
焊缝熔合线,han'feng'rong'he'xian
焊缝熔深,han'feng'rong'shen
焊缝深宽比,han'feng'shen'kuan'bi
焊缝实际厚度,han'feng'shi'ji'hou'du
焊缝凸度,han'feng'tu'du
焊缝凸起,han'feng'tu'qi
焊缝外观,han'feng'wai'guan
焊缝线,han'feng'xian
焊缝形状,han'feng'xing'zhuang
焊缝形状不对,han'feng'xing'zhuang'bu'dui
焊缝形状系数,han'feng'xing'zhuang'xi'shu
焊缝有效长度,han'feng'you'xiao'chang'du
焊缝正面,han'feng'zheng'mian
焊缝质量检验,han'feng'zhi'liang'jian'yan
焊缝中心线,han'feng'zhong'xin'xian
焊缝轴线,han'feng'zhou'xian
焊缝转角,han'feng'zhuan'jiao
焊敷金属,han'fu'jin'shu
焊膏,han'gao
焊割工具,han'ge'gong'ju
焊割具,han'ge'ju
焊割两用炬,han'ge'liang'yong'ju
焊割两用气焊枪,han'ge'liang'yong'qi'han'qiang
焊根,han'gen
焊根裂纹,han'gen'lie'wen
焊根裂纹根部裂纹,han'gen'lie'wen'gen'bu'lie'wen
焊工班,han'gong'ban
焊工保护眼镜,han'gong'bao'hu'yan'jing
焊工保健,han'gong'bao'jian
焊工操作资格,han'gong'cao'zuo'zi'ge
焊工尘肺,han'gong'chen'fei
焊工的围裙,han'gong'de'wei'qun
焊工氟中毒,han'gong'fu'zhong'du
焊工工作,han'gong'gong'zuo
焊工合格证,han'gong'he'ge'zheng
焊工护目镜,han'gong'hu'mu'jing
焊工护目帽罩,han'gong'hu'mu'mao'zhao
焊工技术鉴定试验,han'gong'ji'shu'jian'ding'shi'yan
焊工金属烟热,han'gong'jin'shu'yan're
焊工考试,han'gong'kao'shi
焊工帽罩,han'gong'mao'zhao
焊工锰中毒,han'gong'meng'zhong'du
焊工模拟训练器,han'gong'mo'ni'xun'lian'qi
焊工培训,han'gong'pei'xun
焊工喷燃器,han'gong'pen'ran'qi
焊工升降台,han'gong'sheng'jiang'tai
焊工手持护目镜,han'gong'shou'chi'hu'mu'jing
焊工手套,han'gong'shou'tao
焊工围裙,han'gong'wei'qun
焊管机,han'guan'ji
焊管拉模,han'guan'la'mo
焊滚,han'gun
焊焊枪嘴,han'han'qiang'zui
焊合,han'he
焊合板,han'he'ban
焊合的裂缝,han'he'de'lie'feng
焊合转搭,han'he'zhuan'da
焊痕,han'hen
焊喉,han'hou
焊后锻压的,han'hou'duan'ya'de
焊后锻压的锻压焊缝,han'hou'duan'ya'de'duan'ya'han'feng
焊后热处理,han'hou're'chu'li
焊后退火,han'hou'tui'huo
焊后状态,han'hou'zhuang'tai
焊弧,han'hu
焊糊,han'hu
焊弧电压,han'hu'dian'ya
焊弧观察器,han'hu'guan'cha'qi
焊剂,han'ji
焊剂层,han'ji'ceng
焊剂层下焊,han'ji'ceng'xia'han
焊剂层下焊接,han'ji'ceng'xia'han'jie
焊剂层下自动焊,han'ji'ceng'xia'zi'dong'han
焊剂垫,han'ji'dian
焊剂垫焊,han'ji'dian'han
焊机电缆线,han'ji'dian'lan'xian
焊剂漏斗,han'ji'lou'dou
焊机输出端,han'ji'shu'chu'duan
焊机头,han'ji'tou
焊件,han'jian
焊件的大小,han'jian'de'da'xiao
焊件检查员,han'jian'jian'cha'yuan
焊件剖口,han'jian'pou'kou
焊件失效分析,han'jian'shi'xiao'fen'xi
焊件支架,han'jian'zhi'jia
焊件装配间隙,han'jian'zhuang'pei'jian'xi
焊脚,han'jiao
焊脚不等的角焊缝,han'jiao'bu'deng'de'jiao'han'feng
焊脚长度,han'jiao'chang'du
焊脚尺寸,han'jiao'chi'cun
焊角尺寸,han'jiao'chi'cun
焊接奥氏体不锈钢钢管,han'jie'ao'shi'ti'bu'xiu'gang'gang'guan
焊接板材的准备,han'jie'ban'cai'de'zhun'bei
焊接板式冷凝器,han'jie'ban'shi'leng'ning'qi
焊接保护玻璃,han'jie'bao'hu'bo'li
焊接篦条,han'jie'bi'tiao
焊接变流机,han'jie'bian'liu'ji
焊接变位机,han'jie'bian'wei'ji
焊接变形,han'jie'bian'xing
焊接变压器,han'jie'bian'ya'qi
焊接波纹管,han'jie'bo'wen'guan
焊接部件,han'jie'bu'jian
焊接补强,han'jie'bu'qiang
焊接部位,han'jie'bu'wei
焊接材料,han'jie'cai'liao
焊接材料的碳含量,han'jie'cai'liao'de'tan'han'liang
焊接材料消耗定额,han'jie'cai'liao'xiao'hao'ding'e
焊接参数记录仪,han'jie'can'shu'ji'lu'yi
焊接残余变形,han'jie'can'yu'bian'xing
焊接残余应变,han'jie'can'yu'ying'bian
焊接残余应力,han'jie'can'yu'ying'li
焊接操作,han'jie'cao'zuo
焊接操作机,han'jie'cao'zuo'ji
焊接操作者,han'jie'cao'zuo'zhe
焊接层,han'jie'ceng
焊接厂,han'jie'chang
焊接车架,han'jie'che'jia
焊接车间,han'jie'che'jian
焊接车身,han'jie'che'shen
焊接衬垫,han'jie'chen'dian
焊接沉积的清理,han'jie'chen'ji'de'qing'li
焊接程序,han'jie'cheng'xu
焊接程序评定,han'jie'cheng'xu'ping'ding
焊接尺寸,han'jie'chi'cun
焊接处,han'jie'chu
焊接吹管,han'jie'chui'guan
焊接吹管火口,han'jie'chui'guan'huo'kou
焊接次数,han'jie'ci'shu
焊接次序,han'jie'ci'xu
焊接代号,han'jie'dai'hao
焊接单头螺栓,han'jie'dan'tou'luo'shuan
焊接道次,han'jie'dao'ci
焊接导接线,han'jie'dao'jie'xian
焊接的,han'jie'de
焊接的结构,han'jie'de'jie'gou
焊接的支撑结构,han'jie'de'zhi'cheng'jie'gou
焊接地线,han'jie'di'xian
焊接垫,han'jie'dian
焊接点,han'jie'dian
焊接电弧,han'jie'dian'hu
焊接电弧电压,han'jie'dian'hu'dian'ya
焊接电弧分析仪,han'jie'dian'hu'fen'xi'yi
焊接电极,han'jie'dian'ji
焊接电缆,han'jie'dian'lan
焊接电流,han'jie'dian'liu
焊接电流衰减时间,han'jie'dian'liu'shuai'jian'shi'jian
焊接电流调节范围,han'jie'dian'liu'tiao'jie'fan'wei
焊接电流调节器,han'jie'dian'liu'tiao'jie'qi
焊接电流增加时间,han'jie'dian'liu'zeng'jia'shi'jian
焊接电路,han'jie'dian'lu
焊接电压,han'jie'dian'ya
焊接电源,han'jie'dian'yuan
焊接电阻器,han'jie'dian'zu'qi
焊接定时器,han'jie'ding'shi'qi
焊接定位滚轮,han'jie'ding'wei'gun'lun
焊接端,han'jie'duan
捍接断裂处,han'jie'duan'lie'chu
焊接断面,han'jie'duan'mian
焊接法,han'jie'fa
焊接发尘量,han'jie'fa'chen'liang
焊接发尘器,han'jie'fa'chen'qi
焊接发尘速率,han'jie'fa'chen'su'lv
焊接发电机,han'jie'fa'dian'ji
焊接阀盖,han'jie'fa'gai
焊接法兰,han'jie'fa'lan
焊接法兰连接,han'jie'fa'lan'lian'jie
焊接翻转机,han'jie'fan'zhuan'ji
焊接翻转台,han'jie'fan'zhuan'tai
焊接方法,han'jie'fang'fa
焊接方式,han'jie'fang'shi
焊接方位,han'jie'fang'wei
焊接方向,han'jie'fang'xiang
焊接飞溅,han'jie'fei'jian
焊接缝,han'jie'feng
焊接缝焊接节点,han'jie'feng'han'jie'jie'dian
焊接封装,han'jie'feng'zhuang
焊接符号,han'jie'fu'hao
焊接附件,han'jie'fu'jian
焊接腐蚀,han'jie'fu'shi
焊接钢,han'jie'gang
焊接钢管,han'jie'gang'guan
焊接钢管桩,han'jie'gang'guan'zhuang
焊接钢筋网,han'jie'gang'jin'wang
焊接钢丝网,han'jie'gang'si'wang
焊接根,han'jie'gen
焊接工,han'jie'gong
焊接工场,han'jie'gong'chang
焊接工程,han'jie'gong'cheng
焊接工程师,han'jie'gong'cheng'shi
焊接工段检验员,han'jie'gong'duan'jian'yan'yuan
焊接工具,han'jie'gong'ju
焊接工时定额,han'jie'gong'shi'ding'e
焊接工位,han'jie'gong'wei
焊接工艺,han'jie'gong'yi
焊接工艺参数,han'jie'gong'yi'can'shu
焊接工艺程序,han'jie'gong'yi'cheng'xu
焊接工艺方法,han'jie'gong'yi'fang'fa
焊接工艺规程,han'jie'gong'yi'gui'cheng
焊接工艺过程,han'jie'gong'yi'guo'cheng
焊接工艺鉴定试验记录,han'jie'gong'yi'jian'ding'shi'yan'ji'lu
焊接工艺卡,han'jie'gong'yi'ka
焊接工艺评定,han'jie'gong'yi'ping'ding
焊接工艺试验,han'jie'gong'yi'shi'yan
焊接工艺条件,han'jie'gong'yi'tiao'jian
焊接工艺指导书,han'jie'gong'yi'zhi'dao'shu
焊接工作间,han'jie'gong'zuo'jian
焊接工作台,han'jie'gong'zuo'tai
焊接构件,han'jie'gou'jian
焊接骨架,han'jie'gu'jia
焊接管,han'jie'guan
焊接罐,han'jie'guan
焊接管封头,han'jie'guan'feng'tou
焊接管套,han'jie'guan'tao
焊接规程,han'jie'gui'cheng
焊接规范,han'jie'gui'fan
焊接规范参数,han'jie'gui'fan'can'shu
焊接轨隙连接器,han'jie'gui'xi'lian'jie'qi
焊接规则,han'jie'gui'ze
焊接辊,han'jie'gun
焊接滚轮,han'jie'gun'lun
焊接滚轮架,han'jie'gun'lun'jia
焊接过程,han'jie'guo'cheng
焊接锅炉筒,han'jie'guo'lu'tong
焊接合,han'jie'he
焊接合金,han'jie'he'jin
焊接痕,han'jie'hen
焊接桁架,han'jie'heng'jia
焊接环境,han'jie'huan'jing
焊接回路,han'jie'hui'lu
焊接回转台,han'jie'hui'zhuan'tai
焊接火焰,han'jie'huo'yan
焊接机,han'jie'ji
焊接级,han'jie'ji
焊接级保护气体,han'jie'ji'bao'hu'qi'ti
焊接计划表,han'jie'ji'hua'biao
焊接机器人,han'jie'ji'qi'ren
焊接机器人工作站,han'jie'ji'qi'ren'gong'zuo'zhan
焊接机器人生产线,han'jie'ji'qi'ren'sheng'chan'xian
焊接机器人示数,han'jie'ji'qi'ren'shi'shu
焊接级气体,han'jie'ji'qi'ti
焊接技术,han'jie'ji'shu
焊接基体金属的处理,han'jie'ji'ti'jin'shu'de'chu'li
焊接机头,han'jie'ji'tou
焊接机匣,han'jie'ji'xia
焊接机械手,han'jie'ji'xie'shou
焊接机械肘,han'jie'ji'xie'zhou
焊接极氩,han'jie'ji'ya
焊接级用氩,han'jie'ji'yong'ya
焊接机组,han'jie'ji'zu
焊接架,han'jie'jia
焊接甲板,han'jie'jia'ban
焊接夹持架,han'jie'jia'chi'jia
焊接夹具,han'jie'jia'ju
焊接夹钳,han'jie'jia'qian
焊接加胀接法,han'jie'jia'zhang'jie'fa
焊接件,han'jie'jian
焊接检查,han'jie'jian'cha
焊接间隔记时器,han'jie'jian'ge'ji'shi'qi
焊接间距,han'jie'jian'ju
焊接检验,han'jie'jian'yan
焊接检验尺,han'jie'jian'yan'chi
焊接检验员,han'jie'jian'yan'yuan
焊接节点,han'jie'jie'dian
焊接结构,han'jie'jie'gou
焊接结构钢,han'jie'jie'gou'gang
焊接结构型钢,han'jie'jie'gou'xing'gang
焊接结构用轧制钢材,han'jie'jie'gou'yong'zha'zhi'gang'cai
焊接界面,han'jie'jie'mian
焊接接头,han'jie'jie'tou
焊接接头晶间腐蚀,han'jie'jie'tou'jing'jian'fu'shi
焊接接头系数,han'jie'jie'tou'xi'shu
焊接接头准备,han'jie'jie'tou'zhun'bei
焊接金属,han'jie'jin'shu
焊接金属熔化区,han'jie'jin'shu'rong'hua'qu
焊接金属组成,han'jie'jin'shu'zu'cheng
焊接炬,han'jie'ju
焊接空隙,han'jie'kong'xi
焊接框架,han'jie'kuang'jia
焊接力学,han'jie'li'xue
焊接链,han'jie'lian
焊接联结,han'jie'lian'jie
焊接连接,han'jie'lian'jie
焊接连接的切片,han'jie'lian'jie'de'qie'pian
焊接连接端,han'jie'lian'jie'duan
焊接连接密封,han'jie'lian'jie'mi'feng
焊接裂缝,han'jie'lie'feng
焊接裂纹,han'jie'lie'wen
焊接流痕,han'jie'liu'hen
焊接留量,han'jie'liu'liang
焊接螺母,han'jie'luo'mu
焊接面,han'jie'mian
焊接面罩,han'jie'mian'zhao
焊接模拟器,han'jie'mo'ni'qi
焊接泡,han'jie'pao
焊接喷灯,han'jie'pen'deng
焊接喷枪,han'jie'pen'qiang
焊接喷嘴,han'jie'pen'zui
焊接气氛,han'jie'qi'fen
焊接起来,han'jie'qi'lai
焊接气体减压器,han'jie'qi'ti'jian'ya'qi
焊接铅,han'jie'qian
焊接前的清理,han'jie'qian'de'qing'li
焊接前的预防措施,han'jie'qian'de'yu'fang'cuo'shi
焊接欠缺,han'jie'qian'que
焊接强度,han'jie'qiang'du
焊接桥,han'jie'qiao
焊接桥梁,han'jie'qiao'liang
焊接侵蚀,han'jie'qin'shi
焊接区,han'jie'qu
焊接区保护,han'jie'qu'bao'hu
焊接区晶间腐蚀,han'jie'qu'jing'jian'fu'shi
焊接缺陷,han'jie'que'xian
焊接热,han'jie're
焊接热剂,han'jie're'ji
焊接热输入,han'jie're'shu'ru
焊接热循环,han'jie're'xun'huan
焊接热循环模拟装置,han'jie're'xun'huan'mo'ni'zhuang'zhi
焊接热源,han'jie're'yuan
焊接熔池,han'jie'rong'chi
焊接熔池保护,han'jie'rong'chi'bao'hu
焊接熔敷金属清理,han'jie'rong'fu'jin'shu'qing'li
焊接溶剂,han'jie'rong'ji
焊接容器,han'jie'rong'qi
焊接容器的限制,han'jie'rong'qi'de'xian'zhi
焊接容器接头处的孔,han'jie'rong'qi'jie'tou'chu'de'kong
焊接容器试验,han'jie'rong'qi'shi'yan
焊接熔渣,han'jie'rong'zha
焊接软管,han'jie'ruan'guan
焊接筛条,han'jie'shai'tiao
焊接设备,han'jie'she'bei
焊接深度,han'jie'shen'du
焊接室,han'jie'shi
焊接试板,han'jie'shi'ban
焊接试板性能,han'jie'shi'ban'xing'neng
焊接施工,han'jie'shi'gong
焊接施工图,han'jie'shi'gong'tu
焊接式管接头,han'jie'shi'guan'jie'tou
焊接时间,han'jie'shi'jian
焊接时间的金属熔滴或飞溅,han'jie'shi'jian'de'jin'shu'rong'di'huo'fei'jian
焊接时间间隔,han'jie'shi'jian'jian'ge
焊接式平盖,han'jie'shi'ping'gai
焊接试验,han'jie'shi'yan
焊接试验室,han'jie'shi'yan'shi
焊接试样,han'jie'shi'yang
焊接式液化石油气瓶,han'jie'shi'ye'hua'shi'you'qi'ping
焊接手套,han'jie'shou'tao
焊接输入热量,han'jie'shu'ru're'liang
焊接瞬时应力,han'jie'shun'shi'ying'li
焊接顺序,han'jie'shun'xu
焊接速度,han'jie'su'du
焊接台,han'jie'tai
焊接胎架,han'jie'tai'jia
焊接套管,han'jie'tao'guan
焊接特性,han'jie'te'xing
焊接条件,han'jie'tiao'jian
焊接调节器,han'jie'tiao'jie'qi
焊接通电时间,han'jie'tong'dian'shi'jian
焊接通电时间电阻焊,han'jie'tong'dian'shi'jian'dian'zu'han
焊接头,han'jie'tou
焊接涂料,han'jie'tu'liao
焊接图象处理,han'jie'tu'xiang'chu'li
焊接图象识别,han'jie'tu'xiang'shi'bie
焊接弯头,han'jie'wan'tou
焊接网,han'jie'wang
焊接网格,han'jie'wang'ge
焊接卫生与安全,han'jie'wei'sheng'yu'an'quan
焊接微型组件,han'jie'wei'xing'zu'jian
焊接位置,han'jie'wei'zhi
焊接纹,han'jie'wen
焊接温度,han'jie'wen'du
焊接温度场,han'jie'wen'du'chang
焊接握把,han'jie'wo'ba
焊接系数,han'jie'xi'shu
焊接线,han'jie'xian
焊接线能量,han'jie'xian'neng'liang
焊接小车,han'jie'xiao'che
焊接性,han'jie'xing
焊接性窗口,han'jie'xing'chuang'kou
焊接性及其试验,han'jie'xing'ji'qi'shi'yan
焊接性能,han'jie'xing'neng
焊接性试验,han'jie'xing'shi'yan
焊接修补,han'jie'xiu'bu
焊接学术组织,han'jie'xue'shu'zu'zhi
焊接循环,han'jie'xun'huan
焊接循环周期,han'jie'xun'huan'zhou'qi
焊接压力,han'jie'ya'li
焊接压力机,han'jie'ya'li'ji
焊接烟尘,han'jie'yan'chen
焊接烟尘浓度,han'jie'yan'chen'nong'du
焊接烟尘容限浓度,han'jie'yan'chen'rong'xian'nong'du
焊接延迟时间,han'jie'yan'chi'shi'jian
焊接研究委员会,han'jie'yan'jiu'wei'yuan'hui
焊接药膏,han'jie'yao'gao
焊接要求,han'jie'yao'qiu
焊接冶金,han'jie'ye'jin
焊接冶金学,han'jie'ye'jin'xue
焊接易飞溅液,han'jie'yi'fei'jian'ye
焊接翼缘,han'jie'yi'yuan
焊接阴极,han'jie'yin'ji
焊接引线,han'jie'yin'xian
焊接应变,han'jie'ying'bian
焊接硬化,han'jie'ying'hua
焊接应力,han'jie'ying'li
焊接用材料中的碳,han'jie'yong'cai'liao'zhong'de'tan
焊接用发电机,han'jie'yong'fa'dian'ji
焊接用护脚,han'jie'yong'hu'jiao
焊接用铝热剂,han'jie'yong'lv're'ji
焊接用手套,han'jie'yong'shou'tao
焊接用输电线,han'jie'yong'shu'dian'xian
焊接用套袖,han'jie'yong'tao'xiu
焊接用氩,han'jie'yong'ya
焊接有害气体,han'jie'you'hai'qi'ti
焊接油类贮槽,han'jie'you'lei'zhu'cao
焊接预防措施,han'jie'yu'fang'cuo'shi
焊接允许的最低温度,han'jie'yun'xu'de'zui'di'wen'du
焊接辙叉,han'jie'zhe'cha
焊接整流器,han'jie'zheng'liu'qi
焊接蒸煮锅,han'jie'zheng'zhu'guo
焊接直角弯头,han'jie'zhi'jiao'wan'tou
焊接质量,han'jie'zhi'liang
焊接终了温度,han'jie'zhong'liao'wen'du
焊接轴,han'jie'zhou
焊接周期,han'jie'zhou'qi
焊接轴线,han'jie'zhou'xian
焊接贮油罐,han'jie'zhu'you'guan
焊接专家系统,han'jie'zhuan'jia'xi'tong
焊接装配,han'jie'zhuang'pei
焊接状态,han'jie'zhuang'tai
焊接装置,han'jie'zhuang'zhi
焊接自动化,han'jie'zi'dong'hua
焊接组,han'jie'zu
焊接组件,han'jie'zu'jian
焊接作业指导书,han'jie'zuo'ye'zhi'dao'shu
焊筋,han'jin
焊炬,han'ju
焊矩,han'ju
焊炬喷嘴,han'ju'pen'zui
焊矩钎焊,han'ju'qian'han
焊口,han'kou
焊拉点,han'la'dian
焊料,han'liao
焊裂缝,han'lie'feng
焊瘤,han'liu
焊轮调节器,han'lun'tiao'jie'qi
焊帽,han'mao
焊片式翅片管,han'pian'shi'chi'pian'guan
焊钳,han'qian
焊前清理,han'qian'qing'li
焊前预热,han'qian'yu're
焊枪管,han'qiang'guan
焊区尺寸,han'qu'chi'cun
焊热,han're
焊入式喷嘴,han'ru'shi'pen'zui
焊上,han'shang
含水糖醛冷凝器,han'shui'tang'quan'leng'ning'qi
含水原油,han'shui'yuan'you
焊丝惰性气体保护焊,han'si'duo'xing'qi'ti'bao'hu'han
焊丝横摆频率,han'si'heng'bai'pin'lv
焊丝间距,han'si'jian'ju
焊丝卷圈,han'si'juan'quan
焊丝盘,han'si'pan
焊丝盘绕机,han'si'pan'rao'ji
焊丝伸长,han'si'shen'chang
焊丝伸出长度,han'si'shen'chu'chang'du
焊丝送进速度,han'si'song'jin'su'du
焊丝停摆时间,han'si'ting'bai'shi'jian
焊态,han'tai
焊体,han'ti
焊条保温筒,han'tiao'bao'wen'tong
焊条电弧焊,han'tiao'dian'hu'han
焊条电弧切割,han'tiao'dian'hu'qie'ge
焊条钢丝,han'tiao'gang'si
焊条工艺性,han'tiao'gong'yi'xing
焊条焊,han'tiao'han
焊条挤压机,han'tiao'ji'ya'ji
焊条夹,han'tiao'jia
焊条夹持端,han'tiao'jia'chi'duan
焊条夹钳,han'tiao'jia'qian
焊条金属,han'tiao'jin'shu
焊条偏心度,han'tiao'pian'xin'du
焊条钳,han'tiao'qian
焊条熔化速度,han'tiao'rong'hua'su'du
焊条熔化性,han'tiao'rong'hua'xing
焊条上的焊药,han'tiao'shang'de'han'yao
焊条使用性,han'tiao'shi'yong'xing
焊条芯,han'tiao'xin
焊条芯线,han'tiao'xin'xian
焊条压涂机,han'tiao'ya'tu'ji
焊条药皮含水量,han'tiao'yao'pi'han'shui'liang
焊条引弧端,han'tiao'yin'hu'duan
焊条直径,han'tiao'zhi'jing
焊条自动涂抹机,han'tiao'zi'dong'tu'mo'ji
焊头,han'tou
焊透,han'tou
焊透率,han'tou'lv
焊透深度,han'tou'shen'du
焊网,han'wang
焊位,han'wei
焊位不当,han'wei'bu'dang
焊锡棒料,han'xi'bang'liao
焊线,han'xian
焊线机,han'xian'ji
焊线距,han'xian'ju
焊线埋弧焊,han'xian'mai'hu'han
焊向,han'xiang
焊芯,han'xin
焊修,han'xiu
焊眼,han'yan
焊药,han'yao
焊在容器底上的,han'zai'rong'qi'di'shang'de
焊渣,han'zha
焊胀,han'zhang
焊着金属,han'zhe'jin'shu
焊着率,han'zhe'lv
焊趾,han'zhi
焊制端盖,han'zhi'duan'gai
焊制法兰,han'zhi'fa'lan
焊制封头,han'zhi'feng'tou
焊制管,han'zhi'guan
焊趾裂纹,han'zhi'lie'wen
焊制铝合金,han'zhi'lv'he'jin
焊制叶轮,han'zhi'ye'lun
焊珠,han'zhu
焊珠焊接,han'zhu'han'jie
焊装平台,han'zhuang'ping'tai
焊嘴,han'zui
合缝焊接,he'feng'han'jie
合格自动焊工,he'ge'zi'dong'han'gong
合金钢气焊条,he'jin'gang'qi'han'tiao
合金过度系数,he'jin'guo'du'xi'shu
合金过渡系数,he'jin'guo'du'xi'shu
合金剂,he'jin'ji
赫利焊接,he'li'han'jie
核氢焊,he'qing'han
核氢焊机,he'qing'han'ji
黑玻璃,hei'bo'li
横摆焊道,heng'bai'han'dao
恒电压焊机,heng'dian'ya'han'ji
横缝焊接,heng'feng'han'jie
恒功率电焊机,heng'gong'lv'dian'han'ji
恒功率式焊接电源,heng'gong'lv'shi'han'jie'dian'yuan
横焊,heng'han
横焊位置,heng'han'wei'zhi
桁架式锅炉构架,heng'jia'shi'guo'lu'gou'jia
横角焊,heng'jiao'han
横角焊缝,heng'jiao'han'feng
横梁式炉排,heng'liang'shi'lu'pai
横列多丝埋弧焊,heng'lie'duo'si'mai'hu'han
横列双丝并联埋弧焊,heng'lie'shuang'si'bing'lian'mai'hu'han
横列双丝串联埋弧焊,heng'lie'shuang'si'chuan'lian'mai'hu'han
横列双丝埋弧焊,heng'lie'shuang'si'mai'hu'han
横裂纹,heng'lie'wen
恒流电焊机,heng'liu'dian'han'ji
恒流式焊接电源,heng'liu'shi'han'jie'dian'yuan
