哀情吉语本难双,ai'qing'ji'yu'ben'nan'shuang
贾文和料敌决胜,jia'wen'he'liao'di'jue'sheng
假行香罗成全义,jia'xing'xiang'luo'cheng'quan'yi
甲戌本,jia'xu'ben
贾迎春误嫁中山狼,jia'ying'chun'wu'jia'zhong'shan'lang
贾雨村风尘怀闺秀,jia'yu'cun'feng'chen'huai'gui'xiu
贾雨村归结红楼梦,jia'yu'cun'gui'jie'hong'lou'meng
假语村言,jia'yu'cun'yan
贾元春才选凤藻宫,jia'yuan'chun'cai'xuan'feng'zao'gong
佳园结构类天成,jia'yuan'jie'gou'lei'tian'cheng
假张禄延辱魏使,jia'zhang'lu'yan'ru'wei'shi
假作真时真亦假,jia'zuo'zhen'shi'zhen'yi'jia
检读,jian'du
荐杜预老将献新谋,jian'du'yu'lao'jiang'xian'xin'mou
间公者必是小人,jian'gong'zhe'bi'shi'xiao'ren
见娇娘敬济销魂,jian'jiao'niang'jing'ji'xiao'hun
兼六国混一舆图,jian'liu'guo'hun'yi'yu'tu
剑眉星眼,jian'mei'xing'yan
贱名无路附门生,jian'ming'wu'lu'fu'men'sheng
见木像魏都督丧胆,jian'mu'xiang'wei'du'du'sang'dan
见上,jian'shang
建树虽多,jian'shu'sui'duo
见斯道之流行,jian'si'dao'zhi'liu'xing
兼通洋务,jian'tong'yang'wu
践土坛晋侯主盟,jian'tu'tan'jin'hou'zhu'meng
见土仪颦卿思故里,jian'tu'yi'pin'qing'si'gu'li
见熙凤贾瑞起淫心,jian'xi'feng'jia'rui'qi'yin'xin
检寻,jian'xun
剑诛异鬼杨素丧身,jian'zhu'yi'gui'yang'su'sang'shen
姜伯约归降孔明,jiang'bo'yue'gui'xiang'kong'ming
江阔天高,jiang'kuo'tian'gao
江流僧复仇报本,jiang'liu'seng'fu'chou'bao'ben
蒋庙刘祠皆旧部,jiang'miao'liu'ci'jie'jiu'bu
将人丢尽,jiang'ren'diu'jin
江山万里横天下,jiang'shan'wan'li'heng'tian'xia
降孙皓三分归一统,jiang'sun'hao'san'fen'gui'yi'tong
讲堂,jiang'tang
降瓦岗邱瑞中计,jiang'wa'gang'qiu'rui'zhong'ji
姜维背水破大敌,jiang'wei'bei'shui'po'da'di
姜维兵败牛头山,jiang'wei'bing'bai'niu'tou'shan
姜维斗阵破邓艾,jiang'wei'dou'zhen'po'deng'ai
姜维弃粮胜魏兵,jiang'wei'qi'liang'sheng'wei'bing
将相具全才,jiang'xiang'ju'quan'cai
蒋玉函情赠茜香罗,jiang'yu'han'qing'zeng'qian'xiang'luo
绛云轩里召将飞符,jiang'yun'xuan'li'zhao'jiang'fei'fu
绛珠草,jiang'zhu'cao
校本,jiao'ben
教垂万世,jiao'chui'wan'shi
焦芳借兵沦罗寨,jiao'fang'jie'bing'lun'luo'zhai
教示,jiao'shi
教同化雨绵绵远,jiao'tong'hua'yu'mian'mian'yuan
教学斋,jiao'xue'zhai
皆代词,jie'dai'ci
劫法场石秀跳楼,jie'fa'chang'shi'xiu'tiao'lou
解军粮英雄归宋室,jie'jun'liang'ying'xiong'gui'song'shi
结来香火因缘,jie'lai'xiang'huo'yin'yuan
阶柳庭花,jie'liu'ting'hua
劫齐鲁晋昭公寻盟,jie'qi'lu'jin'zhao'gong'xun'meng
劫囚牢好汉反山东,jie'qiu'lao'hao'han'fan'shan'dong
接外孙贾母惜孤女,jie'wai'sun'jia'mu'xi'gu'nv
劫王杠咬金被捉,jie'wang'gang'yao'jin'bei'zhuo
劫乌巢孟德烧粮,jie'wu'chao'meng'de'shao'liang
嗟膝下无儿,jie'xi'xia'wu'er
揭阳岭宋江逢李俊,jie'yang'ling'song'jiang'feng'li'jun
节义词章,jie'yi'ci'zhang
结义盟王佐假名,jie'yi'meng'wang'zuo'jia'ming
解幽州姑侄相逢,jie'you'zhou'gu'zhi'xiang'feng
劫终,jie'zhong
结中等缘,jie'zhong'deng'yuan
介子推割股啖君,jie'zi'tui'ge'gu'dan'jun
介子推守志焚绵上,jie'zi'tui'shou'zhi'fen'mian'shang
锦豹子小径逢戴宗,jin'bao'zi'xiao'jing'feng'dai'zong
进不能战,jin'bu'neng'zhan
晋臣合计逐栾盈,jin'chen'he'ji'zhu'luan'ying
晋重耳周游列国,jin'chong'er'zhou'you'lie'guo
金酬外护遭魔蛰,jin'chou'wai'hu'zao'mo'zhe
晋楚城濮大交兵,jin'chu'cheng'pu'da'jiao'bing
金川人记浩然堂,jin'chuan'ren'ji'hao'ran'tang
尽瘁江闽,jin'cui'jiang'min
尽瘁鞠躬,jin'cui'ju'gong
尽瘁手擎天柱赤,jin'cui'shou'qing'tian'zhu'chi
晋悼公驾楚会萧鱼,jin'dao'gong'jia'chu'hui'xiao'yu
金道士娈淫少弟,jin'dao'shi'luan'yin'shao'di
金殿识魔谈道德,jin'dian'shi'mo'tan'dao'de
矜而不伐,jin'er'bu'fa
金公施法灭妖邪,jin'gong'shi'fa'mie'yao'xie
金寡妇贪利权受辱,jin'gua'fu'tan'li'quan'shou'ru
晋惠公大诛群臣,jin'hui'gong'da'zhu'qun'chen
晋惠公怒杀庆郑,jin'hui'gong'nu'sha'qing'zheng
金节梦虎谐婚匹,jin'jie'meng'hu'xie'hun'pi
晋景公出师救郑,jin'jing'gong'chu'shi'jiu'zheng
金兰契互剖金兰语,jin'lan'qi'hu'pou'jin'lan'yu
尽力一头还雨把,jin'li'yi'tou'hai'yu'ba
金莲解渴王潮儿,jin'lian'jie'ke'wang'chao'er
金陵,jin'ling
金陵十二钗,jin'ling'shi'er'chai
晋吕卻夜焚公宫,jin'lv'que'ye'fen'gong'gong
金满箱银满箱,jin'man'xiang'yin'man'xiang
锦毛虎义释宋江,jin'mao'hu'yi'shi'song'jiang
金木参玄见假真,jin'mu'can'xuan'jian'jia'zhen
金木垂慈救小童,jin'mu'chui'ci'jiu'xiao'tong
金木土计闹豹头山,jin'mu'tu'ji'nao'bao'tou'shan
金平府元夜观灯,jin'ping'fu'yuan'ye'guan'deng
近搴朱草,jin'qian'zhu'cao
今日是效命之秋,jin'ri'shi'xiao'ming'zhi'qiu
金声玉振,jin'sheng'yu'zhen
近世纪湘学与日争光,jin'shi'ji'xiang'xue'yu'ri'zheng'guang
晋文公伐卫破曹,jin'wen'gong'fa'wei'po'cao
晋文公守信降原,jin'wen'gong'shou'xin'jiang'yuan
今我复重来,jin'wo'fu'chong'lai
金兀术败走黄天荡,jin'wu'zhu'bai'zou'huang'tian'dang
金兀术冰冻渡黄河,jin'wu'zhu'bing'dong'du'huang'he
金兀术三曹对案再兴兵,jin'wu'zhu'san'cao'dui'an'zai'xing'bing
金兀术五路进兵,jin'wu'zhu'wu'lu'jin'bing
金兀术兴兵入寇,jin'wu'zhu'xing'bing'ru'kou
晋献公违卜立骊姬,jin'xian'gong'wei'bu'li'li'ji
今嫌紫蟒长,jin'xian'zi'mang'chang
晋襄公墨缞败秦,jin'xiang'gong'mo'sui'bai'qin
今宵红灯帐底卧鸳鸯,jin'xiao'hong'deng'zhang'di'wo'yuan'yang
今义,jin'yi
锦衣公子茁兰芽,jin'yi'gong'zi'zhuo'lan'ya
锦衣军查抄宁国府,jin'yi'jun'cha'chao'ning'guo'fu
锦衣纨绔,jin'yi'wan'ku
金营神鸟引真主,jin'ying'shen'niao'yin'zhen'zhu
金鸳鸯三宣牙牌令,jin'yuan'yang'san'xuan'ya'pai'ling
警幻仙曲演红楼梦,jing'huan'xian'qu'yan'hong'lou'meng
径回东土,jing'hui'dong'tu
荆棘岭悟能努力,jing'ji'ling'wu'neng'nu'li
经济南阳一卧龙,jing'ji'nan'yang'yi'wo'long
敬济元夜戏娇姿,jing'ji'yuan'ye'xi'jiao'zi
经济足匡时,jing'ji'zu'kuang'shi
鲸浪初平,jing'lang'chu'ping
惊谜语妻妾谏痴人,jing'mi'yu'qi'qie'jian'chi'ren
荆南良吏在,jing'nan'liang'li'zai
敬胜怠,jing'sheng'dai
经始问何年,jing'shi'wen'he'nian
荆舒,jing'shu
荆舒邹鲁同芳,jing'shu'zou'lu'tong'fang
精天文,jing'tian'wen
荆荼,jing'tu
景阳冈武松打虎,jing'yang'gang'wu'song'da'hu
净域长流功德泉,jing'yu'chang'liu'gong'de'quan
荆州城公子三求计,jing'zhou'cheng'gong'zi'san'qiu'ji
救白马曹操解重围,jiu'bai'ma'cao'cao'jie'chong'wei
九宫山解粮遇盗,jiu'gong'shan'jie'liang'yu'dao
九九数完魔灭尽,jiu'jiu'shu'wan'mo'mie'jin
九流,jiu'liu
就平处坐,jiu'ping'chu'zuo
九塞声名,jiu'sai'sheng'ming
旧世纪,jiu'shi'ji
救寿春于诠死节,jiu'shou'chun'yu'quan'si'jie
九天珠玉,jiu'tian'zhu'yu
九纹龙大闹史家村,jiu'wen'long'da'nao'shi'jia'cun
九纹龙剪迳赤松林,jiu'wen'long'jian'jing'chi'song'lin
九幽十类尽除名,jiu'you'shi'lei'jin'chu'ming
九原梦断,jiu'yuan'meng'duan
鞠躬尽瘁,ju'gong'jin'cui
据汉水赵云寡胜众,ju'han'shui'zhao'yun'gua'sheng'zhong
居近南阳生独晚,ju'jin'nan'yang'sheng'du'wan
讵料抄延瓜蔓,ju'liao'chao'yan'gua'wan
聚如春梦散如烟,ju'ru'chun'meng'san'ru'yan
举室效愚忠,ju'shi'xiao'yu'zhong
巨石咽江声,ju'shi'yan'jiang'sheng
剧时犹带吴钩看,ju'shi'you'dai'wu'gou'kan
巨眼英雄,ju'yan'ying'xiong
眷眷无穷,juan'juan'wu'qiong
觉大限吞生金自逝,jue'da'xian'tun'sheng'jin'zi'shi
厥施斯普,jue'shi'si'pu
觉世牖民,jue'shi'you'min
掘通老鹤河兀术逃生,jue'tong'lao'he'he'wu'shu'tao'sheng
掘陷坑吉青被获,jue'xian'keng'ji'qing'bei'huo
决漳河许攸献计,jue'zhang'he'xu'you'xian'ji
俊达有心结好汉,jun'da'you'xin'jie'hao'han
君来我去天东南,jun'lai'wo'qu'tian'dong'nan
军牢快手,jun'lao'kuai'shou
军民怀旧德,jun'min'huai'jiu'de
军前俱是蓬莱鸟,jun'qian'ju'shi'peng'lai'niao
君亲恩何以酬,jun'qin'en'he'yi'chou
君仁臣良,jun'ren'chen'liang
君生日日说恩情,jun'sheng'ri'ri'shuo'en'qing
君死又随人去了,jun'si'you'sui'ren'qu'le
君王筵上论妖邪,jun'wang'yan'shang'lun'yao'xie
君亦书生,jun'yi'shu'sheng
君子不器,jun'zi'bu'qi
君子所以教者五,jun'zi'suo'yi'jiao'zhe'wu
慨此日骑鲸西去,kai'ci'ri'qi'jing'xi'qu
开阁延宾,kai'ge'yan'bin
开卷,kai'juan
开口能谈天下事,kai'kou'neng'tan'tian'xia'shi
开理学之先河,kai'li'xue'zhi'xian'he
开天辟地第一人,kai'tian'pi'di'di'yi'ren
开也,kai'ye
开夜宴异兆发悲音,kai'ye'yan'yi'zhao'fa'bei'yin
开缘簿千金喜舍,kai'yuan'bu'qian'jin'xi'she
堪比武乡为将相,kan'bi'wu'xiang'wei'jiang'xiang
看大江东去,kan'da'jiang'dong'qu
看儿孙中外服官,kan'er'sun'zhong'wai'fu'guan
看氛扫越江,kan'fen'sao'yue'jiang
勘奸定罪正法栖霞岭,kan'jian'ding'zui'zheng'fa'qi'xia'ling
看来容易,kan'lai'rong'yi
看连云烽火次第澄清,kan'lian'yun'feng'huo'ci'di'cheng'qing
堪念政成天水赋同袍,kan'nian'zheng'cheng'tian'shui'fu'tong'pao
看平地长得万丈高,kan'ping'di'zhang'de'wan'zhang'gao
看群贤事业名山,kan'qun'xian'shi'ye'ming'shan
看巍峨庙宇,kan'wei'e'miao'yu
勘冤狱周三畏挂冠,kan'yuan'yu'zhou'san'wei'gua'guan
阚泽密献诈降书,kan'ze'mi'xian'zha'xiang'shu
慷慨志犹存,kang'kai'zhi'you'cun
抗天兵蛮王初受执,kang'tian'bing'man'wang'chu'shou'zhi
康熙二十六年御赐,kang'xi'er'shi'liu'nian'yu'ci
考芹,kao'qin
克杭城,ke'hang'cheng
可堪磨折几多霄,ke'kan'mo'zhe'ji'duo'xiao
可怜一炬,ke'lian'yi'ju
可奈金残玉正愁,ke'nai'jin'can'yu'zheng'chou
空谷传声,kong'gu'chuan'sheng
孔明定计捉张任,kong'ming'ding'ji'zhuo'zhang'ren
孔明二气周公瑾,kong'ming'er'qi'zhou'gong'jin
孔明挥泪斩马谡,kong'ming'hui'lei'zhan'ma'su
孔明巧布八阵图,kong'ming'qiao'bu'ba'zhen'tu
孔明三气周公瑾,kong'ming'san'qi'zhou'gong'jin
孔明一气周公瑾,kong'ming'yi'qi'zhou'gong'jin
孔明用智激周瑜,kong'ming'yong'zhi'ji'zhou'yu
孔圣出类拔萃,kong'sheng'chu'lei'ba'cui
空潭泻春,kong'tan'xie'chun
崆峒依剑上重霄,kong'tong'yi'jian'shang'chong'xiao
孔之精,kong'zhi'jing
孔子道德崇高,kong'zi'dao'de'chong'gao
孔子得意门生,kong'zi'de'yi'men'sheng
孔子为集大成者,kong'zi'wei'ji'da'cheng'zhe
寇员外喜待高僧,kou'yuan'wai'xi'dai'gao'seng
抠字,kou'zi
哭公公不闻,ku'gong'gong'bu'wen
苦绛珠魂归离恨天,ku'jiang'zhu'hun'gui'li'hen'tian
苦肉计暗取康郎,ku'rou'ji'an'qu'kang'lang
苦未逢时,ku'wei'feng'shi
苦尤娘赚入大观园,ku'you'niang'zhuan'ru'da'guan'yuan
哭祖庙一王死孝,ku'zu'miao'yi'wang'si'xiao
快绿怡红别样名,kuai'lv'yi'hong'bie'yang'ming
款斟慢饮,kuan'zhen'man'yin
款斟漫饮,kuan'zhen'man'yin
况曾保抱提携,kuang'ceng'bao'bao'ti'xie
旷敏本,kuang'min'ben
匡谬,kuang'miu
狂喜不禁,kuang'xi'bu'jin
馈金珠李肃说吕布,kui'jin'zhu'li'su'shuo'lv'bu
困司马汉将奇谋,kun'si'ma'han'jiang'qi'mou
焜耀九重诏,kun'yao'jiu'chong'zhao
阔海压死千金闸,kuo'hai'ya'si'qian'jin'zha
来何因,lai'he'yin
赖良吏默挽天心,lai'liang'li'mo'wan'tian'xin
癞头和尚,lai'tou'he'shang
癞头跣脚,lai'tou'xian'jiao
来旺儿递解徐州,lai'wang'er'di'jie'xu'zhou
来旺儿醉中谤仙,lai'wang'er'zui'zhong'bang'xian
来旺妇倚势霸成亲,lai'wang'fu'yi'shi'ba'cheng'qin
来旺偷拐孙雪娥,lai'wang'tou'guai'sun'xue'e
滥情人情误思游艺,lan'qing'ren'qing'wu'si'you'yi
兰墅,lan'shu
浪荡子情遗九龙佩,lang'dang'zi'qing'yi'jiu'long'pei
浪里白跳水上报冤,lang'li'bai'tiao'shui'shang'bao'yuan
朗月清风,lang'yue'qing'feng
嫪毐伪腐乱秦宫,lao'ai'wei'fu'luan'qin'gong
老黄忠计夺天荡山,lao'huang'zhong'ji'duo'tian'dang'shan
老泪洒西风,lao'lei'sa'xi'feng
老龙王拙计犯天条,lao'long'wang'zhuo'ji'fan'tian'tiao
老祁奚力救羊舌,lao'qi'xi'li'jiu'yang'she
老去方知蜀道难,lao'qu'fang'zhi'shu'dao'nan
老去怕伤心,lao'qu'pa'shang'xin
老人结草亢杜回,lao'ren'jie'cao'kang'du'hui
老太监引酌朝房,lao'tai'jian'yin'zhuo'chao'fang
老王婆茶坊说技,lao'wang'po'cha'fang'shuo'ji
老学究讲义警顽心,lao'xue'jiu'jiang'yi'jing'wan'xin
老学士闲征姽婳词,lao'xue'shi'xian'zheng'gui'hua'ci
老烛武缒城说秦,lao'zhu'wu'zhui'cheng'shuo'qin
乐羊子怒餟中山羹,le'yang'zi'nu'chuo'zhong'shan'geng
乐以终身,le'yi'zhong'shen
泪痕无尽笑何由,lei'hen'wu'jin'xiao'he'you
泪未全收笑又开,lei'wei'quan'shou'xiao'you'kai
泪眼看山河,lei'yan'kan'shan'he
耒阳县凤雏理事,lei'yang'xian'feng'chu'li'shi
冷二郎一冷入空门,leng'er'lang'yi'leng'ru'kong'men
冷郎君惧祸走他乡,leng'lang'jun'ju'huo'zou'ta'xiang
冷岭西来,leng'ling'xi'lai
冷子兴演说荣国府,leng'zi'xing'yan'shuo'rong'guo'fu
李春慨缔百年姻,li'chun'kai'di'bai'nian'yin
丽春院惊走王三官,li'chun'yuan'jing'zou'wang'san'guan
李次青戏答曾国藩,li'ci'qing'xi'da'zeng'guo'fan
历代中国政治得失,li'dai'zhong'guo'zheng'zhi'de'shi
吏干军咨才有几,li'gan'jun'zi'cai'you'ji
李桂姐趋炎认女,li'gui'jie'qu'yan'ren'nv
李国舅争权除黄歇,li'guo'jiu'zheng'quan'chu'huang'xie
李郭汜大交兵,li'guo'si'da'jiao'bing
力捍蜀秦,li'han'shu'qin
离合悲欢,li'he'bei'huan
离恨天,li'hen'tian
李鸿章挽左宗棠,li'hong'zhang'wan'zuo'zong'tang
骊姬巧计杀申生,li'ji'qiao'ji'sha'shen'sheng
李娇儿盗财归丽院,li'jiao'er'dao'cai'gui'li'yuan
里克两弑孤主,li'ke'liang'shi'gu'zhu
李逵打死殷天锡,li'kui'da'si'yin'tian'xi
李逵斧劈罗具人,li'kui'fu'pi'luo'ju'ren
李逵莽陷众人,li'kui'mang'xian'zhong'ren
李逵梦闹天池,li'kui'meng'nao'tian'chi
李逵寿张乔坐衙,li'kui'shou'zhang'qiao'zuo'ya
李逵元夜闹东京,li'kui'yuan'ye'nao'dong'jing
礼门义路圣贤心,li'men'yi'lu'sheng'xian'xin
李牧坚壁却桓齮,li'mu'jian'bi'que'huan'yi
黎培质挽左宗棠,li'pei'zhi'wan'zuo'zong'tang
李瓶儿病缠死孽,li'ping'er'bing'chan'si'nie
李瓶儿带病宴重阳,li'ping'er'dai'bing'yan'chong'yang
李瓶儿睹物哭官哥,li'ping'er'du'wu'ku'guan'ge
李瓶儿何家托梦,li'ping'er'he'jia'tuo'meng
李瓶儿解衣银姐,li'ping'er'jie'yi'yin'jie
李瓶儿梦诉幽情,li'ping'er'meng'su'you'qing
李瓶儿情感西门庆,li'ping'er'qing'gan'xi'men'qing
李瓶儿私语翡翠轩,li'ping'er'si'yu'fei'cui'xuan
李瓶儿许嫁蒋竹山,li'ping'er'xu'jia'jiang'zhu'shan
李瓶儿迎奸赴会,li'ping'er'ying'jian'fu'hui
李瓶姐墙头密约,li'ping'jie'qiang'tou'mi'yue
沥泉洞老蛇怪献枪,li'quan'dong'lao'she'guai'xian'qiang
沥泉山岳飞庐墓,li'quan'shan'yue'fei'lu'mu
离骚寂寞千年后,li'sao'ji'mo'qian'nian'hou
李侍郎拼命骂番王,li'shi'lang'pin'ming'ma'fan'wang
李寿蓉挽左宗棠,li'shou'rong'wan'zuo'zong'tang
李廷箫题甘肃省兰州左文襄公祠,li'ting'xiao'ti'gan'su'sheng'lan'zhou'zuo'wen'xiang'gong'ci
利物济人之德,li'wu'ji'ren'zhi'de
漓湘,li'xiang
立新君华督行赂,li'xin'jun'hua'du'xing'lu
理学开山始祖周敦颐,li'xue'kai'shan'shi'zu'zhou'dun'yi
李衙内怒打玉簪儿,li'ya'nei'nu'da'yu'zan'er
李药师计败五王,li'yao'shi'ji'bai'wu'wang
李药师预言祸变,li'yao'shi'yu'yan'huo'bian
澧育兰花,li'yu'lan'hua
李元霸王玺独收,li'yuan'ba'wang'xi'du'shou
礼乐制度,li'yue'zhi'du
连谷城子玉自杀,lian'gu'cheng'zi'yu'zi'sha
莲花洞木母逢灾,lian'hua'dong'mu'mu'feng'zai
帘栊悄悄控金钩,lian'long'qiao'qiao'kong'jin'gou
廉颇败燕杀二将,lian'po'bai'yan'sha'er'jiang
连畦菜长故园春,lian'qi'cai'chang'gu'yuan'chun
炼石补天,lian'shi'bu'tian
涟水湘山俱有灵,lian'shui'xiang'shan'ju'you'ling
濂溪,lian'xi
濂溪祠,lian'xi'ci
莲香入座清,lian'xiang'ru'zuo'qing
怜予季,lian'yu'ji
两川又痛卧龙亡,liang'chuan'you'tong'wo'long'wang
梁夫人击鼓战金山,liang'fu'ren'ji'gu'zhan'jin'shan
梁夫人炮炸失两狼,liang'fu'ren'pao'zha'shi'liang'lang
两孩儿联姻共笑嬉,liang'hai'er'lian'yin'gong'xiao'xi
两行热泪对黄华,liang'hang're'lei'dui'huang'hua
梁启超集张维霖句题,liang'qi'chao'ji'zhang'wei'lin'ju'ti
两山对峙,liang'shan'dui'zhi
梁山泊戴宗传假信,liang'shan'po'dai'zong'chuan'jia'xin
梁山泊分金大买市,liang'shan'po'fen'jin'da'mai'shi
梁山泊好汉劫法场,liang'shan'po'hao'han'jie'fa'chang
梁山泊林冲落草,liang'shan'po'lin'chong'luo'cao
梁山泊十面埋伏,liang'shan'po'shi'mian'mai'fu
梁山泊双献头,liang'shan'po'shuang'xian'tou
梁山泊吴用举戴宗,liang'shan'po'wu'yong'ju'dai'zong
梁山泊义士尊晁盖,liang'shan'po'yi'shi'zun'chao'gai
梁山泊英雄排座次,liang'shan'po'ying'xiong'pai'zuo'ci
两贤互磋道终同,liang'xian'hu'cuo'dao'zhong'tong
两眼沐日浴月,liang'yan'mu'ri'yu'yue
了然不惑,liao'ran'bu'huo
辽志,liao'zhi
烈日炎炎,lie'ri'yan'yan
林冲棒打洪教头,lin'chong'bang'da'hong'jiao'tou
林冲水寨大并火,lin'chong'shui'zhai'da'bing'huo
林冲雪夜上梁山,lin'chong'xue'ye'shang'liang'shan
林黛玉重建桃花社,lin'dai'yu'chong'jian'tao'hua'she
林黛玉焚稿断痴情,lin'dai'yu'fen'gao'duan'chi'qing
林黛玉俏语谑娇音,lin'dai'yu'qiao'yu'xue'jiao'yin
林教头刺配沧州道,lin'jiao'tou'ci'pei'cang'zhou'dao
林教头风雪山神庙,lin'jiao'tou'feng'xue'shan'shen'miao
林如海捐官扬州城,lin'ru'hai'juan'guan'yang'zhou'cheng
林太太鸳帏再战,lin'tai'tai'yuan'wei'zai'zhan
临潼山秦琼救驾,lin'tong'shan'qin'qiong'jiu'jia
懔万古此完名,lin'wan'gu'ci'wan'ming
蔺相如两屈秦王,lin'xiang'ru'liang'qu'qin'wang
林潇湘魁夺菊花诗,lin'xiao'xiang'kui'duo'ju'hua'shi
凛心箴即是官箴,lin'xin'zhen'ji'shi'guan'zhen
林则徐祠,lin'ze'xu'ci
灵幡向南浦,ling'fan'xiang'nan'pu
灵根育孕源流出,ling'gen'yu'yun'yuan'liu'chu
灵河岸,ling'he'an
令名付与史臣书,ling'ming'fu'yu'shi'chen'shu
灵旗万里送归魂,ling'qi'wan'li'song'gui'hun
灵性,ling'xing
灵隐寺进香疯僧游戏,ling'yin'si'jin'xiang'feng'seng'you'xi
灵钟衡岳,ling'zhong'heng'yue
刘璈挽左宗棠,liu'ao'wan'zuo'zong'tang
刘备自领益州牧,liu'bei'zi'ling'yi'zhou'mu
刘秉璋挽左宗棠,liu'bing'zhang'wan'zuo'zong'tang
留得小红独坐在,liu'de'xiao'hong'du'zuo'zai
刘二醉骂王六儿,liu'er'zui'ma'wang'liu'er
刘藩伯挽左宗棠,liu'fan'bo'wan'zuo'zong'tang
刘黑闼兴兵犯阙,liu'hei'ta'xing'bing'fan'que
刘皇叔北海救孔融,liu'huang'shu'bei'hai'jiu'kong'rong
刘皇叔洞房续佳偶,liu'huang'shu'dong'fang'xu'jia'ou
刘皇叔跃马过檀溪,liu'huang'shu'yue'ma'guo'tan'xi
六经责我开生面,liu'jing'ze'wo'kai'sheng'mian
六经周易犹尊,liu'jing'zhou'yi'you'zun
刘老老一进大观园,liu'lao'lao'yi'jin'da'guan'yuan
刘老老醉卧怡红院,liu'lao'lao'zui'wo'yi'hong'yuan
刘理胜魇胜求财,liu'li'sheng'yan'sheng'qiu'cai
琉璃世界白雪红梅,liu'li'shi'jie'bai'xue'hong'mei
刘鲁王纵子行凶,liu'lu'wang'zong'zi'xing'xiong
六桥三竺许重来,liu'qiao'san'zhu'xu'chong'lai
刘唐放火烧战船,liu'tang'fang'huo'shao'zhan'chuan
刘文静甘心弑旧主,liu'wen'jing'gan'xin'shi'jiu'zhu
刘文静惊心噩梦,liu'wen'jing'jing'xin'e'meng
柳下惠授词却敌,liu'xia'hui'shou'ci'que'di
刘先主遗诏托孤儿,liu'xian'zhu'yi'zhao'tuo'gu'er
刘玄德三顾草庐,liu'xuan'de'san'gu'cao'lu
刘玄德携民渡江,liu'xuan'de'xie'min'du'jiang
柳叶渚边嗔莺叱燕,liu'ye'zhu'bian'chen'ying'chi'yan
刘豫恃宠张珠盖,liu'yu'shi'chong'zhang'zhu'gai
刘豫州败走汉津口,liu'yu'zhou'bai'zou'han'jin'kou
六贼无踪,liu'zei'wu'zong
龙德正中,long'de'zheng'zhong
陇秦指疏勒,long'qin'zhi'shu'le
陋室空堂,lou'shi'kong'tang
戮崔杼庆封独相,lu'cui'zhu'qing'feng'du'xiang
陆殿下单身战五将,lu'dian'xia'dan'shen'zhan'wu'jiang
潞国年高尚平章,lu'guo'nian'gao'shang'ping'zhang
鲁桓公夫妇如齐,lu'huan'gong'fu'fu'ru'qi
卢俊义兵陷青石峪,lu'jun'yi'bing'xian'qing'shi'yu
卢俊义大战昱岭关,lu'jun'yi'da'zhan'yu'ling'guan
卢俊义大战玉田县,lu'jun'yi'da'zhan'yu'tian'xian
卢俊义分兵歙州道,lu'jun'yi'fen'bing'she'zhou'dao
卢俊义分兵宣州道,lu'jun'yi'fen'bing'xuan'zhou'dao
卢俊义活捉史文恭,lu'jun'yi'huo'zhuo'shi'wen'gong
卢俊义赚城黑夜,lu'jun'yi'zhuan'cheng'hei'ye
卢蒲癸计逐庆封,lu'pu'gui'ji'zhu'qing'feng
露气晴辉散玉盘,lu'qi'qing'hui'san'yu'pan
鲁提辖拳打镇关西,lu'ti'xia'quan'da'zhen'guan'xi
赂相府西门脱祸,lu'xiang'fu'xi'men'tuo'huo
芦雪亭争联即景诗,lu'xue'ting'zheng'lian'ji'jing'shi
陆逊营烧七百里,lu'xun'ying'shao'qi'bai'li
陆虞候火烧草料场,lu'yu'hou'huo'shao'cao'liao'chang
鲁直,lu'zhi
鲁智深大闹五台山,lu'zhi'shen'da'nao'wu'tai'shan
鲁智深大闹野猪林,lu'zhi'shen'da'nao'ye'zhu'lin
鲁智深火烧瓦罐寺,lu'zhi'shen'huo'shao'wa'guan'si
鲁智深浙江坐化,lu'zhi'shen'zhe'jiang'zuo'hua
鲁仲连不肯帝秦,lu'zhong'lian'bu'ken'di'qin
鲁庄公乾时大战,lu'zhuang'gong'qian'shi'da'zhan
鲁子敬力排众议,lu'zi'jing'li'pai'zhong'yi
陆子敬设计御敌,lu'zi'jing'she'ji'yu'di
乱草冈牛皋剪径,luan'cao'gang'niu'gao'jian'jing
乱烘烘你方唱罢我登场,luan'hong'hong'ni'fang'chang'ba'wo'deng'chang
乱蟠桃大圣偷丹,luan'pan'tao'da'sheng'tou'dan
论兵法王翦代李信,lun'bing'fa'wang'jian'dai'li'xin
论才则弟胜兄,lun'cai'ze'di'sheng'xiong
论德则兄胜弟,lun'de'ze'xiong'sheng'di
论中兴功,lun'zhong'xing'gong
罗成奋勇擒五王,luo'cheng'fen'yong'qin'wu'wang
罗成力抢状元魁,luo'cheng'li'qiang'zhuang'yuan'kui
罗成托梦示娇妻,luo'cheng'tuo'meng'shi'jiao'qi
罗典,luo'dian
落堕,luo'duo
罗谷臣挽左宗棠,luo'gu'chen'wan'zuo'zong'tang
罗穆倩挽左宗棠,luo'mu'qian'wan'zuo'zong'tang
罗山不死,luo'shan'bu'si
洛阳城曹操感神,luo'yang'cheng'cao'cao'gan'shen
吕不韦巧计归异人,lv'bu'wei'qiao'ji'gui'yi'ren
吕奉先乘夜袭徐郡,lv'feng'xian'cheng'ye'xi'xu'jun
