阿兰娜,a'lan'na
梅花明珠,mei'hua'ming'zhu
梅花曲,mei'hua'qu
梅花三弄,mei'hua'san'nong
美华社,mei'hua'she
梅花团,mei'hua'tuan
梅兰芳,mei'lan'fang
梅兰曲,mei'lan'qu
美丽的小家庭,mei'li'de'xiao'jia'ting
美丽的小鸟,mei'li'de'xiao'niao
美丽姑娘,mei'li'gu'niang
梅琳,mei'lin
梅龙镇,mei'long'zhen
妹妹我爱你,mei'mei'wo'ai'ni
妹妹我怪你,mei'mei'wo'guai'ni
梅娘曲,mei'niang'qu
美女窥装,mei'nv'kui'zhuang
美人照镜,mei'ren'zhao'jing
每日影讯,mei'ri'ying'xun
美术电影,mei'shu'dian'ying
每天二十时,mei'tian'er'shi'shi
梅翁,mei'weng
梅熹,mei'xi
妹相思,mei'xiang'si
美星电影,mei'xing'dian'ying
美音乐社,mei'yin'yue'she
美玉班,mei'yu'ban
美哉中华,mei'zai'zhong'hua
每周电影,mei'zhou'dian'ying
梦断关山,meng'duan'guan'shan
蒙古调,meng'gu'tiao
梦魂无所依,meng'hun'wu'suo'yi
孟姜女,meng'jiang'nv
梦里的恋情,meng'li'de'lian'qing
梦里是天堂,meng'li'shi'tian'tang
梦里思乡,meng'li'si'xiang
梦里相逢,meng'li'xiang'feng
梦里鸳鸯,meng'li'yuan'yang
朦胧月,meng'long'yue
梦中的你,meng'zhong'de'ni
梦中梦,meng'zhong'meng
梦中情人,meng'zhong'qing'ren
梦中人,meng'zhong'ren
梦中远别,meng'zhong'yuan'bie
觅春曲,mi'chun'qu
蜜蜂与蚂蚁,mi'feng'yu'ma'yi
米高梅影讯,mi'gao'mei'ying'xun
米老鼠,mi'lao'shu
迷离,mi'li
迷理枝,mi'li'zhi
咪咪,mi'mi
密密缝,mi'mi'feng
迷失的羊,mi'shi'de'yang
迷途的羔羊,mi'tu'de'gao'yang
弥陀佛,mi'tuo'fo
蜜意情怀,mi'yi'qing'huai
蜜月,mi'yue
面纱线,mian'sha'xian
妙音团,miao'yin'tuan
民歌集选,min'ge'ji'xuan
岷江夜曲,min'jiang'ye'qu
民生实业公司职员,min'sheng'shi'ye'gong'si'zhi'yuan
民新特刊,min'xin'te'kan
民族解放战歌,min'zu'jie'fang'zhan'ge
民族生存,min'zu'sheng'cun
民族之光,min'zu'zhi'guang
名利网,ming'li'wang
明星半月刊,ming'xing'ban'yue'kan
明星灿烂歌,ming'xing'can'lan'ge
明星家庭,ming'xing'jia'ting
明星特刊,ming'xing'te'kan
明星特写,ming'xing'te'xie
明星小画报,ming'xing'xiao'hua'bao
明星影片公司,ming'xing'ying'pian'gong'si
明星月报,ming'xing'yue'bao
明月歌舞团,ming'yue'ge'wu'tuan
明月千里寄相思,ming'yue'qian'li'ji'xiang'si
明月上高楼,ming'yue'shang'gao'lou
明月社,ming'yue'she
明月深闺,ming'yue'shen'gui
明月相思夜,ming'yue'xiang'si'ye
明月音乐会,ming'yue'yin'yue'hui
明珠,ming'zhu
摩登恋爱,mo'deng'lian'ai
摩登女郎,mo'deng'nv'lang
模范美人,mo'fan'mei'ren
莫负今宵,mo'fu'jin'xiao
莫负青春,mo'fu'qing'chun
莫记仇,mo'ji'chou
茉莉社,mo'li'she
默默无言,mo'mo'wu'yan
莫彷徨,mo'pang'huang
陌上花,mo'shang'hua
莫忘今宵,mo'wang'jin'xiao
摸鱼儿,mo'yu'er
牧歌,mu'ge
木兰辞,mu'lan'ci
木兰从军,mu'lan'cong'jun
木兰花,mu'lan'hua
木偶寄情,mu'ou'ji'qing
母亲,mu'qin
母亲的泪,mu'qin'de'lei
牧童短笛,mu'tong'duan'di
牧童歌,mu'tong'ge
木头人戏,mu'tou'ren'xi
母性之光,mu'xing'zhi'guang
牧羊,mu'yang
牧羊女,mu'yang'nv
牧野情歌,mu'ye'qing'ge
慕贞女中歌咏队,mu'zhen'nv'zhong'ge'yong'dui
母之心,mu'zhi'xin
那个不多情,na'ge'bu'duo'qing
那一天,na'yi'tian
哪一天回家乡,na'yi'tian'hui'jia'xiang
南梆子,nan'bang'zi
南岛傍晚,nan'dao'bang'wan
南岛春光,nan'dao'chun'guang
南岛之夜,nan'dao'zhi'ye
南方影片公司音乐团,nan'fang'ying'pian'gong'si'yin'yue'tuan
南风吹,nan'feng'chui
南国美人,nan'guo'mei'ren
南国乳燕,nan'guo'ru'yan
南国影后,nan'guo'ying'hou
南国影声,nan'guo'ying'sheng
南国之春,nan'guo'zhi'chun
南海美人,nan'hai'mei'ren
南海银星,nan'hai'yin'xing
南海之晨,nan'hai'zhi'chen
难民歌,nan'min'ge
囡囡的笑,nan'nan'de'xiao
南屏晚钟,nan'ping'wan'zhong
南群影业公司,nan'qun'ying'ye'gong'si
难为了妹妹,nan'wei'le'mei'mei
南熏丝竹社全班,nan'xun'si'zhu'she'quan'ban
南洋歌,nan'yang'ge
南洋画报,nan'yang'hua'bao
南洋佳偶,nan'yang'jia'ou
南粤半月刊,nan'yue'ban'yue'kan
南粤特刊,nan'yue'te'kan
南正宫,nan'zheng'gong
恼人的夜雨,nao'ren'de'ye'yu
闹头场,nao'tou'chang
闹五更,nao'wu'geng
你不见,ni'bu'jian
你不要说,ni'bu'yao'shuo
你不要说不,ni'bu'yao'shuo'bu
你不要走,ni'bu'yao'zou
霓裳队,ni'chang'dui
霓裳恨,ni'chang'hen
霓裳曲,ni'chang'qu
你到底怎么样,ni'dao'di'zen'me'yang
你的爱人就是他,ni'de'ai'ren'jiu'shi'ta
你的花儿,ni'de'hua'er
你的他,ni'de'ta
你的心里怎么样,ni'de'xin'li'zen'me'yang
你的一笑,ni'de'yi'xiao
你给我回音,ni'gei'wo'hui'yin
尼姑下山,ni'gu'xia'shan
你还不回来,ni'hai'bu'hui'lai
你惊醒我了,ni'jing'xing'wo'le
你来就知道,ni'lai'jiu'zhi'dao
你去吧,ni'qu'ba
你是否中华国民,ni'shi'fou'zhong'hua'guo'min
你是天风,ni'shi'tian'feng
逆水行舟,ni'shui'xing'zhou
你听到的歌声,ni'ting'dao'de'ge'sheng
你为什么,ni'wei'shen'me
你要歌唱,ni'yao'ge'chang
你要那一个报,ni'yao'na'yi'ge'bao
你要说明了,ni'yao'shuo'ming'le
你要我说什么,ni'yao'wo'shuo'shen'me
你也要回头想,ni'ye'yao'hui'tou'xiang
你已属于我,ni'yi'shu'yu'wo
你真美丽,ni'zhen'mei'li
念奴娇,nian'nu'jiao
念山中客,nian'shan'zhong'ke
念心经,nian'xin'jing
念血盆,nian'xue'pen
娘娘庙会,niang'niang'miao'hui
娘子军歌,niang'zi'jun'ge
鸟惊喧,niao'jing'xuan
鸟鸣春涧,niao'ming'chun'jian
鸟头林,niao'tou'lin
鸟投林,niao'tou'lin
鸟语花香,niao'yu'hua'xiang
聂耳,nie'er
孽海惊魂,nie'hai'jing'hun
孽海鸳鸯,nie'hai'yuan'yang
牛背情歌,niu'bei'qing'ge
牛郎织女,niu'lang'zhi'nv
侬本痴情,nong'ben'chi'qing
农村乐,nong'cun'le
农村之歌,nong'cun'zhi'ge
农夫歌,nong'fu'ge
农妇之歌,nong'fu'zhi'ge
农家乐,nong'jia'le
农人忙,nong'ren'mang
侬心曲,nong'xin'qu
怒吼,nu'hou
怒吼吧羔羊,nu'hou'ba'gao'yang
努力,nu'li
暖味的爱,nuan'wei'de'ai
女扮男装,nv'ban'nan'zhuang
女镖师,nv'biao'shi
女不平,nv'bu'ping
女大当家,nv'da'dang'jia
女儿娇,nv'er'jiao
女儿曲,nv'er'qu
女儿心,nv'er'xin
女工歌,nv'gong'ge
女权,nv'quan
女人,nv'ren
女神,nv'shen
女神舞,nv'shen'wu
女同学,nv'tong'xue
女性的呐喊,nv'xing'de'na'han
女性的追逐,nv'xing'de'zhui'zhu
女子公寓,nv'zi'gong'yu
偶然,ou'ran
欧阳斐莉,ou'yang'fei'li
欧阳飞莺,ou'yang'fei'ying
欧阳莎菲,ou'yang'sha'fei
欧阳予倩,ou'yang'yu'qian
怕春归,pa'chun'gui
怕分离,pa'fen'li
攀不倒,pan'bu'dao
潘迪华,pan'di'hua
盼郎归,pan'lang'gui
潘奇,pan'qi
盘丝洞,pan'si'dong
潘文娟,pan'wen'juan
潘文霞,pan'wen'xia
潘秀琼,pan'xiu'qiong
潘云云,pan'yun'yun
彷徨曲,pang'huang'qu
跑狗场,pao'gou'chang
跑马,pao'ma
佩妮,pei'ni
鹏程万里,peng'cheng'wan'li
彭剑青,peng'jian'qing
琵琶春怨,pi'pa'chun'yuan
皮鞋曲,pi'xie'qu
偏为你,pian'wei'ni
扁舟情侣,pian'zhou'qing'lv
飘泊者,piao'bo'zhe
飘零的桃花,piao'ling'de'tao'hua
飘零歌,piao'ling'ge
缥缈歌,piao'miao'ge
飘飘红,piao'piao'hong
飘香雪,piao'xiang'xue
拼命冲锋曲,pin'ming'chong'feng'qu
平湖秋月,ping'hu'qiu'yue
平沙落雁,ping'sha'luo'yan
萍水相逢,ping'shui'xiang'feng
扑蝶,pu'die
葡萄美酒,pu'tao'mei'jiu
葡萄仙子,pu'tao'xian'zi
普天乐,pu'tian'le
普陀名山真达和尚特派诸师,pu'tuo'ming'shan'zhen'da'he'shang'te'pai'zhu'shi
瀑下飞泉,pu'xia'fei'quan
七重天,qi'chong'tian
期待,qi'dai
祈祷之时这事极好,qi'dao'zhi'shi'zhe'shi'ji'hao
弃妇,qi'fu
七级浮屠,qi'ji'fu'tu
起来吧,qi'lai'ba
凄凉之夜,qi'liang'zhi'ye
绮罗香,qi'luo'xiang
骑驴,qi'lv
骑马到松江,qi'ma'dao'song'jiang
其美歌,qi'mei'ge
奇女子,qi'nv'zi
齐破阵,qi'po'zhen
七七进行曲,qi'qi'jin'xing'qu
七巧,qi'qiao
齐如山,qi'ru'shan
岐山凤,qi'shan'feng
起身早,qi'shen'zao
齐天乐,qi'tian'le
綦湘棠,qi'xiang'tang
奇异的爱情,qi'yi'de'ai'qing
岂有这样的人我不爱他,qi'you'zhe'yang'de'ren'wo'bu'ai'ta
祁云,qi'yun
祈正音,qi'zheng'yin
铅兵与木并,qian'bing'yu'mu'bing
前程万里,qian'cheng'wan'li
前进,qian'jin
前进曲,qian'jin'qu
千里盼知音,qian'li'pan'zhi'yin
千里送京娘,qian'li'song'jing'niang
千里吻伊人,qian'li'wen'yi'ren
千面人,qian'mian'ren
倩女痴情,qian'nv'chi'qing
钱舜英,qian'shun'ying
钱塘江,qian'tang'jiang
钱蓁蓁,qian'zhen'zhen
钱之歌,qian'zhi'ge
钱钟秀,qian'zhong'xiu
墙里墙外,qiang'li'qiang'wai
锵社社员,qiang'she'she'yuan
墙头草,qiang'tou'cao
蔷薇处处开,qiang'wei'chu'chu'kai
蔷薇处处香,qiang'wei'chu'chu'xiang
蔷薇刺,qiang'wei'ci
蔷薇和玫瑰,qiang'wei'he'mei'gui
蔷薇花,qiang'wei'hua
蔷薇花底,qiang'wei'hua'di
蔷薇社,qiang'wei'she
蔷薇之歌,qiang'wei'zhi'ge
蔷薇之蕊,qiang'wei'zhi'rui
憔悴春光,qiao'cui'chun'guang
樵歌,qiao'ge
巧梳妆,qiao'shu'zhuang
侨影,qiao'ying
俏冤家,qiao'yuan'jia
且听我说,qie'ting'wo'shuo
亲爱的妈妈,qin'ai'de'ma'ma
亲爱歌,qin'ai'ge
秦德和,qin'de'he
秦淮,qin'huai
秦淮河畔,qin'huai'he'pan
秦晋,qin'jin
秦楼月,qin'lou'yue
秦蕊,qin'rui
琴三弄,qin'san'nong
琴瑟和谐,qin'se'he'xie
琴挑,qin'tiao
秦香莲,qin'xiang'lian
秦燕,qin'yan
情伴,qing'ban
青春,qing'chun
青春的梦,qing'chun'de'meng
青春乐,qing'chun'le
青春误,qing'chun'wu
青春舞曲,qing'chun'wu'qu
青春线,qing'chun'xian
青春休浪费,qing'chun'xiu'lang'fei
青春之歌,qing'chun'zhi'ge
青春之火,qing'chun'zhi'huo
青春之乐,qing'chun'zhi'le
庆福班,qing'fu'ban
情歌流淌,qing'ge'liu'tang
清宫秘史,qing'gong'mi'shi
情海重吻,qing'hai'zhong'wen
庆贺升平,qing'he'sheng'ping
庆贺新春,qing'he'xin'chun
庆贺馨莲花,qing'he'xin'lian'hua
亲家丁,qing'jia'ding
请君进网,qing'jun'jin'wang
请客,qing'ke
轻快地前进,qing'kuai'de'qian'jin
情郎,qing'lang
清流映明月,qing'liu'ying'ming'yue
青楼劝别,qing'lou'quan'bie
青梅竹马,qing'mei'zhu'ma
清明的月,qing'ming'de'yue
清明节,qing'ming'jie
清明时节,qing'ming'shi'jie
青年的时髦,qing'nian'de'shi'mao
青年妇女进行曲,qing'nian'fu'nv'jin'xing'qu
青年歌咏队,qing'nian'ge'yong'dui
青年忙,qing'nian'mang
清平调,qing'ping'diao
青青电影,qing'qing'dian'ying
情人桥,qing'ren'qiao
情柔花香,qing'rou'hua'xiang
卿如一朵花,qing'ru'yi'duo'hua
青山绿水,qing'shan'lv'shui
情书,qing'shu
情天劫,qing'tian'jie
蜻蜓点水,qing'ting'dian'shui
情吻,qing'wen
清云音乐团,qing'yun'yin'yue'tuan
青云直上,qing'yun'zhi'shang
清早起来,qing'zao'qi'lai
穷快乐,qiong'kuai'le
秋的怀念,qiu'de'huai'nian
秋的心,qiu'de'xin
囚犯曲,qiu'fan'qu
秋风,qiu'feng
秋风儿,qiu'feng'er
秋闺怨,qiu'gui'yuan
秋华月满,qiu'hua'yue'man
秋江曲,qiu'jiang'qu
秋江忆别,qiu'jiang'yi'bie
秋千架上,qiu'qian'jia'shang
秋扇明灯,qiu'shan'ming'deng
秋扇怨,qiu'shan'yuan
秋水芙蓉,qiu'shui'fu'rong
秋水龙吟,qiu'shui'long'yin
秋水伊人,qiu'shui'yi'ren
秋思,qiu'si
秋心吟,qiu'xin'yin
秋夜,qiu'ye
秋雨催相思,qiu'yu'cui'xiang'si
秋雨滴梧桐,qiu'yu'di'wu'tong
秋雨送相思,qiu'yu'song'xiang'si
求主引路,qiu'zhu'yin'lu
取经歌,qu'jing'ge
去年的我,qu'nian'de'wo
去年今年,qu'nian'jin'nian
屈云云,qu'yun'yun
圈儿信,quan'er'xin
劝戒烟,quan'jie'yan
劝君,quan'jun
劝郎词,quan'lang'ci
全然归主,quan'ran'gui'zhu
群星集,qun'xing'ji
群星乱飞,qun'xing'luan'fei
群莺飞,qun'ying'fei
让我走,rang'wo'zou
热情,re'qing
热情的眼泪,re'qing'de'yan'lei
热血,re'xue
人道,ren'dao
人道曲,ren'dao'qu
人儿不见归,ren'er'bu'jian'gui
人儿人儿,ren'er'ren'er
人隔万重山,ren'ge'wan'chong'shan
人海飘行,ren'hai'piao'xing
人间尽是希望,ren'jian'jin'shi'xi'wang
人间仙子,ren'jian'xian'zi
人籁票房票友,ren'lai'piao'fang'piao'you
人伦,ren'lun
任梅初,ren'mei'chu
人面桃花,ren'mian'tao'hua
人生多岔路,ren'sheng'duo'cha'lu
人市场,ren'shi'chang
任西达,ren'xi'da
人心,ren'xin
人鱼公主,ren'yu'gong'zhu
人之初,ren'zhi'chu
日本影讯,ri'ben'ying'xun
荣归曲,rong'gui'qu
容蓉,rong'rong
柔情侠骨,rou'qing'xia'gu
柔云,rou'yun
如此繁华,ru'ci'fan'hua
如此天堂,ru'ci'tian'tang
如果没有你,ru'guo'mei'you'ni
如果你想我,ru'guo'ni'xiang'wo
如兰新娜,ru'lan'xin'na
乳娘曲,ru'niang'qu
乳燕曲,ru'yan'qu
阮凤根,ruan'feng'gen
阮玲玉,ruan'ling'yu
阮玉英,ruan'yu'ying
塞克,sai'ke
赛龙夺锦,sai'long'duo'jin
塞上风云,sai'shang'feng'yun
塞上曲,sai'shang'qu
塞外琵琶云外笛,sai'wai'pi'pa'yun'wai'di
塞外情歌,sai'wai'qing'ge
塞外曲,sai'wai'qu
塞翁吟,sai'weng'yin
三宝佛,san'bao'fo
三叠离歌,san'die'li'ge
三个摩登女性,san'ge'mo'deng'nv'xing
三个世界,san'ge'shi'jie
三蝴蝶,san'hu'die
散花,san'hua
三棵树,san'ke'shu
三六,san'liu
三轮车夫,san'lun'che'fu
三轮车夫歌,san'lun'che'fu'ge
三轮车上的小姐,san'lun'che'shang'de'xiao'jie
三年,san'nian
三年相逢又离别,san'nian'xiang'feng'you'li'bie
三人行,san'ren'xing
三潭印月,san'tan'yin'yue
三笑,san'xiao
三省歌,san'xing'ge
三兄弟,san'xiong'di
三月之莺,san'yue'zhi'ying
三醉,san'zui
扫落樱,sao'luo'ying
扫墓歌,sao'mu'ge
扫纱窗,sao'sha'chuang
色迷歌,se'mi'ge
森森歌唱团,sen'sen'ge'chang'tuan
森森玉女合唱团,sen'sen'yu'nv'he'chang'tuan
沙场赴义,sha'chang'fu'yi
沙仑,sha'lun
沙梅,sha'mei
沙蒙,sha'meng
莎莎再会吧,sha'sha'zai'hui'ba
沙头雨,sha'tou'yu
厦语,sha'yu
舢板,shan'ban
闪电明星,shan'dian'ming'xing
山东马永贞,shan'dong'ma'yong'zhen
山东响马,shan'dong'xiang'ma
山歌情侣,shan'ge'qing'lv
山歌姻缘,shan'ge'yin'yuan
山国情侣,shan'guo'qing'lv
善人不怕恶,shan'ren'bu'pa'e
汕头中兴班,shan'tou'zhong'xing'ban
山兄弟,shan'xiong'di
山中美人,shan'zhong'mei'ren
尚冠武,shang'guan'wu
上官云珠,shang'guan'yun'zhu
上海工部局乐队,shang'hai'gong'bu'ju'yue'dui
上海景,shang'hai'jing
上海老歌,shang'hai'lao'ge
上海老歌纵谈,shang'hai'lao'ge'zong'tan
上海码头连湘江郎,shang'hai'ma'tou'lian'xiang'jiang'lang
上海千金,shang'hai'qian'jin
上海小姐,shang'hai'xiao'jie
上海一妇人,shang'hai'yi'fu'ren
上海影讯,shang'hai'ying'xun
上海游艺,shang'hai'you'yi
上海之夜,shang'hai'zhi'ye
上海中学歌咏队,shang'hai'zhong'xue'ge'yong'dui
上擂台,shang'lei'tai
上梁燕子,shang'liang'yan'zi
伤脑筋,shang'nao'jin
上寿,shang'shou
上宛啼莺,shang'wan'ti'ying
伤心妹,shang'xin'mei
商阳舞,shang'yang'wu
少妇怨,shao'fu'yuan
少了一个你,shao'le'yi'ge'ni
少年的我,shao'nian'de'wo
少年进行曲,shao'nian'jin'xing'qu
少年岭,shao'nian'ling
少年行,shao'nian'xing
少女的青春,shao'nv'de'qing'chun
少女的心,shao'nv'de'xin
少女风光,shao'nv'feng'guang
深闺恨,shen'gui'hen
深闺吟,shen'gui'yin
沈骏,shen'jun
什么是爱情,shen'me'shi'ai'qing
神秘的夜,shen'mi'de'ye
神秘女郎,shen'mi'nv'lang
神女,shen'nv
什牌子,shen'pai'zi
深山女侠,shen'shan'nv'xia
深山倩影,shen'shan'qian'ying
神圣抗战歌,shen'sheng'kang'zhan'ge
沈琬若,shen'wan'ruo
沈西苓,shen'xi'ling
神仙伴侣,shen'xian'ban'lv
什样景,shen'yang'jing
深夜,shen'ye
沈易书,shen'yi'shu
神州特刊,shen'zhou'te'kan
圣池影剧半月刊,sheng'chi'ying'ju'ban'yue'kan
圣诞歌,sheng'dan'ge
省港音乐大家,sheng'gang'yin'yue'da'jia
盛家伦,sheng'jia'lun
胜利,sheng'li
胜利国乐队,sheng'li'guo'yue'dui
胜利建国歌,sheng'li'jian'guo'ge
省立上海中学,sheng'li'shang'hai'zhong'xue
胜利之歌,sheng'li'zhi'ge
圣灵歌,sheng'ling'ge
生命线,sheng'ming'xian
声声俏,sheng'sheng'qiao
生死关头,sheng'si'guan'tou
生死恨,sheng'si'hen
生死同心,sheng'si'tong'xin
盛莛开,sheng'ting'kai
生之哀歌,sheng'zhi'ai'ge
十八摸,shi'ba'mo
十杯酒,shi'bei'jiu
施超,shi'chao
时代的儿女,shi'dai'de'er'nv
时代电影,shi'dai'dian'ying
时代曲,shi'dai'qu
史东山,shi'dong'shan
石慧,shi'hui
石挥,shi'hui
世界电影,shi'jie'dian'ying
世界电影副刊,shi'jie'dian'ying'fu'kan
世界儿女,shi'jie'er'nv
世界进行曲,shi'jie'jin'xing'qu
世界末日基督再来,shi'jie'mo'ri'ji'du'zai'lai
世界影坛,shi'jie'ying'tan
十九路军,shi'jiu'lu'jun
市立第五中学,shi'li'di'wu'zhong'xue
石榴花,shi'liu'hua
十六岁的姑娘,shi'liu'sui'de'gu'niang
是梦是真,shi'meng'shi'zhen
失去的青春,shi'qu'de'qing'chun
失去的周末,shi'qu'de'zhou'mo
石人堂,shi'ren'tang
时势英雄,shi'shi'ying'xiong
时巳夜半,shi'si'ye'ban
史咏芬,shi'yong'fen
石羽,shi'yu
石毓涛,shi'yu'tao
是真是假,shi'zhen'shi'jia
十字街头,shi'zi'jie'tou
狮子上楼台,shi'zi'shang'lou'tai
失足恨,shi'zu'hen
瘦皮猴,shou'pi'hou
舒昌格,shu'chang'ge
疏帘淡月,shu'lian'dan'yue
疎帘月,shu'lian'yue
舒绣文,shu'xiu'wen
熟樱桃,shu'ying'tao
舒云,shu'yun
梳妆台连无锡景,shu'zhuang'tai'lian'wu'xi'jing
双飞蝶,shuang'fei'die
双飞蝴蝶,shuang'fei'hu'die
双飞燕,shuang'fei'yan
双和睦,shuang'he'mu
霜华,shuang'hua
双莲串吹仔,shuang'lian'chuan'chui'zai
双料情人,shuang'liao'qing'ren
双跑马,shuang'pao'ma
双清,shuang'qing
双声恨,shuang'sheng'hen
双双蝶,shuang'shuang'die
双双蝴蝶,shuang'shuang'hu'die
双双燕,shuang'shuang'yan
双鹰进行曲,shuang'ying'jin'xing'qu
睡的赞美,shui'de'zan'mei
水东流,shui'dong'liu
水龙吟,shui'long'yin
水上情鸳,shui'shang'qing'yuan
水上人家,shui'shang'ren'jia
水仙花小姐,shui'xian'hua'xiao'jie
水银灯,shui'yin'deng
谁在我心头打个结,shui'zai'wo'xin'tou'da'ge'jie
说爱就爱,shuo'ai'jiu'ai
四川乐队,si'chuan'yue'dui
思春,si'chun
思故乡,si'gu'xiang
四海升平,si'hai'sheng'ping
四合,si'he
四合如意,si'he'ru'yi
四季,si'ji
四季等郎来,si'ji'deng'lang'lai
四季歌,si'ji'ge
四季花开,si'ji'hua'kai
四季问答,si'ji'wen'da
四季想郎,si'ji'xiang'lang
四季相思,si'ji'xiang'si
四季吟,si'ji'yin
思君词,si'jun'ci
思君曲,si'jun'qu
思郎,si'lang
四郎探母,si'lang'tan'mu
思量,si'liang
司令进行曲,si'ling'jin'xing'qu
司马音,si'ma'yin
四美图,si'mei'tu
思母,si'mu
四圣号佛曲,si'sheng'hao'fo'qu
四十二号街,si'shi'er'hao'jie
四时吟,si'shi'yin
似水流年,si'shui'liu'nian
丝丝柳,si'si'liu
思乡,si'xiang
思想,si'xiang
思乡曲,si'xiang'qu
斯义桂,si'yi'gui
四一小学,si'yi'xiao'xue
私语,si'yu
四姊妹,si'zi'mei
四姊妹歌,si'zi'mei'ge
松柏之歌,song'bai'zhi'ge
送别,song'bie
送大哥,song'da'ge
松风雪月,song'feng'xue'yue
送哥行,song'ge'xing
送君,song'jun
送郎,song'lang
送眠曲,song'mian'qu
送情郎,song'qing'lang
苏堤春晓,su'di'chun'xiao
苏妈大,su'ma'da
苏马大,su'ma'da
苏乔,su'qiao
诉请,su'qing
苏三,su'san
苏三不要哭,su'san'bu'yao'ku
苏三采茶,su'san'cai'cha
苏武牧羊,su'wu'mu'yang
诉衷情,su'zhong'qing
苏州河边,su'zhou'he'bian
苏州景,su'zhou'jing
苏州夜曲,su'zhou'ye'qu
苏州之夜,su'zhou'zhi'ye
算命,suan'ming
岁月留声,sui'yue'liu'sheng
孙玲,sun'ling
孙敏,sun'min
孙师毅,sun'shi'yi
孙锡康,sun'xi'kang
孙一华,sun'yi'hua
孙瑜,sun'yu
孙中山,sun'zhong'shan
锁金窘,suo'jin'jiong
梭罗河之恋,suo'luo'he'zhi'lian
锁南枝,suo'nan'zhi
锁阳台,suo'yang'tai
踏车寻春,ta'che'xun'chun
她是一朵玫瑰,ta'shi'yi'duo'mei'gui
太湖船,tai'hu'chuan
太平春,tai'ping'chun
太平花,tai'ping'hua
太平年,tai'ping'nian
太平天,tai'ping'tian
太太万岁,tai'tai'wan'sui
谈爱要小心,tan'ai'yao'xiao'xin
探妹,tan'mei
探情,tan'qing
谈情,tan'qing
叹十声,tan'shi'sheng
谈素珍,tan'su'zhen
叹未得人,tan'wei'de'ren
谭鑫培,tan'xin'pei
弹性女儿,tan'xing'nv'er
叹烟花,tan'yan'hua
谈瑛,tan'ying
汤迪万,tang'di'wan
塘鵝,tang'e
唐宫绮梦,tang'gong'qi'meng
汤杰,tang'jie
唐纳,tang'na
糖秋香,tang'qiu'xiang
汤天秀,tang'tian'xiu
汤天绣,tang'tian'xiu
唐蔚芝先生,tang'wei'zhi'xian'sheng
陶秉钧,tao'bing'jun
逃逢调,tao'feng'tiao
桃花堤上春风软,tao'hua'di'shang'chun'feng'ruan
桃花朵朵红,tao'hua'duo'duo'hong
桃花红,tao'hua'hong
桃花江,tao'hua'jiang
桃花浪,tao'hua'lang
桃花林,tao'hua'lin
桃花泣血记,tao'hua'qi'xue'ji
桃花扇,tao'hua'shan
桃花之歌,tao'hua'zhi'ge
陶金,tao'jin
桃李春风,tao'li'chun'feng
桃李劫,tao'li'jie
桃李争春,tao'li'zheng'chun
桃李争艳,tao'li'zheng'yan
陶然,tao'ran
讨厌的早晨,tao'yan'de'zao'chen
特别快车,te'bie'kuai'che
啼痕,ti'hen
鹈鹕飞,ti'hu'fei
啼笑因缘,ti'xiao'yin'yuan
体育皇后,ti'yu'huang'hou
天边有个你,tian'bian'you'ge'ni
天长地久,tian'chang'di'jiu
田方,tian'fang
天父世界歌,tian'fu'shi'jie'ge
天父我只一生光明,tian'fu'wo'zhi'yi'sheng'guang'ming
甜歌社,tian'ge'she
田汉,tian'han
田家乐,tian'jia'le
甜姐儿,tian'jie'er
天籁,tian'lai
天亮啦,tian'liang'la
天伦,tian'lun
天伦歌,tian'lun'ge
田鸣恩,tian'ming'en
天南地北,tian'nan'di'bei
天女散花,tian'nv'san'hua
天上人间,tian'shang'ren'jian
天堂春梦,tian'tang'chun'meng
天堂歌,tian'tang'ge
天下太平,tian'xia'tai'ping
甜心妹妹,tian'xin'mei'mei
天涯歌女,tian'ya'ge'nv
天涯沦落,tian'ya'lun'luo
天一歌咏队,tian'yi'ge'yong'dui
天一特刊,tian'yi'te'kan
天一影讯,tian'yi'ying'xun
田园之歌,tian'yuan'zhi'ge
田兆栋,tian'zhao'dong
天真儿童娱乐会,tian'zhen'er'tong'yu'le'hui
天字第一号,tian'zi'di'yi'hao
天作之合,tian'zuo'zhi'he
挑夫曲,tiao'fu'qu
跳舞场,tiao'wu'chang
跳舞经,tiao'wu'jing
跳舞救国,tiao'wu'jiu'guo
铁板红泪录,tie'ban'hong'lei'lu
铁马戏曲,tie'ma'xi'qu
铁扇公主,tie'shan'gong'zhu
铁蹄下的歌女,tie'ti'xia'de'ge'nv
听我唱,ting'wo'chang
听我细诉,ting'wo'xi'su
听训歌,ting'xun'ge
同仇,tong'chou
铜壶滴漏,tong'hu'di'lou
同济特刊,tong'ji'te'kan
铜锣合唱团,tong'luo'he'chang'tuan
同命鸳鸯,tong'ming'yuan'yang
同是天涯沦落人,tong'shi'tian'ya'lun'luo'ren
同心结,tong'xin'jie
同心谣,tong'xin'yao
童月娟,tong'yue'juan
同祝健康,tong'zhu'jian'kang
童子军,tong'zi'jun
头颅一掷轻,tou'lu'yi'zhi'qing
透明的上海,tou'ming'de'shang'hai
图画年报,tu'hua'nian'bao
团结起来,tuan'jie'qi'lai
团团坐,tuan'tuan'zuo
团圆歌,tuan'yuan'ge
褪了色的梦,tui'le'se'de'meng
外婆桥,wai'po'qiao
晚安,wan'an
