愛心信心決心,ai'xin'xin'xin'jue'xin
華南維修業務部,hua'nan'wei'xiu'ye'wu'bu
華南物流財務結報組,hua'nan'wu'liu'cai'wu'ji'bao'qu
華南物流計劃工程課,hua'nan'wu'liu'ji'hua'gong'cheng'ke
華南物流企劃部,hua'nan'wu'liu'qi'hua'bu
華南物流企劃課,hua'nan'wu'liu'qi'hua'ke
華南物流運輸作業課,hua'nan'wu'liu'yun'shu'zuo'ye'ke
華南物流作業部,hua'nan'wu'liu'zuo'ye'bu
華南資訊管理處,hua'nan'zi'xun'guan'li'chu
華為组,hua'wei'zu
化學分析課,hua'xue'fen'xi'ke
化學分析與塗料檢測,hua'xue'fen'xi'yu'tu'liao'jian'ce
化學分析與塗料檢測操作,hua'xue'fen'xi'yu'tu'liao'jian'ce'cao'zuo
化學品采購組,hua'xue'pin'cai'gou'qu
化學品倉,hua'xue'pin'cang
化學品倉組,hua'xue'pin'cang'qu
化學品管理組,hua'xue'pin'guan'li'qu
化學品管理組管理組,hua'xue'pin'guan'li'qu'guan'li'qu
化學設備管理部,hua'xue'she'bei'guan'li'bu
化學藥劑配制組,hua'xue'shuo'ji'pei'zhi'qu
化學物料管理組,hua'xue'wu'liao'guan'li'qu
化學制程技術組,hua'xue'zhi'cheng'ji'shu'qu
化驗組,hua'yan'qu
化驗室,hua'yan'shi
環安,huan'an
環安部,huan'an'bu
環安處,huan'an'chu
環安管理課,huan'an'guan'li'ke
環安管理組,huan'an'guan'li'qu
環安課,huan'an'ke
環安組,huan'an'qu
環保節約,huan'bao'jie'yao
環工檢測部,huan'gong'jian'ce'bu
環工檢測課,huan'gong'jian'ce'ke
環工課,huan'gong'ke
環工組,huan'gong'qu
環境安全,huan'jing'an'quan
環境保護管理組,huan'jing'bao'hu'guan'li'qu
環境測試組,huan'jing'ce'shi'qu
環境工程,huan'jing'gong'cheng
環境工程課,huan'jing'gong'cheng'ke
環境工程組,huan'jing'gong'cheng'qu
環境管理組,huan'jing'guan'li'qu
環境及安全保障處,huan'jing'ji'an'quan'bao'zhang'chu
環境可靠度測試課,huan'jing'ke'kao'du'ce'shi'ke
環境維護班,huan'jing'wei'hu'ban
環境系統推動組,huan'jing'xi'tong'tui'dong'qu
環境與安全管理課,huan'jing'yu'an'quan'guan'li'ke
會計,hui'ji
會計部,hui'ji'bu
會計處,hui'ji'chu
會計流程組,hui'ji'liu'cheng'qu
惠州專案,hui'zhou'zhuan'an
婚假,hun'jia
婚姻狀況,hun'yin'zhuang'kuang
伙管課,huo'guan'ke
伙管組,huo'guan'qu
貨物周轉組,huo'wu'zhou'zhuai'qu
結報訂單處理組,ji'bao'ding'chan'chu'li'qu
結報組,ji'bao'qu
結報作業,ji'bao'zuo'ye
基层主管,ji'ceng'zhu'guan
稽查推動組,ji'cha'tui'dong'qu
基礎人力招募北方專案,ji'chu'ren'li'zhao'mu'bei'fang'zhuan'an
基礎人力招募課,ji'chu'ren'li'zhao'mu'ke
基礎人力招募組,ji'chu'ren'li'zhao'mu'qu
機電,ji'dian
機電保養組,ji'dian'bao'yang'qu
機電廠務組,ji'dian'chang'wu'qu
機電工程,ji'dian'gong'cheng
機電工程規劃課,ji'dian'gong'cheng'gui'hua'ke
機電工程課,ji'dian'gong'cheng'ke
機電工務,ji'dian'gong'wu
機電工務部,ji'dian'gong'wu'bu
機電工務課,ji'dian'gong'wu'ke
機電工務組,ji'dian'gong'wu'qu
機電管理課,ji'dian'guan'li'ke
機電管理組,ji'dian'guan'li'qu
機電規劃發包課,ji'dian'gui'hua'bo'bao'ke
機電規劃採購課,ji'dian'gui'hua'cai'gou'ke
機電規劃給排水課,ji'dian'gui'hua'gei'pai'shui'ke
機電規劃管制課,ji'dian'gui'hua'guan'zhi'ke
機電規劃機電課,ji'dian'gui'hua'ji'dian'ke
機電規劃課,ji'dian'gui'hua'ke
機電規劃暖通課,ji'dian'gui'hua'nuan'tong'ke
機電規划組,ji'dian'gui'hua'qu
機電規劃組,ji'dian'gui'hua'qu
機電規劃消防課,ji'dian'gui'hua'xiao'fang'ke
機電規劃預算課,ji'dian'gui'hua'yu'suan'ke
機電課,ji'dian'ke
機電模組件工程組,ji'dian'mo'qu'jian'gong'cheng'qu
機電組,ji'dian'qu
機電設備管理,ji'dian'she'bei'guan'li
機電設備管理組,ji'dian'she'bei'guan'li'qu
機電設備組,ji'dian'she'bei'qu
機電設備維護班,ji'dian'she'bei'wei'hu'ban
機電設備維修作業員,ji'dian'she'bei'wei'xiu'zuo'ye'yuan
機電施工管理課,ji'dian'shi'gong'guan'li'ke
機電維護,ji'dian'wei'hu
機電維護課,ji'dian'wei'hu'ke
機電維護組,ji'dian'wei'hu'qu
機電預結算管理組,ji'dian'yu'ji'suan'guan'li'qu
機電運行管理,ji'dian'yun'hang'guan'li
機電運行組,ji'dian'yun'xing'qu
技改,ji'gai
技改組,ji'gai'qu
結工令班,ji'gong'ling'ban
機構,ji'gou
機構班,ji'gou'ban
機構採購,ji'gou'cai'gou
機構采購課,ji'gou'cai'gou'ke
機構採購課,ji'gou'cai'gou'ke
機構采購組,ji'gou'cai'gou'qu
機構倉,ji'gou'cang
機構倉儲管理組,ji'gou'cang'chu'guan'li'qu
機構倉儲課,ji'gou'cang'chu'ke
機構倉儲組,ji'gou'cang'chu'qu
機構倉管理組,ji'gou'cang'guan'li'qu
機構倉組,ji'gou'cang'qu
機構測試部,ji'gou'ce'shi'bu
機構測試課,ji'gou'ce'shi'ke
機構產品開發,ji'gou'chan'pin'kai'bo
機構產品開發工程,ji'gou'chan'pin'kai'bo'gong'cheng
機構產品設計,ji'gou'chan'pin'she'ji
機構產品設計工程,ji'gou'chan'pin'she'ji'gong'cheng
機構產品製造工程,ji'gou'chan'pin'zhi'zao'gong'cheng
機構電子倉儲管理,ji'gou'dian'zi'cang'chu'guan'li
機構二處品保部,ji'gou'er'chu'pin'bao'bu
機構分析課,ji'gou'fen'xi'ke
機構分析組,ji'gou'fen'xi'qu
機構工程課,ji'gou'gong'cheng'ke
機構件成型廠,ji'gou'jian'cheng'xing'chang
機構件烤漆廠部,ji'gou'jian'kao'qi'chang'bu
機構件品管部,ji'gou'jian'pin'guan'bu
機構件企劃部,ji'gou'jian'qi'hua'bu
機構件企劃管理處,ji'gou'jian'qi'hua'guan'li'chu
機構件組裝廠,ji'gou'jian'qu'zhuang'chang
機構件設備開發處,ji'gou'jian'she'bei'kai'bo'chu
機構件生產支援處,ji'gou'jian'sheng'chan'zhi'yuan'chu
機構件製造處,ji'gou'jian'zhi'zao'chu
機構件制造處,ji'gou'jian'zhi'zao'chu
機構件製造工程部,ji'gou'jian'zhi'zao'gong'cheng'bu
機構件資材管理處,ji'gou'jian'zi'cai'guan'li'chu
機構開發,ji'gou'kai'bo
機構開發課,ji'gou'kai'bo'ke
機構零件工程組,ji'gou'ling'jian'gong'cheng'qu
機構零件組,ji'gou'ling'jian'qu
機構模組件管理組,ji'gou'mo'qu'jian'guan'li'qu
機構模具設計部,ji'gou'mu'ju'she'ji'bu
機構品保處,ji'gou'pin'bao'chu
機構品保課,ji'gou'pin'bao'ke
機構品工課,ji'gou'pin'gong'ke
機構品質保證,ji'gou'pin'zhi'bao'zheng
機構品質工程,ji'gou'pin'zhi'gong'cheng
機構企划課,ji'gou'qi'hua'ke
機構組,ji'gou'qu
結構組,ji'gou'qu
機構組立組,ji'gou'qu'li'qu
機構組裝生產部,ji'gou'qu'zhuang'sheng'chan'bu
機構設備組,ji'gou'she'bei'qu
機構設計,ji'gou'she'ji
機構設計部,ji'gou'she'ji'bu
機構設計處,ji'gou'she'ji'chu
機構設計二部,ji'gou'she'ji'er'bu
機構設計課,ji'gou'she'ji'ke
機構設計六部,ji'gou'she'ji'liu'bu
機構設計組,ji'gou'she'ji'qu
機構設計三部,ji'gou'she'ji'san'bu
機構設計四部,ji'gou'she'ji'si'bu
機構設計五部,ji'gou'she'ji'wu'bu
機構設計一部,ji'gou'she'ji'yi'bu
機構設計一處,ji'gou'she'ji'yi'chu
機構生產課,ji'gou'sheng'chan'ke
機構數值分析部,ji'gou'shu'zhi'fen'xi'bu
機構數值分析課,ji'gou'shu'zhi'fen'xi'ke
機構研發處,ji'gou'yan'bo'chu
機構驗証組,ji'gou'yan'zheng'qu
機構一處品保部,ji'gou'yi'chu'pin'bao'bu
機構元件採購組,ji'gou'yuan'jian'cai'gou'qu
機構元件課,ji'gou'yuan'jian'ke
機構製程品管,ji'gou'zhi'cheng'pin'guan
機構製造,ji'gou'zhi'zao
機構製造按鍵,ji'gou'zhi'zao'an'jian
機構製造表面處理,ji'gou'zhi'zao'biao'mian'chu'li
機構製造玻璃廠,ji'gou'zhi'zao'bo'li'chang
機構制造部,ji'gou'zhi'zao'bu
機構製造成型,ji'gou'zhi'zao'cheng'xing
機構製造衝壓,ji'gou'zhi'zao'chong'ya
機構製造處,ji'gou'zhi'zao'chu
機構制造處,ji'gou'zhi'zao'chu
機構製造電鍍,ji'gou'zhi'zao'dian'du
機構製造烤漆,ji'gou'zhi'zao'kao'qi
機構製造拋光,ji'gou'zhi'zao'pao'guang
機構製造清洗,ji'gou'zhi'zao'qing'xi
機構製造組裝,ji'gou'zhi'zao'qu'zhuang
機構製造蝕刻,ji'gou'zhi'zao'shi'ke
機構製造微弧氧化加工,ji'gou'zhi'zao'wei'hu'yang'hua'jia'gong
機構製造陽極,ji'gou'zhi'zao'yang'ji
機構專案管理課,ji'gou'zhuan'an'guan'li'ke
激光機械工程,ji'guang'ji'xie'gong'cheng
激光機械加工,ji'guang'ji'xie'jia'gong
激光機械加工作業員,ji'guang'ji'xie'jia'gong'zuo'ye'yuan
稽核組,ji'he'qu
集合系統,ji'he'xi'tong
集合整合融合,ji'he'zheng'he'rong'he
集合主次支子細微,ji'he'zhu'ci'zhi'zi'xi'wei
稽核作業課,ji'he'zuo'ye'ke
機加,ji'jia
機加廠現場改善組,ji'jia'chang'xian'chang'gai'shan'qu
機加工部,ji'jia'gong'bu
機加工二部,ji'jia'gong'er'bu
機加工及模具加工作業員,ji'jia'gong'ji'mu'ju'jia'gong'zuo'ye'yuan
機加工一部,ji'jia'gong'yi'bu
機加及機電維修技工,ji'jia'ji'ji'dian'wei'xiu'ji'gong
機加技術支援組,ji'jia'ji'shu'zhi'yuan'qu
機加課,ji'jia'ke
機加品管課,ji'jia'pin'guan'ke
機加品管組,ji'jia'pin'guan'qu
機加組,ji'jia'qu
機加生產,ji'jia'sheng'chan
機加生產課,ji'jia'sheng'chan'ke
機加生技,ji'jia'sheng'ji
機加生技組,ji'jia'sheng'ji'qu
機加維護組,ji'jia'wei'hu'qu
機能處,ji'neng'chu
機能組,ji'neng'qu
機組件放電加工組,ji'qu'jian'fang'dian'jia'gong'qu
機組件模具零件加工課,ji'qu'jian'mu'ju'ling'jian'jia'gong'ke
機組件生產工程管理服務組,ji'qu'jian'sheng'chan'gong'cheng'guan'li'fu'wu'qu
機組件事業處,ji'qu'jian'shi'ye'chu
機組件銑削加工組,ji'qu'jian'xi'xue'jia'gong'qu
機組件線切割加工組,ji'qu'jian'xian'qie'ge'jia'gong'qu
機組件研削加工組,ji'qu'jian'yan'xue'jia'gong'qu
及時生產方式,ji'shi'sheng'chan'fang'shi
技術,ji'shu
技術發展部,ji'shu'bo'zhan'bu
技朮導入組,ji'shu'dao'ru'qu
技術服務,ji'shu'fu'wu
技術服務組,ji'shu'fu'wu'qu
技術工程,ji'shu'gong'cheng
技術工程管理服務課,ji'shu'gong'cheng'guan'li'fu'wu'ke
技術工程研發服務部,ji'shu'gong'cheng'yan'bo'fu'wu'bu
技術開發,ji'shu'kai'bo
技術開發部,ji'shu'kai'bo'bu
技術開發課,ji'shu'kai'bo'ke
技術開發組,ji'shu'kai'bo'qu
技術開發與應用,ji'shu'kai'bo'yu'ying'yong
技術課,ji'shu'ke
技術培訓,ji'shu'pei'xun
技術推廣,ji'shu'tui'an
技術推廣組,ji'shu'tui'an'qu
技術移轉部,ji'shu'yi'zhuai'bu
技術應用,ji'shu'ying'yong
技術應用部,ji'shu'ying'yong'bu
技朮應用開發,ji'shu'ying'yong'kai'bo
技術應用課,ji'shu'ying'yong'ke
技術應用組,ji'shu'ying'yong'qu
技術員,ji'shu'yuan
技術支援及保養組,ji'shu'zhi'yuan'ji'bao'yang'qu
技術支援組,ji'shu'zhi'yuan'qu
技朮支援組,ji'shu'zhi'yuan'qu
機台保養,ji'tai'bao'yang
機台操作組,ji'tai'cao'zuo'qu
機台調試,ji'tai'diao'shi
機台組,ji'tai'qu
集團衝壓技委會,ji'tuan'chong'ya'ji'wei'hui
集團總裁,ji'tuan'zong'cai
技委會,ji'wei'hui
技委類別,ji'wei'lei'bie
績效等級,ji'xiao'deng'ji
績效費用組,ji'xiao'fei'yong'qu
績效管理,ji'xiao'guan'li
績效管理部,ji'xiao'guan'li'bu
績效管理課,ji'xiao'guan'li'ke
績效規劃組,ji'xiao'gui'hua'qu
績效考核,ji'xiao'kao'he
績效考評,ji'xiao'kao'ping
績效組,ji'xiao'qu
績效與投資管理流程組,ji'xiao'yu'tou'zi'guan'li'liu'cheng'qu
機械測試組,ji'xie'ce'shi'qu
機械加工部,ji'xie'jia'gong'bu
機械加工廠,ji'xie'jia'gong'chang
機械加工二部,ji'xie'jia'gong'er'bu
機械加工一部,ji'xie'jia'gong'yi'bu
機械類,ji'xie'lei
機械耐久測試課,ji'xie'nai'jiu'ce'shi'ke
機械組,ji'xie'qu
機械設備維修課,ji'xie'she'bei'wei'xiu'ke
機械制造技術組,ji'xie'zhi'zao'ji'shu'qu
假別,jia'bie
加鍍件產品加工部,jia'du'jian'chan'pin'jia'gong'bu
價格管理課,jia'ge'guan'li'ke
加工,jia'gong
加工技朮及系統研發部,jia'gong'ji'shu'ji'xi'tong'yan'bo'bu
加工開發組,jia'gong'kai'bo'qu
加工課,jia'gong'ke
加工組,jia'gong'qu
加工設備開發組,jia'gong'she'bei'kai'bo'qu
加工制程課,jia'gong'zhi'cheng'ke
嘉獎,jia'jiang
架設校准組,jia'she'jiao'zhun'qu
加油站管理組,jia'you'zhan'guan'li'qu
價值工程處,jia'zhi'gong'cheng'chu
價值工程分析課,jia'zhi'gong'cheng'fen'xi'ke
檢包,jian'bao
檢包課,jian'bao'ke
檢包組,jian'bao'qu
檢包生產,jian'bao'sheng'chan
檢包生產課,jian'bao'sheng'chan'ke
檢包線,jian'bao'xian
檢測,jian'ce
檢測部,jian'ce'bu
檢測分析部,jian'ce'fen'xi'bu
檢測分析課,jian'ce'fen'xi'ke
檢測分析組,jian'ce'fen'xi'qu
檢測技術開發課,jian'ce'ji'shu'kai'bo'ke
檢測技朮支援組,jian'ce'ji'shu'zhi'yuan'qu
檢測開發與支援課,jian'ce'kai'bo'yu'zhi'yuan'ke
檢測課,jian'ce'ke
檢測設備開發組,jian'ce'she'bei'kai'bo'qu
檢測治具驗証課,jian'ce'zhi'ju'yan'zheng'ke
檢測中心,jian'ce'zhong'xin
建廠工程課,jian'chang'gong'cheng'ke
建廠規划組,jian'chang'gui'hua'qu
濺鍍組,jian'du'qu
建发課,jian'fa'ke
建國倉庫組,jian'guo'cang'ku'qu
減排專案,jian'pai'zhuan'an
建組織,jian'qu'zhi
建設發展部,jian'she'bo'zhan'bu
檢驗,jian'yan
檢驗包裝課,jian'yan'bao'zhuang'ke
檢驗工程,jian'yan'gong'cheng
檢驗線,jian'yan'xian
檢驗治具組,jian'yan'zhi'ju'qu
檢驗中心,jian'yan'zhong'xin
檢治具開發治具管理組,jian'zhi'ju'kai'bo'zhi'ju'guan'li'qu
檢治具開發治具設計組,jian'zhi'ju'kai'bo'zhi'ju'she'ji'qu
檢治具設計開發課,jian'zhi'ju'she'ji'kai'bo'ke
檢治具設計開發企劃組,jian'zhi'ju'she'ji'kai'bo'qi'hua'qu
檢治具設計開發組,jian'zhi'ju'she'ji'kai'bo'qu
建築組,jian'zhu'qu
獎懲類型,jiang'cheng'lei'xing
交管,jiao'guan
交管課,jiao'guan'ke
交管組,jiao'guan'qu
交管物控組,jiao'guan'wu'kong'qu
交管銷服組,jiao'guan'xiao'fu'qu
交貨管理,jiao'huo'guan'li
交貨管理部,jiao'huo'guan'li'bu
交貨管理課,jiao'huo'guan'li'ke
交貨管理組,jiao'huo'guan'li'qu
交貨管理線,jiao'huo'guan'li'xian
交貨管理專案,jiao'huo'guan'li'zhuan'an
交貨管製,jiao'huo'guan'zhi
交貨管制,jiao'huo'guan'zhi
交貨管制部,jiao'huo'guan'zhi'bu
交貨管制課,jiao'huo'guan'zhi'ke
交貨管制客服二部,jiao'huo'guan'zhi'ke'fu'er'bu
交貨管制客服一部,jiao'huo'guan'zhi'ke'fu'yi'bu
交貨管制組,jiao'huo'guan'zhi'qu
教務管理中心,jiao'wu'guan'li'zhong'xin
教育訓練課,jiao'yu'xun'lian'ke
教育訓練课,jiao'yu'xun'lian'ke
教育訓練組,jiao'yu'xun'lian'qu
校正課,jiao'zheng'ke
校正實驗室,jiao'zheng'shi'yan'shi
介面設計課,jie'mian'she'ji'ke
節能減排部,jie'neng'jian'pai'bu
節能減排課,jie'neng'jian'pai'ke
節能專案,jie'neng'zhuan'an
節育假,jie'yu'jia
金表,jin'biao
金表品工組,jin'biao'pin'gong'qu
金表品質管制課,jin'biao'pin'zhi'guan'zhi'ke
晉城廠區,jin'cheng'chang'ou
進出貨組,jin'chu'huo'qu
進出口操作課,jin'chu'kou'cao'zuo'ke
進出口管理部,jin'chu'kou'guan'li'bu
進出口管理課,jin'chu'kou'guan'li'ke
進出口課,jin'chu'kou'ke
進出口組,jin'chu'kou'qu
進出口專案,jin'chu'kou'zhuan'an
進出料檢驗組,jin'chu'liao'jian'yan'qu
進度管制組,jin'du'guan'zhi'qu
津富,jin'fu
進口組,jin'kou'qu
進口物流組,jin'kou'wu'liu'qu
進口作業組,jin'kou'zuo'ye'qu
進料檢驗,jin'liao'jian'yan
進料檢驗電子組,jin'liao'jian'yan'dian'zi'qu
進料檢驗機構組,jin'liao'jian'yan'ji'gou'qu
進料檢驗課,jin'liao'jian'yan'ke
進料檢驗組,jin'liao'jian'yan'qu
進料檢驗線,jin'liao'jian'yan'xian
進料品管組,jin'liao'pin'guan'qu
進料品質工程組,jin'liao'pin'zhi'gong'cheng'qu
進料品質管理組,jin'liao'pin'zhi'guan'li'qu
進料品質管制課,jin'liao'pin'zhi'guan'zhi'ke
金屬表面採購組,jin'shu'biao'mian'cai'gou'qu
金屬表面處理加工,jin'shu'biao'mian'chu'li'jia'gong
金屬表面處理品管課,jin'shu'biao'mian'chu'li'pin'guan'ke
金屬表面處理制造處,jin'shu'biao'mian'chu'li'zhi'zao'chu
金屬表面加工產品處,jin'shu'biao'mian'jia'gong'chan'pin'chu
金屬表面清洗加工,jin'shu'biao'mian'qing'xi'jia'gong
金屬表面製造處,jin'shu'biao'mian'zhi'zao'chu
金屬采購組,jin'shu'cai'gou'qu
金屬材料分條廠,jin'shu'cai'liao'fen'tiao'chang
金屬材料物控專案,jin'shu'cai'liao'wu'kong'zhuan'an
金屬成型加工,jin'shu'cheng'xing'jia'gong
金屬成型品管組,jin'shu'cheng'xing'pin'guan'qu
金屬成型企劃組,jin'shu'cheng'xing'qi'hua'qu
金屬件採購部,jin'shu'jian'cai'gou'bu
金屬檢測中心,jin'shu'jian'ce'zhong'xin
金屬件產品處設備開發組,jin'shu'jian'chan'pin'chu'she'bei'kai'bo'qu
金屬件產品工程處,jin'shu'jian'chan'pin'gong'cheng'chu
金屬件供應鏈管理處,jin'shu'jian'gong'ying'lian'guan'li'chu
金屬件檢測中心,jin'shu'jian'jian'ce'zhong'xin
金屬件來料管理課,jin'shu'jian'lai'liao'guan'li'ke
金屬件品保部,jin'shu'jian'pin'bao'bu
金屬件企劃部,jin'shu'jian'qi'hua'bu
金屬件切削中心加工組,jin'shu'jian'qie'xiao'zhong'xin'jia'gong'qu
金屬件設備開發課,jin'shu'jian'she'bei'kai'bo'ke
金屬件設備開發中心,jin'shu'jian'she'bei'kai'bo'zhong'xin
金屬件線切割備料管理組,jin'shu'jian'xian'qie'ge'bei'liao'guan'li'qu
金屬件線切割程式制作服務課,jin'shu'jian'xian'qie'ge'cheng'shi'zhi'zuo'fu'wu'ke
金屬件線切割程式制作組,jin'shu'jian'xian'qie'ge'cheng'shi'zhi'zuo'qu
金屬件制造二處,jin'shu'jian'zhi'zao'er'chu
金屬件制造一處,jin'shu'jian'zhi'zao'yi'chu
金屬件自動化設備開發處,jin'shu'jian'zi'dong'hua'she'bei'kai'bo'chu
金屬零件工程部,jin'shu'ling'jian'gong'cheng'bu
金屬零件機能組,jin'shu'ling'jian'ji'neng'qu
金屬內構件模具零件加工課,jin'shu'na'gou'jian'mu'ju'ling'jian'jia'gong'ke
金屬內構件生產工程管理服務組,jin'shu'na'gou'jian'sheng'chan'gong'cheng'guan'li'fu'wu'qu
金屬內構件銑削加工組,jin'shu'na'gou'jian'xi'xue'jia'gong'qu
金屬內構件線切割加工組,jin'shu'na'gou'jian'xian'qie'ge'jia'gong'qu
金屬內構件研削加工組,jin'shu'na'gou'jian'yan'xue'jia'gong'qu
金屬品工組,jin'shu'pin'gong'qu
金屬品質管制課,jin'shu'pin'zhi'guan'zhi'ke
金屬特殊製程開發課,jin'shu'te'shu'zhi'cheng'kai'bo'ke
金屬外購件採購專案,jin'shu'wai'gou'jian'cai'gou'zhuan'an
金屬小件採購組,jin'shu'xiao'jian'cai'gou'qu
金屬製品技術開發部,jin'shu'zhi'pin'ji'shu'kai'bo'bu
金屬裝飾技術開發處,jin'shu'zhuang'shi'ji'shu'kai'bo'chu
金相試驗組,jin'xiang'shi'yan'qu
經典分析組,jing'dian'fen'xi'qu
精度校正組,jing'du'jiao'zheng'qu
警告,jing'gao
經管,jing'guan
經管部,jing'guan'bu
經管處,jing'guan'chu
經管管理課,jing'guan'guan'li'ke
經管課,jing'guan'ke
經管組,jing'guan'qu
經管系統,jing'guan'xi'tong
經管應用系統開發組,jing'guan'ying'yong'xi'tong'kai'bo'qu
經理,jing'li
精密加工專案組,jing'mi'jia'gong'zhuan'an'qu
精密檢測課,jing'mi'jian'ce'ke
精密量測,jing'mi'liang'ce
精密量測課,jing'mi'liang'ce'ke
精密量測組,jing'mi'liang'ce'qu
警勤,jing'qin
警勤課,jing'qin'ke
警勤組,jing'qin'qu
警犬組,jing'quan'qu
警衛,jing'wei
警務,jing'wu
警務稽核班,jing'wu'ji'he'ban
精修,jing'xiu
精修工站,jing'xiu'gong'zhan
精修生產線,jing'xiu'sheng'chan'xian
經驗等於時間加金錢,jing'yan'deng'yu'shi'jian'jia'jin'qian
經營分析課,jing'ying'fen'xi'ke
經營分析組,jing'ying'fen'xi'qu
經營管理,jing'ying'guan'li
經營管理部,jing'ying'guan'li'bu
經營管理處,jing'ying'guan'li'chu
經營管理課,jing'ying'guan'li'ke
經營管理中心,jing'ying'guan'li'zhong'xin
經營管制部,jing'ying'guan'zhi'bu
經營管制課,jing'ying'guan'zhi'ke
經營管制組,jing'ying'guan'zhi'qu
經營規划課,jing'ying'gui'hua'ke
經營規劃課,jing'ying'gui'hua'ke
經營審計課,jing'ying'shen'ji'ke
經營運籌管理部,jing'ying'yun'chou'guan'li'bu
經營運籌管理處,jing'ying'yun'chou'guan'li'chu
競爭導向,jing'zheng'dao'xiang
竟爭及產業分析部,jing'zheng'ji'chan'ye'fen'xi'bu
糾察組,jiu'cha'qu
九大步驟,jiu'da'bu'zhou
舊事業群,jiu'shi'ye'qun
居民身份证,ju'min'shen'fen'zheng
卷料包裝組,juan'liao'bao'zhuang'qu
军人身份证,jun'ren'shen'fen'zheng
開發,kai'bo
開發採購課,kai'bo'cai'gou'ke
開發處,kai'bo'chu
開發二部,kai'bo'er'bu
開發工程,kai'bo'gong'cheng
開發工程部,kai'bo'gong'cheng'bu
開發工程處,kai'bo'gong'cheng'chu
開發海外開發組,kai'bo'hai'wai'kai'bo'qu
開發課,kai'bo'ke
開發品保部,kai'bo'pin'bao'bu
開發品質組,kai'bo'pin'zhi'qu
開發企劃組,kai'bo'qi'hua'qu
開發組,kai'bo'qu
開發生技組,kai'bo'sheng'ji'qu
開發一部,kai'bo'yi'bu
開發支援組,kai'bo'zhi'yuan'qu
開務與務流流程組,kai'wu'yu'wu'liu'liu'cheng'qu
看護假,kan'hu'jia
抗指紋,kang'zhi'wen
抗指紋組,kang'zhi'wen'qu
烤漆,kao'qi
烤漆部,kao'qi'bu
烤漆倉儲組,kao'qi'cang'chu'qu
烤漆測試組,kao'qi'ce'shi'qu
烤漆廠,kao'qi'chang
烤漆成型品管課,kao'qi'cheng'xing'pin'guan'ke
烤漆改善組,kao'qi'gai'shan'qu
烤漆工程,kao'qi'gong'cheng
烤漆機器人操作手,kao'qi'ji'qi'ren'cao'zuo'shou
烤漆開發部,kao'qi'kai'bo'bu
烤漆品管課,kao'qi'pin'guan'ke
烤漆品管組,kao'qi'pin'guan'qu
烤漆組,kao'qi'qu
烤漆設備開發,kao'qi'she'bei'kai'bo
烤漆設備開發組,kao'qi'she'bei'kai'bo'qu
烤漆生產,kao'qi'sheng'chan
烤漆生產部,kao'qi'sheng'chan'bu
烤漆生產二部,kao'qi'sheng'chan'er'bu
烤漆生產課,kao'qi'sheng'chan'ke
烤漆生產組,kao'qi'sheng'chan'qu
烤漆生產一部,kao'qi'sheng'chan'yi'bu
烤漆生管課,kao'qi'sheng'guan'ke
烤漆生管組,kao'qi'sheng'guan'qu
烤漆實驗組,kao'qi'shi'yan'qu
烤漆維護課,kao'qi'wei'hu'ke
烤漆制,kao'qi'zhi
烤漆制工組,kao'qi'zhi'gong'qu
烤漆制造課,kao'qi'zhi'zao'ke
烤漆專案課,kao'qi'zhuan'an'ke
烤漆專案組,kao'qi'zhuan'an'qu
烤漆作業,kao'qi'zuo'ye
烤漆作業員,kao'qi'zuo'ye'yuan
考勤,kao'qin
考勤管理組,kao'qin'guan'li'qu
考勤薪資組,kao'qin'xin'zi'qu
考勤員,kao'qin'yuan
課長,ke'chang
科法資訊組,ke'fa'zi'xun'qu
客服,ke'fu
客服工程組,ke'fu'gong'cheng'qu
客服管理課,ke'fu'guan'li'ke
客服管理組,ke'fu'guan'li'qu
客服及品質管理部,ke'fu'ji'pin'zhi'guan'li'bu
客服技術支援課,ke'fu'ji'shu'zhi'yuan'ke
客服課,ke'fu'ke
客服組,ke'fu'qu
客服文控組,ke'fu'wen'kong'qu
客服線,ke'fu'xian
客服運籌管理課,ke'fu'yun'chou'guan'li'ke
客供設備管理組,ke'gong'she'bei'guan'li'qu
客戶產品功能地理位置,ke'hu'chan'pin'gong'neng'di'li'wei'zhi
客戶服務,ke'hu'fu'wu
客戶服務部,ke'hu'fu'wu'bu
客戶服務課,ke'hu'fu'wu'ke
客戶服務組,ke'hu'fu'wu'qu
客戶檢驗,ke'hu'jian'yan
客戶品質管理課,ke'hu'pin'zhi'guan'li'ke
客戶品質管理組,ke'hu'pin'zhi'guan'li'qu
客戶品質檢驗組,ke'hu'pin'zhi'jian'yan'qu
客戶支援組,ke'hu'zhi'yuan'qu
可靠度測試課,ke'kao'du'ce'shi'ke
可靠度測試組,ke'kao'du'ce'shi'qu
可靠度工程組,ke'kao'du'gong'cheng'qu
可靠性測試組,ke'kao'xing'ce'shi'qu
可靠性實驗組,ke'kao'xing'shi'yan'qu
可靠性驗証組,ke'kao'xing'yan'zheng'qu
課組線,ke'qu'xian
客退倉,ke'tui'cang
可攜式智慧產品中心,ke'xie'shi'zhi'hui'chan'pin'zhong'xin
科研,ke'yan
科研開發,ke'yan'kai'bo
科研推廣課,ke'yan'tui'an'ke
課資安服務課,ke'zi'an'fu'wu'ke
空調維護組,kong'diao'wei'hu'qu
口頭警告,kou'tou'jing'gao
