阿忽令,a'hu'ling
南乡子,nan'xiang'zi
南枝消息小春初,nan'zhi'xiao'xi'xiao'chun'chu
脑袋不用不灵,nao'dai'bu'yong'bu'ling
恼杀人,nao'sha'ren
恼碎芳心近砌下啾啾唧唧寒蛩闹,nao'sui'fang'xin'jin'qi'xia'jiu'jiu'ji'ji'han'qiong'nao
哪吒令,ne'zha'ling
内文脚注,nei'wen'jiao'zhu
嫩柳垂金线,nen'liu'chui'jin'xian
能拔出脓来才是好膏药,neng'ba'chu'nong'lai'cai'shi'hao'gao'yao
能屈能伸大丈夫,neng'qu'neng'shen'da'zhang'fu
能遭天磨真硬汉,neng'zao'tian'mo'zhen'ying'han
能醉能文,neng'zui'neng'wen
你本待洗腌臜倒惹得不干净,ni'ben'dai'xi'a'za'dao're'de'bu'gan'jing
你不知道的二二八,ni'bu'zhi'dao'de'er'er'ba
尼姑思凡,ni'gu'si'fan
泥滑似登天,ni'hua'si'deng'tian
你欢娱受用别,ni'huan'yu'shou'yong'bie
你可也共谁人两个欢偶,ni'ke'ye'gong'shei'ren'liang'ge'huan'ou
你取闲论诗才,ni'qu'xian'lun'shi'cai
你是景福门,ni'shi'jing'fu'men
你性随邪,ni'xing'sui'xie
你则合有恩便报,ni'ze'he'you'en'bian'bao
你走你的阳关道,ni'zou'ni'de'yang'guan'dao
年逢大荒先禁三坊,nian'feng'da'huang'xian'jin'san'fang
年来又到,nian'lai'you'dao
年年此日,nian'nian'ci'ri
念奴娇,nian'nu'jiao
娘家住不老亲戚吃不饱,niang'jia'zhu'bu'lao'qin'qi'chi'bu'bao
酿秋光,niang'qiu'guang
鸟娜腰肢温更柔,niao'na'yao'zhi'wen'geng'rou
鸟啼花影里,niao'ti'hua'ying'li
袅烟已报长生信,niao'yan'yi'bao'chang'sheng'xin
宁拆十座庙不拆一门亲,ning'chai'shi'zuo'miao'bu'chai'yi'men'qin
宁可信其有不可信其无,ning'ke'xin'qi'you'bu'ke'xin'qi'wu
宁可站着死不愿屈辱生,ning'ke'zhan'zhe'si'bu'yuan'qu'ru'sheng
宁笑白头翁莫笑少年穷,ning'xiao'bai'tou'weng'mo'xiao'shao'nian'qiong
宁愿人负我不愿我负人,ning'yuan'ren'fu'wo'bu'yuan'wo'fu'ren
牛背犁马吃谷,niu'bei'li'ma'chi'gu
牛不吃水强按头,niu'bu'chi'shui'qiang'an'tou
牛皮不是吹的,niu'pi'bu'shi'chui'de
牛眼识青草,niu'yan'shi'qing'cao
农乐歌兼破雁儿落,nong'yue'ge'jian'po'yan'er'luo
怒从心头起恶向胆边生,nu'cong'xin'tou'qi'e'xiang'dan'bian'sheng
暖东风绣被常悭,nuan'dong'feng'xiu'bei'chang'qian
暖风迟日春天,nuan'feng'chi'ri'chun'tian
暖日宜乘轿,nuan'ri'yi'cheng'jiao
暖烟飘绿杨桥,nuan'yan'piao'lv'yang'qiao
女大不中留,nv'da'bu'zhong'liu
女冠子,nv'guan'zi
女娲,nv'wa
女子无才便是德,nv'zi'wu'cai'bian'shi'de
怕春归,pa'chun'gui
怕得老虎喂不得猪,pa'de'lao'hu'wei'bu'de'zhu
爬得越高跌得越重,pa'de'yue'gao'die'de'yue'zhong
怕黄昏忽地又黄昏,pa'huang'hun'hu'di'you'huang'hun
怕见春归,pa'jian'chun'gui
怕见的是怪难躲的是债,pa'jian'de'shi'guai'nan'duo'de'shi'zhai
怕我陪钱货,pa'wo'pei'qian'huo
怕有那新雁儿寄来书,pa'you'na'xin'yan'er'ji'lai'shu
怕则怕黄昏到晚,pa'ze'pa'huang'hun'dao'wan
排笮,pai'ze
盼得他一纸音书,pan'de'ta'yi'zhi'yin'shu
盼雕鞍万水千山,pan'diao'an'wan'shui'qian'shan
盼断归期,pan'duan'gui'qi
潘妃曲,pan'fei'qu
盼佳期,pan'jia'qi
盘水可捧志难持,pan'shui'ke'peng'zhi'nan'chi
潘燕生,pan'yan'sheng
潘游龙,pan'you'long
胖妓,pang'ji
抛球乐,pao'qiu'le
醅淹千古兴亡事,pei'yan'qian'gu'xing'wang'shi
佩玉鸣銮,pei'yu'ming'luan
喷鼻香十里荷花,pen'bi'xiang'shi'li'he'hua
彭孙遹,peng'sun'yu
彭阳章檄,peng'yang'zhang'xi
批点本,pi'dian'ben
辟佛四绝,pi'fo'si'jue
霹雳弦声斗高下,pi'li'xian'sheng'dou'gao'xia
偏那里绿杨堪系马,pian'na'li'lv'yang'kan'xi'ma
偏宜去扫雪烹茶,pian'yi'qu'sao'xue'peng'cha
缥缈楼台,piao'miao'lou'tai
聘聪明,pin'cong'ming
贫煞也风流,pin'sha'ye'feng'liu
平湖乐,ping'hu'le
平湖云锦碧莲秋,ping'hu'yun'jin'bi'lian'qiu
凭阑人,ping'lan'ren
凭阑袖拂杨花雪,ping'lan'xiu'fu'yang'hua'xue
平沙落雁,ping'sha'luo'yan
平山文镜,ping'shan'wen'jing
平阳好处是汾西,ping'yang'hao'chu'shi'fen'xi
叵奈挥毫李白,po'nai'hui'hao'li'bai
坡仙酿法真堪羡,po'xian'niang'fa'zhen'kan'xian
普救寺寻方便,pu'jiu'si'xun'fang'bian
普救姻缘,pu'jiu'yin'yuan
扑克,pu'ke
扑人飞柳花,pu'ren'fei'liu'hua
菩萨低眉,pu'sa'di'mei
菩萨梁州,pu'sa'liang'zhou
菩萨蛮,pu'sa'man
菩萨写诗,pu'sa'xie'shi
扑簌簌泪点抛,pu'su'su'lei'dian'pao
普天乐,pu'tian'le
七弟兄,qi'di'xiong
迄逗我许多时,qi'dou'wo'xu'duo'shi
齐己,qi'ji
琦君,qi'jun
绮罗筵,qi'luo'yan
其实都伸不起我这肩窝,qi'shi'dou'shen'bu'qi'wo'zhe'jian'wo
七颂堂词绎,qi'song'tang'ci'yi
齐天乐,qi'tian'le
欹枕白石烂,qi'zhen'bai'shi'lan
恰便是司马泪痕多,qia'bian'shi'si'ma'lei'hen'duo
恰便似刘阮天台,qia'bian'si'liu'ruan'tian'tai
恰春朝,qia'chun'chao
恰寒食有二百处秋千架,qia'han'shi'you'er'bai'chu'qiu'qian'jia
恰似你的温柔,qia'si'ni'de'wen'rou
千古是非心,qian'gu'shi'fei'xin
乾荷叶,qian'he'ye
千里送鹅毛礼轻人意重,qian'li'song'e'mao'li'qing'ren'yi'zhong
浅露金莲簌绛纱,qian'lu'jin'lian'su'jiang'sha
钱穆,qian'mu
前声起彻绕危梁,qian'sheng'qi'che'rao'wei'liang
钱允治,qian'yun'zhi
锵凤筵中见多暇,qiang'feng'yan'zhong'jian'duo'xia
强将手下无弱兵,qiang'jiang'shou'xia'wu'ruo'bing
墙里开花墙外香,qiang'li'kai'hua'qiang'wai'xiang
墙内甚人家,qiang'nei'shen'ren'jia
强拈针线,qiang'nian'zhen'xian
强手如林,qiang'shou'ru'lin
强似饱时得一斗,qiang'si'bao'shi'de'yi'dou
强题诗也断魂,qiang'ti'shi'ye'duan'hun
墙头花,qiang'tou'hua
巧笔难描画,qiao'bi'nan'miao'hua
憔悴湘累莫轻和,qiao'cui'xiang'lei'mo'qing'he
樵得樵眼笑眉舒,qiao'de'qiao'yan'xiao'mei'shu
俏的是心,qiao'de'shi'xin
乔吉,qiao'ji
乔吉甫,qiao'ji'fu
乔木查,qiao'mu'cha
桥牌,qiao'pai
乔牌儿,qiao'pai'er
巧妻偏伴拙夫眠,qiao'qi'pian'ban'zhuo'fu'mian
俏冤家,qiao'yuan'jia
乔治桑,qiao'zhi'sang
乔捉蛇,qiao'zhuo'she
且高歌,qie'gao'ge
且尽樽前有限杯,qie'jin'zun'qian'you'xian'bei
挈榼携童跨蹇,qie'ke'xie'tong'kua'jian
秦城监狱,qin'cheng'jian'yu
秦简夫,qin'jian'fu
秦楼月,qin'lou'yue
琴棋书画诗酒马,qin'qi'shu'hua'shi'jiu'ma
亲情友情一夜情,qin'qing'you'qing'yi'ye'qing
琴三弄,qin'san'nong
衾枕奈无缘,qin'zhen'nai'wu'yuan
倾杯序,qing'bei'xu
清波杂志,qing'bo'za'zhi
情场出傻子,qing'chang'chu'sha'zi
青春过了,qing'chun'guo'le
清殿藏本,qing'dian'cang'ben
庆东原,qing'dong'yuan
庆东园,qing'dong'yuan
庆丰年,qing'feng'nian
青歌儿,qing'ge'er
清河书画舫,qing'he'shu'hua'fang
清江引,qing'jiang'yin
晴岚雨后看,qing'lan'yu'hou'kan
情理何堪,qing'li'he'kan
轻轮月杖惊花片,qing'lun'yue'zhang'jing'hua'pian
轻拈斑管书心中,qing'nian'ban'guan'shu'xin'zhong
轻轻的飞动,qing'qing'de'fei'dong
情情相通,qing'qing'xiang'tong
青山城郭,qing'shan'cheng'guo
轻衫短帽七香车,qing'shan'duan'mao'qi'xiang'che
青山口,qing'shan'kou
青山绿水,qing'shan'lv'shui
青山桥村,qing'shan'qiao'cun
青山桥镇,qing'shan'qiao'zhen
轻衫乌帽,qing'shan'wu'mao
青山压树头,qing'shan'ya'shu'tou
青山依旧御墙中,qing'shan'yi'jiu'yu'qiang'zhong
青天歌,qing'tian'ge
青杏儿,qing'xing'er
青杏子,qing'xing'zi
庆宣和,qing'xuan'he
轻烟老树寒鸦,qing'yan'lao'shu'han'ya
情意坚,qing'yi'jian
轻移莲步,qing'yi'lian'bu
青玉案,qing'yu'an
庆元贞,qing'yuan'zhen
情粘骨髓难揩洗,qing'zhan'gu'sui'nan'kai'xi
清真集校注,qing'zhen'ji'jiao'zhu
请字儿未出声,qing'zi'er'wei'chu'sheng
穷不学俭而俭,qiong'bu'xue'jian'er'jian
穷河西,qiong'he'xi
琼林宴,qiong'lin'yan
穷山恶水出刁民,qiong'shan'e'shui'chu'diao'min
蛩吟砌,qiong'yin'qi
秋蝉儿噪罢寒蛩儿叫,qiu'chan'er'zao'ba'han'qiong'er'jiao
秋成不似今年痛,qiu'cheng'bu'si'jin'nian'tong
秋风第一枝,qiu'feng'di'yi'zhi
秋风湖上水增波,qiu'feng'hu'shang'shui'zeng'bo
秋风袅袅白云飞,qiu'feng'niao'niao'bai'yun'fei
秋光虽晚人难老,qiu'guang'sui'wan'ren'nan'lao
秋江送,qiu'jiang'song
秋景堪题,qiu'jing'kan'ti
秋莲曲,qiu'lian'qu
秋霜黄菊残,qiu'shuang'huang'ju'can
秋水共长天一色,qiu'shui'gong'chang'tian'yi'se
秋水双波溜,qiu'shui'shuang'bo'liu
邱薇薇,qiu'wei'wei
丘有幸,qiu'you'xing
秋雨铃声阁道深,qiu'yu'ling'sheng'ge'dao'shen
取次樽前唱,qu'ci'zun'qian'chang
曲埋万丈虹霓志,qu'mai'wan'zhang'hong'ni'zhi
曲牌名,qu'pai'ming
屈杀将陪嫁,qu'sha'jiang'pei'jia
觑上下,qu'shang'xia
去时节远也,qu'shi'jie'yuan'ye
屈原集校注,qu'yuan'ji'jiao'zhu
曲兆祥,qu'zhao'xiang
觑着娇态,qu'zhe'jiao'tai
去字儿连忙应,qu'zi'er'lian'mang'ying
屈子敬,qu'zi'jing
全芳备祖,quan'fang'bei'zu
劝君闻早冠宜挂,quan'jun'wen'zao'guan'yi'gua
泉上危亭,quan'shang'wei'ting
全宋诗,quan'song'shi
却归秦,que'gui'qin
却怜蜜课,que'lian'mi'ke
却是断肠诗词,que'shi'duan'chang'shi'ci
鹊踏枝,que'ta'zhi
却忘了间阻情,que'wang'le'jian'zu'qing
却羞上老人头,que'xiu'shang'lao'ren'tou
却有忘机友,que'you'wang'ji'you
却原来燕侣鸾俦,que'yuan'lai'yan'lv'luan'chou
裙系鸳鸯锦,qun'xi'yuan'yang'jin
壤歌亭外山如画,rang'ge'ting'wai'shan'ru'hua
让我们笑着分手,rang'wo'men'xiao'zhe'fen'shou
绕池游,rao'chi'you
人必知之,ren'bi'zhi'zhi
人从三师武艺高,ren'cong'san'shi'wu'yi'gao
人到愁来无会处,ren'dao'chou'lai'wu'hui'chu
人道似扬州,ren'dao'si'yang'zhou
人间万事,ren'jian'wan'shi
人静也,ren'jing'ye
人立粉墙头,ren'li'fen'qiang'tou
任拍手儿童笑,ren'pai'shou'er'tong'xiao
人去也,ren'qu'ye
人生安得长如旧,ren'sheng'an'de'chang'ru'jiu
人生都是三节草,ren'sheng'dou'shi'san'jie'cao
人生分合很自然,ren'sheng'fen'he'hen'zi'ran
人生几度春风面,ren'sheng'ji'du'chun'feng'mian
人生相会难,ren'sheng'xiang'hui'nan
人未还,ren'wei'huan
人无外财不富,ren'wu'wai'cai'bu'fu
人已静,ren'yi'jing
人以科传人可知,ren'yi'ke'chuan'ren'ke'zhi
人约黄昏后,ren'yue'huang'hun'hou
人月圆,ren'yue'yuan
人在平湖宴,ren'zai'ping'hu'yan
人在平湖醉,ren'zai'ping'hu'zui
忍字心头一把刀,ren'zi'xin'tou'yi'ba'dao
日月长,ri'yue'chang
日月疾,ri'yue'ji
日殖沦陷区,ri'zhi'lun'xian'qu
日治殖民地,ri'zhi'zhi'min'di
绒穿海上明珠,rong'chuan'hai'shang'ming'zhu
绒约手扎拴的彩色鲜,rong'yue'shou'zha'shuan'de'cai'se'xian
肉麻的知识份子,rou'ma'de'zhi'shi'fen'zi
揉痒天生钝,rou'yang'tian'sheng'dun
入南吕,ru'nan'lv
入侍深宫二十年,ru'shi'shen'gong'er'shi'nian
入手风光莫流转,ru'shou'feng'guang'mo'liu'zhuan
入双调,ru'shuang'diao
入仙吕,ru'xian'lv
入正宫,ru'zheng'gong
入中吕,ru'zhong'lv
软金罗袖,ruan'jin'luo'xiu
瑞光浮动云衢婺,rui'guang'fu'dong'yun'qu'wu
瑞鹤仙,rui'he'xian
若不是张解元识人多,ruo'bu'shi'zhang'jie'yuan'shi'ren'duo
偌长偌大,ruo'chang'ruo'da
偌粗偌胖,ruo'cu'ruo'pang
若得来心肝儿敬重,ruo'de'lai'xin'gan'er'jing'zhong
若要人不知除非己莫为,ruo'yao'ren'bu'zhi'chu'fei'ji'mo'wei
若咱得他,ruo'zan'de'ta
洒松烟点破桃腮,sa'song'yan'dian'po'tao'sai
萨天锡,sa'tian'xi
塞儿令,sai'er'ling
塞鸿秋,sai'hong'qiu
塞雁儿,sai'yan'er
三百座名园一采个空,san'bai'zuo'ming'yuan'yi'cai'ge'kong
三般儿都有个因由,san'ban'er'dou'you'ge'yin'you
三才图会,san'cai'tu'hui
三才图会棋谱,san'cai'tu'hui'qi'pu
三才图会人物,san'cai'tu'hui'ren'wu
三曹诗选,san'cao'shi'xuan
三斗声名显,san'dou'sheng'ming'xian
三犯白苎歌,san'fan'bai'zhu'ge
三番玉楼人,san'fan'yu'lou'ren
三个屠户讲猪,san'ge'tu'hu'jiang'zhu
三个秀才讲书,san'ge'xiu'cai'jiang'shu
散花传琖,san'hua'chuan'zhan
三两知心友,san'liang'zhi'xin'you
三毛式伪善,san'mao'shi'wei'shan
三栖科友,san'qi'ke'you
三穷三富过到老,san'qiong'san'fu'guo'dao'lao
三煞,san'sha
三台印,san'tai'yin
三月景,san'yue'jing
三宅氏,san'zhai'shi
三转小梁州,san'zhuan'xiao'liang'zhou
僧仙好事,seng'xian'hao'shi
纱幮睡足酒微醒,sha'chu'shui'zu'jiu'wei'xing
纱幮藤簟,sha'chu'teng'dian
沙鸥看皓齿明眸,sha'ou'kan'hao'chi'ming'mou
沙丘忆,sha'qiu'yi
杀人须见血救人须救彻,sha'ren'xu'jian'xue'jiu'ren'xu'jiu'che
霎时间月缺花飞,sha'shi'jian'yue'que'hua'fei
煞尾,sha'wei
沙子儿摊破清江引,sha'zi'er'tan'po'qing'jiang'yin
删除诗词内容,shan'chu'shi'ci'nei'rong
闪出些月儿明,shan'chu'xie'yue'er'ming
山丹花,shan'dan'hua
山海经检遍了无寻处,shan'hai'jing'jian'bian'le'wu'xun'chu
山河表里潼关路,shan'he'biao'li'tong'guan'lu
山坡里羊,shan'po'li'yang
山坡羊,shan'po'yang
扇圈大膏药刚糊定,shan'quan'da'gao'yao'gang'hu'ding
山石榴,shan'shi'liu
山水田园诗,shan'shui'tian'yuan'shi
山田佳子,shan'tian'jia'zi
山阴修禊说兰亭,shan'yin'xiu'xi'shuo'lan'ting
山有名泉,shan'you'ming'quan
山又遮,shan'you'zhe
赏春妍,shang'chun'yan
商调,shang'diao
赏芳春,shang'fang'chun
伤痕文学,shang'hen'wen'xue
赏花时,shang'hua'shi
上皇惊笑勃妳儿,shang'huang'jing'xiao'bo'ni'er
商角调,shang'jiao'tiao
上京马,shang'jing'ma
伤离别,shang'li'bie
上林花瘦莺声未,shang'lin'hua'shou'ying'sheng'wei
上马娇,shang'ma'jiao
上马娇煞,shang'ma'jiao'sha
伤情经岁绣帏空,shang'qing'jing'sui'xiu'wei'kong
上山上山爱,shang'shan'shang'shan'ai
上下古今谈,shang'xia'gu'jin'tan
上小楼,shang'xiao'lou
伤心留得,shang'xin'liu'de
伤心秦汉经行处,shang'xin'qin'han'jing'xing'chu
上有所好下有所效,shang'you'suo'hao'xia'you'suo'xiao
商正叔,shang'zheng'shu
尚仲贤,shang'zhong'xian
哨遍,shao'bian
邵路雅,shao'lu'ya
少年鲸吸酒如川,shao'nian'jing'xi'jiu'ru'chuan
少室山房笔丛,shao'shi'shan'fang'bi'cong
绍陶录,shao'tao'lu
社坛烟淡散林鸦,she'tan'yan'dan'san'lin'ya
舌头倒压杀人,she'tou'dao'ya'sha'ren
社瓮春来重,she'weng'chun'lai'zhong
沈曾植,shen'ceng'zhi
甚的是闲传示,shen'de'shi'xian'chuan'shi
沈拱,shen'gong
沈际飞,shen'ji'fei
神龙见首不见尾,shen'long'jian'shou'bu'jian'wei
沈谦,shen'qian
神曲缠,shen'qu'chan
沈佺期宋之问集校注,shen'quan'qi'song'zhi'wen'ji'jiao'zhu
甚时节成姻眷,shen'shi'jie'cheng'yin'juan
甚是严,shen'shi'yan
沈瘦潘愁何日休,shen'shou'pan'chou'he'ri'xiu
沈祥龙,shen'xiang'long
沈雄,shen'xiong
神仗儿,shen'zhang'er
神仗儿犯,shen'zhang'er'fan
神仗儿后,shen'zhang'er'hou
神仗儿煞,shen'zhang'er'sha
身正不怕影子斜,shen'zheng'bu'pa'ying'zi'xie
神州白发两飘飘,shen'zhou'bai'fa'liang'piao'piao
胜葫芦上五体,sheng'hu'lu'shang'wu'ti
胜九秋,sheng'jiu'qiu
升平乐,sheng'ping'le
升平守分难,sheng'ping'shou'fen'nan
胜神鳌,sheng'shen'ao
圣药王,sheng'yao'wang
十棒鼓,shi'bang'gu
实不相瞒,shi'bu'xiang'man
十长生里伴定个仙鹤走,shi'chang'sheng'li'ban'ding'ge'xian'he'zou
诗词格律,shi'ci'ge'lv
诗词鉴赏,shi'ci'jian'shang
诗词链接,shi'ci'lian'jie
诗词内链,shi'ci'nei'lian
诗词评析,shi'ci'ping'xi
诗词题解,shi'ci'ti'jie
诗词原文,shi'ci'yuan'wen
十二月,shi'er'yue
是非到底见分明,shi'fei'dao'di'jian'fen'ming
是非只因多开口,shi'fei'zhi'yin'duo'kai'kou
十分淡薄随缘过,shi'fen'dan'bo'sui'yuan'guo
十个麻子九个害,shi'ge'ma'zi'jiu'ge'hai
是个识字的渔夫,shi'ge'shi'zi'de'yu'fu
诗歌影响,shi'ge'ying'xiang
事画团栾莫施展,shi'hua'tuan'luan'mo'shi'zhan
诗经三百首详注,shi'jing'san'bai'shou'xiang'zhu
诗经学史,shi'jing'xue'shi
诗经注析,shi'jing'zhu'xi
诗酒乐天真,shi'jiu'le'tian'zhen
石君宝,shi'jun'bao
使君高宴,shi'jun'gao'yan
使君公,shi'jun'gong
使君子难禁,shi'jun'zi'nan'jin
使了贩茶船,shi'le'fan'cha'chuan
十里荷香,shi'li'he'xiang
十里清阴柳影斜,shi'li'qing'yin'liu'ying'xie
是两个不识字渔樵士大夫,shi'liang'ge'bu'shi'zi'yu'qiao'shi'da'fu
石榴花,shi'liu'hua
事略,shi'lue
时髦不能动,shi'mao'bu'neng'dong
施明德是真英雄,shi'ming'de'shi'zhen'ying'xiong
十年河东十年河西,shi'nian'he'dong'shi'nian'he'xi
侍妾假乖,shi'qie'jia'guai
诗曲已多年,shi'qu'yi'duo'nian
识人多处是非多,shi'ren'duo'chu'shi'fei'duo
史上最强日本史,shi'shang'zui'qiang'ri'ben'shi
诗书丛里且淹留,shi'shu'cong'li'qie'yan'liu
诗书薪火,shi'shu'xin'huo
世态人情经历多,shi'tai'ren'qing'jing'li'duo
诗题,shi'ti
侍香金童,shi'xiang'jin'tong
石雄,shi'xiong
适意行,shi'yi'xing
十指如枯笋,shi'zhi'ru'ku'sun
十指纤纤温更柔,shi'zhi'xian'xian'wen'geng'rou
史中臣,shi'zhong'chen
石竹子,shi'zhu'zi
石子章,shi'zi'zhang
受恩深处便为家,shou'en'shen'chu'bian'wei'jia
寿府僚,shou'fu'liao
受寂寞,shou'ji'mo
收江南,shou'jiang'nan
瘦了重加瘦,shou'le'chong'jia'shou
受人之托忠人之事,shou'ren'zhi'tuo'zhong'ren'zhi'shi
瘦损江梅韵,shou'sun'jiang'mei'yun
收尾,shou'wei
寿星图,shou'xing'tu
瘦岩岩羞带石榴花,shou'yan'yan'xiu'dai'shi'liu'hua
寿阳曲,shou'yang'qu
瘦则瘦不似今番,shou'ze'shou'bu'si'jin'fan
手掌儿里高擎,shou'zhang'er'li'gao'qing
授职,shou'zhi
手执着饯行杯,shou'zhi'zhuo'jian'xing'bei
数点青山屋上屏,shu'dian'qing'shan'wu'shang'ping
输都变作了土,shu'dou'bian'zuo'le'tu
数对清风想念他,shu'dui'qing'feng'xiang'nian'ta
书绝了雁,shu'jue'le'yan
疏狂性惯纵的来自由,shu'kuang'xing'guan'zong'de'lai'zi'you
书来和泪怕开缄,shu'lai'he'lei'pa'kai'jian
输羸胜败,shu'lei'sheng'bai
漱玉词,shu'yu'ci
漱玉词笺,shu'yu'ci'jian
俆征,shu'zheng
耍孩儿,shua'hai'er
耍三台,shua'san'tai
耍厮儿,shua'si'er
衰世,shuai'shi
双调,shuang'diao
双栖科友,shuang'qi'ke'you
霜天沙漠,shuang'tian'sha'mo
双雁儿,shuang'yan'er
双燕子,shuang'yan'zi
双鸳鸯,shuang'yuan'yang
水边开彻芙蓉,shui'bian'kai'che'fu'rong
水边林下茅庐,shui'bian'lin'xia'mao'lu
水边杨柳绿丝垂,shui'bian'yang'liu'lv'si'chui
谁道微官淡无味,shui'dao'wei'guan'dan'wu'wei
水底云阴过,shui'di'yun'yin'guo
水东日记,shui'dong'ri'ji
水红花,shui'hong'hua
谁唤起,shui'huan'qi
睡觉来怀儿里抱空,shui'jiao'lai'huai'er'li'bao'kong
水颗颗芙蓉花额儿窄,shui'ke'ke'fu'rong'hua'e'er'zhai
谁是谁非暗点头,shui'shi'shui'fei'an'dian'tou
水仙子,shui'xian'zi
水秀山挪翠,shui'xiu'shan'nuo'cui
水野忠邦,shui'ye'zhong'bang
水萦纡,shui'ying'yu
谁着你摇铜铃唱挽歌,shui'zhe'ni'yao'tong'ling'chang'wan'ge
谁知又被人拿起,shui'zhi'you'bei'ren'na'qi
说风凉话没出息,shuo'feng'liang'hua'mei'chu'xi
说来的话先瞒过咱,shuo'lai'de'hua'xian'man'guo'zan
说起风流况,shuo'qi'feng'liu'kuang
说似碧茵罗袜客,shuo'si'bi'yin'luo'wa'ke
说与琵琶红袖客,shuo'yu'pi'pa'hong'xiu'ke
四边静,si'bian'jing
四海之内皆兄弟,si'hai'zhi'nei'jie'xiong'di
四换头,si'huan'tou
四季花,si'ji'hua
四季手轻翻,si'ji'shou'qing'fan
四景朝暮不同,si'jing'zhao'mu'bu'tong
似觉平湖胜,si'jue'ping'hu'sheng
四块玉,si'kuai'yu
司马文君情偏重,si'ma'wen'jun'qing'pian'zhong
四门子,si'men'zi
似恁的厮禁持,si'nen'de'si'jin'chi
似神仙离碧宵,si'shen'xian'li'bi'xiao
死生常事不须愁,si'sheng'chang'shi'bu'xu'chou
四时春富贵,si'shi'chun'fu'gui
四时风月一闲身,si'shi'feng'yue'yi'xian'shen
思想万花筒,si'xiang'wan'hua'tong
似这般可喜娘罕见,si'zhe'ban'ke'xi'niang'han'jian
四周浓绿围屏甸,si'zhou'nong'lv'wei'ping'dian
宋词小札,song'ci'xiao'zha
松径偏宜,song'jing'pian'yi
松崎慊堂,song'qi'qian'tang
送远行,song'yuan'xing
搜集科名意在斯,sou'ji'ke'ming'yi'zai'si
苏轼词编年校注,su'shi'ci'bian'nian'jiao'zhu
苏轼文集,su'shi'wen'ji
苏氏贤,su'shi'xian
苏武持节,su'wu'chi'jie
酥枣儿,su'zao'er
苏辙集,su'zhe'ji
酸溜溜螯得牙疼,suan'liu'liu'ao'de'ya'teng
狻猊,suan'ni
岁东巡,sui'dong'xun
随分好事梵王宫月轮高,sui'fen'hao'shi'fan'wang'gong'yue'lun'gao
岁寒居词话,sui'han'ju'ci'hua
碎金盏,sui'jin'zhan
睢景臣,sui'jing'chen
遂了平生愿,sui'le'ping'sheng'yuan
岁稔时康,sui'ren'shi'kang
随煞,sui'sha
随煞调本黄钟,sui'sha'tiao'ben'huang'zhong
随煞尾,sui'sha'wei
隋师东,sui'shi'dong
虽是我话儿嗔,sui'shi'wo'hua'er'chen
随调煞,sui'tiao'sha
随尾,sui'wei
虽无刎颈交,sui'wu'wen'jing'jiao
随缘过得休生受,sui'yuan'guo'de'xiu'sheng'shou
孙飞虎好是羞惭,sun'fei'hu'hao'shi'xiu'can
孙虹,sun'hong
孙逸仙和中国西化医学,sun'yi'xian'he'zhong'guo'xi'hua'yi'xue
孙致弥,sun'zhi'mi
孙中山研究,sun'zhong'shan'yan'jiu
孙仲章,sun'zhong'zhang
索把拳头揾,suo'ba'quan'tou'wen
锁窗前月色明,suo'chuang'qian'yue'se'ming
蓑笠纶竿钓今古,suo'li'lun'gan'diao'jin'gu
她把眼看着眨,ta'ba'yan'kan'zhe'zha
他背靠着我胸皮,ta'bei'kao'zhe'wo'xiong'pi
踏成道,ta'cheng'dao
他出一对鸡,ta'chu'yi'dui'ji
他两个笑加加的谈今论古,ta'liang'ge'xiao'jia'jia'de'tan'jin'lun'gu
他每也曾理结丝桐,ta'mei'ye'ceng'li'jie'si'tong
他却又早醺醺的带酒,ta'que'you'zao'xun'xun'de'dai'jiu
踏莎行,ta'sha'xing
踏阵马,ta'zhen'ma
太保刘公,tai'bao'liu'gong
太常引,tai'chang'yin
太公怎钓,tai'gong'zen'diao
太平歌,tai'ping'ge
太平令,tai'ping'ling
太平天子,tai'ping'tian'zi
太清歌,tai'qing'ge
太守欧翁,tai'shou'ou'weng
台湾译,tai'wan'yi
摊破采茶歌,tan'po'cai'cha'ge
摊破天下乐,tan'po'tian'xia'le
摊破喜春来,tan'po'xi'chun'lai
谈学理,tan'xue'li
唐代商业文明与文学,tang'dai'shang'ye'wen'ming'yu'wen'xue
糖多令,tang'duo'ling
唐圭璋,tang'gui'zhang
唐诗百话,tang'shi'bai'hua
唐宋词选释,tang'song'ci'xuan'shi
汤素兰,tang'su'lan
倘兀歹,tang'wu'dai
唐兀歹,tang'wu'dai
倘秀才,tang'xiu'cai
陶必铨,tao'bi'quan
桃花浪,tao'hua'lang
桃花娘,tao'hua'niang
陶澍,tao'shu
陶元亮醉在东篱,tao'yuan'liang'zui'zai'dong'li
陶渊明集,tao'yuan'ming'ji
特意栽花栽不活,te'yi'zai'hua'zai'bu'huo
滕王高阁江干,teng'wang'gao'ge'jiang'gan
滕玉霄,teng'yu'xiao
提出要求,ti'chu'yao'qiu
题归梦,ti'gui'meng
提起来越心焦,ti'qi'lai'yue'xin'jiao
题情,ti'qing
剔银灯,ti'yin'deng
啼莺舞燕,ti'ying'wu'yan
填词杂说,tian'ci'za'shuo
天地阔,tian'di'kuo
田横五百人安在,tian'heng'wu'bai'ren'an'zai
