阿步,a'bu
雾隐忍者村,wu'yin'ren'zhe'cun
雾隐术,wu'yin'shu
雾隐之术,wu'yin'zhi'shu
五右卫门,wu'you'wei'men
吴越同舟,wu'yue'tong'zhou
五月雨,wu'yue'yu
武藏,wu'zang
乌织,wu'zhi
雾指环,wu'zhi'huan
雾之戒,wu'zhi'jie
雾之守护者,wu'zhi'shou'hu'zhe
雾之指环,wu'zhi'zhi'huan
五柱铁贯,wu'zhu'tie'guan
西川进,xi'chuan'jin
西村雅彦,xi'cun'ya'yan
西村知道,xi'cun'zhi'dao
西界王,xi'jie'wang
夕日红,xi'ri'hong
喜助,xi'zhu
匣兵器,xia'bing'qi
霞大路家,xia'da'lu'jia
霞大路琉璃千代,xia'da'lu'liu'li'qian'dai
夏大叔,xia'da'shu
夏蕾绿,xia'lei'lv
夏梨,xia'li
夏萝,xia'luo
夏洛克福尔摩斯,xia'luo'ke'fu'er'mo'si
夏马尔,xia'ma'er
夏玛尔,xia'ma'er
夏马鲁,xia'ma'lu
下忍,xia'ren
夏日的圣诞老人,xia'ri'de'sheng'dan'lao'ren
夏日星,xia'ri'xing
下屋则子,xia'wu'ze'zi
现场取证,xian'chang'qu'zheng
现代的福尔摩斯,xian'dai'de'fu'er'mo'si
仙术,xian'shu
仙太郎,xian'tai'lang
弦一郎,xian'yi'lang
掀桌,xian'zhuo
香膦,xiang'lin
香磷,xiang'lin
相马,xiang'ma
相马芳野,xiang'ma'fang'ye
相马空海,xiang'ma'kong'hai
响鸣穿,xiang'ming'chuan
相扑大会,xiang'pu'da'hui
向日,xiang'ri
向日岳人,xiang'ri'yue'ren
香穗,xiang'sui
相同的命运,xiang'tong'de'ming'yun
象牙之塔,xiang'ya'zhi'ta
响转,xiang'zhuan
象转之术,xiang'zhuan'zhi'shu
香椎由宇,xiang'zhui'you'yu
小白文,xiao'bai'wen
小坂田朋香,xiao'ban'tian'peng'xiang
小菖,xiao'chang
小川,xiao'chuan
小岛水色,xiao'dao'shui'se
小岛元太,xiao'dao'yuan'tai
小抚,xiao'fu
小骸,xiao'hai
笑话之神,xiao'hua'zhi'shen
小幻,xiao'huan
小基,xiao'ji
小吉良,xiao'ji'liang
小乐乐,xiao'le'le
小栗旬,xiao'li'xun
小梨子,xiao'li'zi
小恋,xiao'lian
小琉璃,xiao'liu'li
小露,xiao'lu
小路路,xiao'lu'lu
小萌,xiao'meng
小南,xiao'nan
小泉红子,xiao'quan'hong'zi
小森田,xiao'sen'tian
小山茉美,xiao'shan'mo'mei
小石川,xiao'shi'chuan
消失的记忆,xiao'shi'de'ji'yi
消失的尸体,xiao'shi'de'shi'ti
消失的凶器,xiao'shi'de'xiong'qi
消失的巡警,xiao'shi'de'xun'jing
消失的一页,xiao'shi'de'yi'ye
消失的音符,xiao'shi'de'yin'fu
小狮郎,xiao'shi'lang
小丝,xiao'si
小桃子,xiao'tao'zi
小西克幸,xiao'xi'ke'xing
小小的翅膀,xiao'xiao'de'chi'bang
小小的目标,xiao'xiao'de'mu'biao
小小的目击者,xiao'xiao'de'mu'ji'zhe
小小的委托人,xiao'xiao'de'wei'tuo'ren
小鸭子,xiao'ya'zi
小言纲,xiao'yan'gang
小言弹,xiao'yan'tan
小言状态,xiao'yan'zhuang'tai
小永,xiao'yong
小悠,xiao'you
小正,xiao'zheng
小织,xiao'zhi
小桩,xiao'zhuang
晓组织,xiao'zu'zhi
写轮眼,xie'lun'yan
邪淫妃,xie'yin'fei
邪之口,xie'zhi'kou
新兵器,xin'bing'qi
新出智明,xin'chu'zhi'ming
新的老师,xin'de'lao'shi
新的指令,xin'de'zhi'ling
新干线护送事件,xin'gan'xian'hu'song'shi'jian
新兰永恒,xin'lan'yong'heng
新邻居,xin'lin'ju
心灵之蛋,xin'ling'zhi'dan
心乱身之术,xin'luan'shen'zhi'shu
新名香保里,xin'ming'xiang'bao'li
新年演唱会,xin'nian'yan'chang'hui
新写轮眼,xin'xie'lun'yan
新一回来了,xin'yi'hui'lai'le
心转身之术,xin'zhuan'shen'zhi'shu
心转心之术,xin'zhuan'xin'zhi'shu
幸村,xing'cun
幸村精市,xing'cun'jing'shi
星光航道,xing'guang'hang'dao
刑军,xing'jun
星那,xing'na
星那歌呗,xing'na'ge'bai
星忍村,xing'ren'cun
形象改造,xing'xiang'gai'zao
星星都知道,xing'xing'dou'zhi'dao
形状记忆,xing'zhuang'ji'yi
星组,xing'zu
兄长大人,xiong'zhang'da'ren
袖白雪,xiu'bai'xue
修兵,xiu'bing
修莱亚,xiu'lai'ya
修罗道,xiu'luo'dao
休门,xiu'men
朽木白哉,xiu'mu'bai'zai
朽木大人,xiu'mu'da'ren
朽木队长,xiu'mu'dui'zhang
朽木绯真,xiu'mu'fei'zhen
朽木家,xiu'mu'jia
朽木露琦亚,xiu'mu'lu'qi'ya
朽木露琪亚,xiu'mu'lu'qi'ya
朽木同学,xiu'mu'tong'xue
朽木小姐,xiu'mu'xiao'jie
朽木银铃,xiu'mu'yin'ling
修行室,xiu'xing'shi
秀一,xiu'yi
秀一郎,xiu'yi'lang
戌吊,xu'diao
绪方贤一,xu'fang'xian'yi
虚假的爱情,xu'jia'de'ai'qing
虚假的友情,xu'jia'de'you'qing
虚圈,xu'quan
虚闪,xu'shan
虚闪重奏,xu'shan'chong'zou
虚弹,xu'tan
须王环,xu'wang'huan
虚伪的人,xu'wei'de'ren
续舞,xu'wu
嘘嘘婆婆,xu'xu'po'po
须佐能乎,xu'zuo'neng'hu
须佐之男,xu'zuo'zhi'nan
玄能,xuan'neng
漩涡鸣人,xuan'wo'ming'ren
旋涡齐奈,xuan'wo'qi'nai
漩涡忍传,xuan'wo'ren'chuan
漩涡之国,xuan'wo'zhi'guo
旋转的凶器,xuan'zhuan'de'xiong'qi
雪贝,xue'bei
穴户,xue'hu
穴户亮,xue'hu'liang
雪姬忍法帖,xue'ji'ren'fa'tie
血继限界,xue'ji'xian'jie
血染的情人节,xue'ran'de'qing'ren'jie
雪山的休假,xue'shan'de'xiu'jia
血霞之盾,xue'xia'zhi'dun
学校奇谈,xue'xiao'qi'tan
血腥情人节,xue'xing'qing'ren'jie
雪野五月,xue'ye'wu'yue
雪之国,xue'zhi'guo
寻宝去,xun'bao'qu
压害,ya'hai
亚久津,ya'jiu'jin
亚久津仁,ya'jiu'jin'ren
牙狼牙,ya'lang'ya
亚露,ya'lu
亚罗尼洛,ya'luo'ni'luo
亚美,ya'mei
亚梦,ya'meng
牙密,ya'mi
雅木茶,ya'mu'cha
亚丘卡斯,ya'qiu'ka'si
亚实,ya'shi
牙通牙,ya'tong'ya
雅也,ya'ye
雅治,ya'zhi
燕吹雪,yan'chui'xue
岩击,yan'ji
演讲比赛,yan'jiang'bi'sai
岩鹫,yan'jiu
岩居由希子,yan'ju'you'xi'zi
严灵丸,yan'ling'wan
阎魔蟋蟀,yan'mo'xi'shuai
燕特攻,yan'te'gong
岩隐,yan'yin
岩隐村,yan'yin'cun
岩隐忍者村,yan'yin'ren'zhe'cun
盐泽兼人,yan'ze'jian'ren
岩佐真悠子,yan'zuo'zhen'you'zi
阳光普照的地方,yang'guang'pu'zhao'de'di'fang
洋平,yang'ping
妖狐外衣,yao'hu'wai'yi
妖狐之衣,yao'hu'zhi'yi
妖话,yao'hua
咬杀,yao'sha
药师兜,yao'shi'dou
钥匙和锁,yao'shi'he'suo
夜叉丸,ye'cha'wan
野村拓也,ye'cun'tuo'ye
夜路杀人事件,ye'lu'sha'ren'shi'jian
野田顺子,ye'tian'shun'zi
业头,ye'tou
夜一,ye'yi
夜一大人,ye'yi'da'ren
夜一姐,ye'yi'jie
夜一先生,ye'yi'xian'sheng
伊尔弗特,yi'er'fu'te
一番队,yi'fan'dui
一个信念,yi'ge'xin'nian
义骸,yi'hai
伊鹤,yi'he
一护,yi'hu
一护哥,yi'hu'ge
一护君,yi'hu'jun
义魂丸,yi'hun'wan
疑惑的天体观测,yi'huo'de'tian'ti'guan'ce
伊江村,yi'jiang'cun
伊江村八十千和,yi'jiang'cun'ba'shi'qian'he
一井,yi'jing
一乐,yi'le
一乐拉面,yi'le'la'mian
医疗小队,yi'liao'xiao'dui
意料之外,yi'liao'zhi'wai
依琉,yi'liu
遗漏的东西,yi'lou'de'dong'xi
依鲁,yi'lu
一露王道,yi'lu'wang'dao
伊那里,yi'na'li
一茜,yi'qian
一氏,yi'shi
伊势七绪,yi'shi'qi'xu
遗失遗忘,yi'shi'yi'wang
一氏勇次,yi'shi'yong'ci
遗书之谜,yi'shu'zhi'mi
伊藤健太郎,yi'teng'jian'tai'lang
遗忘君,yi'wang'jun
一尾守鹤,yi'wei'shou'he
伊武,yi'wu
伊武深司,yi'wu'shen'si
伊武雅刀,yi'wu'ya'dao
以下克上,yi'xia'ke'shang
一心大叔,yi'xin'da'shu
一枝,yi'zhi
一织,yi'zhi
一之濑真树,yi'zhi'lai'zhen'shu
引爆符,yin'bao'fu
引爆摩天楼,yin'bao'mo'tian'lou
银翅膀的魔术师,yin'chi'bang'de'mo'shu'shi
因果之锁,yin'guo'zhi'suo
银行抢匪,yin'hang'qiang'fei
阴和雷,yin'he'lei
银露,yin'lu
银乱,yin'luan
音梦,yin'meng
隐秘机动,yin'mi'ji'dong
音忍,yin'ren
音忍村,yin'ren'cun
音忍五人众,yin'ren'wu'ren'zhong
音忍者村,yin'ren'zhe'cun
银筒,yin'tong
银彦,yin'yan
银翼的魔术师,yin'yi'de'mo'shu'shi
银翼的时间之旅,yin'yi'de'shi'jian'zhi'lv
英二,ying'er
影分身术,ying'fen'shen'shu
影风车,ying'feng'che
应该相同,ying'gai'xiang'tong
樱井,ying'jing
樱井孝宏,ying'jing'xiao'hong
樱井雅也,ying'jing'ya'ye
樱兰高中,ying'lan'gao'zhong
樱乃,ying'nai
硬涡水刃,ying'wo'shui'ren
影舞叶,ying'wu'ye
鹰小队,ying'xiao'dui
映照雨,ying'zhao'yu
影子模仿术,ying'zi'mo'fang'shu
永别了露琪亚,yong'bie'le'lu'qi'ya
勇次,yong'ci
勇敢的决定,yong'gan'de'jue'ding
勇音,yong'yin
有毒料理,you'du'liao'li
由加里,you'jia'li
右近,you'jin
有空森同学,you'kong'sen'tong'xue
由良,you'liang
幽灵大厦,you'ling'da'sha
柚木凉香,you'mu'liang'xiang
油女志乃,you'nv'zhi'nai
侑士,you'shi
佑野,you'ye
有泽龙贵,you'ze'long'gui
优作,you'zuo
游佐浩二,you'zuo'hao'er
羽多野涉,yu'duo'ye'she
狱纲,yu'gang
羽戈,yu'ge
雨龙,yu'long
雨露千本,yu'lu'qian'ben
雨忍,yu'ren
雨忍村,yu'ren'cun
雨忍者村,yu'ren'zhe'cun
鱼事件,yu'shi'jian
雨手,yu'shou
御手洗红豆,yu'shou'xi'hong'dou
狱寺,yu'si
狱寺隼人,yu'si'sun'ren
狱寺凖人,yu'si'zhun'ren
裕太,yu'tai
语言不通,yu'yan'bu'tong
鱼邮件的追踪,yu'you'jian'de'zhui'zong
雨织,yu'zhi
宇智波斑,yu'zhi'bo'ban
宇智波带土,yu'zhi'bo'dai'tu
宇智波富岳,yu'zhi'bo'fu'yue
宇智波美琴,yu'zhi'bo'mei'qin
宇智波鼬,yu'zhi'bo'you
宇智波止水,yu'zhi'bo'zhi'shui
宇智波佐助,yu'zhi'bo'zuo'zhu
雨指环,yu'zhi'huan
雨之守护者,yu'zhi'shou'hu'zhe
雨之指环,yu'zhi'zhi'huan
雨中的似曾相识,yu'zhong'de'si'ceng'xiang'shi
远方操作,yuan'fang'cao'zuo
猿飞,yuan'fei
猿飞阿斯玛,yuan'fei'a'si'ma
圆谷光彦,yuan'gu'guang'yan
远近孝一,yuan'jin'xiao'yi
猿魔,yuan'mo
元气弹,yuan'qi'tan
远山和叶,yuan'shan'he'ye
远山金太郎,yuan'shan'jin'tai'lang
猿柿日世里,yuan'shi'ri'shi'li
元太的灾难,yuan'tai'de'zai'nan
元太少年的灾难,yuan'tai'shao'nian'de'zai'nan
约定的场所,yue'ding'de'chang'suo
月读,yue'du
月光疾风,yue'guang'ji'feng
越前,yue'qian
越前菜菜子,yue'qian'cai'cai'zi
越前龙马,yue'qian'long'ma
越前伦子,yue'qian'lun'zi
越前南次郎,yue'qian'nan'ci'lang
岳人,yue'ren
月森莲,yue'sen'lian
月牙天冲,yue'ya'tian'chong
月咏,yue'yong
月咏歌呗,yue'yong'ge'bai
月咏几斗,yue'yong'ji'dou
月之魅,yue'zhi'mei
月组,yue'zu
云豆,yun'dou
云纲,yun'gang
云雀恭弥,yun'que'gong'mi
云雀前辈,yun'que'qian'bei
云雀学长,yun'que'xue'zhang
晕樱症,yun'ying'zheng
云之戒,yun'zhi'jie
云之守护者,yun'zhi'shou'hu'zhe
云之指环,yun'zhi'zhi'huan
在法国,zai'fa'guo
再见露琪亚,zai'jian'lu'qi'ya
在雾里,zai'wu'li
再炎,zai'yan
藏人,zang'ren
葬讨部队,zang'tao'bu'dui
早水,zao'shui
沢田,ze'tian
泽田,ze'tian
沢田纲吉,ze'tian'gang'ji
泽田纲吉,ze'tian'gang'ji
沢田家光,ze'tian'jia'guang
泽田家光,ze'tian'jia'guang
沢田奈奈,ze'tian'nai'nai
泽田奈奈,ze'tian'nai'nai
憎恨之村,zeng'hen'zhi'cun
增血丸,zeng'xue'wan
斎贺,zhai'he
斩空波,zhan'kong'bo
斩空极波,zhan'kong'ji'bo
战栗的乐谱,zhan'li'de'yue'pu
战栗的总谱,zhan'li'de'zong'pu
詹姆斯布莱克,zhan'mu'si'bu'lai'ke
斩魄刀,zhan'po'dao
粘写,zhan'xie
崭新的开始,zhan'xin'de'kai'shi
斩月,zhan'yue
斩月大叔,zhan'yue'da'shu
斩斩舞,zhan'zhan'wu
掌仙术,zhang'xian'shu
召唤六道,zhao'huan'liu'dao
照片为证,zhao'pian'wei'zheng
肇事逃逸,zhao'shi'tao'yi
沼渊己一郎,zhao'yuan'ji'yi'lang
遮魂膜,zhe'hun'mo
这就是真相,zhe'jiu'shi'zhen'xiang
折笠,zhe'li
折笠富美子,zhe'li'fu'mei'zi
这世上最,zhe'shi'shang'zui
这是真实的,zhe'shi'zhen'shi'de
者之书,zhe'zhi'shu
真城,zhen'cheng
真城璃茉,zhen'cheng'li'mo
真城璃舞,zhen'cheng'li'wu
针地藏,zhen'di'zang
震点,zhen'dian
真殿光昭,zhen'dian'guang'zhao
震动的警视厅,zhen'dong'de'jing'shi'ting
镇魂曲,zhen'hun'qu
真奈美,zhen'nai'mei
阵内孝则,zhen'nei'xiao'ze
侦探徽章,zhen'tan'hui'zhang
侦探甲子园,zhen'tan'jia'zi'yuan
侦探们的安魂曲,zhen'tan'men'de'an'hun'qu
侦探们的镇魂歌,zhen'tan'men'de'zhen'hun'ge
侦探团生还事件,zhen'tan'tuan'sheng'huan'shi'jian
真田,zhen'tian
真田弦一郎,zhen'tian'xian'yi'lang
真咲,zhen'xiao
真正的自我,zhen'zheng'de'zi'wo
真子平子,zhen'zi'ping'zi
挣脱术,zheng'tuo'shu
整音,zheng'yin
之芭,zhi'ba
志保,zhi'bao
止绷,zhi'beng
志波,zhi'bo
志波都,zhi'bo'dou
志波海燕,zhi'bo'hai'yan
志波家,zhi'bo'jia
志波空鹤,zhi'bo'kong'he
志波岩鹫,zhi'bo'yan'jiu
止不住的眼泪,zhi'bu'zhu'de'yan'lei
支持新兰,zhi'chi'xin'lan
指环争夺战,zhi'huan'zheng'duo'zhan
织姬,zhi'ji
知念,zhi'nian
置鲇,zhi'nian
知念宽,zhi'nian'kuan
置鮎龙太郎,zhi'nian'long'tai'lang
置鲇龙太郎,zhi'nian'long'tai'lang
植之冢光邦,zhi'zhi'zhong'guang'bang
蜘蛛缚,zhi'zhu'fu
蜘蛛公馆,zhi'zhu'gong'guan
蜘蛛粘金,zhi'zhu'zhan'jin
中村太亮,zhong'cun'tai'liang
中村悠一,zhong'cun'you'yi
中岛沙树,zhong'dao'sha'shu
中多和宏,zhong'duo'he'hong
终极英雄,zhong'ji'ying'xiong
终结之谷,zhong'jie'zhi'gu
终景,zhong'jing
终景白帝剑,zhong'jing'bai'di'jian
中忍,zhong'ren
中忍考试,zhong'ren'kao'shi
中森警官,zhong'sen'jing'guan
中森青子,zhong'sen'qing'zi
中森银三,zhong'sen'yin'san
中田和宏,zhong'tian'he'hong
中头奖,zhong'tou'jiang
中尾隆圣,zhong'wei'long'sheng
重吾,zhong'wu
中央四十六室,zhong'yang'si'shi'liu'shi
重要的人,zhong'yao'de'ren
重要嫌疑人,zhong'yao'xian'yi'ren
周刊少年,zhou'kan'shao'nian
咒印,zhou'yin
咒印术,zhou'yin'shu
周助,zhou'zhu
朱蒂,zhu'di
朱鹭,zhu'lu
竹内伦子,zhu'nei'lun'zi
竹内顺子,zhu'nei'shun'zi
竹取君麻吕,zhu'qu'jun'ma'lv
竹寿司,zhu'shou'si
追牙术,zhui'ya'shu
追牙之术,zhui'ya'zhi'shu
追踪目标,zhui'zong'mu'biao
追踪消失的钻石,zhui'zong'xiao'shi'de'zuan'shi
凖人,zhun'ren
自爆分身,zi'bao'fen'shen
紫红之爪,zi'hong'zhi'zhao
自来也,zi'lai'ye
自然能源,zi'ran'neng'yuan
自我爆炸,zi'wo'bao'zha
总队长大人,zong'dui'zhang'da'ren
宗弦,zong'xian
惣右介,zong'you'jie
诅咒面具的冷笑,zu'zhou'mian'ju'de'leng'xiao
诅咒人形,zu'zhou'ren'xing
最爱露露,zui'ai'lu'lu
最后的闪光炮,zui'hou'de'shan'guang'pao
最后的王牌,zui'hou'de'wang'pai
最后的心,zui'hou'de'xin
最后的遗言,zui'hou'de'yi'yan
最后一箭,zui'hou'yi'jian
最强排名,zui'qiang'pai'ming
最终的决战,zui'zhong'de'jue'zhan
最终手段,zui'zhong'shou'duan
佐伯,zuo'bo
佐伯虎次郎,zuo'bo'hu'ci'lang
佐井,zuo'jing
佐久间红美,zuo'jiu'jian'hong'mei
佐马利,zuo'ma'li
佐马力,zuo'ma'li
佐藤警官,zuo'teng'jing'guan
佐藤美贵,zuo'teng'mei'gui
佐藤美和子,zuo'teng'mei'he'zi
佐佐木藏之介,zuo'zuo'mu'cang'zhi'jie
佐佐木修兵,zuo'zuo'mu'xiu'bing
