埃布韦尔厂,ai'bu'wei'er'chang
面板,mian'ban
面部的,mian'bu'de
面对称,mian'dui'cheng
面对面撞击,mian'dui'mian'zhuang'ji
面角,mian'jiao
面接触,mian'jie'chu
面料,mian'liao
面砂,mian'sha
面饰,mian'shi
面铣刀片装置角,mian'xi'dao'pian'zhuang'zhi'jiao
面心的,mian'xin'de
面心点阵,mian'xin'dian'zhen
面心晶格,mian'xin'jing'ge
面心晶体,mian'xin'jing'ti
面心立方变态,mian'xin'li'fang'bian'tai
面心立方点阵,mian'xin'li'fang'dian'zhen
面心立方点阵原排面堆砌次序,mian'xin'li'fang'dian'zhen'yuan'pai'mian'dui'qi'ci'xu
面心立方合金,mian'xin'li'fang'he'jin
面心立方结构,mian'xin'li'fang'jie'gou
面心立方金属,mian'xin'li'fang'jin'shu
面心立方晶胞,mian'xin'li'fang'jing'bao
面心立方晶格,mian'xin'li'fang'jing'ge
面心立方晶体,mian'xin'li'fang'jing'ti
面心立方晶系,mian'xin'li'fang'jing'xi
面心立方晶型,mian'xin'li'fang'jing'xing
面心立方铜金合金,mian'xin'li'fang'tong'jin'he'jin
面心立方相,mian'xin'li'fang'xiang
面心立方正交点阵,mian'xin'li'fang'zheng'jiao'dian'zhen
面心四方点阵,mian'xin'si'fang'dian'zhen
面心位置,mian'xin'wei'zhi
苗木石,miao'mu'shi
灭弧,mie'hu
灭弧线圈,mie'hu'xian'quan
灭火,mie'huo
灭火器,mie'huo'qi
皿,min
皿状的,min'zhuang'de
名称,ming'cheng
名次估计,ming'ci'gu'ji
明缝,ming'feng
明接头,ming'jie'tou
命名法,ming'ming'fa
命名原则,ming'ming'yuan'ze
铭牌,ming'pai
明排管道,ming'pai'guan'dao
名牌货,ming'pai'huo
明线,ming'xian
名义的,ming'yi'de
名义减面率,ming'yi'jian'mian'lv
名义截面减缩比,ming'yi'jie'mian'jian'suo'bi
缪镍铁铜系高导磁率合金,miu'nie'tie'tong'xi'gao'dao'ci'lv'he'jin
模,mo
磨边设备,mo'bian'she'bei
摩擦性质,mo'ca'xing'zhi
模底,mo'di
末端淬火,mo'duan'cui'huo
末端淬火法,mo'duan'cui'huo'fa
末端淬火试棒,mo'duan'cui'huo'shi'bang
末端淬火试样,mo'duan'cui'huo'shi'yang
末端淬透性试验,mo'duan'cui'tou'xing'shi'yan
末端打印,mo'duan'da'yin
末端电池,mo'duan'dian'chi
末端跨,mo'duan'kua
末端冷却,mo'duan'leng'que
末端流钢砖,mo'duan'liu'gang'zhuan
模锻炉,mo'duan'lu
末端屏蔽,mo'duan'ping'bi
末端向前,mo'duan'xiang'qian
模锻压力机,mo'duan'ya'li'ji
莫尔琼斯轴承合金,mo'er'qiong'si'zhou'cheng'he'jin
莫尔三钟式装料装置,mo'er'san'zhong'shi'zhuang'liao'zhuang'zhi
莫尔斯竖炉直接还原法,mo'er'si'shu'lu'zhi'jie'huan'yuan'fa
摩戈伊尔辊颈铝锡合金轴承,mo'ge'yi'er'gun'jing'lv'xi'he'jin'zhou'cheng
摩戈伊尔铝锡合金轴承润滑装置,mo'ge'yi'er'lv'xi'he'jin'zhou'cheng'run'hua'zhuang'zhi
摩根式小型轧机,mo'gen'shi'xiao'xing'zha'ji
蘑菇阀,mo'gu'fa
蘑菇形通风筒,mo'gu'xing'tong'feng'tong
磨光砖,mo'guang'zhuan
模焊,mo'han
模盒,mo'he
膜厚度不均,mo'hou'du'bu'jun
模糊的,mo'hu'de
模壳断路器,mo'ke'duan'lu'qi
模孔模坯,mo'kong'mo'pi
模孔针磨机,mo'kong'zhen'mo'ji
磨矿盘,mo'kuang'pan
莫来石耐火材料,mo'lai'shi'nai'huo'cai'liao
莫来石熟料,mo'lai'shi'shu'liao
莫里森展性青铜,mo'li'sen'zhan'xing'qing'tong
磨轮,mo'lun
莫洛树脂砂料离心铸管法,mo'luo'shu'zhi'sha'liao'li'xin'zhu'guan'fa
模拟器,mo'ni'qi
莫诺硬度,mo'nuo'ying'du
莫诺硬度计,mo'nuo'ying'du'ji
莫诺硬度试验,mo'nuo'ying'du'shi'yan
莫塞克黄铜型假金,mo'sai'ke'huang'tong'xing'jia'jin
莫塞特铜银合金,mo'sai'te'tong'yin'he'jin
末梢的,mo'shao'de
磨石,mo'shi
磨蚀,mo'shi
磨蚀速率,mo'shi'su'lv
磨蚀速率时间图,mo'shi'su'lv'shi'jian'tu
莫氏锥柄钻,mo'shi'zhui'bing'zuan
莫斯利定律,mo'si'li'ding'lv
莫塔洛伊粒状锡基合金,mo'ta'luo'yi'li'zhuang'xi'ji'he'jin
莫塔锡基高强度轴承合金,mo'ta'xi'ji'gao'qiang'du'zhou'cheng'he'jin
模套,mo'tao
莫特纳巴罗公式,mo'te'na'ba'luo'gong'shi
莫特纳巴罗关系式,mo'te'na'ba'luo'guan'xi'shi
莫特纳巴罗效应,mo'te'na'ba'luo'xiao'ying
莫特痊错上升运动模型,mo'te'quan'cuo'shang'sheng'yun'dong'mo'xing
莫特碎化参数,mo'te'sui'hua'can'shu
莫特位错攀移模型,mo'te'wei'cuo'pan'yi'mo'xing
模体,mo'ti
摩托化,mo'tuo'hua
莫维波尔电解抛光装置,mo'wei'bo'er'dian'jie'pao'guang'zhuang'zhi
摹写,mo'xie
模型润滑,mo'xing'run'hua
模型上的标记,mo'xing'shang'de'biao'ji
模型系数,mo'xing'xi'shu
模型组合,mo'xing'zu'he
模压机,mo'ya'ji
模压永久磁铁,mo'ya'yong'jiu'ci'tie
模制盒式断路器,mo'zhi'he'shi'duan'lu'qi
模制混凝土,mo'zhi'hun'ning'tu
模组,mo'zu
模座侧送料压力机,mo'zuo'ce'song'liao'ya'li'ji
母板,mu'ban
目标,mu'biao
目标程序库,mu'biao'cheng'xu'ku
目标程序模序模块,mu'biao'cheng'xu'mo'xu'mo'kuai
目标程序纸带,mu'biao'cheng'xu'zhi'dai
目标代码,mu'biao'dai'ma
目标计算机,mu'biao'ji'suan'ji
目标模块,mu'biao'mo'kuai
目标语言,mu'biao'yu'yan
目标语言程序,mu'biao'yu'yan'cheng'xu
钼波民瓦尔合金,mu'bo'min'wa'er'he'jin
目测草图,mu'ce'cao'tu
目测法,mu'ce'fa
目的,mu'di
母碉,mu'diao
木钉,mu'ding
木钉起模,mu'ding'qi'mo
穆尔叶片式真空过滤机,mu'er'ye'pian'shi'zhen'kong'guo'lv'ji
母合金,mu'he'jin
母金属,mu'jin'shu
目镜,mu'jing
目镜测微计,mu'jing'ce'wei'ji
目镜管,mu'jing'guan
模具可动式拉伸成形机,mu'ju'ke'dong'shi'la'shen'cheng'xing'ji
穆坎德钢铁公司,mu'kan'de'gang'tie'gong'si
穆雷铝焊料,mu'lei'lv'han'liao
穆列克斯热裂试验,mu'lie'ke'si're'lie'shi'yan
母模,mu'mo
母球长大区,mu'qiu'zhang'da'qu
穆斯堡尔光谱学,mu'si'bao'er'guang'pu'xue
穆斯堡尔效应,mu'si'bao'er'xiao'ying
钼酸钕,mu'suan'nv
穆索回转反应罐直接还原法,mu'suo'hui'zhuan'fan'ying'guan'zhi'jie'huan'yuan'fa
穆西利特殊型锡铋汞合金,mu'xi'li'te'shu'xing'xi'bi'gong'he'jin
模样托板,mu'yang'tuo'ban
母液,mu'ye
母液槽,mu'ye'cao
母液蒸发器,mu'ye'zheng'fa'qi
镎,na
纳巴罗赫林方程式,na'ba'luo'he'lin'fang'cheng'shi
那不勒斯巴尼奥利厂,na'bu'le'si'ba'ni'ao'li'chang
纳达铜基合金,na'da'tong'ji'he'jin
纳尔森钢和线材公司,na'er'sen'gang'he'xian'cai'gong'si
纳尔森线材公司,na'er'sen'xian'cai'gong'si
纳尔逊钢公司,na'er'xun'gang'gong'si
钠沸石,na'fei'shi
钠钙长石,na'gai'chang'shi
纳格尔朱纳钢公司,na'ge'er'zhu'na'gang'gong'si
钠还原,na'huan'yuan
钠钾水玻璃,na'jia'shui'bo'li
纳克钠钾共晶合金,na'ke'na'jia'gong'jing'he'jin
纳莱特极硬铝青铜,na'lai'te'ji'ying'lv'qing'tong
钠量计,na'liang'ji
钠明砜石,na'ming'feng'shi
纳什泵,na'shi'beng
纳斯特里带钢轧制公司,na'si'te'li'dai'gang'zha'zhi'gong'si
纳苏休斯电弧电阻炉,na'su'xiu'si'dian'hu'dian'zu'lu
纳特基锡基轴承合金,na'te'ji'xi'ji'zhou'cheng'he'jin
钠硝石,na'xiao'shi
纳逊萘尔,na'xun'nai'er
钠铀云母,na'you'yun'mu
氖,nai
萘,nai
萘胺,nai'an
萘饼,nai'bing
耐剥蚀合金,nai'bo'shi'he'jin
萘撑次萘基,nai'cheng'ci'nai'ji
耐冲击钢,nai'chong'ji'gang
耐冲蚀涂层,nai'chong'shi'tu'ceng
耐冲蚀性,nai'chong'shi'xing
萘醇,nai'chun
萘堵塞,nai'du'se
奈耳点,nai'er'dian
萘二甲酸,nai'er'jia'suan
奈耳温度,nai'er'wen'du
萘酚,nai'fen
耐干燥性,nai'gan'zao'xing
氖管,nai'guan
氖管指示灯,nai'guan'zhi'shi'deng
氖光灯,nai'guang'deng
萘磺酸,nai'huang'suan
萘基,nai'ji
萘浆,nai'jiang
萘结晶器,nai'jie'jing'qi
耐久比,nai'jiu'bi
耐久试验,nai'jiu'shi'yan
耐久特性,nai'jiu'te'xing
耐久限度,nai'jiu'xian'du
耐久性,nai'jiu'xing
氖壳电子,nai'ke'dian'zi
奈克罗姆高强度低合金钢,nai'ke'luo'mu'gao'qiang'du'di'he'jin'gang
耐纶,nai'lun
耐摩擦性,nai'mo'ca'xing
萘浓度,nai'nong'du
耐侵蚀砖,nai'qin'shi'zhuan
耐热镍铬钴多元合金,nai're'nie'ge'gu'duo'yuan'he'jin
耐热铁铬镍铝合金,nai're'tie'ge'nie'lv'he'jin
耐蚀的,nai'shi'de
耐蚀高镍铸铁,nai'shi'gao'nie'zhu'tie
耐蚀铝合金,nai'shi'lv'he'jin
耐蚀镍合金,nai'shi'nie'he'jin
氖示谐管,nai'shi'xie'guan
奈斯密斯斜后墙,nai'si'mi'si'xie'hou'qiang
萘酸,nai'suan
萘羧酸,nai'suo'suan
奈塔尔硝酸乙醇腐蚀液,nai'ta'er'xiao'suan'yi'chun'fu'shi'ye
奈特拉洛伊渗氮用钠,nai'te'la'luo'yi'shen'dan'yong'na
耐压试验,nai'ya'shi'yan
耐用设备,nai'yong'she'bei
萘油,nai'you
耐油的,nai'you'de
难成球矿石,nan'cheng'qiu'kuang'shi
难磁化方向,nan'ci'hua'fang'xiang
南京钢铁厂,nan'jing'gang'tie'chang
喃头,nan'tou
难造球矿石,nan'zao'qiu'kuang'shi
瑙谢拉工程公司,nao'xie'la'gong'cheng'gong'si
挠性联轴节,nao'xing'lian'zhou'jie
内表面检查仪,nei'biao'mian'jian'cha'yi
内标温度计,nei'biao'wen'du'ji
内槽轮式排种器条播机,nei'cao'lun'shi'pai'zhong'qi'tiao'bo'ji
内根丁一三黄铜,nei'gen'ding'yi'san'huang'tong
内华达铜镍锌合金,nei'hua'da'tong'nie'xin'he'jin
内华达银,nei'hua'da'yin
内接头连接,nei'jie'tou'lian'jie
内拉簧夹套,nei'la'huang'jia'tao
内燃打夯机,nei'ran'da'hang'ji
内燃机,nei'ran'ji
内塞雾化铁粉生产法,nei'sai'wu'hua'tie'fen'sheng'chan'fa
内莎玻璃,nei'sha'bo'li
内渗计,nei'shen'ji
内渗现象,nei'shen'xian'xiang
内生夹渣,nei'sheng'jia'zha
内生凝固,nei'sheng'ning'gu
内视镜,nei'shi'jing
内外涵涡轮喷气发动机,nei'wai'han'wo'lun'pen'qi'fa'dong'ji
内外滑块分别导向的双动油压机,nei'wai'hua'kuai'fen'bie'dao'xiang'de'shuang'dong'you'ya'ji
内外四心桃尖拱,nei'wai'si'xin'tao'jian'gong
内维尔岛厂,nei'wei'er'dao'chang
内伊罗蒂钢管公司,nei'yi'luo'di'gang'guan'gong'si
内在夹杂,nei'zai'jia'za
能,neng
能带,neng'dai
能带宽度,neng'dai'kuan'du
能带图,neng'dai'tu
能峰,neng'feng
能谷,neng'gu
能含量,neng'han'liang
能积,neng'ji
能级,neng'ji
能脊,neng'ji
能级分裂,neng'ji'fen'lie
能积曲线,neng'ji'qu'xian
能级图,neng'ji'tu
能垒,neng'lei
能垒峰,neng'lei'feng
能力,neng'li
能力消散,neng'li'xiao'san
能量,neng'liang
能量变换,neng'liang'bian'huan
能量标度,neng'liang'biao'du
能量传递介质,neng'liang'chuan'di'jie'zhi
能量等值线,neng'liang'deng'zhi'xian
能量范围,neng'liang'fan'wei
能量分辨率,neng'liang'fen'bian'lv
能量分布,neng'liang'fen'bu
能量分布函数,neng'liang'fen'bu'han'shu
能量恢复,neng'liang'hui'fu
能量极限,neng'liang'ji'xian
能量交换,neng'liang'jiao'huan
能量均分,neng'liang'jun'fen
能量密度,neng'liang'mi'du
能量平衡,neng'liang'ping'heng
能量平衡表,neng'liang'ping'heng'biao
能量平衡直接分析法,neng'liang'ping'heng'zhi'jie'fen'xi'fa
能量区,neng'liang'qu
能量释出,neng'liang'shi'chu
能量释放,neng'liang'shi'fang
能量势垒,neng'liang'shi'lei
能量输入,neng'liang'shu'ru
能量输送,neng'liang'shu'song
能量损失,neng'liang'sun'shi
能量特性,neng'liang'te'xing
能量突变,neng'liang'tu'bian
能量吸收,neng'liang'xi'shou
能量吸收能力,neng'liang'xi'shou'neng'li
能量吸收器,neng'liang'xi'shou'qi
能量消耗,neng'liang'xiao'hao
能量蓄积,neng'liang'xu'ji
能量需要量,neng'liang'xu'yao'liang
能量硬度,neng'liang'ying'du
能量跃变,neng'liang'yue'bian
能量增量,neng'liang'zeng'liang
能量转换,neng'liang'zhuan'huan
能量转移,neng'liang'zhuan'yi
能量转移系数,neng'liang'zhuan'yi'xi'shu
能量子,neng'liang'zi
能流,neng'liu
能斯脱定理,neng'si'tuo'ding'li
能斯脱分配定律,neng'si'tuo'fen'pei'ding'lv
能斯脱公式,neng'si'tuo'gong'shi
能斯脱普朗克定理,neng'si'tuo'pu'lang'ke'ding'li
能斯脱特效应,neng'si'tuo'te'xiao'ying
能态,neng'tai
能通量,neng'tong'liang
能隙,neng'xi
能阈,neng'yu
能源,neng'yuan
能源产生,neng'yuan'chan'sheng
能源钢管公司,neng'yuan'gang'guan'gong'si
能源介质分配,neng'yuan'jie'zhi'fen'pei
尼阿格含铅黄铜,ni'a'ge'han'qian'huang'tong
泥包,ni'bao
尼达拔制用锡磷青铜,ni'da'ba'zhi'yong'xi'lin'qing'tong
铌的,ni'de
尼厄罗铜金镍合金,ni'e'luo'tong'jin'nie'he'jin
尼尔壁,ni'er'bi
尼尔镍铝铁永磁合金,ni'er'nie'lv'tie'yong'ci'he'jin
尼尔森试验,ni'er'sen'shi'yan
尼尔斯坦镍铬不锈钢,ni'er'si'tan'nie'ge'bu'xiu'gang
尼尔瓦铁镍低膨胀系数合金,ni'er'wa'tie'nie'di'peng'zhang'xi'shu'he'jin
尼尔质谱仪,ni'er'zhi'pu'yi
铌粉,ni'fen
尼弗柯镍钴合金系,ni'fu'ke'nie'gu'he'jin'xi
霓虹灯,ni'hong'deng
霓虹灯泡,ni'hong'deng'pao
尼加罗炼镍法,ni'jia'luo'lian'nie'fa
泥浆泵,ni'jiang'beng
泥浆沉淀池,ni'jiang'chen'dian'chi
尼卡钢管公司,ni'ka'gang'guan'gong'si
尼卡留姆高强度耐蚀铝青铜,ni'ka'liu'mu'gao'qiang'du'nai'shi'lv'qing'tong
尼卡洛伊高导磁率合金,ni'ka'luo'yi'gao'dao'ci'lv'he'jin
尼凯莱克斯光泽镀镍法,ni'kai'lai'ke'si'guang'ze'du'nie'fa
尼科耳棱镜,ni'ke'er'leng'jing
尼科尔斯赫雷肖夫多膛大型焙烧炉,ni'ke'er'si'he'lei'xiao'fu'duo'tang'da'xing'bei'shao'lu
尼科尔斯雾化镁粉法,ni'ke'er'si'wu'hua'mei'fen'fa
尼克尔廷镍锡合金,ni'ke'er'ting'nie'xi'he'jin
尼克拉德包镍耐蚀高强度钢板,ni'ke'la'de'bao'nie'nai'shi'gao'qiang'du'gang'ban
尼克拉尔高强度铝合金,ni'ke'la'er'gao'qiang'du'lv'he'jin
尼克拉耐蚀镍铝黄铜,ni'ke'la'nai'shi'nie'lv'huang'tong
尼克莱特镍铬耐热合金,ni'ke'lai'te'nie'ge'nai're'he'jin
尼克劳合金,ni'ke'lao'he'jin
尼克雷克斯光泽镀镍法,ni'ke'lei'ke'si'guang'ze'du'nie'fa
尼克林多元合金,ni'ke'lin'duo'yuan'he'jin
尼克林铜镍电阻合金,ni'ke'lin'tong'nie'dian'zu'he'jin
尼科林铜镍合金,ni'ke'lin'tong'nie'he'jin
尼克林铜镍锰合金,ni'ke'lin'tong'nie'meng'he'jin
尼克林铜镍锌合金,ni'ke'lin'tong'nie'xin'he'jin
尼克林锡基合金,ni'ke'lin'xi'ji'he'jin
尼科罗洛依镍铬铁电热合金,ni'ke'luo'luo'yi'nie'ge'tie'dian're'he'jin
尼克罗姆镍铬电阻丝,ni'ke'luo'mu'nie'ge'dian'zu'si
尼克罗姆镍铬合金粉末,ni'ke'luo'mu'nie'ge'he'jin'fen'mo
尼克罗姆镍铬合金烧舟,ni'ke'luo'mu'nie'ge'he'jin'shao'zhou
尼克罗姆镍铬康铜热电偶,ni'ke'luo'mu'nie'ge'kang'tong're'dian'ou
尼克洛姆镍铬耐热合金,ni'ke'luo'mu'nie'ge'nai're'he'jin
尼克罗姆镍铬丝电阻,ni'ke'luo'mu'nie'ge'si'dian'zu
尼克罗姆镍铬丝电阻炉,ni'ke'luo'mu'nie'ge'si'dian'zu'lu
尼克罗姆镍铬丝加热器,ni'ke'luo'mu'nie'ge'si'jia're'qi
尼克罗姆镍铬丝加热线圈,ni'ke'luo'mu'nie'ge'si'jia're'xian'quan
尼克罗姆镍铬丝加热元件,ni'ke'luo'mu'nie'ge'si'jia're'yuan'jian
尼克洛镍铬钎焊料,ni'ke'luo'nie'ge'qian'han'liao
尼克洛西耐热耐蚀镍铬硅合金,ni'ke'luo'xi'nai're'nai'shi'nie'ge'gui'he'jin
尼克洛伊德铜镍耐蚀合金,ni'ke'luo'yi'de'tong'nie'nai'shi'he'jin
尼克罗伊耐热耐蚀镍铁合金,ni'ke'luo'yi'nai're'nai'shi'nie'tie'he'jin
尼克洛伊耐蚀耐热镍铬合金,ni'ke'luo'yi'nai'shi'nai're'nie'ge'he'jin
尼克洛伊耐蚀铁镍合金,ni'ke'luo'yi'nai'shi'tie'nie'he'jin
尼科耐蚀铜镍合金,ni'ke'nai'shi'tong'nie'he'jin
尼科镍铁,ni'ke'nie'tie
尼科镍铜钢,ni'ke'nie'tong'gang
尼科铅锑合金,ni'ke'qian'ti'he'jin
尼奎斯特不稳定,ni'kui'si'te'bu'wen'ding
尼奎斯特判据,ni'kui'si'te'pan'ju
尼奎斯特稳定度准则,ni'kui'si'te'wen'ding'du'zhun'ze
尼奎斯特稳定判据,ni'kui'si'te'wen'ding'pan'ju
尼奎斯特线图,ni'kui'si'te'xian'tu
尼阔林铜镍合金,ni'kuo'lin'tong'nie'he'jin
尼拉纽姆牙科用钴铬铸造合金,ni'la'niu'mu'ya'ke'yong'gu'ge'zhu'zao'he'jin
尼兰德料罐装料式炉顶,ni'lan'de'liao'guan'zhuang'liao'shi'lu'ding
尼雷克斯镍铁合金,ni'lei'ke'si'nie'tie'he'jin
尼雷克斯铁镍恒范合金,ni'lei'ke'si'tie'nie'heng'fan'he'jin
尼龙,ni'long
尼龙单丝,ni'long'dan'si
尼龙覆面金属,ni'long'fu'mian'jin'shu
尼龙轮辐,ni'long'lun'fu
尼龙筛网,ni'long'shai'wang
尼龙绳,ni'long'sheng
尼龙手套,ni'long'shou'tao
尼龙刷,ni'long'shua
尼龙涂层,ni'long'tu'ceng
泥路,ni'lu
尼洛低膨胀镍铁铬钴合金,ni'luo'di'peng'zhang'nie'tie'ge'gu'he'jin
尼洛马格镍铁合金,ni'luo'ma'ge'nie'tie'he'jin
铌氯化炉,ni'lv'hua'lu
尼莫尔耐蚀高镍铸铁,ni'mo'er'nai'shi'gao'nie'zhu'tie
尼莫耐热镍基铸造合金,ni'mo'nai're'nie'ji'zhu'zao'he'jin
尼莫尼克镍铬系耐热合金,ni'mo'ni'ke'nie'ge'xi'nai're'he'jin
泥泞路,ni'ning'lu
尼帕马格铁镍铝钛系永磁合金,ni'pa'ma'ge'tie'nie'lv'tai'xi'yong'ci'he'jin
泥炮操纵台,ni'pao'cao'zong'tai
泥炮的操纵,ni'pao'de'cao'zong
泥炮控制站,ni'pao'kong'zhi'zhan
逆偏析,ni'pian'xi
尼日利亚钢公司,ni'ri'li'ya'gang'gong'si
泥水筒,ni'shui'tong
尼斯纳渣印夹杂检查法,ni'si'na'zha'yin'jia'za'jian'cha'fa
尼斯潘镍铬钛恒弹性合金,ni'si'pan'nie'ge'tai'heng'tan'xing'he'jin
铌酸,ni'suan
铌酸盐,ni'suan'yan
铌钽钇铀矿,ni'tan'yi'you'kuang
泥土层,ni'tu'ceng
泥土状物质,ni'tu'zhuang'wu'zhi
泥土状氧化铁,ni'tu'zhuang'yang'hua'tie
尼瓦弗莱克斯发条合金,ni'wa'fu'lai'ke'si'fa'tiao'he'jin
尼瓦洛克斯合金,ni'wa'luo'ke'si'he'jin
尼维镍青铜,ni'wei'nie'qing'tong
泥污,ni'wu
泥箱,ni'xiang
逆向,ni'xiang
逆行程缸,ni'xing'cheng'gang
铌钇铁矿,ni'yi'tie'kuang
泥渣,ni'zha
泥渣捕集器,ni'zha'bu'ji'qi
泥渣沉淀池,ni'zha'chen'dian'chi
泥渣多级洗涤系统,ni'zha'duo'ji'xi'di'xi'tong
泥渣干燥炉,ni'zha'gan'zao'lu
泥渣洗涤系统,ni'zha'xi'di'xi'tong
泥质氧化物,ni'zhi'yang'hua'wu
泥状海绵镍,ni'zhuang'hai'mian'nie
碾磨式混合机,nian'mo'shi'hun'he'ji
碾砂机,nian'sha'ji
碾碎机,nian'sui'ji
粘土搅拌机,nian'tu'jiao'ban'ji
粘土吸水能力测定值,nian'tu'xi'shui'neng'li'ce'ding'zhi
粘土砖坯,nian'tu'zhuan'pi
捻向,nian'xiang
粘性流体,nian'xing'liu'ti
粘着区,nian'zhe'qu
碾子,nian'zi
镍,nie
镍氨络合物,nie'an'luo'he'wu
涅奥根镍青铜,nie'ao'gen'nie'qing'tong
涅奥马格钠尔铝镁锌耐蚀合金,nie'ao'ma'ge'na'er'lv'mei'xin'nai'shi'he'jin
涅奥钠留姆铝合金,nie'ao'na'liu'mu'lv'he'jin
镍饱和溶液,nie'bao'he'rong'ye
镍冰铜,nie'bing'tong
镍冰铜沉积物,nie'bing'tong'chen'ji'wu
镍冰铜吹炼,nie'bing'tong'chui'lian
镍冰铜精炼,nie'bing'tong'jing'lian
镍箔,nie'bo
镍产物,nie'chan'wu
镍吹炼,nie'chui'lian
镍吹炼车间,nie'chui'lian'che'jian
镍催化剂,nie'cui'hua'ji
镍萃取,nie'cui'qu
镍的,nie'de
镍的回收,nie'de'hui'shou
镍的提炼,nie'de'ti'lian
镍电解,nie'dian'jie
镍电解槽,nie'dian'jie'cao
镍电解淀积处理,nie'dian'jie'dian'ji'chu'li
镍电解精炼槽,nie'dian'jie'jing'lian'cao
镍电解液,nie'dian'jie'ye
镍电解液净化,nie'dian'jie'ye'jing'hua
镍镀层,nie'du'ceng
镍粉泥,nie'fen'ni
镍辐射屏,nie'fu'she'ping
镍坩埚,nie'gan'guo
镍镉电池,nie'ge'dian'chi
镍铬电阻,nie'ge'dian'zu
镍铬钢,nie'ge'gang
镍铬钢蒸镏罐,nie'ge'gang'zheng'liu'guan
镍铬丝,nie'ge'si
镍铬铁合金,nie'ge'tie'he'jin
镍镉蓄电池,nie'ge'xu'dian'chi
镍铬铸铁,nie'ge'zhu'tie
镍汞合金,nie'gong'he'jin
镍钴比,nie'gu'bi
镍钴冰铜,nie'gu'bing'tong
镍钴合金,nie'gu'he'jin
镍钴锍,nie'gu'liu
镍钴铁冰铜,nie'gu'tie'bing'tong
镍钴铁锍,nie'gu'tie'liu
镍钴土,nie'gu'tu
镍硅合金,nie'gui'he'jin
镍硅熔剂,nie'gui'rong'ji
啮合,nie'he
啮合齿轮,nie'he'chi'lun
啮合杆,nie'he'gan
镍合金,nie'he'jin
镍华,nie'hua
镍还原,nie'huan'yuan
镍还原高压釜,nie'huan'yuan'gao'ya'fu
镍黄铁矿,nie'huang'tie'kuang
镍黄铜,nie'huang'tong
镍黄渣,nie'huang'zha
镍基超耐热合金,nie'ji'chao'nai're'he'jin
镍基合金,nie'ji'he'jin
镍结碳化钽硬质合金,nie'jie'tan'hua'tan'ying'zhi'he'jin
镍浸镀,nie'jin'du
镍精矿,nie'jing'kuang
镍精炼,nie'jing'lian
镍矿,nie'kuang
镍矿床,nie'kuang'chuang
镍矿物,nie'kuang'wu
镍粒,nie'li
镍锍,nie'liu
镍锍吹炼,nie'liu'chui'lian
镍锍精炼,nie'liu'jing'lian
镍绿泥石,nie'lv'ni'shi
镍铝青铜,nie'lv'qing'tong
镍盘,nie'pan
镍喷镀,nie'pen'du
镍硼共晶,nie'peng'gong'jing
镍屏,nie'ping
镍青铜,nie'qing'tong
镍熔炼,nie'rong'lian
镍烧舟,nie'shao'zhou
镍试剂,nie'shi'ji
镍钛金属陶瓷,nie'tai'jin'shu'tao'ci
镍钛硬质合金,nie'tai'ying'zhi'he'jin
镍碳化钨敷层,nie'tan'hua'wu'fu'ceng
镍碳热电偶,nie'tan're'dian'ou
镍钽硬质合金,nie'tan'ying'zhi'he'jin
镍锑铅轴承青铜,nie'ti'qian'zhou'cheng'qing'tong
镍提取,nie'ti'qu
镍铁,nie'tie
镍铁冰铜,nie'tie'bing'tong
镍铁合金,nie'tie'he'jin
镍铁锍,nie'tie'liu
镍铁软磁性合金,nie'tie'ruan'ci'xing'he'jin
镍铁体,nie'tie'ti
镍铁蓄电池组,nie'tie'xu'dian'chi'zu
镍铜,nie'tong
镍铜比,nie'tong'bi
镍铜合金,nie'tong'he'jin
镍铜时效钢,nie'tong'shi'xiao'gang
镍铜铁氧休,nie'tong'tie'yang'xiu
镍丸,nie'wan
镍钨金属陶瓷,nie'wu'jin'shu'tao'ci
镍钨硬质合金,nie'wu'ying'zhi'he'jin
镍锌铁氧体,nie'xin'tie'yang'ti
镍盐,nie'yan
镍阳极,nie'yang'ji
镍印,nie'yin
镍银,nie'yin
镍阴极,nie'yin'ji
镍优先还原,nie'you'xian'huan'yuan
镍质连枷状搅拌器,nie'zhi'lian'jia'zhuang'jiao'ban'qi
镍珠,nie'zhu
镍铸铁,nie'zhu'tie
镍铸铁轧辊,nie'zhu'tie'zha'gun
凝点记录仪,ning'dian'ji'lu'yi
凝固的金属核化,ning'gu'de'jin'shu'he'hua
凝固金属的成核,ning'gu'jin'shu'de'cheng'he
凝壳式电子束炉,ning'ke'shi'dian'zi'shu'lu
纽波特钢公司,niu'bo'te'gang'gong'si
牛顿,niu'dun
牛顿艾克利夫厂,niu'dun'ai'ke'li'fu'chang
牛顿铋铅锡易熔合金,niu'dun'bi'qian'xi'yi'rong'he'jin
牛顿环,niu'dun'huan
牛顿流,niu'dun'liu
牛顿流体,niu'dun'liu'ti
牛顿铈铅锡易熔合金,niu'dun'shi'qian'xi'yi'rong'he'jin
牛顿望远镜,niu'dun'wang'yuan'jing
纽沸腾层制取海绵铁法,niu'fei'teng'ceng'zhi'qu'hai'mian'tie'fa
纽黑文厂,niu'hei'wen'chang
纽卡斯尔厂,niu'ka'si'er'chang
纽卡斯尔厂和肯布拉格兰奇厂,niu'ka'si'er'chang'he'ken'bu'la'ge'lan'qi'chang
纽柯公司,niu'ke'gong'si
