阿部记之,a'bu'ji'zhi
仙太郎,xian'tai'lang
相马芳野,xiang'ma'fang'ye
小白,xiao'bai
小菖,xiao'chang
小川,xiao'chuan
小椿仙太郎,xiao'chun'xian'tai'lang
小岛,xiao'dao
小岛水色,xiao'dao'shui'se
小岛同学,xiao'dao'tong'xue
小关,xiao'guan
小花,xiao'hua
小吉良,xiao'ji'liang
小梨子,xiao'li'zi
小恋,xiao'lian
小琉璃,xiao'liu'li
小露,xiao'lu
小露女王,xiao'lu'nv'wang
小泉一郎太,xiao'quan'yi'lang'tai
小森田,xiao'sen'tian
消失与黑暗之中呼唤你的名字,xiao'shi'yu'hei'an'zhi'zhong'hu'huan'ni'de'ming'zi
消失于黑暗之中呼唤你的名字,xiao'shi'yu'hei'an'zhi'zhong'hu'huan'ni'de'ming'zi
小桃,xiao'tao
小桃子,xiao'tao'zi
小西克幸,xiao'xi'ke'xing
咲野俊介,xiao'ye'jun'jie
小永,xiao'yong
小雨,xiao'yu
小织,xiao'zhi
小樁,xiao'zhuang
刑军,xing'jun
刑军兵长,xing'jun'bing'chang
兄长大人,xiong'zhang'da'ren
袖白雪,xiu'bai'xue
修兵,xiu'bing
朽木,xiu'mu
朽木白哉,xiu'mu'bai'zai
朽木大人,xiu'mu'da'ren
朽木队长,xiu'mu'dui'zhang
朽木绯真,xiu'mu'fei'zhen
朽木家,xiu'mu'jia
朽木家的家臣,xiu'mu'jia'de'jia'chen
朽木露琪亚,xiu'mu'lu'qi'ya
朽木同学,xiu'mu'tong'xue
朽木小姐,xiu'mu'xiao'jie
戌吊,xu'diao
虚浮,xu'fu
虚化,xu'hua
虚圈,xu'quan
续舞,xu'wu
雪野,xue'ye
雪野五月,xue'ye'wu'yue
血月,xue'yue
亚露,ya'lu
亚罗尼洛,ya'luo'ni'luo
亚罗尼洛艾鲁鲁耶利,ya'luo'ni'luo'ai'lu'lu'ye'li
亚丘卡斯,ya'qiu'ka'si
压抑言灵,ya'yi'yan'ling
鸭州,ya'zhou
厳霊丸,yan'ling'wan
阎魔蟋蟀,yan'mo'xi'shuai
夜碎,ye'sui
野田顺子,ye'tian'shun'zi
夜一,ye'yi
夜一大人,ye'yi'da'ren
夜一大婶,ye'yi'da'shen
夜一姐,ye'yi'jie
夜一先生,ye'yi'xian'sheng
叶云终曲,ye'yun'zhong'qu
伊板达也,yi'ban'da'ye
一番队,yi'fan'dui
一哥,yi'ge
一贯坂慈楼坊,yi'guan'ban'ci'lou'fang
义骸,yi'hai
伊鹤,yi'he
一护,yi'hu
一护哥,yi'hu'ge
一护君,yi'hu'jun
义魂丸,yi'hun'wan
伊江村,yi'jiang'cun
一角,yi'jiao
一井,yi'jing
一恋,yi'lian
一露,yi'lu
一露神道,yi'lu'shen'dao
一露天道,yi'lu'tian'dao
一露王道,yi'lu'wang'dao
一露宇宙道,yi'lu'yu'zhou'dao
一茜,yi'qian
伊势七绪,yi'shi'qi'xu
伊藤,yi'teng
伊藤健太郎,yi'teng'jian'tai'lang
伊藤叔叔,yi'teng'shu'shu
一心,yi'xin
一心伯父,yi'xin'bo'fu
一心大叔,yi'xin'da'shu
一织,yi'zhi
因果之锁,yin'guo'zhi'suo
银露,yin'lu
银乱,yin'luan
音梦,yin'meng
隐秘机动,yin'mi'ji'dong
银筒,yin'tong
银彦,yin'yan
银子,yin'zi
樱川朝惠,ying'chuan'chao'hui
樱井敏治,ying'jing'min'zhi
樱井孝宏,ying'jing'xiao'hong
萤蔓,ying'man
永别了露琪亚,yong'bie'le'lu'qi'ya
永山,yong'shan
勇音,yong'yin
有爱剧三,you'ai'ju'san
有泽龙贵,you'ze'long'gui
游子,you'zi
游子妹妹,you'zi'mei'mei
游佐浩二,you'zuo'hao'er
羽多野涉,yu'duo'ye'she
雨龙,yu'long
雨龙织姬,yu'long'zhi'ji
宇田川稜,yu'tian'chuan'leng
雨织,yu'zhi
圆乘寺辰房,yuan'cheng'si'chen'fang
远近孝一,yuan'jin'xiao'yi
月白,yue'bai
月牙天冲,yue'ya'tian'chong
越智美谕,yue'zhi'mei'yu
再见露琪亚,zai'jian'lu'qi'ya
再炎,zai'yan
藏人,zang'ren
早水,zao'shui
斋藤惠吉郎,zhai'teng'hui'ji'lang
斋藤志郎,zhai'teng'zhi'lang
斩月,zhan'yue
斩月大叔,zhan'yue'da'shu
遮魂膜,zhe'hun'mo
折笠,zhe'li
折笠富美子,zhe'li'fu'mei'zi
折笠姐,zhe'li'jie
震点,zhen'dian
真殿光昭,zhen'dian'guang'zhao
真花,zhen'hua
真田,zhen'tian
真咲,zhen'xiao
真咲阿姨,zhen'xiao'a'yi
真咲伯母,zhen'xiao'bo'mu
整音,zheng'yin
之芭,zhi'ba
志波都,zhi'bo'dou
志波海燕,zhi'bo'hai'yan
志波家,zhi'bo'jia
志波空鹤,zhi'bo'kong'he
志波岩鹫,zhi'bo'yan'jiu
织姬,zhi'ji
织露,zhi'lu
置鲇,zhi'nian
置鲇龙太郎,zhi'nian'long'tai'lang
植松淳一,zhi'song'chun'yi
中岛沙树,zhong'dao'sha'shu
中多和宏,zhong'duo'he'hong
终景,zhong'jing
终景白帝剑,zhong'jing'bai'di'jian
中井将贵,zhong'jing'jiang'gui
中田和宏,zhong'tian'he'hong
冢田正昭,zhong'tian'zheng'zhao
中尾隆圣,zhong'wei'long'sheng
中央四十六室,zhong'yang'si'shi'liu'shi
竹添幸吉郎,zhu'tian'xing'ji'lang
总队长大人,zong'dui'zhang'da'ren
钻石星尘的反叛另一个冰轮丸,zuan'shi'xing'chen'de'fan'pan'ling'yi'ge'bing'lun'wan
最爱露露,zui'ai'lu'lu
佐久间红美,zuo'jiu'jian'hong'mei
佐藤美贵,zuo'teng'mei'gui
佐藤正治,zuo'teng'zheng'zhi
