阿卜杜,a'bu'du
迪文格林,di'wen'ge'lin
迪文乔治,di'wen'qiao'zhi
底线切入,di'xian'qie'ru
底线区域,di'xian'qu'yu
迪肖恩,di'xiao'en
迪肖恩史蒂文森,di'xiao'en'shi'di'wen'sen
邸晓伟,di'xiao'wei
第一节,di'yi'jie
第一联盟,di'yi'lian'meng
第一联盟中心,di'yi'lian'meng'zhong'xin
定点投篮,ding'dian'tou'lan
丁锦辉,ding'jin'hui
东部联盟,dong'bu'lian'meng
东莞新世纪,dong'guan'xin'shi'ji
东莞新世纪队,dong'guan'xin'shi'ji'dui
董俊江,dong'jun'jiang
动作篇,dong'zuo'pian
杜德利,du'de'li
杜峰,du'feng
杜洪,du'hong
杜江,du'jiang
杜兰特,du'lan'te
杜林,du'lin
杜诺泰勒,du'nuo'tai'le
杜普雷,du'pu'lei
杜普里,du'pu'li
段成龙,duan'cheng'long
短暂停,duan'zan'ting
多雷尔,duo'lei'er
多雷尔赖特,duo'lei'er'lai'te
多列亚克,duo'lie'ya'ke
多伦多爱斯基摩人,duo'lun'duo'ai'si'ji'mo'ren
多伦多爱斯基摩人队,duo'lun'duo'ai'si'ji'mo'ren'dui
多伦多猛龙,duo'lun'duo'meng'long
多伦多猛龙队,duo'lun'duo'meng'long'dui
多米尼克,duo'mi'ni'ke
多米尼克麦克奎尔,duo'mi'ni'ke'mai'ke'kui'er
厄尔,e'er
厄尔巴龙,e'er'ba'long
厄尔博伊金斯,e'er'bo'yi'jin'si
俄罗斯柳别尔齐胜利者,e'luo'si'liu'bie'er'qi'sheng'li'zhe
俄罗斯希姆基,e'luo'si'xi'mu'ji
恶意犯规,e'yi'fan'gui
法布瑞斯尔,fa'bu'rui'si'er
法布瑞斯尔奥博托,fa'bu'rui'si'er'ao'bo'tuo
法尔顿,fa'er'dun
法国阿斯维尔,fa'guo'a'si'wei'er
法国保奥希斯,fa'guo'bao'ao'xi'si
法国勒芒,fa'guo'le'mang
法国南锡,fa'guo'nan'xi
法国斯特拉斯堡,fa'guo'si'te'la'si'bao
法兰克福欧宝客机,fa'lan'ke'fu'ou'bao'ke'ji
法利克斯,fa'li'ke'si
法玛尔,fa'ma'er
罚球,fa'qiu
罚球命中率,fa'qiu'ming'zhong'lv
罚球圈,fa'qiu'quan
发球入场,fa'qiu'ru'chang
发球五秒违例,fa'qiu'wu'miao'wei'li
罚球线,fa'qiu'xian
范埃克塞尔,fan'ai'ke'sai'er
犯规,fan'gui
犯规战术,fan'gui'zhan'shu
范霍恩,fan'huo'en
犯满离场,fan'man'li'chang
反手上篮,fan'shou'shang'lan
翻腕,fan'wan
范兆宇,fan'zhao'yu
房辉,fang'hui
防守篮板球,fang'shou'lan'ban'qiu
防守三秒违例,fang'shou'san'miao'wei'li
防守违例,fang'shou'wei'li
费城七六人,fei'cheng'qi'liu'ren
费城七六人队,fei'cheng'qi'liu'ren'dui
费城七十六人,fei'cheng'qi'shi'liu'ren
费城七十六人队,fei'cheng'qi'shi'liu'ren'dui
费城人,fei'cheng'ren
费城武士,fei'cheng'wu'shi
费城武士队,fei'cheng'wu'shi'dui
费内巴切乌尔克,fei'nei'ba'qie'wu'er'ke
菲尼克斯太阳,fei'ni'ke'si'tai'yang
菲尼克斯太阳队,fei'ni'ke'si'tai'yang'dui
费舍尔,fei'she'er
费申科,fei'shen'ke
费泽尔,fei'ze'er
费兹卡斯,fei'zi'ka'si
芬利,fen'li
丰磊,feng'lei
蜂鸣器,feng'ming'qi
锋卫摇摆人,feng'wei'yao'bai'ren
锋线,feng'xian
弗拉基米尔,fu'la'ji'mi'er
弗拉基米尔拉德马诺维奇,fu'la'ji'mi'er'la'de'ma'nuo'wei'qi
弗拉姆,fu'la'mu
弗莱,fu'lai
弗朗西斯,fu'lang'xi'si
弗朗西斯科,fu'lang'xi'si'ke
弗朗西斯科埃尔森,fu'lang'xi'si'ke'ai'er'sen
弗朗西斯科贾奇,fu'lang'xi'si'ke'jia'qi
弗雷德,fu'lei'de
弗雷德琼斯,fu'lei'de'qiong'si
福利特,fu'li'te
福利特中心,fu'li'te'zhong'xin
福利特中心球馆,fu'li'te'zhong'xin'qiu'guan
付庆飞,fu'qing'fei
弗瑞斯贝,fu'rui'si'bei
福斯特,fu'si'te
福特,fu'te
福特森,fu'te'sen
弗耶,fu'ye
福伊尔,fu'yi'er
盖火锅儿,gai'huo'guo'er
干扰球,gan'rao'qiu
冈德,gang'de
冈德体育馆,gang'de'ti'yu'guan
高德,gao'de
高登,gao'deng
高中篮球联赛,gao'zhong'lan'qiu'lian'sai
戈登,ge'deng
戈登吉里塞克,ge'deng'ji'li'sai'ke
格拉汉姆,ge'la'han'mu
格兰尔德,ge'lan'er'de
格兰尔德格林,ge'lan'er'de'ge'lin
格兰格,ge'lan'ge
格兰特,ge'lan'te
格兰特希尔,ge'lan'te'xi'er
格雷,ge'lei
格雷格,ge'lei'ge
格雷格奥登,ge'lei'ge'ao'deng
格雷格巴克纳,ge'lei'ge'ba'ke'na
格里芬,ge'li'fen
格林,ge'lin
格伦,ge'lun
格伦戴维斯,ge'lun'dai'wei'si
戈麦斯,ge'mai'si
格蒙登斯沃恩斯,ge'meng'deng'si'wo'en'si
戈塔特,ge'ta'te
龚大明,gong'da'ming
公牛,gong'niu
