阿黑与阿诗玛,a'hei'yu'a'shi'ma
声韵念白,sheng'yun'nian'bai
圣旨,sheng'zhi
十八扯,shi'ba'che
十八罗汉斗悟空,shi'ba'luo'han'dou'wu'kong
十八罗汉收大鹏,shi'ba'luo'han'shou'da'peng
时败运衰困良将,shi'bai'yun'shuai'kun'liang'jiang
十大班规,shi'da'ban'gui
石富宽,shi'fu'kuan
师公戏,shi'gong'xi
失街亭,shi'jie'ting
史可法,shi'ke'fa
十老安刘,shi'lao'an'liu
十七年风雨狂怕谈以往,shi'qi'nian'feng'yu'kuang'pa'tan'yi'wang
十三咳,shi'san'ke
是三生有幸,shi'san'sheng'you'xing
十三一,shi'san'yi
十三辙,shi'san'zhe
师胜杰,shi'sheng'jie
石世昌,shi'shi'chang
师世元,shi'shi'yuan
石锁,shi'suo
史文翰,shi'wen'han
史文惠,shi'wen'hui
施文琳,shi'wen'lin
十五贯,shi'wu'guan
时小福,shi'xiao'fu
石小杰,shi'xiao'jie
石秀探庄,shi'xiu'tan'zhuang
失印救火,shi'yin'jiu'huo
拾玉镯,shi'yu'zhuo
实指望下江东把东吴灭尽昨夜晚吃酒醉和衣而卧,shi'zhi'wang'xia'jiang'dong'ba'dong'wu'mie'jin'zuo'ye'wan'chi'jiu'zui'he'yi'er'wo
时装戏,shi'zhuang'xi
时装新戏,shi'zhuang'xin'xi
狮子楼,shi'zi'lou
十字坡,shi'zi'po
收关胜,shou'guan'sheng
守旧,shou'jiu
手绢,shou'juan
手绢功,shou'juan'gong
手铐,shou'kao
手帕功,shou'pa'gong
受禅台,shou'shan'tai
收头,shou'tou
数板,shu'ban
数来宝,shu'lai'bao
梳头桌,shu'tou'zhuo
书信,shu'xin
耍孩儿,shua'hai'er
耍旗,shua'qi
耍素珠,shua'su'zhu
耍牙,shua'ya
甩发功,shuai'fa'gong
帅盔,shuai'kui
双飞燕,shuang'fei'yan
双黄,shuang'huang
双叫头,shuang'jiao'tou
双人起霸,shuang'ren'qi'ba
双人趟马,shuang'ren'tang'ma
双人走边,shuang'ren'zou'bian
双三枪,shuang'san'qiang
双锁山,shuang'suo'shan
双投唐,shuang'tou'tang
水边,shui'bian
水底鱼,shui'di'yu
水帘洞,shui'lian'dong
水龙吟,shui'long'yin
水旗,shui'qi
水声,shui'sheng
水袖功,shui'xiu'gong
水淹七军,shui'yan'qi'jun
说话,shuo'hua
说什么花好月圆人亦寿,shuo'shen'me'hua'hao'yue'yuan'ren'yi'shou
说什么学韩信命丧未央,shuo'shen'me'xue'han'xin'ming'sang'wei'yang
说书,shuo'shu
撕边,si'bian
四边静,si'bian'jing
撕边一锣,si'bian'yi'luo
四大徽班,si'da'hui'ban
四大名旦,si'da'ming'dan
四大须生,si'da'xu'sheng
思凡下山,si'fan'xia'shan
四功五法,si'gong'wu'fa
四呼,si'hu
四击,si'ji
四击头,si'ji'tou
四杰村,si'jie'cun
四进士,si'jin'shi
四郎探母,si'lang'tan'mu
四锣哭头,si'luo'ku'tou
四平调,si'ping'diao
四平山,si'ping'shan
丝弦戏,si'xian'xi
四小名旦,si'xiao'ming'dan
四箴堂科班,si'zhen'tang'ke'ban
泗州城,si'zhou'cheng
宋长荣,song'chang'rong
宋丹红,song'dan'hong
宋德全,song'de'quan
宋德珠,song'de'zhu
送儿女足陷风尘深,song'er'nv'zu'xian'feng'chen'shen
送客戏,song'ke'xi
宋宁,song'ning
送亲演礼,song'qin'yan'li
宋少卿,song'shao'qing
宋文俊,song'wen'jun
宋小川,song'xiao'chuan
宋雁波,song'yan'bo
宋勇,song'yong
搜孤救孤,sou'gu'jiu'gu
搜书院,sou'shu'yuan
俗赋,su'fu
苏剧,su'ju
苏连生,su'lian'sheng
苏龙魏虎为媒证,su'long'wei'hu'wei'mei'zheng
苏明杰,su'ming'jie
素伞,su'san
苏三离了洪洞县,su'san'li'le'hong'dong'xian
苏士杰,su'shi'jie
苏文茂,su'wen'mao
苏武牧羊,su'wu'mu'yang
苏州弹词,su'zhou'tan'ci
隋长欣,sui'chang'xin
碎锣,sui'luo
孙安动本,sun'an'dong'ben
孙宝才,sun'bao'cai
孙保光,sun'bao'guang
孙宝钧,sun'bao'jun
孙宝琦,sun'bao'qi
孙伯珍,sun'bo'zhen
孙晨,sun'chen
孙春华,sun'chun'hua
孙得一,sun'de'yi
孙德一,sun'de'yi
孙福海,sun'fu'hai
孙刚,sun'gang
孙国伟,sun'guo'wei
孙继忠,sun'ji'zhong
孙菊仙,sun'ju'xian
孙强,sun'qiang
孙庆池,sun'qing'chi
孙庆淮,sun'qing'huai
孙少臣,sun'shao'chen
孙少林,sun'shao'lin
孙世达,sun'shi'da
孙士达,sun'shi'da
孙桐增,sun'tong'zeng
孙悟空三打白骨精,sun'wu'kong'san'da'bai'gu'jing
孙小林,sun'xiao'lin
孙星海,sun'xing'hai
孙一,sun'yi
孙玉奎,sun'yu'kui
孙岳,sun'yue
锁麟囊,suo'lin'nang
唢呐,suo'na
唢呐二黄,suo'na'er'huang
唢呐曲牌,suo'na'qu'pai
唢曲傍妆台,suo'qu'bang'zhuang'tai
唢曲朝天子,suo'qu'chao'tian'zi
唢曲节节高,suo'qu'jie'jie'gao
唢曲柳青娘,suo'qu'liu'qing'niang
唢曲柳摇金,suo'qu'liu'yao'jin
唢曲哪吒令,suo'qu'ne'zha'ling
唢曲普天乐,suo'qu'pu'tian'le
锁五龙,suo'wu'long
她明知老爹爹为奴行聘,ta'ming'zhi'lao'die'die'wei'nu'xing'pin
塌中,ta'zhong
台步,tai'bu
太行山,tai'hang'shan
太君辞朝,tai'jun'ci'chao
太平调,tai'ping'diao
太平桥,tai'ping'qiao
台上规矩,tai'shang'gui'ju
太真外传,tai'zhen'wai'zhuan
台州乱谈,tai'zhou'luan'tan
谭伯如,tan'bo'ru
弹词,tan'ci
谭富英,tan'fu'ying
探皇陵,tan'huang'ling
滩簧调,tan'huang'tiao
谭鸣亮,tan'ming'liang
探亲家,tan'qing'jia
坛山谷,tan'shan'gu
谭孝增,tan'xiao'zeng
谭鑫培,tan'xin'pei
叹炎汉四百年大数已尽,tan'yan'han'si'bai'nian'da'shu'yi'jin
探阴山,tan'yin'shan
谭元寿,tan'yuan'shou
谭正岩,tan'zheng'yan
毯子功,tan'zi'gong
唐爱国,tang'ai'guo
堂板,tang'ban
唐传模,tang'chuan'mo
堂鼓,tang'gu
唐禾香,tang'he'xiang
堂会戏,tang'hui'xi
唐杰忠,tang'jie'zhong
汤金澄,tang'jin'cheng
唐剧,tang'ju
汤锣,tang'luo
趟马,tang'ma
唐文光,tang'wen'guang
堂戏,tang'xi
汤显祖,tang'xian'zu
汤艳杰,tang'yan'jie
汤一民,tang'yi'min
唐玉福,tang'yu'fu
唐韵笙,tang'yun'sheng
唐知县审诰命,tang'zhi'xian'shen'gao'ming
陶大为,tao'da'wei
桃花村,tao'hua'cun
桃花扇,tao'hua'shan
套曲,tao'qu
陶文华,tao'wen'hua
陶湘九,tao'xiang'jiu
陶湘如,tao'xiang'ru
藤田香,teng'tian'xiang
滕文超,teng'wen'chao
提灯,ti'deng
提篮,ti'lan
提炉,ti'lu
提起当年泪不干,ti'qi'dang'nian'lei'bu'gan
提起马力实令人可恨,ti'qi'ma'li'shi'ling'ren'ke'hen
田宝珩,tian'bao'heng
田宝鑫,tian'bao'xin
天官赐福,tian'guan'ci'fu
田桂凤,tian'gui'feng
天河配,tian'he'pei
田际云,tian'ji'yun
天津时调,tian'jin'shi'tiao
田军,tian'jun
掭盔,tian'kui
田立禾,tian'li'he
田连元,tian'lian'yuan
天门阵,tian'men'zhen
天女散花,tian'nv'san'hua
天堑上风云会虎跃龙骧,tian'qian'shang'feng'yun'hui'hu'yue'long'xiang
天水关,tian'shui'guan
田松山,tian'song'shan
掭头,tian'tou
田文奎,tian'wen'kui
田文明,tian'wen'ming
天下受苦人心心相连,tian'xia'shou'ku'ren'xin'xin'xiang'lian
天仙配,tian'xian'pei
天柱阳戏,tian'zhu'yang'xi
调变,tiao'bian
挑大梁,tiao'da'liang
调底,tiao'di
挑华车,tiao'hua'che
跳加官,tiao'jia'guan
挑帘裁衣,tiao'lian'cai'yi
调面,tiao'mian
调嗓,tiao'sang
跳戏,tiao'xi
挑子,tiao'zi
贴旦,tie'dan
铁公鸡,tie'gong'ji
铁弓缘,tie'gong'yuan
铁链,tie'lian
铁莲花,tie'lian'hua
铁笼山,tie'long'shan
铁片大鼓,tie'pian'da'gu
听说韩信他去了,ting'shuo'han'xin'ta'qu'le
听说是杨元帅为国丧命,ting'shuo'shi'yang'yuan'shuai'wei'guo'sang'ming
听他言吓得我浑身是汗,ting'ta'yan'xia'de'wo'hun'shen'shi'han
听他言吓得我心惊胆怕,ting'ta'yan'xia'de'wo'xin'jing'dan'pa
铜锤一举娘娘请上,tong'chui'yi'ju'niang'niang'qing'shang
佟大方,tong'da'fang
同光十三绝,tong'guang'shi'san'jue
佟浩如,tong'hao'ru
童鸣,tong'ming
佟守本,tong'shou'ben
通天犀,tong'tian'xi
铜网阵,tong'wang'zhen
佟文阔,tong'wen'kuo
通用霸,tong'yong'ba
佟有为,tong'you'wei
僮子戏,tong'zi'xi
头戴着紫金盔威风凛凛,tou'dai'zhe'zi'jin'kui'wei'feng'lin'lin
偷气,tou'qi
兔行锣,tu'xing'luo
托兆小显,tuo'zhao'xiao'xian
挖角儿,wa'jiao'er
瓦口关,wa'kou'guan
瓦舍,wa'she
娃娃,wa'wa
外,wai
外场,wai'chang
外场椅,wai'chang'yi
宛梆,wan'bang
完璧归赵,wan'bi'gui'zhao
皖南花鼓戏,wan'nan'hua'gu'xi
碗碗腔,wan'wan'qiang
万文英,wan'wen'ying
王宝钏低头用目看,wang'bao'chuan'di'tou'yong'mu'kan
王宝珏,wang'bao'jue
汪宝琦,wang'bao'qi
王葆山,wang'bao'shan
王宝童,wang'bao'tong
王宝珍,wang'bao'zhen
王本林,wang'ben'lin
王斌,wang'bin
王伯林,wang'bo'lin
王伯荣,wang'bo'rong
王长林,wang'chang'lin
王长友,wang'chang'you
王常柱,wang'chang'zhu
王程,wang'cheng
王成启,wang'cheng'qi
王春和,wang'chun'he
王得昌,wang'de'chang
王德志,wang'de'zhi
王东林,wang'dong'lin
望儿楼,wang'er'lou
王凤山,wang'feng'shan
王福田,wang'fu'tian
王辅廷,wang'fu'ting
王刚,wang'gang
汪桂芬,wang'gui'fen
王海江,wang'hai'jiang
王宏,wang'hong
王鸿寿,wang'hong'shou
王洪文,wang'hong'wen
王淮,wang'huai
王吉祥,wang'ji'xiang
王嘉琪,wang'jia'qi
望家乡,wang'jia'xiang
望江亭,wang'jiang'ting
王金东,wang'jin'dong
王锦文,wang'jin'wen
王九龄,wang'jiu'ling
王俊,wang'jun
王林,wang'lin
王鸣楼,wang'ming'lou
王鸣禄,wang'ming'lu
王明明,wang'ming'ming
王鸣山,wang'ming'shan
王鸣义,wang'ming'yi
王佩瑜,wang'pei'yu
王佩元,wang'pei'yuan
王蓬,wang'peng
王平,wang'ping
王启禄,wang'qi'lu
王谦祥,wang'qian'xiang
王庆东,wang'qing'dong
王庆新,wang'qing'xin
王蓉蓉,wang'rong'rong
王汝刚,wang'ru'gang
王少安,wang'shao'an
王少舫,wang'shao'fang
王少林,wang'shao'lin
王少堂,wang'shao'tang
汪声亚,wang'sheng'ya
王世臣,wang'shi'chen
王实甫,wang'shi'fu
王世勇,wang'shi'yong
亡蜀鉴,wang'shu'jian
王树田,wang'shu'tian
王枢祥,wang'shu'xiang
王双福,wang'shuang'fu
王松葵,wang'song'kui
王松声,wang'song'sheng
王文博,wang'wen'bo
王文昌,wang'wen'chang
王文豪,wang'wen'hao
王文厚,wang'wen'hou
王文杰,wang'wen'jie
王文进,wang'wen'jin
王文凯,wang'wen'kai
王文林,wang'wen'lin
王闻禄,wang'wen'lu
王文奇,wang'wen'qi
王文瑞,wang'wen'rui
王文喜,wang'wen'xi
王文砚,wang'wen'yan
王文友,wang'wen'you
王文玉,wang'wen'yu
王文元,wang'wen'yuan
王祥林,wang'xiang'lin
王校林,wang'xiao'lin
汪笑侬,wang'xiao'nong
王小生,wang'xiao'sheng
王笑予,wang'xiao'yu
王信,wang'xin
王新东,wang'xin'dong
王学义,wang'xue'yi
王雅福,wang'ya'fu
王雅青,wang'ya'qing
王雅育,wang'ya'yu
王瑶卿,wang'yao'qing
王印权,wang'yin'quan
王英杰,wang'ying'jie
王英俊,wang'ying'jun
王有道,wang'you'dao
王友儒,wang'you'ru
王月波,wang'yue'bo
王占友,wang'zhan'you
王兆麟,wang'zhao'lin
王振全,wang'zhen'quan
王政,wang'zheng
王之甫,wang'zhi'fu
王志民,wang'zhi'min
王志涛,wang'zhi'tao
王志新,wang'zhi'xin
未曾开言泪满腮,wei'ceng'kai'yan'lei'man'sai
魏长生,wei'chang'sheng
魏常玉,wei'chang'yu
围鼓戏,wei'gu'xi
未开言思往事心中惆怅,wei'kai'yan'si'wang'shi'xin'zhong'chou'chang
魏昆治,wei'kun'zhi
魏兰柱,wei'lan'zhu
魏良辅,wei'liang'fu
魏龙豪,wei'long'hao
魏美玉,wei'mei'yu
尾声,wei'sheng
渭水河,wei'shui'he
卫调花鼓戏,wei'tiao'hua'gu'xi
魏文华,wei'wen'hua
魏文亮,wei'wen'liang
魏务良,wei'wu'liang
魏喜奎,wei'xi'kui
未央宫,wei'yang'gong
魏幼臣,wei'you'chen
魏元成,wei'yuan'cheng
魏真柏,wei'zhen'bai
文场,wen'chang
文成公主,wen'cheng'gong'zhu
文房,wen'fang
文姬归汉,wen'ji'gui'han
温酒斩华雄,wen'jiu'zhan'hua'xiong
问樵闹府,wen'qiao'nao'fu
文曲戏,wen'qu'xi
文天祥,wen'tian'xiang
文昭关,wen'zhao'guan
我本是卧龙岗散淡的人,wo'ben'shi'wo'long'gang'san'dan'de'ren
我本是卧龙岗一道家,wo'ben'shi'wo'long'gang'yi'dao'jia
卧龙吊孝,wo'long'diao'xiao
我魏绛闻此言如梦方醒,wo'wei'jiang'wen'ci'yan'ru'meng'fang'xing
我正在城楼观山景,wo'zheng'zai'cheng'lou'guan'shan'jing
我主爷起义在硭场,wo'zhu'ye'qi'yi'zai'mang'chang
武安落子,wu'an'lao'zi
武安评调,wu'an'ping'tiao
五百年后孙悟空,wu'bai'nian'hou'sun'wu'kong
武场,wu'chang
五锤,wu'chui
武旦,wu'dan
吴棣,wu'di
无底洞,wu'di'dong
武福星,wu'fu'xing
吴刚伦,wu'gang'lun
蜈蚣岭,wu'gong'ling
武行头,wu'hang'tou
五花洞,wu'hua'dong
五花江儿水,wu'hua'jiang'er'shui
武花脸,wu'hua'lian
五记头,wu'ji'tou
五击头,wu'ji'tou
五截山,wu'jie'shan
吴景春,wu'jing'chun
舞剧,wu'ju
婺剧,wu'ju
武魁海,wu'kui'hai
武奎海,wu'kui'hai
乌龙岗,wu'long'gang
吴梅,wu'mei
乌盆记,wu'pen'ji
吴苹,wu'ping
吴庆鸿,wu'qing'hong
吴庆涌,wu'qing'yong
吴琼,wu'qiong
五人义,wu'ren'yi
武生,wu'sheng
武松打虎,wu'song'da'hu
五台山,wu'tai'shan
五调腔,wu'tiao'qiang
梧桐雨,wu'tong'yu
吴伟申,wu'wei'shen
武文华,wu'wen'hua
吴文龙,wu'wen'long
吴效武,wu'xiao'wu
吴新安,wu'xin'an
五音,wu'yin
五音联弹,wu'yin'lian'tan
五音戏,wu'yin'xi
吴云林,wu'yun'lin
武昭关,wu'zhao'guan
吴兆南,wu'zhao'nan
武轴子,wu'zhou'zi
西安高腔,xi'an'gao'qiang
戏班,xi'ban
戏班禁忌,xi'ban'jin'ji
戏包袱,xi'bao'fu
洗浮山,xi'fu'shan
溪皇庄,xi'huang'zhuang
戏肩膀,xi'jian'bang
锡剧,xi'ju
戏篓子,xi'lou'zi
戏迷传,xi'mi'chuan
西皮,xi'pi
西皮导板,xi'pi'dao'ban
西皮二六,xi'pi'er'liu
西皮滚板,xi'pi'gun'ban
西皮回龙,xi'pi'hui'long
西皮哭板,xi'pi'ku'ban
西皮快板,xi'pi'kuai'ban
西皮快三眼,xi'pi'kuai'san'yan
西皮流水,xi'pi'liu'shui
西皮慢板,xi'pi'man'ban
西皮慢三眼,xi'pi'man'san'yan
西皮散板,xi'pi'san'ban
西皮娃娃调,xi'pi'wa'wa'tiao
西皮小开门,xi'pi'xiao'kai'men
西皮摇板,xi'pi'yao'ban
西皮原板,xi'pi'yuan'ban
西秦戏,xi'qin'xi
昔日里有一个孤竹君,xi'ri'li'you'yi'ge'gu'zhu'jun
昔日有个三大贤,xi'ri'you'ge'san'da'xian
喜神,xi'shen
西施,xi'shi
细酸,xi'suan
习天书学兵法犹如反掌,xi'tian'shu'xue'bing'fa'you'ru'fan'zhang
西厢记,xi'xiang'ji
席香远,xi'xiang'yuan
奚啸伯,xi'xiao'bo
熙醒生,xi'xing'sheng
戏衣,xi'yi
昔曰有个三大贤,xi'yue'you'ge'san'da'xian
下场白,xia'chang'bai
下场对,xia'chang'dui
下场诗,xia'chang'shi
夏福义,xia'fu'yi
下海,xia'hai
下河东,xia'he'dong
下河南,xia'he'nan
夏声戏剧学校,xia'sheng'xi'ju'xue'xiao
下手,xia'shou
夏万福,xia'wan'fu
夏文化,xia'wen'hua
夏文升,xia'wen'sheng
夏志恒,xia'zhi'heng
弦板腔,xian'ban'qiang
现代戏,xian'dai'xi
贤弟抬头来观瞧,xian'di'tai'tou'lai'guan'qiao
线胡腔,xian'hu'qiang
鲜花调,xian'hua'tiao
仙人担,xian'ren'dan
先王爷坐江山风调雨顺,xian'wang'ye'zuo'jiang'shan'feng'tiao'yu'shun
香案,xiang'an
响边,xiang'bian
相貂,xiang'diao
湘江会,xiang'jiang'hui
芗剧,xiang'ju
湘剧,xiang'ju
香菱,xiang'ling
香柳娘,xiang'liu'niang
香罗带,xiang'luo'dai
响马传,xiang'ma'chuan
祥梅寺,xiang'mei'si
响排,xiang'pai
相声,xiang'sheng
响堂,xiang'tang
箱头,xiang'tou
箱匣,xiang'xia
小霸,xiao'ba
小傍妆台,xiao'bang'zhuang'tai
小报名一锣,xiao'bao'ming'yi'luo
小边,xiao'bian
小钹,xiao'bo
笑场,xiao'chang
萧长华,xiao'chang'hua
筱翠花,xiao'cui'hua
小东人下学归,xiao'dong'ren'xia'xue'gui
小放牛,xiao'fang'niu
孝感天,xiao'gan'tian
肖国光,xiao'guo'guang
小过年,xiao'guo'nian
萧何月下追韩信,xiao'he'yue'xia'zhui'han'xin
小姐你多风采,xiao'jie'ni'duo'feng'cai
笑林,xiao'lin
小锣,xiao'luo
小锣长丝头,xiao'luo'chang'si'tou
小锣抽头,xiao'luo'chou'tou
小锣搓锤,xiao'luo'cuo'chui
小锣打上,xiao'luo'da'shang
小锣打下,xiao'luo'da'xia
小锣带锣,xiao'luo'dai'luo
小锣旦上场,xiao'luo'dan'shang'chang
小锣夺头,xiao'luo'duo'tou
小锣凤点头,xiao'luo'feng'dian'tou
小锣归位,xiao'luo'gui'wei
小锣急三枪,xiao'luo'ji'san'qiang
小锣加锣,xiao'luo'jia'luo
小锣叫头,xiao'luo'jiao'tou
小锣哭头,xiao'luo'ku'tou
小锣冷锤,xiao'luo'leng'chui
小锣两击,xiao'luo'liang'ji
小锣六幺令,xiao'luo'liu'yao'ling
小锣帽儿头,xiao'luo'mao'er'tou
小锣平板夺,xiao'luo'ping'ban'duo
小锣扑灯蛾,xiao'luo'pu'deng'e
小锣三击,xiao'luo'san'ji
小锣收头,xiao'luo'shou'tou
小锣水底鱼,xiao'luo'shui'di'yu
小锣四击,xiao'luo'si'ji
小锣五记头,xiao'luo'wu'ji'tou
小锣寻板头,xiao'luo'xun'ban'tou
小锣一击,xiao'luo'yi'ji
小锣原场,xiao'luo'yuan'chang
小锣住头,xiao'luo'zhu'tou
小南导板头,xiao'nan'dao'ban'tou
小荣椿科班,xiao'rong'chun'ke'ban
小三凤点头,xiao'san'feng'dian'tou
小三弦,xiao'san'xian
小嗓,xiao'sang
小扫头,xiao'sao'tou
小上坟,xiao'shang'fen
小商河,xiao'shang'he
小生,xiao'sheng
肖声虎,xiao'sheng'hu
小四击头,xiao'si'ji'tou
小王桂卿,xiao'wang'gui'qing
肖巍贾,xiao'wei'jia
小戏,xiao'xi
潇湘夜雨,xiao'xiang'ye'yu
逍遥津,xiao'yao'jin
孝义节,xiao'yi'jie
小帐子,xiao'zhang'zi
小朱奴儿,xiao'zhu'nu'er
谢场,xie'chang
谢芮芝,xie'rui'zhi
谢树森,xie'shu'sen
谢天荣,xie'tian'rong
谢天顺,xie'tian'shun
谢瑶环,xie'yao'huan
楔子,xie'zi
辛安驿,xin'an'yi
辛宝珊,xin'bao'shan
新编历史剧,xin'bian'li'shi'ju
新茶花,xin'cha'hua
新凤霜,xin'feng'shuang
辛克正,xin'ke'zheng
新水令,xin'shui'ling
辛松斌,xin'song'bin
辛文涛,xin'wen'tao
辛文正,xin'wen'zheng
心中恼恨单雄信,xin'zhong'nao'hen'shan'xiong'xin
邢炳涛,xing'bing'tao
行李,xing'li
行路哭灵,xing'lu'ku'ling
星旗,xing'qi
形似神似,xing'si'shen'si
行头,xing'tou
邢文伯,xing'wen'bo
邢文昭,xing'wen'zhao
行弦,xing'xian
邢瑛瑛,xing'ying'ying
雄心壮志冲云天,xiong'xin'zhuang'zhi'chong'yun'tian
休道我言语多必有奸诈,xiu'dao'wo'yan'yu'duo'bi'you'jian'zha
绣襦记,xiu'ru'ji
徐保库,xu'bao'ku
徐宝瑜,xu'bao'yu
徐策跑城,xu'ce'pao'cheng
徐长福,xu'chang'fu
绪得贵,xu'de'gui
徐德奎,xu'de'kui
徐景信,xu'jing'xin
徐九经升官记,xu'jiu'jing'sheng'guan'ji
徐茂昌,xu'mao'chang
徐母骂曹,xu'mu'ma'cao
虚拟,xu'ni
徐瑞海,xu'rui'hai
徐渭,xu'wei
许文跃,xu'wen'yue
徐小香,xu'xiao'xiang
许秀林,xu'xiu'lin
选元戎,xuan'yuan'rong
靴,xue
薛公子他本是相府东床,xue'gong'zi'ta'ben'shi'xiang'fu'dong'chuang
薛家窝,xue'jia'wo
薛琼英,xue'qiong'ying
噱头,xue'tou
学校,xue'xiao
荀灌娘,xun'guan'niang
荀慧生,xun'hui'sheng
浔阳楼,xun'yang'lou
哑边,ya'bian
哑钹,ya'bo
雅部,ya'bu
雅观楼,ya'guan'lou
牙笏,ya'hu
压台戏,ya'tai'xi
压轴,ya'zhou
压轴戏,ya'zhou'xi
阎伯山,yan'bo'shan
闫冲,yan'chong
烟袋,yan'dai
雁荡山,yan'dang'shan
胭粉计,yan'fen'ji
严凤英,yan'feng'ying
烟鬼叹,yan'gui'tan
演火棍,yan'huo'gun
阎金城,yan'jin'cheng
言菊朋,yan'ju'peng
阎岚秋,yan'lan'qiu
雁翎甲,yan'ling'jia
雁门关,yan'men'guan
言庆洋,yan'qing'yang
言少朋,yan'shao'peng
彦授辰,yan'shou'chen
阎笑儒,yan'xiao'ru
言兴朋,yan'xing'peng
艳阳楼,yan'yang'lou
严玉林,yan'yu'lin
阎月明,yan'yue'ming
胭脂,yan'zhi
杨宝森,yang'bao'sen
杨宝璋,yang'bao'zhang
杨伯英,yang'bo'ying
杨长鸣,yang'chang'ming
杨常州,yang'chang'zhou
杨贵田,yang'gui'tian
杨海荃,yang'hai'quan
杨洪滨,yang'hong'bin
羊角哀,yang'jiao'ai
杨进明,yang'jin'ming
杨金声,yang'jin'sheng
扬剧,yang'ju
杨鲁平,yang'lu'ping
杨蔓,yang'man
杨门女将,yang'men'nv'jiang
杨鸣玉,yang'ming'yu
杨乃彭,yang'nai'peng
杨宁,yang'ning
阳平关,yang'ping'guan
杨瑞库,yang'rui'ku
杨三姐告状,yang'san'jie'gao'zhuang
杨少华,yang'shao'hua
杨绍奎,yang'shao'kui
杨少彭,yang'shao'peng
杨世彬,yang'shi'bin
杨世龙,yang'shi'long
杨世章,yang'shi'zhang
杨四奇,yang'si'qi
杨松临,yang'song'lin
杨天茂,yang'tian'mao
杨威,yang'wei
杨文峰,yang'wen'feng
杨闻华,yang'wen'hua
杨文义,yang'wen'yi
阳戏,yang'xi
杨小楼,yang'xiao'lou
阳新采茶戏,yang'xin'cai'cha'xi
羊形,yang'xing
杨雅松,yang'ya'song
杨延辉坐宫院自思自叹,yang'yan'hui'zuo'gong'yuan'zi'si'zi'tan
杨燕毅,yang'yan'yi
杨议,yang'yi
杨义,yang'yi
杨英彩,yang'ying'cai
杨振华,yang'zhen'hua
杨志刚,yang'zhi'gang
杨志光,yang'zhi'guang
杨稚敏,yang'zhi'min
扬州弹词,yang'zhou'tan'ci
杨紫阳,yang'zi'yang
杨祖尧,yang'zu'yao
摇板,yao'ban
摇板长锤,yao'ban'chang'chui
姚剧,yao'ju
要离刺庆忌,yao'li'ci'qing'ji
姚慕双,yao'mu'shuang
姚期,yao'qi
摇钱树,yao'qian'shu
姚水娟,yao'shui'juan
药王庙传奇,yao'wang'miao'chuan'qi
姚文虎,yao'wen'hu
姚新光,yao'xin'guang
姚玉明,yao'yu'ming
咬字,yao'zi
叶惠贤,ye'hui'xian
叶杰平,ye'jie'ping
叶立中,ye'li'zhong
叶少臣,ye'shao'chen
叶少兰,ye'shao'lan
夜深沉,ye'shen'chen
叶盛兰,ye'sheng'lan
叶盛章,ye'sheng'zhang
叶寿亭,ye'shou'ting
叶太珍,ye'tai'zhen
叶文杰,ye'wen'jie
野猪林,ye'zhu'lin
一锤锣,yi'chui'luo
一封书,yi'feng'shu
一勾勾,yi'gou'gou
宜黄戏,yi'huang'xi
一击,yi'ji
一箭仇,yi'jian'chou
一见皇儿跪埃尘,yi'jian'huang'er'gui'ai'chen
一江风,yi'jiang'feng
一路上无情棍,yi'lu'shang'wu'qing'gun
一轮明月照窗下,yi'lun'ming'yue'zhao'chuang'xia
一锣,yi'luo
一锣凤点头,yi'luo'feng'dian'tou
一缕麻,yi'lv'ma
一捧雪,yi'peng'xue
一匹布,yi'pi'bu
易俗社,yi'su'she
义务戏,yi'wu'xi
忆昔当年去投军,yi'xi'dang'nian'qu'tou'jun
一席话说的我羞愧难禁,yi'xi'hua'shuo'de'wo'xiu'kui'nan'jin
衣箱,yi'xiang
弋阳腔,yi'yang'qiang
义责王魁,yi'ze'wang'kui
一支笔权作了十万铁甲,yi'zhi'bi'quan'zuo'le'shi'wan'tie'jia
一枝花,yi'zhi'hua
一支花凝晨露盈盈绽放,yi'zhi'hua'ning'chen'lu'ying'ying'zhan'fang
一桌两椅,yi'zhuo'liang'yi
乙字调,yi'zi'diao
椅子功,yi'zi'gong
银仓,yin'cang
饮场,yin'chang
银达子,yin'da'zi
尹凤岐,yin'feng'qi
尹洪伟,yin'hong'wei
殷家堡,yin'jia'bao
阴锣,yin'luo
银纽丝,yin'niu'si
殷培田,yin'pei'tian
吟诗,yin'shi
尹寿山,yin'shou'shan
殷文硕,yin'wen'shuo
印匣,yin'xia
尹笑声,yin'xiao'sheng
殷振江,yin'zhen'jiang
尹卓林,yin'zhuo'lin
引子,yin'zi
硬脆头,ying'cui'tou
英杰烈,ying'jie'lie
硬三锤,ying'san'chui
英台抗婚,ying'tai'kang'hun
影戏,ying'xi
英雄会,ying'xiong'hui
邕剧,yong'ju
甬剧,yong'ju
雍凉关,yong'liang'guan
游春戏,you'chun'xi
右词南剑调,you'ci'nan'jian'tiao
有孤王在金殿,you'gu'wang'zai'jin'dian
游湖借伞,you'hu'jie'san
游龙戏凤,you'long'xi'feng
游园惊梦,you'yuan'jing'meng
于保东,yu'bao'dong
于宝林,yu'bao'lin
御碑亭,yu'bei'ting
鱼肠剑,yu'chang'jian
于春明,yu'chun'ming
于春藻,yu'chun'zao
玉带,yu'dai
裕德隆,yu'de'long
