阿贝不变量,a'bei'bu'bian'liang
熵增加原理,shang'zeng'jia'yuan'li
摄动,she'dong
射光,she'guang
射频振荡器,she'pin'zhen'dang'qi
摄谱学,she'pu'xue
摄谱仪,she'pu'yi
摄氏温标,she'shi'wen'biao
射线摄谱仪,she'xian'she'pu'yi
射线衍射,she'xian'yan'she
射线衍射仪,she'xian'yan'she'yi
声波,sheng'bo
剩磁,sheng'ci
声导,sheng'dao
声导纳,sheng'dao'na
声调,sheng'diao
声共振,sheng'gong'zhen
声光效应,sheng'guang'xiao'ying
升华,sheng'hua
升华热,sheng'hua're
声级,sheng'ji
声抗,sheng'kang
升力,sheng'li
声呐,sheng'na
声纳,sheng'na
声频振荡器,sheng'pin'zhen'dang'qi
声强,sheng'qiang
声强计,sheng'qiang'ji
声速,sheng'su
生物物理,sheng'wu'wu'li
声学,sheng'xue
声压,sheng'ya
剩余磁化强度,sheng'yu'ci'hua'qiang'du
声源,sheng'yuan
声阻,sheng'zu
声阻抗,sheng'zu'kang
示波器,shi'bo'qi
拾波线圈,shi'bo'xian'quan
视差,shi'cha
视场,shi'chang
视场光阑,shi'chang'guang'lan
湿度,shi'du
湿度计,shi'du'ji
势函数,shi'han'shu
事件,shi'jian
时间,shi'jian
时间反演,shi'jian'fan'yan
时间方向,shi'jian'fang'xiang
视见函数,shi'jian'han'shu
事件排序,shi'jian'pai'xu
时间平移,shi'jian'ping'yi
时间相干性,shi'jian'xiang'gan'xing
时间延缓,shi'jian'yan'huan
视角,shi'jiao
世界管,shi'jie'guan
世界线,shi'jie'xian
十进电阻箱,shi'jin'dian'zu'xiang
势阱,shi'jing
时空,shi'kong
时空点,shi'kong'dian
时空均匀性,shi'kong'jun'yun'xing
时空连续统,shi'kong'lian'xu'tong
时空流形,shi'kong'liu'xing
时空图,shi'kong'tu
时空坐标,shi'kong'zuo'biao
势垒,shi'lei
势垒穿透,shi'lei'chuan'tou
矢量,shi'liang
矢量模型,shi'liang'mo'xing
矢量耦合系数,shi'liang'ou'he'xi'shu
示零器,shi'ling'qi
势能,shi'neng
矢耦,shi'ou
势散射,shi'san'she
矢势,shi'shi
施特恩,shi'te'en
实物,shi'wu
实象,shi'xiang
时谐波,shi'xie'bo
时谐光波,shi'xie'guang'bo
实验,shi'yan
实验室,shi'yan'shi
实验物理,shi'yan'wu'li
失重,shi'zhong
受激布里渊散射,shou'ji'bu'li'yuan'san'she
受激发射,shou'ji'fa'she
受激辐射,shou'ji'fu'she
受激拉曼散射,shou'ji'la'man'san'she
受激吸收,shou'ji'xi'shou
受迫振动,shou'po'zhen'dong
输出,shu'chu
束缚电荷,shu'fu'dian'he
束缚电子,shu'fu'dian'zi
束缚态,shu'fu'tai
数据,shu'ju
数据处理,shu'ju'chu'li
数据光滑,shu'ju'guang'hua
数据舍弃,shu'ju'she'qi
数理物理,shu'li'wu'li
输入,shu'ru
疏失误差,shu'shi'wu'cha
输运现象,shu'yun'xian'xiang
数值孔径,shu'zhi'kong'jing
数字多用表,shu'zi'duo'yong'biao
数字伏特计,shu'zi'fu'te'ji
数字计时器,shu'zi'ji'shi'qi
数字频率计,shu'zi'pin'lv'ji
衰变定律,shuai'bian'ding'lv
衰减常量,shuai'jian'chang'liang
衰减器,shuai'jian'qi
双侧约束,shuang'ce'yue'shu
双缝衍射,shuang'feng'yan'she
双生子佯谬,shuang'sheng'zi'yang'miu
双折射,shuang'zhe'she
双轴晶体,shuang'zhou'jing'ti
水准器,shui'zhun'qi
顺磁性,shun'ci'xing
瞬时螺旋轴,shun'shi'luo'xuan'zhou
瞬时速度,shun'shi'su'du
瞬态运动,shun'tai'yun'dong
瞬心,shun'xin
瞬轴,shun'zhou
丝极,si'ji
斯莱特行列式,si'lai'te'hang'lie'shi
斯莫卢霍夫斯基理论,si'mo'lu'huo'fu'si'ji'li'lun
死时间,si'shi'jian
斯塔克效应,si'ta'ke'xiao'ying
斯特藩,si'te'fan
斯特藩常量,si'te'fan'chang'liang
斯托克斯方程,si'tuo'ke'si'fang'cheng
四维动量,si'wei'dong'liang
四维加速度,si'wei'jia'su'du
四维力,si'wei'li
四维流,si'wei'liu
四维时空,si'wei'shi'kong
四维矢量,si'wei'shi'liang
四维速度,si'wei'su'du
四维张量,si'wei'zhang'liang
速调管,su'diao'guan
速度,su'du
速度共振,su'du'gong'zhen
速度加法公式,su'du'jia'fa'gong'shi
速度空间,su'du'kong'jian
速率,su'lv
塑性,su'xing
塑性形变,su'xing'xing'bian
算符,suan'fu
算术平均,suan'shu'ping'jun
隧道效应,sui'dao'xiao'ying
随机误差,sui'ji'wu'cha
随遇平衡,sui'yu'ping'heng
锁定放大器,suo'ding'fang'da'qi
索末菲椭圆轨道,suo'mo'fei'tuo'yuan'gui'dao
态变量,tai'bian'liang
态参量,tai'can'liang
态叠加原理,tai'die'jia'yuan'li
态函数,tai'han'shu
态密度,tai'mi'du
太阳能电池,tai'yang'neng'dian'chi
探察线圈,tan'cha'xian'quan
弹簧秤,tan'huang'cheng
弹性,tan'xing
弹性散射,tan'xing'san'she
弹性体,tan'xing'ti
糖量计,tang'liang'ji
汤姆孙系数,tang'mu'sun'xi'shu
汤姆孙效应,tang'mu'sun'xiao'ying
逃逸速度,tao'yi'su'du
特斯拉计,te'si'la'ji
特征光谱,te'zheng'guang'pu
体电荷密度,ti'dian'he'mi'du
体积,ti'ji
体力,ti'li
体频率,ti'pin'lv
体全息图,ti'quan'xi'tu
天平,tian'ping
天体物理,tian'ti'wu'li
天线,tian'xian
天线阵,tian'xian'zhen
条件,tiao'jian
调焦,tiao'jiao
调节,tiao'jie
铁磁性,tie'ci'xing
铁电体,tie'dian'ti
铁电性,tie'dian'xing
停表,ting'biao
同步,tong'bu
统计法,tong'ji'fa
统计光学,tong'ji'guang'xue
统计力学,tong'ji'li'xue
统计平衡,tong'ji'ping'heng
统计权重,tong'ji'quan'zhong
统计算符,tong'ji'suan'fu
统计误差,tong'ji'wu'cha
统计物理学,tong'ji'wu'li'xue
同科电子,tong'ke'dian'zi
同时事件,tong'shi'shi'jian
同时性,tong'shi'xing
同时性的相对性,tong'shi'xing'de'xiang'dui'xing
同位素移位,tong'wei'su'yi'wei
同心光束,tong'xin'guang'shu
桶形畸变,tong'xing'ji'bian
同质异能素,tong'zhi'yi'neng'su
同轴线,tong'zhou'xian
透镜,tou'jing
透镜公式,tou'jing'gong'shi
透镜光心,tou'jing'guang'xin
透明度,tou'ming'du
透明性,tou'ming'xing
透射光栅,tou'she'guang'shan
透射率,tou'she'lv
投影仪,tou'ying'yi
图解法,tu'jie'fa
凸面镜,tu'mian'jing
凸透镜,tu'tou'jing
湍流,tuan'liu
湍流阻力,tuan'liu'zu'li
推迟势,tui'chi'shi
推迟效应,tui'chi'xiao'ying
推广,tui'guang
推理,tui'li
陀螺,tuo'luo
陀螺仪,tuo'luo'yi
椭圆偏振,tuo'yuan'pian'zhen
瓦时计,wa'shi'ji
瓦特计,wa'te'ji
外反射,wai'fan'she
外力,wai'li
外推,wai'tui
弯曲,wan'qu
完全非弹性碰撞,wan'quan'fei'tan'xing'peng'zhuang
完全气体,wan'quan'qi'ti
完全弹性碰撞,wan'quan'tan'xing'peng'zhuang
万有引力定律,wan'you'yin'li'ding'lv
完整系,wan'zheng'xi
完整约束,wan'zheng'yue'shu
网络,wang'luo
望远镜,wang'yuan'jing
微波发生器,wei'bo'fa'sheng'qi
维德曼,wei'de'man
维恩公式,wei'en'gong'shi
维恩位移律,wei'en'wei'yi'lv
威耳逊云室,wei'er'xun'yun'shi
微分散射截面,wei'fen'san'she'jie'mian
微观可逆性,wei'guan'ke'ni'xing
微观粒子,wei'guan'li'zi
微观量,wei'guan'liang
微观态,wei'guan'tai
未来,wei'lai
位力,wei'li
位力定理,wei'li'ding'li
维里定理,wei'li'ding'li
微粒说,wei'li'shuo
位力系数,wei'li'xi'shu
维里系数,wei'li'xi'shu
为粒子,wei'li'zi
微扰,wei'rao
微扰论,wei'rao'lun
微扰势,wei'rao'shi
位矢,wei'shi
位相,wei'xiang
唯象理论,wei'xiang'li'lun
维谢尔势,wei'xie'er'shi
位型,wei'xing
位形,wei'xing
位形积分,wei'xing'ji'fen
位形空间,wei'xing'kong'jian
位移,wei'yi
位移电流,wei'yi'dian'liu
位移共振,wei'yi'gong'zhen
位移极化,wei'yi'ji'hua
唯一性定理,wei'yi'xing'ding'li
微正则分布,wei'zheng'ze'fen'bu
微正则系综,wei'zheng'ze'xi'zong
位置表象,wei'zhi'biao'xiang
位置色差,wei'zhi'se'cha
位置矢量,wei'zhi'shi'liang
为作用作用在,wei'zuo'yong'zuo'yong'zai
温标,wen'biao
温差电堆,wen'cha'dian'dui
温差电偶,wen'cha'dian'ou
温差电偶真空规,wen'cha'dian'ou'zhen'kong'gui
温差电效应,wen'cha'dian'xiao'ying
稳定平衡,wen'ding'ping'heng
稳定性,wen'ding'xing
稳定性判据,wen'ding'xing'pan'ju
温度,wen'du
温度计,wen'du'ji
稳流电源,wen'liu'dian'yuan
稳压电源,wen'ya'dian'yuan
沃拉斯顿棱镜,wo'la'si'dun'leng'jing
涡流,wo'liu
涡流损耗,wo'liu'sun'hao
涡线,wo'xian
涡旋,wo'xuan
误差,wu'cha
误差传递,wu'cha'chuan'di
物方焦点,wu'fang'jiao'dian
物高,wu'gao
无功电流,wu'gong'dian'liu
无功功率,wu'gong'gong'lv
无规行走,wu'gui'xing'zou
无规运动,wu'gui'yun'dong
无极分子,wu'ji'fen'zi
无界空间,wu'jie'kong'jian
物镜,wu'jing
物距,wu'ju
物理,wu'li
物理光学,wu'li'guang'xue
物理量,wu'li'liang
物理天平,wu'li'tian'ping
物理学,wu'li'xue
物平面,wu'ping'mian
物态方程,wu'tai'fang'cheng
无限小转动,wu'xian'xiao'zhuan'dong
物性,wu'xing
无序,wu'xu
无液气压计,wu'ye'qi'ya'ji
物质,wu'zhi
细调,xi'diao
希尔伯特空间,xi'er'bo'te'kong'jian
吸收,xi'shou
吸收光谱,xi'shou'guang'pu
吸收率,xi'shou'lv
系数,xi'shu
系统误差,xi'tong'wu'cha
细致平衡,xi'zhi'ping'heng
系综,xi'zong
系综理论,xi'zong'li'lun
狭缝,xia'feng
狭义相对论,xia'yi'xiang'dui'lun
狭义相对性原理,xia'yi'xiang'dui'xing'yuan'li
线电荷密度,xian'dian'he'mi'du
线电压,xian'dian'ya
线分辨率,xian'fen'bian'lv
线宽,xian'kuan
线膨胀率,xian'peng'zhang'lv
线偏振,xian'pian'zhen
线圈,xian'quan
显微镜,xian'wei'jing
线系极限,xian'xi'ji'xian
现象,xian'xiang
线性放大器,xian'xing'fang'da'qi
线性元件,xian'xing'yuan'jian
弦音计,xian'yin'ji
线元,xian'yuan
现在,xian'zai
线状谱,xian'zhuang'pu
相变,xiang'bian
象差,xiang'cha
象场弯曲,xiang'chang'wan'qu
相电压,xiang'dian'ya
相对磁导率,xiang'dui'ci'dao'lv
相对电容率,xiang'dui'dian'rong'lv
相对加速度,xiang'dui'jia'su'du
相对孔径,xiang'dui'kong'jing
相对论,xiang'dui'lun
相对论性,xiang'dui'lun'xing
相对论性不变量,xiang'dui'lun'xing'bu'bian'liang
相对论性不变式,xiang'dui'lun'xing'bu'bian'shi
相对论性不变性,xiang'dui'lun'xing'bu'bian'xing
相对论性场方程,xiang'dui'lun'xing'chang'fang'cheng
相对论性粒子,xiang'dui'lun'xing'li'zi
相对论性协变量,xiang'dui'lun'xing'xie'bian'liang
相对论性协变式,xiang'dui'lun'xing'xie'bian'shi
相对论性协变性,xiang'dui'lun'xing'xie'bian'xing
相对论性质量,xiang'dui'lun'xing'zhi'liang
相对速度,xiang'dui'su'du
相对误差,xiang'dui'wu'cha
相对性,xiang'dui'xing
相对性原理,xiang'dui'xing'yuan'li
相对运动,xiang'dui'yun'dong
相对涨落,xiang'dui'zhang'luo
相对折射率,xiang'dui'zhe'she'lv
象方焦点,xiang'fang'jiao'dian
相干波,xiang'gan'bo
相干长度,xiang'gan'chang'du
相干成象,xiang'gan'cheng'xiang
相干度,xiang'gan'du
相干光,xiang'gan'guang
相干光源,xiang'gan'guang'yuan
相干面积,xiang'gan'mian'ji
相干时间,xiang'gan'shi'jian
相干态,xiang'gan'tai
相干条件,xiang'gan'tiao'jian
相干性,xiang'gan'xing
象高,xiang'gao
相格,xiang'ge
相角,xiang'jiao
象距,xiang'ju
相空间,xiang'kong'jian
相律,xiang'lv
相平衡,xiang'ping'heng
象平面,xiang'ping'mian
象散,xiang'san
相速,xiang'su
相图,xiang'tu
相位常量,xiang'wei'chang'liang
相位跃变,xiang'wei'yue'bian
象限静电计,xiang'xian'jing'dian'ji
向心加速度,xiang'xin'jia'su'du
向心力,xiang'xin'li
相移,xiang'yi
响应函数,xiang'ying'han'shu
消球差透镜,xiao'qiu'cha'tou'jing
消色差棱镜,xiao'se'cha'leng'jing
消色差透镜,xiao'se'cha'tou'jing
肖维涅舍弃判据,xiao'wei'nie'she'qi'pan'ju
消象散透镜,xiao'xiang'san'tou'jing
效应,xiao'ying
小振动,xiao'zhen'dong
谐波,xie'bo
谢勒法,xie'le'fa
谢林电桥,xie'lin'dian'qiao
泻流,xie'liu
斜碰,xie'peng
协同学,xie'tong'xue
谐音,xie'yin
谐振子,xie'zhen'zi
信息光学,xin'xi'guang'xue
信噪比,xin'zao'bi
形象,xing'xiang
星形接法,xing'xing'jie'fa
蓄电池,xu'dian'chi
虚功,xu'gong
虚功原理,xu'gong'yuan'li
虚位移,xu'wei'yi
虚物,xu'wu
虚象,xu'xiang
旋磁比,xuan'ci'bi
旋光,xuan'guang
旋光本领,xuan'guang'ben'ling
旋光性,xuan'guang'xing
旋进,xuan'jin
旋进角,xuan'jin'jiao
选择定则,xuan'ze'ding'ze
选择吸收,xuan'ze'xi'shou
旋转泵,xuan'zhuan'beng
旋转磁场,xuan'zhuan'ci'chang
雪崩击穿,xue'beng'ji'chuan
薛定谔方程,xue'ding'e'fang'cheng
薛定谔绘景,xue'ding'e'hui'jing
学理,xue'li
巡标,xun'biao
寻常光,xun'chang'guang
寻常折射率,xun'chang'zhe'she'lv
循环,xun'huan
压电体,ya'dian'ti
压电效应,ya'dian'xiao'ying
氩激光器,ya'ji'guang'qi
雅可比方程,ya'ke'bi'fang'cheng
压力,ya'li
压强,ya'qiang
压强计,ya'qiang'ji
亚声速,ya'sheng'su
压缩,ya'suo
压缩冲量,ya'suo'chong'liang
压缩率,ya'suo'lv
亚稳平衡,ya'wen'ping'heng
亚稳态,ya'wen'tai
验电器,yan'dian'qi
赝规则旋进,yan'gui'ze'xuan'jin
演化算符,yan'hua'suan'fu
眼镜,yan'jing
湮没,yan'mo
湮没算符,yan'mo'suan'fu
衍射,yan'she
衍射级,yan'she'ji
衍射角,yan'she'jiao
衍射屏,yan'she'ping
衍射图样,yan'she'tu'yang
延伸率,yan'shen'lv
验证,yan'zheng
阳极,yang'ji
佯谬,yang'miu
杨氏模量,yang'shi'mo'liang
幺正,yao'zheng
幺正变换,yao'zheng'bian'huan
幺正算符,yao'zheng'suan'fu
液化,ye'hua
液化点,ye'hua'dian
液体,ye'ti
液体比重计,ye'ti'bi'zhong'ji
曳引系数,ye'yin'xi'shu
曳引效应,ye'yin'xiao'ying
移测显微镜,yi'ce'xian'wei'jing
逸出功,yi'chu'gong
逸度,yi'du
一级相变,yi'ji'xiang'bian
仪器,yi'qi
以太,yi'tai
以太风,yi'tai'feng
以太漂移,yi'tai'piao'yi
以太曳引,yi'tai'ye'yin
移相器,yi'xiang'qi
音叉,yin'cha
音调,yin'diao
因果性,yin'guo'xing
阴极,yin'ji
阴极射线,yin'ji'she'xian
阴极射线管,yin'ji'she'xian'guan
引力,yin'li
引力场,yin'li'chang
引力常量,yin'li'chang'liang
引力质量,yin'li'zhi'liang
音色,yin'se
隐失波,yin'shi'bo
因数,yin'shu
因子,yin'zi
应变,ying'bian
应变规,ying'bian'gui
硬磁材料,ying'ci'cai'liao
荧光,ying'guang
应力,ying'li
应力张量,ying'li'zhang'liang
应用光学,ying'yong'guang'xue
应用物理,ying'yong'wu'li
永磁体,yong'ci'ti
游标,you'biao
游标卡尺,you'biao'ka'chi
有功电流,you'gong'dian'liu
有功功率,you'gong'gong'lv
有极分子,you'ji'fen'zi
有界空间,you'jie'kong'jian
油浸物镜,you'jin'wu'jing
右矢,you'shi
有势力,you'shi'li
右手螺旋定则,you'shou'luo'xuan'ding'ze
有限转动,you'xian'zhuan'dong
有效势,you'xiao'shi
有效数字,you'xiao'shu'zi
有效值,you'xiao'zhi
有心力,you'xin'li
有心力场,you'xin'li'chang
有序,you'xu
有序无序转变,you'xu'wu'xu'zhuan'bian
有旋电场,you'xuan'dian'chang
右旋晶体,you'xuan'jing'ti
宇称算符,yu'cheng'suan'fu
预解式,yu'jie'shi
余弦发射体,yu'xian'fa'she'ti
阈值条件,yu'zhi'tiao'jian
源点,yuan'dian
元电荷,yuan'dian'he
元功,yuan'gong
元件,yuan'jian
圆孔衍射,yuan'kong'yan'she
原理,yuan'li
圆盘衍射,yuan'pan'yan'she
圆偏振,yuan'pian'zhen
远视,yuan'shi
圆周运动,yuan'zhou'yun'dong
原子,yuan'zi
原子光谱,yuan'zi'guang'pu
原子核,yuan'zi'he
原子极化率,yuan'zi'ji'hua'lv
原子结构,yuan'zi'jie'gou
原子实,yuan'zi'shi
原子物理学,yuan'zi'wu'li'xue
约化矩阵元,yue'hua'ju'zhen'yuan
约化质量,yue'hua'zhi'liang
约化中心,yue'hua'zhong'xin
约利弹簧秤,yue'li'tan'huang'cheng
跃迁,yue'qian
跃迁概率,yue'qian'gai'lv
约束,yue'shu
约束力,yue'shu'li
约束运动,yue'shu'yun'dong
运动常量,yun'dong'chang'liang
运动粘度,yun'dong'nian'du
运动学,yun'dong'xue
运动学方程,yun'dong'xue'fang'cheng
运流电流,yun'liu'dian'liu
匀速运动,yun'su'yun'dong
匝数,za'shu
载流子,zai'liu'zi
暂态过程,zan'tai'guo'cheng
暂态运动,zan'tai'yun'dong
噪声,zao'sheng
增益,zeng'yi
占有数,zhan'you'shu
章动,zhang'dong
章动角,zhang'dong'jiao
张力,zhang'li
张量,zhang'liang
涨落,zhang'luo
涨落耗散定理,zhang'luo'hao'san'ding'li
照度,zhao'du
照度计,zhao'du'ji
兆欧计,zhao'ou'ji
照相机,zhao'xiang'ji
照相术,zhao'xiang'shu
折射定律,zhe'she'ding'lv
折射角,zhe'she'jiao
折射率,zhe'she'lv
折射率椭球,zhe'she'lv'tuo'qiu
折射系数,zhe'she'xi'shu
折射线,zhe'she'xian
振荡器,zhen'dang'qi
振动,zhen'dong
振动模,zhen'dong'mo
振幅,zhen'fu
振幅反射率,zhen'fu'fan'she'lv
振幅分割,zhen'fu'fen'ge
振幅透射率,zhen'fu'tou'she'lv
真空,zhen'kong
真空磁导率,zhen'kong'ci'dao'lv
真空电容率,zhen'kong'dian'rong'lv
真空镀膜,zhen'kong'du'mo
真空管,zhen'kong'guan
真空规,zhen'kong'gui
针孔照相机,zhen'kong'zhao'xiang'ji
镇流,zhen'liu
真实气体,zhen'shi'qi'ti
枕形畸变,zhen'xing'ji'bian
真值,zhen'zhi
正比计数器,zheng'bi'ji'shu'qi
正常色散,zheng'chang'se'san
正电荷,zheng'dian'he
正电子,zheng'dian'zi
正电子湮没装置,zheng'dian'zi'yan'mo'zhuang'zhi
蒸发,zheng'fa
蒸发热,zheng'fa're
正反馈,zheng'fan'kui
正极板,zheng'ji'ban
正交归一系,zheng'jiao'gui'yi'xi
正晶体,zheng'jing'ti
正离子,zheng'li'zi
整流,zheng'liu
整流器,zheng'liu'qi
正碰,zheng'peng
正氢,zheng'qing
证认,zheng'ren
正入射,zheng'ru'she
正弦式电流,zheng'xian'shi'dian'liu
正象,zheng'xiang
正则变换,zheng'ze'bian'huan
正则变量,zheng'ze'bian'liang
正则方程,zheng'ze'fang'cheng
正则分布,zheng'ze'fen'bu
正则系综,zheng'ze'xi'zong
直边衍射,zhi'bian'yan'she
质点,zhi'dian
质点系,zhi'dian'xi
直方图,zhi'fang'tu
置换群,zhi'huan'qun
置换算符,zhi'huan'suan'fu
直接测量,zhi'jie'ce'liang
质量,zhi'liang
质量守恒定律,zhi'liang'shou'heng'ding'lv
质量作用,zhi'liang'zuo'yong
直流,zhi'liu
直流电桥,zhi'liu'dian'qiao
支路,zhi'lu
质能等价性,zhi'neng'deng'jia'xing
质能关系,zhi'neng'guan'xi
直视棱镜,zhi'shi'leng'jing
直线运动,zhi'xian'yun'dong
指向过去的,zhi'xiang'guo'qu'de
指向未来的,zhi'xiang'wei'lai'de
质心,zhi'xin
置信水平,zhi'xin'shui'ping
质心系,zhi'xin'xi
置信限,zhi'xin'xian
质子,zhi'zi
钟的同步,zhong'de'tong'bu
中国物理学会,zhong'guo'wu'li'xue'hui
中和,zhong'he
终极速度,zhong'ji'su'du
重力,zhong'li
重力场,zhong'li'chang
重力加速度,zhong'li'jia'su'du
重量,zhong'liang
仲氢,zhong'qing
重心,zhong'xin
中性平衡,zhong'xing'ping'heng
中央极大,zhong'yang'ji'da
中子,zhong'zi
中子探测器,zhong'zi'tan'ce'qi
周期,zhou'qi
周期性,zhou'qi'xing
轴矢,zhou'shi
轴向放大率,zhou'xiang'fang'da'lv
轴向加速度,zhou'xiang'jia'su'du
驻波,zhu'bo
主磁通,zhu'ci'tong
主点,zhu'dian
主方程,zhu'fang'cheng
主观亮度,zhu'guan'liang'du
主极大,zhu'ji'da
驻极体,zhu'ji'ti
主矩,zhu'ju
主面,zhu'mian
柱面镜,zhu'mian'jing
柱面透镜,zhu'mian'tou'jing
主矢,zhu'shi
主转动惯量,zhu'zhuan'dong'guan'liang
转动,zhuan'dong
转动惯量,zhuan'dong'guan'liang
转动角,zhuan'dong'jiao
转动算符,zhuan'dong'suan'fu
转矩,zhuan'ju
撞击中心,zhuang'ji'zhong'xin
装置,zhuang'zhi
准单色光,zhun'dan'se'guang
准经典近似,zhun'jing'dian'jin'si
准静态过程,zhun'jing'tai'guo'cheng
准确度,zhun'que'du
准直,zhun'zhi
准直管,zhun'zhi'guan
子波,zi'bo
自场,zi'chang
自抽运,zi'chou'yun
自发发射,zi'fa'fa'she
自发辐射,zi'fa'fu'she
自发光,zi'fa'guang
自发过程,zi'fa'guo'cheng
自反,zi'fan
自感,zi'gan
自感系数,zi'gan'xi'shu
自聚焦,zi'ju'jiao
自扩散,zi'kuo'san
自能,zi'neng
自耦变压器,zi'ou'bian'ya'qi
自洽场,zi'qia'chang
自洽解,zi'qia'jie
自洽性,zi'qia'xing
自然光,zi'ran'guang
紫外线,zi'wai'xian
子午焦线,zi'wu'jiao'xian
自旋,zi'xuan
自旋磁矩,zi'xuan'ci'ju
自旋角动量,zi'xuan'jiao'dong'liang
自由程,zi'you'cheng
自由磁荷,zi'you'ci'he
自由电荷,zi'you'dian'he
自由电子,zi'you'dian'zi
自由度,zi'you'du
自由焓,zi'you'han
自由空间,zi'you'kong'jian
自由能,zi'you'neng
自由矢,zi'you'shi
自由指标,zi'you'zhi'biao
自转,zi'zhuan
自转角,zi'zhuan'jiao
自准直谱仪,zi'zhun'zhi'pu'yi
自组织,zi'zu'zhi
纵波,zong'bo
纵场,zong'chang
纵模,zong'mo
纵质量,zong'zhi'liang
组分,zu'fen
组合原理,zu'he'yuan'li
阻抗,zu'kang
阻抗角,zu'kang'jiao
阻抗匹配,zu'kang'pi'pei
阻抗三角形,zu'kang'san'jiao'xing
阻尼,zu'ni
阻尼力,zu'ni'li
阻尼振动,zu'ni'zhen'dong
组态,zu'tai
最大功原理,zui'da'gong'yuan'li
最大静摩擦系数,zui'da'jing'mo'ca'xi'shu
最大偏差,zui'da'pian'cha
最大似然法,zui'da'si'ran'fa
最大误差,zui'da'wu'cha
最概然分布,zui'gai'ran'fen'bu
最概然速率,zui'gai'ran'su'lv
最概然值,zui'gai'ran'zhi
最小二乘法,zui'xiao'er'cheng'fa
最小分辨角,zui'xiao'fen'bian'jiao
最小模糊圆,zui'xiao'mo'hu'yuan
最小偏向角,zui'xiao'pian'xiang'jiao
最小作用,zui'xiao'zuo'yong
坐标,zuo'biao
坐标系,zuo'biao'xi
左矢,zuo'shi
左旋晶体,zuo'xuan'jing'ti
作用,zuo'yong
作用力,zuo'yong'li
作用量,zuo'yong'liang
