安定性,an'ding'xing
重型击实,zhong'xing'ji'shi
重型击实试验,zhong'xing'ji'shi'shi'yan
中央导坑,zhong'yang'dao'keng
中央分隔带,zhong'yang'fen'ge'dai
中央控制台,zhong'yang'kong'zhi'tai
中桩,zhong'zhuang
中桩填挖高度,zhong'zhuang'tian'wa'gao'du
周边眼,zhou'bian'yan
轴线偏位,zhou'xian'pian'wei
轴向疲劳试验,zhou'xiang'pi'lao'shi'yan
周转,zhou'zhuan
主槽,zhu'cao
筑岛,zhu'dao
驻地监理处,zhu'di'jian'li'chu
驻地监理工程师,zhu'di'jian'li'gong'cheng'shi
注浆加固,zhu'jiang'jia'gu
助理工程师,zhu'li'gong'cheng'shi
主梁,zhu'liang
筑龙网,zhu'long'wang
主桥,zhu'qiao
柱式桥墩,zhu'shi'qiao'dun
转体,zhuan'ti
转体架桥法,zhuan'ti'jia'qiao'fa
转体施工,zhuan'ti'shi'gong
专业监理工程师,zhuan'ye'jian'li'gong'cheng'shi
专用公路,zhuan'yong'gong'lu
桩板式挡土墙,zhuang'ban'shi'dang'tu'qiang
装碴机,zhuang'cha'ji
装拆式桥,zhuang'chai'shi'qiao
桩基础,zhuang'ji'chu
撞击韧度试验机,zhuang'ji'ren'du'shi'yan'ji
装配式,zhuang'pei'shi
装配式桥,zhuang'pei'shi'qiao
装雪机,zhuang'xue'ji
装载机,zhuang'zai'ji
锥坡,zhui'po
锥坡填筑,zhui'po'tian'zhu
自检体系,zi'jian'ti'xi
自然演变冲刷,zi'ran'yan'bian'chong'shua
自卸车,zi'xie'che
自卸汽车,zi'xie'qi'che
自行车道,zi'xing'che'dao
纵断面,zong'duan'mian
纵断面高程,zong'duan'mian'gao'cheng
纵缝,zong'feng
综合法测图,zong'he'fa'ce'tu
综合考试,zong'he'kao'shi
总监代表处,zong'jian'dai'biao'chu
总监理工程师,zong'jian'li'gong'cheng'shi
纵梁,zong'liang
纵面线形,zong'mian'xian'xing
纵向标线,zong'xiang'biao'xian
纵向间距,zong'xiang'jian'ju
纵向拖拉法,zong'xiang'tuo'la'fa
钻爆,zuan'bao
钻孔机,zuan'kong'ji
钻孔桩,zuan'kong'zhuang
最大干密度,zui'da'gan'mi'du
最大干容重,zui'da'gan'rong'zhong
最大纵坡,zui'da'zong'po
最高水位,zui'gao'shui'wei
最佳含水量,zui'jia'han'shui'liang
最佳级配,zui'jia'ji'pei
最小抗线,zui'xiao'kang'xian
最小填土高度,zui'xiao'tian'tu'gao'du
最小纵坡,zui'xiao'zong'po
坐标,zuo'biao
