愛愛惜,ai'ai'xi
僆妹,lian'mei
蓮藕,lian'ou
連氣,lian'qi
連仁,lian'ren
連隨,lian'sui
涼茶涼菓,liang'cha'liang'guo
兩睇,liang'di
兩份,liang'fen
兩公婆,liang'gong'po
兩公孫,liang'gong'sun
兩家,liang'jia
涼浸浸,liang'jin'jin
兩摳,liang'kou
靓女,liang'nv
兩撇鷄,liang'pie'ji
涼爽,liang'shuang
涼水,liang'shui
量天尺,liang'tian'chi
兩頭蛇,liang'tou'she
兩頭唔到岸,liang'tou'wu'dao'an
兩頭唔受中間受,liang'tou'wu'shou'zhong'jian'shou
靓仔,liang'zai
兩仔乸,liang'zi'na
兩仔爺,liang'zi'ye
寮刁,liao'diao
鷯哥,liao'ge
繚繑,liao'qiao
撩是鬥非,liao'shi'dou'fei
咧啡,lie'fei
捩手掉咗,lie'shou'diao'zuo
冧巴,lin'ba
冧巴溫,lin'ba'wen
凜抌,lin'dan
冧檔,lin'dang
冧宮頭,lin'gong'tou
臨記,lin'ji
臨急開坑,lin'ji'kai'keng
冧酒,lin'jiu
臨老學吹打,lin'lao'xue'chui'da
冧篷頭,lin'peng'tou
林沈,lin'shen
臨天光賴尿臨時臨急,lin'tian'guang'lai'niao'lin'shi'lin'ji
領呔,ling'dai
領當,ling'dang
鈴鈴,ling'ling
零零丁丁,ling'ling'ding'ding
鈴鈴都掉埋,ling'ling'dou'diao'mai
掕掕跳,ling'ling'tiao
玲瓏浮突,ling'long'fu'tu
靈擎,ling'qing
零舍零星落索,ling'she'ling'xing'luo'suo
伶牙俐齒,ling'ya'li'chi
領嘢,ling'ye
鯪魚,ling'yu
溜鷄,liu'ji
流口水,liu'kou'shui
流離浪蕩,liu'li'lang'dang
流流,liu'liu
流馬尿,liu'ma'niao
留堂,liu'tang
流嘢,liu'ye
留醫,liu'yi
龍虎鳳,long'hu'feng
龍精虎猛,long'jing'hu'meng
竉竉罅罅,long'long'xia'xia
竉路,long'lu
龍門,long'men
龍虱,long'shi
龍牙蕉,long'ya'jiao
龍舟,long'zhou
龍舟節,long'zhou'jie
龍舟水,long'zhou'shui
嘍當,lou'dang
漏底,lou'di
樓花,lou'hua
漏鷄,lou'ji
嘍口,lou'kou
漏氣,lou'qi
摟席,lou'xi
漏罅,lou'xia
漏夜,lou'ye
碌地沙,lu'di'sha
綠豆公,lu'dou'gong
碌架牀,lu'jia'chuang
陸軍裝,lu'jun'zhuang
露翹翹,lu'qiao'qiao
路數,lu'shu
鹵味,lu'wei
碌柚,lu'you
攣瓹,luan'juan
亂嚟,luan'li
亂笠笠,luan'li'li
亂龍,luan'long
攣毛,luan'mao
亂晒坑,luan'shai'keng
亂噏無爲,luan'xi'mo'wei
亂噏廿四,luan'xi'nian'si
略略,lue'lue
倫滘糕,lun'jiao'gao
論盡,lun'jin
蘿蔔仔,luo'bo'zi
攞膽,luo'dan
籮底橙,luo'di'cheng
落定,luo'ding
落膈,luo'ge
羅漢請觀音,luo'han'qing'guan'yin
囉呵,luo'he
落貨,luo'huo
落街,luo'jie
攞景,luo'jing
攞景贈慶,luo'jing'zeng'qing
攞苦嚟辛,luo'ku'li'xin
落力,luo'li
攞嚟賤,luo'li'jian
攞嚟講,luo'li'jiang
攞嚟衰,luo'li'shuai
落樓,luo'lou
囉攣,luo'luan
囉囉攣,luo'luo'luan
落面,luo'mian
落名,luo'ming
攞命,luo'ming
攞便宜,luo'pian'yi
囉氣,luo'qi
羅傘帳,luo'san'zhang
落剩,luo'sheng
落手,luo'shou
落手落腳,luo'shou'luo'jiao
捋手捋腳,luo'shou'luo'jiao
螺絲批,luo'si'pi
落堂,luo'tang
落貼,luo'tie
落形,luo'xing
囉柚,luo'you
落雨濕濕,luo'yu'shi'shi
落雨絲濕,luo'yu'si'shi
落妝落足,luo'zhuang'luo'zu
落足嘴頭,luo'zu'zui'tou
褸屘,lv'man
褸裙,lv'qun
孖辮,ma'bian
麻查,ma'cha
馬辰席,ma'chen'xi
馬達,ma'da
碼釘,ma'ding
孖份,ma'fen
孖公仔,ma'gong'zai
麻骨,ma'gu
麻骨拐杖,ma'gu'guai'zhang
媽姐,ma'jie
馬狂螂,ma'kuang'lang
麻叻,ma'le
麻利,ma'li
馬騮,ma'liu
馬騮精,ma'liu'jing
馬騮乾,ma'liu'qian
麻麻,ma'ma
麻麻地,ma'ma'di
媽媽聲,ma'ma'sheng
媽咪,ma'mi
孖女,ma'nv
孖鋪,ma'pu
麻雀,ma'que
孖生,ma'sheng
麻石,ma'shi
麻甩,ma'shuai
麻甩佬,ma'shuai'lao
麻甩女,ma'shuai'nv
馬死落地行,ma'si'luo'di'xing
蔴糖鷄,ma'tang'ji
馬蹄,ma'ti
馬蹄粉,ma'ti'fen
碼頭級,ma'tou'ji
麻鷹,ma'ying
蔴油,ma'you
孖仔,ma'zai
孖展,ma'zhan
馬仔,ma'zi
碼子,ma'zi
埋便,mai'bian
埋單,mai'chan
埋底,mai'di
麥豆,mai'dou
賣風,mai'feng
埋櫃,mai'gui
賣花讚花香,mai'hua'zan'hua'xiang
埋街,mai'jie
埋口,mai'kou
賣口乖,mai'kou'guai
埋嚟,mai'li
賣賣大包,mai'mai'da'bao
脈門,mai'men
賣面光,mai'mian'guang
埋去,mai'qu
埋晒,mai'shai
賣剩腳,mai'sheng'jiao
賣生藕,mai'sheng'ou
賣剩尾,mai'sheng'wei
埋手,mai'shou
埋手打三更,mai'shou'da'san'geng
埋數,mai'shu
買水,mai'shui
埋檯,mai'tai
嘜頭,mai'tou
埋頭,mai'tou
埋頭埋腦,mai'tou'mai'nao
賣頭賣尾,mai'tou'mai'wei
埋位,mai'wei
埋尾,mai'wei
埋席,mai'xi
埋牙,mai'ya
埋棧,mai'zhan
埋站,mai'zhan
賣豬仔,mai'zhu'zi
滿肚密圈,man'du'mi'quan
滿肚文章,man'du'wen'zhang
屘二,man'er
屘屘屎,man'man'shi
慢吓手,man'xia'shou
盲公盲公餅,mang'gong'mang'gong'bing
盲火,mang'huo
忙忙狼狼,mang'mang'lang'lang
盲摸摸,mang'mo'mo
盲婆,mang'po
盲棋,mang'qi
盲拳打死老師傅,mang'quan'da'si'lao'shi'fu
盲眼,mang'yan
冇本心,mao'ben'xin
冇表情,mao'biao'qing
毛布,mao'bu
冇搭霎,mao'da'sha
冇膽,mao'dan
冇膽匪類,mao'dan'fei'lei
冇得,mao'de
冇得彈,mao'de'dan
冇得頂,mao'de'ding
冇得傾,mao'de'qing
冇定性冇定準,mao'ding'xing'mao'ding'zhun
冇度數,mao'du'shu
貓兒,mao'er
冇耳性,mao'er'xing
冇符,mao'fu
冇咁好氣,mao'gan'hao'qi
冇根蔸,mao'gen'dou
毛管,mao'guan
冇話,mao'hua
冇計,mao'ji
冇幾何,mao'ji'he
冇幾耐,mao'ji'nai
冇記性,mao'ji'xing
冇家教,mao'jia'jiao
冇交易,mao'jiao'yi
冇解,mao'jie
冇口齒,mao'kou'chi
茅寮,mao'liao
冇料,mao'liao
冇料到,mao'liao'dao
冇漏罅,mao'lou'xia
冇脈,mao'mai
冇乜,mao'mie
貓乸,mao'na
冇譜,mao'pu
冇晒表情冇晒符,mao'shai'biao'qing'mao'shai'fu
冇聲氣,mao'sheng'qi
冇省起,mao'sheng'qi
冇世藝,mao'shi'yi
冇手尾,mao'shou'wei
冇所謂,mao'suo'wei
冇頭烏蠅,mao'tou'wu'ying
冇王管,mao'wang'guan
冇尾飛堶,mao'wei'fei'tuo
冇紋路,mao'wen'lu
冇釐搭霎,mao'xi'da'sha
冇釐神氣,mao'xi'shen'qi
冇釐癮,mao'xi'yin
冇釐癮頭,mao'xi'yin'tou
冇相干,mao'xiang'gan
冇心肝,mao'xin'gan
冇心機,mao'xin'ji
冇行,mao'xing
冇性,mao'xing
冇修,mao'xiu
冇眼睇,mao'yan'di
冇厴鷄籠,mao'yan'ji'long
冇研究,mao'yan'jiu
冇腰骨,mao'yao'gu
冇嘢到,mao'ye'dao
冇嘢嚟,mao'ye'li
冇益,mao'yi
冇癮,mao'yin
冇有怕,mao'you'pa
冇準,mao'zhun
冇走趲,mao'zou'zan
癦屎,me'shi
霉菜,mei'cai
妹釘,mei'ding
眉豆,mei'dou
眉精眼企,mei'jing'yan'qi
妹裙,mei'qun
媒人婆,mei'ren'po
脢肉,mei'rou
煤屎,mei'shi
昧水,mei'shui
霉香鹹魚,mei'xiang'jian'yu
眉眨眼,mei'zha'yan
梅酌,mei'zhuo
妹仔,mei'zi
盟鼻,meng'bi
懵閉閉,meng'bi'bi
矇查查,meng'cha'cha
猛咁,meng'gan
盟籠,meng'long
掹貓尾,meng'mao'wei
曚曚光,meng'meng'guang
掹掹緊,meng'meng'jin
盟塞,meng'sai
懵盛盛,meng'sheng'sheng
猛嘢,meng'ye
密底算盤,mi'di'suan'pan
咪搞,mi'gao
咪搞我,mi'gao'wo
米機米骨,mi'ji'mi'gu
咪家,mi'jia
咪拘,mi'ju
密蠟,mi'la
密籠,mi'long
咪媽爛臭,mi'ma'lan'chou
迷你,mi'ni
米舖,mi'pu
密實,mi'shi
米水,mi'shui
蜜絲,mi'si
蜜糖,mi'tang
米通,mi'tong
咪仙,mi'xian
密斟,mi'zhen
咪制,mi'zhi
密質質,mi'zhi'zhi
咪自,mi'zi
麵豉,mian'chi
面紅紅,mian'gong'gong
面紅面綠,mian'gong'mian'lu
面黃黃,mian'huang'huang
面巾,mian'jin
棉緊身,mian'jin'shen
面口,mian'kou
面褲,mian'ku
棉褸,mian'lv
面懵,mian'meng
面懵懵,mian'meng'meng
面懵心精,mian'meng'xin'jing
棉衲,mian'na
面盆,mian'pen
面皮,mian'pi
面青青,mian'qing'qing
面衫,mian'shan
面善,mian'shan
棉胎,mian'tai
綿羊,mian'yang
免至,mian'zhi
免治,mian'zhi
面珠墩,mian'zhu'dun
面左左,mian'zuo'zuo
孭帶,mie'dai
乜東東,mie'dong'dong
乜都假,mie'dou'jia
孭飛,mie'fei
孭鑊,mie'huo
乜乜,mie'mie
乜乜物物,mie'mie'wu'wu
乜說話,mie'shui'hua
乜嘢,mie'ye
乜嘢話,mie'ye'hua
乜滯,mie'zhi
民田,min'tian
明呃,ming'e
明滾,ming'gun
明蝦,ming'ha
明火,ming'huo
明渠,ming'qu
命水,ming'shui
墨筆,mo'bi
摩打,mo'da
摩登瓜子,mo'deng'gua'zi
無端白事,mo'duan'bai'shi
無端端,mo'duan'duan
墨劇,mo'ju
無聊賴,mo'liao'lai
摸埋,mo'mai
摸盲盲,mo'mang'mang
摸門釘,mo'men'ding
無無端端,mo'mo'duan'duan
墨七,mo'qi
無情白事,mo'qing'bai'shi
無情鷄,mo'qing'ji
墨水筆,mo'shui'bi
無他,mo'ta
抹檯布,mo'tai'bu
嚤佗,mo'tuo
無謂,mo'wei
摩晞,mo'xi
墨硯,mo'yan
墨魚,mo'yu
踎墩,mou'dun
木獨,mu'du
木糠,mu'kang
木口木面,mu'kou'mu'mian
木虱,mu'shi
木頭公仔,mu'tou'gong'zai
耐不耐,nai'bu'nai
孻瓜,nai'gua
孻屘,nai'man
奶奶,nai'nai
孻女,nai'nv
耐唔中,nai'wu'zhong
奶昔,nai'xi
耐中,nai'zhong
孻仔,nai'zi
難抵,nan'di
難頂,nan'ding
南風窗,nan'feng'chuang
南華李,nan'hua'li
南路,nan'lu
南無,nan'mo
南無佬,nan'mo'lao
南乳,nan'ru
南乳花生,nan'ru'hua'sheng
南乳肉,nan'ru'rou
蝻蛇,nan'she
南洋,nan'yang
南洋伯,nan'yang'bo
男仔,nan'zai
男仔頭,nan'zai'tou
南棗,nan'zao
鬧交,nao'jiao
鬧熱,nao're
腦囟,nao'xin
呢單嘢,ne'chan'ye
呢處,ne'chu
呢度,ne'du
呢槓嘢,ne'gang'ye
呢嗱,ne'na
呢排,ne'pai
呢條友,ne'tiao'you
內傷,nei'shang
嫩水,nen'shui
泥湴,ni'ban
泥塵,ni'chen
你哋,ni'di
你啲人,ni'di'ren
你個死人頭,ni'ge'si'ren'tou
你個頭,ni'ge'tou
你就想,ni'jiu'xiang
匿埋,ni'mai
泥肉,ni'rou
你諗你,ni'shen'ni
你係得嘅,ni'xi'de'ge
泥磚,ni'zhuan
拈刺噉拈,nian'ci'dan'nian
撚化,nian'hua
蔫韌,nian'ren
年生,nian'sheng
年頭,nian'tou
年尾,nian'wei
嬲,niao
嫋高,niao'gao
尿急,niao'ji
齧牙,nie'ya
擰頭,ning'tou
擰轉,ning'zhuai
擰轉頭,ning'zhuai'tou
牛白腩,niu'bai'nan
牛百葉,niu'bai'ye
牛草肚,niu'cao'du
牛腸,niu'chang
牛軛,niu'e
紐耳,niu'er
牛皋,niu'gao
牛高馬大,niu'gao'ma'da
拗頸,niu'geng
紐公,niu'gong
牛牯,niu'gu
牛河,niu'he
拗胡婆,niu'hu'po
扭計,niu'ji
扭計師爺,niu'ji'shi'ye
扭計祖宗,niu'ji'zu'zong
牛噍牡丹,niu'jiao'mu'dan
牛精,niu'jing
牛欄,niu'lan
扭六壬,niu'liu'ren
紐門,niu'men
紐乸,niu'na
牛腩,niu'nan
扭擰,niu'ning
牛扒,niu'pa
牛皮,niu'pi
拗氣,niu'qi
牛乳,niu'ru
牛乳餅,niu'ru'bing
拗手瓜,niu'shou'gua
拗數口,niu'shu'kou
牛頭褲,niu'tou'ku
牛王,niu'wang
牛王頭,niu'wang'tou
扭紋,niu'wen
扭紋柴,niu'wen'chai
牛唔飲水唔撳得牛頭低,niu'wu'yin'shui'wu'qin'de'niu'tou'di
拗心白菜,niu'xin'bai'cai
拗腰,niu'yao
牛油,niu'you
牛雜,niu'za
牛仔,niu'zai
牛仔褲,niu'zai'ku
暖粒粒,nuan'li'li
暖水袋,nuan'shui'dai
暖水壺,nuan'shui'hu
糯米糍,nuo'mi'ci
糯米鷄,nuo'mi'ji
女包,nv'bao
女女,nv'nv
女仔,nv'zi
女仔之家,nv'zi'zhi'jia
嘔電,ou'dian
漚仔,ou'zi
怕醜,pa'chou
拍檔,pai'dang
拍得過,pai'de'guo
拍得住,pai'de'zhu
派對,pai'dui
拍乸,pai'na
拍手無塵,pai'shou'mo'chen
拍手掌,pai'shou'zhang
派司,pai'si
拍拖,pai'tuo
拍烏蠅,pai'wu'ying
拍心口,pai'xin'kou
拍硬檔,pai'ying'dang
拍紙簿,pai'zhi'bu
盼穀,pan'gu
拚爛,pan'lan
盤滿鉢滿,pan'man'bo'man
拚撇,pan'pie
拚撇嚟,pan'pie'li
判頭盤,pan'tou'pan
泡打粉,pao'da'fen
抛浪頭,pao'lang'tou
抛生藕,pao'sheng'ou
抛水,pao'shui
炮仗,pao'zhang
炮仗頸,pao'zhang'geng
炮仗領,pao'zhang'ling
炮製,pao'zhi
配料,pei'liao
賠湯藥,pei'shang'yao
陪太子讀書,pei'tai'zi'dou'shu
碰彩,peng'cai
棚寮,peng'liao
蟛蜞,peng'qi
碰啱,peng'yan
啤把,pi'ba
批蕩,pi'dang
皮費,pi'fei
皮光肉滑,pi'guang'rou'hua
皮黃骨瘦,pi'huang'gu'shou
皮喼,pi'jie
啤令,pi'ling
皮袍,pi'pao
啤啤仔,pi'pi'zi
疋頭,pi'tou
披頭士,pi'tou'shi
批中,pi'zhong
片糖,pian'tang
撇甩,pie'shuai
撇脫,pie'tuo
拼沉,pin'chen
頻倫,pin'lun
頻密,pin'mi
頻頻撲撲,pin'pin'pu'pu
頻撲,pin'pu
平沽,ping'gu
乒鈴,ping'ling
乒乓波,ping'pang'bo
迫挾,po'jia
迫力子,po'li'zi
婆媽,po'ma
婆乸,po'na
迫紐,po'niu
菩薘,pu'da
瀑肚,pu'du
撲飛,pu'fei
仆街,pu'jie
蒲桃,pu'tao
菩提子,pu'ti'zi
舖頭,pu'tou
仆築路,pu'zhu'lu
仆轉,pu'zhuai
起膊,qi'bo
起菜,qi'cai
七彩,qi'cai
乞嗤,qi'chi
七除八扣,qi'chu'ba'kou
契弟,qi'di
企定,qi'ding
乞兒,qi'er
起骨,qi'gu
七國咁亂,qi'guo'gan'luan
起鑊,qi'huo
起價,qi'jia
契家佬,qi'jia'lao
契家婆契媽,qi'jia'po'qi'ma
氣咳,qi'ke
起筷,qi'kuai
七老八十,qi'lao'ba'shi
起嚟,qi'li
企理,qi'li
奇離,qi'li
淒涼,qi'liang
氣羅氣喘,qi'luo'qi'chuan
蜞乸,qi'na
契乸,qi'na
七七八八,qi'qi'ba'ba
企起身,qi'qi'shen
企人邊,qi'ren'bian
乞人憎,qi'ren'zeng
起肉,qi'rou
起上嚟,qi'shang'li
起身,qi'shen
起身嚟,qi'shen'li
乞食,qi'shi
崎士,qi'shi
起勢噉,qi'shi'dan
起首,qi'shou
起水,qi'shui
起痰,qi'tan
企堂,qi'tang
起頭,qi'tou
企歪啲,qi'wai'di
起尾注,qi'wei'zhu
起屋,qi'wu
起先起意,qi'xian'qi'yi
起心,qi'xin
七星茶,qi'xing'cha
契爺,qi'ye
契仔,qi'zi
起租,qi'zu
鉛筆刨,qian'bi'bao
前便,qian'bian
乾炒,qian'chao
前嗰排,qian'ge'pai
乾鯁鯁,qian'geng'geng
牽蝦,qian'ha
慳鷄,qian'ji
慳儉,qian'jian
千揀萬揀,qian'jian'wan'jian
慳皮,qian'pi
千祈,qian'qi
韆鞦,qian'qiu
前日,qian'ri
前世,qian'shi
慳濕,qian'shi
乾濕褸,qian'shi'lv
前世唔修,qian'shi'wu'xiu
乾手淨腳,qian'shou'jing'jiao
錢罌,qian'ying
潛質,qian'zhi
橋凳,qiao'deng
橋躉,qiao'dun
撬馬腳,qiao'ma'jiao
蹺妙,qiao'miao
撬牆腳,qiao'qiang'jiao
繑絲邊,qiao'si'bian
切菜,qie'cai
切醋,qie'cu
妾侍,qie'shi
撳沉,qin'chen
撳釘,qin'ding
擒騎,qin'ji
親家老爺,qin'jia'lao'ye
親家奶奶,qin'jia'nai'nai
蠄蟧,qin'lao
蠄蟧絲網,qin'lao'si'wang
勤力,qin'li
親力親爲,qin'li'qin'wei
擒青,qin'qing
蠄蟝,qin'qu
親生,qin'sheng
琴晚,qin'wan
琴晚黑琴日,qin'wan'hei'qin'ri
侵早,qin'zao
撳鷓鴣,qin'zhe'gu
撳住頭,qin'zhu'tou
清補涼,qing'bu'liang
請茶,qing'cha
輕秤香梘,qing'cheng'xiang'jian
青春痘,qing'chun'dou
青春片,qing'chun'pian
傾偈,qing'ji
清景,qing'jing
清撈白熠,qing'lao'bai'yi
清撈寡水,qing'lao'gua'shui
青蓮色,qing'lian'se
輕寥寥,qing'liao'liao
請槍,qing'qiang
青頭仔,qing'tou'zi
請飲,qing'yin
情願,qing'yuan
青竹蛇,qing'zhu'she
鰽白,qiu'bai
求祈,qiu'qi
求先,qiu'xian
球證,qiu'zheng
曲尺,qu'chi
趣怪,qu'guai
取錄,qu'lu
屈氣,qu'qi
曲奇,qu'qi
趣趣地,qu'qu'di
佢佢哋,qu'qu'di
屈蛇,qu'she
屈水,qu'shui
屈頭鷄,qu'tou'ji
屈尾十,qu'wei'shi
趣緻,qu'zhi
屈質,qu'zhi
勸交,quan'jiao
圈聲,quan'sheng
雀局,que'ju
群埋,qun'mai
呥呥食,ran'ran'shi
然之後,ran'zhi'hou
熱滯,re'zhi
韌黐黐,ren'chi'chi
人哋,ren'di
認低威,ren'di'wei
人工,ren'gong
人客,ren'ke
人老精鬼老靈,ren'lao'jing'gui'lao'ling
認叻,ren'le
人嚟,ren'li
人面,ren'mian
韌皮,ren'pi
人蛇,ren'she
人事,ren'shi
人頭湧湧,ren'tou'yong'yong
人細鬼大,ren'xi'gui'da
人心肉做,ren'xin'rou'zuo
人妖,ren'yao
人一世物一世,ren'yi'shi'wu'yi'shi
人渣,ren'zha
認眞,ren'zhen
認住,ren'zhu
棯仔,ren'zi
日光日白,ri'guang'ri'bai
日頭日日,ri'tou'ri'ri
容乜易,rong'mie'yi
茸茸爛爛,rong'rong'lan'lan
肉赤,rou'chi
腬喉,rou'hou
肉緊,rou'jin
腬市,rou'shi
肉酸,rou'suan
肉痛,rou'tong
入便,ru'bian
入伙,ru'huo
入數,ru'shu
入水,ru'shui
入味,ru'wei
入圍,ru'wei
入息,ru'xi
乳豬,ru'zhu
軟皮蛇,ruan'pi'she
軟荏荏,ruan'ren'ren
軟熟,ruan'shu
膶腸,run'chang
焫鷄,ruo'ji
鈒骨,sa'gu
撒散,sa'san
塞車,sai'ju
嘥氣,sai'qi
嘥撻,sai'ta
嘥心機捱眼瞓,sai'xin'ji'ai'yan'fen
三扒兩撥,san'ba'liang'bo
三板斧,san'ban'fu
散檔,san'dang
三鳥,san'diao
三分顏色上大紅,san'fen'yan'se'shang'da'gong
三幅被,san'fu'bei
散工,san'gong
三行仔,san'hang'zi
三花,san'hua
三及第,san'ji'di
三尖八角,san'jian'ba'jiao
三腳櫈,san'jiao'deng
三腳鷄,san'jiao'ji
三腳貓三九兩丁七,san'jiao'mao'san'jiu'liang'ding'qi
三九唔識七,san'jiu'wu'shi'qi
三口六面,san'kou'liu'mian
三兩下手勢,san'liang'xia'shou'shi
三六,san'liu
三六香肉,san'liu'xiang'rou
散賣,san'mai
散使,san'shi
散手,san'shou
散收收,san'shou'shou
三文治,san'wen'zhi
散紙,san'zhi
三隻手,san'zhi'shou
散仔,san'zi
桑拿浴,sang'na'yu
掃把,sao'ba
臊蝦,sao'ha
臊蝦女,sao'ha'nv
臊堪堪騷,sao'kan'kan'sao
騷擾,sao'rao
色狼,se'lang
色士風,se'shi'feng
色水,se'shui
砂煲,sha'bao
砂煲兄弟,sha'bao'xiong'di
砂煲罌罉,sha'bao'ying'cheng
沙蟬,sha'chan
沙塵,sha'chen
沙塵白霍,sha'chen'bai'huo
沙蟲,sha'chong
沙膽,sha'dan
霎戇霎時,sha'gang'sha'shi
沙葛,sha'ge
傻更,sha'geng
沙河粉,sha'he'fen
沙井,sha'jing
沙冚,sha'kan
煞科,sha'ke
沙梨,sha'li
沙哩弄銃,sha'li'nong'chong
沙律,sha'lv
砂盆,sha'pen
霎氣,sha'qi
殺起,sha'qi
傻人,sha'ren
傻傻更更,sha'sha'geng'geng
沙沙滾,sha'sha'gun
沙聲,sha'sheng
沙士,sha'shi
沙士堅,sha'shi'jian
殺手,sha'shou
殺攤,sha'tan
沙田,sha'tian
沙田柚,sha'tian'you
霎眼嬌,sha'yan'jiao
沙展,sha'zhan
紗紙,sha'zhi
傻仔,sha'zi
傻仔水,sha'zi'shui
篩箕,shai'ji
曬棚,shai'peng
篩篩,shai'shai
篩身,shai'shen
篩身篩勢,shai'shen'shai'shi
晒士,shai'shi
山埃,shan'ai
山草藥,shan'cao'yao
山大斬埋亦係柴,shan'da'zhan'mai'yi'xi'chai
衫袋,shan'dai
閃電,shan'dian
山旮旯,shan'ga'la
騸鷄,shan'ji
山鷄,shan'ji
衫架,shan'jia
衫腳,shan'jiao
善靜,shan'jing
衫褲,shan'ku
衫里,shan'li
閃爧,shan'ling
山竉,shan'long
山竉山罅,shan'long'shan'xia
衫紐,shan'niu
山蜞,shan'qi
衫裙,shan'qun
山棯,shan'ren
山瑞,shan'rui
衫刷,shan'shua
閃縮,shan'su
衫袖,shan'xiu
山豬,shan'zhu
上便,shang'bian
上高,shang'gao
上鏈,shang'lian
上落,shang'luo
上堂,shang'tang
湯丸,shang'wan
上五寸下五寸,shang'wu'cun'xia'wu'cun
上下,shang'xia
上晝,shang'zhou
紹菜,shao'cai
燒鵝,shao'e
燒冷灶,shao'leng'zao
燒肉,shao'rou
燒乳豬,shao'ru'zhu
少少,shao'shao
潲水,shao'shui
哨牙潲,shao'ya'shao
攝電,she'dian
蛇客,she'ke
蛇窟,she'ku
蛇喱眼,she'li'yan
攝青鬼,she'qing'gui
攝石,she'shi
賒數,she'shu
攝鐵,she'tie
蛇頭,she'tou
蛇頭鼠腦,she'tou'shu'nao
蛇頭鼠眼,she'tou'shu'yan
蛇王,she'wang
蛇仔,she'zi
誰不知,shei'bu'zhi
神高神大,shen'gao'shen'da
身光頸靚,shen'guang'geng'jing
神化,shen'hua
身紀,shen'ji
身家,shen'jia
神經,shen'jing
神樓,shen'lou
腎人,shen'ren
神神地,shen'shen'di
神神化化,shen'shen'hua'hua
神神經經,shen'shen'jing'jing
身水身汗,shen'shui'shen'han
諗縮數,shen'su'shu
諗頭,shen'tou
神仙肚,shen'xian'du
神仙魚,shen'xian'yu
神心,shen'xin
諗眞啲,shen'zhen'di
甚至無,shen'zhi'mo
神主牌,shen'zhu'pai
神主牌都會喐,shen'zhu'pai'dou'hui'guo
身子,shen'zi
生安白造,sheng'an'bai'zao
生暴,sheng'bao
生菜,sheng'cai
生菜包,sheng'cai'bao
省城,sheng'cheng
生抽,sheng'chou
生螆,sheng'ci
生螆貓入眼,sheng'ci'mao'ru'yan
剩得,sheng'de
生定,sheng'ding
剩番,sheng'fan
生粉,sheng'fen
生勾勾,sheng'gou'gou
勝瓜,sheng'gua
生菓,sheng'guo
聲喉,sheng'hou
生花,sheng'hua
盛惠,sheng'hui
生鷄,sheng'ji
生鷄精生鬼,sheng'ji'jing'sheng'gui
生膠,sheng'jiao
生殼,sheng'ke
生冷,sheng'leng
生冷降,sheng'leng'jiang
生猛,sheng'meng
聲氣,sheng'qi
生人唔生膽,sheng'ren'wu'sheng'dan
生沙淋,sheng'sha'lin
生晒,sheng'shai
生水,sheng'shui
生水芋頭,sheng'shui'yu'tou
生烏鷄,sheng'wu'ji
聲綫,sheng'xian
生性,sheng'xing
盛行,sheng'xing
生鹽,sheng'yan
生意佬,sheng'yi'lao
生油,sheng'you
生魚,sheng'yu
識,shi
士巴拿,shi'ba'na
蝕本,shi'ben
是必,shi'bi
屎波,shi'bo
食波餅,shi'bo'bing
士鉢裇,shi'bo'xu
時不時,shi'bu'shi
濕柴,shi'chai
時辰鐘,shi'chen'zhong
屎蟲,shi'chong
識穿,shi'chuan
石春,shi'chun
食大餐,shi'da'can
士擔,shi'dan
是但,shi'dan
食檔,shi'dang
使得,shi'de
士的,shi'de
蝕底,shi'di
屎斗,shi'dou
士多,shi'duo
士多啤梨,shi'duo'pi'li
使費,shi'fei
是非啄,shi'fei'zhuo
事幹,shi'gan
使頸,shi'geng
匙羹,shi'geng
匙羹白,shi'geng'bai
石狗公,shi'gou'gong
師姑,shi'gu
食穀種食閒口,shi'gu'zhong'shi'jian'kou
事關,shi'guan
飾櫃,shi'gui
試過,shi'guo
使橫手,shi'heng'shou
時候,shi'hou
視乎,shi'hu
食糊,shi'hu
石灰籮,shi'hui'luo
失魂,shi'hun
失魂魚,shi'hun'yu
屎計,shi'ji
屎急,shi'ji
石級,shi'ji
事急馬行田,shi'ji'ma'xing'tian
世界,shi'jie
世界仔,shi'jie'zi
識精,shi'jing
實淨,shi'jing
失驚無神,shi'jing'mo'shen
屎軍師,shi'jun'shi
屎坑,shi'keng
屎窟,shi'ku
屎窟竉,shi'ku'long
士叻,shi'le
失禮,shi'li
時哩沙啦,shi'li'sha'la
失禮死人,shi'li'si'ren
食蓮子羹,shi'lian'zi'geng
使媽,shi'ma
時嘜,shi'mai
食貓面,shi'mao'mian
石米,shi'mi
使乜,shi'mie
使乜講,shi'mie'jiang
虱乸,shi'na
虱乸春,shi'na'chun
虱乸擔枷,shi'na'dan'jia
師奶,shi'nai
時年,shi'nian
濕淰淰,shi'nian'nian
使牛,shi'niu
屎皮,shi'pi
屎片,shi'pian
使婆,shi'po
實情,shi'qing
濕熱,shi're
食軟飯,shi'ruan'fan
食塞米,shi'sai'mi
十三點,shi'san'dian
食篩,shi'shai
試身,shi'shen
時時,shi'shi
石屎,shi'shi
駛世伯,shi'shi'bo
失匙夾萬,shi'shi'ga'wan
失失慌,shi'shi'huang
石屎樓,shi'shi'lou
實食冇黐牙,shi'shi'mao'chi'ya
