阿鼻元珠,a'bi'yuan'zhu
二女建殊功,er'nv'jian'shu'gong
二女寻真,er'nv'xun'zhen
二气环,er'qi'huan
而生,er'sheng
二相环,er'xiang'huan
儿重煞幕护妖坛,er'zhong'sha'mu'hu'yao'tan
法宝,fa'bao
法广,fa'guang
法华金刚轮,fa'hua'jin'gang'lun
法华金轮,fa'hua'jin'lun
发火,fa'huo
发火震伏尸,fa'huo'zhen'fu'shi
法轮辉宝气,fa'lun'hui'bao'qi
法胜,fa'sheng
法通,fa'tong
法元,fa'yuan
范伯,fan'bo
翻成投怀燕,fan'cheng'tou'huai'yan
范夫人,fan'fu'ren
犯规,fan'gui
返魂香,fan'hun'xiang
樊量,fan'liang
反目,fan'mu
梵拿伽音二,fan'na'jia'yin'er
烦恼圈,fan'nao'quan
樊森,fan'sen
番僧,fan'seng
樊少皇,fan'shao'huang
反舌神君,fan'she'shen'jun
凡贪嗔痴爱恶欲,fan'tan'chen'chi'ai'wu'yu
范小雪,fan'xiao'xue
返照空明,fan'zhao'kong'ming
范仲,fan'zhong
犯珠宫,fan'zhu'gong
方还,fang'hai
方良,fang'liang
访能人马夜叉独上玄阴宫,fang'neng'ren'ma'ye'cha'du'shang'xuan'yin'gong
芳淑,fang'shu
访异人结嫌白鹿洞,fang'yi'ren'jie'xian'bai'lu'dong
方瑛,fang'ying
方玉柔,fang'yu'rou
飞叉真人,fei'cha'zhen'ren
飞刀真人,fei'dao'zhen'ren
飞遁,fei'dun
霏飞玉雪微雨赏龙湫,fei'fei'yu'xue'wei'yu'shang'long'qiu
飞光惊外道,fei'guang'jing'wai'dao
飞光离远峤,fei'guang'li'yuan'qiao
飞光笼大岳,fei'guang'long'da'yue
飞光摇壁月,fei'guang'yao'bi'yue
飞光诛恶蛊,fei'guang'zhu'e'gu
飞光紫电斗元凶,fei'guang'zi'dian'dou'yuan'xiong
飞虹涧,fei'hong'jian
飞剑,fei'jian
飞剑除凶鱼,fei'jian'chu'xiong'yu
飞剑化长虹,fei'jian'hua'chang'hong
飞剑惊芒,fei'jian'jing'mang
飞剑斩毒虺,fei'jian'zhan'du'hui
飞剑斩琼林,fei'jian'zhan'qiong'lin
飞剑斩妖人,fei'jian'zhan'yao'ren
飞鲸岛,fei'jing'dao
飞来峰,fei'lai'feng
飞雷洞,fei'lei'dong
飞雷岭,fei'lei'ling
飞龙岛,fei'long'dao
飞龙岭,fei'long'ling
飞龙师太,fei'long'shi'tai
飞龙真人,fei'long'zhen'ren
飞芒掣电,fei'mang'che'dian
飞娘,fei'niang
飞娘祝嘏邀同恶,fei'niang'zhu'gu'yao'tong'e
飞麒麟,fei'qi'lin
飞身援道侣,fei'shen'yuan'dao'lv
飞升,fei'sheng
沸石熔沙,fei'shi'rong'sha
飞天蜈蚣,fei'tian'wu'gong
飞天夜叉,fei'tian'ye'cha
飞行经海上,fei'xing'jing'hai'shang
飞行九万里,fei'xing'jiu'wan'li
飞云可捉,fei'yun'ke'zhuo
分波擒异獭,fen'bo'qin'yi'ta
分光捉影,fen'guang'zhuo'ying
粉孩儿,fen'hai'er
粉牡丹,fen'mu'dan
奋神威,fen'shen'wei
分水犀牛,fen'shui'xi'niu
芬陀,fen'tuo
芬陀大师,fen'tuo'da'shi
风尘莽莽感知音,feng'chen'mang'mang'gan'zhi'yin
风尘识怪叟,feng'chen'shi'guai'sou
疯癫渡众生,feng'dian'du'zhong'sheng
风火道人,feng'huo'dao'ren
封禁,feng'jin
风雷针,feng'lei'zhen
凤四姑,feng'si'gu
风饕雪虐恨何穷,feng'tao'xue'nue'hen'he'qiong
冯吾,feng'wu
风梧,feng'wu
逢狭路智敌八指僧,feng'xia'lu'zhi'di'ba'zhi'seng
风箱峡,feng'xiang'xia
佛灯飞圣火,fo'deng'fei'sheng'huo
佛法显神通,fo'fa'xian'shen'tong
佛光解禁,fo'guang'jie'jin
佛火,fo'huo
佛火炼妖尸,fo'huo'lian'yao'shi
佛火灭余氛,fo'huo'mie'yu'fen
佛火心灯,fo'huo'xin'deng
佛家,fo'jia
佛奴,fo'nu
复壁行波,fu'bi'xing'bo
伏波崖,fu'bo'ya
复道行波,fu'dao'heng'bo
伏瓜拔老神魔,fu'gua'ba'lao'shen'mo
浮海弃槎,fu'hai'qi'cha
伏虎藏山中,fu'hu'cang'shan'zhong
伏魔金环,fu'mo'jin'huan
伏魔旗门,fu'mo'qi'men
伏魔真人,fu'mo'zhen'ren
伏牛岛,fu'niu'dao
芙蓉行者,fu'rong'xing'zhe
负深恩,fu'shen'en
伏尸峡,fu'shi'xia
附体,fu'ti
伏羲镜,fu'xi'jing
福仙潭,fu'xian'tan
腐心白水观,fu'xin'bai'shui'guan
服贞水,fu'zhen'shui
改邪归正,gai'xie'gui'zheng
甘碧梧,gan'bi'wu
甘联鹣鲽不羡仙,gan'lian'jian'die'bu'xian'xian
感深情,gan'shen'qing
感深情抱病长征,gan'shen'qing'bao'bing'chang'zheng
干神蛛,gan'shen'zhu
甘象,gan'xiang
甘熊,gan'xiong
甘做护花郎,gan'zuo'hu'hua'lang
罡风天外立,gang'feng'tian'wai'li
高丽贡,gao'li'gong
高黎贡山,gao'li'gong'shan
缟袂可胜寒,gao'mei'ke'sheng'han
高强,gao'qiang
